党委书记,당 서기
二里沟站,얼리거우 역
车公庄西站,처궁좡시 역
霍城县,훠청현
焉耆回族自治县,옌치 후이족 자치현
尉犁县,위리현
广州足球俱乐部,광저우 FC
中俄关系,러시아-중화인민공화국 관계
固阳县,구양현
栾城区,롼청구
德昂族,더앙족
路環,콜로아느섬
越秀区,웨슈구
喀什地区,카슈가르 지구
洞口县,둥커우현
临安区,린안구
天长市,톈창시
丰都县,펑두현
1950年墨脫地震,1950년 아삼-티베트 지진
甘孜藏族自治州,간쯔 티베트족 자치주
额尔齐斯河,이르티시강
商朝,상나라
罗定市,뤄딩시
同江市,퉁장시
顺平县,순핑현
江苏路站,장쑤루역
晋江市,진장시
荃灣區,취안완 구
泌阳县,비양현
博爱县,보아이현
库车市,쿠처현
花园桥站,화위안차오 역
北京丰台站,베이징펑타이역
海淀五路居站,하이뎬우루쥐 역
中環中心,더 센터
富蕴县,푸윈현
和布克赛尔蒙古自治县,허부커싸이얼 몽골 자치현
疏附县,수푸현
绵阳市,몐양시
和静县,허징현
裕民县,위민현
鄯善县,산산현
浪卡子县,랑카쯔현
岳普湖县,웨푸후현
愛思唯爾,엘제비어
海珠区,하이주구
九龍寨城,구룡채성
天宫一号,톈궁 1호
肃州区,쑤저우구
江汉区,장한구
胶济客运专线,자오지 여객전용선
内江市,네이장시
乐山市,러산시
咸丰县,셴펑현
中国移动,중국이동통신
上海南站,상하이 남역
北京植物園,베이징 식물원
泊头市,보터우시
博兴县,보싱현
阳城县,양청현
广安区,광안구
博野县,보예현
宋家庄站,쑹자좡역
南充市,난충시
阿克苏市,아커쑤시
上海虹桥国际机场,상하이 훙차오 국제공항
满洲里市,만저우리시
博湖县,보후현
勃利县,보리현
巴楚县,마랄베시현
玛纳斯县,마나쓰현
温宿县,원쑤현
波密县,보미현
滨北铁路,빈베이 선
青河县,칭허현
伽师县,가스현
木垒哈萨克自治县,무러이 카자흐 자치현
上海证券交易所,상하이 증권거래소
上海體育場,상하이 체육장
遂宁市,쑤이닝시
中兴通讯,ZTE
涞水县,라이수이현
三河市,싼허시
靖江市,징장시
都江堰市,두장옌시
马山县,마산현
雅安市,야안시
本溪满族自治县,번시 만족 자치현
北京地鐵1號線,베이징 지하철 1호선
2000年夏季奥林匹克运动会中国代表团,2000년 하계 올림픽 중화인민공화국 선수단
坊子区,팡쯔구
北海公园,베이하이 공원
高句丽王城、王陵及贵族墓葬,고대 고구려 왕국의 수도와 무덤군
实德集团,스더 그룹
2012年中国反日示威活动,2012년 중국의 반일 시위
博乐市,보러시
博山区,보산구
長洲,청차우섬
确山县,췌산현
达州市,다저우시
峨眉山,어메이산
沙洋县,사양현
芒市,루시 시
东阳市,둥양시
中央广播电视总台光华路办公区,CCTV 본사 빌딩
中国漫画,중국 만화
吴淞江,우쑹강
2007年中国足球超级联赛,중국 슈퍼리그 2007
2004年中国足球超级联赛,중국 슈퍼리그 2004
2005年中国足球超级联赛,중국 슈퍼리그 2005
2009年亞足聯U19女子青年錦標賽,2009년 AFC U-19 여자 챔피언십
任丘市,런추시
中国国家足球队,중국 축구 국가대표팀
隆子县,룽쯔현
中华人民共和国政治,중화인민공화국의 정치
中国地震烈度表,중국 진도 계급
地级市,지급시
隆阳区,룽양구
吉利控股集团,지리
黃大仙區,웡다이신구
北京电影学院,베이징 영화 학원
尼木县,니무현
东安区,둥안구
东乡族,둥샹족
顺河回族区,순허 후이족구
辽宁足球俱乐部,랴오닝 훙윈
安岳县,안웨현
清丰县,칭펑현
枭龙战机,FC-1
萨嘎县,싸가현
青城山,칭청산
PP视频,PPLive
同人遊戲,동인 게임
中英關係,영국-중화인민공화국 관계
泗水县,쓰수이현
南京地铁,난징 지하철
会德丰国际广场,상하이 윌락 광장
兰溪市,란시시
如皋市,루가오시
1991年女子世界杯足球赛,1991년 FIFA 여자 월드컵
安多县,안둬현
香港飛馬足球會,TSW 페가수스
莱茵集团,RWE
眉山市,메이산시
宜宾市,이빈시
公安机关,중화인민공화국 공안부
中华人民共和国水利部,중화인민공화국 수리부
中华人民共和国民政部,중화인민공화국 민정부
中国网,중국망
中华人民共和国国家民族事务委员会,국가민족사무위원회
察哈尔蒙古语,차하르 몽골어
2006年中国足球超级联赛,중국 슈퍼리그 2006
黄鹤楼,황학루
重陽節,중양절
殷墟,은허
塔克拉玛干沙漠,타커라마간 사막
南海区,난하이구
信宜市,신이시
隆安縣,룽안현
2008年夏季奧林匹克運動會網球比賽—男子單打,2008년 하계 올림픽 테니스 남자 단식
广元市,광위안시
江山市,장산시
上虞区,상위구
離島區,리다오구
兴宁市,싱닝시
合蚌客运专线,허벙 고속철도
中国美术,중국 미술사
巴克特里亚语,박트리아어
中国北方航空6136号班机空难,중국북방항공 6136편 추락 사고
大连软件园,다롄 소프트웨어 파크
吉木萨尔县,지무싸얼현
牛郎织女,견우직녀
国家体育场,베이징 국가체육장
香港藝術館,홍콩 예술관
茶具文物館,플랙스태프 하우스
中国红十字会,중국 적십자사
中日聯合聲明,중일공동성명
黃巾之亂,황건적의 난
奧林匹克運動會中國香港代表團,올림픽 홍콩 선수단
广安市,광안시
嵊州市,성저우시
汨罗市,미뤄시
托里县,퉈리현
霍林郭勒市,훠린궈러시
中华人民共和国教育,중화인민공화국의 교육
郵政局,마카오 우정국
阳关,양관
梁山泊,양산박
黄埔区,황푸구
共和县,궁허현
新郑市,신정시
中国基督教,중국의 기독교
秦始皇陵,진시황릉
新会区,신후이구
从化区,충화 시
中国共产党中央委员会政法委员会,중국 공산당 중앙정치법률위원회
嘉兴南湖,난호
柳江区,류장 현
奥林匹克公园,올림픽 공원
连山壮族瑶族自治县,롄산 좡족 야오족 자치현
乐昌市,러창시
太湖,타이 호
彝族,이족
响水县,샹수이현
2008年夏季奧林匹克運動會田徑比賽－男子100米,2008년 하계 올림픽 육상 남자 100m
中国人民解放军海军,중국 인민해방군 해군
塔什库尔干塔吉克自治县,타스쿠얼간 타지크 자치현
洪江市,훙장시
霍邱县,훠추현
长春亚泰足球俱乐部,창춘 야타이
淮滨县,화이빈현
乌鲁木齐地窝堡国际机场,우루무치 디워푸 국제공항
海原县,하이위안현
中国铁路高速列车,중국철로고속
廣深港高速鐵路,광선강 고속철도
香港電影金紫荊獎,금자형장
阿勒泰市,아러타이시
上汽集团,상하이 자동차
丹江口大坝,단장커우 저수지
南浦大桥,난푸 대교
中国民生银行,중국민생은행
藏王墓,총예 계곡
四方区,쓰팡구
壤塘县,랑탕현
札达县,자다현
大宁县,다닝현
2012年夏季奥林匹克运动会中国代表团,2012년 하계 올림픽 중화인민공화국 선수단
陆丰市,루펑시
台江区,타이장구
龙海区,룽하이구
鹤山市,허산시
阳春市,양춘시
陈巴尔虎旗,천바얼후 기
中日和平友好條約,중일평화우호조약
中國鋁業,중국알루미늄주식유한공사
绥芬河市,쑤이펀허시
科尔沁右翼中旗,커얼친 우익중기
扎赉特旗,짜라이터 기
阿拉善盟,아라산맹
茅盾文学奖,마오둔 문학상
2008年夏季奧林匹克運動會棒球比賽,2008년 하계 올림픽 야구
乳源瑶族自治县,루위안 야오족 자치현
2008年夏季奧林匹克運動會射擊比賽－女子定向飛靶,2008년 하계 올림픽 사격 여자 스키트
湘西土家族苗族自治州,샹시 투자족 먀오족 자치주
苏州轨道交通,쑤저우 궤도교통
徐兰客运专线,쉬란 고속철도
京沪铁路,징후 철로
2008年夏季奥林匹克运动会中国代表团,2008년 하계 올림픽 중화인민공화국 선수단
赞皇县,잔황현
枣强县,짜오창현
京沪高速铁路,징후 고속철도
一汽-大众汽车,제일-폭스바겐 모터스
城东区,청둥구
2008年夏季奥林匹克运动会田径比赛－女子200米,2008년 하계 올림픽 육상 여자 200m
德令哈市,더링하시
莫力达瓦达斡尔族自治旗,모리다와 다우르족 자치기
和硕县,허숴현
上海国际电影节,상하이 국제 영화제
武都区,우두구
饶河县,라오허현
稷山县,지산현
吴桥县,우차오현
唐山大地震,탕산 지진
上海地铁,상하이 지하철
芙蓉区,푸룽구
衡陽市,헝양시
西安咸阳国际机场,시안 셴양 국제공항
鼓浪屿,구랑위
同安区,퉁안구
2010年冬季奥林匹克运动会中国代表团,2010년 동계 올림픽 중화인민공화국 선수단
广晟国际大厦,더 피나클
中华人民共和国节日与公众假期,중화인민공화국의 공휴일
杂多县,짜둬현
元上都,상도
石狮市,스스시
翔安区,샹안구
坡头区,포터우구
2008年夏季奧林匹克運動會跳水比賽－男子10米高臺,2008년 하계 올림픽 다이빙 남자 10m 플랫폼
浦口区,푸커우구
大箐山县,다칭산현
麦盖提县,마이가이티현
谯城区,차오청구
阿伊高速公路,카이 고속공로
雨湖区,위후구
2008年夏季奧林匹克運動會帆船比賽,2008년 하계 올림픽 요트
南岔县,난차현
成县,청현
西峡县,시샤현
雷山县,레이산현
2008年夏季奧林匹克運動會現代五項比賽,2008년 하계 올림픽 근대5종
连州市,롄저우시
高要区,가오야오 시
阿穆尔板块,아무르판
安州区,안 현
亚洲冰球联赛,아시아리그 아이스하키
浏阳市,류양시
耒阳市,레이양시
廈門航空,샤먼 항공
2010年冬季奥林匹克运动会中国香港代表团,2010년 동계 올림픽 홍콩 선수단
恩和俄罗斯民族乡,언허 어뤄쓰족 민족향
瓦院戰鬥,군우리 전투
江城哈尼族彝族自治县,장청 하니족 이족 자치현
会泽县,후이쩌현
双湖县,솽후 특별구
赤柱,첵취
砚山县,옌산현
盱眙县,쉬이현
迪庆藏族自治州,디칭 티베트족 자치주
长乐区,창러구
天河区,톈허구
1996年夏季奥林匹克运动会中国代表团,1996년 하계 올림픽 중국 선수단
浦西,푸시
闽侯县,민허우현
临湘市,린샹시
甘井子區,간징쯔구
2008年夏季奧林匹克運動會花樣游泳比賽,2008년 하계 올림픽 싱크로나이즈
西湖区,시후구
东北边疆历史与现状系列研究工程,동북공정
1988年夏季奥林匹克运动会中国代表团,1988년 하계 올림픽 중화인민공화국 선수단
南山区,난산구
华晨汽车集团,화천자동차
馬哈蘭格·喜瑪爾,마할랑구르 히말
华北平原,화베이 평원
1984年夏季奧林匹克運動會中國代表團,1984년 하계 올림픽 중화인민공화국 선수단
徐家匯,쉬자후이
阿城区,아청구
满族,만주족
2035年9月2日日食,2035년 9월 2일 일식
莘县,선현
新闸路站,신자루역
龙游县,룽유현
江蘇足球俱樂部,장쑤 FC
汝南县,루난현
海沧区,하이창구
鸡东县,지둥현
辽中区,랴오중구
2008年夏季奧林匹克運動會羽毛球男子雙打比賽,2008년 하계 올림픽 배드민턴 남자 복식
武汉绿地中心,우한 그린랜드 센터
北仑区,베이룬구
扎兰屯市,자란툰시
上海磁浮示范运营线,상하이 자기부상 시범운행선
河津市,허진시
洛隆县,뤄룽현
井陉矿区,징싱밍 구
蔡甸区,차이뎬구
新市区,신스구
定日县,딩르현
嘉黎县,자리현
申扎县,선자현
玛沁县,마친현
江达县,장다현
色尼区,써니구
凉城县,량청현
中国中央电视台中文国际频道,CCTV-4
中国堕胎,중국의 낙태
2004年夏季奥林匹克运动会中国代表团,2004년 하계 올림픽 중화인민공화국 선수단
和田县,허톈현
2011年缅甸地震,2011년 미얀마 지진
岳陽市,웨양시
邵武市,사오우시
瑞金市,루이진시
枣阳市,짜오양시
枣庄市,짜오좡시
三水区,싼수이구
凉州区,량저우구
五常市,우창시
丹阳市,단양시
京津城际铁路,징진 고속철도
龙门县,룽먼현
广水市,광수이시
湖滨区,후빈구
华为,화웨이
灵丘县,링추현
郊区,자오구
上海市历史博物馆,상하이역사박물관
特别行政区,특별행정구
类乌齐县,레이우치현
索县,쒀현
城关区,청관구
明天廣場,투모로우 광장
辉南县,후이난현
黄州区,황저우구
南丫島,라마섬
中国围棋天元战,중국위기천원전
甘丹寺,간덴 사원
张华浜站,장화방역
怒江傈僳族自治州,누장 리수족 자치주
吉县,지현
223国道,국도 제223호선
当雄县,당슝현
汾阳市,펀양시
洛浦县,뤄푸현
香格里拉市,샹그릴라 현
安顺市,안순시
油尖旺區,유젠왕 구
龙山县,룽산현
三星堆遺址,싼싱두이
毕节市,비제 지구
义勇军进行曲,중화인민공화국의 국가
思茅区,쓰마오구
望江县,왕장현
简阳市,젠양시
柯尔克孜族,키르기스인
六盤水市,류판수이시
黔东南苗族侗族自治州,첸둥난 먀오족 둥족 자치주
白塔区,바이타구
北纬38度线,북위 38도선
汶川大地震,2008년 쓰촨성 지진
台安县,타이안현
建宁县,젠닝현
涟水县,롄수이현
新浪,시나닷컴
卡若区,창두 현
铜仁市,퉁런 지구
乌兹别克族,우즈베크인
天河体育中心,톈허 스포츠 센터
庆云县,칭윈현
浮山县,푸산현
薛城区,쉐청구
和谐3型电力机车,중국철도부 HXD3형 전기기관차
2008年夏季奧林匹克運動會羽毛球混合雙打比賽,2008년 하계 올림픽 배드민턴 혼합 복식
郊区,자오구
香港星光大道,성광대도
萝岗区,뤄강구
达尔罕茂明安联合旗,다얼한마오밍안 연합기
人人网,런런왕
2008年夏季奧林匹克運動會游泳比賽女子200米混合泳比賽,2008년 하계 올림픽 수영 여자 200m 개인혼영
普洱市,푸얼시
头屯河区,터우툰허구
玉树市,위수 현
工布江达县,궁부장다현
乐陵市,러링 시
海曙区,하이수구
南雄市,난슝시
中國－巴基斯坦邊界,중화인민공화국-파키스탄 국경
中华人民共和国政府,중화인민공화국 정부
东西湖区,둥시후구
亞洲公路6號線,아시안 하이웨이 6호선
亞洲公路1號線,아시안 하이웨이 1호선
同里镇,퉁리 진
新昌县,신창현
吴兴区,우싱구
社會民主連線,사회민주련선
云山战斗,운산-영변 전투
中日韩领导人会议,한중일 정상회의
民航空運公司,민항공운공사
西伯利亞高壓,시베리아 기단
阿勒泰地区,아러타이 지구
山南市,산난시
2015年世界田徑錦標賽,2015년 세계 육상 선수권 대회
上海摩天大樓列表,상하이 초고층 건물 목록
尉氏县,웨이스현
Mi-8直升機,밀 Mi-8
維多利亞港,빅토리아항
青铜峡市,칭퉁샤시
廣深鐵路,광선 선
2008年夏季奧林匹克運動會自行車比賽－女子越野賽,2008년 하계 올림픽 사이클 여자 크로스컨트리
2008年夏季奧林匹克運動會自行車比賽－男子越野賽,2008년 하계 올림픽 사이클 남자 크로스컨트리
南木林县,난무린현
康马县,캉마현
陵水黎族自治县,링수이 리족 자치현
天津站,톈진역
尼玛县,니마현
贡觉县,궁줴현
岗巴县,강바현
噶尔县,가얼현
夏河县,샤허현
永修县,융슈현
麻阳苗族自治县,마양 먀오족 자치현
安达市,안다시
傲游浏览器,맥스톤
安定区,안딩 구 (딩시 시)
曲靖市,취징시
西吉县,시지현
巴丹吉林沙漠,바단지린 사막
祁连县,치롄현
晋州市,진저우시
皮山县,피산현
凭祥市,핑샹시
东台市,둥타이시
顺德区,순더구
2008年夏季奧林匹克運動會射擊比賽－女子50米步槍三姿,2008년 하계 올림픽 사격 여자 50m 소총 3자세
历下区,리샤구
羊卓雍错,암드록쵸 호수
2008年夏季奧林匹克運動會射擊比賽－男子10米空氣手槍,2008년 하계 올림픽 사격 남자 10m 공기권총
江永县,장융현
下关区,샤관구
上海国际汽车工业博览会,상하이 국제 모터쇼
丹阜高速公路,단푸 고속공로
西貢區,시궁구
保山市,바오산시
香港聯合交易所,홍콩 증권거래소
西沙之战,파라셀 제도 해전
白朗县,바이랑현
玉溪市,위시시
改则县,가이쩌현
七星关区,비제 시
番禺区,판위구
德州市,더저우시
漠河市,모허시
渤海湾,보하이만
新乐市,신러시
建德市,젠더시
沈海高速公路,선하이 고속공로
绥满高速公路,쑤이만 고속공로
衡阳县,헝양현
复旦大学,푸단 대학
辽东湾,랴오둥만
昂仁县,앙런현
聂荣县,녜룽현
巴青县,바칭현
舒城县,수청현
邵氏兄弟,쇼브라더스
帕米爾高原,파미르고원
太谷区,타이구현
乌尔禾区,우얼허구
萝北县,뤄베이현
松桃苗族自治县,쑹타오 먀오족 자치현
江孜县,장쯔현
广澳高速公路,강아오 고속공로
哈同高速公路,하퉁 고속공로
鹤大高速公路,허다 고속공로
琼中黎族苗族自治县,충중 리족 먀오족 자치현
天山区,톈산구
郫都区,피두구
延寿县,옌서우현
乐东黎族自治县,러둥 리족 자치현
康平县,캉핑현
昌江黎族自治县,창장 리족 자치현
容城县,룽청현
丘北县,추베이현
中国中央电视台军事·农业频道,CCTV-7
文井路站,웬징루 역
建始县,젠스현
黃島區,황다오구
2008年夏季奧林匹克運動會射擊比賽－女子不定向飛靶,2008년 하계 올림픽 사격 여자 트랩
台山市,타이산시
连平县,롄핑현
麻山区,마산구
中国－吉尔吉斯斯坦关系,중화인민공화국-키르기스스탄 관계
澳門甲組足球聯賽,리가 드 일리트
2008年夏季奧林匹克運動會男子100米自由泳比賽,2008년 하계 올림픽 수영 남자 100m 자유형
东经130度线,동경 130도
柳城县,류청현
古交市,구자오시
吴中区,우중구
重慶大廈,충칭 빌딩
天津滨海国际机场,톈진 빈하이 국제공항
郸城县,단청현
2008年夏季奧林匹克運動會射擊比賽－男子不定向飛靶,2008년 하계 올림픽 사격 남자 트랩
桥西区,차오시구
依兰县,이란현
通河县,퉁허현
献县,셴현
临沧市,린창시
咸陽市,셴양시
连霍高速公路,롄훠 고속공로
京港澳高速公路,징강아오 고속공로
京昆高速公路,징쿤 고속공로
东乡族自治县,둥샹족 자치현
重庆江北国际机场,충칭 장베이 국제공항
屏边苗族自治县,핑볜 먀오족 자치현
青岛胶州湾大桥,자오저우만 대교
2008年夏季奧林匹克運動會跳水比賽,2008년 하계 올림픽 다이빙
英德市,잉더시
高银金融117,골딘 파이낸스 117
桐柏县,퉁바이현
平房区,핑팡구
玉佛寺,위포쓰
2008年夏季奧林匹克運動會比賽場館列表,2008년 하계 올림픽의 경기장
火焰山,화염산
海北藏族自治州,하이베이 티베트족 자치주
红山区,훙산구
黄岩区,황옌구
宜州区,이저우 시
澄海区,청하이구
兴化市,싱화시
日土县,르투현
天安門廣場,톈안먼 광장
喀什站,카슈가르역
白帝城,바이디성
百度百科,바이두백과
新都区,신두구
达坂城区,다반청구
道外区,다오와이구
呼兰区,후란구
木兰县,무란현
中国龙队,차이나 드래곤
中国人民志愿军,중국인민지원군
胶州湾,자오저우만
安次区,안치구
大连周水子国际机场,다롄 저우수이쯔 국제공항
宁晋县,닝진현
人民广场站,런민광창역
龙山区,룽산구
平乐县,핑러현
米林市,미린현
墨江哈尼族自治县,모장 하니족 자치현
肃宁县,쑤닝현
信州区,신저우구
融水苗族自治县,룽수이 먀오족 자치현
阿拉善右旗,아라산 우기
鹽田仔,임틴자이섬
維多利亞城,빅토리아시티
桂平市,구이핑시
美兰区,메이란구
虹桥路站,훙차오루역
复兴区,푸싱구
华阴市,화인시
聂拉木县,녜라무현
秦州区,친저우구
北京南站,베이징 남역
2008年夏季奧林匹克運動會游泳比賽女子200米蛙泳比賽,2008년 하계 올림픽 수영 여자 200m 평영
唐乾陵,건릉
永济市,융지시
拉萨贡嘎机场,라싸 공가 공항
黟县,이현
乃堆拉山口,나투 라
平遥古城,핑야오 고성
崇明区,충밍구
中华人民共和国外交,중화인민공화국의 대외 관계
中国银行,중국은행
西湖,시 호
大嶼山,란터우섬
沙依巴克区,사이바커구
什邡市,스팡시
中苏交恶,중소 분쟁
河南足球俱乐部,허난 쑹산 룽먼
搜狐,소후
殷都区,인두구
灵渠,영거
中國舊石器文化列表,중국의 구석기 유물 목록
赫哲族,나나이족
中国石油,페트로차이나
新青区,신칭구
宝山区,바오산구
自治州,자치주 (중화인민공화국)
景宁畲族自治县,징닝 서족 자치현
梅河口市,메이허커우시
荷塘区,허탕구
八达岭,팔달령 장성
澳門新葡京酒店,그랜드 리스보아
兰陵县,창산 현 (린이 시)
仓山区,창산구
苍溪县,창시현
彝良县,이량현
潞城区,루청 시
冀州区,지저우구
班公错,판공호
中蒙關係,몽골-중화인민공화국 관계
花都区,화두구
颱風布拉萬,태풍 볼라벤
周口店北京人遗址,저우커우뎬
馬灣,마완
2018年8月11日日食,2018년 8월 11일 일식
万山区,완산구
中华全国总工会,중화전국총공회
五家渠市,우자취시
香港城市大學,홍콩 시립 대학
京沪高速公路,징후 고속공로
京台高速公路,징타이 고속공로
京新高速公路,징신 고속공로
广州塔,광저우 타워
阿瓦提县,아와티현
亚东县,야둥현
墨脱县,모퉈현
澄江市,청장현
海河,하이허
巴东县,바둥현
八公山区,바궁산구
1990年广州白云机场劫机相撞事件,1990년 광저우 바이윈 공항 충돌 사고
集美区,지메이구
徽县,후이현
深圳航空,선전 항공
长白山脈,창바이산맥
椒江区,자오장구
望花区,왕화구
沈河区,선허구
名山区,밍산구
東平洲,둥핑자우섬
姑苏区,구쑤구
青云谱区,칭윈푸구
察隅县,차위현
欧洲E60公路,유럽 고속도로 60호선
阿巴嘎旗,아바가 기
临高县,린가오현
恩施市,언스시
喀什市,카슈가르시
宝清县,바오칭현
铜川市,퉁촨시
上海体育馆站,상하이 체육관 역
涪江,부강
上党区,상당구
青岛市,칭다오시
广州周大福金融中心,CTF 광저우
洛子峰,로체산
榆林市,위린시
天津地铁,톈진 지하철
闽江,민강
东乡区,둥샹구
中哈關係,중화인민공화국-카자흐스탄 관계
鱼峰区,위펑구
宝丰县,바오펑현
宝墩文化,바오둔 문화
保靖县,바오징현
保康县,바오캉현
靖边县,징볜현
射洪市,서훙현
環球時報,환구시보
中国海洋石油集团有限公司,중국해양석유총공사
第三次印度支那戰爭,제3차 인도차이나 전쟁
2010年亞洲運動會曲棍球比賽,2010년 아시안 게임 하키
道真仡佬族苗族自治县,다오전 거라오족 먀오족 자치현
澄迈县,청마이현
文县,원현
巴宜区,바이 구 (린즈 현)
车师,차사국
侯马市,허우마시
官渡区,관두구
东山县,둥산현
利川市,리촨시
宝鸡市,바오지시
延安市,옌안시
南乐县,난러현
中国共产党中央书记处,중국 공산당 중앙서기처
中华人民共和国国务院副总理,중화인민공화국 국무원 부총리
安康市,안캉시
香港航空,홍콩 항공
上海北站,상하이 북역
博格达峰,보거다펑
复兴门站,푸싱먼역
班玛县,반마현
班戈县,반거현
白河县,바이허현
白碱滩区,바이젠탄구
卓奥友峰,초오유
宝应县,바오잉현
马尔康市,마얼캉시
汉中市,한중시
中山公园站,중산궁위안 역
丹凤县,단펑현
淮安区,화이안구
富锦路站,푸진루역
北京中医药大学,베이징 중의약대학
土桥站,투차오역
四惠東站,쓰후이 동역
四惠站,스후이 역
苹果园站,핑궈위안역
交通銀行,중국교통은행
旗,기 (행정 구역)
马卡鲁峰,마칼루
中华人民共和国教育部,중화인민공화국 교육부
北京猛虎队,베이징 타이거스
天津雄獅隊,톈진 라이언스
2010年中国大奖赛,2010년 포뮬러 원 중화인민공화국 그랑프리
2012年中国大奖赛,2012년 중화인민공화국 그랑프리
柏孜克里克千佛洞,베제클리크 천불동
西安交通大学,시안 자오퉁 대학
德天瀑布,더톈-반족 폭포
北京地鐵八通線,베이징 지하철 바퉁선
南昌站,난창역
中北大学,중베이 대학
呈贡区,청궁구
库姆塔格沙漠,로프노르
309国道,국도 제309호선
上海迪士尼度假區,상하이 디즈니랜드 리조트
中华人民共和国铁道部,중화인민공화국 철도부
西藏南路站,시짱난루역
蓝村路站,란춘루역
松江新城站,송장신청 역
浦东国际机场站,푸둥 국제공항 역
2013年世界羽毛球錦標賽,2013년 세계 배드민턴 선수권 대회
峨边彝族自治县,어볜 이족 자치현
南昌市,난창시
2009年中国大奖赛,2009년 포뮬러 원 중화인민공화국 그랑프리
横断山脉,헝돤산맥
金沙江,진사강
港城路站,강청루역
曲阜的孔庙、孔林、孔府,삼공
京九铁路,징주 철로
华南,화난
白水县,바이수이현
白下区,바이샤구
柏乡县,바이샹현
白银区,바이인구
大兴安岭地区,다싱안링 지구
宝安区,바오안구
保德县,바오더현
济南市,지난시
DJJ1型电力动车组,중국철도 DJJ1
边坝县,볜바현
上海國際賽車場,상하이 인터내셔널 서킷
萨特莱杰河,수틀레지강
百花齐放、百家争鸣,백화제방·백가쟁명
大雁塔,대안탑
嘉樂庇總督大橋,카르발류 총독 대교
2019年1月6日日食,2019년 1월 6일 일식
岑巩县,천궁현
东营区,둥잉구
塔什库尔干镇,타스쿠르간
北川羌族自治县,베이촨 창족 자치현
北戴河区,베이다이허구
北关区,베이관구
北湖区,베이후구
国立西南联合大学,중화민국 국립 시난 연합 대학
商洛市,상뤄시
承德避暑山庄和外八庙,피서산장
华北地区,화베이
珠江新城,주장신청
黄兴路站,황싱루 역
鞍山新村站,안산신춘 역
黄兴公园站,황싱 공원 역
北流市,베이류시
北汽福田,포톤 자동차
天潼路站,톈통루 역
中国泛蓝联盟,중국범람연맹
娄山关路站,루샨관루역
威宁路站,웨이닝루역
淞虹路站,쑹훙루역
灵岩南路站,링옌난루역
北新泾站,베이신징역
世纪公园站,스지공원역
深圳證券交易所,선전 증권거래소
沁水县,친수이현
元宝山区,위안바오산구
巴州区,바저우구
霸州市,바저우시
中華人民共和國國家旅遊局,중화인민공화국 국가여유국
延吉中路站,옌지중루 역
苍梧县,창우 현 (우저우 시)
沧源佤族自治县,창위안 와족 자치현
中国美术学院,중국미술학원
巴里坤哈萨克自治县,바리쿤 카자흐 자치현
八宿县,바쑤현
拜城县,바이청현
四川冠城足球俱樂部,쓰촨 관청
霍特國際商學院,헐트 국제경영대학원
广州站,광저우역
广州地铁2号线,광저우 지하철 2호선
上海证券交易所综合股价指数,상하이 종합지수
南皮县,난피현
包河区,바오허구
新疆大学,신장 대학
大盘鸡,다판지
宝塔区,바오타구
保亭黎族苗族自治县,바오팅 리족 먀오족 자치현
宝兴县,바오싱현
广州国际金融中心,광저우 국제금융센터
太子河,타이쯔허
海东市,하이둥 지구
東區海底隧道,둥구 해저 터널
社区,사구
山海关,산해관
温岭市,원링시
上海交通大学,상하이 자오퉁 대학
广东省人民体育场,광둥성 인민경기장
北京宏登足球俱樂部,베이징 홍덩 FC
澳門國際機場,마카오 국제공항
呼中区,후중구
新乡县,신샹현
2008年夏季奧林匹克運動會游泳比賽男子200米背泳比賽,2008년 하계 올림픽 수영 남자 200m 배영
长沙市,창사시
北汽集团,베이징 자동차 그룹
北京奔驰,베이징 벤츠
北京世界公园,베이징 세계공원
岢岚县,커란현
北京西站,베이징 서역
北京天文台施密特CCD小行星计划,베이징 슈미트 CCD 소행성 관측 계획
观山湖区,관산후구
静乐县,징러현
古北口镇,구베이커우진
东方市,둥팡시
广州地铁1号线,광저우 지하철 1호선
2010年亚洲运动会中国代表团,2010년 아시안 게임 중국 선수단
吉澳,갓오섬
2008年中国奶制品污染事件,2008년 중국산 유제품 멜라민 오염사건
上海站,상하이역
安福县,안푸현
昂昂溪区,앙앙시구
涡扇10,WS-10
南宁市,난닝시
源汇区,위안후이구
方正县,팡정현
陇南市,룽난시
新野县,신예현
北塘区,베이탕구
北屯市,베이툰시
北京国安足球俱乐部,베이징 궈안
北林区,베이린 구 (쑤이화 시)
碑林區,베이린 구 (시안 시)
北票市,베이퍄오시
北市区,베이스구
北塔区,베이타구
呼图壁县,후투비현
庐山会议,루산 회의
巴马瑶族自治县,바마 야오족 자치현
青藏高原,티베트고원
中国科学院,중국과학원
习水县,시수이현
西藏历史,티베트의 역사
南城县,난청현
西单民主墙,민주벽
繁体字,정체자
南京站,난징역
CCTV杯电视围棋快棋赛,중신은행배
香港邊境禁區,변경금구
中华人民共和国农业部,중화인민공화국 농업부
家庭联产承包责任制,가정연산승포책임제
梅江,매강
锡伯族,시버족
副地级市,부지급시
觀塘,군통
汤阴县,탕인현
厦门高崎国际机场,샤먼 가오치 국제공항
木里藏族自治县,무리 티베트족 자치현
没有共产党就没有新中国,공산당이 없다면 신중국은 없다
如心廣場,니나 타워
克木族,크무족
松北区,쑹베이구
2006年世界短道游泳锦标赛,2006년 세계 쇼트 코스 수영 선수권 대회
天坛大佛,천단대불
上海轨道交通10号线,상하이 지하철 10호선
