陈定,チンサダ,chén dìng,chinsada
超仪,ホー,MODIFIED,chāo yí,hō
侯,ホウ,MODIFIED,hóu,hou
凤连,オオトリレン,MODIFIED,fèng lián,ootoriren
晓旭,アカツキアサヒ,MODIFIED,xiǎo xù,akatsukiasahi
洪文,ヒロシブン,MODIFIED,hóng wén,hiroshibun
德昭,コク,MODIFIED,dé zhāo,koku
伍,ゴ,MODIFIED,wǔ,go
家朗,イエロウ,MODIFIED,jiā lǎng,ierou
洛能,ラクノウ,MODIFIED,luò néng,rakunou
若琳,コン,MODIFIED,ruò lín,kon
帖,ジョウ,MODIFIED,tiē,jou
虚云,クモ,MODIFIED,xū yún,kumo
延东,ノベヒガシ,MODIFIED,yán dōng,nobehigashi
开来,ヒラキライ,MODIFIED,kāi lái,hirakirai
严,イム,MODIFIED,yán,imu
牛,ウシ,MODIFIED,niú,ushi
剑锋,ケンホコサキ,MODIFIED,jiàn fēng,kenhokosaki
杏儿,ウー,MODIFIED,xìng ér,ū
明珠,アキラタマ,MODIFIED,míng zhū,akiratama
法融,ホウトオル,MODIFIED,fǎ róng,houtooru
希愈,マレイヨイヨ,MODIFIED,xī yù,mareiyoiyo
南,ミナミ,MODIFIED,nán,minami
立教,リッキョウ,MODIFIED,lì jiào,rikkyou
子溢,ロー,MODIFIED,zǐ yì,rō
耀汉,ン,MODIFIED,yào hàn,n
子雄,チーホン,MODIFIED,zǐ xióng,chīhon
歌慧,ウォン,MODIFIED,gē huì,won
文静,ブンセイ,MODIFIED,wén jìng,bunsei
雪霏,ヤン,MODIFIED,xuě fēi,yan
咏诗,エイシ,MODIFIED,yǒng shī,eishi
天华,ツェー,MODIFIED,tiān huá,tsē
岸青,キシアオ,MODIFIED,àn qīng,kishiao
晓东,アカツキヒガシ,MODIFIED,xiǎo dōng,akatsukihigashi
雯雯,ウェンウェン,MODIFIED,wén wén,wenwen
夏,ナツ,MODIFIED,xià,natsu
宝龙,タカラリュウ,MODIFIED,bǎo lóng,takararyuu
颖妍,チャン,MODIFIED,yǐng yán,chan
国生,コクショウ,MODIFIED,guó shēng,kokushou
淑芳,ヨシヨシ,MODIFIED,shū fāng,yoshiyoshi
房,ボウ,MODIFIED,fáng,bou
峰辉,ミネアキラ,MODIFIED,fēng huī,mineakira
俊彦,トシヒコ,MODIFIED,jùn yàn,toshihiko
大宝,タイホウ,MODIFIED,dà bǎo,taihou
袁,ユエン,MODIFIED,yuán,yuen
和平,ウーピン,MODIFIED,hé píng,ūpin
秀岩,シュウイワ,MODIFIED,xiù yán,shuuiwa
翊云,リー,MODIFIED,yì yún,rī
光烈,ヒカリレツ,MODIFIED,guāng liè,hikariretsu
恩庭,オンニワ,MODIFIED,ēn tíng,onniwa
祖善,ソゼン,MODIFIED,zǔ shàn,sozen
文俊,フミトシ,MODIFIED,wén jùn,fumitoshi
纯清,ジュンキヨシ,MODIFIED,chún qīng,junkiyoshi
立波,タツナミ,MODIFIED,lì bō,tatsunami
舜筠,モウ,MODIFIED,shùn yún,mou
汉良,カンリョウ,MODIFIED,hàn liáng,kanryou
法宪,ホウケン,MODIFIED,fǎ xiàn,houken
晓岩,アカツキイワ,MODIFIED,xiǎo yán,akatsukiiwa
屠,ホフ,MODIFIED,tú,hofu
元梓,モトアズサ,MODIFIED,yuán zǐ,motoazusa
艳梅,ツヤウメ,MODIFIED,yàn méi,tsuyaume
景,ケイ,MODIFIED,jǐng,kei
力钧,チカラヒトシ,MODIFIED,lì jūn,chikarahitoshi
红冰,ベニコオリ,MODIFIED,hóng bīng,benikoori
回,カイ,MODIFIED,huí,kai
良玉,リョウダマ,MODIFIED,liáng yù,ryoudama
学谦,ガクケン,MODIFIED,xué qiān,gakuken
铁山,テツザン,MODIFIED,tiě shān,tetsuzan
肇星,ハジメボシ,MODIFIED,zhào xīng,hajimeboshi
卫平,マモルタイラ,MODIFIED,wèi píng,mamorutaira
晓春,アカツキハル,MODIFIED,xiǎo chūn,akatsukiharu
鹿,シカ,MODIFIED,lù,shika
心社,ココロシャ,MODIFIED,xīn shè,kokorosha
金荣,キムサカエ,MODIFIED,jīn róng,kimusakae
敬之,タカユキ,MODIFIED,jìng zhī,takayuki
园慧,エントシ,MODIFIED,yuán huì,entoshi
外庐,ソトイオリ,MODIFIED,wài lú,sotoiori
冠吾,カンムリワレ,MODIFIED,guān wú,kanmuriware
基儿,ライ,MODIFIED,jī ér,rai
崇博,タカヒロ,MODIFIED,chóng bó,takahiro
励淇,チョウ,MODIFIED,lì qí,chou
功红,コウベニ,MODIFIED,gōng hóng,koubeni
邬,ヴィヴィアン,MODIFIED,wū,vivian
君梅,ウー,MODIFIED,jūn méi,ū
尔,イー,MODIFIED,ěr,ī
冬升,トンシン,MODIFIED,dōng shēng,tonshin
立红,タツベニ,MODIFIED,lì hóng,tatsubeni
祥福,サチフク,MODIFIED,xiáng fú,sachifuku
小凤,チョイ,MODIFIED,xiǎo fèng,choi
保中,ホチュウ,MODIFIED,bǎo zhōng,hochuu
敏尔,サトシナンジ,MODIFIED,mǐn ěr,satoshinanji
苗,ナエ,MODIFIED,miáo,nae
希德,マレトク,MODIFIED,xī dé,maretoku
葛,カズラ,MODIFIED,gě,kazura
洪升,ヒロシマス,MODIFIED,hóng shēng,hiroshimasu
晓松,アカツキマツ,MODIFIED,xiǎo sōng,akatsukimatsu
欣潼,チョン,MODIFIED,xīn tóng,chon
世才,セサイ,MODIFIED,shì cái,sesai
羽佳,ワン,MODIFIED,yǔ jiā,wan
劳,ロウ,MODIFIED,láo,rou
丽诗,ウララシ,MODIFIED,lì shī,urarashi
日君,ニチキミ,MODIFIED,rì jūn,nichikimi
智晟,サトシアキラ,MODIFIED,zhì shèng,satoshiakira
荣光,エイコウ,MODIFIED,róng guāng,eikou
秀丽,シュウレイ,MODIFIED,xiù lì,shuurei
冠英,ホイ,MODIFIED,guān yīng,hoi
孝通,タカミチ,MODIFIED,xiào tōng,takamichi
志峰,ココロザシホウ,MODIFIED,zhì fēng,kokorozashihou
小威,ショウイ,MODIFIED,xiǎo wēi,shoui
晓锋,アカツキホコサキ,MODIFIED,xiǎo fēng,akatsukihokosaki
英华,エイカ,MODIFIED,yīng huá,eika
谨伦,ルエン,MODIFIED,jǐn lún,ruen
阿玉,アダマ,MODIFIED,ā yù,adama
灵益,レイエキ,MODIFIED,líng yì,reieki
静初,セイハツ,MODIFIED,jìng chū,seihatsu
海峰,ミホ,MODIFIED,hǎi fēng,miho
海胜,ウミショウ,MODIFIED,hǎi shèng,umishou
穆,キヨシ,MODIFIED,mù,kiyoshi
铁柱,テッチュウ,MODIFIED,tiě zhù,tetchuu
浩田,ヒロシタ,MODIFIED,hào tián,hiroshita
家栋,イエトウ,MODIFIED,jiā dòng,ietou
田,タ,MODIFIED,tián,ta
纪云,キノクモ,MODIFIED,jì yún,kinokumo
舒漫,チョン,MODIFIED,shū màn,chon
慧敏,チョウ,MODIFIED,huì mǐn,chou
东明,トウメイ,MODIFIED,dōng míng,toumei
黎,ハジム,MODIFIED,lí,hajimu
海荣,ウミサカエ,MODIFIED,hǎi róng,umisakae
彭,パン,MODIFIED,péng,pan
浩翔,ホーチョン,MODIFIED,hào xiáng,hōchon
麦,アラン,MODIFIED,mài,aran
兆辉,マック,MODIFIED,zhào huī,makku
达志,シュッツ,MODIFIED,dá zhì,shuttsu
小环,タム,MODIFIED,xiǎo huán,tamu
品梅,シナウメ,MODIFIED,pǐn méi,shinaume
剑英,ケンエイ,MODIFIED,jiàn yīng,kenei
时轮,トキワ,MODIFIED,shí lún,tokiwa
令,リョウ,MODIFIED,lìng,ryou
计划,ケイカク,MODIFIED,jì huà,keikaku
生贤,ナマケン,MODIFIED,shēng xián,namaken
晓刚,アカツキツヨシ,MODIFIED,xiǎo gāng,akatsukitsuyoshi
露露,ワン,MODIFIED,lù lù,wan
小,ショウ,MODIFIED,xiǎo,shou
滕,ジョイス,MODIFIED,téng,joisu
丽名,タン,MODIFIED,lì míng,tan
克明,コクメイ,MODIFIED,kè míng,kokumei
观澄,カンキヨシ,MODIFIED,guān chéng,kankiyoshi
戴,ダイ,MODIFIED,dài,dai
思杰,シージエ,MODIFIED,sī jié,shījie
石曾,イシソ,MODIFIED,shí céng,ishiso
津浩,ツヒロシ,MODIFIED,jīn hào,tsuhiroshi
岸英,キシスグル,MODIFIED,àn yīng,kishisuguru
晓飞,アカツキヒ,MODIFIED,xiǎo fēi,akatsukihi
永清,エイキヨシ,MODIFIED,yǒng qīng,eikiyoshi
井,イ,MODIFIED,jǐng,i
柏然,カシワシカ,MODIFIED,bǎi rán,kashiwashika
永华,エイハナ,MODIFIED,yǒng huá,eihana
胤良,イー,MODIFIED,yìn liáng,ī
先楚,センスワエ,MODIFIED,xiān chǔ,sensuwae
德伦,フォン,MODIFIED,dé lún,fon
全有,チョンユウ,MODIFIED,quán yǒu,chonyuu
昊辰,ハオチェン,MODIFIED,hào chén,haochen
经武,ケイブ,MODIFIED,jīng wǔ,keibu
肇,ハジメ,MODIFIED,zhào,hajime
俊哲,シュンアキラ,MODIFIED,jùn zhé,shunakira
博文,ヒロブミ,MODIFIED,bó wén,hirobumi
云龙,クモリュウ,MODIFIED,yún lóng,kumoryuu
楚,スワエ,MODIFIED,chǔ,suwae
金玲,キムレイ,MODIFIED,jīn líng,kimurei
晓鹏,アカツキオオトリ,MODIFIED,xiǎo péng,akatsukiootori
宝库,ホウコ,MODIFIED,bǎo kù,houko
柳,ヤナギ,MODIFIED,liǔ,yanagi
传志,ツトウココロザシ,MODIFIED,chuán zhì,tsutoukokorozashi
锡进,スズススム,MODIFIED,xī jìn,suzususumu
剑卿,ケンキョウ,MODIFIED,jiàn qīng,kenkyou
贝宁,カイヤスシ,MODIFIED,bèi níng,kaiyasushi
泽田,サワダ,MODIFIED,zé tián,sawada
金莲,キムレン,MODIFIED,jīn lián,kimuren
勤勤,ツトムツトム,MODIFIED,qín qín,tsutomutsutomu
长春,チョウシュン,MODIFIED,cháng chūn,choushun
留成,トメナル,MODIFIED,liú chéng,tomenaru
汉超,カンチョウ,MODIFIED,hàn chāo,kanchou
朝旭,アサアサヒ,MODIFIED,cháo xù,asaasahi
守盛,マモリサカリ,MODIFIED,shǒu shèng,mamorisakari
绍雄,シウホン,MODIFIED,shào xióng,shiuhon
贵仁,タカヒト,MODIFIED,guì rén,takahito
滨兴,ハマキョウ,MODIFIED,bīn xīng,hamakyou
成武,ナルブ,MODIFIED,chéng wǔ,narubu
刁,ディアオ,MODIFIED,diāo,diao
亦男,イーナン,MODIFIED,yì nán,īnan
翠华,ミドリハナ,MODIFIED,cuì huá,midorihana
亚洲,アシュウ,MODIFIED,yà zhōu,ashuu
建红,タテクレナイ,MODIFIED,jiàn hóng,tatekurenai
国标,クニシルベ,MODIFIED,guó biāo,kunishirube
童,ワラベ,MODIFIED,tóng,warabe
世平,ヨタイラ,MODIFIED,shì píng,yotaira
席,セキ,MODIFIED,xí,seki
振峰,フミネ,MODIFIED,zhèn fēng,fumine
苗龙,ナエリュウ,MODIFIED,miáo lóng,naeryuu
喜斌,キアキラ,MODIFIED,xǐ bīn,kiakira
克石,カツセキ,MODIFIED,kè shí,katsuseki
仁泰,ユー,MODIFIED,rén tài,yū
哲琴,ダワ,MODIFIED,zhé qín,dawa
璨琛,リー,MODIFIED,càn chēn,rī
雅伦,チャン,MODIFIED,yǎ lún,chan
冬鹏,フユオオトリ,MODIFIED,dōng péng,fuyuootori
名照,メイアキラ,MODIFIED,míng zhào,meiakira
学忠,ガクタダシ,MODIFIED,xué zhōng,gakutadashi
泽林,サワリン,MODIFIED,zé lín,sawarin
蔡,マシュー,MODIFIED,cài,mashū
明绍,チャドウィック,MODIFIED,míng shào,chadowikku
骏凌,シュンリョウ,MODIFIED,jùn líng,shunryou
子君,コクン,MODIFIED,zǐ jūn,kokun
云逸,クモイッ,MODIFIED,yún yì,kumoiッ
辛,カラシ,MODIFIED,xīn,karashi
俊仁,シュンヒトシ,MODIFIED,jùn rén,shunhitoshi
朝平,アサタイラ,MODIFIED,cháo píng,asataira
汉谋,カンハカリゴト,MODIFIED,hàn móu,kanhakarigoto
良才,リョウサイ,MODIFIED,liáng cái,ryousai
岳,タケ,MODIFIED,yuè,take
开先,ヒラキサキ,MODIFIED,kāi xiān,hirakisaki
学昌,ガクアキラ,MODIFIED,xué chāng,gakuakira
良礼,リョウレイ,MODIFIED,liáng lǐ,ryourei
永昌,エイショウ,MODIFIED,yǒng chāng,eishou
燕卿,ツバメキョウ,MODIFIED,yàn qīng,tsubamekyou
选平,センタイラ,MODIFIED,xuǎn píng,sentaira
梅,ウメ,MODIFIED,méi,ume
兰芳,ランカオル,MODIFIED,lán fāng,rankaoru
天明,テンメイ,MODIFIED,tiān míng,tenmei
小东,シウトン,MODIFIED,xiǎo dōng,shiuton
壮壮,タケシタケシ,MODIFIED,zhuàng zhuàng,takeshitakeshi
天乐,クー,MODIFIED,tiān lè,kū
恩富,オントミ,MODIFIED,ēn fù,ontomi
琢言,ミガクゲン,MODIFIED,zhuó yán,migakugen
开甲,ヒラキカブト,MODIFIED,kāi jiǎ,hirakikabuto
家辉,チャーフィー,MODIFIED,jiā huī,chāfī
超声,チョウコエ,MODIFIED,chāo shēng,choukoe
卡,カ,MODIFIED,kǎ,ka
楚米,ツニ,MODIFIED,chǔ mǐ,tsuni
伟信,イップ,MODIFIED,wěi xìn,ippu
祖康,ソヤスシ,MODIFIED,zǔ kāng,soyasushi
文文,ブンブン,MODIFIED,wén wén,bunbun
冠杰,ホイ,MODIFIED,guān jié,hoi
光祖,ヒカリソ,MODIFIED,guāng zǔ,hikariso
来燕,ライツバメ,MODIFIED,lái yàn,raitsubame
凤莲,オオトリレン,MODIFIED,fèng lián,ootoriren
宪明,ノリアキ,MODIFIED,xiàn míng,noriaki
锡龙,スズリュウ,MODIFIED,xī lóng,suzuryuu
尤,ユウ,MODIFIED,yóu,yuu
勇智,イサム,MODIFIED,yǒng zhì,isamu
冬雨,フユウ,MODIFIED,dōng yǔ,fuyuu
德仁,トクヒトシ,MODIFIED,dé rén,tokuhitoshi
柏豪,パッホウ,MODIFIED,bǎi háo,pahhou
约翰,サイズ,MODIFIED,yuē hàn,saizu
日言,ン,MODIFIED,rì yán,n
子聪,コサト,MODIFIED,zǐ cōng,kosato
靖超,ヤスシチョウ,MODIFIED,jìng chāo,yasushichou
立群,タツグン,MODIFIED,lì qún,tatsugun
铸久,イヒサ,MODIFIED,zhù jiǔ,ihisa
绿,グ,MODIFIED,lǜ,gu
坝娘,リーンダムタン,MODIFIED,bà niáng,rīndamutan
之谦,コレケン,MODIFIED,zhī qiān,koreken
忠云,チュウクモ,MODIFIED,zhōng yún,chuukumo
祖琳,コク,MODIFIED,zǔ lín,koku
翁,オウ,MODIFIED,wēng,ou
兰成,ランシゲル,MODIFIED,lán chéng,ranshigeru
婉婷,チャン,MODIFIED,wǎn tíng,chan
承志,ウケタマワココロザシ,MODIFIED,chéng zhì,uketamawakokorozashi
云山,クモヤマ,MODIFIED,yún shān,kumoyama
绿汀,ミドリナギサ,MODIFIED,lǜ tīng,midorinagisa
国梁,クニヤナ,MODIFIED,guó liáng,kuniyana
伯明,ハクアキラ,MODIFIED,bǎi míng,hakuakira
友兰,トモラン,MODIFIED,yǒu lán,tomoran
隆平,リュウヘイ,MODIFIED,lóng píng,ryuuhei
国清,クニキヨ,MODIFIED,guó qīng,kunikiyo
惠,メグミ,MODIFIED,huì,megumi
尉,ジョウ,MODIFIED,wèi,jou
小洋,ショウヨウ,MODIFIED,xiǎo yáng,shouyou
瑞恩,ライ,MODIFIED,ruì ēn,rai
威威,イイ,MODIFIED,wēi wēi,ii
力生,チカラセイ,MODIFIED,lì shēng,chikarasei
鹏芳,オオトリカオル,MODIFIED,péng fāng,ootorikaoru
丽虹,コウ,MODIFIED,lì hóng,kou
陆,ジン,MODIFIED,lù,jin
思敬,ルージ,MODIFIED,sī jìng,rūji
云迪,リ,MODIFIED,yún dí,ri
沙,イサゴ,MODIFIED,shā,isago
孟,タケシ,MODIFIED,mèng,takeshi
学农,ガクノウ,MODIFIED,xué nóng,gakunou
日华,ウォン,MODIFIED,rì huá,won
菊英,クァン,MODIFIED,jú yīng,kuァn
香,コウ,MODIFIED,xiāng,kou
苏红,ソクレナイ,MODIFIED,sū hóng,sokurenai
英东,エイヒガシ,MODIFIED,yīng dōng,eihigashi
文,ジャニス,MODIFIED,wén,janisu
咏珊,マン,MODIFIED,yǒng shān,man
方舟,ハコブネ,MODIFIED,fāng zhōu,hakobune
孔坚,アナケン,MODIFIED,kǒng jiān,anaken
厘王,オウ,MODIFIED,lí wáng,ou
至鹏,イタリオオトリ,MODIFIED,zhì péng,itariootori
苑,キングダム,MODIFIED,yuàn,kingudamu
琼丹,ユン,MODIFIED,qióng dān,yun
祖名,チャン,MODIFIED,zǔ míng,chan
姬,ヒメ,MODIFIED,jī,hime
鹏飞,オオトリヒ,MODIFIED,péng fēi,ootorihi
贤亮,ケンアキラ,MODIFIED,xián liàng,kenakira
正操,セイミサオ,MODIFIED,zhèng cāo,seimisao
德生,トクセイ,MODIFIED,dé shēng,tokusei
阿,オモネ,MODIFIED,ā,omone
部力,ブリョク,MODIFIED,bù lì,buryoku
雪尧,ユキタカシ,MODIFIED,xuě yáo,yukitakashi
诗雅,ワイ,MODIFIED,shī yǎ,wai
忠良,タダヨシ,MODIFIED,zhōng liáng,tadayoshi
萧,エドウィン,MODIFIED,xiāo,edowin
正楠,シウ,MODIFIED,zhèng nán,shiu
孝生,タカオ,MODIFIED,xiào shēng,takao
汉文,リョン,MODIFIED,hàn wén,ryon
春华,ハルカ,MODIFIED,chūn huá,haruka
浦,ウラ,MODIFIED,pǔ,ura
志强,ココロザシキョウ,MODIFIED,zhì qiáng,kokorozashikyou
郎,ロウ,MODIFIED,láng,rou
羽生,ハブ,MODIFIED,yǔ shēng,habu
罗庚,ラカノエ,MODIFIED,luó gēng,rakanoe
有光,アリミツ,MODIFIED,yǒu guāng,arimitsu
华清,ハナキヨシ,MODIFIED,huá qīng,hanakiyoshi
枝明,エダアキラ,MODIFIED,zhī míng,edaakira
石孙,イシマゴ,MODIFIED,shí sūn,ishimago
锡麟,ルーク,MODIFIED,xī lín,rūku
启立,ケイリツ,MODIFIED,qǐ lì,keiritsu
克芹,カツセリ,MODIFIED,kè qín,katsuseri
关根,セキネ,MODIFIED,guān gēn,sekine
健泓,タン,MODIFIED,jiàn hóng,tan
幼军,ヨウグン,MODIFIED,yòu jūn,yougun
基伟,モトエラ,MODIFIED,jī wěi,motoera
邹,レイモンド,MODIFIED,zōu,reimondo
文怀,チョウ,MODIFIED,wén huái,chou
楚耀,クァン,MODIFIED,chǔ yào,kuァn
红雷,ベニカミナリ,MODIFIED,hóng léi,benikaminari
文诗,アウ,MODIFIED,wén shī,au
瑞强,アウ,MODIFIED,ruì qiáng,au
薛,フィオナ,MODIFIED,xuē,fiona
凯琪,シット,MODIFIED,kǎi qí,shitto
笔畅,フデトオル,MODIFIED,bǐ chàng,fudetooru
伟时,エラトキ,MODIFIED,wěi shí,eratoki
晓江,アカツキコウ,MODIFIED,xiǎo jiāng,akatsukikou
忠实,チュウジツ,MODIFIED,zhōng shí,chuujitsu
方桂,ホウカツラ,MODIFIED,fāng guì,houkatsura
裘,ジョー,MODIFIED,qiú,jō
小龙,シャーロン,MODIFIED,xiǎo lóng,shāron
文金,ブンキン,MODIFIED,wén jīn,bunkin
从军,ジュウグン,MODIFIED,cóng jūn,juugun
冠忠,カンムリタダシ,MODIFIED,guān zhōng,kanmuritadashi
少云,ショウクモ,MODIFIED,shǎo yún,shoukumo
运秋,ウンアキ,MODIFIED,yùn qiū,unaki
韦,ワイ,MODIFIED,wéi,wai
律成,リツシゲル,MODIFIED,lǜ chéng,ritsushigeru
依林,ヨハヤシ,MODIFIED,yī lín,yohayashi
云鹏,クモオオトリ,MODIFIED,yún péng,kumoootori
东兴,トウコウ,MODIFIED,dōng xīng,toukou
德全,トクゼン,MODIFIED,dé quán,tokuzen
伯新,ギブソン,MODIFIED,bǎi xīn,gibuson
继愈,ツギイヨイヨ,MODIFIED,jì yù,tsugiiyoiyo
博洋,ヒロシヨウ,MODIFIED,bó yáng,hiroshiyou
振辉,フテル,MODIFIED,zhèn huī,futeru
少波,ショウナミ,MODIFIED,shǎo bō,shounami
静思,セイシ,MODIFIED,jìng sī,seishi
富春,トミハル,MODIFIED,fù chūn,tomiharu
国祥,ツァン,MODIFIED,guó xiáng,tsan
才厚,サイアツシ,MODIFIED,cái hòu,saiatsushi
祖伦,ソリン,MODIFIED,zǔ lún,sorin
雪健,ユキケン,MODIFIED,xuě jiàn,yukiken
伏佳,フクヨ,MODIFIED,fú jiā,fukuyo
成林,ナルリン,MODIFIED,chéng lín,narurin
伯雄,ハクユウ,MODIFIED,bǎi xióng,hakuyuu
玉洋,タマヨウ,MODIFIED,yù yáng,tamayou
冠文,ホイ,MODIFIED,guān wén,hoi
秋月,シュウゲツ,MODIFIED,qiū yuè,shuugetsu
敬明,モリアキ,MODIFIED,jìng míng,moriaki
满洲,マンチュー,MODIFIED,mǎn zhōu,manchū
舜臣,シュンシン,MODIFIED,shùn chén,shunshin
鸿升,オオトリノボル,MODIFIED,hóng shēng,ootorinoboru
建柱,タテハシラ,MODIFIED,jiàn zhù,tatehashira
金龙,キムリュウ,MODIFIED,jīn lóng,kimuryuu
咏仪,ユン,MODIFIED,yǒng yí,yun
月明,ゲツメイ,MODIFIED,yuè míng,getsumei
跃华,オドハナ,MODIFIED,yuè huá,odohana
振声,フコエ,MODIFIED,zhèn shēng,fukoe
实秋,ジツアキ,MODIFIED,shí qiū,jitsuaki
志坚,ココロザシケン,MODIFIED,zhì jiān,kokorozashiken
淑怡,クァン,MODIFIED,shū yí,kuァn
秀英,シュウエイ,MODIFIED,xiù yīng,shuuei
孝文,タカフミ,MODIFIED,xiào wén,takafumi
晓彬,アカツキアキラ,MODIFIED,xiǎo bīn,akatsukiakira
济深,スミフカ,MODIFIED,jì shēn,sumifuka
望道,モチドウ,MODIFIED,wàng dào,mochidou
晓庆,アカツキケイ,MODIFIED,xiǎo qìng,akatsukikei
若望,ワカモチ,MODIFIED,ruò wàng,wakamochi
万年,マンネン,MODIFIED,wàn nián,mannen
向晖,ムカイアキラ,MODIFIED,xiàng huī,mukaiakira
树声,キゴエ,MODIFIED,shù shēng,kigoe
中基,チェン,MODIFIED,zhōng jī,chen
诗昆,シコン,MODIFIED,shī kūn,shikon
学智,ガクサトシ,MODIFIED,xué zhì,gakusatoshi
守信,マモリシン,MODIFIED,shǒu xìn,mamorishin
学而,チュウ,MODIFIED,xué ér,chuu
心武,ココロブ,MODIFIED,xīn wǔ,kokorobu
雨霏,ン,MODIFIED,yǔ fēi,n
生智,ナマサトシ,MODIFIED,shēng zhì,namasatoshi
连仲,レンナカ,MODIFIED,lián zhòng,rennaka
法岳,ホウダケ,MODIFIED,fǎ yuè,houdake
邵,マギー,MODIFIED,shào,magī
美琪,シュウ,MODIFIED,měi qí,shuu
玉宁,タマヤスシ,MODIFIED,yù níng,tamayasushi
子谦,コケン,MODIFIED,zǐ qiān,koken
育林,イクリン,MODIFIED,yù lín,ikurin
翠珊,ウォン,MODIFIED,cuì shān,won
伊伊,イイ,MODIFIED,yī yī,ii
稀哲,マレアキラ,MODIFIED,xī zhé,mareakira
荣,サカエ,MODIFIED,róng,sakae
毅仁,アツシヒトシ,MODIFIED,yì rén,atsushihitoshi
阶平,カイタイラ,MODIFIED,jiē píng,kaitaira
启龙,ケイリュウ,MODIFIED,qǐ lóng,keiryuu
明剑,アキラケン,MODIFIED,míng jiàn,akiraken
朴初,シラキハツ,MODIFIED,pǔ chū,shirakihatsu
忠祥,チュウサチ,MODIFIED,zhōng xiáng,chuusachi
康瑞,ロウ,MODIFIED,kāng ruì,rou
锡侯,スズコウ,MODIFIED,xī hóu,suzukou
蕙敏,リー,MODIFIED,huì mǐn,rī
日朗,リー,MODIFIED,rì lǎng,rī
立果,タツハテ,MODIFIED,lì guǒ,tatsuhate
太雷,フトシカミナリ,MODIFIED,tài léi,futoshikaminari
雨绮,チャン,MODIFIED,yǔ qǐ,chan
浩龙,ラウ,MODIFIED,hào lóng,rau
桥桥,ハシキョウ,MODIFIED,qiáo qiáo,hashikyou
东生,トウセイ,MODIFIED,dōng shēng,tousei
嘉良,カリョウ,MODIFIED,jiā liáng,karyou
清华,セイカ,MODIFIED,qīng huá,seika
文靖,ブンヤスシ,MODIFIED,wén jìng,bunyasushi
汝昌,ナンジアキラ,MODIFIED,rǔ chāng,nanjiakira
克华,カツハナ,MODIFIED,kè huá,katsuhana
国文,クニブン,MODIFIED,guó wén,kunibun
智英,トモヒデ,MODIFIED,zhì yīng,tomohide
晓兰,アカツキラン,MODIFIED,xiǎo lán,akatsukiran
家印,イエシルシ,MODIFIED,jiā yìn,ieshirushi
大卫,ダイマモル,MODIFIED,dà wèi,daimamoru
伯渠,ハクミゾ,MODIFIED,bǎi qú,hakumizo
子豪,マック,MODIFIED,zǐ háo,makku
秀文,チェン,MODIFIED,xiù wén,chen
瑞卿,ズイキョウ,MODIFIED,ruì qīng,zuikyou
玉生,タマニュウ,MODIFIED,yù shēng,tamanyuu
佳杰,ヨスグル,MODIFIED,jiā jié,yosuguru
木胜,チャン,MODIFIED,mù shèng,chan
成江,シゲルコウ,MODIFIED,chéng jiāng,shigerukou
文辉,フミテル,MODIFIED,wén huī,fumiteru
向前,コウマエ,MODIFIED,xiàng qián,koumae
香凝,コウコゴ,MODIFIED,xiāng níng,koukogo
志清,ココロザシキヨシ,MODIFIED,zhì qīng,kokorozashikiyoshi
小光,ショウヒカリ,MODIFIED,xiǎo guāng,shouhikari
岳峰,ダケノミネ,MODIFIED,yuè fēng,dakenomine
伟烈,エラレツ,MODIFIED,wěi liè,eraretsu
坤明,ヒツジサルアキラ,MODIFIED,kūn míng,hitsujisaruakira
蓝,アイ,MODIFIED,lán,ai
天立,テンリツ,MODIFIED,tiān lì,tenritsu
耀扬,チョン,MODIFIED,yào yáng,chon
伯承,ハクウケタマワ,MODIFIED,bǎi chéng,hakuuketamawa
朴,ボク,MODIFIED,pǔ,boku
文垚,ブンタカシ,MODIFIED,wén yáo,buntakashi
子平,シヘイ,MODIFIED,zǐ píng,shihei
洪祝,ヒロシシュク,MODIFIED,hóng zhù,hiroshishuku
管,カン,MODIFIED,guǎn,kan
超良,チョウリョウ,MODIFIED,chāo liáng,chouryou
赛凤,リー,MODIFIED,sài fèng,rī
士第,シオトウト,MODIFIED,shì dì,shiotouto
晓明,アカツキアキラ,MODIFIED,xiǎo míng,akatsukiakira
天娲,ヤン,MODIFIED,tiān wā,yan
怀礼,フトコロレイ,MODIFIED,huái lǐ,futokororei
丽兰,ウラララン,MODIFIED,lì lán,urararan
申,サル,MODIFIED,shēn,saru
纪兰,キノラン,MODIFIED,jì lán,kinoran
佟,トン,MODIFIED,tóng,ton
丽娅,リーヤー,MODIFIED,lì yà,rīyā
振忠,フタダシ,MODIFIED,zhèn zhōng,futadashi
常受,リー,MODIFIED,cháng shòu,rī
镇宇,ン,MODIFIED,zhèn yǔ,n
化文,カブン,MODIFIED,huà wén,kabun
诗诗,シシ,MODIFIED,shī shī,shishi
锡铭,スズメイ,MODIFIED,xī míng,suzumei
阿敏,オモネサト,MODIFIED,ā mǐn,omonesato
宝强,タカラツヨシ,MODIFIED,bǎo qiáng,takaratsuyoshi
桂贤,カツラケン,MODIFIED,guì xián,katsuraken
南翔,ミナミショウ,MODIFIED,nán xiáng,minamishou
淑敏,ヨシサトシ,MODIFIED,shū mǐn,yoshisatoshi
可秀,ミャオ,MODIFIED,kě xiù,myao
