ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
tomás padró,トマース・パドロ,tomāsu・padoro
rafael senet pérez,ラファエル・セネト・ペレス,rafaeru・seneto・peresu
ximo puig,シモ・プッチ,shimo・putchi
alejandro menéndez,アレハンドロ・メネンデス,arehandoro・menendesu
josé terrón,ホセ・テロン,hose・teron
monchi,モンチ,monchi
enric palomar,エンリク・パロマー,enriku・paromā
josé luis de delás,ホセ・ルイス・デ・デラス,hose・ruisu・de・derasu
jesús maría duñabeitia,ヘスス・マリア・ドゥニャベイティア,hesusu・maria・dunyabeitia
dolores redondo,ドロレス・レドンド,dororesu・redondo
maría chivite,マリア・チビテ,maria・chibite
diego tristán,ディエゴ・トリスタン,diego・torisutan
pedro cordero,ペドロ・コルデロ,pedoro・korudero
pablo hervías,パブロ・エルビアス,paburo・erubiasu
álvaro lemos,アルバロ・レモス,arubaro・remosu
celia robledo,セリア・ロブレド,seria・roburedo
fran sol,フラン・ソル,furan・soru
marc martínez aranda,マルク・マルティネス・アランダ,maruku・marutinesu・aranda
dani barrio,ダニ・バリオ,dani・bario
diego llorente,ディエゴ・ジョレンテ,diego・jorente
carlos akapo,カルロス・アカポ,karurosu・akapo
jagoba arrasate,ハゴバ・アラサテ,hagoba・arasate
adrián barbón,アドリアン・バルボン,adorian・barubon
rubén blanco,ルベン・ブランコ,ruben・buranko
ángel víctor torres,アンヘル・ビクトル・トーレス,anheru・bikutoru・tōresu
kevin vázquez,ケビン・バスケス,kebin・basukesu
fernando martínez rubio,フェルナンド・マルティネス・ルビオ,ferunando・marutinesu・rubio
cristian ceballos,クリスティアン・セバージョス,kurisutian・sebājosu
adrián embarba,アドリ・エンバルバ,adori・enbaruba
andreu arriola,アンドレウ・アリオラ,andoreu・ariora
artemi gavezou,アルテミ・ガヴェソ,arutemi・gavuェso
antonio jesús regal angulo,アントニオ・ヘスス・レガル・アングロ,antonio・hesusu・regaru・anguro
josé luis gayà,ホセ・ルイス・ガヤ,hose・ruisu・gaya
joseba zaldua,ホセバ・サルドゥア,hoseba・sarudua
víctor camarasa,ビクトル・カマラサ,bikutoru・kamarasa
lourdes mohedano,ルルデス・モエダーノ,rurudesu・moedāno
arancha gonzález laya,アランチャ・ゴンサレス・ラヤ,arancha・gonsaresu・raya
elena lópez,エレーナ・ロペス,erēna・ropesu
arturo tamayo,アルトゥーロ・タマヨ,arutūro・tamayo
ayoze pérez,アジョセ・ペレス,ajose・peresu
lucas torró,ルーカス・トロ,rūkasu・toro
carlos clerc,カルロス・クレルク,karurosu・kureruku
ander capa,アンデル・カパ,anderu・kapa
javi moyano,ハビ・モジャノ,habi・mojano
josep maria bartomeu,ジョゼップ・マリア・バルトメウ,jozeppu・maria・barutomeu
david costas,ダビド・コスタス,dabido・kosutasu
nahuel leiva,マティアス・ナウエル,matiasu・naueru
quique gonzález casín,エンリケ・ゴンサレス・カシン,enrike・gonsaresu・kashin
sergi samper,セルジ・サンペール,seruji・sanpēru
rubén sobrino,ルベン・ソブリーノ,ruben・soburīno
eduard campabadal,エドゥ・カンパバダル,edu・kanpabadaru
samuel garcía sánchez,サムエル・ガルシア・サンチェス,samueru・garushia・sanchesu
bruno hortelano,ブルーノ・ホルテラーノ,burūno・horuterāno
iván lópez mendoza,イバン・ロペス・メンドーサ,iban・ropesu・mendōsa
alexandre moreno,アレックス・モレノ,arekkusu・moreno
maikel mesa,マイケル・メサ,maikeru・mesa
david gónzalez plata,ダビド・ゴンサレス・プラタ,dabido・gonsaresu・purata
roque mesa,ロケ・メサ,roke・mesa
julio pleguezuelo,フリオ・プレゲスエロ,furio・puregesuero
pepe juan,ペペ・フアン,pepe・fuan
jason remeseiro,ジェイソン・レメセイロ,jeison・remeseiro
carlos vigaray,カルロス・ビガライ,karurosu・bigarai
clément lenglet,クレマン・ラングレ,kureman・rangure
cosme de acuña,コスメ・デ・アクニャ,kosume・de・akunya
eva calvo gómez,エバ・カルボ・ゴメス,eba・karubo・gomesu
imanol rojo,イマノル・ロホ,imanoru・roho
cristian herrera,クリスティアン・エレーラ,kurisutian・erēra
nano mesa,ナノ・メサ,nano・mesa
héctor bellerín,エクトル・ベジェリン,ekutoru・bejerin
aritz elustondo,アリツ・エルストンド,aritsu・erusutondo
rodrigo corrales,ロドリゴ・コラレス,rodorigo・koraresu
diego rico,ディエゴ・リコ,diego・riko
natalia de molina,ナタリア・デ・モリーナ,nataria・de・morīna
raquel barrientos,ラケル・バリエントス,rakeru・barientosu
bruno gonzález,ブルーノ・ゴンサレス,burūno・gonsaresu
fede san emeterio,フェデ・サン・エメテリオ,fede・san・emeterio
ramón souto,ラモン・ソウト,ramon・souto
rubén yáñez,ルベン・ジャニェス,ruben・janiェsu
jony rodríguez,ホニー・ロドリゲス,honī・rodorigesu
aarón escandell,アーロン・エスカンデル,āron・esukanderu
carlos fernández luna,カルロス・フェルナンデス・ルナ,karurosu・ferunandesu・runa
àngels gregori,アンジェルス・グラゴリ,anjerusu・guragori
álvaro medrán,アルバロ・メドラン,arubaro・medoran
aday benítez,アダイ・ベニテス,adai・benitesu
sandra aguilar,サンドラ・アギラール,sandora・agirāru
óscar whalley,オスカル・ウォーリー,osukaru・wōrī
juan manuel garcía garcía,フアン・マヌエル・ガルシア・ガルシア,fuan・manueru・garushia・garushia
laro herrero,ラロ・エレーロ,raro・erēro
pablo echenique,パブロ・エチェニケ,paburo・echenike
dani ceballos,ダニ・セバージョス,dani・sebājosu
marco asensio,マルコ・アセンシオ,maruko・asenshio
jaime mata,ハイメ・マタ,haime・mata
édgar méndez,エドガル・メンデス,edogaru・mendesu
pau lópez,パウ・ロペス,pau・ropesu
unai bustinza,ウナイ・ブスティンサ,unai・busutinsa
jon garaño,ヨン・ガラニョ,yon・garanyo
samuel urrabieta,サムエル・ウラビエタ,samueru・urabieta
vicente urrabieta,ビセンテ・ウラビエタ,bisente・urabieta
iñaki williams,イニャキ・ウィリアムズ,inyaki・wiriamuzu
federico ruiz,フェデリコ・ルイス,federiko・ruisu
jon ander serantes,ジョン・アンデル・セランテス,jon・anderu・serantesu
jaume munar,ハウメ・ムナル,haume・munaru
gonzalo melero,ゴンサロ・メレロ,gonsaro・merero
josé aurelio suárez,ホセ・アウレリオ・スアレス,hose・aurerio・suaresu
gerard gumbau,ジェラール・グンバウ,jerāru・gunbau
juancho hernangómez,フアンチョ・エルナンゴメス,fuancho・erunangomesu
íñigo eguaras,イニゴ・エグアラス,inigo・eguarasu
kenan kodro,ケナン・コドロ,kenan・kodoro
mikel merino,ミケル・メリーノ,mikeru・merīno
unai lópez,ウナイ・ロペス,unai・ropesu
airán fernández,アイラン・フェルナンデス,airan・ferunandesu
pere milla,ペレ・ミジャ,pere・mija
dani olmo,ダニ・オルモ,dani・orumo
jack harper,ジャック・ハーパー,jakku・hāpā
paula badosa,パウラ・バドサ,paura・badosa
marcelo djaló,マルセロ・ジャロ,marusero・jaro
samu castillejo,サム・カスティジェホ,samu・kasutijeho
jairo morillas,ハイロ・モリージャス,hairo・morījasu
joan jordán,ジョアン・ジョルダン,joan・jorudan
david garcía zubiria,ダビド・ガルシア・スビリア,dabido・garushia・subiria
jesús vallejo,ヘスス・バジェホ,hesusu・bajeho
clara azurmendi,クララ・アスルメンディ,kurara・asurumendi
borja iglesias,ボルハ・イグレシアス,boruha・igureshiasu
lucas hernández,リュカ・エルナンデス,ryuka・erunandesu
sergi palencia,セルジ・パレンシア,seruji・parenshia
jorge martín,ホルヘ・マルティン,horuhe・marutin
adrián marín gómez,アドリアン・マリン・ゴメス,adorian・marin・gomesu
robert ibáñez,ロベルト・イバニェス,roberuto・ibaniェsu
rubén duarte,ルベン・ドゥアルテ,ruben・duarute
david raya,ダビド・ラヤ,dabido・raya
álex berenguer,アレックス・ベレンゲル,arekkusu・berengeru
ager aketxe,アヘル・アケチェ,aheru・akeche
cecilio pizarro,セシリオ・ピサーロ,seshirio・pisāro
javier eraso,ハビエル・エラソ,habieru・eraso
david concha,ダビド・コンチャ,dabido・koncha
álex palou,アレックス・パロウ,arekkusu・parou
josé ángel pozo,ホセ・アンヘル・ポソ,hose・anheru・poso
alonso de cárdenas,アロンソ・デ・カルデナス,aronso・de・karudenasu
munir mohand mohamedi,ムニル・モハンド・モハメディ,muniru・mohando・mohamedi
enrique marín,エンリケ・マリン,enrike・marin
brian oliván,ブライアン・オリバン,buraian・oriban
carlos moreno gómez,カルロス・モレノ・ゴメス,karurosu・moreno・gomesu
jorge meré,ホルヘ・メレ,horuhe・mere
elena brockmann,エレナ・ブロックマン,erena・burokkuman
alfonso pedraza,アルフォンソ・ペドラサ,arufonso・pedorasa
jaume doménech,ジャウメ・ドメネク,jaume・domeneku
jon bautista,ジョン・バウティスタ,jon・bautisuta
martín merquelanz,マルティン・メルケランス,marutin・merukeransu
pol garcía,ポル・ガルシア,poru・garushia
sandro ramírez,サンドロ・ラミレス,sandoro・ramiresu
jordi fernández,ジョルディ・フェルナンデス,jorudi・ferunandesu
aliona bolsova,アリオナ・ボルソバ,ariona・borusoba
cristina gutiérrez,クリスティーナ・グティエレス,kurisutīna・gutieresu
joaquim salarich,ジョアキン・サラリック,joakin・sararikku
bienvenido marañón,ビエンベニード・マラニョン,bienbenīdo・maranyon
marc soler,マルク・ソレル,maruku・soreru
leticia romero,レティシア・ロメロ,retishia・romero
dani calvo,ダニ・カルボ,dani・karubo
claudia vega,クラウディア・ベガ,kuraudia・bega
pablo martinez,パブロ・マルティネス,paburo・marutinesu
aitor buñuel,アイトール・ブニュエル,aitōru・bunyueru
josep clarós,ジョゼップ・クラロス,jozeppu・kurarosu
álvaro soler,アルバロ・ソレール,arubaro・sorēru
álvaro odriozola,アルバロ・オドリオソラ,arubaro・odoriosora
luca sangalli,ルカ・サンガリ,ruka・sangari
luca zidane,ルカ・ジダン,ruka・jidan
iñigo lekue,イニゴ・レクエ,inigo・rekue
yeray álvarez,ジェライ・アルバレス,jerai・arubaresu
aleix garcía,アレイクス・ガルシア,areikusu・garushia
tomás de zumárraga,トマス・デ・スマラガ,tomasu・de・sumaraga
concha andreu,コンチャ・アンドレウ,koncha・andoreu
álex remiro,アレックス・レミロ,arekkusu・remiro
mikel vesga,ミケル・ベスガ,mikeru・besuga
gabriel rufián,ガブリエル・ルフィアン,gaburieru・rufian
sofian chakla,ソフィアン・チャクラ,sofian・chakura
antonio sivera,アントニオ・シベラ,antonio・shibera
asier villalibre,アシエル・ビジャリブレ,ashieru・bijaribure
maría bernabéu,マリア・ベルナベウ,maria・berunabeu
aleix febas,アレックス・フェバス,arekkusu・febasu
sergi guardiola,セルジ・グアルディオラ,seruji・guarudiora
jorge miramón,ホルヘ・ミラモン,horuhe・miramon
mario hermoso,マリオ・エルモソ,mario・erumoso
sabin merino,サビン・メリノ,sabin・merino
montse watkins,モンセ・ワトキンス,monse・watokinsu
joan sastre vanrell,ジョアン・サストレ・バンレル,joan・sasutore・banreru
antonio raíllo,アントニオ・ライージョ,antonio・raījo
antonio puertas,アントニオ・プエルタス,antonio・puerutasu
nadia calviño,ナディア・カルビニョ,nadia・karubinyo
rober correa,ロベル・コレア,roberu・korea
sergi canós,セルジ・カノス,seruji・kanosu
aitor cantalapiedra,アイトール・カンタラピエドラ,aitōru・kantarapiedora
iñigo córdoba,イニゴ・コルドバ,inigo・korudoba
rubén alcaraz,ルベン・アルカラス,ruben・arukarasu
rayderley zapata,ライデルレイ・サパタ,raiderurei・sapata
juan del campo,フアン・デル・カンポ,fuan・deru・kanpo
xavi quintillà,シャビ・キンティージャ,shabi・kintīja
pedro chirivella,ペドロ・チリベジャ,pedoro・chiribeja
iván alejo,イバン・アレホ,iban・areho
rodri hernández,ロドリゴ・エルナンデス,rodorigo・erunandesu
carles aleñá,カルレス・アレニャ,karuresu・arenya
jaime rosón,ハイメ・ロソン,haime・roson
pol llonch,ポル・ジョンチ,poru・jonchi
jairo izquierdo,ハイロ・イスキエルド,hairo・isukierudo
germán sánchez barahona,ヘルマン・サンチェス・バラオーナ,heruman・sanchesu・baraōna
rodrigo tarín,ロドリゴ・タリン,rodorigo・tarin
diego johannesson,ディエゴ・ヨハネソン,diego・yohaneson
enric mas,エンリク・マス,enriku・masu
gorka guruzeta,ゴルカ・グルセタ,goruka・guruseta
josé luis garcía vayá,ホセ・ルイス・ガルシア・バジャ,hose・ruisu・garushia・baja
joni montiel,ホニ・モンティエル,honi・montieru
césar hidalgo,セザー・ヒダルゴ,sezā・hidarugo
diego gonzález polanco,ディエゴ・ゴンサレス・ポランコ,diego・gonsaresu・poranko
marcos llorente,マルコス・ジョレンテ,marukosu・jorente
fran villalba,フラン・ビジャルバ,furan・bijaruba
mireia lalaguna,ミレイア・ララグナ,mireia・raraguna
curro sánchez,クーロ・サンチェス,kūro・sanchesu
pape cheikh diop,パペ・シェイク・ディオプ,pape・sheiku・diopu
gustavo gimeno,グスターボ・ヒメノ,gusutābo・himeno
barei,バレイ,barei
mikel oyarzabal,ミケル・オヤルサバル,mikeru・oyarusabaru
pablo fornals,パブロ・フォルナルス,paburo・forunarusu
javier ontiveros,ハビエル・オンティベロス,habieru・ontiberosu
josé arnaiz,ホセ・アルナイス,hose・arunaisu
fernando jubero,フェルナンド・フベロ,ferunando・fubero
carles pérez,カルレス・ペレス,karuresu・peresu
àlex carbonell,アレックス・カルボネイ,arekkusu・karubonei
marc cucurella,マルク・ククレジャ,maruku・kukureja
irene montero,イレーネ・モンテーロ,irēne・montēro
álvaro tejero,アルバロ・テヘロ,arubaro・tehero
fernando alarza,フェルナンド・アラルサ,ferunando・ararusa
manu garcía alonso,マヌエル・ガルシア・アロンソ,manueru・garushia・aronso
david soria solís,ダビド・ソリア・ソリス,dabido・soria・sorisu
jokin ezkieta,ホキン・エスキエタ,hokin・esukieta
diego martínez penas,ディエゴ・マルティネス・ペナス,diego・marutinesu・penasu
borja lasso,ボルハ・ラソ,boruha・raso
salvi sánchez,サルビ・サンチェス,sarubi・sanchesu
juan velarde,フアン・ベラルデ,fuan・berarude
mathías olivera,マティアス・オリベラ,matiasu・oribera
juan góngora,フアン・ゴンゴラ,fuan・gongora
igor zubeldia,イゴール・スベルディア,igōru・suberudia
unai simón,ウナイ・シモン,unai・shimon
abel azcona,アベル・アスコナ,aberu・asukona
rodrigo sorogoyen,ロドリゴ・ソロゴイェン,rodorigo・sorogoyen
mikel iturria,ミケル・イトゥリア,mikeru・ituria
sandra sánchez,サンドラ・サンチェス,sandora・sanchesu
pablo maffeo,パブロ・マフェオ,paburo・mafeo
joan mir,ジョアン・ミル,joan・miru
albert arenas,アルベルト・アレナス,aruberuto・arenasu
lluís planagumà,リュイス・プラナグマ,ryuisu・puranaguma
aarón martín,アーロン・マルティン,āron・marutin
víctor barrio,ビクトル・バリオ,bikutoru・bario
víctor álvarez rozada,ビクトル・アルバレス・ロサダ,bikutoru・arubaresu・rosada
jon rahm,ジョン・ラーム,jon・rāmu
jon ander garrido,ホン・アンデル・ガリード,hon・anderu・garīdo
álex gallar,アレックス・ガジャル,arekkusu・gajaru
luis pérez maqueda,ルイス・ペレス・マケダ,ruisu・peresu・makeda
adrián dalmau,アドリアン・ダルマウ,adorian・darumau
ángel garrido,アンヘル・ガリード,anheru・garīdo
antonio pérez balada,アントニオ・ペレス・バラダ,antonio・peresu・barada
sergio reguilón,セルヒオ・レギロン,seruhio・regiron
robin le normand,ロビン・ル・ノルマン,robin・ru・noruman
aitana bonmatí,アイタナ・ボンマティ,aitana・bonmati
jair amador,ジャイル・アマドール,jairu・amadōru
millie bobby brown,ミリー・ボビー・ブラウン,mirī・bobī・buraun
dafne keen,ダフネ・キーン,dafune・kīn
luismi quezada,ルイズミ・ケサダ,ruizumi・kesada
pol lirola,ポル・リロラ,poru・rirora
gustavo quezada,グスタボ・ケサダ,gusutabo・kesada
luis javier suárez,ルイス・ハビエル・スアレス,ruisu・habieru・suaresu
damián quintero,ダミアン・キンテーロ,damian・kintēro
francisco garrigós,フランシスコ・ガリゴス,furanshisuko・garigosu
julia figueroa,フリア・フィゲロア,furia・figeroa
cristian toro,クリスティアン・トロ,kurisutian・toro
javi galán,ハビ・ガラン,habi・garan
alejandro pozo,アレハンドロ・ポソ,arehandoro・poso
marc roca,マルク・ロカ,maruku・roka
carlos soler,カルロス・ソレール,karurosu・sorēru
fran beltrán,フラン・ベルトラン,furan・berutoran
luis enrique peñalver,ルイス・エンリケ・ペニャルベル,ruisu・enrike・penyaruberu
raúl fernández,ラウル・フェルナンデス,rauru・ferunandesu
rosalía,ロザリア,rozaria
maria dolors garcía ramón,マリア・ドロールス・ガルシア・ラモン,maria・dorōrusu・garushia・ramon
marc navarro,マルク・ナバーロ,maruku・nabāro
benito ramírez,ベニート・ラミレス,benīto・ramiresu
jorge cuenca,ホルヘ・クエンカ,horuhe・kuenka
jorge ruiz ojeda,ホルヘ・ルイス・オヘダ,horuhe・ruisu・oheda
josé manuel sánchez guillén,ホセ・マヌエル・サンチェス・ギジェン,hose・manueru・sanchesu・gijen
sergio akieme,セルヒオ・アキエメ,seruhio・akieme
oriol paulo,オリオル・パウロ,orioru・pauro
jon guridi,ホン・グリディ,hon・guridi
jon zabala,ジョン・サバラ,jon・sabara
sebas saiz,セバスチャン・サイズ,sebasuchan・saizu
josé luis muñoz león,ホセ・ルイス・ムニョス・レオン,hose・ruisu・munyosu・reon
jorge pombo,ホルヘ・ポンボ,horuhe・ponbo
josé carlos ramírez suárez,ホセ・カルロス・ラミレス・スアレス,hose・karurosu・ramiresu・suaresu
juan moreno fernández,フアン・モレノ・フェルナンデス,fuan・moreno・ferunandesu
álvaro fernández llorente,アルバロ・フェルナンデス・ジョレンテ,arubaro・ferunandesu・jorente
óscar melendo,オスカル・メレンド,osukaru・merendo
marc cardona,マルク・カルドナ,maruku・karudona
juanjo nieto,フアンホ・ニエト,fuanho・nieto
achraf hakimi,アクラフ・ハキミ,akurafu・hakimi
jaime seoane,ハイメ・セオアネ,haime・seoane
adrián diéguez,アドリアン・ディエゲス,adorian・diegesu
iker lecuona,イケル・レクオナ,ikeru・rekuona
jordi mboula,ジョルディ・ムブラ,jorudi・mubura
iván villar,イバン・ビジャール,iban・bijāru
víctor campuzano,ビクトル・カンプサーノ,bikutoru・kanpusāno
nacho vidal miralles,イグナシオ・ビダル・ミラージェス,igunashio・bidaru・mirājesu
brahim díaz,ブライム・ディアス,buraimu・diasu
abel ruiz,アベル・ルイス,aberu・ruisu
dani escriche,ダニ・エスクリチェ,dani・esukuriche
francis guerrero,フランシス・ゲレーロ,furanshisu・gerēro
unai nuñez,ウナイ・ヌニェス,unai・nuniェsu
josé antonio martínez gil,ホセ・アントニオ・マルティネス・ヒル,hose・antonio・marutinesu・hiru
álex mula,アレックス・ムラ,arekkusu・mura
roger brugué,ロジェール・ブルゲ,rojēru・buruge
ander guevara,アンデル・ゲバラ,anderu・gebara
augusto fernández,アウグスト・フェルナンデス,augusuto・ferunandesu
mateu morey,マテウ・モレイ,mateu・morei
fernando lópez miras,フェルナンド・ロペス・ミラス,ferunando・ropesu・mirasu
fernando calero,フェルナンド・カレロ,ferunando・karero
gaizka campos,ガイスカ・カンポス,gaisuka・kanposu
raúl guti,ラウール・グティ,raūru・guti
oriol busquets,オリオル・ブスケツ,orioru・busuketsu
darío poveda,ダリオ・ポベダ,dario・pobeda
hugo duro,ウーゴ・ドゥロ,ūgo・duro
dani raba,ダニ・ラバ,dani・raba
enrique barja,キケ・バルハ,kike・baruha
juan miranda gonzález,フアン・ミランダ・ゴンサレス,fuan・miranda・gonsaresu
sergio arenas,セルヒオ・アレナス,seruhio・arenasu
saúl coco,サウール・ココ,saūru・koko
hugo guillamón,ウーゴ・ギジャモン,ūgo・gijamon
javier fernández hernández,ハビエル・フェルナンデス・エルナンデス,habieru・ferunandesu・erunandesu
kike pérez,キケ・ペレス,kike・peresu
dani martín fernández,ダニエル・マルティン・フェルナンデス,danieru・marutin・ferunandesu
víctor chust,ビクトル・チュスト,bikutoru・chusuto
césar gelabert,セサル・ヘラベルト,sesaru・heraberuto
nacho méndez,ナチョ・メンデス,nacho・mendesu
moha traoré,モハメド・トラオレ,mohamedo・toraore
josh peters,ジョシュ・ペーターズ,joshu・pētāzu
andoni gorosabel,アンドニ・ゴロサベル,andoni・gorosaberu
brais méndez,ブライス・メンデス,buraisu・mendesu
alejandro davidovich fokina,アレハンドロ・ダビドビッチ・フォキナ,arehandoro・dabidobitchi・fokina
amaia romero,アマイア・ロメロ,amaia・romero
pau torres,パウ・トーレス,pau・tōresu
manu morlanes,マヌ・モルラネス,manu・moruranesu
sergio gonzález poirrier,セルヒオ・ゴンサレス・ポイリエル,seruhio・gonsaresu・poirieru
eugenia osterberger,エウヘニア・オステルベルヘル,euhenia・osuteruberuheru
josé carlos lazo,ホセ・カルロス・ラソ,hose・karurosu・raso
joana pastrana,ジョアナ・パストラーナ,joana・pasutorāna
álvaro aguado,アルバロ・アグアド,arubaro・aguado
martí vigo del arco,マルティ・ビーゴ・デル・アルコ,maruti・bīgo・deru・aruko
pedro porro,ペドロ・ポロ,pedoro・poro
paolo fernandes,パオロ・フェルナンデス,paoro・ferunandesu
martín aguirregabiria,マルティン・アギーレガビリア,marutin・agīregabiria
ferran torres,フェラン・トーレス,feran・tōresu
junior firpo,ジュニオル・フィルポ,junioru・firupo
angelo chol,アンジェロ・チョル,anjero・choru
iñigo vicente,イニゴ・ビセンテ,inigo・bisente
peru nolaskoain,ペル・ノラスコアイン,peru・norasukoain
álex pina,アレックス・ピナ,arekkusu・pina
carlos isaac,カルロス・イサーク,karurosu・isāku
chris ramos,クリス・ラモス,kurisu・ramosu
riqui puig,リキ・プッチ,riki・putchi
teresa ribera,テレサ・リベラ,teresa・ribera
pilar llop,ピラール・リョップ,pirāru・ryoppu
fran gámez,フラン・ガメス,furan・gamesu
luis milla manzanares,ルイス・ミジャ・マンサナレス,ruisu・mija・mansanaresu
waldo rubio,ワルド・ルビオ,warudo・rubio
aitor ruibal,アイトール・ルイバル,aitōru・ruibaru
pablo martínez andrés,パブロ・マルティネス・アンドレス,paburo・marutinesu・andoresu
ángela ponce,アンヘラ・ポンセ,anhera・ponse
félix sánchez bas,フェリックス・サンチェス・バス,ferikkusu・sanchesu・basu
juan cruz díaz espósito,フアン・クルス・ディアス・エスポーシト,fuan・kurusu・diasu・esupōshito
bernabé zapata miralles,ベルナベ・サパタ・ミラジェス,berunabe・sapata・mirajesu
dolores delgado,ドローレス・デルガド,dorōresu・derugado
reyes maroto,レジェス・マロト,rejesu・maroto
álex collado,アレックス・コリャード,arekkusu・koryādo
loren morón garcía,ロレンソ・モロン・ガルシア,rorenso・moron・garushia
pol lozano,ポル・ロサーノ,poru・rosāno
miguel ángel rubio lestan,ミゲル・アンヘル・ルビオ・レスタン,migeru・anheru・rubio・resutan
isabel díaz ayuso,イサベル・ディアス・アジュソ,isaberu・diasu・ajuso
nikoloz sherazadishvili,ニコロス・シェラザディシビリ,nikorosu・sherazadishibiri
joaquín muñoz benavides,ホアキン・ムニョス・ベナビデス,hoakin・munyosu・benabidesu
álex blanco,アレックス・ブランコ,arekkusu・buranko
roberto lópez alcaide,ロベルト・ロペス・アルカイデ,roberuto・ropesu・arukaide
gonzalo ávila gordón,ゴンサロ・アビラ・ゴルドン,gonsaro・abira・gorudon
andrés martín garcía,アンドレス・マルティン・ガルシア,andoresu・marutin・garushia
javier hernández carrera,ハビエル・エルナンデス・カレーラ,habieru・erunandesu・karēra
josé alberto lópez,ホセ・アルベルト・ロペス,hose・aruberuto・ropesu
carolina ceca,カロリーナ・セカ,karorīna・seka
robert navarro,ロベルト・ナバーロ,roberuto・nabāro
robert sánchez,ロベルト・サンチェス,roberuto・sanchesu
javi puado,ハビ・プアド,habi・puado
juan manuel pérez ruiz,フアン・マヌエル・ペレス・ルイス,fuan・manueru・peresu・ruisu
adrián bernabé,アドリアン・ベルナベ,adorian・berunabe
alberto soro,アルベルト・ソロ,aruberuto・soro
celia barquín,セリア・バルキン,seria・barukin
manu vallejo,マヌ・バジェホ,manu・bajeho
aihen muñoz,アイヘン・ムニョス,aihen・munyosu
rodrigo zalazar,ロドリゴ・サラサール,rodorigo・sarasāru
jairo quinteros,ハイロ・キンテロス,hairo・kinterosu
sergio moreno martínez,セルヒオ・モレノ・マルティネス,seruhio・moreno・marutinesu
adrià pedrosa,アドリア・ペドロサ,adoria・pedorosa
enric gallego,エンリク・ガジェゴ,enriku・gajego
usman garuba,ウスマン・ガルバ,usuman・garuba
javier avilés,ハビエル・アビレス,habieru・abiresu
salma paralluelo,サルマ・パラジュエロ,saruma・parajuero
eric curbelo,エリック・クルベロ,erikku・kurubero
dani vivian,ダニエル・ビビアン,danieru・bibian
salva ferrer,サルバ・フェレール,saruba・ferēru
álex sola,アレックス・ソラ,arekkusu・sora
cameron puertas,カメロン・プエルタス,kameron・puerutasu
jesús reina,ヘスス・レイナ,hesusu・reina
roberto gonzález bayón,ロベルト・ゴンサレス・バヨン,roberuto・gonsaresu・bayon
víctor mollejo,ビクトル・モジェホ,bikutoru・mojeho
sergio camello,セルヒオ・カメージョ,seruhio・kamējo
thierry futeu,ティエリー・フェウテウ,tierī・feuteu
jesús areso,ヘスス・アレソ,hesusu・areso
joel álvarez,ヨエル・アルバレス,yoeru・arubaresu
pablo moreno,パブロ・モレノ,paburo・moreno
martín zubimendi,マルティン・スビメンディ,marutin・subimendi
josep martínez,ジョゼップ・マルティネス,jozeppu・marutinesu
ilaix moriba,イライクス・モリバ,iraikusu・moriba
álex suárez,アレックス・スアレス,arekkusu・suaresu
sergi cardona,セルジ・カルドナ,seruji・karudona
kirian rodríguez,キリアン・ロドリゲス,kirian・rodorigesu
josé ignacio fernández garcía,ホセ・イグナシオ・フェルナンデス・ガルシア,hose・igunashio・ferunandesu・garushia
borja sainz,ボルハ・サインス,boruha・sainsu
ansu fati,アンス・ファティ,ansu・fati
javier martínez calvo,ハビエル・マルティネス・カルボ,habieru・marutinesu・karubo
ataúlfo de orleans,アタウルフォ・デ・オルレアンス,ataurufo・de・orureansu
enric franquesa,エンリク・フランケサ,enriku・furankesa
francisco javier hidalgo gómez,フランシスコ・ハビエル・イダルゴ・ゴメス,furanshisuko・habieru・idarugo・gomesu
ainhoa fernández,アイノア・フェルナンデス,ainoa・ferunandesu
cristian rodríguez pérez,クリスティアン・ロドリゲス・ペレス,kurisutian・rodorigesu・peresu
carlos neva,カルロス・ネバ,karurosu・neba
aimar oroz,アイマル・オロス,aimaru・orosu
esty quesada,エスティ・ケサダ,esuti・kesada
salvador illa,サルバドール・イジャ,sarubadōru・ija
rubén lópez huesca,ルベン・ロペス・ウエスカ,ruben・ropesu・uesuka
josé manuel albares,ホセ・マヌエル・アルバレス,hose・manueru・arubaresu
jorge azcón,ホルヘ・アスコン,horuhe・asukon
raúl garcía de haro,ラウール・ガルシア・デ・アーロ,raūru・garushia・de・āro
jon moncayola,ホン・モンカヨラ,hon・monkayora
fran navarro,フラン・ナバーロ,furan・nabāro
vicente esquerdo,ビセンテ・エスケルド,bisente・esukerudo
iñaki peña,イニャキ・ペーニャ,inyaki・pēnya
andoni zubiaurre,アンドニ・スビアウレ,andoni・subiaure
nico melamed,ニコ・メラメド,niko・meramedo
oihan sancet,オイアン・サンセト,oian・sanseto
antonio sánchez navarro,アントニオ・サンチェス・ナバーロ,antonio・sanchesu・nabāro
álvaro valles,アルバロ・バジェス,arubaro・bajesu
álex centelles,アレックス・センテジェス,arekkusu・sentejesu
alejandro francés,アレハンドロ・フランセス,arehandoro・furansesu
ricard sánchez,リカール・サンチェス,rikāru・sanchesu
josé fontán,ホセ・フォンタン,hose・fontan
manu hernando,マヌ・エルナンド,manu・erunando
miguel atienza,ミゲル・アティエンサ,migeru・atiensa
