热比娅·卡德尔,레비야 카디르,rè bǐ yà · kǎ dé ěr,rebiya kadireu
吐赫提·土亚兹,토흐티 툰야즈,tǔ hè tí · tǔ yà zī,toheuti tunyajeu
德穆楚克栋鲁普,데므치그돈로브,dé mù chǔ kè dòng lǔ pǔ,demeucigeudonrobeu
包尔汉·沙希迪,부르한 샤히디,bāo ěr hàn · shā xī dí,bureuhan syahidi
伊力哈木·土赫提,일함 토흐티,yī lì hā mù · tǔ hè tí,ilham toheuti
班禅额尔德尼·确吉杰布,기알첸 노르부,bān chán é ěr dé ní · què jí jié bù,gialcen noreubu
巴音朝鲁,바인차오루,bā yīn cháo lǔ,baincaoru
李旺阳事件,리왕양,lǐ wàng yáng shì jiàn,riwangyang
至善禅师,지선선사,zhì shàn chán shī,jiseonseonsa
洛桑江村,뤄쌍장춘,luò sāng jiāng cūn,rweossangjangcun
徐田龙子,쉬톈룽쯔,xú tián lóng zǐ,swityenrungjjeu
白玛赤林,바이마츠린,bái mǎ chì lín,baimaceurin
孟克巴特尔,멍커바터얼,mèng kè bā tè ěr,meongkeobateoeol
努尔·白克力,누르 베크리,nǔ ěr · bái kè lì,nureu bekeuri
赛福鼎·艾则孜,사이푸딘 아지지,sài fú dǐng · ài zé zī,saipudin ajiji
清格尔泰,칭걸테,qīng gé ěr tài,cinggeolte
阿沛·阿旺晋美,아푀 아왕직메,ā pèi · ā wàng jìn měi,apoe awangjigme
艾达·王,에이다 웡,ài dá · wáng,eida weong
端木蕻良,돤무훙량,duān mù hóng liáng,dwanmuhungryang
向巴平措,샹바핑춰,xiàng bā píng cuò,syangbapingcweo
欧阳予倩,어우양위첸,ōu yáng yǔ qiàn,eouyangwicen
木热合买提江·莫扎帕,미라흐메트잔 무제페르,mù rè hé mǎi tí jiāng · mò zhā pà,miraheumeteujan mujepereu
古力娜扎,구리나자,gǔ lì nà zhā,gurinaja
斯琴高娃,쓰친가오와,sī qín gāo wá,sseucingaowa
母其弥雅,무치미야,mǔ qí mí yǎ,mucimiya
麦迪娜·买买提,마디나 메메트,mài dí nà · mǎi mǎi tí,madina memeteu
正珠尔扎布,젱주르자브,zhèng zhū ěr zhā bù,jengjureujabeu
白银市连环杀人案,가오청융,bái yín shì lián huán shā rén àn,gaoceongyung
美,메이,měi,mei
锟,쿤,kūn,kun
迪妮格尔·衣拉木江,디니거얼 이라무장,dí nī gé ěr · yī lā mù jiāng,dinigeoeol iramujang
史蒂文·何,스티븐 히,shǐ dì wén · hé,seutibeun hi
文亮,원량,MODIFIED,wén liàng,weonryang
文龙,원룽,MODIFIED,wén lóng,weonrung
菁菁,징징,MODIFIED,jīng jīng,jingjing
亦航,이항,MODIFIED,yì háng,ihang
云秀,윈슈,MODIFIED,yún xiù,winsyu
宇恒,위헝,MODIFIED,yǔ héng,wiheong
菲儿,페이얼,MODIFIED,fēi ér,peieol
斯沉,쓰천,MODIFIED,sī chén,sseuceon
子涵,쯔한,MODIFIED,zǐ hán,jjeuhan
丽梦,리멍,MODIFIED,lì mèng,rimeong
哲远,철원,MODIFIED,zhé yuǎn,ceolweon
星昊,싱하오,MODIFIED,xīng hào,singhao
肸子,시쯔,MODIFIED,xī zǐ,sijjeu
玲玲,링링,MODIFIED,líng líng,ringring
崎,치,MODIFIED,qí,ci
雨昕,위신,MODIFIED,yǔ xīn,wisin
楚桐,추퉁,MODIFIED,chǔ tóng,cutung
浩菲,하오페이,MODIFIED,hào fēi,haopei
达菲,다페이,MODIFIED,dá fēi,dapei
学义,쉐이,MODIFIED,xué yì,swei
晓宇,샤오위,MODIFIED,xiǎo yǔ,syaowi
卓璇,줘쉬안,MODIFIED,zhuó xuán,jweoswian
梦儿,멍얼,MODIFIED,mèng ér,meongeol
艺瑾,이진,MODIFIED,yì jǐn,ijin
贞羽,쩐위,MODIFIED,zhēn yǔ,jjeonwi
艺凡,이판,MODIFIED,yì fán,ipan
冠今,관진,MODIFIED,guān jīn,gwanjin
志民,즈민,MODIFIED,zhì mín,jeumin
兴阳,씽양,MODIFIED,xīng yáng,ssingyang
依铭,이밍,MODIFIED,yī míng,iming
唯嘉,오웨이자,MODIFIED,wéi jiā,oweija
知恩,즈언,MODIFIED,zhī ēn,jeueon
苓,링,MODIFIED,líng,ring
念,녠,MODIFIED,niàn,nyen
艺卓,닝,MODIFIED,yì zhuó,ning
宇,위,MODIFIED,yǔ,wi
朋飞,펑페이,MODIFIED,péng fēi,peongpei
望星,왕씽,MODIFIED,wàng xīng,wangssing
雨婷,위팅,MODIFIED,yǔ tíng,witing
小婷,오팅,MODIFIED,xiǎo tíng,oting
宏宇,이홍위,MODIFIED,hóng yǔ,ihongwi
浩宇,이하오위,MODIFIED,hào yǔ,ihaowi
全,취,MODIFIED,quán,cwi
红婵,안훙찬,MODIFIED,hóng chán,anhungcan
常鸿,창훙,MODIFIED,cháng hóng,canghung
美含,메이한,MODIFIED,měi hán,meihan
泉锐,키,MODIFIED,quán ruì,ki
展乐,잔러,MODIFIED,zhǎn lè,janreo
致逸,위펑,MODIFIED,zhì yì,wipeong
翊鸣,이밍,MODIFIED,yì míng,iming
宏村,홍춘,hóng cūn,hongcun
西递村,시디춘,xī dì cūn,sidicun
龙华寺,롱화쓰,lóng huá sì,ronghwasseu
颐和园,이화원,yí hé yuán,ihwaweon
福建省,푸젠성,fú jiàn shěng,pujenseong
人民日报,인민일보,rén mín rì bào,inminilbo
武陵源,무릉원,wǔ líng yuán,mureungweon
江苏省,장쑤성,jiāng sū shěng,jangssuseong
廉政公署,염정공서,lián zhèng gōng shǔ,yeomjeonggongseo
浙江省,저장성,zhè jiāng shěng,jeojangseong
天山山脉,톈산산맥,tiān shān shān mài,tyensansanmaeg
喜马拉雅山脉,히말라야산맥,xǐ mǎ lā yǎ shān mài,himalrayasanmaeg
海南省,하이난성,hǎi nán shěng,hainanseong
富裕县,푸위현,fù yù xiàn,puwihyeon
阳朔县,양숴현,yáng shuò xiàn,yangsweohyeon
甘肃省,간쑤성,gān sù shěng,ganssuseong
沭阳县,수양현,shù yáng xiàn,suyanghyeon
喀喇昆仑山脉,카라코람산맥,kā lā kūn lún shān mài,karakoramsanmaeg
阿尔泰山脉,알타이산맥,ā ěr tài shān mài,altaisanmaeg
江西省,장시성,jiāng xī shěng,jangsiseong
黑龙江省,헤이룽장성,hēi lóng jiāng shěng,heirungjangseong
台湾省,타이완성,tái wān shěng,taiwanseong
克什米尔,카슈미르,kè shí mǐ ěr,kasyumireu
山东省,산둥성,shān dōng shěng,sandungseong
中国人民政治协商会议,중국인민정치협상회의,zhōng guó rén mín zhèng zhì xié shāng huì yì,jungguginminjeongcihyeobsanghoeyi
云南省,윈난성,yún nán shěng,winnanseong
莫高窟,막고굴,mò gāo kū,maggogul
河北省,허베이성,hé běi shěng,heobeiseong
裕固族,위구족,yù gù zú,wigujog
民主建港协进联盟,민주건항협진연맹,mín zhǔ jiàn gǎng xié jìn lián méng,minjugeonhanghyeobjinyeonmaeng
河南省,허난성,hé nán shěng,heonanseong
文化大革命,문화대혁명,wén huà dà gé mìng,munhwadaehyeogmyeong
国际饭店,궈지판뎬,guó jì fàn diàn,gweojipandyen
香港仔,헝공자이,xiāng gǎng zǎi,heonggongjai
吉林省,지린성,jí lín shěng,jirinseong
辽宁省,랴오닝성,liáo níng shěng,ryaoningseong
凤阳县,펑양현,fèng yáng xiàn,peongyanghyeon
佛光寺,포광사,fó guāng sì,pogwangsa
浠水县,시수이현,xī shuǐ xiàn,sisuihyeon
中国建设银行,중국건설은행,zhōng guó jiàn shè yín háng,jungguggeonseoleunhaeng
中国农业银行,중국농업은행,zhōng guó nóng yè yín háng,junggugnongeobeunhaeng
察哈尔部,차하르부,chá hā ěr bù,cahareubu
湖南省,후난성,hú nán shěng,hunanseong
官话,관화,guān huà,gwanhwa
青海省,칭하이성,qīng hǎi shěng,cinghaiseong
中国工商银行,중국공상은행,zhōng guó gōng shāng yín háng,jungguggongsangeunhaeng
东亚,동아시아,dōng yà,dongasia
维吾尔族,위구르족,wéi wú ěr zú,wigureujog
山塘街,샨탕제,shān táng jiē,syantangje
湖北省,후베이성,hú běi shěng,hubeiseong
中亚,중앙아시아,zhōng yà,jungangasia
东北亚,동북아시아,dōng běi yà,dongbugasia
贵州省,구이저우성,guì zhōu shěng,guijeouseong
山西省,산시성,shān xī shěng,sansiseong
明孝陵,효릉,míng xiào líng,hyoreung
秦始皇兵马俑,병마용,qín shǐ huáng bīng mǎ yǒng,byeongmayong
陕西省,산시성,shǎn xī shěng,sansiseong
东南亚,동남아시아,dōng nán yà,dongnamasia
宁明县,닝밍현,níng míng xiàn,ningminghyeon
龙州县,룽저우현,lóng zhōu xiàn,rungjeouhyeon
大名县,다밍현,dà míng xiàn,daminghyeon
蓬安县,펑안현,péng ān xiàn,peonganhyeon
人民币,런민비,rén mín bì,reonminbi
中国国际航空,중국국제항공,zhōng guó guó jì háng kōng,jungguggugjehanggong
天等县,톈덩현,tiān děng xiàn,tyendeonghyeon
安徽省,안후이성,ān huī shěng,anhuiseong
大新县,다신현,dà xīn xiàn,dasinhyeon
宁南县,닝난현,níng nán xiàn,ningnanhyeon
平昌县,핑창현,píng chāng xiàn,pingcanghyeon
且末县,체모현,qiě mò xiàn,cemohyeon
赫章县,허장현,hè zhāng xiàn,heojanghyeon
大悟县,다우현,dà wù xiàn,dauhyeon
温泉县,원취안현,wēn quán xiàn,weoncwianhyeon
贺兰山,허란산맥,hè lán shān,heoransanmaeg
云阳县,윈양현,yún yáng xiàn,winyanghyeon
批林批孔运动,비림비공운동,pī lín pī kǒng yùn dòng,birimbigongundong
中环,중완,zhōng huán,jungwan
盘山县,판산현,pán shān xiàn,pansanhyeon
明溪县,밍시현,míng xī xiàn,mingsihyeon
泗阳县,쓰양현,sì yáng xiàn,sseuyanghyeon
望都县,왕두현,wàng dōu xiàn,wangduhyeon
山阴县,산인현,shān yīn xiàn,saninhyeon
布依族,부이족,bù yī zú,buijog
米易县,미이현,mǐ yì xiàn,miihyeon
苏公塔,소공탑,sū gōng tǎ,sogongtab
尖沙咀,짐사저이,jiān shā zuǐ,jimsajeoi
浑源县,훈위안현,hún yuán xiàn,hunwianhyeon
尚义县,샹이현,shàng yì xiàn,syangihyeon
白族,바이족,bái zú,baijog
威县,웨이현,wēi xiàn,weihyeon
律商联讯,렉시스,lǜ shāng lián xùn,regsiseu
盐津县,옌진현,yán jīn xiàn,yenjinhyeon
景县,징현,jǐng xiàn,jinghyeon
拜泉县,바이취안현,bài quán xiàn,baicwianhyeon
南昌县,난창현,nán chāng xiàn,nancanghyeon
普济禅院,관음당,pǔ jì chán yuàn,gwaneumdang
湾仔,완자이,wān zǎi,wanjai
西乡县,시샹현,xī xiāng xiàn,sisyanghyeon
纳木错,남초호,nà mù cuò,namcoho
澳门,마카오,ào mén,makao
翼城县,이청현,yì chéng xiàn,iceonghyeon
赤城县,츠청현,chì chéng xiàn,ceuceonghyeon
那坡县,나포현,nà pō xiàn,napohyeon
南丹县,난단현,nán dān xiàn,nandanhyeon
天峨县,톈어현,tiān é xiàn,tyeneohyeon
凤山县,펑산현,fèng shān xiàn,peongsanhyeon
曲松县,취쑹현,qū sōng xiàn,cwissunghyeon
托克托县,퉈커퉈현,tuō kè tuō xiàn,tweokeotweohyeon
高县,가오현,gāo xiàn,gaohyeon
天灯,풍등,tiān dēng,pungdeung
汇业银行,방코델타아시아,huì yè yín háng,bangkodeltaasia
东突厥斯坦,동튀르키스탄,dōng tū jué sī tǎn,dongtwireukiseutan
广东省,광둥성,guǎng dōng shěng,gwangdungseong
中国工程院,중국공정원,zhōng guó gōng chéng yuàn,jungguggongjeongweon
平江县,핑장현,píng jiāng xiàn,pingjanghyeon
台江县,타이장현,tái jiāng xiàn,taijanghyeon
法库县,파쿠현,fǎ kù xiàn,pakuhyeon
新疆北部,중가리아,xīn jiāng běi bù,junggaria
榆社县,위서현,yú shè xiàn,wiseohyeon
太行山,타이항산맥,tài háng shān,taihangsanmaeg
仁布县,런부현,rén bù xiàn,reonbuhyeon
云霄县,윈샤오현,yún xiāo xiàn,winsyaohyeon
泗洪县,쓰훙현,sì hóng xiàn,sseuhunghyeon
渭源县,웨이위안현,wèi yuán xiàn,weiwianhyeon
傣族,다이족,dǎi zú,daijog
济水,지수이,jì shuǐ,jisui
鲤鱼门,레이위문,lǐ yú mén,reiwimun
武陵山脉,우링산맥,wǔ líng shān mài,uringsanmaeg
东兰县,둥란현,dōng lán xiàn,dungranhyeon
阳山县,양산현,yáng shān xiàn,yangsanhyeon
新兴县,신싱현,xīn xīng xiàn,sinsinghyeon
太康县,타이캉현,tài kāng xiàn,taikanghyeon
汪清县,왕칭현,wāng qīng xiàn,wangcinghyeon
鼎泰丰,딘타이펑,dǐng tài fēng,dintaipeong
同仁堂,동인당,tóng rén táng,dongindang
中国人民抗日战争纪念馆,중국인민항일전쟁기념관,zhōng guó rén mín kàng rì zhàn zhēng jì niàn guǎn,jungguginminhangiljeonjaengginyeomgwan
虎牢关,호뢰관,hǔ láo guān,horoegwan
人民大会堂,인민대회당,rén mín dà huì táng,inmindaehoedang
盟,맹,méng,maeng
阳谷县,양구현,yáng gǔ xiàn,yangguhyeon
凤凰县,펑황현,fèng huáng xiàn,peonghwanghyeon
好太王碑,광개토대왕릉비,hǎo tài wáng bēi,gwanggaetodaewangreungbi
平阳县,핑양현,píng yáng xiàn,pingyanghyeon
文成县,원청현,wén chéng xiàn,weonceonghyeon
泰顺县,타이순현,tài shùn xiàn,taisunhyeon
中国地震局,중국지진국,zhōng guó dì zhèn jú,junggugjijingug
喀尔喀蒙古族,할하부,kā ěr kā měng gǔ zú,halhabu
中国东方航空,중국동방항공,zhōng guó dōng fāng háng kōng,junggugdongbanghanggong
中国南方航空,중국남방항공,zhōng guó nán fāng háng kōng,junggugnambanghanggong
大兴安岭,다싱안링산맥,dà xīng ān lǐng,dasinganringsanmaeg
黄土高原,황투고원,huáng tǔ gāo yuán,hwangtugoweon
郁南县,위난현,yù nán xiàn,winanhyeon
虞城县,위청현,yú chéng xiàn,wiceonghyeon
苍南县,창난현,cāng nán xiàn,cangnanhyeon
永嘉县,융자현,yǒng jiā xiàn,yungjahyeon
平义线,평의선,píng yì xiàn,pyeongyiseon
关帝庙,관제묘,guān dì miào,gwanjemyo
鸦洲,아자우섬,yā zhōu,ajauseom
阿坝县,아바현,ā bà xiàn,abahyeon
清东陵,청동릉,qīng dōng líng,ceongdongreung
士大夫,사대부,shì dà fū,sadaebu
佤族,와족,wǎ zú,wajog
美捷香港商用飞机,메트로제트,měi jié xiāng gǎng shāng yòng fēi jī,meteurojeteu
黎族,리족,lí zú,rijog
跑马地,해피밸리,pǎo mǎ dì,haepibaelri
水丰水库,수풍댐,shuǐ fēng shuǐ kù,supungdaem
长江企业控股,청쿵그룹,cháng jiāng qǐ yè kòng gǔ,ceongkunggeurub
浙江职业足球俱乐部,저장,zhè jiāng zhí yè zú qiú jù lè bù,jeojang
鸭脷洲,압레이차우,yā lì zhōu,abreicau
中朝友谊桥,조중우의교,zhōng cháo yǒu yì qiáo,jojunguyigyo
实利银行,실리은행,shí lì yín háng,silrieunhaeng
姜汁撞奶,겅잡종나이,jiāng zhī zhuàng nǎi,geongjabjongnai
天安门,천안문,tiān ān mén,ceonanmun
滇池,뎬츠호,diān chí,dyenceuho
鄄城县,쥐안청현,juàn chéng xiàn,jwianceonghyeon
迪士尼线,디즈니선,dí shì ní xiàn,dijeuniseon
港岛线,공도선,gǎng dǎo xiàn,gongdoseon
罗布泊,로프노르,luó bù bó,ropeunoreu
东铁线,둥팃선,dōng tiě xiàn,dungtisseon
东涌线,둥충선,dōng yǒng xiàn,dungcungseon
西铁线,사이팃선,xī tiě xiàn,saitisseon
将军澳线,정관오선,jiāng jūn ào xiàn,jeonggwanoseon
天池,천지,tiān chí,ceonji
泸西县,루시현,lú xī xiàn,rusihyeon
挹娄,읍루,yì lóu,eubru
广宁县,광닝현,guǎng níng xiàn,gwangninghyeon
襄垣县,샹위안현,xiāng yuán xiàn,syangwianhyeon
落马洲,록마차우,luò mǎ zhōu,rogmacau
汤原县,탕위안현,tāng yuán xiàn,tangwianhyeon
乌鲁木齐县,우루무치현,wū lǔ mù qí xiàn,urumucihyeon
撒拉族,사라족,sā lā zú,sarajog
金川县,진촨현,jīn chuān xiàn,jincwanhyeon
北庭大都护府,북정도호부,běi tíng dà dū hù fǔ,bugjeongdohobu
曲阳县,취양현,qū yáng xiàn,cwiyanghyeon
通江县,퉁장현,tōng jiāng xiàn,tungjanghyeon
屏山县,핑산현,píng shān xiàn,pingsanhyeon
石阡县,스첸현,shí qiān xiàn,seucenhyeon
曲阜孔庙,공묘,qū fù kǒng miào,gongmyo
中国银联,유니온페이,zhōng guó yín lián,yunionpei
清明节,청명절,qīng míng jié,ceongmyeongjeol
新港乡,신강향,xīn gǎng xiāng,singanghyang
天坛,천단,tiān tán,ceondan
外滩,와이탄,wài tān,waitan
曲麻莱县,취마라이현,qū má lái xiàn,cwimaraihyeon
方城县,팡청현,fāng chéng xiàn,pangceonghyeon
钓鱼台,우오쓰리섬,diào yú tái,uosseuriseom
元朗,윈롱,yuán lǎng,winrong
土族,투족,tǔ zú,tujog
麻栗坡县,마리포현,má lì pō xiàn,maripohyeon
兴和县,싱허현,xīng hé xiàn,singheohyeon
广州足球俱乐部,광저우,guǎng zhōu zú qiú jù lè bù,gwangjeou
富平县,푸핑현,fù píng xiàn,pupinghyeon
饶阳县,라오양현,ráo yáng xiàn,raoyanghyeon
佛历,불멸기원,fó lì,bulmyeolgiweon
曲水县,취수이현,qū shuǐ xiàn,cwisuihyeon
岷山,민산산맥,mín shān,minsansanmaeg
崇信县,충신현,chóng xìn xiàn,cungsinhyeon
博罗县,보뤄현,bó luó xiàn,borweohyeon
王府井大街,왕푸징,wáng fǔ jǐng dà jiē,wangpujing
商朝,상나라,shāng cháo,sangnara
瑶族,야오족,yáo zú,yaojog
永和县,융허현,yǒng hé xiàn,yungheohyeon
洛川县,뤄촨현,luò chuān xiàn,rweocwanhyeon
丁青县,딩칭현,dīng qīng xiàn,dingcinghyeon
中国国家图书馆,중국국가도서관,zhōng guó guó jiā tú shū guǎn,junggugguggadoseogwan
潼关县,퉁관현,tóng guān xiàn,tunggwanhyeon
沙田,사틴,shā tián,satin
普兰县,푸란현,pǔ lán xiàn,puranhyeon
隆子县,룽쯔현,lóng zǐ xiàn,rungjjeuhyeon
涞水县,라이수이현,lái shuǐ xiàn,raisuihyeon
临邑县,린이현,lín yì xiàn,rinihyeon
龙里县,룽리현,lóng lǐ xiàn,rungrihyeon
民勤县,민친현,mín qín xiàn,mincinhyeon
中国国际广播电台,중국국제방송,zhōng guó guó jì guǎng bō diàn tái,jungguggugjebangsong
兰西县,란시현,lán xī xiàn,ransihyeon
和平饭店,화평반점,hé píng fàn diàn,hwapyeongbanjeom
德江县,더장현,dé jiāng xiàn,deojanghyeon
丰都县,펑두현,fēng dōu xiàn,peongduhyeon
平罗县,핑뤄현,píng luó xiàn,pingrweohyeon
桦川县,화촨현,huà chuān xiàn,hwacwanhyeon
观塘线,군통선,guān táng xiàn,guntongseon
黑水县,헤이수이현,hēi shuǐ xiàn,heisuihyeon
铜雀台,동작대,tóng què tái,dongjagdae
啄啄糖,덕덕통,zhuó zhuó táng,deogdeogtong
北斗卫星导航系统,베이더우,běi dòu wèi xīng dǎo háng xì tǒng,beideou
沙洋县,사양현,shā yáng xiàn,sayanghyeon
中秋节,중추절,zhōng qiū jié,jungcujeol
沧县,창현,cāng xiàn,canghyeon
贵南县,구이난현,guì nán xiàn,guinanhyeon
丰县,펑현,fēng xiàn,peonghyeon
临泉县,린취안현,lín quán xiàn,rincwianhyeon
固阳县,구양현,gù yáng xiàn,guyanghyeon
洞口县,둥커우현,dòng kǒu xiàn,dungkeouhyeon
莎车县,야르칸드현,shā chē xiàn,yareukandeuhyeon
滑县,화현,huá xiàn,hwahyeon
咸丰县,셴펑현,xián fēng xiàn,syenpeonghyeon
中国移动,중국이동통신,zhōng guó yí dòng,junggugidongtongsin
顺平县,순핑현,shùn píng xiàn,sunpinghyeon
中环至半山自动扶手电梯系统,중환지반산자동부제,zhōng huán zhì bàn shān zì dòng fú shǒu diàn tī xì tǒng,junghwanjibansanjadongbuje
国家大剧院,국가대극원,guó jiā dà jù yuàn,guggadaegeugweon
巴塘县,바탕현,bā táng xiàn,batanghyeon
来凤县,라이펑현,lái fèng xiàn,raipeonghyeon
确山县,췌산현,què shān xiàn,cwesanhyeon
长洲,청차우섬,cháng zhōu,ceongcauseom
大宁县,다닝현,dà níng xiàn,daninghyeon
尼木县,니무현,ní mù xiàn,nimuhyeon
萨嘎县,싸가현,sà gǎ xiàn,ssagahyeon
浪卡子县,랑카쯔현,làng kǎ zǐ xiàn,rangkajjeuhyeon
泗水县,쓰수이현,sì shuǐ xiàn,sseusuihyeon
岳普湖县,웨푸후현,yuè pǔ hú xiàn,wepuhuhyeon
林周县,린저우현,lín zhōu xiàn,rinjeouhyeon
腾讯,텐센트,téng xùn,tensenteu
汶川县,원촨현,wèn chuān xiàn,weoncwanhyeon
万科,반케,wàn kē,banke
理塘县,리탕현,lǐ táng xiàn,ritanghyeon
杂多县,짜둬현,zá duō xiàn,jjadweohyeon
雅戈泰,아가르타,yǎ gē tài,agareuta
西林县,시린현,xī lín xiàn,sirinhyeon
阳城县,양청현,yáng chéng xiàn,yangceonghyeon
宾县,빈현,bīn xiàn,binhyeon
东乡族,둥샹족,dōng xiāng zú,dungsyangjog
宾川县,빈촨현,bīn chuān xiàn,bincwanhyeon
秦岭,친링산맥,qín lǐng,cinringsanmaeg
宾阳县,빈양현,bīn yáng xiàn,binyanghyeon
滨海县,빈하이현,bīn hǎi xiàn,binhaihyeon
固始县,구스현,gù shǐ xiàn,guseuhyeon
布尔津县,부얼진현,bù ěr jīn xiàn,bueoljinhyeon
福海县,푸하이현,fú hǎi xiàn,puhaihyeon
鸡东县,지둥현,jī dōng xiàn,jidunghyeon
满族,만주족,mǎn zú,manjujog
河北足球俱乐部,허베이,hé běi zú qiú jù lè bù,heobei
静安寺,징안쓰,jìng ān sì,jingansseu
赞皇县,잔황현,zàn huáng xiàn,janhwanghyeon
札达县,자다현,zhá dá xiàn,jadahyeon
壤塘县,랑탕현,rǎng táng xiàn,rangtanghyeon
比如县,비루현,bǐ rú xiàn,biruhyeon
枣强县,짜오창현,zǎo qiáng xiàn,jjaocanghyeon
布拖县,부퉈현,bù tuō xiàn,butweohyeon
香港海事博物馆,홍콩해사박물관,xiāng gǎng hǎi shì bó wù guǎn,hongkonghaesabagmulgwan
定安县,딩안현,dìng ān xiàn,dinganhyeon
罗布林卡,노블링카,luó bù lín kǎ,nobeulringka
中共中央台湾工作办公室,국무원대만사무판공실,zhōng gòng zhōng yāng tái wān gōng zuò bàn gōng shì,gugmuweondaemansamupangongsil
台安县,타이안현,tái ān xiàn,taianhyeon
尉氏县,웨이스현,wèi shì xiàn,weiseuhyeon
上海国际金融中心,상하이국제금융센터,shàng hǎi guó jì jīn róng zhōng xīn,sanghaigugjegeumyungsenteo
香港华民航空,에어홍콩,xiāng gǎng huá mín háng kōng,eeohongkong
麦盖提县,마이가이티현,mài gài tí xiàn,maigaitihyeon
大箐山县,다칭산현,dà jīng shān xiàn,dacingsanhyeon
屯昌县,툰창현,tún chāng xiàn,tuncanghyeon
华为,화웨이,huá wèi,hwawei
衡阳县,헝양현,héng yáng xiàn,heongyanghyeon
帕米尔高原,파미르고원,pà mǐ ěr gāo yuán,pamireugoweon
阿合奇县,아허치현,ā hé qí xiàn,aheocihyeon
会泽县,후이쩌현,huì zé xiàn,huijjeohyeon
双湖县,솽후현,shuāng hú xiàn,swanghuhyeon
海原县,하이위안현,hǎi yuán xiàn,haiwianhyeon
英吉沙县,잉지사현,yīng jí shā xiàn,ingjisahyeon
路环,콜로아느섬,lù huán,kolroaneuseom
改则县,가이쩌현,gǎi zé xiàn,gaijjeohyeon
中国铁路高速列车,중국철로고속,zhōng guó tiě lù gāo sù liè chē,junggugceolrogosog
随县,쑤이현,suí xiàn,ssuihyeon
阿克陶县,아커타오현,ā kè táo xiàn,akeotaohyeon
额敏县,어민현,é mǐn xiàn,eominhyeon
泽普县,포스캄현,zé pǔ xiàn,poseukamhyeon
奇台县,치타이현,qí tái xiàn,citaihyeon
尉犁县,위리현,wèi lí xiàn,wirihyeon
霍城县,훠청현,huò chéng xiàn,hweoceonghyeon
吉县,지현,jí xiàn,jihyeon
富蕴县,푸윈현,fù yùn xiàn,puwinhyeon
疏附县,수푸현,shū fù xiàn,supuhyeon
当雄县,당슝현,dāng xióng xiàn,dangsyunghyeon
彝良县,이량현,yí liáng xiàn,iryanghyeon
连平县,롄핑현,lián píng xiàn,ryenpinghyeon
献县,셴현,xiàn xiàn,syenhyeon
察隅县,차위현,chá yú xiàn,cawihyeon
望江县,왕장현,wàng jiāng xiàn,wangjanghyeon
盱眙县,쉬이현,xū yí xiàn,swiihyeon
东平洲,둥핑자우섬,dōng píng zhōu,dungpingjauseom
赤柱,첵취,chì zhù,cegcwi
砚山县,옌산현,yàn shān xiàn,yensanhyeon
裕民县,위민현,yù mín xiàn,wiminhyeon
叶城县,카길리크현,yè chéng xiàn,kagilrikeuhyeon
鄯善县,산산현,shàn shàn xiàn,sansanhyeon
和静县,허징현,hé jìng xiàn,heojinghyeon
巴楚县,마랄베시현,bā chǔ xiàn,maralbesihyeon
青河县,칭허현,qīng hé xiàn,cingheohyeon
玛纳斯县,마나쓰현,mǎ nà sī xiàn,manasseuhyeon
温宿县,원쑤현,wēn sù xiàn,weonssuhyeon
托里县,퉈리현,tuō lǐ xiàn,tweorihyeon
伽师县,가스현,jiā shī xiàn,gaseuhyeon
沙雅县,사야현,shā yǎ xiàn,sayahyeon
若羌县,뤄창현,ruò qiāng xiàn,rweocanghyeon
疏勒县,수러현,shū lè xiàn,sureohyeon
轮台县,룬타이현,lún tái xiàn,runtaihyeon
谷姐网,구제,gǔ jiě wǎng,guje
浮山县,푸산현,fú shān xiàn,pusanhyeon
灵丘县,링추현,líng qiū xiàn,ringcuhyeon
庆云县,칭윈현,qìng yún xiàn,cingwinhyeon
郸城县,단청현,dān chéng xiàn,danceonghyeon
马山县,마산현,mǎ shān xiàn,masanhyeon
隆安县,룽안현,lóng ān xiàn,runganhyeon
上海市历史博物馆,상하이역사박물관,shàng hǎi shì lì shǐ bó wù guǎn,sanghaiyeogsabagmulgwan
横断山脉,헝돤산맥,héng duàn shān mài,heongdwansanmaeg
静乐县,징러현,jìng lè xiàn,jingreohyeon
中国铝业,중국알루미늄주식유한공사,zhōng guó lǚ yè,junggugalruminyumjusigyuhangongsa
阿拉善盟,아라산맹,ā lā shàn méng,arasanmaeng
白朗县,바이랑현,bái lǎng xiàn,bairanghyeon
安多县,안둬현,ān duō xiàn,andweohyeon
黄鹤楼,황학루,huáng hè lóu,hwanghagru
星光大道,성광대도,xīng guāng dà dào,seonggwangdaedo
人人网,런런왕,rén rén wǎng,reonreonwang
重阳节,중양절,chóng yáng jié,jungyangjeol
共和县,궁허현,gòng hé xiàn,gungheohyeon
泌阳县,비양현,mì yáng xiàn,biyanghyeon
德昂族,따앙족,dé áng zú,ddaangjog
博白县,보바이현,bó bái xiàn,bobaihyeon
博爱县,보아이현,bó ài xiàn,boaihyeon
闽侯县,민허우현,mǐn hóu xiàn,minheouhyeon
安岳县,안웨현,ān yuè xiàn,anwehyeon
清丰县,칭펑현,qīng fēng xiàn,cingpeonghyeon
南皮县,난피현,nán pí xiàn,nanpihyeon
呼图壁县,후투비현,hū tú bì xiàn,hutubihyeon
鼓浪屿,구랑위,gǔ làng yǔ,gurangwi
