제임스 드레스녹,ジェームズ・ドレスノク,jēmuzu・doresunoku,jeimseu deureseunog
김책,キンサク,kinsaku,gimcaeg
강건,キョウケン,kyouken,ganggeon
박열,ボクレツ,bokuretsu,bagyeol
허헌,モトケン,motoken,heoheon
장웅,チョウツヨシ,choutsuyoshi,jangung
김철,キムアキラ,kimuakira,gimceol
최광,チェヒカリ,chehikari,coegwang
최현,チェケン,cheken,coehyeon
김억,キンオク,kinoku,gimeog
김옥,キンギョク,kingyoku,gimog
최휘,チェアキラ,cheakira,coehwi
백석,シライシ,shiraishi,baegseog
김웅,カネオ,kaneo,gimung
서휘,ジョアキラ,joakira,seohwi
김무정,タケチン,takechin,gimmujeong
홍창수,トクヤマアキラモリ,tokuyamaakiramori,hongcangsu
최원,チェトオ,chetoo,coeweon
안길,ヤスキチ,yasukichi,angil
장철,チョウトオル,choutooru,jangceol
임훈,ニンクン,ninkun,imhun
임화,ハヤシカズ,hayashikazu,imhwa
여정,リョセイ,ryosei,yeojeong
박훈,ボクイサオ,bokuisao,baghun
장혁,チョウカワ,choukawa,janghyeog
경흥군,ケイオキグン,keiokigun,gyeongheunggun
조선인민군,チョウセンジンミングン,chousenjinmingun,joseoninmingun
창바이산맥,チョウシロサンミャク,choushirosanmyaku,cangbaisanmaeg
우리민족끼리,ワガミンゾクドウシ,wagaminzokudoushi,uriminjogggiri
동창군,ヒガシクラグン,higashikuragun,dongcanggun
리명수체육단,コイアケミタイイクダン,koiakemitaiikudan,rimyeongsuceyugdan
천마군,テンマグン,tenmagun,ceonmagun
수동군,ミズホラグン,mizuhoragun,sudonggun
황주군,キシュウグン,kishuugun,hwangjugun
련광정,ネリコウテイ,nerikoutei,ryeongwangjeong
백두대간,ハクトウダイミキ,hakutoudaimiki,baegdudaegan
최고인민회의,サイコウジンミンカイギ,saikoujinminkaigi,coegoinminhoeyi
천지,アマイケ,amaike,ceonji
태양절,タイヨウブシ,taiyoubushi,taeyangjeol
장풍군,チョウユタカグン,chouyutakagun,jangpunggun
연안군,ノベヤスグン,nobeyasugun,yeonangun
곡산군,ヤヤマグン,yayamagun,gogsangun
김정숙군,キンセイシュクグン,kinseishukugun,gimjeongsuggun
선군정치,サキグンセイジ,sakigunseiji,seongunjeongci
주체사상탑,シュタイシソウトウ,shutaishisoutou,jucesasangtab
금천군,カナガワグン,kanagawagun,geumceongun
장연군,ナガブチグン,nagabuchigun,jangyeongun
부령군,トミヤスシグン,tomiyasushigun,buryeonggun
연사군,ノベシャグン,nobeshagun,yeonsagun
재령군,ノヤスシグン,noyasushigun,jaeryeonggun
은파군,ギンパグン,ginpagun,eunpagun
조중우의교,チュウチョウユウギキョウ,chuuchouyuugikyou,jojunguyigyo
고풍군,コユタカグン,koyutakagun,gopunggun
시중군,トキナカグン,tokinakagun,sijunggun
성간군,シロヒグン,shirohigun,seonggangun
신계군,シンケイグン,shinkeigun,singyegun
명천군,アスガワグン,asugawagun,myeongceongun
송원군,マツハジメグン,matsuhajimegun,songweongun
화평군,カズツボグン,kazutsubogun,hwapyeonggun
철산군,テツザングン,tetsuzangun,ceolsangun
평양과학기술대학,ピョンヤンカガクギジュツダイガク,pyonyankagakugijutsudaigaku,pyeongyanggwahaggisuldaehag
벽성군,ヘキグスクグン,hekigusukugun,byeogseonggun
신흥군,シンコウグン,shinkougun,sinheunggun
동신군,トウシングン,toushingun,dongsingun
태백산맥,タイハクサンミャク,taihakusanmyaku,taebaegsanmaeg
룡천군,リュウカワグン,ryuukawagun,ryongceongun
류경호텔,ヤナギミヤコホテル,yanagimiyakohoteru,ryugyeonghotel
동북아시아,ホクトウアジア,hokutouajia,dongbugasia
만수대의사당,バンコトブキダイギジドウ,bankotobukidaigijidou,mansudaeyisadang
로동신문,ロウドウシンブン,roudoushinbun,rodongsinmun
아리랑,アリラン,ariran,arirang
조선중앙텔레비죤,チョウセンチュウオウテレビ,chousenchuuouterebi,joseonjungangtelrebijyon
조선콤퓨터중심,チョウセンコンピューターセンター,chousenkonpyūtāsentā,joseonkompyuteojungsim
랑림군,オオカミハヤシグン,ookamihayashigun,rangrimgun
초산군,スワエサングン,suwaesangun,cosangun
동림군,ヒガシハヤシグン,higashihayashigun,dongrimgun
금수산태양궁전,キンシュウサンタイヨウキュウデン,kinshuusantaiyoukyuuden,geumsusantaeyanggungjeon
배천군,シラカワグン,shirakawagun,baeceongun
평양개성고속도로,ピョンヤンカイジョウコウソクドウロ,pyonyankaijoukousokudouro,pyeongyanggaeseonggosogdoro
신평군,シンツボグン,shintsubogun,sinpyeonggun
토산군,ウサギサングン,usagisangun,tosangun
연탄군,ツバメナダグン,tsubamenadagun,yeontangun
출신성분,シュッシンセイブン,shusshinseibun,culsinseongbun
곽산군,カクサングン,kakusangun,gwagsangun
박천군,ヒロシカワグン,hiroshikawagun,bagceongun
염주군,シオシュウグン,shioshuugun,yeomjugun
구장군,キュウジョウグン,kyuujougun,gujanggun
대관군,オオダテグン,oodategun,daegwangun
룡림군,リュウハヤシグン,ryuuhayashigun,ryongrimgun
동평양대극장,ヒガシピョンヤンダイゲキジョウ,higashipyonyandaigekijou,dongpyeongyangdaegeugjang
단군릉,ダンクンリョウ,dankunryou,dangunreung
승호군,カチミズウミグン,kachimizuumigun,seunghogun
룡강군,タツオカグン,tatsuokagun,ryongganggun
금야군,カネノグン,kanenogun,geumyagun
윤이상관현악단,インイクワカンゲンガクダン,inikuwakangengakudan,yunisanggwanhyeonagdan
창성군,アキラグスクグン,akiragusukugun,cangseonggun
선천군,センガワグン,sengawagun,seonceongun
태천군,タイガワグン,taigawagun,taeceongun
양덕군,ヒトクグン,hitokugun,yangdeoggun
정평군,サダヘイグン,sadaheigun,jeongpyeonggun
리원군,トギハラノグン,togiharanogun,riweongun
대흥군,ダイオキグン,daiokigun,daeheunggun
문덕군,フミノリグン,fuminorigun,mundeoggun
신양군,シンヨウグン,shinyougun,sinyanggun
회창군,ヒノクラグン,hinokuragun,hoecanggun
북창군,キタクラグン,kitakuragun,bugcanggun
락원군,ラクエングン,rakuengun,ragweongun
맹산군,タケシサングン,takeshisangun,maengsangun
은산군,インサングン,insangun,eunsangun
성천군,ナリカワグン,narikawagun,seongceongun
덕성군,トクグスクグン,tokugusukugun,deogseonggun
평양신문,ピョンヤンシンブン,pyonyanshinbun,pyeongyangsinmun
운산군,クモヤマグン,kumoyamagun,unsangun
조선우주공간기술위원회,チョウセンウチュウクウカンギジュツイインカイ,chousenuchuukuukangijutsuiinkai,joseonujugonggangisulwiweonhoe
어랑비행장,リョウロウヒコウジョウ,ryourouhikoujou,eorangbihaengjang
선덕비행장,セントクヒコウジョウ,sentokuhikoujou,seondeogbihaengjang
평산군,ヒラヤマグン,hirayamagun,pyeongsangun
보통문,フツウモン,futsuumon,botongmun
영광군,エイコウグン,eikougun,yeonggwanggun
증산군,コシキサングン,koshikisangun,jeungsangun
녕원군,ヤスシトオグン,yasushitoogun,nyeongweongun
황해,コウカイ,koukai,hwanghae
김일성군사종합대학,キムイルソングンジソウゴウダイガク,kimuirusongunjisougoudaigaku,gimilseonggunsajonghabdaehag
김일성종합대학,キムイルソンソウゴウダイガク,kimuirusonsougoudaigaku,gimilseongjonghabdaehag
김책공업종합대학,キンサクコウギョウソウゴウダイガク,kinsakukougyousougoudaigaku,gimcaeggongeobjonghabdaehag
평양의학대학,ピョンヤンイカダイガク,pyonyanikadaigaku,pyeongyangyihagdaehag
평양외국어대학,ピョンヤンガイコクゴダイガク,pyonyangaikokugodaigaku,pyeongyangoegugeodaehag
중강군,ナカエグン,nakaegun,jungganggun
승리자동차련합기업소,ショウリジドウシャコウジョウ,shourijidoushakoujou,seungrijadongcaryeonhabgieobso
아무르판,アムールプレート,amūrupurēto,amureupan
압록강체육단,カモミドリコウタイイクダン,kamomidorikoutaiikudan,abroggangceyugdan
동해북부선,トウカイホクブセン,toukaihokubusen,donghaebugbuseon
북관대첩비,キタノセキタイショウヒ,kitanosekitaishouhi,buggwandaeceobbi
평양시체육단,ピョンヤンシタイイクダン,pyonyanshitaiikudan,pyeongyangsiceyugdan
대동문,ダイドウモン,daidoumon,daedongmun
양각도축구경기장,ヒツジツノシマキョウギジョウ,hitsujitsunoshimakyougijou,yanggagdocuggugyeonggijang
조선중앙동물원,チョウセンチュウオウドウブツエン,chousenchuuoudoubutsuen,joseonjungangdongmulweon
해방탑,カイホウトウ,kaihoutou,haebangtab
모란봉,ボタンホウ,botanhou,moranbong
기관차체육단,キカンシャタイイクダン,kikanshataiikudan,gigwancaceyugdan
국기훈장,コッキクンショウ,kokkikunshou,guggihunjang
무산군,シゲヤマグン,shigeyamagun,musangun
만수대텔레비죤,バンコトブキダイテレビ,bankotobukidaiterebi,mansudaetelrebijyon
룡남산텔레비죤,チョウセンキョウイクブンカテレビジョン,chousenkyouikubunkaterebijon,ryongnamsantelrebijyon
강원도,エバラミチ,ebaramichi,gangweondo
평부선,ヒラカマセン,hirakamasen,pyeongbuseon
옹진군,ウツグン,utsugun,ongjingun
평화자동차,ヘイワジドウシャ,heiwajidousha,pyeonghwajadongca
인민대학습당,ジンミンダイガクシュウドウ,jinmindaigakushuudou,inmindaehagseubdang
양각도국제호텔,ヒツジツノシマコクサイホテル,hitsujitsunoshimakokusaihoteru,yanggagdogugjehotel
의주군,ヨシシュウグン,yoshishuugun,yijugun
보현사,フゲンジ,fugenji,bohyeonsa
북부내륙선,ホクブナイリクセン,hokubunairikusen,bugbunaeryugseon
할하부,ハルハ,haruha,halhabu
청년이천선,セイネンイカワセン,seinenikawasen,ceongnyeoniceonseon
대성산혁명렬사릉,オオグスクヤマカクメイレッシリョウ,oogusukuyamakakumeiresshiryou,daeseongsanhyeogmyeongryeolsareung
국가보위성,コッカヤスエショウ,kokkayasueshou,guggabowiseong
조선로동당,チョウセンロウドウトウ,chousenroudoutou,joseonrodongdang
조선사회민주당,チョウセンシャカイミンシュトウ,chousenshakaiminshutou,joseonsahoeminjudang
천도교청우당,テントウキョウアオトモトウ,tentoukyouaotomotou,ceondogyoceongudang
안변군,ヤスアタリグン,yasuatarigun,anbyeongun
대한해협,チョウセンカイキョウ,chousenkaikyou,daehanhaehyeob
동조선만,ヒガシチョウセンワン,higashichousenwan,dongjoseonman
서조선만,ニシチョウセンワン,nishichousenwan,seojoseonman
김화군,キンカグン,kinkagun,gimhwagun
천내군,センダイグン,sendaigun,ceonnaegun
세포군,アライウラグン,araiuragun,sepogun
법동군,ホウホラグン,houhoragun,beobdonggun
남북정상회담,ナンボクシュノウカイダン,nanbokushunoukaidan,nambugjeongsanghoedam
판교군,イタバシグン,itabashigun,pangyogun
고산군,タカヤマグン,takayamagun,gosangun
김일성광장,キムイルソンヒロバ,kimuirusonhiroba,gimilseonggwangjang
고려호텔,ピョンヤンコウライホテル,pyonyankouraihoteru,goryeohotel
장진군,ナガツグン,nagatsugun,jangjingun
해주비행장,ウミシュウヒコウジョウ,umishuuhikoujou,haejubihaengjang
신도군,タキギトウグン,takigitougun,sindogun
강원선,エバラセン,ebarasen,gangweonseon
평강군,タイラヤスシグン,tairayasushigun,pyeongganggun
금강군,コンゴウグン,kongougun,geumganggun
창도군,アキラドウグン,akiradougun,cangdogun
통천군,カヨイガワグン,kayoigawagun,tongceongun
고성군,タカギグン,takagigun,goseonggun
룡연군,リュウフチグン,ryuufuchigun,ryongyeongun
상원군,サチハラノグン,sachiharanogun,sangweongun
기쁨조,ヨロコビグミ,yorokobigumi,gibbeumjo
안악군,ヤスタケグン,yasutakegun,anaggun
백암군,シライワグン,shiraiwagun,baegamgun
만경대학생소년궁전,マンケイダイガクセイショウネンキュウデン,mankeidaigakuseishounenkyuuden,mangyeongdaehagsaengsonyeongungjeon
례성강철교,レイシゲルコウテッキョウ,reishigerukoutekkyou,ryeseonggangceolgyo
갈마비행장,カズラアサヒコウジョウ,kazuraasahikoujou,galmabihaengjang
개마고원,フタバコウゲン,futabakougen,gaemagoweon
룡성선,リュウジョウセン,ryuujousen,ryongseongseon
서해리선,ニシウミサトセン,nishiumisatosen,seohaeriseon
평의선,タイラヨシセン,tairayoshisen,pyeongyiseon
평남선,ヒラミナミセン,hiraminamisen,pyeongnamseon
광복절,ヒカリフクブシ,hikarifukubushi,gwangbogjeol
장충성당,チョウタダヒロセイドウ,choutadahiroseidou,jangcungseongdang
장진호,ナガツコ,nagatsuko,jangjinho
김일성경기장,キムイルソンキョウギジョウ,kimuirusonkyougijou,gimilseonggyeonggijang
황해선,コウカイセン,koukaisen,hwanghaeseon
온천군,オンセングン,onsengun,onceongun
고원군,タカハルグン,takaharugun,goweongun
철원군,テツハラノグン,tetsuharanogun,ceolweongun
신천군,シンカワグン,shinkawagun,sinceongun
남흥선,ミナミキョウセン,minamikyousen,namheungseon
만수대창작사,バンコトブキダイソウサクシャ,bankotobukidaisousakusha,mansudaecangjagsa
덕성선,トクジョウセン,tokujousen,deogseongseon
경원군,ケイゲングン,keigengun,gyeongweongun
허천군,ウロカワグン,urokawagun,heoceongun
경성군,カガミグスクグン,kagamigusukugun,gyeongseonggun
운흥군,クモオキグン,kumookigun,unheunggun
중화군,チュウワグン,chuuwagun,junghwagun
만포선,マンウラセン,manurasen,manposeon
꽃제비,コッチェビ,kotchebi,ggocjebi
랑림산맥,オオカミリンサンミャク,ookamirinsanmyaku,rangrimsanmaeg
기정동,キイホラ,kiihora,gijeongdong
만경대,マンケイダイ,mankeidai,mangyeongdae
운봉선,クモホウセン,kumohousen,unbongseon
송도원선,ショウトウエンセン,shoutouensen,songdoweonseon
시정선,シバイセン,shibaisen,sijeongseon
리원선,リハラセン,riharasen,riweonseon
평안북도,ヘイアンホクドウ,heianhokudou,pyeonganbugdo
황해북도,コウカイホクドウ,koukaihokudou,hwanghaebugdo
평안남도,ヘイアンミナミドウ,heianminamidou,pyeongannamdo
판문점,ハンモンテン,hanmonten,panmunjeom
무수단리,マイスイタンサト,maisuitansato,musudanri
남동선,ミナミホラセン,minamihorasen,namdongseon
압록강선,カモミドリコウセン,kamomidorikousen,abroggangseon
황강댐,キコウダム,kikoudamu,hwanggangdaem
정도선,カナエトウセン,kanaetousen,jeongdoseon
만수대대기념비,バンコトブキダイダイキネンヒ,bankotobukidaidaikinenhi,mansudaedaeginyeombi
량강도,リョウエンドウ,ryouendou,ryanggangdo
옥류교,タマリュウキョウ,tamaryuukyou,ogryugyo
만수대,マンスダイ,mansudai,mansudae
릉라교,リョウラキョウ,ryourakyou,reungragyo
청년영웅도로,セイネンエイユウドウロ,seineneiyuudouro,ceongnyeonyeongungdoro
두만강선,トウマンコウセン,toumankousen,dumangangseon
조선외국문도서출판사,ガイコクブンソウゴウシュッパンシャ,gaikokubunsougoushuppansha,joseonoegugmundoseoculpansa
강안선,コウキシセン,koukishisen,ganganseon
서흥군,ミズオキグン,mizuokigun,seoheunggun
대동군,ダイドウグン,daidougun,daedonggun
강남군,コウナングン,kounangun,gangnamgun
김형직군,キンキョウショクグン,kinkyoushokugun,gimhyeongjiggun
사회주의애국청년동맹,シャカイシュギアイコクセイネンドウメイ,shakaishugiaikokuseinendoumei,sahoejuyiaegugceongnyeondongmaeng
이천군,イカワグン,ikawagun,iceongun
허천선,ウロカワセン,urokawasen,heoceonseon
안주탄광선,ヤスシュウタンコウセン,yasushuutankousen,anjutangwangseon
송림선,マツバヤシセン,matsubayashisen,songrimseon
조선사회주의녀성동맹,チョウセンシャカイシュギジョセイドウメイ,chousenshakaishugijoseidoumei,joseonsahoejuyinyeoseongdongmaeng
조선농업근로자동맹,チョウセンノウギョウキンロウシャドウメイ,chousennougyoukinroushadoumei,joseonnongeobgeunrojadongmaeng
주체연호,シュタイネンゴウ,shutainengou,juceyeonho
북조선로동당,キタチョウセンロウドウトウ,kitachousenroudoutou,bugjoseonrodongdang
조선직업총동맹,チョウセンショクギョウソウドウメイ,chousenshokugyousoudoumei,joseonjigeobcongdongmaeng
보천선,フテンセン,futensen,boceonseon
과학기술전당,カガクギジュツデンドウ,kagakugijutsudendou,gwahaggisuljeondang
장마당,チャンマダン,chanmadan,jangmadang
주체사상,シュタイシソウ,shutaishisou,jucesasang
길주군,ヨシシュウグン,yoshishuugun,giljugun
평라선,ヒララセン,hirarasen,pyeongraseon
보천군,フテングン,futengun,boceongun
어랑군,リョウロウグン,ryourougun,eoranggun
김형권군,キンキョウケングン,kinkyoukengun,gimhyeonggweongun
풍서군,トヨニシグン,toyonishigun,pungseogun
은률군,インクリグン,inkurigun,eunryulgun
리순신장군훈장,リシュンシンクンショウ,rishunshinkunshou,risunsinjanggunhunjang
우의탑,ユウギトウ,yuugitou,uyitab
조선그리스도교련맹,チョウセンキリストキョウレンメイ,chousenkirisutokyourenmei,joseongeuriseudogyoryeonmaeng
김일성훈장,キムイルソンクンショウ,kimuirusonkunshou,gimilseonghunjang
호위사령부,ゴエイシレイブ,goeishireibu,howisaryeongbu
공화국영웅,チョウセンミンシュシュギジンミンキョウワコクエイユウ,chousenminshushugijinminkyouwakokueiyuu,gonghwagugyeongung
자유독립훈장,ジユウドクリツクンショウ,jiyuudokuritsukunshou,jayudogribhunjang
평양시간,ピョンヤンジカン,pyonyanjikan,pyeongyangsigan
조선중앙방송위원회,チョウセンチュウオウホウソウ,chousenchuuouhousou,joseonjungangbangsongwiweonhoe
은하수관현악단,ギンガスイカンゲンガクダン,gingasuikangengakudan,eunhasugwanhyeonagdan
평양산원,ピョンヤンサンイン,pyonyansanin,pyeongyangsanweon
애국렬사릉,アイコクレッシリョウ,aikokuresshiryou,aegugryeolsareung
개선청년공원,ガイセンセイネンコウエン,gaisenseinenkouen,gaeseonceongnyeongongweon
정일봉,ジョンイルホウ,joniruhou,jeongilbong
김일성가,ハクトウケットウ,hakutoukettou,gimilseongga
멸악산맥,メツアクサンミャク,metsuakusanmyaku,myeolagsanmaeg
장진선,ナガツセン,nagatsusen,jangjinseon
장연선,ナガブチセン,nagabuchisen,jangyeonseon
평양희천고속도로,ピョンヤンコウザンカンコウドウロ,pyonyankouzankankoudouro,pyeongyanghyiceongosogdoro
녕변군,ニョンビョングン,nyonbyongun,nyeongbyeongun
만수대예술극장,バンコトブキダイゲイジュツゲキジョウ,bankotobukidaigeijutsugekijou,mansudaeyesulgeugjang
만경대혁명학원,マンケイダイカクメイガクイン,mankeidaikakumeigakuin,mangyeongdaehyeogmyeonghagweon
신압록강대교,シンカモミドリコウオオハシ,shinkamomidorikouoohashi,sinabroggangdaegyo
인민문화궁전,ジンミンブンカキュウデン,jinminbunkakyuuden,inminmunhwagungjeon
기자릉,ミノコリョウ,minokoryou,gijareung
봉화예술극장,ホウカゲイジュツゲキジョウ,houkageijutsugekijou,bonghwayesulgeugjang
장혜국제대교,チョウメグミコクサイオオハシ,choumegumikokusaioohashi,janghyegugjedaegyo
만경봉,マンケイホウ,mankeihou,mangyeongbong
평양대극장,ピョンヤンダイゲキジョウ,pyonyandaigekijou,pyeongyangdaegeugjang
풍계리,ユタカケイサト,yutakakeisato,punggyeri
무산광산선,シゲヤマコウザンセン,shigeyamakouzansen,musangwangsanseon
일탄선,ニチスミセン,nichisumisen,iltanseon
광명성절,コウミョウボシブシ,koumyouboshibushi,gwangmyeongseongjeol
임남댐,ニンミナミダム,ninminamidamu,imnamdaem
리과대학,ヒラジロリカダイガク,hirajirorikadaigaku,rigwadaehag
평양철도대학,ピョンヤンテツドウダイガク,pyonyantetsudoudaigaku,pyeongyangceoldodaehag
광명성,コウミョウボシ,koumyouboshi,gwangmyeongseong
고건원선,コイヌイゲンセン,koinuigensen,gogeonweonseon
려행증,リョコウショウ,ryokoushou,ryeohaengjeung
고원탄광선,コウゲンタンコウセン,kougentankousen,goweontangwangseon
강계선,コウカイセン,koukaisen,ganggyeseon
백마선,ハクバセン,hakubasen,baegmaseon
금골선,クムゴルセン,kumugorusen,geumgolseon
신흥선,シンコウセン,shinkousen,sinheungseon
강덕선,ヤスノリセン,yasunorisen,gangdeogseon
의주비행장,ヨシシュウヒコウジョウ,yoshishuuhikoujou,yijubihaengjang
은률선,インクリセン,inkurisen,eunryulseon
배천선,シラカワセン,shirakawasen,baeceonseon
황해청년선,コウカイセイネンセン,koukaiseinensen,hwanghaeceongnyeonseon
옹진선,ウツセン,utsusen,ongjinseon
평덕선,タイライサオセン,tairaisaosen,pyeongdeogseon
무산선,シゲヤマセン,shigeyamasen,musanseon
회령탄광선,カイヤスシタンコウセン,kaiyasushitankousen,hoeryeongtangwangseon
백무선,ハクシゲルセン,hakushigerusen,baegmuseon
회암선,ハイイワセン,haiiwasen,hoeamseon
안골선,アンゴルセン,angorusen,angolseon
철산선,テツザンセン,tetsuzansen,ceolsanseon
박연폭포,ボクフカシバクフ,bokufukashibakufu,bagyeonpogpo
금강산청년선,コンゴウサンセイネンセン,kongousanseinensen,geumgangsanceongnyeonseon
만덕선,マントクセン,mantokusen,mandeogseon
덕산비행장,トクヤマヒコウジョウ,tokuyamahikoujou,deogsanbihaengjang
갑산파,コウザンハ,kouzanha,gabsanpa
김정일정치군사대학,キムジョンイルセイジグンジダイガク,kimujoniruseijigunjidaigaku,gimjeongiljeongcigunsadaehag
김책제철련합기업소,キンサクセイテツショ,kinsakuseitetsusho,gimcaegjeceolryeonhabgieobso
인민위원회,ジンミンイインカイ,jinminiinkai,inminwiweonhoe
김일성방송대학,キムイルソンホウソウダイガク,kimuirusonhousoudaigaku,gimilseongbangsongdaehag
소련파,ソレンハ,sorenha,soryeonpa
한국어족,チョウセンゴゾク,chousengozoku,hangugeojog
평양원산관광도로,ピョンヤンモトヤマカンコウドウロ,pyonyanmotoyamakankoudouro,pyeongyangweonsangwangwangdoro
은산선,インサンセン,insansen,eunsanseon
운산선,クモヤマセン,kumoyamasen,unsanseon
로농적위군,ロウノウアカマモルグン,rounouakamamorugun,ronongjeogwigun
조선소년단,チョウセンショウネンダン,chousenshounendan,joseonsonyeondan
대안선,タイアンセン,taiansen,daeanseon
태왕,フトシオウ,futoshiou,taewang
납북자,キタチョウセンニヨルカンコクジンラチモンダイ,kitachousenniyorukankokujinrachimondai,nabbugja
서산축구경기장,ニシヤマサッカーキョウギジョウ,nishiyamasakkākyougijou,seosancuggugyeonggijang
룡강선,タツオカセン,tatsuokasen,ryonggangseon
평북선,ヒラキタセン,hirakitasen,pyeongbugseon
부포선,ガマウラセン,gamaurasen,buposeon
박천선,ヒロシガワセン,hiroshigawasen,bagceonseon
북미정상회담,ベイチョウシュノウカイダン,beichoushunoukaidan,bugmijeongsanghoedam
덕흥리고분,トクキョウサトコフン,tokukyousatokofun,deogheungrigobun
주체농법,シュタイノウホウ,shutainouhou,jucenongbeob
조선문학예술총동맹,チョウセンブンガクゲイジュツソウドウメイ,chousenbungakugeijutsusoudoumei,joseonmunhagyesulcongdongmaeng
득장선,トクショウセン,tokushousen,deugjangseon
비날론선,ビナロンセン,binaronsen,binalronseon
장상선,チョウジョウセン,choujousen,jangsangseon
구봉산선,カメオオトリサンセン,kameootorisansen,gubongsanseon
남양국경선,ナンヨウコッキョウセン,nanyoukokkyousen,namyangguggyeongseon
춘두선,チュンドゥセン,chundusen,cunduseon
천내선,センダイセン,sendaisen,ceonnaeseon
보위국,チョウセンジンミングンヤスエシレイブ,chousenjinmingunyasueshireibu,bowigug
관하선,カンカセン,kankasen,gwanhaseon
수풍선,ミズユタカセン,mizuyutakasen,supungseon
청진항선,キヨシツコウセン,kiyoshitsukousen,ceongjinhangseon
자력갱생,ジリキコウセイ,jirikikousei,jaryeoggaengsaeng
성평선,シロツボセン,shirotsubosen,seongpyeongseon
대각선,オオスミセン,oosumisen,daegagseon
대중율동체조,リツドウタイソウ,ritsudoutaisou,daejungyuldongcejo
덕남선,トクミナミセン,tokuminamisen,deognamseon
락랑선,ラクナミセン,rakunamisen,ragrangseon
평양방어사령부,ピョンヤンボウギョシレイブ,pyonyanbougyoshireibu,pyeongyangbangeosaryeongbu
창흥선,アキラキョウセン,akirakyousen,cangheungseon
명당선,メイドウセン,meidousen,myeongdangseon
조선불교도련맹,チョウセンフツキョウトレンメイ,chousenfutsukyoutorenmei,joseonbulgyodoryeonmaeng
동포선,ヒガシウラセン,higashiurasen,dongposeon
성진제강련합기업소,シロツセイコウショ,shirotsuseikousho,seongjinjegangryeonhabgieobso
사회과학원,チョウセンシャカイカガクイン,chousenshakaikagakuin,sahoegwahagweon
재동선,アズサホラセン,azusahorasen,jaedongseon
직동탄광선,チョクホラタンコウセン,chokuhoratankousen,jigdongtangwangseon
문천항선,ブンガワミナトセン,bungawaminatosen,munceonhangseon
서호선,サイコセン,saikosen,seohoseon
금야선,コンノセン,konnosen,geumyaseon
청년전위,セイネンゼンエイ,seinenzenei,ceongnyeonjeonwi
룡암선,リュウイワセン,ryuuiwasen,ryongamseon
룡문탄광선,リュウモンタンコウセン,ryuumontankousen,ryongmuntangwangseon
제로코비드,ゼロコロナセイサク,zerokoronaseisaku,jerokobideu
김군옥영웅함,キムクンダマエイユウカン,kimukundamaeiyuukan,gimgunogyeongungham
평해튼,ピョンハッタン,pyonhattan,pyeonghaeteun
김일성고급당학교,キムイルソンコウキュウトウガッコウ,kimuirusonkoukyuutougakkou,gimilseonggogeubdanghaggyo
신분당선,アラボントウセン,arabontousen,sinbundangseon
삼성전자,サムスンデンシ,samusundenshi,samseongjeonja
고창군,コウタカシグン,koutakashigun,gocanggun
고흥군,コウオキグン,kouokigun,goheunggun
곡성군,タニグスクグン,tanigusukugun,gogseonggun
자유한국당,ジユウカンコクトウ,jiyuukankokutou,jayuhangugdang
달성군,イタルグスクグン,itarugusukugun,dalseonggun
금산군,ニシキヤマグン,nishikiyamagun,geumsangun
기장군,キチョウグン,kichougun,gijanggun
단양군,タンヨウグン,tanyougun,danyanggun
괴산군,サイカチサングン,saikachisangun,goesangun
구례군,モトメレイグン,motomereigun,guryegun
군위군,グンイグン,gunigun,gunwigun
무안군,ツトムヤスグン,tsutomuyasugun,muangun
서울메트로,ソウルメトロ,sourumetoro,seoulmeteuro
삼성그룹,サムスングループ,samusungurūpu,samseonggeurub
성주군,ホシシュウグン,hoshishuugun,seongjugun
강화군,コウハナグン,kouhanagun,ganghwagun
거창군,キョアキラグン,kyoakiragun,geocanggun
고령군,コウレイグン,koureigun,goryeonggun
경인선,キョウヒトシセン,kyouhitoshisen,gyeonginseon
경기도,ケイキドウ,keikidou,gyeonggido
가평군,カヘイグン,kaheigun,gapyeonggun
강진군,カンツグン,kantsugun,gangjingun
무주군,シゲルシュグン,shigerushugun,mujugun
보은군,ホウオングン,houongun,boeungun
보성군,タカラグスクグン,takaragusukugun,boseonggun
산청군,ヤマキヨシグン,yamakiyoshigun,sanceonggun
봉화군,タテマツカグン,tatematsukagun,bonghwagun
순창군,アツシアキラグン,atsushiakiragun,suncanggun
양양군,ジョウヒグン,jouhigun,yangyanggun
신안군,シンヤスグン,shinyasugun,sinangun
연천군,サザナミカワグン,sazanamikawagun,yeonceongun
분당선,ボントウセン,bontousen,bundangseon
남해군,ナンガイグン,nangaigun,namhaegun
하동군,カトウグン,katougun,hadonggun
서울평화상,ソウルヘイワショウ,souruheiwashou,seoulpyeonghwasang
이어도,ソガンショウ,soganshou,ieodo
예산군,レイサングン,reisangun,yesangun
영암군,レイイワグン,reiiwagun,yeongamgun
영월군,ヤスシコシグン,yasushikoshigun,yeongweolgun
영동군,エイドウグン,eidougun,yeongdonggun
영양군,エイヒグン,eihigun,yeongyanggun
영덕군,ミツルトクグン,mitsurutokugun,yeongdeoggun
기아,キアジドウシャ,kiajidousha,gia
중앙선,チュウオウセン,chuuousen,jungangseon
금강산선,コンゴウサンデンキテツドウ,kongousandenkitetsudou,geumgangsanseon
청송군,アオマツグン,aomatsugun,ceongsonggun
청도군,キヨミチグン,kiyomichigun,ceongdogun
