hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
tiago machado,ティアゴ・マシャド,tiago・mashado
andré gomes,アンドレ・ゴメス,andore・gomesu
nélson marcos,ネルソン・マルコス,neruson・marukosu
jorge jesus,ジョルジェ・ジェズス,joruje・jezusu
yannick djaló,ヤニック・ジャロ,yanikku・jaro
sérgio conceição,セルジオ・コンセイソン,serujio・konseison
abel ferreira,アベル・フェレイラ,aberu・fereira
pedro mendes,ペドロ・メンデス,pedoro・mendesu
ariza makukula,アリザ・マククラ,ariza・makukura
miguel oliveira,ミゲル・オリベイラ,migeru・oribeira
ricardo sérgio rocha azevedo,リカルド・セルジオ・ローシャ・アゼヴェード,rikarudo・serujio・rōsha・azevuェーdo
josé carlos gonçalves rodrigues,ジョゼ・カルロス・ゴンザルヴェス・ロドリゲス,joze・karurosu・gonzaruvuェsu・rodorigesu
paulo rocha,パウロ・ローシャ,pauro・rōsha
manuel da costa,マヌエル・ダ・コスタ,manueru・da・kosuta
paulo santos,パウロ・サントス,pauro・santosu
ricardo trêpa,リカルド・トレパ,rikarudo・torepa
paulo machado,パウロ・マシャド,pauro・mashado
sérgio oliveira,セルジオ・オリヴェイラ,serujio・orivuェira
tiago apolónia,ティアゴ・アポローニャ,tiago・aporōnya
wilson eduardo,ウィルソン・エドゥアルド,wiruson・eduarudo
josé alberto costa,ジョゼ・アルベルト・コスタ,joze・aruberuto・kosuta
jorge cadete,ジョルジ・カデテ,joruji・kadete
ileana d'cruz,イリアナ・デクルーズ,iriana・dekurūzu
carlos ramos,カルロス・ラモス,karurosu・ramosu
manuel matias,マヌエル・マティアス,manueru・matiasu
antónio costa,アントニオ・コスタ,antonio・kosuta
antónio félix da costa,アントニオ・フェリックス・ダ・コスタ,antonio・ferikkusu・da・kosuta
andré filipe bernardes santos,アンドレ・フィリペ・ベルナルデス・サントス,andore・firipe・berunarudesu・santosu
oceano da cruz,オセアノ・ダ・クルス,oseano・da・kurusu
sequeira costa,セケイラ・コスタ,sekeira・kosuta
armando josé fernandes,アルマンド・ジョゼ・フェルナンデス,arumando・joze・ferunandesu
antónio fragoso,アントーニオ・フラゴーソ,antōnio・furagōso
raphaël guerreiro,ラファエル・ゲレイロ,rafaeru・gereiro
paulo madeira,パウロ・マデイラ,pauro・madeira
josé couceiro,ジョゼ・コウセイロ,joze・kouseiro
joão monteiro,ジョアン・モンテイロ,joan・monteiro
jorge mendes,ジョルジュ・メンデス,joruju・mendesu
ricardo carvalho,リカルド・カルヴァーリョ,rikarudo・karuvāryo
leonardo jardim,レオナルド・ジャルディム,reonarudo・jarudimu
andré pinto,アンドレ・ピント,andore・pinto
josé sá,ジョゼ・サ,joze・sa
vítor pereira,ヴィトール・ペレイラ,vitōru・pereira
ricardo domingos barbosa pereira,リカルド・ドミンゴス・バルボサ・ペレイラ,rikarudo・domingosu・barubosa・pereira
steven vitória,スティーヴン・ヴィトーリア,sutīvun・vitōria
luís leal,ルイス・レアル,ruisu・rearu
mário rui,マリオ・ルイ,mario・rui
shéu han,シェウ・ハン,sheu・han
luís de freitas branco,ルイス・デ・フレイタス・ブランコ,ruisu・de・fureitasu・buranko
antónio maria da silva,アントニオ・マリア・ダ・シルヴァ,antonio・maria・da・shiruva
joão paulo dias fernandes,ジョアン・パウロ・ディアス・フェルナンデス,joan・pauro・diasu・ferunandesu
emílio peixe,エミリオ・ペイシェ,emirio・peishe
joly braga santos,ジョリ・ブラガ・サントス,jori・buraga・santosu
duarte nuno de bragança,ドゥアルテ・ヌノ・デ・ブラガンサ,duarute・nuno・de・buragansa
joão cancelo,ジョアン・カンセロ,joan・kansero
diogo salomão,ディオゴ・サロモン,diogo・saromon
hélder cristóvão,エウデル・クリストヴァン,euderu・kurisutovan
manuel curado,マヌエル・クラード,manueru・kurādo
antónio folha,アントニオ・フォーリャ,antonio・fōrya
valter hugo mãe,ヴァルテル・ウーゴ・マイン,varuteru・ūgo・main
rui águas,ルイ・アグアス,rui・aguasu
salvador agra,サルバドール・アグラ,sarubadōru・agura
rui faria,ルイ・ファリア,rui・faria
mário coluna,マリオ・コルナ,mario・koruna
roderick miranda,ロデリック・ミランダ,roderikku・miranda
ricardo filipe da silva braga,リカルド・フェリペ・ダ・シルバ・ブラガ,rikarudo・feripe・da・shiruba・buraga
lucy bronze,ルーシー・ブロンズ,rūshī・buronzu
edgar ié,エドガル・イエ,edogaru・ie
josé malhoa,ジョゼ・マリョア,joze・maryoa
marcelo rebelo de sousa,マルセロ・レベロ・デ・ソウザ,marusero・rebero・de・souza
henrique abranches,エンリケ・アブランシェス,enrike・aburanshesu
mário sérgio,マリオ・セルジオ,mario・serujio
kristof van hout,クリストフ・ファン・フート,kurisutofu・fan・fūto
bruno gama,ブルーノ・ガマ,burūno・gama
leonor baldaque,レオノール・バルダック,reonōru・barudakku
diogo viana,ディオゴ・ヴィアナ,diogo・viana
marco silva,マルコ・シウバ,maruko・shiuba
josé moreira,ジョゼ・モレイラ,joze・moreira
luís carlos correia pinto,ルイス・カルロス・コレイア・ピント,ruisu・karurosu・koreia・pinto
nuno assis,ヌノ・アシス,nuno・ashisu
nuno morais,ヌーノ・モライス,nūno・moraisu
eduardo serra,エドゥアルド・セラ,eduarudo・sera
rui jordão,ルイ・ジョルダン,rui・jorudan
aldair adulai djaló baldé,アルダイール・アドゥライ・ジャロ・バルデ,arudaīru・adurai・jaro・barude
sílvio manuel pereira,シルヴィオ・マヌエル・ペレイラ,shiruvio・manueru・pereira
artur loureiro,アルトゥール・ロウレイロ,arutūru・roureiro
filipe albuquerque,フェリペ・アルブケルケ,feripe・arubukeruke
andré andré,アンドレ・アンドレ,andore・andore
orlando sá,オルランド・サ,orurando・sa
carlos secretário,カルロス・セクレタリオ,karurosu・sekuretario
vítor paneira,ヴィトール・パネイラ,vitōru・paneira
adrien silva,アドリエン・シウバ,adorien・shiuba
josé fonte,ジョゼ・フォンテ,joze・fonte
danilo pereira,ダニーロ・ペレイラ,danīro・pereira
andré martins,アンドレ・マルティンス,andore・marutinsu
daniel carriço,ダニエル・カリーソ,danieru・karīso
humberto coelho,ウンベルト・コエリョ,unberuto・koeryo
rui barros,ルイ・バロス,rui・barosu
stanley ho,スタンレー・ホー,sutanrē・hō
rony lopes,マルコス・ロペス,marukosu・ropesu
dimas teixeira,ディマス・テイシェイラ,dimasu・teisheira
bruno vale,ブルーノ・ヴァーレ,burūno・vāre
luís vidigal,ルイス・ビジガウ,ruisu・bijigau
andré vilas boas,アンドレ・ビラス・ボアス,andore・birasu・boasu
daniel da cruz carvalho,ダニエル・ダ・クルス・カルヴァーリョ,danieru・da・kurusu・karuvāryo
joão pedro rodrigues,ジョアン・ペドロ・ロドリゲス,joan・pedoro・rodorigesu
artur pizarro,アルトゥール・ピサロ,arutūru・pisaro
alberto joão jardim,アルベルト・ジョアン・ジャルディン,aruberuto・joan・jarudin
joão paulo andrade,ジョアン・パウロ・アンドラーデ,joan・pauro・andorāde
pedro emanuel,ペドロ・エマヌエル,pedoro・emanueru
joaquim agostinho,ジョアキン・アゴスティーニョ,joakin・agosutīnyo
gago coutinho,ガーゴ・コーチニョ,gāgo・kōchinyo
carlos miguel ribeiro dias,カルロス・ミゲル・リベイロ・ディアス,karurosu・migeru・ribeiro・diasu
mário laginha,マリオ・ラジーニャ,mario・rajīnya
mario rondón,マリオ・ロンドン,mario・rondon
vasco uva,ヴァスコ・ウヴァ,vasuko・uva
ricardo esgaio,リカルド・エスガイオ,rikarudo・esugaio
carlos mané,カルロス・マネ,karurosu・mane
julien bardy,ジュリアン・バーディ,jurian・bādi
pedro barbosa,ペドロ・バルボーザ,pedoro・barubōza
nuno frechaut,ヌーノ・フレシャウト,nūno・fureshauto
venceslau de morais,ヴェンセスラウ・デ・モラエス,vuェnsesurau・de・moraesu
filipe teixeira,フィリペ・テイシェイラ,firipe・teisheira
charles de lambert,シャルル・ド・ランベール,sharuru・do・ranbēru
pedro costa,ペドロ・コスタ,pedoro・kosuta
paulo oliveira,パウロ・オリヴェイラ,pauro・orivuェira
bruno gaspar,ブルーノ・ガスパール,burūno・gasupāru
bruno fernandes,ブルーノ・フェルナンデス,burūno・ferunandesu
rui fonte,ルイ・フォンテ,rui・fonte
rui jorge,ルイ・ジョルジ,rui・joruji
emmanuel nunes,エマヌエル・ヌネス,emanueru・nunesu
fábio faria,ファビオ・ファリア,fabio・faria
pedro manuel mendes ribeiro,ペドロ・マヌエル・メンデス・リベイロ,pedoro・manueru・mendesu・ribeiro
nelson oliveira,ネルソン・オリヴェイラ,neruson・orivuェira
fialho de almeida,フィアーリョ・デ・アルメイダ,fiāryo・de・arumeida
filipa cavalleri,フィリパ・カバレリ,firipa・kabareri
carlos carvalhal,カルロス・カルヴァリャル,karurosu・karuvaryaru
diogo figueiras,ジオゴ・フィゲイラス,jiogo・figeirasu
daniel podence,ダニエル・ポデンセ,danieru・podense
diamantino miranda,ディアマンティーノ・ミランダ,diamantīno・miranda
david simão,ダヴィド・シモン,davido・shimon
júlio augusto henriques,ジュリオ・アウグスト・エンリケス,jurio・augusuto・enrikesu
tobias figueiredo,トビアス・フィゲイレド,tobiasu・figeiredo
tiago ilori,チアゴ・イロリ,chiago・irori
fábio paím,ファビオ・パイム,fabio・paimu
mário de carvalho,マリオ・デ・カルヴァーリョ,mario・de・karuvāryo
michael simões domingues,ミカエル・シモンエス・ドミンゲス,mikaeru・shimonesu・domingesu
columbano bordalo pinheiro,コルンバノ・ボルダロ・ピニェイロ,korunbano・borudaro・piniェiro
marco ferreira,マルコ・フェレイラ,maruko・fereira
josé gonçalves,ジョゼ・ゴンサルヴェス,joze・gonsaruvuェsu
josé júlio de souza pinto,ジョゼ・ジュリオ・デ・ソウザ・ピント,joze・jurio・de・souza・pinto
josé manuel rodrigues,ジョゼ・マヌエル・ロドリゲス,joze・manueru・rodorigesu
duarte pio de bragança,ドゥアルテ・ピオ・デ・ブラガンサ,duarute・pio・de・buragansa
aurélia de sousa,オーレリア・デ・ソウザ,ōreria・de・souza
domingo pais,ドミンゴス・パイス,domingosu・paisu
frederico de freitas,フレデリコ・デ・フレイタス,furederiko・de・fureitasu
almami moreira,アルマニ・モレイラ,arumani・moreira
gonçalo brandão,ゴンサロ・ブランダン,gonsaro・burandan
joão sousa,ジョアン・ソウザ,joan・souza
josé águas,ジョゼ・アグアス,joze・aguasu
joão pina,ジョアン・ピナ,joan・pina
paulinho santos,パウリーニョ・サントス,paurīnyo・santosu
francisco rolão preto,フランシスコ・ロラン・プレト,furanshisuko・roran・pureto
francisco marto,フランシスコ・マルト,furanshisuko・maruto
hélder costa,エルデル・コスタ,eruderu・kosuta
hernâni jorge santos fortes,エルナニ・ジョルジュ・サントス・フォルテス,erunani・joruju・santosu・forutesu
hernâni ferreira da silva,エルナニ・フェレイラ・ダ・シルヴァ,erunani・fereira・da・shiruva
joão vaz,ジョアン・バス,joan・basu
anthony lopes,アントニー・ロペス,antonī・ropesu
fernando mamede,フェルナンド・マメーデ,ferunando・mamēde
ivan cavaleiro,イヴァン・カヴァレイロ,ivan・kavareiro
andré almeida,アンドレ・アルメイダ,andore・arumeida
josé ernesto de sousa,ジョゼ・エルネスト・デ・ソウザ,joze・erunesuto・de・souza
wilson manafá,ウィルソン・マナファ,wiruson・manafa
miguel gomes,ミゲル・ゴメス,migeru・gomesu
nuno delgado,ヌーノ・デルガド,nūno・derugado
maria joão luís,マリア・ジョアン・ルイス,maria・joan・ruisu
nélson semedo,ネルソン・セメド,neruson・semedo
rui tiago,ルイ・シルヴァ,rui・shiruva
joão palhinha,ジョアン・パリーニャ,joan・parīnya
lula pena,ルーラ・ペナ,rūra・pena
gelson martins,ジェルソン・マルティンス,jeruson・marutinsu
ulisses garcia,ウリセス・ガルシア,urisesu・garushia
rúben dias,ルベン・ディアス,ruben・diasu
rúben semedo,ルベン・セメド,ruben・semedo
gonçalo paciência,ゴンサロ・パシエンシア,gonsaro・pashienshia
rúben neves,ルベン・ネヴェス,ruben・nevuェsu
luís montenegro,ルイス・モンテネグロ,ruisu・monteneguro
iuri medeiros,イウリ・メデイロス,iuri・medeirosu
francisco geraldes,フランシスコ・ジェラウデス,furanshisuko・jeraudesu
jéssica silva,ジェシカ・シルバ,jeshika・shiruba
paulo fonseca,パウロ・フォンセカ,pauro・fonseka
pedro de freitas branco,ペドロ・デ・フレイタス・ブランコ,pedoro・de・fureitasu・buranko
erica fontes,エリカ・フォンテス,erika・fontesu
francisco ramos,フランシスコ・ラモス,furanshisuko・ramosu
andré horta,アンドレ・オルタ,andore・oruta
gonçalo guedes,ゴンサロ・ゲデス,gonsaro・gedesu
augusto moreira de oliveira,アウグスト・モレイラ・デ・オリベラ,augusuto・moreira・de・oribera
ricardo horta,リカルド・オルタ,rikarudo・oruta
domingos duarte,ドミンゴス・ドゥアルテ,domingosu・duarute
kingsley madu,キングスレイ・マドゥ,kingusurei・madu
tomás podstawski,トーマス・ポズタウスキ,tōmasu・pozutausuki
rúben vezo,ルベン・ヴェソ,ruben・vuェso
salvador sobral,サルヴァドール・ソブラル,saruvadōru・soburaru
renato sanches,レナト・サンチェス,renato・sanchesu
bernardo silva,ベルナルド・シウバ,berunarudo・shiuba
andré moreira,アンドレ・モレイラ,andore・moreira
gerson rodrigues,ジェルソン・ロドリゲス,jeruson・rodorigesu
francisco trincão,フランシスコ・トリンコン,furanshisuko・torinkon
manuel custódia,マヌエル・クストーダ,manueru・kusutōda
joel castro pereira,ジョエル・カストロ・ペレイラ,joeru・kasutoro・pereira
rafael leão,ラファエル・レオン,rafaeru・reon
diogo jota,ディオゴ・ジョッタ,diogo・jotta
pedro neto,ペドロ・ネト,pedoro・neto
gonçalo ramos,ゴンサロ・ラモス,gonsaro・ramosu
joão félix,ジョアン・フェリックス,joan・ferikkusu
marcos paulo costa do nascimento,マルコス・パウロ・コスタ・ド・ナシメント,marukosu・pauro・kosuta・do・nashimento
cristina fonseca,クリスティーナ・フォンセカ,kurisutīna・fonseka
david carmo,ダヴィド・カルモ,davido・karumo
daniel bragança,ダニエル・ブラガンサ,danieru・buragansa
neemias queta,ニーミアス・クエタ,nīmiasu・kueta
luís maximiano,ルイス・マキシミアーノ,ruisu・makishimiāno
yuri ribeiro,ユーリ・リベイロ,yūri・ribeiro
joão mário neto lopes,ジョアン・マリオ・ネト・ロペス,joan・mario・neto・ropesu
nuno tavares,ヌーノ・タヴァレス,nūno・tavaresu
gedson fernandes,ジェドソン・フェルナンデス,jedoson・ferunandesu
diogo dalot,ディオゴ・ダロト,diogo・daroto
domingos quina,ドミンゴス・クイナ,domingosu・kuina
jota filipe,ジョアン・フィリペ,joan・firipe
diogo costa,ディオゴ・コスタ,diogo・kosuta
vasco barbosa,ヴァスコ・バルボザ,vasuko・baruboza
rúben vinagre,ルベン・バイナグル,ruben・bainaguru
jorge fonseca,ジョルジ・フォンセカ,joruji・fonseka
pedro gonçalves,ペドロ・ゴンサウヴェス,pedoro・gonsauvuェsu
loïs openda,ロイス・オペンダ,roisu・openda
thierry correia,ティエリー・コレイア,tierī・koreia
vera von monika,ベラ・フォン・モニカ,bera・fon・monika
florentino luís,フロレンティーノ・ルイス,furorentīno・ruisu
fábio vieira,ファビオ・ヴィエイラ,fabio・vieira
marta temido,マルタ・テミド,maruta・temido
tiago dantas,ティアゴ・ダンタス,tiago・dantasu
luís sequeira,ルイス・セケイラ,ruisu・sekeira
daniela melchior,ダニエラ・メルシオール,daniera・merushiōru
joão almeida,ジョアン・アルメイダ,joan・arumeida
joão neves,ジョアン・ネヴィス,joan・nevisu
henrique araújo,エンリケ・アラウージョ,enrike・araūjo
fábio silva,ファビオ・シルヴァ,fabio・shiruva
gonçalo borges,ゴンサロ・ボルジェス,gonsaro・borujesu
andré franco,アンドレ・フランコ,andore・furanko
nuno mendes,ヌーノ・メンデス,nūno・mendesu
tiago tomás,ティアゴ・トマス,tiago・tomasu
francisco conceição,フランシスコ・コンセイソン,furanshisuko・konseison
antónio silva,アントニオ・シウヴァ,antonio・shiuva
fábio carvalho,ファビオ・カルヴァーリョ,fabio・karuvāryo
campinas,カンピーナス,kanpīnasu
pelotas,ペロタス,perotasu
embraer,エンブラエル,enburaeru
osasco,オザスコ,ozasuko
fortaleza,フォルタレザ,forutareza
brasil,ブラジル,burajiru
caxias do sul,カシアス・ド・スル,kashiasu・do・suru
curitiba,クリチバ,kurichiba
porto velho,ポルト・ヴェーリョ,poruto・vuェーryo
real,レアル,rearu
natal,ナタール,natāru
fernando de noronha,フェルナンド・デ・ノローニャ,ferunando・de・norōnya
sarcófago,サルコファーゴ,sarukofāgo
carapicuíba,カラピクイバ,karapikuiba
brasília,ブラジリア,burajiria
tv globo,ヘジ・グローボ,heji・gurōbo
tocantins,トカンティンスシュウ,tokantinsushuu
recife,レシフェ,reshife
bonde do rolê,ボンヂ・ド・ホレ,bondji・do・hore
sergipe,セルジペシュウ,serujipeshuu
amazônia,アマゾンネッタイウリン,amazonnettaiurin
florianópolis,フロリアノーポリス,furorianōporisu
grêmio barueri,グレミオ・バルエリ,guremio・barueri
niterói,ニテロイ,niteroi
palmas,パルマス,parumasu
gloster meteor,グロスター・ミーティア,gurosutā・mītia
boa vista,ボア・ヴィスタ,boa・visuta
macapá,マカパ,makapa
sabesp,サンパウロシュウキソエイセイコウシャ,sanpauroshuukisoeiseikousha
pampa,パンパ,panpa
guarulhos,グアルーリョス,guarūryosu
petrobras,ペトロブラス,petoroburasu
chaco,グランチャコ,guranchako
maringá,マリンガ,maringa
shaman,シャーマン,shāman
blumenau,ブルメナウ,burumenau
estádio olímpico nilton santos,エスタジオ・オリンピコ・ジョアン・アベランジェ,esutajio・orinpiko・joan・aberanje
petrópolis,ペトロポリス,petoroporisu
paraná,パラナシュウ,paranashuu
joinville,ジョインヴィレ,joinvire
anápolis,アナポリス,anaporisu
pantanal,パンタナル,pantanaru
ribeirão preto,リベイラン・プレト,ribeiran・pureto
sorocaba,ソロカーバ,sorokāba
nova iguaçu,ノヴァ・イグアス,nova・iguasu
ouro preto,オウロ・プレット,ouro・puretto
clube náutico capibaribe,クルーベ・ナウチコ・カピバリベ,kurūbe・nauchiko・kapibaribe
ciclone catarina,ハリケーン・カタリーナ,harikēn・katarīna
são josé dos campos,サン・ジョゼ・ドス・カンポス,san・joze・dosu・kanposu
liberdade,リベルダーデ,riberudāde
são josé do rio preto,サン・ジョゼー・ド・リオ・プレト,san・jozē・do・rio・pureto
londrina,ロンドリーナ,rondorīna
taubaté,タウバテ,taubate
juiz de fora,ジュイス・デ・フォーラ,juisu・de・fōra
duque de caxias,ドゥケ・デ・カシアス,duke・de・kashiasu
são luís,サン・ルイス,san・ruisu
aracaju,アラカジュ,arakaju
itumbiara,イツンビアラ,itsunbiara
capoeira,カポエイラ,kapoeira
teresina,テレジーナ,terejīna
cachoeira do sul,カショエイラ・ド・スル,kashoeira・do・suru
mogi das cruzes,モジ・ダス・クルーゼス,moji・dasu・kurūzesu
uberlândia,ウベルランジア,uberuranjia
canoas,カノアス,kanoasu
feira de santana,フェイラ・デ・サンタナ,feira・de・santana
cone sul,コーノ・スール,kōno・sūru
sepultura,セパルトゥラ,separutura
bauru,バウル,bauru
vitória,ヴィトーリア,vitōria
chimarrão,マテチャ,matecha
associação portuguesa de desportos,アソシアソン・ポルトゥゲーザ・ジ・デスポルトス,asoshiason・porutugēza・ji・desuporutosu
copacabana,コパカバーナ,kopakabāna
foz do iguaçu,フォス・ド・イグアス,fosu・do・iguasu
olinda,オリンダ,orinda
coronel fabriciano,コロネル・ファブリシアーノ,koroneru・faburishiāno
maceió,マセイオ,maseio
campo grande,カンポ・グランデ,kanpo・gurande
edifício copan,コパン・ビルディング,kopan・birudingu
santos,サントス,santosu
águas de são pedro,アグアス・デ・サン・ペドロ,aguasu・de・san・pedoro
corumbá,コルンバ,korunba
contagem,コンタジェン,kontajen
guarujá,グアルジャ,guaruja
jaboatão dos guararapes,ジャボアタン・ドス・グアララペス,jaboatan・dosu・guararapesu
catalão,カタラン,kataran
cuiabá,クイアバ,kuiaba
diamantina,ディアマンティーナ,diamantīna
guarapari,グァラパリ,guァrapari
autódromo de jacarepaguá,ネルソン・ピケ・サーキット,neruson・pike・sākitto
escolápios,エスコラピオスシュウドウカイ,esukorapiosushuudoukai
arena pantanal,アレーナ・パンタナール,arēna・pantanāru
braskem,ブラスケム,burasukemu
goiânia,ゴイアニア,goiania
congonhas,コンゴーニャス,kongōnyasu
jundiaí,ジュンジアイ,junjiai
sambódromo da marquês de sapucaí,サンボードロモ・ダ・マルケス・ジ・サプカイ,sanbōdoromo・da・marukesu・ji・sapukai
lauro de freitas,ラウロ・ジ・フレイタス,rauro・ji・fureitasu
oiapoque,オイアポケ,oiapoke
estádio governador magalhães pinto,エスタジオ・ゴベルナドール・マガリャンイス・ピント,esutajio・goberunadōru・magaryanisu・pinto
copersucar,コパスカー,kopasukā
sant'ana do livramento,サンタナ・ド・リヴラメント,santana・do・rivuramento
serra,セラ,sera
cruzado,クルザード,kuruzādo
colombo,コロンボ,koronbo
camaçari,カマサリ,kamasari
salvador,サルヴァドール,saruvadōru
arara,アララ,arara
vogue,ヴォーグ,vuォーgu
paraty,パラチー,parachī
rock in rio,ロック・イン・リオ,rokku・in・rio
metrô de salvador,メトロ・デ・サルヴァドール,metoro・de・saruvadōru
velocette,ベロセット,berosetto
paraíba,パライバシュウ,paraibashuu
ipatinga,イパチンガ,ipachinga
taurus armas,トーラス・アームズ,tōrasu・āmuzu
novo hamburgo,ノヴォ・アンブルゴ,novuォ・anburugo
centro sportivo alagoano,セントロ・スポルチーヴォ・アラゴアーノ,sentoro・suporuchīvuォ・aragoāno
desportivo brasil,デスポルチーヴォ・ブラジル,desuporuchīvuォ・burajiru
jovens com uma missão,ユース・ウィズ・ア・ミッション,yūsu・wizu・a・misshon
pará,パラーシュウ,parāshuu
piracicaba,ピラシカーバ,pirashikāba
brusque,ブルスキ,burusuki
arena do grêmio,アレーナ・ド・グレミオ,arēna・do・guremio
santarém,サンタレン,santaren
chuí,シュイ,shui
cotia,コチア,kochia
ceará,セアラーシュウ,searāshuu
amazonas,アマゾナスシュウ,amazonasushuu
amapá,アマパーシュウ,amapāshuu
vila velha,ヴィラ・ヴェーリャ,vira・vuェーrya
lusofonia,ルゾフォニア,ruzofonia
porto alegre,ポルト・アレグレ,poruto・aregure
bahia,バイーアシュウ,baīashuu
krisiun,クリジウン,kurijiun
manaus,マナウス,manausu
paulínia,パウリニア,paurinia
jutaí,ジュタイー,jutaī
ilhéus,イリェウス,iriェusu
acre,アクレシュウ,akureshuu
são leopoldo,サン・レオポルド,san・reoporudo
valetudo,バーリトゥード,bāritūdo
alagoas,アラゴアスシュウ,aragoasushuu
pernambuco,ペルナンブーコシュウ,perunanbūkoshuu
itapetininga,イタペティニンガ,itapetininga
votorantim,ヴォトランチン,vuォtoranchin
praia clube,プライア・クルーベ,puraia・kurūbe
eletrobras,ブラジルデンリョク,burajirudenryoku
estádio major antônio couto pereira,エスタジオ・マジョール・アントニオ・コウト・ペレイラ,esutajio・majōru・antonio・kouto・pereira
goiás,ゴイアスシュウ,goiasushuu
billboard brasil,ビゥボアルヂ・ブラジル,biゥboarudji・burajiru
arena das dunas,アレーナ・ダス・ドゥーナス,arēna・dasu・dūnasu
roraima,ロライマシュウ,roraimashuu
maranhão,マラニョンシュウ,maranyonshuu
piauí,ピアウイシュウ,piauishuu
mossoró,モソロー,mosorō
neo química arena,アレーナ・デ・サンパウロ,arēna・de・sanpauro
ponte rioniterói,リオ・ニテロイキョウ,rio・niteroikyou
agrale,アグラレ,agurare
rondônia,ロンドニアシュウ,rondoniashuu
itu,イトゥー,itū
estádio governador plácido castelo,エスタジオ・ゴヴェルナドール・プラーシド・カステロ,esutajio・govuェrunadōru・purāshido・kasutero
lins,リンス,rinsu
progressistas,シンポトウ,shinpotou
estádio municipal parque do sabiá,エスタジオ・ムニシパウ・パルケ・ド・サビア,esutajio・munishipau・paruke・do・sabia
estádio palestra italia,エスタジオ・パレストラ・イタリア,esutajio・paresutora・itaria
timóteo,ティモテオ,timoteo
brumadinho,ブルマジーニョ,burumajīnyo
iracemápolis,イラセマポリス,irasemaporisu
cabo frio,カブ・フリウ,kabu・furiu
liga nacional de futsal,リーガ・ナシオナル・ヂ・フットサル,rīga・nashionaru・dji・futtosaru
suzano,スザノ,suzano
marília,マリーリア,marīria
belford roxo,ベルフォード・ロッショ,berufōdo・rossho
betim,ベチン,bechin
aparecida de goiânia,アパレシダ・デ・ゴイアニア,apareshida・de・goiania
itabuna,イタブーナ,itabūna
governador valadares,ゴベルナドール・バラダレス,goberunadōru・baradaresu
barueri,バルエリ,barueri
ipanema,イパネマ,ipanema
tefé,テフェー,tefē
maculelê,マクレレ,makurere
elsevier,エルゼビア,eruzebia
fibria,フィブリア,fiburia
itaú unibanco,イタウ・ウニバンコ,itau・unibanko
vivo,ヴィーヴォ,vīvuォ
criciúma,クリシューマ,kurishūma
cachoeiro de itapemirim,カショエイロ・ジ・イタペミリン,kashoeiro・ji・itapemirin
ananindeua,アナニンデウア,ananindeua
senninha,セニーニャ,senīnya
klabin,クラビン,kurabin
porto seguro,ポルト・セグーロ,poruto・segūro
paranaguá,パラナグア,paranagua
aeromóvel,ダイキアツテツドウ,daikiatsutetsudou
catanduva,カタンドゥーヴァ,katandūva
franca,フランカ,furanka
gerdau,ジェルダウ,jerudau
troller,トロラー,tororā
farmasi arena,ジュネス・アリーナ,junesu・arīna
corcovado,コルコバード,korukobādo
são lourenço,サン・ロウレンソ,san・rourenso
gradiente,グラディエンテ,guradiente
bonito,ボニート,bonīto
usiminas,ウジミナス,ujiminasu
clube atlético do porto,クルーベ・アトレチコ・ド・ポルト,kurūbe・atorechiko・do・poruto
timbó,チンボー,chinbō
guaraná,ガラナインリョウ,garanainryou
gurgel,グルジェル,gurujeru
itaúsa,イタウサ,itausa
carlos barbosa,カルロス・バルボーザ,karurosu・barubōza
atibaia,アチバイア,achibaia
bandeirantes,バンデイランテス,bandeirantesu
avianca brasil,アビアンカ・ブラジルコウクウ,abianka・burajirukoukuu
passa quatro,パッサ・クアトロ,passa・kuatoro
itabira,イタビラ,itabira
barbacena,バルバセーナ,barubasēna
flamengo,フラメンゴ,furamengo
caucaia,カウカイア,kaukaia
formosa,フォルモザ,forumoza
mirandópolis,ミランドポリス,mirandoporisu
palmeira d'oeste,パルメイラ・ドエスチ,parumeira・doesuchi
cubatão,クバタン,kubatan
bola de ouro,ボーラ・ジ・オーロ,bōra・ji・ōro
carlos gomes,カルロス・ゴメス,karurosu・gomesu
petrolina,ペトロリーナ,petororīna
cariacica,カリアシカ,kariashika
são cristóvão,サン・クリストヴァン,san・kurisutovan
paraná clube,パラナ・クルーベ,parana・kurūbe
jandira,ジャンヂーラ,jandjīra
serra do mar,セーハ・ド・マール,sēha・do・māru
clube de regatas brasil,クルーベ・ジ・レガタス・ブラジル,kurūbe・ji・regatasu・burajiru
campos do jordão,カンポス・ド・ジョルドン,kanposu・do・jorudon
jaú,ジャウー,jaū
hibria,ヒブリア,hiburia
cangaço,カンガセイロ,kangaseiro
finta,フィンタ,finta
campinense clube,カンピネンセ・クルーベ,kanpinense・kurūbe
fundão,フンダン,fundan
pampulha,パンプーリャ,panpūrya
araxá,アラシャ,arasha
cinema novo,シネマ・ノーヴォ,shinema・nōvuォ
grupo ccr,コンセッソンエス・ロドビアリア,konsessonesu・rodobiaria
tapioca,タピオカ,tapioka
comgás,サンパウロガス,sanpaurogasu
balneário camboriú,バウネアーリオ・コンボリウー,bauneārio・konboriū
cacique,カシケ,kashike
prêmio craque do brasileirão,プレミオ・クラッキ・ド・ブラジレイロン,puremio・kurakki・do・burajireiron
mogi mirim,モジ・ミリン,moji・mirin
