глюкоза,グリュコーザ,guryukōza
светлана аллилуева,スヴェトラーナ・アリルーエワ,suvuェtorāna・arirūewa
михаил восленский,ミハイル・ヴォスレンスキー,mihairu・vuォsurensukī
евгений алдонин,エフゲニ・アルドニン,efugeni・arudonin
александр ефимкин,アレクサンドル・エフィムキン,arekusandoru・efimukin
михаил евстафьев,ミハイル・エフスタフィフ,mihairu・efusutafifu
мария гессен,マーシャ・ゲッセン,māsha・gessen
денис галимзянов,デニス・ガリムジャノフ,denisu・garimujanofu
арсений бондарев,アルセニー・ボンダレフ,arusenī・bondarefu
георгий байдуков,ゲオルギー・バイドゥコーフ,georugī・baidukōfu
руслан нигматуллин,ルスラン・ニグマトゥーリン,rusuran・nigumatūrin
георгий вицин,ゲオルギー・ヴィツィン,georugī・vitsin
сергей карякин,セルゲイ・カヤキン,serugei・kayakin
егор строев,エゴール・ストローエフ,egōru・sutorōefu
юрий оганесян,ユーリイ・オガネシアン,yūrii・oganeshian
василий алексеев,ヴァシーリー・アレクセーイェフ,vashīrī・arekusēyefu
константин хабенский,コンスタンチン・ハベンスキー,konsutanchin・habensukī
алексей балабанов,アレクセイ・バラバノフ,arekusei・barabanofu
алиса клейбанова,アリサ・クレイバノワ,arisa・kureibanowa
александр викторенко,アレクサンドル・ヴィクトレンコ,arekusandoru・vikutorenko
кристиан рамирес,クリスティアン・ラミレス,kurisutian・ramiresu
иван ургант,イヴァン・ウルガント,ivan・uruganto
бруно фрейндлих,ブルーノ・フレインドリフ,burūno・fureindorifu
татьяна жук,タチヤナ・ジュク,tachiyana・juku
лев копелев,レフ・コペレフ,refu・koperefu
максим афиногенов,マキシム・アフィノゲノフ,makishimu・afinogenofu
эдуард артемьев,エドゥアルド・アルテミエフ,eduarudo・arutemiefu
егор лигачёв,エゴール・リガチョフ,egōru・rigachofu
дмитрий васильев,ディミトリ・ヴァシリエフ,dimitori・vashiriefu
юлия волкова,ユーリャ・ヴォルコワ,yūrya・vuォrukowa
ярослава шведова,ヤロスラワ・シュウェドワ,yarosurawa・shuwedowa
алла баянова,アッラー・バヤノワ,arrā・bayanowa
павел брутт,パヴェル・ブルット,pavuェru・burutto
елена катина,リェーナ・カーチナ,riェーna・kāchina
игорь северянин,イーゴリ・セヴェリャーニン,īgori・sevuェryānin
анна чакветадзе,アンナ・チャクベタゼ,anna・chakubetaze
галина вишневская,ガリーナ・ヴィシネフスカヤ,garīna・vishinefusukaya
ольга кузенкова,オリガ・クゼンコワ,origa・kuzenkowa
александр волков,アレクサンドル・ヴォルコフ,arekusandoru・vuォrukofu
егор титов,イェーゴリ・チトフ,yēgori・chitofu
алексей марков,アレクセイ・マルコフ,arekusei・marukofu
юрий матиясевич,ユーリ・マチャセビッチ,yūri・machasebitchi
николай антонович доллежаль,ニコライ・アントノヴィッチ・ドレジャリ,nikorai・antonovitchi・dorejari
виктор кресс,ヴィクトル・クレス,vikutoru・kuresu
александр полещук,アレクサンドル・ポレシチューク,arekusandoru・poreshichūku
дмитрий лихачёв,ドミトリー・リハチョフ,domitorī・rihachofu
дмитрий конышев,ディミトリ・コニシェフ,dimitori・konishefu
владимир устинов,ウラジーミル・ウスチノフ,urajīmiru・usuchinofu
борис бугаев,ボリス・ブガーエフ,borisu・bugāefu
анна цукановакотт,アン・ツカノワ,an・tsukanowa
марат хуснуллин,マラト・フスヌリン,marato・fusunurin
юрий нагибин,ユーリー・ナギビン,yūrī・nagibin
сергей владимир,セルゲイ・ウラジミール,serugei・urajimīru
татьяна казанкина,タチアナ・カザンキナ,tachiana・kazankina
юрий афанасьев,ユーリ・アファナーシェフ,yūri・afanāshefu
валерий корзун,ワレリー・コルズン,warerī・koruzun
валентин варенников,ヴァレンティン・ヴァレンニコフ,varentin・varennikofu
светлана феофанова,スベトラーナ・フェオファノワ,subetorāna・feofanowa
ирина слуцкая,イリーナ・スルツカヤ,irīna・surutsukaya
павел тонков,パヴェル・トンコフ,pavuェru・tonkofu
марина черкасова,マリナ・チェルカソワ,marina・cherukasowa
магомедсалам магомедов,マゴメドサラム・マゴメードフ,magomedosaramu・magomēdofu
муху алиев,ムフ・アリエフ,mufu・ariefu
игорь шалимов,イーゴリ・シャリモフ,īgori・sharimofu
муслим магомаев,ムスリム・マゴマーイェフ,musurimu・magomāyefu
глеб павловский,グレプ・パヴロフスキー,gurepu・pavurofusukī
николай дмитриевич кузнецов,ニコライ・ドミトリービッチ・クズネツォフ,nikorai・domitorībitchi・kuzunetsofu
татьяна лебедева,タチアナ・レベデワ,tachiana・rebedewa
раиса горбачёва,ライサ・ゴルバチョワ,raisa・gorubachowa
мавлет батиров,マブレット・バチロフ,maburetto・bachirofu
георгий боос,ゲオルギー・ボース,georugī・bōsu
юрий онуфриенко,ユーリー・オヌフリエンコ,yūrī・onufurienko
максим шабалин,マキシム・シャバリン,makishimu・shabarin
наталия орейро,ナタリア・オレイロ,nataria・oreiro
денис бирюков,デニス・ビリュコフ,denisu・biryukofu
владимир гусев,ウラディミール・グセフ,uradimīru・gusefu
лев наумов,レフ・ナウモフ,refu・naumofu
галина чистякова,ガリナ・チスチャコワ,garina・chisuchakowa
светлана медведева,スヴェトラーナ・メドヴェージェワ,suvuェtorāna・medovuェーjewa
ксения сухинова,クセーニャ・スヒノワ,kusēnya・suhinowa
анна чапман,アンナ・チャップマン,anna・chappuman
фёдор черенков,フョードル・チェレンコフ,fuョーdoru・cherenkofu
сергей удальцов,セルゲイ・ウダルツォフ,serugei・udarutsofu
дарья клишина,ダリヤ・クリシナ,dariya・kurishina
елена лиховцева,エレーナ・リホフツェワ,erēna・rihofutsewa
артём дзюба,アルテム・ジューバ,arutemu・jūba
наталья водянова,ナタリア・ヴォディアノヴァ,nataria・vuォdianova
наталья соколова,ナタリア・ソコロワ,nataria・sokorowa
елена боннэр,エレーナ・ボンネル,erēna・bonneru
георгий балакшин,ゲオルギー・バラクシン,georugī・barakushin
максим галкин,マクシム・ガルキン,makushimu・garukin
николай патрушев,ニコライ・パトルシェフ,nikorai・patorushefu
игорь ансов,イゴール・アンゾフ,igōru・anzofu
никита симонян,ニキータ・シモニャン,nikīta・shimonyan
талгат мусабаев,タルガット・ムサバイエフ,tarugatto・musabaiefu
ирина роднина,イリーナ・ロドニナ,irīna・rodonina
светлана хоркина,スベトラーナ・ホルキナ,subetorāna・horukina
юлий воронцов,ユーリ・ウォロンツォフ,yūri・worontsofu
виктория волчкова,ビクトリア・ボルチコワ,bikutoria・boruchikowa
владимир спиваков,ウラディーミル・スピヴァコフ,uradīmiru・supivakofu
сулейман керимов,スレイマン・ケリモフ,sureiman・kerimofu
майкл лукас,マイケル・ルーカス,maikeru・rūkasu
эдуард россель,エドゥアルト・ロッセリ,eduaruto・rosseri
светлана мастеркова,スベトラーナ・マステルコワ,subetorāna・masuterukowa
вячеслав штыров,ヴャチェスラフ・シュティロフ,vuャchesurafu・shutirofu
алексей айги,アレクセイ・アイギ,arekusei・aigi
олеся рулин,オレーシャ・ルーリン,orēsha・rūrin
михаил прохоров,ミハイル・プロホロフ,mihairu・purohorofu
влада рослякова,ヴラダ・ロスリャコヴァ,vurada・rosuryakova
ксения первак,クセーニャ・ペルバク,kusēnya・perubaku
мария абакумова,マリア・アバクモワ,maria・abakumowa
инна чурикова,インナ・チュリコワ,inna・churikowa
игорь дьяконов,イーゴリ・ディアコノフ,īgori・diakonofu
ролан гусев,ロラン・グセフ,roran・gusefu
симеон полоцкий,シメオン・ポロツキー,shimeon・porotsukī
юлий харитон,ユーリ・ハリトン,yūri・hariton
анатолий соловьёв,アナトリー・ソロフィエフ,anatorī・sorofiefu
юлия обертас,ユリア・オベルタス,yuria・oberutasu
юрий гидзенко,ユーリー・ギジェンコ,yūrī・gijenko
борис волынов,ボリス・ヴォリノフ,borisu・vuォrinofu
людмила очеретная,リュドミラ・プーチナ,ryudomira・pūchina
елена бовина,エレーナ・ボビナ,erēna・bobina
олег меньшиков,オレグ・メンシコフ,oregu・menshikofu
сергей рыжиков,セルゲイ・リジコフ,serugei・rijikofu
нелли ким,ネリー・キム,nerī・kimu
галина воскобоева,ガリナ・ボスコボワ,garina・bosukobowa
сулим ямадаев,スリム・ヤマダエフ,surimu・yamadaefu
иван силаев,イワン・シラーエフ,iwan・shirāefu
алексей воевода,アレクセイ・ヴォエヴォダ,arekusei・vuォevuォda
людмила черных,リュドミーラ・チェルヌイフ,ryudomīra・cherunuifu
ольга бондаренко,オルガ・ボンダレンコ,oruga・bondarenko
евгений леонов,エフゲニー・レオーノフ,efugenī・reōnofu
альберт демченко,アリベルト・デムチェンコ,ariberuto・demuchenko
владимир тарасенко,ウラジーミル・タラセンコ,urajīmiru・tarasenko
андрей каряка,アンドレイ・カリヤカ,andorei・kariyaka
олег тактаров,オレッグ・タクタロフ,oreggu・takutarofu
артур акоев,アルトゥール・アコエフ,arutūru・akoefu
александр шустов,アレクサンドル・シュストフ,arekusandoru・shusutofu
тамара смирнова,タマラ・スミルノワ,tamara・sumirunowa
антон силуанов,アントン・シルアノフ,anton・shiruanofu
ирина шейк,イリーナ・シェイク,irīna・sheiku
максим маринин,マキシム・マリニン,makishimu・marinin
дмитрий волкогонов,ドミトリー・ヴォルコゴーノフ,domitorī・vuォrukogōnofu
григорий лепс,グリゴリー・レプス,gurigorī・repusu
эдуард ворганов,エドゥアルド・ヴォルガノフ,eduarudo・vuォruganofu
роман качанов,ロマン・カチャーノフ,roman・kachānofu
елена валова,エレーナ・ワロワ,erēna・warowa
николай крючков,ニコライ・クリューチコフ,nikorai・kuryūchikofu
николай морозов,ニコライ・モロゾフ,nikorai・morozofu
сергей овчинников,セルゲイ・オフチニコフ,serugei・ofuchinikofu
сагид муртазалиев,サギド・ムルタザリエフ,sagido・murutazariefu
ольга букреева,オルガ・ブクレーエワ,oruga・bukurēewa
александр зиновьев,アレクサンドル・ジノビエフ,arekusandoru・jinobiefu
ольга зайцева,オリガ・ザイツェワ,origa・zaitsewa
дмитрий барсук,ドミトリ・バルソウク,domitori・barusouku
марина семёнова,マリーナ・セミョーノワ,marīna・semyōnowa
оксана акиньшина,オクサナ・アキンシナ,okusana・akinshina
павел деревянко,パーヴェル・デレヴャンコ,pāvuェru・derevuャnko
анна винницкая,アンナ・ヴィニツカヤ,anna・vinitsukaya
наталья эстемирова,ナタリア・エステミロワ,nataria・esutemirowa
татьяна тотьмянина,タチアナ・トトミアニナ,tachiana・totomianina
елена вяльбе,エレーナ・ヴェルベ,erēna・vuェrube
вагит алекперов,ヴァギト・アレクペロフ,vagito・arekuperofu
наталья воробьёва,ナタリア・ボロベワ,nataria・borobewa
татьяна юмашева,タチアナ・ディアチェンコ,tachiana・diachenko
ирина антоненко,イリーナ・アントネンコ,irīna・antonenko
лариса лазутина,ラリサ・ラズチナ,rarisa・razuchina
диана гурцкая,ジアーナ・グルツカーヤ,jiāna・gurutsukāya
чулпан хаматова,チュルパン・ハマートヴァ,churupan・hamātova
булат окуджава,ブラート・オクジャワ,burāto・okujawa
дмитрий врубель,ドミトリー・ヴルーベリ,domitorī・vurūberi
андрей вознесенский,アンドレイ・ヴォズネセンスキー,andorei・vuォzunesensukī
дмитрий полянский,ドミトリー・ポリャンスキー,domitorī・poryansukī
юлия чермошанская,ユリア・チェルモシャンスカヤ,yuria・cherumoshansukaya
павел грачёв,パーヴェル・グラチョフ,pāvuェru・gurachofu
людмила энквист,リュドミラ・エンクイスト,ryudomira・enkuisuto
ксения красильникова,クセニア・クラシルニコワ,kusenia・kurashirunikowa
екатерина боброва,エカテリーナ・ボブロワ,ekaterīna・boburowa
катарина гербольдт,カタリナ・ゲルボルト,katarina・geruboruto
николай решетихин,ニコライ・レシェーツキン,nikorai・reshētsukin
оксана домнина,オクサナ・ドムニナ,okusana・domunina
татьяна котова,タチアナ・コトワ,tachiana・kotowa
александр зубков,アレクサンドル・ズブコフ,arekusandoru・zubukofu
татьяна антошина,タティアナ・アントシナ,tatiana・antoshina
владимир войнович,ウラジーミル・ヴォイノヴィッチ,urajīmiru・vuォinovitchi
фёдор богомолов,フョードル・ボゴモロフ,fuョーdoru・bogomorofu
дмитрий козончук,ドミトリー・コゾンチュク,domitorī・kozonchuku
дмитрий ильиных,ドミトリー・イリニフ,domitorī・irinifu
дмитрий нелюбин,ドミトリー・ネリュビン,domitorī・neryubin
ласковый май,ラスコヴィイ・マイ,rasukovii・mai
юлия чепалова,ユリヤ・チェパロワ,yuriya・cheparowa
рамазан шахин,ラマザン・シャヒン,ramazan・shahin
сергей ковальчук,セルゲイ・コヴァルチュク,serugei・kovaruchuku
александр волчков,アレクサンドル・ヴォルチコフ,arekusandoru・vuォruchikofu
константин безматерных,コンスタンチン・ベズマテルニフ,konsutanchin・bezumaterunifu
игорь бобрин,イゴール・ボブリン,igōru・boburin
дмитрий коморников,ドミトリー・コモルニコフ,domitorī・komorunikofu
арсен каноков,アルセン・カノコフ,arusen・kanokofu
антон сихарулидзе,アントン・シハルリドゼ,anton・shiharuridoze
анфиса резцова,アンフィサ・レスツォワ,anfisa・resutsowa
владимир топоров,ウラジミール・トポロフ,urajimīru・toporofu
дмитрий кондратьев,ドミトリー・コンドラチェフ,domitorī・kondorachefu
андрей лазарчук,アンドレイ・ラザルチューク,andorei・razaruchūku
василий циблиев,ワシリー・ツィブリエフ,washirī・tsiburiefu
микаэл таривердиев,ミカエル・タリヴェルディエフ,mikaeru・tarivuェrudiefu
юлиан семёнов,ユリアン・セミョーノフ,yurian・semyōnofu
ирина антонова,イリーナ・アントノワ,irīna・antonowa
любовь егорова,リュボーフィ・エゴロワ,ryubōfi・egorowa
людмила кондратьева,リュドミラ・コンドラチェワ,ryudomira・kondorachewa
марина анисина,マリナ・アニシナ,marina・anishina
сергей авдеев,セルゲイ・アヴデエフ,serugei・avudeefu
валентина гризодубова,ヴァレンティナ・グリゾドゥボワ,varentina・gurizodubowa
екатерина волкова,エカテリーナ・ヴォルコワ,ekaterīna・vuォrukowa
инга абитова,インガ・アビトワ,inga・abitowa
нина пономарёва,ニーナ・ロマシェコワ,nīna・romashekowa
руслан пименов,ルスラン・ピメノフ,rusuran・pimenofu
владимир квачков,ウラジーミル・クバチコフ,urajīmiru・kubachikofu
фёдор хитрук,フョードル・ヒートルーク,fuョーdoru・hītorūku
михаил фридман,ミハイル・フリードマン,mihairu・furīdoman
евгений адамов,イェフゲニー・アダモフ,yefugenī・adamofu
анна сидорова,アンナ・シードロヴァ,anna・shīdorova
амбако вачадзе,アンバコ・バチャーゼ,anbako・bachāze
аркадий вайнер,アルカージイ・ワイネル,arukājii・waineru
владимир меньшов,ウラジーミル・メニショフ,urajīmiru・menishofu
мария ласицкене,マリヤ・クチナ,mariya・kuchina
николай боголюбов,ニコライ・ボゴリュボフ,nikorai・bogoryubofu
зарема садулаева,ザレマ・サドゥラエワ,zarema・saduraewa
давид айрапетян,ダビド・アイラペチャン,dabido・airapechan
сергей трещёв,セルゲイ・トレシェフ,serugei・toreshefu
изабель душ сантуш,イザベル・ドス・サントス,izaberu・dosu・santosu
альфред кох,アリフレド・コフ,arifuredo・kofu
нонна мордюкова,ノンナ・モルジュコーワ,nonna・morujukōwa
дмитрий радченко,ドミトリー・ラドチェンコ,domitorī・radochenko
юрий чайка,ユーリ・チャイカ,yūri・chaika
александр жулин,アレクサンドル・ズーリン,arekusandoru・zūrin
энтони дженкинсон,アンソニー・ジェンキンソン,ansonī・jenkinson
владимир астаповский,ウラジーミル・アスタポフスキー,urajīmiru・asutapofusukī
наталья полевщикова,ナターシャ・ポーリー,natāsha・pōrī
рой медведев,ロイ・メドヴェージェフ,roi・medovuェーjefu
вячеслав веденин,ヴャチェスラフ・ボデーニン,vuャchesurafu・bodēnin
андрей голубев,アンドレイ・ゴルベウ,andorei・gorubeu
виктор смольский,ヴィクター・スモールスキ,vikutā・sumōrusuki
александр леонидович зайцев,アレクサンドル・レオニドヴィッチ・ザイツェフ,arekusandoru・reonidovitchi・zaitsefu
евгений соколов,イェフゲニー・ソコロフ,yefugenī・sokorofu
зоя руднова,ソージャ・ルドノワ,sōja・rudonowa
игорь чугайнов,イーゴリ・チュガイノフ,īgori・chugainofu
ерохин юрьевич,アレクサンドル・エロヒン,arekusandoru・erohin
юрий шаргин,ユーリ・シャーギン,yūri・shāgin
салижан шарипов,サリザン・シャリポフ,sarizan・sharipofu
михаил пуговкин,ミハイル・プーゴフキン,mihairu・pūgofukin
жанна фриске,ジャンナ・フリスケ,janna・furisuke
ольга пучкова,オルガ・プチコワ,oruga・puchikowa
бекки хэммон,ベッキー・ハモン,bekkī・hamon
татьяна навка,タチアナ・ナフカ,tachiana・nafuka
леонид слуцкий,レオニード・スルツキー,reonīdo・surutsukī
ольга олейник,オルガ・オレイニク,oruga・oreiniku
елена ильиных,エレーナ・イリイヌィフ,erēna・iriinuィfu
аслан тхакушинов,アスランチェリイ・トハクシノフ,asurancherii・tohakushinofu
владимир ильюшин,ウラジーミル・イリューシン,urajīmiru・iryūshin
денис черышев,デニス・チェリシェフ,denisu・cherishefu
станислав любшин,スタニスラフ・リュブシン,sutanisurafu・ryubushin
станислав ростоцкий,スタニスラフ・ロストツキー,sutanisurafu・rosutotsukī
владимир дядюн,ウラジミール・ディアドゥン,urajimīru・diadun
дмитрий черышев,ドミトリー・チェリシェフ,domitorī・cherishefu
виктор тихонов,ビクトル・チーホノフ,bikutoru・chīhonofu
екатерина рязанова,エカテリーナ・リャザーノワ,ekaterīna・ryazānowa
абдулхалим садулаев,アブドル・ハリム,abudoru・harimu
юрий никифоров,ユーリ・ニキフォロフ,yūri・nikiforofu
сергей ларин,セルゲイ・ラリン,serugei・rarin
игорь масленников,イゴール・マスレニコフ,igōru・masurenikofu
михаил кукушкин,ミハイル・ククシュキン,mihairu・kukushukin
александр лазуткин,アレクサンドル・ラズトキン,arekusandoru・razutokin
александр кайдановский,アレクサンドル・カイダノフスキー,arekusandoru・kaidanofusukī
александр алексеев,アレクサンデル・アレクセーエフ,arekusanderu・arekusēefu
владимир венгеров,ヴラジーミル・ヴェンゲロフ,vurajīmiru・vuェngerofu
хабиб аллахвердиев,カビブ・アーラフベルディエフ,kabibu・ārafuberudiefu
диана вишнёва,ディアナ・ヴィシニョーワ,diana・vishinyōwa
альбина ахатова,アルビナ・アハトワ,arubina・ahatowa
белла ахмадулина,ベーラ・アフマドゥーリナ,bēra・afumadūrina
александр лебзяк,アレクサンドル・レブジアク,arekusandoru・rebujiaku
апти аухадов,アプティ・アウハドフ,aputi・auhadofu
владимир болдырев,ウラジーミル・ボルドゥイレフ,urajīmiru・boruduirefu
владимир кондрашин,ウラジーミル・コンドラシン,urajīmiru・kondorashin
роман березовский,ロマン・ベレゾフスキー,roman・berezofusukī
тамара сёмина,タマラ・ショミナ,tamara・shomina
виктор пелевин,ヴィクトル・ペレーヴィン,vikutoru・perēvin
элла памфилова,エラ・パンフィーロワ,era・panfīrowa
игорь ледяхов,イゴール・レディアコフ,igōru・rediakofu
евгений донской,エフゲニー・ドンスコイ,efugenī・donsukoi
леонид рейман,レオニード・レイマン,reonīdo・reiman
светлана ромашина,スベトラーナ・ロマシナ,subetorāna・romashina
николай фёдоров,ニコライ・フョードロフ,nikorai・fuョーdorofu
гавриил попов,ガブリール・ポポフ,gaburīru・popofu
сергей магнитский,セルゲイ・マグニツキー,serugei・magunitsukī
пётр красилов,ピョートル・クリシロフ,pyōtoru・kurishirofu
юлия степанова,ユリア・ステパノワ,yuria・sutepanowa
пётр болотников,ピョートル・ボロトニコフ,pyōtoru・borotonikofu
дмитрий рогозин,ドミトリー・ロゴージン,domitorī・rogōjin
генрих альтшуллер,ゲンリッヒ・アルツシューラー,genrihhi・arutsushūrā
сергей леонидович богдан,セルゲイ・レオニドビッチ・ボクダン,serugei・reonidobitchi・bokudan
игорь сергеев,イーゴリ・セルゲーエフ,īgori・serugēefu
иосиф хейфиц,ヨシフ・ケイフィッツ,yoshifu・keifittsu
виталий севастьянов,ヴィタリー・セバスチャノフ,vitarī・sebasuchanofu
валентина лисица,ヴァレンティーナ・リシッツァ,varentīna・rishittsa
екатерина гамова,エカテリーナ・ガモワ,ekaterīna・gamowa
евгения канаева,エフゲニア・カナエワ,efugenia・kanaewa
евгений бареев,エフゲニー・バレエフ,efugenī・bareefu
наталья кустинская,ナタリア・カスティンスカヤ,nataria・kasutinsukaya
павел колобков,パーヴェル・コロブコフ,pāvuェru・korobukofu
нина гребешкова,ニーナ・グレベシュコワ,nīna・gurebeshukowa
владимир потанин,ウラジーミル・ポターニン,urajīmiru・potānin
нина вислова,ニナ・ビスローバ,nina・bisurōba
майя плисецкая,マイヤ・プリセツカヤ,maiya・purisetsukaya
туган сохиев,トゥガン・ソヒエフ,tugan・sohiefu
александр хлопонин,アレクサンドル・フロポーニン,arekusandoru・furopōnin
валерий васильев,ワレリー・ワシリエフ,warerī・washiriefu
нина гаврылюк,ニナ・ガブリリュク,nina・gaburiryuku
елена кондакова,エレーナ・コンダコワ,erēna・kondakowa
сергей харитонов,セルゲイ・ハリトーノフ,serugei・haritōnofu
вагиз галиулин,ヴァギズ・ガリウリン,vagizu・gariurin
сергей катанандов,セルゲイ・カタナンドフ,serugei・katanandofu
дмитрий булыкин,ドミトリ・ブリキン,domitori・burikin
екатерина гордеева,イェカチェリーナ・ゴルデーワ,yekacherīna・gorudēwa
нина ананиашвили,ニーナ・アナニアシヴィリ,nīna・ananiashiviri
александра костенюк,アレクサンドラ・コステニューク,arekusandora・kosutenyūku
алексей спирин,アレクセイ・スピーリン,arekusei・supīrin
борис успенский,ボリス・ウスペンスキー,borisu・usupensukī
денис мацуев,デニス・マツーエフ,denisu・matsūefu
олег ефремов,オレグ・エフレーモフ,oregu・efurēmofu
виталия дьяченко,ビタリア・ディアチェンコ,bitaria・diachenko
юрий любимов,ユーリー・リュビーモフ,yūrī・ryubīmofu
виктор будянский,ヴィクトル・ブダャンスキー,vikutoru・budaャnsukī
виталий денисов,ヴィタリー・デニソフ,vitarī・denisofu
алина кабаева,アリーナ・カバエワ,arīna・kabaewa
мария ларк,マリア・ラーク,maria・rāku
жорж коваль,ジョルジュ・コワリ,joruju・kowari
павел мамаев,パヴェル・ママエフ,pavuェru・mamaefu
александр замолодчиков,アレクサンダー・ザモロドチコフ,arekusandā・zamorodochikofu
анита цой,アニータ・ツォイ,anīta・tsoi
татьяна заславская,タチアナ・ザスラフスカヤ,tachiana・zasurafusukaya
вячеслав полунин,スラバ・ポルニン,suraba・porunin
николай бударин,ニコライ・ブダーリン,nikorai・budārin
ольга морозова,オルガ・モロゾワ,oruga・morozowa
татьяна вешкурова,タチアナ・ベスクロワ,tachiana・besukurowa
наталья бондарчук,ナターリヤ・ボンダルチューク,natāriya・bondaruchūku
анатолий квочур,アナトリー・クボチャー,anatorī・kubochā
игорь моисеев,イーゴリ・モイセーエフ,īgori・moisēefu
александр абдулов,アレクサンドル・アブドゥロフ,arekusandoru・abudurofu
юрий патрикеев,ユーリ・パトリケフ,yūri・patorikefu
алексей мишин,アレクセイ・ミーシン,arekusei・mīshin
юлий ким,ユーリ・キム,yūri・kimu
вениамин баснер,ベニヤミン・バスネル,beniyamin・basuneru
галина польских,ガリーナ・ポルスキフ,garīna・porusukifu
сергей лейферкус,セルゲイ・レイフェルクス,serugei・reiferukusu
николай карполь,ニコライ・カルポリ,nikorai・karupori
рустем казаков,ロスタム・カザコフ,rosutamu・kazakofu
юрий трутнев,ユーリ・トルトネフ,yūri・torutonefu
виталий мутко,ヴィタリー・ムトコ,vitarī・mutoko
магомедали магомедов,マゴメダリ・マゴメードフ,magomedari・magomēdofu
александр абт,アレクサンドル・アブト,arekusandoru・abuto
станислав белковский,スタニスラフ・ベルコフスキー,sutanisurafu・berukofusukī
вячеслав наговицын,ヴャチェスラフ・ナゴヴィツィン,vuャchesurafu・nagovitsin
николай меркушкин,ニコライ・メルクシキン,nikorai・merukushikin
елена бечке,エレーナ・ベチケ,erēna・bechike
радион гатауллин,ロディオン・ガタウリン,rodion・gataurin
вера базарова,ベラ・バザロワ,bera・bazarowa
василий кузнецов,ワシリー・クズネツォフ,washirī・kuzunetsofu
екатерина вилкова,エカテリーナ・ヴィルコワ,ekaterīna・virukowa
аркадий володось,アルカーディ・ヴォロドス,arukādi・vuォrodosu
максим сураев,マクシム・スラエフ,makushimu・suraefu
николай левников,ニコライ・レヴニコフ,nikorai・revunikofu
светлана тома,スヴェトラーナ・トーマ,suvuェtorāna・tōma
татьяна голикова,タチアナ・ゴリコワ,tachiana・gorikowa
александра пахмутова,アレクサンドラ・パフムートワ,arekusandora・pafumūtowa
бахтияр ахмедов,バフティヤル・アフメドフ,bafutiyaru・afumedofu
роман шишкин,ロマン・シシュキン,roman・shishukin
мириана маркович,ミリャナ・マルコヴィッチ,miryana・marukovitchi
анна альминова,アンナ・アルミノワ,anna・aruminowa
марат акбаров,マラート・アクバロフ,marāto・akubarofu
станислав пьеха,スタース・ピエッカ,sutāsu・piekka
вячеслав воронин,ヴィアチェスラフ・ヴォロニン,viachesurafu・vuォronin
людмила рогачёва,リュドミラ・ロガチョワ,ryudomira・rogachowa
татьяна николаева,タチアナ・ニコラーエワ,tachiana・nikorāewa
виктор пугачёв,ヴィークトル・プガチョーフ,vīkutoru・pugachōfu
бьянка,ビアンカ,bianka
иван ровный,イヴァン・ロヴニー,ivan・rovunī
ардалион игнатьев,アルダリオン・イグナチェフ,arudarion・igunachefu
денис аблязин,デニス・アブリャジン,denisu・aburyajin
александра пивоварова,サーシャ・ピヴォヴァロヴァ,sāsha・pivuォvarova
людмила савельева,リュドミラ・サベーリエワ,ryudomira・sabēriewa
виктория толстоганова,ヴィクトリア・トルストガノワ,vikutoria・torusutoganowa
наталья крачковская,ナターリヤ・クラチコフスカヤ,natāriya・kurachikofusukaya
полина семионова,ポリーナ・セミオノワ,porīna・semionowa
любовь соколова,リュボフ・シャチコワ,ryubofu・shachikowa
ольга слюсарева,オルガ・スリュサレヴァ,oruga・suryusareva
татьяна шемякина,タチアナ・シェミャキナ,tachiana・shemyakina
анатолий тарасов,アナトルイ・タラソフ,anatorui・tarasofu
алла кудрявцева,アーラ・クドゥリャフツェワ,āra・kuduryafutsewa
евгений тарелкин,エヴゲニー・タレルキン,evugenī・tarerukin
татьяна арясова,タチアナ・アリャソワ,tachiana・aryasowa
наталия бессмертнова,ナタリア・ベスメルトノワ,nataria・besumerutonowa
алексей васильев,アレクセイ・ヴァシリエフ,arekusei・vashiriefu
тимур крячко,ティムール・クリャーチコ,timūru・kuryāchiko
авраам руссо,アバン・ルッソ,aban・russo
валерия новодворская,ヴァレリヤ・ノヴォドヴォルスカヤ,vareriya・novuォdovuォrusukaya
михаил соломенцев,ミハイル・ソロメンツェフ,mihairu・soromentsefu
глеб гальперин,グレプ・ガルペリン,gurepu・garuperin
ефим бронфман,イェフィム・ブロンフマン,yefimu・buronfuman
владимир ефимкин,ウラディミール・エフィムキン,uradimīru・efimukin
елена ваенга,エレナ・ベンガ,erena・benga
татьяна каширина,タチアナ・カシリナ,tachiana・kashirina
рустам ибрагимбеков,ルスタム・イブラギムベコフ,rusutamu・iburagimubekofu
вячеслав иванов,ヴャチェスラフ・イヴァーノフ,vuャchesurafu・ivānofu
лев питаевский,レフ・ピタエフスキー,refu・pitaefusukī
сергей гриньков,セルゲイ・グリンコフ,serugei・gurinkofu
владислав наместников,ヴラディスラヴ・ナメスニコフ,vuradisuravu・namesunikofu
олимпиада иванова,オリンピアダ・イワノワ,orinpiada・iwanowa
юлия барсукова,ユリア・バルスコワ,yuria・barusukowa
александр ильин,アレクサンダー・イリン,arekusandā・irin
юлианна авдеева,ユリアンナ・アヴデーエワ,yurianna・avudēewa
евгений берзин,エフゲニー・ベルズィン,efugenī・beruzin
