andrzej wajda,アンジェイ・ワイダ,anjei・waida
aleksandra dranka,アレクサンドラ・ドランカ,arekusandora・doranka
helena sparrow,ヘレナ・スパロウ,herena・suparou
paweł bochniewicz,パヴェウ・ボフニェヴィチ,pavuェu・bofuniェvichi
monika gałkowska,モニカ・ガウコフスカ,monika・gaukofusuka
krystian bielik,クリスティアン・ビエリク,kurisutian・bieriku
bartosz kapustka,バルトシュ・カプストゥカ,barutoshu・kapusutuka
damian kądzior,ダミアン・コンジョル,damian・konjoru
rafał augustyniak,ラファウ・アウグスティニアク,rafau・augusutiniaku
krzysztof charamsa,クシシュトフ・ハラムサ,kushishutofu・haramusa
michał walski,ミハウ・ヴァルスキ,mihau・varusuki
martyna grajbernowakowska,マルティナ・グライベル,marutina・guraiberu
przemysław frankowski,プジェミスワフ・フランコフスキ,pujemisuwafu・furankofusuki
mateusz gamrot,マテウス・ガムロット,mateusu・gamurotto
aleksander śliwka,アレクサンデル・シリフカ,arekusanderu・shirifuka
adam buksa,アダム・ブクサ,adamu・bukusa
stanisław kowalski,スタニスワフ・コワルスキー,sutanisuwafu・kowarusukī
paweł dawidowicz,パヴェウ・ダヴィドヴィチ,pavuェu・davidovichi
michał masłowski,ミハウ・マスウォフスキ,mihau・masuwofusuki
bartłomiej drągowski,バルトウォミェイ・ドロンゴフスキ,barutowomiェi・dorongofusuki
mateusz szwoch,マテウシュ・シュヴォフ,mateushu・shuvuォfu
mateusz wieteska,マテウシュ・ヴィテスカ,mateushu・vitesuka
karol świderski,カロル・シフィデルスキ,karoru・shifiderusuki
ewa piątkowska,エワ・ピアットコフスカ,ewa・piattokofusuka
paweł tarnowski,パヴェウ・タルノフスキ,pavuェu・tarunofusuki
michał cieślak,ミハル・チェスラック,miharu・chesurakku
maciej sulęcki,マチェック・スレッキ,machekku・surekki
natalia starr,ナタリア・スター,nataria・sutā
babatunde aiyegbusi,ババテュンデ・アエグブシ,babatyunde・aegubushi
łukasz żal,ウカシュ・ジャル,ukashu・jaru
agata ozdobabłach,アガタ・オズドバ,agata・ozudoba
joanna majdan,ヨアンナ・マイダン,yoanna・maidan
natasha starr,ナターシャ・スター,natāsha・sutā
magdalena ogórek,マグダレナ・オグレク,magudarena・ogureku
ewa brodnicka,エワ・ブロドニッカ,ewa・burodonikka
rafał kurzawa,ラファウ・クルザワ,rafau・kuruzawa
cleo,クレオ,kureo
agnieszka rejment,アニエスカ・レイメント,aniesuka・reimento
maksym spodyriew,マクシム・スポディレフ,makushimu・supodirefu
kamil wojtkowski,カミル・ヴォイトコフスキ,kamiru・vuォitokofusuki
kamil dankowski,カミル・ダンコフスキ,kamiru・dankofusuki
hubert hurkacz,フベルト・フルカチュ,fuberuto・furukachu
damian szymański,ダミアン・シマンスキ,damian・shimansuki
tomasz fornal,トマシュ・フォルナル,tomashu・forunaru
jarosław niezgoda,ヤロスワフ・ニェズゴダ,yarosuwafu・niェzugoda
maria andrejczyk,マリア・アンドレイチク,maria・andoreichiku
karol angielski,カロル・アンギェルスキ,karoru・angiェrusuki
mateusz bieniek,マテウシュ・ビエニエク,mateushu・bienieku
damian gąska,ダミアン・ゴンスカ,damian・gonsuka
łukasz kaczmarek,ウーカシュ・カチュマレク,ūkashu・kachumareku
michalina olszańska,ミハリーナ・オルシャンスカ,miharīna・orushansuka
cyryl kozaczewski,ツィリル・コザチェフスキ,tsiriru・kozachefusuki
arkadiusz reca,アルカディウシュ・レツァ,arukadiushu・retsa
jarosław jach,ヤロスワフ・ヤッハ,yarosuwafu・yahha
agnieszka niedźwiedź,アグニシュカ・ニエズビッチ,agunishuka・niezubitchi
martyna łukasik,マルティナ・ウカシク,marutina・ukashiku
krzysztof piątek,クシシュトフ・ピョンテク,kushishutofu・pyonteku
dawid kudła,ダヴィド・クドワ,davido・kudowa
patryk dziczek,パトリク・ジチェク,patoriku・jicheku
sebastian szymański,セバスティアン・シマンスキ,sebasutian・shimansuki
przemysław szymiński,プジェミスワフ・シミンスキ,pujemisuwafu・shiminsuki
mateusz lis,マテウシュ・リス,mateushu・risu
piotr wlazło,ピオトル・ヴラズウォ,piotoru・vurazuwo
piotr zioła,ピオトル・ジオワ,piotoru・jiowa
kamil jóźwiak,カミル・ヨズヴィアク,kamiru・yozuviaku
robert gumny,ロベルト・グムニー,roberuto・gumunī
matty cash,マティ・キャッシュ,mati・kyasshu
jacek góralski,ヤツェク・グラルスキ,yatseku・gurarusuki
patryk klimala,パトリク・クリマラ,patoriku・kurimara
kamil semeniuk,カミル・セメニュク,kamiru・semenyuku
radosław majecki,ラドスワフ・マイェツキ,radosuwafu・mayetsuki
jadwiga szubartowicz,ヤドウィガ・スズバルトヴィチ,yadowiga・suzubarutovichi
iga świątek,イガ・シフィオンテク,iga・shifionteku
bartosz bielenia,バルトシュ・ビィエレニア,barutoshu・biィerenia
alina scholtz,アリナ・ショルツ,arina・shorutsu
adrian danek,アドリアン・ダネク,adorian・daneku
szymon żurkowski,シモン・ジュルコフスキ,shimon・jurukofusuki
beata pacutkłoczko,ベアタ・パツト,beata・patsuto
julia kowalczyk,ユリア・コバルチク,yuria・kobaruchiku
przemysław płacheta,プシェミスワフ・プワヘタ,pushemisuwafu・puwaheta
wanda wierzchleyska,ワンダ・ヴィエルツクレイスカ,wanda・vierutsukureisuka
kryscina cimanouska,クリスツィナ・ツィマノウスカヤ,kurisutsina・tsimanousukaya
mateusz praszelik,マテウシュ・プラスゼリク,mateushu・purasuzeriku
ralph kaminski,ラルフ・カミンスキ,rarufu・kaminsuki
karol niemczycki,カロル・ニェムチツキ,karoru・niェmuchitsuki
tymoteusz puchacz,ティモテウシュ・プハチ,timoteushu・puhachi
tekla juniewicz,テクラ・ユニェヴィチ,tekura・yuniェvichi
maria stenzel,マリア・ステンゼル,maria・sutenzeru
olivia różański,オリビア・ロジャンスキ,oribia・rojansuki
jakub moder,ヤクブ・モデル,yakubu・moderu
klaudia alagierskaszczepaniak,クラウディア・アラギェルスカ,kuraudia・aragiェrusuka
julia nowicka,ユリア・ノビツカ,yuria・nobitsuka
alan czerwiński,アラン・チェルヴィンスキ,aran・cheruvinsuki
mateusz żukowski,マテウシュ・ジュコフスキ,mateushu・jukofusuki
sebastian walukiewicz,セバスティアン・ヴァルキエヴィツ,sebasutian・varukievitsu
kamil grabara,カミル・グラバラ,kamiru・gurabara
jekatierina kurakowa,エカテリーナ・クラコワ,ekaterīna・kurakowa
filip marchwiński,フィリプ・マルチヴィニスキ,firipu・maruchivinisuki
mateusz młyński,マテウシュ・ムウィニスキ,mateushu・muwinisuki
mateusz bogusz,マテウシュ・ボグシュ,mateushu・bogushu
sebastian kowalczyk,セバスティアン・コヴァルチク,sebasutian・kovaruchiku
magdalena stysiak,マグダレナ・スティシャク,magudarena・sutishaku
krzysztof ciebień,クシシュトフ・チェベン,kushishutofu・cheben
mateo klimowicz,マテオ・クリモヴィッツ,mateo・kurimovittsu
michał skóraś,ミハウ・スコラシュ,mihau・sukorashu
jacek izydorczyk,ヤツェク・イズィドルチク,yatseku・izidoruchiku
paweł milewski,パヴェウ・ミレフスキ,pavuェu・mirefusuki
michał karbownik,ミハエル・カルボニック,mihaeru・karubonikku
jakub kamiński,ヤクブ・カミンスキ,yakubu・kaminsuki
jakub kiwior,ヤクブ・キヴィオル,yakubu・kivioru
kamil piątkowski,カミル・ピョンツコフスキ,kamiru・pyontsukofusuki
jan sobociński,ヤン・ソボチンスキ,yan・sobochinsuki
nicola zalewski,ニコラ・ザレフスキ,nikora・zarefusuki
serafin szota,セラフィン・ショタ,serafin・shota
viki gabor,ヴィキ・ガボール,viki・gabōru
bartosz slisz,バルトシュ・スリシュ,barutoshu・surishu
zuzanna górecka,スザンナ・ゴレツカ,suzanna・goretsuka
aleksander buksa,アレクサンデル・ブクサ,arekusanderu・bukusa
kacper kozłowski,カツペル・コズウォフスキ,katsuperu・kozuwofusuki
angelika szymańska,アンジェリカ・シマンスカ,anjerika・shimansuka
bartosz białek,バルトシュ・ビャウェク,barutoshu・byaweku
łukasz różański,ルカシュ・ロザンスキー,rukashu・rozansukī
gabriel slonina,ガブリエル・スロニナ,gaburieru・suronina
kacper smoliński,カツペル・スモリンスキ,katsuperu・sumorinsuki
jeremy sochan,ジェレミー・ソーハン,jeremī・sōhan
katarzyna wenerska,カタジナ・ベネルスカ,katajina・benerusuka
helena krasowska,ヘレナ・クラソフスカ,herena・kurasofusuka
mateusz łęgowski,マテウシュ・ウェンゴフスキ,mateushu・wengofusuki
polska,ポーランド,pōrando
województwo dolnośląskie,ドルヌィ・シロンスクケン,dorunuィ・shironsukuken
głogów,グウォグフ,guwogufu
iława,イワヴァ,iwava
oświęcim,オシフィエンチム,oshifienchimu
świętochłowice,シフィエントフウォヴィツェ,shifientofuwovitse
poznań,ポズナン,pozunan
toruń,トルン,torun
babsk,バプスク,bapusuku
warszawa,ワルシャワ,warushawa
gdynia,グディニャ,gudinya
śląsk,シレジア,shirejia
szczecin,シュチェチン,shuchechin
tarnobrzeg,タルノブジェク,tarunobujeku
gniezno,グニェズノ,guniェzuno
leszno,レシュノ,reshuno
tychy,ティヒ,tihi
kalisz,カリシュ,karishu
koło,コウォ,kowo
katowice,カトヴィツェ,katovitse
rzeszów,ジェシュフ,jeshufu
ostrów wielkopolski,オストルフ・ヴィエルコポルスキ,osutorufu・vierukoporusuki
ełk,エウク,euku
lech poznań,レフ・ポズナン,refu・pozunan
koszalin,コシャリン,kosharin
nowy dwór królewski,ノヴィ・ドゥヴル・クルレフスキ,novi・duvuru・kururefusuki
racibórz,ラチブシュ,rachibushu
łódź,ウッチ,utchi
gmina,キソジチタイ,kisojichitai
białystok,ビャウィストク,byawisutoku
nowy sącz,ノヴィ・ソンチ,novi・sonchi
olsztyn,オルシュティン,orushutin
łużyce,ラウジッツ,raujittsu
kraków,クラクフ,kurakufu
chrzanów,フシャヌフ,fushanufu
łuków,ウクフ,ukufu
sopot,ソポト,sopoto
opole,オポレ,opore
karpaty,カルパティアサンミャク,karupatiasanmyaku
gdańsk,グダニスク,gudanisuku
sanok,サノク,sanoku
województwo jeleniogórskie,イェレニャ・グラケン,yerenya・guraken
słubice,スウビツェ,suubitse
lublin,ルブリン,ruburin
wrocław,ヴロツワフ,vurotsuwafu
międzyrzec podlaski,ミェンヅィジェツ・ポドラスキ,miェndzuィjetsu・podorasuki
polonez,ポロネーズ,poronēzu
kurów,クルフ,kurufu
zabrze,ザブジェ,zabuje
końskowola,コィンスコヴォラ,koィnsukovuォra
police,ポリツェ,poritse
śniardwy,シニャルドヴィコ,shinyarudoviko
skierniewice,スキェルニェヴィツェ,sukiェruniェvitse
wieluń,ヴィエルニ,vieruni
bydgoszcz,ブィドゴシュチュ,buィdogoshuchu
świnoujście,シフィノウイシチェ,shifinouishiche
kielce,キェルツェ,kiェrutse
przemyśl,プシェムィシル,pushemuィshiru
polesie,ポリーシャ,porīsha
śrem,シレーム,shirēmu
bytom,ビトム,bitomu
sokolnictwo,タカガリ,takagari
częstochowa,チェンストホヴァ,chensutohova
żelazowa wola,ジェラゾヴァ・ヴォラ,jerazova・vuォra
radom,ラドム,radomu
chorzów,ホジュフ,hojufu
łomża,ウォムジャ,womuja
słupsk,スウプスク,suupusuku
pomorze,ポメラニア,pomerania
zgierz,ズギェシ,zugiェshi
żory,ジョルィ,joruィ
żubrówka,ズブロッカ,zuburokka
dziecinów,ヂェチヌフ,djiェchinufu
flis,モクザイリュウオク,mokuzairyuuoku
elbląg,エルブロンク,eruburonku
zielona góra,ジェロナ・グラ,jerona・gura
płock,プウォツク,puwotsuku
gorzów wielkopolski,ゴジュフ・ヴィエルコポルスキ,gojufu・vierukoporusuki
wadowice,ヴァドヴィツェ,vadovitse
brzeg,ブジェク,bujeku
gliwice,グリヴィツェ,gurivitse
sosnowiec,ソスノヴィエツ,sosunovietsu
kalwaria zebrzydowska,カルヴァリア・ゼブジドフスカ,karuvaria・zebujidofusuka
stargard,スタルガルト,sutarugaruto
legnica,レグニツァ,regunitsa
tarnów,タルヌフ,tarunufu
terespol,テレスポル,teresuporu
łowicz,ウォヴィチ,wovichi
ruda śląska,ルダ・シロンスカ,ruda・shironsuka
kołobrzeg,コウォブジェク,kowobujeku
rybnik,リブニク,ribuniku
włocławek,ヴウォツワヴェク,vuwotsuwavuェku
dąbrowa górnicza,ドンブロヴァ・グルニチャ,donburova・gurunicha
wałbrzych,ヴァウブジフ,vaubujifu
nowy targ,ノヴィ・タルク,novi・taruku
podhale,ポドハレ,podohare
chełm,ヘウム,heumu
pawiak,パヴィアクケイムショ,paviakukeimusho
suwałki,スヴァウキ,suvauki
lubin,ルビン,rubin
jelcz,イェルチ,yeruchi
widzew łódź,ヴィジェフ・ウッチ,vijefu・utchi
złoty,ズウォティ,zuwoti
grudziądz,グルジョンツ,gurujontsu
piła,ピワ,piwa
powiat,グン,gun
telewizja polska,ポーランド・テレビ,pōrando・terebi
ostrołęka,オストロウェンカ,osutorowenka
futuryzm,ミライハ,miraiha
sochaczew,ソハチェフ,sohachefu
topfmine,トプフミーネ,topufumīne
sulechów,スレフフ,surefufu
węgorzyno,ヴェンゴジーノ,vuェngojīno
powidła,ポヴィドル,povidoru
wisła,ヴィスワ,visuwa
trzciano,トシチャノ,toshichano
górnik zabrze,グールニク・ザブジェ,gūruniku・zabuje
augustów,アウグストゥフ,augusutufu
berlinwarszawaexpress,ベルリンワルシャワエクスプレス,berurinwarushawaekusupuresu
polonia warszawa,ポロニャ・ワルシャワ,poronya・warushawa
wieliczka,ヴィエリチカ,vierichika
tczew,トチェフ,tochefu
metal mind productions,メタル・マインド・プロダクションズ,metaru・maindo・purodakushonzu
leżajsk,レジャイスク,rejaisuku
łobez,ウォベス,wobesu
pijarzy,エスコラピオスシュウドウカイ,esukorapiosushuudoukai
zagłębie sosnowiec,ザグウェンビェ・ソスノヴィエツ,zaguwenbiェ・sosunovietsu
zagłębie lubin,ザグウェンビェ・ルビン,zaguwenbiェ・rubin
polityka,ポリティカ,poritika
knurów,クヌルフ,kunurufu
eurokorpus,オウシュウゴウドウグン,oushuugoudougun
lędziny,レンジニ,renjini
lębork,レンボルク,renboruku
zakopane,ザコパネ,zakopane
starogard gdański,スタロガルド・グダニスキ,sutarogarudo・gudanisuki
zamość,ザモシチ,zamoshichi
malbork,マルボルク,maruboruku
strzelce opolskie,ストシェルツェ・オポルスキエ,sutosherutse・oporusukie
raków częstochowa,ラクフ・チェンストホヴァ,rakufu・chensutohova
westerplatte,ヴェステルプラッテ,vuェsuterupuratte
polski fiat,ポルスキ・フィアット,porusuki・fiatto
zgorzelec,ズゴジェレツ,zugojeretsu
jelenia góra,イェレニャ・グラ,yerenya・gura
jasna góra,ヤスナ・グラシュウドウイン,yasuna・gurashuudouin
ruch chorzów,ルフ・ホジューフ,rufu・hojūfu
sarbinowo,サルビノヴォ,sarubinovuォ
województwo,ケン,ken
sobibór,ソビブル,sobiburu
getto krakowskie,クラクフ・ゲットー,kurakufu・gettō
stębark,ステンバルク,sutenbaruku
getto warszawskie,ワルシャワ・ゲットー,warushawa・gettō
parowozownia piła,ピールスカ・オクロングラクキカンコキョウカイ,pīrusuka・okurongurakukikankokyoukai
stolperstein,ストルパーシュタイン,sutorupāshutain
tour de pologne,ツール・ド・ポローニュ,tsūru・do・porōnyu
kętrzyn,ケントシン,kentoshin
ustka,ウストカ,usutoka
cieszyn,チェシン,cheshin
kostrzyn nad odrą,コストシン・ナド・オドロン,kosutoshin・nado・odoron
puławy,プワヴィ,puwavi
piotrków trybunalski,ピョートルクフ・トルィブナルスキ,pyōtorukufu・toruィbunarusuki
bełchatów,ベウハトゥフ,beuhatufu
warmia,ヴァルミア,varumia
żagań,ジャガン,jagan
jaworzno,ヤヴォジュノ,yavuォjuno
siemianowice śląskie,シェミャノヴィツェ・シロンスキェ,shemyanovitse・shironsukiェ
piekary śląskie,ピェカルィ・シロンスキェ,piェkaruィ・shironsukiェ
brzesko,ブジェスコ,bujesuko
radomsko,ラドムスコ,radomusuko
wąbrzeźno,ヴォンブジェジノ,vuォnbujejino
kłobuck,クウォブツク,kuwobutsuku
dąbrowa tarnowska,ドンブロヴァ・タルノフスカ,donburova・tarunofusuka
bieruń,ビェルニ,biェruni
pajęczno,パイェンチュノ,payenchuno
stutthof,シュトゥットホーフキョウセイシュウヨウショ,shututtohōfukyouseishuuyousho
braniewo,ブラニェヴォ,buraniェvuォ
mysłowice,ムィスウォヴィツェ,muィsuwovitse
czeladź,チェラチ,cherachi
śląsk wrocław,シロンスク・ヴロツワフ,shironsuku・vurotsuwafu
goleniów,ゴレニュフ,gorenyufu
tarnowskie góry,タルノフスキェ・グルィ,tarunofusukiェ・guruィ
chełmno,ヘウムノ,heumuno
morskie oko,モルスキェ・オコ,morusukiェ・oko
łazy,ワジ,waji
łapy,ワピ,wapi
bobrowniki,ボブロヴニキ,boburovuniki
stomil olsztyn,ストミール・オルシュティン,sutomīru・orushutin
żywiec,ジヴィエツ,jivietsu
zawisza bydgoszcz,ザヴィシャ・ブィドゴシュチュ,zavisha・buィdogoshuchu
inowrocław,イノヴロツワフ,inovurotsuwafu
gryfici,ポメラニアカ,pomeraniaka
imielin,イミェリン,imiェrin
mikołów,ミコウフ,mikoufu
konfederacja polskoczechosłowacka,ポーランド・チェコスロバキアレンゴウ,pōrando・chekosurobakiarengou
jagiellonia białystok,ヤギエロニア・ビャウィストク,yagieronia・byawisutoku
wisła kraków,ヴィスワ・クラクフ,visuwa・kurakufu
dyskobolia grodzisk wielkopolski,ディスコボリア・グロヂスク・ヴィエルコポルスキ,disukoboria・gurodjisuku・vierukoporusuki
mrągowo,ムロンゴヴォ,murongovuォ
góra,グラ,gura
bonifratrzy,ヒジリヨハネビョウインシュウドウカイ,hijiriyohanebyouinshuudoukai
sandomierz,サンドミエシュ,sandomieshu
legia warszawa,レギア・ワルシャワ,regia・warushawa
tatry,タトラサンミャク,tatorasanmyaku
nysa,ニサ,nisa
bochnia,ボフニャ,bofunya
kunowice,クーネルスドルフ,kūnerusudorufu
arka gdynia,アルカ・グディニャ,aruka・gudinya
góra kalwaria,グラ・カルヴァリア,gura・karuvaria
getto lubelskie,ルブリン・ゲットー,ruburin・gettō
rysy,リスィサン,risisan
wejherowo,ヴェイヘロヴォ,vuェiherovuォ
giżycko,ギジツコ,gijitsuko
sławków,スワフクフ,suwafukufu
bar mleczny,バル・ムレチュニィ,baru・murechuniィ
łańcuch alpejskohimalajski,アルプス・ヒマラヤツクリヤマタイ,arupusu・himarayatsukuriyamatai
prudnik,プルドニク,purudoniku
hel,ヘル,heru
bełżec,ベウジェツ,beujetsu
podpłomyk,ポドプウォムィク,podopuwomuィku
kłodawa,クウォダヴァ,kuwodava
miedź legnica,ミエジュ・レグニツァ,mieju・regunitsa
padniewko,パドニェフコ,padoniェfuko
powiat nowotarski,ノヴィ・タルクグン,novi・tarukugun
polonia bytom,ポロニア・ビトム,poronia・bitomu
trzebinia,トシェビニャ,toshebinya
aula leopoldina,アウラ・レオポルディナ,aura・reoporudina
rzepin,ジェピン,jepin
gietrzwałd,ギエトシュヴァウト,gietoshuvauto
brzezinka,ブジェジンカ,bujejinka
ostróda,オストルダ,osutoruda
pruszków,プルシュクフ,purushukufu
osinów dolny,オシヌフ・ドルニ,oshinufu・doruni
tomaszów lubelski,トマシュフ・ルベルスキ,tomashufu・ruberusuki
orlen,オーレン,ōren
korona kielce,コロナ・キェルツェ,korona・kiェrutse
myszków,ムィシュクフ,muィshukufu
lechia gdańsk,レヒア・グダニスク,rehia・gudanisuku
wołczyn,ヴォウチン,vuォuchin
mikołajki,ミコワイキ,mikowaiki
powiat tarnogórski,タルノフスキェ・グルィグン,tarunofusukiェ・guruィgun
wojkowice,ヴォイコヴィツェ,vuォikovitse
krzemionki,クシェミオンキ,kushemionki
oliwa,オリバ,oriba
platforma wschodnioeuropejska,ヒガシヨーロッパ・クラトン,higashiyōroppa・kuraton
jomsborg,ヨムスボルグ,yomusuborugu
grunwald,グルンヴァルト,gurunvaruto
chrząchów,フションフフ,fushonfufu
górnik łęczna,グルニク・ウェンチナ,guruniku・wenchina
warta poznań,ヴァルタ・ポズナン,varuta・pozunan
skra bełchatów,スクラ・ベウハトゥフ,sukura・beuhatufu
wisła płock,ヴィスワ・プウォツク,visuwa・puwotsuku
ergo arena,エルゴ・アリーナ,erugo・arīna
spodek,スポデク,supodeku
centralwings,セントラルウィングス,sentoraruwingusu
turzonowie,トゥルゾーカ,turuzōka
faworki,ファボルキ,faboruki
marka polska,ポーランド・マルカ,pōrando・maruka
szczerbiec,シュチェルビェツ,shucherubiェtsu
szlakiem grodów piastowskich,シュラキエム・グロドゥフ・ピャストフスキフ,shurakiemu・gurodufu・pyasutofusukifu
powiat bielski,ビェルスコ・ビャワグン,biェrusuko・byawagun
rozewie,ロゼヴィアミサキ,rozeviamisaki
krzywy las,クシュヴィ・ラス,kushuvi・rasu
hate,ヘイト,heito
radomiak radom,ラドミアク・ラドム,radomiaku・radomu
arena kielce,アレーナ・キェルツェ,arēna・kiェrutse
ekstraliga baseballowa,ポーランド・エクストラリーガ,pōrando・ekusutorarīga
stal mielec,スタル・ミエレツ,sutaru・mieretsu
uniwersytet marii curieskłodowskiej,マリー・キュリー・スクウォドフスカダイガク,marī・kyurī・sukuwodofusukadaigaku
sąsiadka,ステイスク,suteisuku
rajd polski,ラリー・ポーランド,rarī・pōrando
gruchawka,ラットル,rattoru
techland,テックランド,tekkurando
plusliga,ポーランドダンシバレーボールリーグ,pōrandodanshibarēbōrurīgu
niegosławice,ニェゴスワヴィツェ,niェgosuwavitse
bochotnica,ボホトニツァ,bohotonitsa
katowice open,カトヴィツェ・オープン,katovitse・ōpun
żabka,ジャプカ,japuka
radonica,ラドニツァ,radonitsa
baumkuchen,バウムクーヘン,baumukūhen
coffeeheaven,コーヒーヘブン,kōhīhebun
opener festival,オープナー・フェスティバル,ōpunā・fesutibaru
bokszeosada,ボクシェ,bokushe
daniel,ダニェル,daniェru
sempółki,センプウキ,senpuuki
protram,プロトラム,purotoramu
przewodów,プシェヴォドゥフ,pushevuォdufu
piotrowice,ピョトロヴィツェ,pyotorovitse
teyon,テヨン,teyon
trojany,トロヤニ,toroyani
głębowice,グウェンボビツェ,guwenbobitse
arena lublin,アレーナ・ルブリン,arēna・ruburin
styków,スティクフ,sutikufu
płaszów,プワシュフ,puwashufu
extinction rebellion,エクスティンクション・レベリオン,ekusutinkushon・reberion
grupa ładosia,ワドシ・グループ,wadoshi・gurūpu
european league of football,ヨーロピアン・リーグ・オブ・フットボール,yōropian・rīgu・obu・futtobōru
camp kościuszko,キャンプ・コシチュシュコ,kyanpu・koshichushuko
aleksander moszkowski,アレクサンダー・モシュコフスキ,arekusandā・moshukofusuki
henryk józef nowacki,ヘンリク・ヨーゼフ・ノヴァツキ,henriku・yōzefu・novatsuki
max fleischer,マックス・フライシャー,makkusu・furaishā
andrzej ehrenfeucht,アンジェイ・エーレンフォイヒト,anjei・ērenfoihito
konrad fiałkowski,コンラド・フィアウコフスキ,konrado・fiaukofusuki
bogusław linda,ボグスワフ・リンダ,bogusuwafu・rinda
cezary pazura,ツェザーリ・パズーラ,tsezāri・pazūra
jerzy zelnik,イェジ・ゼルニク,yeji・zeruniku
jacek kuroń,ヤツェク・クーロン,yatseku・kūron
felicja langer,フェリツィア・ランガー,feritsia・rangā
joanna rutkowska,ヨアンナ・ルトコフスカ,yoanna・rutokofusuka
david blacha,ダーフィト・ブラッハ,dāfito・burahha
jan englert,ヤン・エングレルト,yan・engureruto
jacek fedorowicz,ヤツェク・フェドローヴィッチ,yatseku・fedorōvitchi
piotr fronczewski,ピョートル・フロンチェウスキー,pyōtoru・furoncheusukī
renate von natzmer,レナータ・フォン・ナッツメル,renāta・fon・nattsumeru
franciszek smuda,フランチシェク・スムダ,furanchisheku・sumuda
katarzyna bujakiewicz,カタジナ・ブジャキエヴィチ,katajina・bujakievichi
jolanta kwaśniewska,ヨランタ・クファシニェフスカ,yoranta・kufashiniェfusuka
paweł kukiz,パヴェウ・クキズ,pavuェu・kukizu
urszula ledóchowska,ウルシュラ・レドゥホフスカ,urushura・reduhofusuka
waldemar podolski,ヴァルデマール・ポドルスキ,varudemāru・podorusuki
bogusław samborski,ボクスラウ・サンボルスキ,bokusurau・sanborusuki
leopold adametz,レオポルト・アダメッツ,reoporuto・adamettsu
kazimierz sabbat,カジミェシュ・サバト,kajimiェshu・sabato
stanisław wojciechowski,スタニスワフ・ヴォイチェホフスキ,sutanisuwafu・vuォichehofusuki
hilmar kopper,ヒルマー・コッパー,hirumā・koppā
agata kulesza,アガタ・クレシャ,agata・kuresha
zygmunt kęstowicz,ジグムント・ケンストヴィチ,jigumunto・kensutovichi
franciszek macharski,フランシス・マカルスキー,furanshisu・makarusukī
leszek miller,レシェク・ミレル,resheku・mireru
andrzej szeptycki,アンドレイ・シェプティツキー,andorei・sheputitsukī
jagna marczułajtiswalczak,ヤグナ・マルチュワイティス,yaguna・maruchuwaitisu
hilary skarżyński,ヒラリ・スカシニスキ,hirari・sukashinisuki
august zaleski,アウグスト・ザレスキ,augusuto・zaresuki
maria malicka,マリア・マリツカ,maria・maritsuka
zyta gilowska,ジタ・ギロフスカ,jita・girofusuka
gustaw gizewiusz,グスタフ・ギゼヴィウシュ,gusutafu・gizeviushu
benita von falkenhayn,ベニータ・フォン・ファルケンハイン,benīta・fon・farukenhain
michał sopoćko,ミカエル・ソボチコ,mikaeru・sobochiko
włodzimierz cimoszewicz,ヴウォジミェシュ・チモシェヴィチ,vuwojimiェshu・chimoshevichi
ludwik hirszfeld,ルドヴィック・ヒルシュフェルト,rudovikku・hirushuferuto
jan krzysztof bielecki,ヤン・クシシュトフ・ビェレツキ,yan・kushishutofu・biェretsuki
stanisław szpinalski,スタニスワフ・シュピナルスキ,sutanisuwafu・shupinarusuki
stanisław ostrowski,スタニスワフ・オストロフスキ,sutanisuwafu・osutorofusuki
władysław raczkiewicz,ヴワディスワフ・ラチュキェヴィチ,vuwadisuwafu・rachukiェvichi
edward bernard raczyński,エドヴァルト・ベルナルト・ラチンスキ,edovaruto・berunaruto・rachinsuki
ludwik dorn,ルドヴィク・ドルン,rudoviku・dorun
victor klemperer,ヴィクトル・クレンペラー,vikutoru・kurenperā
radosław sikorski,ラドスワフ・シコルスキ,radosuwafu・shikorusuki
aleksander krupa,オレク・クルパ,oreku・kurupa
jan olszewski,ヤン・オルシェフスキ,yan・orushefusuki
waldemar pawlak,ヴァルデマル・パヴラク,varudemaru・pavuraku
wojtek wolski,ボイチェフ・ボルスキー,boichefu・borusukī
monika sozanska,モニカ・ゾツァンスカ,monika・zotsansuka
kazimierz graff,カジミール・グラフ,kajimīru・gurafu
jan kubary,ヨハン・クバリー,yohan・kubarī
przemysław gosiewski,プシェムィスワフ・ゴシェフスキ,pushemuィsuwafu・goshefusuki
lestek,レステク,resuteku
małgorzata bela,マウゴザタ・ベラ,maugozata・bera
danuta siedzikówna,ダヌータ・シェジクナ,danūta・shejikuna
andrzej przewoźnik,アンジェイ・プシェヴォジニク,anjei・pushevuォjiniku
kazimierz nycz,カジミェシュ・ニクズ,kajimiェshu・nikuzu
krzysztof piesiewicz,クシシュトフ・ピエシェヴィッチ,kushishutofu・pieshevitchi
henryk rzewuski,ヘンリク・ジェヴスキ,henriku・jevusuki
magdalena cielecka,マグダレナ・チェレツカ,magudarena・cheretsuka
elonka dunin,イロンカ・デューニン,ironka・dyūnin
waldemar glinka,ワルデマール・グリンカ,warudemāru・gurinka
artur szpilka,アルツール・スピルカ,arutsūru・supiruka
wincenty pol,ヴィンツェントゥ・ポル,vintsentu・poru
feliks nowowiejski,フェリクス・ノヴォヴィエイスキ,ferikusu・novuォvieisuki
