alexandra stan,알렉산드라 스탄,alregsandeura seutan
margareta a româniei,마르가레타 데 로므니아,mareugareta de romeunia
diet sayler,디트 자일러,diteu jailreo
ion besoiu,이온 베소이우,ion besoiu
tiberiu popoviciu,티베리우 포포비치우,tiberiu popobiciu
marius moga,마리우스 모가,mariuseu moga
mihail jora,미하일 조라,mihail jora
daniel pancu,다니엘 판쿠,daniel panku
george ștefănescu,제오르제 슈테퍼네스쿠,jeoreuje syutepeoneseuku
dimitrie cuclin,디미트리에 쿠클린,dimiteurie kukeulrin
paul constantinescu,파울 콘스탄티네스쿠,paul konseutantineseuku
cătălin țăranu,카타린 타라누,katarin taranu
sebastian papaiani,세바스티안 파파이아니,sebaseutian papaiani
lucian bute,루시언 부테,rusieon bute
anca radici,안카 라디치,anka radici
iosif tâlvan,이오시프 틀반,iosipeu teulban
gabriela niculescu,가브리엘라 니쿨레스쿠,gabeurielra nikulreseuku
geo da silva,지오 다 실바,jio da silba
antoine goléa,앙트와느 골레아,angteuwaneu golrea
mosko alkalai,모스코 알카라이,moseuko alkarai
alexandru philippide,알렉산드루 필리피데,alregsandeuru pilripide
nicolae titulescu,니콜라에 티툴레스쿠,nikolrae titulreseuku
aurelia brădeanu,아우렐리아 브러데아누,aurelria beureodeanu
aurel stroe,아우렐 스트로에,aurel seuteuroe
elena meissner,엘레나 메이스네르,elrena meiseunereu
cristian pop,크리스티안 팝,keuriseutian pab
grigore cugler,그리고레 쿠글레르,geurigore kugeulrereu
george călinescu,게오르게 컬리네스쿠,georeuge keolrineseuku
lucian grigorescu,루치안 그리고레스쿠,rucian geurigoreseuku
leo grozavu,레온틴 그로자부,reontin geurojabu
hilda jerea,힐다 제레아,hilda jerea
gabriel liiceanu,가브리엘 리차누,gabeuriel ricanu
ádám bodor,보도르 아담,bodoreu adam
roxana luca,록사나 루카,rogsana ruka
dragoș băjenaru,드라고슈 바제나루,deuragosyu bajenaru
marian petrescu,마리안 페트레스쿠,marian peteureseuku
matila ghyka,마틸라 기카,matilra gika
alexandru ciucurencu,알렉산드루 치우쿠렌쿠,alregsandeuru ciukurenku
horiaroman patapievici,호리아로만 파타피에비치,horiaroman patapiebici
mihai morar,미하이 모라르,mihai morareu
andrei folbert,안드레이 폴베르트,andeurei polbereuteu
irina loghin,이리나 로긴,irina rogin
mina minovici,미나 미노비치,mina minobici
andreea marin,안드레아 마린,andeurea marin
andreea esca,안드레아 에스카,andeurea eseuka
mircea nedelciu,미르차 네델치우,mireuca nedelciu
amos guttman,아모스 구트만,amoseu guteuman
ioan d chirescu,이오안 두미트루 키레스쿠,ioan dumiteuru kireseuku
octav onicescu,옥타브 오니체스쿠,ogtabeu oniceseuku
serafina moritz,세라피나 모리츠,serapina moriceu
vasilicaviorica dăncilă,비오리카 던칠러,biorika deoncilreo
alexandra bădoi,알렉산드라 바도이,alregsandeura badoi
pacha man,파차 맨,paca maen
perpessicius,페르페시치우스,pereupesiciuseu
alexandru repan,알렉산드루 레판,alregsandeuru repan
gheorghe țițeica,게오르게 치체이카,georeuge ciceika
dorin rotariu,도린 로타리우,dorin rotariu
ion jinga,이온 진가,ion jinga
smiley,스마일리,seumailri
gheorghe cucu,게오르게 쿠쿠,georeuge kuku
angela similea,안젤라 시밀레아,anjelra similrea
augustin bena,아우구스틴 베나,auguseutin bena
aurelia făturăduțu,아우렐리아 퍼투러두추,aurelria peotureoducu
lazăr dragoș,라저르 드라고슈,rajeoreu deuragosyu
florica bagdasar,플로리카 바그다사르,peulrorika bageudasareu
laurențiu profeta,라우렌치우 프로페타,raurenciu peuropeta
lora,로라,rora
geo saizescu,제오 사이제스쿠,jeo saijeseuku
caius iacob,카이우스 이아코브,kaiuseu iakobeu
ion nonna otescu,이온 노나 오테스쿠,ion nona oteseuku
vasile caciureac,바실레 카치우레아크,basilre kaciureakeu
magda catone,마그다 카토네,mageuda katone
coca andronescu,코카 안드로네스쿠,koka andeuroneseuku
nicolae dinculeanu,니콜라에 딘쿨레아누,nikolrae dinkulreanu
mihai petre,미하 페트르,miha peteureu
corina dănilă,코리나 다닐라,korina danilra
oana sârbu,오아나 사부,oana sabu
octavian cotescu,옥타비안 코테스쿠,ogtabian koteseuku
horea paștina,호레아 파슈티나,horea pasyutina
gabriela firea,가브리엘라 피레아,gabeurielra pirea
ștefan minovici,슈테판 미노비치,syutepan minobici
puiu călinescu,푸이우 컬리네스쿠,puiu keolrineseuku
dorian popa,도리아 포파,doria popa
nicolae minovici,니콜라에 미노비치,nikolrae minobici
ioana loredana roșca,이오아나 로레다나 로슈카,ioana roredana rosyuka
dana rogoz,다나로 고즈,danaro gojeu
sesto pals,세스토 팔스,seseuto palseu
maria pătrașcu,마리아 퍼트라슈쿠,maria peoteurasyuku
doina bumbea,도이나 붐베아,doina bumbea
marius florea vizante,마리우스 플로레아 비잔테,mariuseu peulrorea bijante
tatiana iekel,타티아나 이에켈,tatiana iekel
mihai drăguș,미하이 드라구스,mihai deuraguseu
victor slav,빅터 슬라브,bigteo seulrabeu
eugen teodorovici,에우젠 테오도로비치,eujen teodorobici
aurelia cristea,아우렐리아 크리스테아,aurelria keuriseutea
matei balș,마테이 발스,matei balseu
dumitru bagdasar,두미트루 바그다사르,dumiteuru bageudasareu
olguța berbec,올거타 양자리,olgeota yangjari
dimitrie știubei,디미트리에 슈티우베이,dimiteurie syutiubei
sergiu luca,세르쥬 루카,sereujyu ruka
daniel buzdugan,다니엘 부두던,daniel bududeon
emilia comișel,에밀리아 코미셸,emilria komisyel
petre roșca,페트레 로쉬카,peteure roswika
constantin diplan,콘스탄틴 디플란,konseutantin dipeulran
marcel lăzăreanu,마르첼 라자네아누,mareucel rajaneanu
robert glință,로베르트 글린처,robereuteu geulrinceo
henry herscovici,헨리 헤르스코비치,henri hereuseukobici
carmen galin,카르멘 갈린,kareumen galrin
victor vlad cornea,빅토르 블라드 코르네아,bigtoreu beulradeu koreunea
florin bătrânu,플로린 버트르누,peulrorin beoteureunu
radu vâlcan,라두 발칸,radu balkan
nicolae ottescu,니콜라에 오테스쿠,nikolrae oteseuku
nicoleta dascălu,니콜레타 다스컬루,nikolreta daseukeolru
anton tauf,안톤 타우프,anton taupeu
lya hubic,리아 후비크,ria hubikeu
camelia dăscălescu,카멜리아 더스컬레스쿠,kamelria deoseukeolreseuku
diana cavallioti,다이아나 카발리오티,daiana kabalrioti
ecaterina fotinonegru,에카테리나 포티노네그루,ekaterina potinonegeuru
radu theodorescu,라두 테오도레스쿠,radu teodoreseuku
feli donose,펠리 도노세,pelri donose
andreea roșca,안드레아 로슈카,andeurea rosyuka
miriam bulgaru,미리암 불가루,miriam bulgaru
irina rimes,리메스 이리나,rimeseu irina
gabriela talabă,가브리엘라 탈라버,gabeurielra talrabeo
tania popa,타니아 포파,tania popa
claudiu micovschi,클라우디우 미코브스키,keulraudiu mikobeuseuki
marco dulca,마르코 둘카,mareuko dulka
aurelia marinescu,아우렐리아 마리네스쿠,aurelria marineseuku
marin petre constantin,마린 페트레 콘스탄틴,marin peteure konseutantin
maria fotino,마리아 포티노,maria potino
nora steriadi,노라 스테리아디,nora seuteriadi
sergiu costache,세르지우 코스타체,sereujiu koseutace
irina fetecău,이리나 페테커우,irina petekeou
ioana mihăilă,이오아나 미허일러,ioana miheoilreo
alcina dimitrescu,알시나 디미트레스쿠,alsina dimiteureseuku
karl heisenberg,칼 하이젠베르크,kal haijenbereukeu
emaa,에마,ema
theodor andrei,테오도르 안드레이,teodoreu andeurei
roman,로만,roman
câmpia panonică,판노니아 평원,pannonia pyeongweon
slatina,슬라티나,seulratina
moldova,몰다비아,moldabia
alexandria,알렉산드리아,alregsandeuria
istoria româniei,루마니아의 역사,rumaniayi yeogsa
stepa ponticocaspică,폰토스카스피 스텝,pontoseukaseupi seuteb
oțelul galați,오첼룰 갈라치,ocelrul galraci
fetești,페테슈티,petesyuti
berveni,베르베니,bereubeni
chiajna,키아지나,kiajina
cernavodă,체르나보다,cereunaboda
mizil,미질,mijil
miss românia,미스 루마니아,miseu rumania
făgăraș,파가라슈,pagarasyu
orșova,오르소바,oreusoba
bran,브란,beuran
astra giurgiu,아스트라 지우르지우,aseuteura jiureujiu
simeria,시메리아,simeria
târlișua,트를리슈아,teureulrisyua
găiceana,가이세아나,gaiseana
stadionul ion oblemenco,스타디오눌 이온 오블레멘코,seutadionul ion obeulremenko
broscăuți,브로스커우치,beuroseukeouci
plătărești,플러터레슈티,peulreoteoresyuti
mogoșoaia,모고쇼아이아,mogosyoaia
fly project,플라이 프로젝트,peulrai peurojegteu
halmeu,하르메우,hareumeu
palatul elisabeta,엘리사베타 궁전,elrisabeta gungjeon
relațiile românoucrainene,루마니아우크라이나 관계,rumaniaukeuraina gwangye
deveselu,데베셀루,debeselru
ilișești,일리셰슈티,ilrisyesyuti
bucharest,부쿠레슈티,bukuresyuti
constanţa,콘스탄차,konseutanca
timişoara,티미쇼아라,timisyoara
galaţi,갈라치,galraci
braşov,브라쇼브,beurasyobeu
europe,유럽,yureob
