angela merkel,앙겔라 메르켈,anggelra mereukel
eva mattes,에바 마테스,eba mateseu
karl kautsky,카를 카우츠키,kareul kauceuki
richard dehmel,리하르트 데멜,rihareuteu demel
johann deisenhofer,요한 다이젠호퍼,yohan daijenhopeo
miroslav klose,미로슬라프 클로제,miroseulrapeu keulroje
ralf moeller,랄프 묄러,ralpeu moelreo
oskar barnack,오스카 바르낙,oseuka bareunag
fritz gerlich,프리츠 게를리히,peuriceu gereulrihi
walther nehring,발터 네링,balteo nering
mesut özil,메수트 외질,mesuteu oejil
wilhelm redieß,빌헬름 레디스,bilhelreum rediseu
joseph keilberth,요제프 카일베르트,yojepeu kailbereuteu
wilhelm schepmann,빌헬름 셰프만,bilhelreum syepeuman
adolf strauß,아돌프 슈트라우스,adolpeu syuteurauseu
bernhard von sachsenweimar,베른하르트 폰 작센바이마르,bereunhareuteu pon jagsenbaimareu
percy adlon,퍼시 아들론,peosi adeulron
friedrich bergius,프리드리히 베르기우스,peurideurihi bereugiuseu
hans von eulerchelpin,한스 폰 오일러켈핀,hanseu pon oilreokelpin
otto diels,오토 딜스,oto dilseu
jürgen klopp,위르겐 클로프,wireugen keulropeu
stephan engels,슈테판 엥겔스,syutepan enggelseu
walter gropius,발터 그로피우스,balteo geuropiuseu
sebastian jung,제바스티안 융,jebaseutian yung
hermann prey,헤르만 프라이,hereuman peurai
sebastian münster,제바스티안 뮌스터,jebaseutian mwinseuteo
karl august wittfogel,카를 아우구스트 비트포겔,kareul auguseuteu biteupogel
carl friedländer,카를 프리들란더,kareul peurideulrandeo
luigi colani,루이지 꼴라니,ruiji ggolrani
hilde gerg,힐데 게르크,hilde gereukeu
josef bierbichler,요제프 비어비흘러,yojepeu bieobiheulreo
ludwig crüwell,루트비히 크뤼벨,ruteubihi keurwibel
karlwilhelm von schlieben,카를빌헬름 폰 슐리벤,kareulbilhelreum pon syulriben
karl ziegler,카를 치글러,kareul cigeulreo
robert huber,로베르트 후버,robereuteu hubeo
alfred naujocks,알프레트 나우요크스,alpeureteu nauyokeuseu
otto strasser,오토 슈트라서,oto syuteuraseo
karl böhm,카를 뵘,kareul boem
ingo steinhöfel,잉고 슈타인회펠,inggo syutainhoepel
peter hacks,페터 학스,peteo hagseu
wolfgang sawallisch,볼프강 자발리슈,bolpeugang jabalrisyu
friedrich hund,프리드리히 훈트,peurideurihi hunteu
barnaby metschurat,바르나비 메추라트,bareunabi mecurateu
angela schanelec,앙겔라 샤넬레크,anggelra syanelrekeu
jo weil,요 바일,yo bail
eva padberg,에바 파트베르크,eba pateubereukeu
ossi oswalda,오시 오스발다,osi oseubalda
birthe wolter,비르데 볼터,bireude bolteo
klaus tennstedt,클라우스 텐슈테트,keulrauseu tensyuteteu
devid striesow,데비드 슈트리조,debideu syuteurijo
nadja auermann,나댜 아우어만,nadya aueoman
baki davrak,바키 다브렉,baki dabeureg
markus babbel,마르쿠스 바벨,mareukuseu babel
hermann amandus schwarz,헤르만 아만두스 슈바르츠,hereuman amanduseu syubareuceu
petra kelly,페트라 켈리,peteura kelri
melitta bentz,멜리타 벤츠,melrita benceu
greta schröder,그레타 슈뢰더,geureta syuroedeo
christoph daum,크리스토프 다움,keuriseutopeu daum
dietrich von choltitz,디트리히 폰 콜티츠,diteurihi pon kolticeu
fredi bobic,프레디 보비치,peuredi bobici
hanshermann hoppe,한스헤르만 호페,hanseuhereuman hope
christian gentner,크리스티안 겐트너,keuriseutian genteuneo
felix hoffmann,펠릭스 호프만,pelrigseu hopeuman
laura berlin,로라 베를린,rora bereulrin
andrea berg,안드레아 베르크,andeurea bereukeu
ludwig prandtl,루트비히 프란틀,ruteubihi peuranteul
nastassja kinski,나스타샤 킨스키,naseutasya kinseuki
franz rosenzweig,프란츠 로젠츠바이크,peuranceu rojenceubaikeu
max wolf,막스 볼프,magseu bolpeu
matthias koeberlin,마티아스 쾨베를린,matiaseu koebereulrin
bahar kizil,바하르 크즐,bahareu keujeul
alexander schenk graf von stauffenberg,알렉산더 솅크 그라프 폰 슈타우펜베르크,alregsandeo syengkeu geurapeu pon syutaupenbereukeu
bernhard schlink,베른하르트 슐링크,bereunhareuteu syulringkeu
jawed karim,자베드 카림,jabedeu karim
nina hoss,니나 호스,nina hoseu
hermann graf,헤르만 그라프,hereuman geurapeu
karl lagerfeld,카를 라거펠트,kareul rageopelteu
claudia schiffer,클라우디아 시퍼,keulraudia sipeo
gisela hahn,기젤라 한,gijelra han
franz schafheitlin,프란츠 샤프하이틀린,peuranceu syapeuhaiteulrin
elisabeth schüssler fiorenza,엘리자베스 쉬슬러 피오렌자,elrijabeseu swiseulreo piorenja
hans robert jauß,한스 로베르트 야우스,hanseu robereuteu yauseu
gustaf gründgens,구스타프 그뤼드겐스,guseutapeu geurwideugenseu
johannes rydzek,요하네스 뤼트체크,yohaneseu rwiteucekeu
moritz von sachsen,모리스 드 삭스,moriseu deu sagseu
reinhart koselleck,라인하르트 코젤레크,rainhareuteu kojelrekeu
anton raphael mengs,안톤 라파엘 멩스,anton rapael mengseu
peter behrens,페터 베렌스,peteo berenseu
erich mendelsohn,에리히 멘델손,erihi mendelson
horst janson,호르스트 얀존,horeuseuteu yanjon
mario adorf,마리오 아도르프,mario adoreupeu
senna gammour,세나 그무르,sena geumureu
karl haushofer,카를 하우스호퍼,kareul hauseuhopeo
karl richter,칼 리히터,kal rihiteo
peter fechter,페터 페흐터,peteo peheuteo
suzanne von borsody,수잔 본 보소디,sujan bon bosodi
fabian hambüchen,파비안 함뷔헨,pabian hambwihen
johanna wokalek,요하나 보칼레크,yohana bokalrekeu
armin veh,아어민 페,aeomin pe
richard kroner,리처드 크로너,riceodeu keuroneo
johann tetzel,요한 테첼,yohan tecel
baldur von schirach,발두어 폰 시라흐,baldueo pon siraheu
friederike von hannover,프레데리케 폰 하노버,peurederike pon hanobeo
uwe boll,우베 볼,ube bol
jürgen prochnow,위르겐 프로흐노,wireugen peuroheuno
beno gutenberg,베노 구텐베르크,beno gutenbereukeu
tim borowski,팀 보로프스키,tim boropeuseuki
adolf dassler,아돌프 다슬러,adolpeu daseulreo
klaus schwab,클라우스 슈바프,keulrauseu syubapeu
alfred bucherer,알프레드 부헤러,alpeuredeu buhereo
matthias ettrich,마티아스 에트리히,matiaseu eteurihi
gerd binnig,게르트 비니히,gereuteu binihi
max delbrück,막스 델브뤼크,magseu delbeurwikeu
lothar wolleh,로타르 볼레,rotareu bolre
jürgen ehlers,위르겐 엘러스,wireugen elreoseu
brigitte helm,브리짓 헴,beurijis hem
karl mannheim,카를 만하임,kareul manhaim
max horkheimer,막스 호르크하이머,magseu horeukeuhaimeo
johann georg faust,요한 게오르크 파우스트,yohan georeukeu pauseuteu
karltheodor zu guttenberg,카를테오도어 추 구텐베르크,kareulteodoeo cu gutenbereukeu
petra dallmann,페트라 달만,peteura dalman
gottfried böhm,고트프리트 뵘,goteupeuriteu boem
philipp boy,필리프 보이,pilripeu boi
frank appel,프랑크 아펠,peurangkeu apel
christoph waltz,크리스토프 발츠,keuriseutopeu balceu
hans werner henze,한스 베르너 헨체,hanseu bereuneo hence
albrecht alt,알브레흐트 알트,albeureheuteu alteu
monika sozanska,모니카 조찬스카,monika jocanseuka
wolfhart pannenberg,볼프하르트 판넨베르크,bolpeuhareuteu pannenbereukeu
julian schieber,율리안 쉬버,yulrian swibeo
tobias schenke,토비아스 솅케,tobiaseu syengke
martin lanig,마틴 라니히,matin ranihi
sami allagui,사미 알라구이,sami alragui
florian david fitz,플로리안 다비트 피츠,peulrorian dabiteu piceu
franz boas,프란츠 보아스,peuranceu boaseu
marcel nguyen,마르셀 응우옌,mareusel eunguyen
mohamed zidan,무함마드 지단,muhammadeu jidan
andreas baader,안드레아스 바더,andeureaseu badeo
otto kumm,오토 쿰,oto kum
dieter althaus,디터 알트하우스,diteo alteuhauseu
conrad böcker,콘라트 뵈커,konrateu boekeo
wilhelm frick,빌헬름 프리크,bilhelreum peurikeu
dieter bohlen,디터 볼렌,diteo bolren
august von mackensen,아우구스트 폰 마켄젠,auguseuteu pon makenjen
eberhard jüngel,에베하르드 융엘,ebehareudeu yungel
johannes steinhoff,요하네스 슈타인호프,yohaneseu syutainhopeu
gert fröbe,게르트 프뢰베,gereuteu peuroebe
hans werner richter,한스 베르너 리히터,hanseu bereuneo rihiteo
ralf dahrendorf,랄프 다렌도르프,ralpeu darendoreupeu
bernd kannenberg,베른트 카넨베르크,bereunteu kanenbereukeu
gottfried john,고트프리트 욘,goteupeuriteu yon
karl löwith,카를 뢰비트,kareul roebiteu
heinrich rickert,하인리히 리케르트,hainrihi rikereuteu
briana banks,브리애나 뱅크스,beuriaena baengkeuseu
august sander,아우구스트 잔더,auguseuteu jandeo
herta oberheuser,헤르타 오버호이저,hereuta obeohoijeo
jakob böhme,야코프 뵈메,yakopeu boeme
herbert seifert,헤르베르트 자이페르트,hereubereuteu jaipereuteu
curt lowens,커트 로웬스,keoteu rowenseu
ernst von wolzogen,에른스트 폰 볼초겐,ereunseuteu pon bolcogen
bernd brunnhofer,베른트 브룬호퍼,bereunteu beurunhopeo
emilia schüle,에밀리아 슐레,emilria syulre
norbert elias,노르베르트 엘리아스,noreubereuteu elriaseu
rudolf höß,루돌프 회스,rudolpeu hoeseu
selma ergeç,셀마 에르게치,selma ereugeci
michael cretu,마이클 크레투,maikeul keuretu
sylvia nasar,실비아 나사르,silbia nasareu
julius streicher,율리우스 슈트라이허,yulriuseu syuteuraiheo
ben,벤,ben
mayer amschel rothschild,마이어 암셀 로트실트,maieo amsel roteusilteu
maria antonia von bayern,마리아 안토니아 폰 바이에른,maria antonia pon baiereun
helmuth rilling,헬무트 릴링,helmuteu rilring
gökhan töre,괴크한 퇴레,goekeuhan toere
mirko slomka,미르코 슬롬카,mireuko seulromka
rudolf heß,루돌프 헤스,rudolpeu heseu
tomasz wałdoch,토마시 바우도흐,tomasi baudoheu
moses mendelssohn,모제스 멘델스존,mojeseu mendelseujon
fritz fischer,프리츠 피셔,peuriceu pisyeo
wilhelm wundt,빌헬름 분트,bilhelreum bunteu
walter gotell,발터 고텔,balteo gotel
nico rosberg,니코 로스베르크,niko roseubereukeu
dietrich fischerdieskau,디트리히 피셔디스카우,diteurihi pisyeodiseukau
karl wilhelm reinmuth,카를 빌헬름 라인무트,kareul bilhelreum rainmuteu
simon grynaeus,사이먼 그리네우스,saimeon geurineuseu
anke engelke,앙케 엥겔케,angke enggelke
paul van dyk,파울 반 디크,paul ban dikeu
hermann simon,헤르만 지몬,hereuman jimon
jürgen neukirch,위르겐 노이키르히,wireugen noikireuhi
felix wankel,펠릭스 방켈,pelrigseu bangkel
karl brugmann,카를 브루크만,kareul beurukeuman
clara zetkin,클라라 체트킨,keulrara ceteukin
thomas jahn,토마스 얀,tomaseu yan
meryem uzerli,메리엠 우제를리,meriem ujereulri
richard kruspe,리하르트 크루스페,rihareuteu keuruseupe
oceana,오세아나,oseana
arnold gehlen,아르놀트 겔렌,areunolteu gelren
fatih akin,파티흐 아킨,patiheu akin
harald zur hausen,하랄트 추어 하우젠,haralteu cueo haujen
bert sakmann,베르트 자크만,bereuteu jakeuman
arnold sommerfeld,아르놀트 조머펠트,areunolteu jomeopelteu
uwe johnson,우베 욘존,ube yonjon
maren eggert,마렌 에거트,maren egeoteu
lilli lehmann,릴리 레만,rilri reman
uwe timm,우베 팀,ube tim
hans speidel,한스 슈파이델,hanseu syupaidel
nuri şahin,누리 샤힌,nuri syahin
lena goeßling,레나 괴슬링,rena goeseulring
klaus barbie,클라우스 바르비,keulrauseu bareubi
fritz sauckel,프리츠 자우켈,peuriceu jaukel
karl brandt,카를 브란트,kareul beuranteu
herbert wehner,헤르베르트 베너,hereubereuteu beneo
hartmut michel,하르트무트 미헬,hareuteumuteu mihel
katharina schmid,카타리나 슈미트,katarina syumiteu
friedrich von huene,프리드리히 폰 후에네,peurideurihi pon huene
detlef schrempf,데틀레프 슈렘프,deteulrepeu syurempeu
christian oliver,크리스티안 올리버,keuriseutian olribeo
cosma shiva hagen,코스마 시바 하겐,koseuma siba hagen
fritz albert lipmann,프리츠 앨버트 리프만,peuriceu aelbeoteu ripeuman
max schmeling,막스 슈멜링,magseu syumelring
ludwig stumpfegger,루트비히 슈툼페거,ruteubihi syutumpegeo
oliver grau,올리버 그라우,olribeo geurau
reinhold mack,라인홀트 맥,rainholteu maeg
johanna quandt,요한나 크반트,yohanna keubanteu
karl liebknecht,카를 리프크네히트,kareul ripeukeunehiteu
rudolf martin,루돌프 마틴,rudolpeu matin
kurt lewin,쿠르트 레빈,kureuteu rebin
ernst heinkel,에른스트 하인켈,ereunseuteu hainkel
carl ludwig siegel,카를 루트비히 지겔,kareul ruteubihi jigel
hans münch,한스 뮌히,hanseu mwinhi
christian lindner,크리스티안 린트너,keuriseutian rinteuneo
gerd faltings,게르트 팔팅스,gereuteu paltingseu
matthäus zell,마테우스 젤,mateuseu jel
richard röstel,리하르트 뢰스텔,rihareuteu roeseutel
walther meißner,발터 마이스너,balteo maiseuneo
mary wigman,마리 비그만,mari bigeuman
wilhelm maybach,빌헬름 마이바흐,bilhelreum maibaheu
kati wilhelm,카티 빌헬름,kati bilhelreum
julie engelbrecht,줄리 엥겔브레히트,julri enggelbeurehiteu
max dehn,막스 덴,magseu den
rudolf peierls,루돌프 파이얼스,rudolpeu paieolseu
kurt hensel,쿠르트 헨젤,kureuteu henjel
friedrich hirzebruch,프리드리히 히르체브루흐,peurideurihi hireucebeuruheu
thomas anders,토마스 안더스,tomaseu andeoseu
leo strauss,레오 스트라우스,reo seuteurauseu
carl schmitt,카를 슈미트,kareul syumiteu
tilemann hesshus,틸레만 헤수시우스,tilreman hesusiuseu
pascual jordan,파스쿠알 요르단,paseukual yoreudan
helmut hasse,헬무트 하세,helmuteu hase
ermin bičakčić,에르민 비착치치,ereumin bicagcici
georg wittig,게오르크 비티히,georeukeu bitihi
hugo meurer,후고 모이러,hugo moireo
boris kerner,보리스 커너,boriseu keoneo
julia klöckner,율리아 클뢰크너,yulria keulroekeuneo
alice orlowski,알리체 오를로브슈키,alrice oreulrobeusyuki
otto loewi,오토 뢰비,oto roebi
christiane nüssleinvolhard,크리스티아네 뉘슬라인폴하르트,keuriseutiane nwiseulrainpolhareuteu
angelique kerber,안젤리크 케르버,anjelrikeu kereubeo
wilhelm cuno,빌헬름 쿠노,bilhelreum kuno
annika beck,아니카 베크,anika bekeu
constantin fehrenbach,콘스탄틴 페렌바흐,konseutantin perenbaheu
wilhelm marx,빌헬름 마르크스,bilhelreum mareukeuseu
emil jannings,에밀 야닝스,emil yaningseu
maria simon,마리아 지몬,maria jimon
manfred weber,만프레트 베버,manpeureteu bebeo
silke bodenbender,질케 보덴벤더,jilke bodenbendeo
ernst david bergmann,에른스트 데이비드 버그만,ereunseuteu deibideu beogeuman
nicolas berggruen,니콜라스 베르그루엔,nikolraseu bereugeuruen
wolfgang stumph,볼프강 슈툼프,bolpeugang syutumpeu
horst schnellhardt,호르스트 슈넬하르트,horeuseuteu syunelhareuteu
petra pau,페트라 파우,peteura pau
sahra wagenknecht,자라 바겐크네히트,jara bagenkeunehiteu
otto wernicke,오토 베르니케,oto bereunike
janosch,야노쉬,yanoswi
otto grotewohl,오토 그로테볼,oto geurotebol
ferdy mayne,페르디 마이네,pereudi maine
jie schöpp,제 쇼프,je syopeu
kai wiesinger,카이 비징거,kai bijinggeo
julia fischer,율리아 피셔,yulria pisyeo
michael mendl,미하엘 멘들,mihael mendeul
franzbenno delonge,프란츠베노 델롱게,peuranceubeno delrongge
georg elser,게오르크 엘저,georeukeu eljeo
johannes bugenhagen,요하네스 부겐하겐,yohaneseu bugenhagen
lafee,라피,rapi
heinrich heppe,하인리히 헤페,hainrihi hepe
karl fritzsch,카를 프리츠슈,kareul peuriceusyu
regina von sachsenmeiningen,레기나 폰 작센마이닝겐,regina pon jagsenmaininggen
hardy krüger,하르디 크뤼거,hareudi keurwigeo
waldemar kobus,발데마르 코부스,baldemareu kobuseu
guido buchwald,기도 부흐발트,gido buheubalteu
helmut jahn,헬무트 얀,helmuteu yan
heinz reincke,하인츠 라인케,hainceu rainke
leopold von wiese,레오폴트 폰 비제,reopolteu pon bije
klaus koch,클라우스 코흐,keulrauseu koheu
peter joppich,페터 요피히,peteo yopihi
abdul ahad momand,압둘 아하드 모만드,abdul ahadeu momandeu
rangin dadfar spanta,랑긴 다드파르 스판타,ranggin dadeupareu seupanta
benjamin kleibrink,베냐민 클라이브링크,benyamin keulraibeuringkeu
johann liechtenauer,요하네스 리히테나워,yohaneseu rihitenaweo
christine lieberknecht,크리스티네 리베르크네히트,keuriseutine ribereukeunehiteu
michael kessler,미하엘 케슬러,mihael keseulreo
wolfgang heinz,볼프강 하인츠,bolpeugang hainceu
oskar morgenstern,오스카르 모르겐슈테른,oseukareu moreugensyutereun
marianne koch,마리안느 코흐,marianneu koheu
hans peter hallwachs,한스 피터 홀워치,hanseu piteo holweoci
doris kunstmann,도리스 컨스트먼,doriseu keonseuteumeon
stefan hell,슈테판 헬,syutepan hel
helmut losch,헬무트 로슈,helmuteu rosyu
aniela jaffé,아니엘라 야페,anielra yape
carl joachim friedrich,칼 조아킴 프리드릭,kal joakim peurideurig
julia stegner,율리아 슈테그너,yulria syutegeuneo
lena gercke,레나 게르케,rena gereuke
dagmar lassander,다그머 라샌더,dageumeo rasaendeo
andré weßels,안드레 베셀스,andeure beselseu
helmut schoeck,헬무트 쉐크,helmuteu swekeu
tankred dorst,탕크레트 도르스트,tangkeureteu doreuseuteu
hans carossa,한스 카로사,hanseu karosa
ariadne von schirach,아리아드네 폰 시라흐,ariadeune pon siraheu
max noether,막스 뇌터,magseu noeteo
hans freudenthal,한스 프로이덴탈,hanseu peuroidental
karin baal,카린 발,karin bal
simon von utrecht,시몬 판 위트레흐트,simon pan witeureheuteu
gisela oeri,기젤라 오에리,gijelra oeri
karl groos,카를 그로스,kareul geuroseu
barbara krause,바르바라 크라우제,bareubara keurauje
hans imhoff,한스 임호프,hanseu imhopeu
laura tonke,라우라 통케,raura tongke
jasmin gerat,야스민 게라트,yaseumin gerateu
richard rado,리하르트 라도,rihareuteu rado
maria margaretha kirch,마리아 마가레테 키르히,maria magarete kireuhi
ida noddack,이다 노다크,ida nodakeu
jacob matschenz,야코프 마트셴츠,yakopeu mateusyenceu
maren ade,마렌 아데,maren ade
sven martinek,스벤 마르티네크,seuben mareutinekeu
margret göbl,마르그레트 괴블,mareugeureteu goebeul
fritz wepper,프리츠 웨퍼,peuriceu wepeo
elmar wepper,엘마어 베퍼,elmaeo bepeo
karin schubert,카린 슈베르트,karin syubereuteu
sandy mölling,샌디 묄링,saendi moelring
sergej moya,세르게이 모야,sereugei moya
roland schimmelpfennig,롤란트 시멜페니히,rolranteu simelpenihi
uli edel,울리 에델,ulri edel
friedrich julius rosenbach,프리드리히 율리우스 로젠바흐,peurideurihi yulriuseu rojenbaheu
odisseas vlachodimos,오디세아스 블라호디모스,odiseaseu beulrahodimoseu
thomas fritsch,토마스 프리치,tomaseu peurici
wolf roth,볼프 로트,bolpeu roteu
egon schultz,에곤 슐츠,egon syulceu
matthias hues,매티아스 휴즈,maetiaseu hyujeu
karl bücher,카를 뷔허,kareul bwiheo
albert eichhorn,알버트 아이크혼,albeoteu aikeuhon
rudolf haag,루돌프 하크,rudolpeu hakeu
fahriye evcen,파흐리예 에브젠,paheuriye ebeujen
sara nuru,자라 누루,jara nuru
hannes jaenicke,하네스 예니케,haneseu yenike
ralf richter,랄프 리츠터,ralpeu riceuteo
anna thalbach,안나 탈바히,anna talbahi
ruth moufang,루트 무팡,ruteu mupang
siegfried arno,지크 아르노,jikeu areuno
natalia avelon,나탈리아 아벨론,natalria abelron
georg braun,게오르크 브라운,georeukeu beuraun
alexandra neldel,알렉산드라 넬델,alregsandeura neldel
georg knöpfle,게오르크 뇌플레,georeukeu noepeulre
hannelore elsner,하넬로레 엘스너,hanelrore elseuneo
maria furtwängler,마리아 푸르트벵글러,maria pureuteubenggeulreo
alexander fehling,알렉산더 펠링,alregsandeo pelring
lisa martinek,리사 마르티네크,risa mareutinekeu
gerhard kittel,게르하르트 키텔,gereuhareuteu kitel
helmut thielicke,헬무트 틸리케,helmuteu tilrike
philipp tanzer,로건 매크리,rogeon maekeuri
philip wiegratz,필리프 비그라츠,pilripeu bigeuraceu
hans grimm,한스 그림,hanseu geurim
carolin golubytskyi,카롤린 골루비츠키,karolrin golrubiceuki
hans erich nossack,한스 에리히 노사크,hanseu erihi nosakeu
peter carsten,페터 카르스텐,peteo kareuseuten
chalid arrab,할리드 아랍,halrideu arab
siriusmo,시리우즈모,siriujeumo
ernst von beling,에른스트 폰 벨링,ereunseuteu pon belring
hans welzel,한스 벨첼,hanseu belcel
hans richterhaaser,한스 리히터하저,hanseu rihiteohajeo
ben becker,벤 베커,ben bekeo
david pareus,데이빗 파레우스,deibis pareuseu
ulrich noethen,울리히 뇌텐,ulrihi noeten
saskia vester,사스키아 베스터,saseukia beseuteo
uwe potteck,우베 포테크,ube potekeu
thor freudenthal,토어 프로이덴탈,toeo peuroidental
karl jansen,카를 얀센,kareul yansen
norbert vollertsen,노르베르트 폴러첸,noreubereuteu polreocen
konrad von hochstaden,콘라트 폰 호흐슈타덴,konrateu pon hoheusyutaden
günther weisenborn,귄터 바이젠보른,gwinteo baijenboreun
hugo friedrich,후고 프리드리히,hugo peurideurihi
wilhelm meisel,빌헬름 마이젤,bilhelreum maijel
michael michalsky,미하엘 미할스키,mihael mihalseuki
eva löbau,에바 뢰바우,eba roebau
reinhard goering,라인하르트 괴링,rainhareuteu goering
carina vogt,카리나 포크트,karina pokeuteu
lena stolze,레나 스톨즈,rena seutoljeu
peter florin,페터 플로린,peteo peulrorin
volker spengler,폴커 슈펭글러,polkeo syupenggeulreo
antonio rüdiger,안토니오 뤼디거,antonio rwidigeo
ida siekmann,이다 지크만,ida jikeuman
waldemar steffen,발데마르 슈테펜,baldemareu syutepen
stephan feck,슈테판 펙,syutepan peg
jürgen fehling,위르겐 펠링,wireugen pelring
eugen hadamovsky,오이겐 하다모프스키,oigen hadamopeuseuki
julius wolff,줄리어스 울프,julrieoseu ulpeu
olga costa,올가 코스타,olga koseuta
kurt hoffmann,쿠르트 호프만,kureuteu hopeuman
anton schnack,안톤 슈나크,anton syunakeu
heinar kipphardt,하이나르 키프하르트,hainareu kipeuhareuteu
hansgeorg pflaum,한스게오르크 플라움,hanseugeoreukeu peulraum
sandra borgmann,잔드라 보르크만,jandeura boreukeuman
thomas thieme,토마스 티메,tomaseu time
joachim kaiser,요아힘 카이저,yoahim kaijeo
kurt fricke,쿠르트 프리케,kureuteu peurike
heinz hoenig,하인츠 회니히,hainceu hoenihi
rainer zitelmann,라이너 치텔만,raineo citelman
karl holl,칼 홀,kal hol
inka friedrich,잉카 프리드리히,ingka peurideurihi
luna schweiger,루나 슈바이거,runa syubaigeo
jasmin schwiers,야스민 슈비어스,yaseumin syubieoseu
marion freisler,마리온 프라이슬러,marion peuraiseulreo
hanno koffler,하노 코플러,hano kopeulreo
kaaren verne,카렌 베른,karen bereun
kristin lang,크리스틴 질버아이젠,keuriseutin jilbeoaijen
pheline roggan,펠리네 로간,pelrine rogan
alfred hause,알프레드 하우제,alpeuredeu hauje
wolfgang mischnick,볼프강 미슈니크,bolpeugang misyunikeu
palina rojinski,팔리나 로진스키,palrina rojinseuki
nele neuhaus,넬레 노이하우스,nelre noihauseu
anna brüggemann,아나 브뤼게만,ana beurwigeman
rufus beck,루푸스 베크,rupuseu bekeu
sonja gerhardt,소냐 게르하르트,sonya gereuhareuteu
david scheller,다비트 셸러,dabiteu syelreo
ellen schwiers,엘렌 슈비르스,elren syubireuseu
mark waschke,마르크 바슈케,mareukeu basyuke
ilse heß,일제 헤스,ilje heseu
hilmi sözer,힐마이 소제르,hilmai sojereu
tayfun bademsoy,타이푼 바뎀소이,taipun bademsoi
hans bender,한스 벤더,hanseu bendeo
annkathrin kramer,안카트린 크라머,ankateurin keurameo
karl graul,카를 그라울,kareul geuraul
marie bäumer,마리 보이머,mari boimeo
gesine cukrowski,게지네 추크로프스키,gejine cukeuropeuseuki
petra schmidtschaller,페트라 슈미트샬러,peteura syumiteusyalreo
stefanie stappenbeck,슈테파니 슈타펜베크,syutepani syutapenbekeu
albrecht fölsing,알브레히트 푈싱,albeurehiteu poelsing
caroline peters,카롤리네 페터스,karolrine peteoseu
bernadette heerwagen,베르나데테 헤어바겐,bereunadete heeobagen
edda göring,에다 괴링,eda goering
tristano casanova,트리스타노 카사노바,teuriseutano kasanoba
maike kohlrichter,마이케 콜리히터,maike kolrihiteo
rebecca immanuel,레베카 이마누엘,rebeka imanuel
peter scholze,페터 숄체,peteo syolce
dominic raacke,도미니크 라케,dominikeu rake
pegah ferydoni,페가 페리도니,pega peridoni
martin bojowald,마틴 보조발트,matin bojobalteu
brigitte grothum,브리기테 그로툼,beurigite geurotum
anna bederke,아나 베데르케,ana bedereuke
thomas südhof,토마스 쥐트호프,tomaseu jwiteuhopeu
frederik wiedmann,프레데리크 비트만,peurederikeu biteuman
kristian kiehling,크리스티안 킬링,keuriseutian kilring
maren kroymann,마렌 크로이만,maren keuroiman
hans egon holthusen,한스 에곤 홀투젠,hanseu egon holtujen
gustav kleikamp,구스타프 클라이캄프,guseutapeu keulraikampeu
hito steyerl,히토 슈타이얼,hito syutaieol
hans maaß,한스 마스,hanseu maseu
stefan lippe,슈테판 리페,syutepan ripe
erich von holst,에리히 폰 홀스트,erihi pon holseuteu
gerard salton,제라드 솔튼,jeradeu solteun
susan hoecke,수산 호이케,susan hoike
roger fritz,로거 프리츠,rogeo peuriceu
björn hübner,뵈른 휘브너,boereun hwibeuneo
adnan maral,아드난 마랄,adeunan maral
wilma elles,빌마 엘르,bilma elreu
rosalie thomass,로잘리 토마스,rojalri tomaseu
mina tander,미나 탄더,mina tandeo
siegfried rauch,지크프리트 라우흐,jikeupeuriteu rauheu
janina fautz,야니나 파우츠,yanina pauceu
jochen nickel,요헨 니켈,yohen nikel
dietmar bartsch,디트마어 바어치,diteumaeo baeoci
joe kaeser,요제프 코저,yojepeu kojeo
jutta hoffmann,유타 호프만,yuta hopeuman
ursula werner,우르줄라 베르너,ureujulra bereuneo
christian wunderlich,크리스티안 분더리히,keuriseutian bundeorihi
axel prahl,엑셀 프랄,egsel peural
gustav stresemann,구스타프 슈트레제만,guseutapeu syuteurejeman
peter bürger,페터 뷔르거,peteo bwireugeo
christian doermer,크리스티안 되르머,keuriseutian doereumeo
johann gottlieb fichte,요한 고틀리프 피히테,yohan goteulripeu pihite
heinrich rombach,하인리히 롬바흐,hainrihi rombaheu
fabian busch,파비안 부슈,pabian busyu
isabella laböck,이자벨라 라뵈크,ijabelra raboekeu
axel milberg,악셀 밀베르크,agsel milbereukeu
karl lauterbach,카를 라우터바흐,kareul rauteobaheu
andreas schmidt,안드레아스 슈미트,andeureaseu syumiteu
ricardo eichmann,리카르도 아이히만,rikareudo aihiman
heinrich vogt,하인리히 보그트,hainrihi bogeuteu
benjamin list,베냐민 리스트,benyamin riseuteu
miriam morgenstern,미리암 모르겐슈테른,miriam moreugensyutereun
fabian hinrichs,파비안 힌리히스,pabian hinrihiseu
anna fischer,아나 피셔,ana pisyeo
kurt kreuger,커트 크루거,keoteu keurugeo
burkhard driest,부르크하르트 드리스트,bureukeuhareuteu deuriseuteu
ottmar edenhofer,오트마르 에덴호퍼,oteumareu edenhopeo
gerda bormann,게르다 보어만,gereuda boeoman
ricarda multerer,리카르다 물테러,rikareuda multereo
alexandra bujdosó,알렉산드라 부이도소,alregsandeura buidoso
patrick süskind,파트리크 쥐스킨트,pateurikeu jwiseukinteu
simone thomalla,시모네 토말라,simone tomalra
