кирилл,基里尔,jī lǐ ěr
серпухов,谢尔普霍夫,xiè ěr pǔ huò fū
сенгилей,先吉列伊,xiān jí liè yī
голышманово,戈雷什马诺沃,gē léi shén mǎ nuò wò
маяк,马雅克生产联合体,mǎ yǎ kè shēng chǎn lián hé tǐ
екатериноградская,叶卡捷琳诺格勒茨卡亚,yè kǎ jié lín nuò gé lè cí kǎ yà
атамановка,阿塔马诺夫卡,ā tǎ mǎ nuò fū kǎ
известия,消息报,xiāo xī bào
сестрорецк,谢斯特罗列茨克,xiè sī tè luó liè cí kè
сибай,锡拜,xī bài
морки,莫尔基,mò ěr jī
тымовское,特莫夫斯科耶,tè mò fū sī kē yē
сковородино,斯科沃罗季诺,sī kē wò luó jì nuò
сим,锡姆,xī mǔ
скопин,斯科平,sī kē píng
славгород,斯拉夫哥罗德,sī lā fū gē luó dé
некрасовское,涅克拉索夫斯科耶,niè kè lā suǒ fū sī kē yē
славск,斯拉夫斯克,sī lā fū sī kè
халхамонголы,喀尔喀蒙古族,kā ěr kā měng gǔ zú
ягодное,亚戈德诺耶,yà gē dé nuò yē
вулканный,武尔坎内,wǔ ěr kǎn nèi
томаровка,托马罗夫卡,tuō mǎ luó fū kǎ
собинка,索宾卡,suǒ bīn kǎ
слободской,斯洛博茨科伊,sī luò bó cí kē yī
важины,瓦日内,wǎ rì nèi
славянскнакубани,库班河畔斯拉维扬斯克,kù bān hé pàn sī lā wéi yáng sī kè
снежинск,斯涅任斯克,sī niè rèn sī kè
снежногорск,斯涅日诺戈尔斯克,sī niè rì nuò gē ěr sī kè
соликамск,索利卡姆斯克,suǒ lì kǎ mǔ sī kè
солигалич,索利加利奇,suǒ lì jiā lì qí
солнечногорск,索尔涅奇诺戈尔斯克,suǒ ěr niè qí nuò gē ěr sī kè
сольилецк,索利伊列茨克,suǒ lì yī liè cí kè
рефтинский,列夫京斯基,liè fū jīng sī jī
горячеводский,戈里亚切沃茨基,gē lǐ yà qiè wò cí jī
советский,苏维埃茨基,sū wéi āi cí jī
сокол,索科尔,suǒ kē ěr
таннуола,唐努乌拉山,táng nǔ wū lā shān
разумное,拉祖姆诺耶,lā zǔ mǔ nuò yē
петровское,彼得罗夫斯科耶,bǐ dé luó fū sī kē yē
оссора,奥索拉,ào suǒ lā
омсукчан,奥姆苏克昌,ào mǔ sū kè chāng
пролетарский,普罗列塔尔斯基,pǔ luó liè tǎ ěr sī jī
сольвычегодск,索利维切戈茨克,suǒ lì wéi qiè gē cí kè
сольцы,索利齐,suǒ lì qí
сорочинск,索罗钦斯克,suǒ luó qīn sī kè
сорск,索尔斯克,suǒ ěr sī kè
сосновка,索斯诺夫卡,suǒ sī nuò fū kǎ
сортавала,索尔塔瓦拉,suǒ ěr tǎ wǎ lā
сосенский,索先斯基,suǒ xiān sī jī
сосновоборск,索斯诺沃博尔斯克,suǒ sī nuò wò bó ěr sī kè
спасдеменск,斯帕斯杰缅斯克,sī pà sī jié miǎn sī kè
сосногорск,索斯诺戈尔斯克,suǒ sī nuò gē ěr sī kè
спасскрязанский,斯帕斯克梁赞斯基,sī pà sī kè liáng zàn sī jī
среднеколымск,中科雷姆斯克,zhōng kē léi mǔ sī kè
междуреченский,梅日杜列琴斯基,méi rì dù liè qín sī jī
верхнеднепровский,上第聂伯罗夫斯基,shàng dì niè bǎi luó fū sī jī
сокольники,索科尔尼基,suǒ kē ěr ní jī
знаменка,兹纳缅卡,zī nà miǎn kǎ
дедовичи,杰多维奇,jié duō wéi qí
привольное,普里沃利诺耶,pǔ lǐ wò lì nuò yē
ровеньки,罗韦尼基,luó wéi ní jī
среднеуральск,中乌拉尔斯克,zhōng wū lā ěr sī kè
сретенск,斯列坚斯克,sī liè jiān sī kè
спасск,斯帕斯克,sī pà sī kè
спасскдальний,斯帕斯克达利尼,sī pà sī kè dá lì ní
спасклепики,斯帕斯克列皮基,sī pà sī kè liè pí jī
стародуб,斯塔罗杜布,sī tǎ luó dù bù
старица,斯塔里察,sī tǎ lǐ chá
устьбаргузин,乌斯季巴尔古津,wū sī jì bā ěr gǔ jīn
кызылмажалык,克孜勒马扎雷克,kè zī lè mǎ zhá léi kè
мемориал,纪念,jì niàn
талица,塔利察,tǎ lì chá
талдом,塔尔多姆,tǎ ěr duō mǔ
чернышевский,车尔尼雪夫斯基,chē ěr ní xuě fū sī jī
тура,图拉,tú lā
лальск,拉利斯克,lā lì sī kè
щёлкино,晓尔基诺,xiǎo ěr jī nuò
стерлитамак,斯捷尔利塔马克,sī jié ěr lì tǎ mǎ kè
камень,卡梅尼火山,kǎ méi ní huǒ shān
кулой,库洛伊,kù luò yī
ступино,斯图皮诺,sī tú pí nuò
струнино,斯特鲁尼诺,sī tè lǔ ní nuò
суворов,苏沃洛夫,sū wò luò fū
хасан,哈桑,hā sāng
палех,帕列赫,pà liè hè
тиличики,季利奇基,jì lì qí jī
никель,尼克尔,ní kè ěr
шипицыно,希皮齐诺,xī pí qí nuò
приобье,普里鄂毕耶,pǔ lǐ è bì yē
пластун,普拉斯通,pǔ lā sī tōng
запрудня,扎普鲁德尼亚,zhā pǔ lǔ dé ní yà
тайга,泰加,tài jiā
тавда,塔夫达,tǎ fū dá
сычёвка,瑟乔夫卡,sè qiáo fū kǎ
сысерть,瑟谢尔季,sè xiè ěr jì
сусуман,苏苏曼,sū sū màn
сухиничи,苏希尼奇,sū xī ní qí
тайшет,泰舍特,tài shè tè
талнах,塔尔纳赫,tǎ ěr nà hè
таруса,塔鲁萨,tǎ lǔ sà
таштагол,塔什塔戈尔,tǎ shén tǎ gē ěr
татарск,鞑靼斯克,dá dá sī kè
орджоникидзе,奥尔忠尼启则,ào ěr zhōng ní qǐ zé
волоконовка,沃洛科诺夫卡,wò luò kē nuò fū kǎ
петровичи,彼得罗维奇,bǐ dé luó wéi qí
алискерово,阿利斯克罗沃,ā lì sī kè luó wò
судогда,苏多格达,sū duō gé dá
суоярви,苏奥耶尔维,sū ào yē ěr wéi
печенга,佩琴加,pèi qín jiā
полазна,波拉兹纳,bō lā zī nà
судиславль,苏季斯拉夫尔,sū jì sī lā fū ěr
сураж,苏拉日,sū lā rì
сурск,苏尔斯克,sū ěr sī kè
суровикино,苏罗维基诺,sū luó wéi jī nuò
приводино,普里沃季诺,pǔ lǐ wò jì nuò
власиха,弗拉西哈,fú lā xī hā
тара,塔拉,tǎ lā
таркосале,塔尔科萨列,tǎ ěr kē sà liè
кольцово,科利佐沃,kē lì zuǒ wò
смирных,斯米尔内赫,sī mǐ ěr nèi hè
обозерский,奥博泽尔斯基,ào bó zé ěr sī jī
букачача,布卡恰恰,bù kǎ qià qià
савинский,萨温斯基,sà wēn sī jī
теберда,捷别尔达,jié bié ěr dá
тейково,捷伊科沃,jié yī kē wò
темников,捷姆尼科夫,jié mǔ ní kē fū
терек,捷列克,jié liè kè
тетюши,捷秋希,jié qiū xī
бискамжа,比斯卡姆扎,bǐ sī kǎ mǔ zhā
наши,纳什,nà shén
биракан,比拉坎,bǐ lā kǎn
озёрный,奥焦尔内,ào jiāo ěr nèi
селенгинск,色楞金斯克,sè léng jīn sī kè
васильево,瓦西里耶沃,wǎ xī lǐ yē wò
провидения,普罗维杰尼亚,pǔ luó wéi jié ní yà
панковка,潘科夫卡,pān kē fū kǎ
тимашёвск,季马绍夫斯克,jì mǎ shào fū sī kè
тихорецк,季霍列茨克,jì huò liè cí kè
тогучин,托古钦,tuō gǔ qīn
томари,托马里,tuō mǎ lǐ
торжок,托尔若克,tuō ěr ruò kè
топки,托普基,tuō pǔ jī
томмот,托莫特,tuō mò tè
троицк,特罗伊茨克,tè luó yī cí kè
туапсе,图阿普谢,tú ā pǔ xiè
трубчевск,特鲁布切夫斯克,tè lǔ bù qiè fū sī kè
тюкалинск,秋卡林斯克,qiū kǎ lín sī kè
уварово,乌瓦罗沃,wū wǎ luó wò
углегорск,乌格列戈尔斯克,wū gé liè gē ěr sī kè
углич,乌格利奇,wū gé lì qí
удачный,乌达奇内,wū dá qí nèi
удомля,乌多姆利亚,wū duō mǔ lì yà
ужур,乌茹尔,wū rú ěr
усолье,乌索利耶,wū suǒ lì yē
усмань,乌斯曼,wū sī màn
нахабино,纳哈比诺,nà hā bǐ nuò
вычегодский,维切戈茨基,wéi qiè gē cí jī
нижнеангарск,下安加尔斯克,xià ān jiā ěr sī kè
большеречье,大列奇耶,dà liè qí yē
кадуй,卡杜伊,kǎ dù yī
заводской,扎沃茨科伊,zhā wò cí kē yī
уссурийск,双城子,shuāng chéng zǐ
усольесибирское,西伯利亚乌索利耶,xī bǎi lì yà wū suǒ lì yē
устьилимск,乌斯季伊利姆斯克,wū sī jì yī lì mǔ sī kè
устьджегута,乌斯季杰古塔,wū sī jì jié gǔ tǎ
устькатав,乌斯季卡塔夫,wū sī jì kǎ tǎ fū
благовещенка,布拉戈维申卡,bù lā gē wéi shēn kǎ
медведево,梅德韦杰沃,méi dé wéi jié wò
навля,纳夫利亚,nà fū lì yà
сеймчан,谢伊姆昌,xiè yī mǔ chāng
эвенск,埃文斯克,āi wén sī kè
холмск,霍尔姆斯克,huò ěr mǔ sī kè
хотьково,霍季科沃,huò jì kē wò
цивильск,齐维利斯克,qí wéi lì sī kè
уяр,乌亚尔,wū yà ěr
учалы,乌恰雷,wū qià léi
харовск,哈罗夫斯克,hā luó fū sī kè
фурманов,富尔马诺夫,fù ěr mǎ nuò fū
харабали,哈拉巴利,hā lā bā lì
фокино,福基诺,fú jī nuò
фатеж,法捷日,fǎ jié rì
фролово,弗罗洛沃,fú luó luò wò
фрязино,弗里亚济诺,fú lǐ yà jì nuò
тулун,图伦,tú lún
туймазы,图伊马济,tú yī mǎ jì
туран,图兰,tú lán
туринск,图林斯克,tú lín sī kè
устьомчуг,乌斯季奥姆丘格,wū sī jì ào mǔ qiū gé
хилок,希洛克,xī luò kè
хвалынск,赫瓦伦斯克,hè wǎ lún sī kè
химки,希姆基,xī mǔ jī
североонежск,北奥涅日斯克,běi ào niè rì sī kè
жатай,扎泰,zhā tài
холм,霍尔姆,huò ěr mǔ
тында,滕达,téng dá
тутаев,图塔耶夫,tú tǎ yē fū
лучегорск,卢切戈尔斯克,lú qiè gē ěr sī kè
тырныауз,特尔内奥兹,tè ěr nèi ào zī
кайеркан,凯耶尔坎,kǎi yē ěr kǎn
урдома,乌尔多马,wū ěr duō mǎ
домбай,栋巴伊,dòng bā yī
унеча,乌涅恰,wū niè qià
узловая,乌兹洛瓦亚,wū zī luò wǎ yà
чебаркуль,切巴尔库尔,qiè bā ěr kù ěr
чаплыгин,恰普雷金,qià pǔ léi jīn
урай,乌拉伊,wū lā yī
уржум,乌尔茹姆,wū ěr rú mǔ
урень,乌连,wū lián
чегем,切格姆,qiè gé mǔ
чекалин,切卡林,qiè kǎ lín
усинск,乌辛斯克,wū xīn sī kè
урусмартан,乌鲁斯马尔坦,wū lǔ sī mǎ ěr tǎn
цимлянск,齐姆良斯克,qí mǔ liáng sī kè
чадан,恰丹,qià dān
чапаевск,恰帕耶夫斯克,qià pà yē fū sī kè
чайковский,柴可夫斯基,chái kě fū sī jī
сибур,西布尔,xī bù ěr
корицкий,克里茨基角,kè lǐ cí jī jiǎo
научный,瑙奇内,nǎo qí nèi
уралкалий,乌拉尔钾肥,wū lā ěr jiǎ féi
борисовка,鲍里索夫卡,bào lǐ suǒ fū kǎ
маритурек,马里图列克,mǎ lǐ tú liè kè
тучково,图奇科沃,tú qí kē wò
сернур,谢尔努尔,xiè ěr nǔ ěr
надвоицы,纳德沃伊齐,nà dé wò yī qí
менделеево,门捷列沃,mén jié liè wò
куйтун,奎屯,kuí tún
карымское,卡雷姆斯科耶,kǎ léi mǔ sī kē yē
урал,乌拉尔足球俱乐部,wū lā ěr zú qiú jù lè bù
мутновский,穆特洛夫斯基火山,mù tè luò fū sī jī huǒ shān
чунский,春斯基,chūn sī jī
чердынь,切尔登,qiè ěr dēng
томилино,托米利诺,tuō mǐ lì nuò
руёбэцу,留夜别村,liú yè bié cūn
чкаловский,奇卡洛夫斯基空军基地,qí kǎ luò fū sī jī kōng jūn jī dì
залари,扎拉里,zhā lā lǐ
шарья,沙里亚,shā lǐ yà
шали,沙里,shā lǐ
шарыпово,沙雷波沃,shā léi bō wò
чухлома,丘赫洛马,qiū hè luò mǎ
чусовой,丘索沃伊,qiū suǒ wò yī
шадринск,沙德林斯克,shā dé lín sī kè
шагонар,沙戈纳尔,shā gē nà ěr
коченёво,科切尼奥沃,kē qiè ní ào wò
софрино,索夫里诺,suǒ fū lǐ nuò
селятино,谢利亚季诺,xiè lì yà jì nuò
магдагачи,马格达加奇,mǎ gé dá jiā qí
бурея,布列亚,bù liè yà
шахтёрск,沙赫乔尔斯克,shā hè qiáo ěr sī kè
шатура,沙图拉,shā tú lā
шахунья,沙胡尼亚,shā hú ní yà
шахты,沙赫特,shā hè tè
сузун,苏尊,sū zūn
шенкурск,申库尔斯克,shēn kù ěr sī kè
любинский,柳宾斯基,liǔ bīn sī jī
чёрмоз,乔尔莫兹,qiáo ěr mò zī
черноголовка,切尔诺戈洛夫卡,qiè ěr nuò gē luò fū kǎ
чистополь,奇斯托波尔,qí sī tuō bō ěr
чехов,契诃夫,qì hē fū
чудово,丘多沃,qiū duō wò
чкаловск,契卡洛夫斯克,qì kǎ luò fū sī kè
чулым,丘雷姆,qiū léi mǔ
джугджур,朱格朱尔山脉,zhū gé zhū ěr shān mài
масленица,谢肉节,xiè ròu jié
черемхово,切列姆霍沃,qiè liè mǔ huò wò
черепаново,切列帕诺沃,qiè liè pà nuò wò
чегдомын,切格多门,qiè gé duō mén
ска,圣彼得堡陆军,shèng bǐ dé bǎo lù jūn
юрга,尤尔加,yóu ěr jiā
южноуральск,南乌拉尔斯克,nán wū lā ěr sī kè
юрьевпольский,尤里耶夫波利斯基,yóu lǐ yē fū bō lì sī jī
юрьевец,尤里耶韦茨,yóu lǐ yē wéi cí
юрюзань,尤留赞,yóu liú zàn
шимановск,希马诺夫斯克,xī mǎ nuò fū sī kè
шилка,石勒喀,shí lè kā
шумерля,舒梅尔利亚,shū méi ěr lì yà
шиханы,希哈内,xī hā nèi
шуя,舒亚,shū yà
щёкино,晓基诺,xiǎo jī nuò
ола,奥拉,ào lā
оленёк,奥列尼奥克,ào liè ní ào kè
устьнера,乌斯季涅拉,wū sī jì niè lā
устькут,乌斯季库特,wū sī jì kù tè
устьлабинск,乌斯季拉宾斯克,wū sī jì lā bīn sī kè
устюжна,乌斯秋日纳,wū sī qiū rì nà
ухта,乌赫塔,wū hè tǎ
фёдоровский,费奥多罗夫斯基,fèi ào duō luó fū sī jī
электроугли,埃列克特罗乌格利,āi liè kè tè luó wū gé lì
юбилейный,尤比列伊内,yóu bǐ liè yī nèi
эртиль,埃尔季利,āi ěr jì lì
южносухокумск,南苏霍库姆斯克,nán sū huò kù mǔ sī kè
коштантау,科什坦山,kē shén tǎn shān
шерегеш,舍列格什,shè liè gé shén
южа,尤扎,yóu zhā
щербинка,谢尔宾卡,xiè ěr bīn kǎ
щёлково,晓尔科沃,xiǎo ěr kē wò
скахабаровск,哈巴罗夫斯克能源足球俱乐部,hā bā luó fū sī kè néng yuán zú qiú jù lè bù
метровагонмаш,地铁车辆机械制造厂,dì tiě chē liàng jī xiè zhì zào chǎng
электрогорск,埃列克特罗戈尔斯克,āi liè kè tè luó gē ěr sī kè
щучье,休奇耶,xiū qí yē
хатанга,哈坦加,hā tǎn jiā
электросталь,埃列克特罗斯塔尔,āi liè kè tè luó sī tǎ ěr
чернянка,切尔尼扬卡,qiè ěr ní yáng kǎ
отрада,奥特拉达,ào tè lā dá
краснозёрское,克拉斯诺焦尔斯科耶,kè lā sī nuò jiāo ěr sī kē yē
зайсановка,斋桑诺夫卡,zhāi sāng nuò fū kǎ
каахем,卡赫姆,kǎ hè mǔ
омон,特别用途机动单位,tè bié yòng tú jī dòng dān wèi
маслянино,马斯利亚尼诺,mǎ sī lì yà ní nuò
клетня,克列特尼亚,kè liè tè ní yà
хамардабан,哈马尔达班山脉,hā mǎ ěr dá bān shān mài
тяжинский,佳任斯基,jiā rèn sī jī
александроневская лавра,亚历山大·涅夫斯基修道院,yà lì shān dà · niè fū sī jī xiū dào yuàn
назия,纳济亚,nà jì yà
наушки,纳乌什基,nà wū shén jī
поварово,波瓦罗沃,bō wǎ luó wò
чишмы,奇什梅,qí shén méi
ютэйр,乌塔航空,wū tǎ háng kōng
ротор,伏尔加格勒罗托尔足球俱乐部,fú ěr jiā gé lè luó tuō ěr zú qiú jù lè bù
краскино,克拉斯基诺,kè lā sī jī nuò
сантамброджо,圣盎博罗削圣殿,shèng àng bó luó xiāo shèng diàn
чингитура,成吉图拉,chéng jí tú lā
хинганск,兴安斯克,xīng ān sī kè
труд,劳动报,láo dòng bào
харп,哈尔普,hā ěr pǔ
корф,科尔夫,kē ěr fū
славянка,斯拉夫扬卡,sī lā fū yáng kǎ
саркел,萨克尔,sà kè ěr
хор,霍尔,huò ěr
берилл,贝里尔山,bèi lǐ ěr shān
некрасовский,涅克拉索夫斯基,niè kè lā suǒ fū sī jī
лопатка,洛帕特卡角,luò pà tè kǎ jiǎo
силовик,西罗维基,xī luó wéi jī
зарубино,扎鲁比诺,zhā lǔ bǐ nuò
шарашка,沙拉什卡,shā lā shén kǎ
ильский,伊利斯基,yī lì sī jī
дзензур,津祖尔斯基火山,jīn zǔ ěr sī jī huǒ shān
озерной,奥泽尔诺伊火山,ào zé ěr nuò yī huǒ shān
тузовский,图佐夫斯基火山,tú zuǒ fū sī jī huǒ shān
зимина,济明火山,jì míng huǒ shān
верховой,韦尔霍伊火山,wéi ěr huò yī huǒ shān
романовка,罗曼诺夫火山,luó màn nuò fū huǒ shān
голая,戈拉亚火山,gē lā yà huǒ shān
пржевальское,普热瓦利斯科耶,pǔ rè wǎ lì sī kē yē
калевала,卡列瓦拉,kǎ liè wǎ lā
климово,克利莫沃,kè lì mò wò
иловля,伊洛夫利亚,yī luò fū lì yà
янгель,扬格利,yáng gé lì
онохой,奥诺霍伊,ào nuò huò yī
майна,迈纳,mài nà
предкавказье,前高加索,qián gāo jiā suǒ
росбанк,罗斯银行,luó sī yín háng
сангилен,桑吉连高原,sāng jí lián gāo yuán
этерикан,埃捷里坎海峡,āi jié lǐ kǎn hǎi xiá
заря,扎里亚海峡,zhā lǐ yà hǎi xiá
эгвекинот,埃格韦基诺特,āi gé wéi jī nuò tè
тарки,塔尔基,tǎ ěr jī
ярославский,雅罗斯拉夫斯基,yǎ luó sī lā fū sī jī
войвож,沃伊沃日,wò yī wò rì
ярега,亚列加,yà liè jiā
шудаяг,舒达亚格,shū dá yà gé
синдор,辛多尔,xīn duō ěr
иноземцево,伊诺泽姆采沃,yī nuò zé mǔ cǎi wò
руслайн,俄线航空,é xiàn háng kōng
калининец,加利尼涅茨,jiā lì ní niè cí
грамотеино,格拉莫捷伊诺,gé lā mò jié yī nuò
изборск,伊兹博斯克,yī zī bó sī kè
линёво,利尼奥沃,lì ní ào wò
красноенаволге,伏尔加河畔克拉斯诺耶,fú ěr jiā hé pàn kè lā sī nuò yē
тардокиянги,托尔多基亚尼山,tuō ěr duō jī yà ní shān
келля,凯拉火山,kǎi lā huǒ shān
толстые,托尔斯泰家族,tuō ěr sī tài jiā zú
дубинино,杜比尼诺,dù bǐ ní nuò
арктический,北极角,běi jí jiǎo
роснефть,俄罗斯石油,é luó sī shí yóu
атран,阿特朗航空,ā tè lǎng háng kōng
чумикан,丘米坎,qiū mǐ kǎn
орлан,海鹰航天服,hǎi yīng háng tiān fú
народная,纳罗达峰,nà luó dá fēng
кукмор,库克莫尔,kù kè mò ěr
кунсткамера,艺术间,yì shù jiān
кейвы,克伊维高地,kè yī wéi gāo dì
шилово,希洛沃,xī luò wò
форос,福罗斯,fú luó sī
ленинкент,列宁肯特,liè nìng kěn tè
левадацентр,列瓦达中心,liè wǎ dá zhōng xīn
сапсан,游隼号列车,yóu sǔn hào liè chē
михнево,米赫涅沃,mǐ hè niè wò
норникель,诺里尔斯克镍公司,nuò lǐ ěr sī kè niè gōng sī
танаис,塔纳伊斯,tǎ nà yī sī
таорусыр,陶罗西尔火山,táo luó xī ěr huǒ shān
горелый,戈列雷火山,gē liè léi huǒ shān
эльбан,埃利班,āi lì bān
евразийство,欧亚主义,ōu yà zhǔ yì
немо,涅莫峰,niè mò fēng
светлая,斯韦特拉亚,sī wéi tè lā yà
вимавиа,维姆航空,wéi mǔ háng kōng
фряново,弗里亚诺沃,fú lǐ yà nuò wò
ильинка,伊利因卡,yī lì yīn kǎ
земетчино,泽梅奇诺,zé méi qí nuò
алаид,阿赖度山,ā lài dù shān
алмазантей,金刚石安泰,jīn gāng shí ān tài
огонёк,星火,xīng huǒ
когалымавиа,科加雷姆航空,kē jiā léi mǔ háng kōng
брянка,布良卡,bù liáng kǎ
нагайбаки,诺盖巴克,nuò gài bā kè
пангоды,潘戈德,pān gē dé
краснообск,克拉斯诺鄂毕斯克,kè lā sī nuò è bì sī kè
магистральный,马吉斯特拉利内,mǎ jí sī tè lā lì nèi
ловушки,牟知列岩,mù zhī liè yán
южный,尤日内,yóu rì nèi
известковый,伊兹韦斯特科维,yī zī wéi sī tè kē wéi
излучинск,伊兹卢钦斯克,yī zī lú qīn sī kè
энем,埃涅姆,āi niè mǔ
яблоновский,雅布洛诺夫斯基,yǎ bù luò nuò fū sī jī
одоев,奥多耶夫,ào duō yē fū
суксун,苏克孙,sū kè sūn
северщина,西维利亚,xī wéi lì yà
ртрпланета,俄罗斯环球频道,é luó sī huán qiú pín dào
малаховка,马拉霍夫卡,mǎ lā huò fū kǎ
екатеринославка,叶卡捷里诺斯拉夫卡,yè kǎ jié lǐ nuò sī lā fū kǎ
янчукан,扬丘坎,yáng qiū kǎn
яя,亚亚,yà yà
елань,叶兰,yè lán
емельяново,叶梅利亚诺沃,yè méi lì yà nuò wò
чупа,丘帕,qiū pà
мга,姆加,mǔ jiā
пойковский,波伊科夫斯基,bō yī kē fū sī jī
ямантау,亚曼套山,yà màn tào shān
новоогарёво,新奥加廖沃,xīn ào jiā liào wò
новоаганск,新阿甘斯克,xīn ā gān sī kè
уксичан,乌克斯昌火山,wū kè sī chāng huǒ shān
уптар,乌普塔尔,wū pǔ tǎ ěr
марьяновка,马里亚诺夫卡,mǎ lǐ yà nuò fū kǎ
пригорск,普里戈尔斯克,pǔ lǐ gē ěr sī kè
уруша,乌鲁沙,wū lǔ shā
мтс,移动电信,yí dòng diàn xìn
бежаницы,别扎尼齐,bié zhā ní qí
шишель,希舍利火山,xī shè lì huǒ shān
магнитка,马格尼特卡,mǎ gé ní tè kǎ
алнгей,阿尔恩格伊火山,ā ěr ēn gé yī huǒ shān
нахичеваньнадону,顿河畔纳希切万,dùn hé pàn nà xī qiè wàn
куйбышево,阿尔巴特,ā ěr bā tè
газпромбанк,天然气工业银行,tiān rán qì gōng yè yín háng
медиаобразование,媒体素养,méi tǐ sù yǎng
климов,克里莫夫,kè lǐ mò fū
обухово,奥布霍沃,ào bù huò wò
балтаси,巴尔塔西,bā ěr tǎ xī
качуг,卡丘格,kǎ qiū gé
якутия,雅库特航空,yǎ kù tè háng kōng
кугеси,库格西,kù gé xī
кунерма,库涅尔马,kù niè ěr mǎ
сырники,锡尔尼基,xī ěr ní jī
новомихайловский,新米哈伊洛夫斯基,xīn mǐ hā yī luò fū sī jī
кавалерово,卡瓦列罗沃,kǎ wǎ liè luó wò
каргаполье,卡尔加波利耶,kǎ ěr jiā bō lì yē
мир,和平号,hé píng hào
сколково,莫斯科斯尔科沃管理学院,mò sī kē sī ěr kē wò guǎn lǐ xué yuàn
энурмино,艾奴尔米诺,ài nú ěr mǐ nuò
базальт,玄武岩设计局,xuán wǔ yán shè jì jú
могойтуй,莫戈伊图伊,mò gē yī tú yī
мокшан,莫克尚,mò kè shàng
сунжа,孙扎,sūn zhā
килемары,基列马雷,jī liè mǎ léi
узон,乌宗火山,wū zōng huǒ shān
евразия,欧亚大楼,ōu yà dà lóu
ракета,火箭牌,huǒ jiàn pái
альфабанк,阿尔法银行,ā ěr fǎ yín háng
мошково,莫什科沃,mò shén kē wò
москаленки,莫斯卡连基,mò sī kǎ lián jī
теплоозёрск,捷普洛奥焦尔斯克,jié pǔ luò ào jiāo ěr sī kè
мурмаши,穆尔马希,mù ěr mǎ xī
кировский,基洛夫斯基,jī luò fū sī jī
кичера,基切拉,jī qiè lā
монино,莫尼诺,mò ní nuò
яйва,亚伊瓦,yà yī wǎ
мусхая,穆斯哈亚山,mù sī hā yà shān
муромцево,穆罗姆采沃,mù luó mǔ cǎi wò
оротукан,奥罗图坎,ào luó tú kǎn
шаховская,沙霍夫斯卡亚,shā huò fū sī kǎ yà
мостовской,莫斯托夫斯科伊,mò sī tuō fū sī kē yī
аллахюнь,阿拉赫云,ā lā hè yún
торбеево,托尔别耶沃,tuō ěr bié yē wò
воргашор,沃尔加绍尔,wò ěr jiā shào ěr
атяшево,阿佳舍沃,ā jiā shè wò
молодёжное,莫洛焦日诺耶,mò luò jiāo rì nuò yē
оверята,奥韦里亚塔,ào wéi lǐ yà tǎ
новоильинский,新伊利因斯基,xīn yī lì yīn sī jī
оршанка,奥尔尚卡,ào ěr shàng kǎ
суслонгер,苏斯隆格尔,sū sī lóng gé ěr
актюбинский,阿克纠宾斯基,ā kè jiū bīn sī jī
комсомольское,共青村,gòng qīng cūn
параньга,帕拉尼加,pà lā ní jiā
павловский,巴甫洛夫斯基,bā fǔ luò fū sī jī
хани,哈尼,hā ní
молния,闪电牌,shǎn diàn pái
единство,团结,tuán jié
полёт,宝杰,bǎo jié
одксатурн,土星科研生产联合体,tǔ xīng kē yán shēng chǎn lián hé tǐ
уралвагонзавод,乌拉尔机车车辆厂,wū lā ěr jī chē chē liàng chǎng
айпетри,艾佩特里峰,ài pèi tè lǐ fēng
бобровые,海獭岩,hǎi tǎ yán
ытыккюёль,厄特克丘约利,è tè kè qiū yuē lì
алнейчашаконджа,阿尔涅伊恰沙孔贾火山,ā ěr niè yī qià shā kǒng jiǎ huǒ shān
черноморское,黑海村,hēi hǎi cūn
устькамчатск,乌斯季堪察茨克,wū sī jì kān chá cí kè
сарс,萨尔斯,sà ěr sī
переяславка,佩列亚斯拉夫卡,pèi liè yà sī lā fū kǎ
бытошь,贝托希,bèi tuō xī
хиславичи,希斯拉维奇,xī sī lā wéi qí
кокоревка,科科列夫卡,kē kē liè fū kǎ
богатырь,博加特耶岭,bó jiā tè yē lǐng
селижарово,谢利扎罗沃,xiè lì zhā luó wò
калашниково,卡拉什尼科沃,kǎ lā shén ní kē wò
югра,尤格拉,yóu gé lā
грибановский,格里巴诺夫斯基,gé lǐ bā nuò fū sī jī
саргатское,萨尔加茨科耶,sà ěr jiā cí kē yē
ибреси,伊布列西,yī bù liè xī
любытино,柳贝季诺,liǔ bèi jì nuò
кулотино,库洛季诺,kù luò jì nuò
коммерсантъ,生意人报,shēng yì rén bào
коноша,科诺沙,kē nuò shā
неболчи,涅博尔奇,niè bó ěr qí
зырянка,济良卡,jì liáng kǎ
воротынск,沃洛滕斯克,wò luò téng sī kè
новосёловское,新塞利夫斯凯,xīn sāi lì fū sī kǎi
иэттунуп,莱图努普火山,lái tú nǔ pǔ huǒ shān
кормиловка,科尔米洛夫卡,kē ěr mǐ luò fū kǎ
чугуш,丘古什山,qiū gǔ shén shān
пелым,佩雷姆,pèi léi mǔ
корватунтури,耳朵山,ěr duo shān
шербакуль,舍尔巴库尔,shè ěr bā kù ěr
родинамать,祖国母亲在召唤,zǔ guó mǔ qīn zài zhào huàn
чульман,丘利曼,qiū lì màn
красногорский,克拉斯诺戈尔斯基,kè lā sī nuò gē ěr sī jī
посьет,波西耶特,bō xī yē tè
ивот,伊沃特,yī wò tè
