gerónimo,제로니모,jeronimo
alicia de larrocha,알리시아 데 라로차,alrisia de raroca
isabel coixet,이자벨 코셰트,ijabel kosyeteu
natalia oreiro,나탈리아 오레이로,natalria oreiro
maría antonia fernanda de borbón,마리아 안토니아 페르난다 데 에스파냐,maria antonia pereunanda de eseupanya
lucía pérez,루시아 페레스,rusia pereseu
antonio olmo,안토니오 올모,antonio olmo
alejandro alfaro,알레한드로 알파로,alrehandeuro alparo
salvador sadurní,살바도르 사두르니,salbadoreu sadureuni
raúl entrerríos,라울 엔트레리오스,raul enteurerioseu
arsenio iglesias,아르세니오 이글레시아스,areusenio igeulresiaseu
juan marrero pérez,후안 일라리오 마레로,huan ilrario marero
josé manuel ochotorena,호세 마누엘 오초토레나,hose manuel ocotorena
pedro contreras,페드로 콘트레라스,pedeuro konteureraseu
marta baldó,마르타 발도,mareuta baldo
javier yubero,하비에르 유베로,habiereu yubero
sanmao,싼마오,ssanmao
jorge sanz,호르헤 샌즈,horeuhe saenjeu
mario casas,마리오 카사스,mario kasaseu
joel gonzález,호엘 곤살레스,hoel gonsalreseu
alberto ormaetxea,알베르토 오르마에체아,albereuto oreumaecea
àstrid bergèsfrisbey,아스트리드 베르제프리스베,aseuteurideu bereujepeuriseube
severo ochoa,세베로 오초아,sebero ocoa
leonor watling,레오노르 와틀링,reonoreu wateulring
maribel verdú,마리벨 베르두,maribel bereudu
adelina patti,아델리나 파티,adelrina pati
nathalia ramos,나탈리아 라모스,natalria ramoseu
cristian darío álvarez,크리스티안 다리오 알바레스,keuriseutian dario albareseu
borja oubiña,보르하 오우비냐,boreuha oubinya
martí ventolrà,마르티 벤톨라,mareuti bentolra
estanislao figueras,에스타니슬라오 피게라스,eseutaniseulrao pigeraseu
vicente piera,비센테 피에라,bisente piera
julio iglesias puga,훌리오 이글레시아스 푸가,hulrio igeulresiaseu puga
josé eulogio gárate,호세 에울로히오 가라테,hose eulrohio garate
ferran olivella,페란 올리베야,peran olribeya
paz vega,파스 베가,paseu bega
pastora soler,파스토라 솔레르,paseutora solrereu
sara carbonero,사라 카르보네로,sara kareubonero
piru gainza,아구스틴 가인사,aguseutin gainsa
carmen maura,카르멘 마우라,kareumen maura
sabino barinaga,사비노 바리나가,sabino barinaga
jesús gil,헤수스 힐,hesuseu hil
manolo sánchez delgado,마누엘 산체스 델가도,manuel sanceseu delgado
gervasio deferr,헤르바시오 데페르,hereubasio depereu
juan lindo,후안 린도,huan rindo
domingo cisma,도밍고 시스마,dominggo siseuma
miguel tendillo,미겔 텐디요,migel tendiyo
alfredo landa,알프레도 란다,alpeuredo randa
george santayana,조지 산타야나,joji santayana
david trueba,다비드 트루에바,dabideu teurueba
juan echanove,후안 에차노브,huan ecanobeu
belén rueda,벨렌 루에다,belren rueda
ana belén,아나 벨렌,ana belren
marisa paredes,마리사 파레데스,marisa paredeseu
chris marquette,크리스 마켓,keuriseu makes
ivana baquero,이바나 바케로,ibana bakero
josep maria fusté,조세프 마리아 푸스테,josepeu maria puseute
aitor ocio,아이토르 오시오,aitoreu osio
joan segarra,주안 세가라,juan segara
mariano martín,마리아노 마르틴,mariano mareutin
ricardo viñes,리카르도 비네스,rikareudo bineseu
carlos busquets,카를레스 부스케츠,kareulreseu buseukeceu
josé rodríguez martínez,호세 로드리게스 마르티네스,hose rodeurigeseu mareutineseu
josé iraragorri,호세 이라라고리,hose iraragori
paco bru,프란시스코 브루,peuransiseuko beuru
sergio escudero palomo,세르히오 에스쿠데로 팔로모,sereuhio eseukudero palromo
lorenzo serra ferrer,로렌소 세라 페레르,rorenso sera perereu
juan josé flores,후안 호세 플로레스,huan hose peulroreseu
jon kortajarena,혼 코르타하레나,hon koreutaharena
guillermo gorostiza,기예르모 고로스티사,giyereumo goroseutisa
iñigo díaz de cerio,이니고 디아스 데 세리오,inigo diaseu de serio
mónica cruz,모니카 크루스,monika keuruseu
juan antonio ipiña,후안 안토니오 이피냐,huan antonio ipinya
manel estiarte,마누엘 에스티아르테,manuel eseutiareute
rafael iriondo,라파엘 이리온도,rapael iriondo
marianín,마리아닌,marianin
elvira lindo,엘비라 린도,elbira rindo
gaspar cassadó,가스파르 카사도,gaseupareu kasado
juan josé nogués,후안 호세 노게스,huan hose nogeseu
juan zambudio velasco,후안 삼부디오 벨라스코,huan sambudio belraseuko
dolores ibárruri,돌로레스 이바루리,dolroreseu ibaruri
joaquín vázquez,호아킨 바스케스,hoakin baseukeseu
fran yeste,프란시스코 예스테,peuransiseuko yeseute
igor gabilondo,이고르 가빌론도,igoreu gabilrondo
koikili lertxundi,코이킬리 레르춘디,koikilri rereucundi
víctor erice,빅토르 에리세,bigtoreu erise
josé maría olazábal,호세 마리아 올라사발,hose maria olrasabal
nicolás de ovando,니콜라스 데 오반도,nikolraseu de obando
roberto marina,로베르토 마리나,robereuto marina
elena anaya,엘레나 아나야,elrena anaya
jean cassou,장 카수,jang kasu
maría valverde,마리아 발베르데,maria balbereude
daniel plaza,다니엘 플라사,daniel peulrasa
niurka montalvo,니우르카 몬탈보,niureuka montalbo
kiko casilla,키코 카시야,kiko kasiya
lola flores,롤라 플로레스,rolra peulroreseu
ramón rodríguez,라몬 로드리게스,ramon rodeurigeseu
joan fuster,조안 푸스터,joan puseuteo
gorka elustondo,고르카 엘루스톤도,goreuka elruseutondo
ascanio sforza,아스카니오 스포르차,aseukanio seuporeuca
malena alterio,말레나 알테리오,malrena alterio
ciriaco errasti,시리아코 에라스티,siriako eraseuti
kike sola,키케 솔라,kike solra
manuel olivares,마누엘 올리바레스,manuel olribareseu
miguel ángel gonzález suárez,미겔 앙헬 곤살레스 수아레스,migel anghel gonsalreseu suareseu
pako ayestarán,파코 아예스테란,pako ayeseuteran
juan donoso cortés,후안 도노소 코르테스,huan donoso koreuteseu
juanele,후아넬레,huanelre
florentino pérez,플로렌티노 페레스,peulrorentino pereseu
assumpta serna,아숨프타 세르나,asumpeuta sereuna
xabi castillo,샤비 카스티요,syabi kaseutiyo
isabel preysler,이사벨 프레이슬레르,isabel peureiseulrereu
antonio machado,안토니오 마차도,antonio macado
fernando gómez colomer,페르난도 고메스 콜로메르,pereunando gomeseu kolromereu
keylor navas,케일로르 나바스,keilroreu nabaseu
marta etura,마르타 에투라,mareuta etura
gonzalo pizarro,곤살로 피사로,gonsalro pisaro
julieta serrano,훌리에타 세라노,hulrieta serano
narciso yepes,나르시소 예페스,nareusiso yepeseu
jesús maría satrústegui,헤수스 마리아 사트루스테기,hesuseu maria sateuruseutegi
josé enrique sánchez,호세 엔리케 산체스,hose enrike sanceseu
candela peña,칸델라 페냐,kandelra penya
ruth gabriel,루트 가브리엘,ruteu gabeuriel
juan ignacio otero,후안 이그나시오 오테로,huan igeunasio otero
denís chéryshev,데니스 체리셰프,deniseu cerisyepeu
suso,수소,suso
paco buyo,프란시스코 부요,peuransiseuko buyo
david fuster,다비드 푸스테르,dabideu puseutereu
amaro pargo,아마로 파고,amaro pago
osmar ibáñez,오스마르 이바녜스,oseumareu ibanyeseu
rosendo hernández,로센도 에르난데스,rosendo ereunandeseu
jaime de marichalar,하이메 데 마리차라르,haime de maricarareu
ana obregón,아나 오브레곤,ana obeuregon
álex de la iglesia,알렉스 데 라 이글레시아,alregseu de ra igeulresia
gaizka toquero,가이스카 토케로,gaiseuka tokero
jon aurtenetxe,혼 아우르테네체,hon aureutenece
iago falque,이아고 팔케,iago palke
patxi puñal,프란시스코 푸냘,peuransiseuko punyal
pascual veiga,파스칼 베이가,paseukal beiga
abelardo gonzález,아벨라르도 곤살레스,abelrareudo gonsalreseu
fernando tabales,페르난도 타발레스,pereunando tabalreseu
mikel aranburu,미켈 아란부루,mikel aranburu
luis aragonés,루이스 아라고네스,ruiseu aragoneseu
roberto etxebarria,로베르토 에체바리아,robereuto ecebaria
ernesto alterio,에르네스토 알테리오,ereuneseuto alterio
eulogio martínez,에울로히오 마르티네스,eulrohio mareutineseu
roque olsen,로케 올센,roke olsen
álvaro arbeloa,알바로 아르벨로아,albaro areubelroa
maría de estrada,마리아 데 에스트라다,maria de eseuteurada
conchita supervía,콘치타 스페르비아,koncita seupereubia
álvaro mejía pérez,알바로 메히아 페레스,albaro mehia pereseu
juan de garay,후안 데 가라이,huan de garai
javier urruticoechea,하비에르 우루티코에체아,habiereu urutikoecea
rosario flores,로사리오 플로레스,rosario peulroreseu
ramón pérez de ayala,라몬 페레스 데 아얄라,ramon pereseu de ayalra
carlos montoya,카를로스 몬토야,kareulroseu montoya
juan arza,후안 아르사,huan areusa
ángel arocha,앙헬 아로차,anghel aroca
francisco fernández ochoa,프란시스코 페르난데스 오초아,peuransiseuko pereunandeseu ocoa
willy caballero,윌리 카바예로,wilri kabayero
álvaro vázquez,알바로 바스케스,albaro baseukeseu
cristina castaño,크리스티나 카스타뇨,keuriseutina kaseutanyo
ustaritz aldekoaotalora,우스타리츠 알데코아오탈로라,useutariceu aldekoaotalrora
josé ramón alexanco,호세 라몬 알렉상코,hose ramon alregsangko
irene escolar,이레네 에스콜라르,irene eseukolrareu
ricardo lópez felipe,리카르도 로페스 펠리페,rikareudo ropeseu pelripe
marcos alonso mendoza,마르코스 알론소 멘도사,mareukoseu alronso mendosa
gerard lópez,제라르드 로페스,jerareudeu ropeseu
xabier etxeita,샤비에르 에체이타,syabiereu eceita
emilio nsue,에밀리오 은수에,emilrio eunsue
ángel lafita,앙헬 라피타,anghel rapita
azorín,아소린,asorin
javi chica,하비에르 치카,habiereu cika
jaime gavilán,하이메 가빌란,haime gabilran
fernando tejero,페르난도 테제로,pereunando tejero
elías garcía martínez,엘리아스 가르시아 마르티네스,elriaseu gareusia mareutineseu
josé celestino mutis,호세 셀레스티노 무티스,hose selreseutino mutiseu
ángel zubieta,앙헬 수비에타,anghel subieta
martín montoya,마르틴 몬토야,mareutin montoya
fernando sor,페르난도 소르,pereunando soreu
yon gonzález,욘 곤살레스,yon gonsalreseu
edurne pasaban,에두르네 파사반,edureune pasaban
joaquín peiró,호아킨 페이로,hoakin peiro
salvador larroca,살바도르 라로카,salbadoreu raroka
josé juncosa,호세 훙코사,hose hungkosa
manuel alexandre,마누엘 알렉산드레,manuel alregsandeure
juanma lillo,후안마 리요,huanma riyo
rodolfo chikilicuatre,로돌포 치킬리쿠아트레,rodolpo cikilrikuateure
miguel ángel lotina,미겔 앙헬 로티나,migel anghel rotina
ramón gómez de la serna,라몬 고메스 데 라 세르나,ramon gomeseu de ra sereuna
ramón guzmán,라몬 구스만,ramon guseuman
silke,실케,silke
héctor rial,엑토르 리알,egtoreu rial
mónica naranjo,모니카 나랑호,monika narangho
diego forlán,디에고 포를란,diego poreulran
josé francisco molina,호세 프란시스코 몰리나,hose peuransiseuko molrina
amaia salamanca,아마이아 살라망카,amaia salramangka
diego rodríguez fernández,디에고 로드리게스 페르난데스,diego rodeurigeseu pereunandeseu
iñigo martínez,이니고 마르티네스,inigo mareutineseu
gaizka garitano,가이스카 가리타노,gaiseuka garitano
fran perea,프란 페레아,peuran perea
juanín garcía,후아닌 가르시아,huanin gareusia
najwa nimri,나와 님리,nawa nimri
loles león,롤레스 레온,rolreseu reon
vavá ii,루시아노 산체스,rusiano sanceseu
ariadna gil,아리아드나 힐,ariadeuna hil
gorka iraizoz,고르카 이라이소스,goreuka iraisoseu
soledad miranda,솔레다드 미란다,solredadeu miranda
lucía bosé,루차 보세,ruca bose
ignacio zoco,이그나시오 소코,igeunasio soko
kiti mánver,키티 만베르,kiti manbereu
chus lampreave,추스 람프레아베,cuseu rampeureabe
francisco pi y margall,프란세스크 피 이 마르갈,peuranseseukeu pi i mareugal
carmen laforet,카르멘 라포레,kareumen rapore
esther cañadas,에스테르 카냐다스,eseutereu kanyadaseu
pilar bardem,필라르 바르뎀,pilrareu bareudem
brigitte yagüe,브리히테 야궤,beurihite yagwe
eloy olaya,엘로이 올라야,elroi olraya
angy fernández,앙히 페르난데스,anghi pereunandeseu
xabier san martín,하비 산 마르틴,habi san mareutin
pedro parages,페드로 파라헤스,pedeuro paraheseu
miriam blasco,미리암 블라스코,miriam beulraseuko
ana torroja,아나 토로하,ana toroha
maría pujalte,마리아 푸할테,maria puhalte
maría casares,마리아 카자레스,maria kajareseu
santiago cañizares,산티아고 카니사레스,santiago kanisareseu
paloma picasso,팔로마 피카소,palroma pikaso
amancio amaro,아만시오 아마로,amansio amaro
luis suárez miramontes,루이스 수아레스 미라몬테스,ruiseu suareseu miramonteseu
concha velasco,콘차 벨라스코,konca belraseuko
daisy fuentes,데이지 푸엔테스,deiji puenteseu
rosana simón,로사나 시몬,rosana simon
yolanthe sneijdercabau,욜란테 스네이더르카바우,yolrante seuneideoreukabau
dafne fernández,다프네 페르난데스,dapeune pereunandeseu
leticia dolera,레티시아 돌레라,retisia dolrera
pere solé,페드로 솔레,pedeuro solre
blanca romero,블랑카 로메로,beulrangka romero
manuel sanchís martínez,마누엘 산치스 마르티네스,manuel sanciseu mareutineseu
carlos ruiz herrero,카를로스 루이스 에레로,kareulroseu ruiseu erero
silvestre igoa,실베스트레 이고아,silbeseuteure igoa
antonio resines,안토니오 레시네스,antonio resineseu
lluís homar,유이스 호마르,yuiseu homareu
carmelo cedrún,카르멜로 세드룬,kareumelro sedeurun
antonio casas,안토니오 카사스,antonio kasaseu
laia marull,라이아 마룰,raia marul
celso bugallo,셀소 부갈로,selso bugalro
néstor calderón,네스토르 칼데론,neseutoreu kalderon
pablo infante,파블로 인판테,pabeulro inpante
andrés velencoso,안드레스 벨렝코소,andeureseu belrengkoso
francisco vázquez de coronado,프란시스코 바스케스 데 코로나도,peuransiseuko baseukeseu de koronado
beñat etxebarria,베냐트 에체바리아,benyateu ecebaria
rafinha alcántara,하파에우 아우칸타라,hapaeu aukantara
amr waked,암르 와케드,amreu wakedeu
josé maría zárraga,호세 마리아 사라가,hose maria saraga
josé ángel valdés,호세 앙헬 발데스,hose anghel baldeseu
francisco fernández de capillas,프란치스코 페르난도 데 카필라,peuranciseuko pereunando de kapilra
lorenzo sanz,로렌소 산스,rorenso sanseu
josé antonio reyes,호세 안토니오 레예스,hose antonio reyeseu
alicia borrachero,알리시아 보라체로,alrisia boracero
bodo illgner,보도 일그너,bodo ilgeuneo
severiano ballesteros,세베 바예스테로스,sebe bayeseuteroseu
rosa maría sardà,로사 마리아 사르다,rosa maria sareuda
estanislao basora,에스타니슬라오 바소라,eseutaniseulrao basora
leopoldo calvosotelo,레오폴도 칼보소텔로,reopoldo kalbosotelro
blanca fernández ochoa,블랑카 페르난데스 오초아,beulrangka pereunandeseu ocoa
alejandro amenábar,알레한드로 아메나바르,alrehandeuro amenabareu
ramón calderé,라몬 칼데레,ramon kaldere
antonio nariño,안토니오 나리뇨,antonio narinyo
jeffrén suárez,헤프렌 수아레스,hepeuren suareseu
cristina marcos,크리스티나 마르코스,keuriseutina mareukoseu
juande ramos,후안데 라모스,huande ramoseu
marcos alonso peña,마르코스 알론소 페냐,mareukoseu alronso penya
jennifer serrano,헤니페르 세라노,henipereu serano
marc gasol,마르크 가솔,mareukeu gasol
baltasar albéniz,발타사르 알베니스,baltasareu albeniseu
eusebio poncela,에우세비오 폰셀라,eusebio ponselra
verónica echegui,베로니카 에체기,beronika ecegi
miguel ángel muñoz,미겔 앙헬 무뇨스,migel anghel munyoseu
natalia verbeke,나탈리아 베르베케,natalria bereubeke
alejandro sanz,알레한드로 산스,alrehandeuro sanseu
federico mompou,페데리코 몸포우,pederiko mompou
ana torrent,아나 토렌트,ana torenteu
carolina marín,카롤리나 마린,karolrina marin
roberto jiménez gago,로베르토 히메네스 가고,robereuto himeneseu gago
antonio tapia,안토니오 타피아,antonio tapia
karra elejalde,카라 엘레할데,kara elrehalde
esteban granero,에스테반 그라네로,eseuteban geuranero
paulino alcántara,파울리노 알칸타라,paulrino alkantara
pablo hernández domínguez,파블로 에르난데스 도밍게스,pabeulro ereunandeseu dominggeseu
antonio álvarez giráldez,안토니오 알바레스 히랄데스,antonio albareseu hiraldeseu
toño de la cruz,안토니오 데 라 크루스,antonio de ra keuruseu
josu urrutia,호수 우루티아,hosu urutia
pilar lópez de ayala,필라르 로페스 데 아얄라,pilrareu ropeseu de ayalra
nerea camacho,네레아 카마초,nerea kamaco
eladio silvestre,엘라디오 실베스트레,elradio silbeseuteure
sebastián ontoria,세바스티안 온토리아,sebaseutian ontoria
cristian llama,크리스티안 야마,keuriseutian yama
juan diego botto,후안 디에고 보토,huan diego boto
marc clotet,마르크 클로테트,mareukeu keulroteteu
sofía de borbón,스페인 인판타 소피아,seupein inpanta sopia
mikel rico,미켈 리코,mikel riko
lola dueñas,롤라 두에냐스,rolra duenyaseu
verónica forqué,베로니카 포르케,beronika poreuke
lucía jiménez,루시아 히메네스,rusia himeneseu
óliver torres,올리베르 토레스,olribereu toreseu
borja valero,보르하 발레로,boreuha balrero
diego costa,디에고 코스타,diego koseuta
arly jover,알리 조버,alri jobeo
eve gordon,이브 고든,ibeu godeun
oona chaplin,우나 채플린,una caepeulrin
albert celades,알베르트 셀라데스,albereuteu selradeseu
miguel reina,미겔 레이나,migel reina
ruth núñez,루트 누녜스,ruteu nunyeseu
andrea guasch,안드레아 과스크,andeurea gwaseukeu
nora navas,노라 나바스,nora nabaseu
michelle jenner,미셸 제너,misyel jeneo
eduardo pondal,에두아르도 폰달,eduareudo pondal
àngel rangel,앙헬 랑헬,anghel ranghel
xavi torres,사비 토레스,sabi toreseu
óscar de marcos,오스카르 데 마르코스,oseukareu de mareukoseu
marina pérez,마리나 페레스,marina pereseu
voro,보로,boro
juan marsé,후안 마르세,huan mareuse
severino reija,세베리노 레이하,seberino reiha
antonio moreno,안토니오 모레노,antonio moreno
javi de pedro,하비에르 데 페드로,habiereu de pedeuro
miquel soler,미켈 솔레르,mikel solrereu
elena furiase,엘레나 푸리아세,elrena puriase
josé cadalso,호세 카달소,hose kadalso
david russell,데이비드 러셀,deibideu reosel
leire martínez,레이레 마르티네스,reire mareutineseu
claudia bassols,클라우디아 바솔스,keulraudia basolseu
gonzalo de berceo,곤살로 데 베르세오,gonsalro de bereuseo
enrique saura,엔리케 사우라,enrike saura
maya plisétskaya,마이야 플리세츠카야,maiya peulriseceukaya
enrique líster,엔리케 리스테르,enrike riseutereu
josé luis mendilibar,호세 루이스 멘딜리바르,hose ruiseu mendilribareu
josé luis abajo,호세 루이스 아바호,hose ruiseu abaho
pablo puyol,파블로 푸욜,pabeulro puyol
jordi mestre,조르디 메스트레,joreudi meseuteure
julio velázquez,훌리오 벨라스케스,hulrio belraseukeseu
mikel herzog,미켈 헤르소흐,mikel hereusoheu
andrea orlandi,안드레아 오를란디,andeurea oreulrandi
pasieguito,파시에기토,pasiegito
alejandro casona,알레한드로 카소나,alrehandeuro kasona
blanca portillo,블랑카 포르티요,beulrangka poreutiyo
aitana sánchezgijón,아이타나 산체스히혼,aitana sanceseuhihon
juan carlos fresnadillo,후안 카를로스 프레스나디요,huan kareulroseu peureseunadiyo
miguel pardeza,미겔 파르데사,migel pareudesa
natasha yarovenko,나타샤 야로벤코,natasya yarobenko
rafael gordillo,라파엘 고르디요,rapael goreudiyo
ricardo gallego,리카르도 가예고,rikareudo gayego
chendo,첸도,cendo
haritz garde,하리츠 가르테,hariceu gareute
pablo benegas,파블로 베네기스,pabeulro benegiseu
saúl ñíguez,사울 니게스,saul nigeseu
félix sesúmaga,펠릭스 세수마가,pelrigseu sesumaga
fernán caballero,페르난 카바예로,pereunan kabayero
óscar garcía junyent,오스카르 가르시아 후니엔트,oseukareu gareusia hunienteu
amparo rivelles,암파로 리베예스,amparo ribeyeseu
diego mariño,디에고 마리뇨,diego marinyo
vero boquete,베로니카 보케테,beronika bokete
manuela velasco,마누엘라 벨라스코,manuelra belraseuko
alfonso sastre,알폰소 사스트레,alponso saseuteure
ander herrera,안데르 에레라,andereu erera
roberto fresnedoso,로베르토 프레스네도소,robereuto peureseunedoso
miguel de andrés,미겔 데 안드레스,migel de andeureseu
ricardo darín,리카르도 다린,rikareudo darin
delfí geli,델피 젤리,delpi jelri
javi márquez,하비 마르케스,habi mareukeseu
césar azpilicueta,세사르 아스필리쿠에타,sesareu aseupilrikueta
enrique granados,엔리케 그라나도스,enrike geuranadoseu
david albelda,다비드 알벨다,dabideu albelda
gaizka mendieta,가이스카 멘디에타,gaiseuka mendieta
ricardo alós,리카르도 알로스,rikareudo alroseu
denis suárez,데니스 수아레스,deniseu suareseu
xavier o'callaghan,샤비에르 오칼랴간,syabiereu okalryagan
ladislao kubala,쿠벌러 라슬로,kubeolreo raseulro
unai emery,우나이 에메리,unai emeri
carlos saura,카를로스 사우라,kareulroseu saura
tirso de molina,티르소 데 몰리나,tireuso de molrina
ricardo zamora,리카르도 사모라,rikareudo samora
lina romay,리나 로메이,rina romei
eduard fernández,에두아르드 페르난데스,eduareudeu pereunandeseu
david lombán,다비드 롬반,dabideu romban
santi denia,산티아고 데니아,santiago denia
iván helguera,이반 엘게라,iban elgera
gloria lasso,글로리아 라소,geulroria raso
george meade,조지 미드,joji mideu
ana polvorosa,아나 폴보로사,ana polborosa
grigori sokolov,그리고리 소콜로프,geurigori sokolropeu
paco rabanne,파코 라반,pako raban
josep lluís sert,주제프 류이스 세르트,jujepeu ryuiseu sereuteu
javier marías,하비에르 마리아스,habiereu mariaseu
yohana cobo,요아나 코보,yoana kobo
javier clemente,하비에르 클레멘테,habiereu keulremente
isidro lángara,이시드로 랑가라,isideuro ranggara
alberto botía,알베르토 보티아,albereuto botia
víctor fernández,빅토르 페르난데스,bigtoreu pereunandeseu
nacho vidal,나초 비달,naco bidal
natalia streignard,나탈리아 스트레이그나드,natalria seuteureigeunadeu
samuel eto'o,사뮈엘 에토,samwiel eto
jorge valdano,호르헤 발다노,horeuhe baldano
samuel sánchez,사무엘 산체스,samuel sanceseu
ruy lópez de segura,루이 로페스 데 세구라,rui ropeseu de segura
beatriz luengo,베아트리스 루엥고,beateuriseu ruenggo
david bisbal,다비드 비스발,dabideu biseubal
manuel marín,마누엘 마린,manuel marin
mabel rivera,마벨 리베라,mabel ribera
bigas luna,비가스 루나,bigaseu runa
maxi iglesias,막시 이글레시아스,magsi igeulresiaseu
joaquín urquiaga,호아킨 우르키아가,hoakin ureukiaga
manuel de blas,마누엘 드 블라스,manuel deu beulraseu
nieves navarro,니브즈 나바로,nibeujeu nabaro
rubén baraja,루벤 바라하,ruben baraha
carlos marín,카를로스 마린,kareulroseu marin
federico moreno torroba,페데리코 모레노 토로바,pederiko moreno toroba
alejo sauras,알레조 사우라스,alrejo sauraseu
marian rivera,마리안 리베라,marian ribera
xisco muñoz,시스코 무뇨스,siseuko munyoseu
ferenc puskás,푸슈카시 페렌츠,pusyukasi perenceu
ana mariscal,아나 마리스칼,ana mariseukal
ana wagener,아나 와헤네르,ana wahenereu
sergio ramos,세르히오 라모스,sereuhio ramoseu
rivaldo,히바우두,hibaudu
luis santaló,루이스 산탈로,ruiseu santalro
fernando arrabal,페르난도 아라발,pereunando arabal
pedro león,페드로 레온,pedeuro reon
antón lamazares,안톤 라마자레스,anton ramajareseu
manuel castells,마누엘 카스텔,manuel kaseutel
antonio adán,안토니오 아단,antonio adan
josé carreras,호세 카레라스,hose kareraseu
ander garitano,안데르 가리타노,andereu garitano
joseba etxeberria,호세바 에체베리아,hoseba eceberia
josé luis romero robledo,호세 루이스 로메로 로블레도,hose ruiseu romero robeulredo
diego velázquez de cuéllar,디에고 벨라스케스 데 케야르,diego belraseukeseu de keyareu
juan carlos navarro,후안 카를로스 나바로,huan kareulroseu nabaro
valeri karpin,발레리 카르핀,balreri kareupin
ana mulvoy ten,애나 멀보이 텐,aena meolboi ten
andrés túñez,안드레스 투녜스,andeureseu tunyeseu
paco gento,프란시스코 헨토,peuransiseuko hento
juan alonso,후안 알론소,huan alronso
sebastián losada,세바스티안 로사다,sebaseutian rosada
marc bartra,마르크 바르트라,mareukeu bareuteura
juan carlos valerón,후안 카를로스 발레론,huan kareulroseu balreron
sergi bruguera,세르지 브루게라,sereuji beurugera
josé antonio camacho,호세 안토니오 카마초,hose antonio kamaco
miguel ángel nadal,미겔 앙헬 나달,migel anghel nadal
josé santamaría,호세 산타마리아,hose santamaria
andréi xepkin,안드레이 셉킨,andeurei sebkin
enrique mateos,엔리케 마테오스,enrike mateoseu
garcilaso de la vega,가르실라소 데 라 베가,gareusilraso de ra bega
albert luque,알베르 루케,albereu ruke
joan laporta,주안 라포르타,juan raporeuta
olivier martinez,올리비에 마르티네즈,olribie mareutinejeu
thomas christiansen,토마스 크리스티안센,tomaseu keuriseutiansen
javier irureta,하비에르 이루레타,habiereu irureta
lucas vidal,루카스 비달,rukaseu bidal
rafael moneo,라파엘 모네오,rapael moneo
philippe coutinho,필리피 코치뉴,pilripi kocinyu
sebastián coates,세바스티안 코아테스,sebaseutian koateseu
dani aranzubia,다니엘 아란수비아,daniel aransubia
paco alcácer,파코 알카세르,pako alkasereu
unax ugalde,유나 유가데,yuna yugade
koldo aguirre,콜도 아기레,koldo agire
juan antonio deusto,후안 안토니오 데우스토,huan antonio deuseuto
kike garcía,키케 가르시아,kike gareusia
silvia abascal,실비아 아바스칼,silbia abaseukal
daniel pacheco,다니엘 파체코,daniel paceko
sandro rosell,산드로 로셀,sandeuro rosel
francisco largo caballero,프란시스코 라르고 카바예로,peuransiseuko rareugo kabayero
camarón de la isla,카마롱 데 라 이슬라,kamarong de ra iseulra
felipe miñambres,펠리페 미냠브레스,pelripe minyambeureseu
marcelino garcía toral,마르셀리노 가르시아 토랄,mareuselrino gareusia toral
rosana pastor,로사나 파스토르,rosana paseutoreu
olivia molina,올리비아 몰리나,olribia molrina
melitón manzanas,멜리톤 만사나스,melriton mansanaseu
ignacio kortabarria,이나시오 코르타바리아,inasio koreutabaria
javier zubillaga,하비에르 수비야가,habiereu subiyaga
telmo zarra,텔모 사라,telmo sara
asier del horno,아시에르 델 오르노,asiereu del oreuno
mikel san josé,미켈 산 호세,mikel san hose
rudy fernández,루디 페르난데스,rudi pereunandeseu
joan manuel serrat,후안 마누엘 세라,huan manuel sera
juan negrín,후안 네그린,huan negeurin
raúl tamudo,라울 타무도,raul tamudo
roque baños,로케 바뇨스,roke banyoseu
lucas pérez,루카스 페레스,rukaseu pereseu
josep borrell,주제프 보렐,jujepeu borel
alejandro farnesio,알레산드로 파르네세,alresandeuro pareunese
emma suárez,에마 수아레스,ema suareseu
natalia millán,나탈리아 미얀,natalria miyan
antonio barragán,안토니오 바라간,antonio baragan
mauricio pochettino,마우리시오 포체티노,maurisio pocetino
claudio bravo,클라우디오 브라보,keulraudio beurabo
luis carrero blanco,루이스 카레로 블랑코,ruiseu karero beulrangko
marc muniesa,마르크 무니에사,mareukeu muniesa
juan arango,후안 아랑고,huan aranggo
enrique collar,엔리케 코야르,enrike koyareu
moncho gil,몬초 힐,monco hil
juan antonio larrañaga,후안 안토니오 라라냐가,huan antonio raranyaga
patxi salinas,파치 살리나스,paci salrinaseu
raimundo pérez lezama,라이문도 페레스 레사마,raimundo pereseu resama
francisco tárrega,프란시스코 타레가,peuransiseuko tarega
serge ibaka,세르주 이바카,sereuju ibaka
miguel ángel angulo,미겔 앙헬 앙굴로,migel anghel anggulro
leonardo cilaurren,레오나르도 실라우렌,reonareudo silrauren
ignacio eizaguirre,이그나시오 에이사기레,igeunasio eisagire
niceto alcalázamora,니세토 알칼라사모라,niseto alkalrasamora
martín cortés zúñiga,마르틴 코르테스 수니가,mareutin koreuteseu suniga
fran mérida,프란 메리다,peuran merida
jonathan viera,호나탄 비에라,honatan biera
genar andrinua,헤나르 안드리누아,henareu andeurinua
juan carlos rodríguez moreno,후안 카를로스 로드리게스 모레노,huan kareulroseu rodeurigeseu moreno
david mateos,다비드 마테오스,dabideu mateoseu
