kārlis ulmanis,カールリス・ウルマニス,kārurisu・urumanisu
jaunlatvieši,セイネンラトビア,seinenratobia
latvenergo,ラトベネルゴ,ratobenerugo
inčukalns,インチュカルンス,inchukarunsu
mārupe,マールペ,mārupe
karosta,カロスタ,karosuta
mikrofona ieraksti,マイクロフォン・レコード,maikurofon・rekōdo
gaiziņkalns,ガイジンカインス,gaijinkainsu
ulbroka,ウルブロカ,uruburoka
limbaži,リンバジ,rinbaji
daugavgrīva,ダウガヴグリーヴァ,daugavugurīva
vaiņode,ヴァイニョデ,vainyode
sakta,サクタ,sakuta
prisma,プリスマ,purisuma
carnikava,ツァルニカヴァ,tsarunikava
nida,ニダ,nida
nepilsoņi,ヒコクセキシャ,hikokusekisha
ukri,ウクリ,ukuri
mikrofona aptauja,ミクロフォナ・アプタウヤ,mikurofona・aputauya
jāņi,ヒジリヨハネサイ,hijiriyohanesai
latvijas basketbola līga,ラトヴィア・バスケットボール・リーグ,ratovia・basukettobōru・rīgu
sece,セツェ,setse
pasažieru vilciens,パッサジエル・ヴィリシエン,passajieru・virishien
tērvete,テールヴェテ,tēruvuェte
jūrkalne,ピルスベルジ,pirusuberuji
majori,マヨリ,mayori
jersika,エリスカ,erisuka
birzgale,ビルズガレ,biruzugare
bogdāni,ボグダーニ,bogudāni
staburags,スタブラグス,sutaburagusu
triānas parks,トリアーナ・パーク,toriāna・pāku
višķi,ヴィシュキ,vishuki
atmoda,ココロカララトビアニ,kokorokararatobiani
lejasciems,レヤシエムス,reyashiemusu
slokas stadions,スロカス・スタディウム,surokasu・sutadiumu
eleja,エレヤ,ereya
ziestu kalns,ジエストゥ・カルンス,jiesutu・karunsu
laima,レイマ,reima
jaunais vilnis,ニュー・ウェイヴ,nyū・weivu
ratnieki,ラトニエキ,ratonieki
turlava,トゥルラヴァ,tururava
terra mariana,テッラ・マリアナ,terra・mariana
latvijas rublis,ラトビア・ルーブル,ratobia・rūburu
olimpija rīga,オリンピア・リガ,orinpia・riga
ziemeļu purvi,ジェメリュ・プルヴィ,jemeryu・puruvi
irbene,イルベネ,irubene
delna,デルナ,deruna
progresīvie,シンポ,shinpo
žaunerāni,ジャウネラーニ,jaunerāni
mikitāni,ミキターニ,mikitāni
angulo,アングーロ,angūro
riga,リガ,riga
europe,ヨーロッパ,yōroppa
