マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
キョウボウ,教房,MODIFIED,jiào fáng,kyoubou
イリマジリ,入交,MODIFIED,rù jiāo,irimajiri
イトス,糸洲,MODIFIED,mì zhōu,itosu
モンノ,门之,MODIFIED,mén zhī,monno
エンエミ,园惠美,MODIFIED,yuán huì měi,enemi
ハラヒデオ,原英夫,MODIFIED,yuán yīng fū,harahideo
サトワキ,里脇,MODIFIED,lǐ xié,satowaki
アサジロウ,浅次郎,MODIFIED,qiǎn cì láng,asajirou
イナブネ,稻船,MODIFIED,dào chuán,inabune
カモシタ,鸭下,MODIFIED,yā xià,kamoshita
ナカガミ,中上,MODIFIED,zhōng shàng,nakagami
シンタケ,信竹,MODIFIED,xìn zhú,shintake
カワヒロシガ,川宽贺,MODIFIED,chuān kuān hè,kawahiroshiga
キア,骑亚,MODIFIED,qí yà,kia
アズマヒロシ,东浩,MODIFIED,dōng hào,azumahiroshi
エダノ,枝野,MODIFIED,zhī yě,edano
アオヌマ,青沼,MODIFIED,qīng zhǎo,aonuma
トヨヒコ,丰彦,MODIFIED,fēng yàn,toyohiko
アツマロ,笃麿,MODIFIED,dǔ mí,atsumaro
オノレツヒサシ,己津央,MODIFIED,jǐ jīn yāng,onoretsuhisashi
タカツカサ,鹰司,MODIFIED,yīng sī,takatsukasa
ノブフサ,信房,MODIFIED,xìn fáng,nobufusa
フエシン,笛真,MODIFIED,dí zhēn,fueshin
ヒサダカ,久高,MODIFIED,jiǔ gāo,hisadaka
トモオ,友雄,MODIFIED,yǒu xióng,tomoo
イワイ,岩井,MODIFIED,yán jǐng,iwai
アツヒロシ,厚裕,MODIFIED,hòu yù,atsuhiroshi
シゲミツ,重光,MODIFIED,chóng guāng,shigemitsu
ミナモト,皆本,MODIFIED,jiē běn,minamoto
カツヒロ,胜弘,MODIFIED,shèng hóng,katsuhiro
ユウビ,优美,MODIFIED,yōu měi,yuubi
ウラベ,吉田,MODIFIED,jí tián,urabe
ケンコウ,兼好,MODIFIED,jiān hǎo,kenkou
ツネオ,恒夫,MODIFIED,héng fū,tsuneo
ハヤシブン,林文,MODIFIED,lín wén,hayashibun
ビザン,眉山,MODIFIED,méi shān,bizan
シンドウ,新藤,MODIFIED,xīn téng,shindou
オオイシ,大石,MODIFIED,dà shí,ooishi
カフウ,荷风,MODIFIED,hé fēng,kafuu
ニン,忍,MODIFIED,rěn,nin
カミノ,神野,MODIFIED,shén yě,kamino
チ,治,MODIFIED,zhì,chi
イソカイ,𥐟,MODIFIED,𥐟,isokai
シンヒロ,信寻,MODIFIED,xìn xún,shinhiro
シドオリ,师通,MODIFIED,shī tōng,shidoori
マンショ,满所,MODIFIED,mǎn suǒ,mansho
ニシタケ,西竹,MODIFIED,xī zhú,nishitake
トシヤ,俊哉,MODIFIED,jùn zāi,toshiya
キヨタケ,清武,MODIFIED,qīng wǔ,kiyotake
ハヤシミキ,林干,MODIFIED,lín gān,hayashimiki
オクイ,奥井,MODIFIED,ào jǐng,okui
ツジノゾミ,辻希,MODIFIED,shí xī,tsujinozomi
テツオ,铁夫,MODIFIED,tiě fū,tetsuo
テントキ,天斋,MODIFIED,tiān zhāi,tentoki
ニシダイ,西大,MODIFIED,xī dà,nishidai
ゴ,伍,MODIFIED,wǔ,go
ハヤクモ,早云,MODIFIED,zǎo yún,hayakumo
カサダニ,笠谷,MODIFIED,lì gǔ,kasadani
サチオ,幸生,MODIFIED,xìng shēng,sachio
モリオカ,森冈,MODIFIED,sēn gāng,morioka
エジリ,江尻,MODIFIED,jiāng kāo,ejiri
アツヒコ,笃彦,MODIFIED,dǔ yàn,atsuhiko
フトシ,太,MODIFIED,tài,futoshi
コマタ,古俣,MODIFIED,gǔ yǔ,komata
ミズウチ,水内,MODIFIED,shuǐ nèi,mizuuchi
タケシ,猛,MODIFIED,měng,takeshi
サワイリ,泽入,MODIFIED,zé rù,sawairi
コスギ,小杉,MODIFIED,xiǎo shān,kosugi
トシユキ,敏之,MODIFIED,mǐn zhī,toshiyuki
トダ,户田,MODIFIED,hù tián,toda
ソエタ,添田,MODIFIED,tiān tián,soeta
ゴウ,豪,MODIFIED,háo,gou
カナサカ,金坂,MODIFIED,jīn bǎn,kanasaka
フシミ,伏见,MODIFIED,fú jiàn,fushimi
ブヤスオ,部恭男,MODIFIED,bù gōng nán,buyasuo
イケノウエ,池之上,MODIFIED,chí zhī shàng,ikenoue
ミシェル,米歇尔,MODIFIED,mǐ xiē ěr,misheru
トミシマ,冨嶋,MODIFIED,fù dǎo,tomishima
ブナオヒコ,部直彦,MODIFIED,bù zhí yàn,bunaohiko
コウサイ,康哉,MODIFIED,kāng zāi,kousai
タドコロ,田所,MODIFIED,tián suǒ,tadokoro
アズサ,梓,MODIFIED,zǐ,azusa
エンユウ,圆融,MODIFIED,yuán róng,enyuu
レイセン,冷泉,MODIFIED,lěng quán,reisen
ジュンナ,淳和,MODIFIED,chún hé,junna
カミシ,神士,MODIFIED,shén shì,kamishi
クニギ,国木,MODIFIED,guó mù,kunigi
タドッポ,田独步,MODIFIED,tián dú bù,tadoppo
タコウジ,田康治,MODIFIED,tián kāng zhì,takouji
カシワバラ,柏原,MODIFIED,bǎi yuán,kashiwabara
ショウジ,正治,MODIFIED,zhèng zhì,shouji
ワカヤマ,若山,MODIFIED,ruò shān,wakayama
ボクスイ,牧水,MODIFIED,mù shuǐ,bokusui
ツヅキ,都筑,MODIFIED,dōu zhù,tsudzuki
ジュンワレ,淳吾,MODIFIED,chún wú,junware
アイフト,相太,MODIFIED,xiāng tài,aifuto
スナダ,砂田,MODIFIED,shā tián,sunada
ケイツカサ,敬司,MODIFIED,jìng sī,keitsukasa
キョウフウ,兴风,MODIFIED,xīng fēng,kyoufuu
サカタ,坂田,MODIFIED,bǎn tián,sakata
モニワ,茂庭,MODIFIED,mào tíng,moniwa
テルユキ,照幸,MODIFIED,zhào xìng,teruyuki
シマタク,岛卓,MODIFIED,dǎo zhuó,shimataku
ノブヒロ,亘弘,MODIFIED,gèn hóng,nobuhiro
マヤ,麻也,MODIFIED,má yě,maya
ヨネクラ,米仓,MODIFIED,mǐ cāng,yonekura
トシタカ,敏隆,MODIFIED,mǐn lóng,toshitaka
アカイ,赤井,MODIFIED,chì jǐng,akai
タカミ,孝美,MODIFIED,xiào měi,takami
モリシタ,森下,MODIFIED,sēn xià,morishita
アサシュウ,朝秀,MODIFIED,cháo xiù,asashuu
タカノ,高乃,MODIFIED,gāo nǎi,takano
ウララ,丽,MODIFIED,lì,urara
ホシイズル,星出,MODIFIED,xīng chū,hoshiizuru
アキヒコ,彰彦,MODIFIED,zhāng yàn,akihiko
ワカタ,若田,MODIFIED,ruò tián,wakata
デンジ,传治,MODIFIED,chuán zhì,denji
サキコ,咲子,MODIFIED,xiào zǐ,sakiko
ウサギマル,兔丸,MODIFIED,tù wán,usagimaru
エノモト,榎本,MODIFIED,jiǎ běn,enomoto
ブヨウ,武扬,MODIFIED,wǔ yáng,buyou
コウメ,小梅,MODIFIED,xiǎo méi,koume
コウベ,神户,MODIFIED,shén hù,koube
キヨオ,清雄,MODIFIED,qīng xióng,kiyoo
キンオウ,琴欧,MODIFIED,qín ōu,kinou
シマカツノリ,洲胜纪,MODIFIED,zhōu shèng jì,shimakatsunori
シンキョウ,信教,MODIFIED,xìn jiào,shinkyou
ヒラサワ,平泽,MODIFIED,píng zé,hirasawa
ススム,进,MODIFIED,jìn,susumu
チョクタカ,直贵,MODIFIED,zhí guì,chokutaka
イソミツ,矶光,MODIFIED,jī guāng,isomitsu
タイラトモ,平知,MODIFIED,píng zhī,tairatomo
ハヤマ,叶山,MODIFIED,yè shān,hayama
ヨシキ,嘉树,MODIFIED,jiā shù,yoshiki
オギワラ,荻原,MODIFIED,dí yuán,ogiwara
ショクシ,式子,MODIFIED,shì zǐ,shokushi
ナイシンノウ,内亲王,MODIFIED,nèi qīn wáng,naishinnou
ソガ,苏我,MODIFIED,sū wǒ,soga
ニュウシカ,入鹿,MODIFIED,rù lù,nyuushika
ヒロヤス,宏保,MODIFIED,hóng bǎo,hiroyasu
トシアキラ,捷昭,MODIFIED,jié zhāo,toshiakira
モリアツシ,森敦,MODIFIED,sēn dūn,moriatsushi
フルハシ,古桥,MODIFIED,gǔ qiáo,furuhashi
リュウバ,龙马,MODIFIED,lóng mǎ,ryuuba
スギハジメ,杉基,MODIFIED,shān jī,sugihajime
イクラ,鲑鱼子,MODIFIED,guī yú zǐ,ikura
ノハラ,野原,MODIFIED,yě yuán,nohara
ミサエ,美冴,MODIFIED,měi yà,misae
サダイエ,定家,MODIFIED,dìng jiā,sadaie
ヒロシチョウ,广长,MODIFIED,guǎng cháng,hiroshichou
ユウココロザシ,优志,MODIFIED,yōu zhì,yuukokorozashi
キンコ,欣子,MODIFIED,xīn zǐ,kinko
サンヤ,山谷,MODIFIED,shān gǔ,sanya
エリコ,惠里子,MODIFIED,huì lǐ zi,eriko
フミヨ,史代,MODIFIED,shǐ dài,fumiyo
チョコ,猪口,MODIFIED,zhū kǒu,choko
クニコ,邦子,MODIFIED,bāng zǐ,kuniko
ウラノ,浦野,MODIFIED,pǔ yě,urano
マキヨシ,牧美,MODIFIED,mù měi,makiyoshi
キョウコ,恭子,MODIFIED,gōng zǐ,kyouko
ケンザン,干山,MODIFIED,gān shān,kenzan
サラ,沙罗,MODIFIED,shā luó,sara
モトシュン,基俊,MODIFIED,jī jùn,motoshun
ウジマサ,氏政,MODIFIED,shì zhèng,ujimasa
マキシ,慎士,MODIFIED,shèn shì,makishi
テラヤマ,寺山,MODIFIED,sì shān,terayama
シュウジ,修司,MODIFIED,xiū sī,shuuji
ヒムロ,冰室,MODIFIED,bīng shì,himuro
キョウスケ,京介,MODIFIED,jīng jiè,kyousuke
ミチヒサシ,道永,MODIFIED,dào yǒng,michihisashi
ツカモト,冢本,MODIFIED,zhǒng běn,tsukamoto
ウメサキ,梅崎,MODIFIED,méi qí,umesaki
ヒロキ,广树,MODIFIED,guǎng shù,hiroki
カワジヒサ,川治久,MODIFIED,chuān zhì jiǔ,kawajihisa
タツタ,龙田,MODIFIED,lóng tián,tatsuta
セイチュウ,正忠,MODIFIED,zhèng zhōng,seichuu
ヨシミツ,义满,MODIFIED,yì mǎn,yoshimitsu
パウロ,保禄,MODIFIED,bǎo lù,pauro
カマモト,釜本,MODIFIED,fǔ běn,kamamoto
クニシゲ,邦茂,MODIFIED,bāng mào,kunishige
カワテル,英子,MODIFIED,yīng zǐ,kawateru
ミナモトケイ,源经,MODIFIED,yuán jīng,minamotokei
マツナガ,松永,MODIFIED,sōng yǒng,matsunaga
サダノリ,贞德,MODIFIED,zhēn dé,sadanori
ソノアタマ,薗头,MODIFIED,yuán tóu,sonoatama
コウド,后土,MODIFIED,hòu tǔ,koudo
ミカドテンノウ,御门天皇,MODIFIED,yù mén tiān huáng,mikadotennou
キクナエ,菊苗,MODIFIED,jú miáo,kikunae
アエバ,飨庭,MODIFIED,xiǎng tíng,aeba
フカモリ,深森,MODIFIED,shēn sēn,fukamori
タツノクチ,辰口,MODIFIED,chén kǒu,tatsunokuchi
シノブ,信夫,MODIFIED,xìn fū,shinobu
ジョウチ,条治,MODIFIED,tiáo zhì,jouchi
アスカ,飞鸟,MODIFIED,fēi niǎo,asuka
イマサツネ,井雅经,MODIFIED,jǐng yǎ jīng,imasatsune
イワサキ,岩崎,MODIFIED,yán qí,iwasaki
ヒラヌマ,平沼,MODIFIED,píng zhǎo,hiranuma
イワキョ,岩居,MODIFIED,yán jū,iwakyo
ベップ,别府,MODIFIED,bié fǔ,beppu
ススムカイ,晋介,MODIFIED,jìn jiè,susumukai
サントウ,山东,MODIFIED,shān dōng,santou
キョウデン,京传,MODIFIED,jīng chuán,kyouden
ナカソ,中曾,MODIFIED,zhōng céng,nakaso
ネヒロフミ,根弘文,MODIFIED,gēn hóng wén,nehirofumi
ハブ,羽生,MODIFIED,yǔ shēng,habu
ミズグチ,水口,MODIFIED,shuǐ kǒu,mizuguchi
エイイサオ,永德,MODIFIED,yǒng dé,eiisao
ハザマゾウサン,间象山,MODIFIED,jiān xiàng shān,hazamazousan
フジエダ,藤枝,MODIFIED,téng zhī,fujieda
シズオ,静男,MODIFIED,jìng nán,shizuo
コレエダ,是枝,MODIFIED,shì zhī,koreeda
アサブキ,朝吹,MODIFIED,cháo chuī,asabuki
マリ,茉莉,MODIFIED,mò lì,mari
イケガヤ,池谷,MODIFIED,chí gǔ,ikegaya
シンゴ,慎吾,MODIFIED,shèn wú,shingo
アサノ,浅野,MODIFIED,qiǎn yě,asano
チュウシン,忠信,MODIFIED,zhōng xìn,chuushin
ユリ,由梨,MODIFIED,yóu lí,yuri
ヤダ,矢田,MODIFIED,shǐ tián,yada
タチバナ,立花,MODIFIED,lì huā,tachibana
サトゴ,里子,MODIFIED,lǐ zi,satogo
アサミ,麻美,MODIFIED,má měi,asami
ユマ,由真,MODIFIED,yóu zhēn,yuma
ツネヤスシ,恒靖,MODIFIED,héng jìng,tsuneyasushi
ネヤスヒロ,根康弘,MODIFIED,gēn kāng hóng,neyasuhiro
マキマコト,卷诚,MODIFIED,juàn chéng,makimakoto
ソノダ,园田,MODIFIED,yuán tián,sonoda
ケイサトル,启悟,MODIFIED,qǐ wù,keisatoru
チュウヘイ,忠平,MODIFIED,zhōng píng,chuuhei
ムラマツ,村松,MODIFIED,cūn sōng,muramatsu
フミコレ,史之,MODIFIED,shǐ zhī,fumikore
リタダシ,李忠,MODIFIED,lǐ zhōng,ritadashi
シライ,白井,MODIFIED,bái jǐng,shirai
タカダ,高田,MODIFIED,gāo tián,takada
ヤスノリ,保则,MODIFIED,bǎo zé,yasunori
ツルマキ,鹤卷,MODIFIED,hè juàn,tsurumaki
ゼンワレ,善吾,MODIFIED,shàn wú,zenware
ガヤ,贺谷,MODIFIED,hè gǔ,gaya
シュウフトシ,秀太,MODIFIED,xiù tài,shuufutoshi
タツ,立,MODIFIED,lì,tatsu
タカハマ,高滨,MODIFIED,gāo bīn,takahama
キョシ,虚子,MODIFIED,xū zǐ,kyoshi
メ,芽,MODIFIED,yá,me
チョクシ,敕使,MODIFIED,chì shǐ,chokushi
カワハラヒロシ,河原宏,MODIFIED,hé yuán hóng,kawaharahiroshi
イワサワ,岩泽,MODIFIED,yán zé,iwasawa
サカキバラ,榊原,MODIFIED,shén yuán,sakakibara
カギキチ,键吉,MODIFIED,jiàn jí,kagikichi
ムネヒサ,宗久,MODIFIED,zōng jiǔ,munehisa
トシナリ,俊成,MODIFIED,jùn chéng,toshinari
ツボタ,坪田,MODIFIED,píng tián,tsubota
カズミ,和美,MODIFIED,hé měi,kazumi
ウメハラ,梅原,MODIFIED,méi yuán,umehara
ヨシフミ,嘉文,MODIFIED,jiā wén,yoshifumi
イナバ,稻叶,MODIFIED,dào yè,inaba
ハムロ,叶室,MODIFIED,yè shì,hamuro
ゴキヨシ,吴清,MODIFIED,wú qīng,gokiyoshi
ヨシヒデ,义荣,MODIFIED,yì róng,yoshihide
コボリ,小堀,MODIFIED,xiǎo kū,kobori
サタ,佐田,MODIFIED,zuǒ tián,sata
トクヘイ,德平,MODIFIED,dé píng,tokuhei
ヒナタ,日向,MODIFIED,rì xiàng,hinata
コジロウ,小次郎,MODIFIED,xiǎo cì láng,kojirou
モロノブ,师宣,MODIFIED,shī xuān,moronobu
コウノスケ,幸之助,MODIFIED,xìng zhī zhù,kounosuke
カキモト,柿本,MODIFIED,shì běn,kakimoto
ヒトアサリョ,人麻吕,MODIFIED,rén má lǚ,hitoasaryo
スガワラ,菅原,MODIFIED,jiān yuán,sugawara
ミチザネ,道真,MODIFIED,dào zhēn,michizane
トモリ,友利,MODIFIED,yǒu lì,tomori
エンヤカタ,圆馆,MODIFIED,yuán guǎn,enyakata
キム,金,MODIFIED,jīn,kimu
ハナコウジ,花光司,MODIFIED,huā guāng sī,hanakouji
ネムリコ,眠子,MODIFIED,mián zǐ,nemuriko
トガノ,栂野,MODIFIED,méi yě,togano
オエツコ,尾悦子,MODIFIED,wěi yuè zǐ,oetsuko
ノブコ,信子,MODIFIED,xìn zǐ,nobuko
タカナシ,高梨,MODIFIED,gāo lí,takanashi
ミヅキ,美月,MODIFIED,měi yuè,midzuki
ミクニ,美娜,MODIFIED,měi nà,mikuni
カミジョウ,上条,MODIFIED,shàng tiáo,kamijou
メイホウ,明峰,MODIFIED,míng fēng,meihou
タカヤマ,高山,MODIFIED,gāo shān,takayama
ユキナガ,行长,MODIFIED,háng cháng,yukinaga
サカガミ,坂上,MODIFIED,bǎn shàng,sakagami
タムラアサリョ,田村麻吕,MODIFIED,tián cūn má lǚ,tamuraasaryo
シバサキ,柴咲,MODIFIED,chái xiào,shibasaki
ナルミ,成实,MODIFIED,chéng shí,narumi
カズヨ,和世,MODIFIED,hé shì,kazuyo
ハマメグミ,滨惠,MODIFIED,bīn huì,hamamegumi
カオリサト,香织里,MODIFIED,xiāng zhī lǐ,kaorisato
トシコ,兰,MODIFIED,lán,toshiko
マツシマ,松嶋,MODIFIED,sōng dǎo,matsushima
ナナコ,菜菜子,MODIFIED,cài cài zǐ,nanako
フカタ,深田,MODIFIED,shēn tián,fukata
アオイ,葵,MODIFIED,kuí,aoi
タイラ,平,MODIFIED,píng,taira
クスノキ,楠木,MODIFIED,nán mù,kusunoki
マサシゲ,正成,MODIFIED,zhèng chéng,masashige
テンシ,典史,MODIFIED,diǎn shǐ,tenshi
セイヒン,成彬,MODIFIED,chéng bīn,seihin
イシザカ,石坂,MODIFIED,shí bǎn,ishizaka
オオヤケシゲル,公成,MODIFIED,gōng chéng,ooyakeshigeru
カワシモ,河下,MODIFIED,hé xià,kawashimo
ニシノ,西野,MODIFIED,xī yě,nishino
チハラ,茅原,MODIFIED,máo yuán,chihara
ガラシャ,伽罗奢,MODIFIED,jiā luó shē,garasha
ヨシトモ,祥智,MODIFIED,xiáng zhì,yoshitomo
ハニヤ,埴谷,MODIFIED,zhí gǔ,haniya
ユウダカ,雄高,MODIFIED,xióng gāo,yuudaka
ハナタ,花田,MODIFIED,huā tián,hanata
ミツヨ,光代,MODIFIED,guāng dài,mitsuyo
アトリ,亚鸟,MODIFIED,yà niǎo,atori
イノクマ,猪熊,MODIFIED,zhū xióng,inokuma
サノ,佐野,MODIFIED,zuǒ yě,sano
ジョウボク,上木,MODIFIED,shàng mù,jouboku
アヤヤ,彩矢,MODIFIED,cǎi shǐ,ayaya
トクタ,德田,MODIFIED,dé tián,tokuta
アツコ,敦子,MODIFIED,dūn zǐ,atsuko
オカクラ,冈仓,MODIFIED,gāng cāng,okakura
テンシン,天心,MODIFIED,tiān xīn,tenshin
ミヤハラ,宫原,MODIFIED,gōng yuán,miyahara
アツジ,厚次,MODIFIED,hòu cì,atsuji
モリスグル,森英,MODIFIED,sēn yīng,morisuguru
アツオ,敦夫,MODIFIED,dūn fū,atsuo
トガシ,冨㭴,MODIFIED,fù 㭴,togashi
ジロウミギエモン,次郎右卫门,MODIFIED,cì láng yòu wèi mén,jiroumigiemon
キサラギ,如月,MODIFIED,rú yuè,kisaragi
グンシン,群真,MODIFIED,qún zhēn,gunshin
ヤスサダ,安贞,MODIFIED,ān zhēn,yasusada
ヒガシケイ,东庆,MODIFIED,dōng qìng,higashikei
チョウエイ,长英,MODIFIED,cháng yīng,chouei
クマ,久间,MODIFIED,jiǔ jiān,kuma
アキオ,章生,MODIFIED,zhāng shēng,akio
ワカモト,若本,MODIFIED,ruò běn,wakamoto
ノリオ,规夫,MODIFIED,guī fū,norio
カナモリ,金森,MODIFIED,jīn sēn,kanamori
ヒロオ,博雄,MODIFIED,bó xióng,hiroo
ウジヤス,氏康,MODIFIED,shì kāng,ujiyasu
モリアゲ,森上,MODIFIED,sēn shàng,moriage
ナママル,生丸,MODIFIED,shēng wán,namamaru
ヨシハラ,吉原,MODIFIED,jí yuán,yoshihara
スエオ,季雄,MODIFIED,jì xióng,sueo
フトシヤス,太安,MODIFIED,tài ān,futoshiyasu
トモユキ,奉文,MODIFIED,fèng wén,tomoyuki
ミョウギ,妙义,MODIFIED,miào yì,myougi
リュウヤスナリ,龙泰成,MODIFIED,lóng tài chéng,ryuuyasunari
ツジマサシ,辻政,MODIFIED,shí zhèng,tsujimasashi
リヨコ,理代子,MODIFIED,lǐ dài zǐ,riyoko
ウエクサ,植草,MODIFIED,zhí cǎo,uekusa
テツジロウ,哲次郎,MODIFIED,zhé cì láng,tetsujirou
ミナモトシュン,源俊,MODIFIED,yuán jùn,minamotoshun
ヨリユキ,赖,MODIFIED,lài,yoriyuki
イシグロ,石黑,MODIFIED,shí hēi,ishiguro
ユメマド,梦窗,MODIFIED,mèng chuāng,yumemado
ウトセキ,疏石,MODIFIED,shū shí,utoseki
ホンキョ,本居,MODIFIED,běn jū,honkyo
ノリナガ,宣长,MODIFIED,xuān cháng,norinaga
ツネアサ,常朝,MODIFIED,cháng cháo,tsuneasa
ハラグチ,原口,MODIFIED,yuán kǒu,haraguchi
オモネカタナ,阿刀,MODIFIED,ā dāo,omonekatana
タタカ,田高,MODIFIED,tián gāo,tataka
キコジロウ,木小次郎,MODIFIED,mù xiǎo cì láng,kikojirou
ユウヨル,夕夜,MODIFIED,xī yè,yuuyoru
ウルシバラ,漆原,MODIFIED,qī yuán,urushibara
ヒガシフク,东伏,MODIFIED,dōng fú,higashifuku
ミミヤヨヒトシシンノウ,见宫依仁亲王,MODIFIED,jiàn gōng yī rén qīn wáng,mimiyayohitoshishinnou
ホッケ,法华,MODIFIED,fǎ huá,hokke
ツヒロシ,津宽,MODIFIED,jīn kuān,tsuhiroshi
アコロモカ,亚衣加,MODIFIED,yà yī jiā,akoromoka
ホアツシ,保笃,MODIFIED,bǎo dǔ,hoatsushi
ヨネミツ,米满,MODIFIED,mǐ mǎn,yonemitsu
タツヒロ,达弘,MODIFIED,dá hóng,tatsuhiro
オキグチ,冲口,MODIFIED,chōng kǒu,okiguchi
シュウワ,秀和,MODIFIED,xiù hé,shuuwa
コウトウト,功贵,MODIFIED,gōng guì,koutouto
タケハク,丈博,MODIFIED,zhàng bó,takehaku
ナカセ,中濑,MODIFIED,zhōng lài,nakase
ナガアキラ,长晟,MODIFIED,cháng shèng,nagaakira
サワノ,泽野,MODIFIED,zé yě,sawano
イクオ,育夫,MODIFIED,yù fū,ikuo
ダイゴ,大后,MODIFIED,dà hòu,daigo
ノザワ,野泽,MODIFIED,yě zé,nozawa
ノエ,野枝,MODIFIED,yě zhī,noe
シュウメイ,周明,MODIFIED,zhōu míng,shuumei
エキジロウ,益次郎,MODIFIED,yì cì láng,ekijirou
カマキチ,镰吉,MODIFIED,lián jí,kamakichi
オオオカ,大冈,MODIFIED,dà gāng,oooka
コウズイ,光瑞,MODIFIED,guāng ruì,kouzui
ヨシツギ,吉继,MODIFIED,jí jì,yoshitsugi
ドウカン,道灌,MODIFIED,dào guàn,doukan
ニンゲツ,忍月,MODIFIED,rěn yuè,ningetsu
ヨウジロウ,洋次郎,MODIFIED,yáng cì láng,youjirou
イリエ,入江,MODIFIED,rù jiāng,irie
リョウカイ,陵介,MODIFIED,líng jiè,ryoukai
キタセ,北濑,MODIFIED,běi lài,kitase
ケイハン,佳范,MODIFIED,jiā fàn,keihan
カンカイ,康介,MODIFIED,kāng jiè,kankai
ツブラヤ,圆谷,MODIFIED,yuán gǔ,tsuburaya
コウキチ,幸吉,MODIFIED,xìng jí,koukichi
タガ,田卧,MODIFIED,tián wò,taga
イサムフトシ,勇太,MODIFIED,yǒng tài,isamufutoshi
オミ,小见,MODIFIED,xiǎo jiàn,omi
オカモト,冈本,MODIFIED,gāng běn,okamoto
マヨ,真夜,MODIFIED,zhēn yè,mayo
ナガマサ,长政,MODIFIED,cháng zhèng,nagamasa
ナホミ,奈穗美,MODIFIED,nài suì měi,nahomi
アオイイ,苍井,MODIFIED,cāng jǐng,aoii
アイナイ,爱内,MODIFIED,ài nèi,ainai
コイケ,小池,MODIFIED,xiǎo chí,koike
ヨジュン,佳纯,MODIFIED,jiā chún,yojun
ツグジ,嗣治,MODIFIED,sì zhì,tsuguji
ヒロシキノ,博纪,MODIFIED,bó jì,hiroshikino
フジエ,藤江,MODIFIED,téng jiāng,fujie
マブチ,马渊,MODIFIED,mǎ yuān,mabuchi
サカクラ,坂仓,MODIFIED,bǎn cāng,sakakura
キタヤマ,北山,MODIFIED,běi shān,kitayama
キヨタロウ,清太郎,MODIFIED,qīng tài láng,kiyotarou
マスゾエ,舛添,MODIFIED,chuǎn tiān,masuzoe
ヒカリリョク,光力,MODIFIED,guāng lì,hikariryoku
マモリクニ,守邦,MODIFIED,shǒu bāng,mamorikuni
キノシタ,木下,MODIFIED,mù xià,kinoshita
ナオエ,尚江,MODIFIED,shàng jiāng,naoe
カガ,加贺,MODIFIED,jiā hè,kaga
オトヒコ,乙彦,MODIFIED,yǐ yàn,otohiko
トモキ,友树,MODIFIED,yǒu shù,tomoki
ナガノ,永野,MODIFIED,yǒng yě,nagano
シュウシン,修身,MODIFIED,xiū shēn,shuushin
オオグレ,大暮,MODIFIED,dà mù,oogure
セイイチ,静壹,MODIFIED,jìng yī,seiichi
コウリン,光琳,MODIFIED,guāng lín,kourin
リンゾウ,林藏,MODIFIED,lín cáng,rinzou
ネコダ,猫田,MODIFIED,māo tián,nekoda
タハラ,田原,MODIFIED,tián yuán,tahara
ヨシヒロシ,吉洋,MODIFIED,jí yáng,yoshihiroshi
シマツ,岛津,MODIFIED,dǎo jīn,shimatsu
チョウツマ,长妻,MODIFIED,cháng qī,choutsuma
コウヒロシ,高容,MODIFIED,gāo róng,kouhiroshi
ヒメ,姬,MODIFIED,jī,hime
キヌヨ,绢代,MODIFIED,juàn dài,kinuyo
オハラ,小原,MODIFIED,xiǎo yuán,ohara
ジュンメグミ,顺惠,MODIFIED,shùn huì,junmegumi
セイトク,圣德,MODIFIED,shèng dé,seitoku
タイシ,太子,MODIFIED,tài zǐ,taishi
キンガ,近贺,MODIFIED,jìn hè,kinga
ユカリ,由香里,MODIFIED,yóu xiāng lǐ,yukari
イマル,伊丸,MODIFIED,yī wán,imaru
オカアツシ,冈笃,MODIFIED,gāng dǔ,okaatsushi
フジナミ,藤浪,MODIFIED,téng làng,fujinami
ススムタロウ,晋太郎,MODIFIED,jìn tài láng,susumutarou
セナ,濑奈,MODIFIED,lài nài,sena
タマリナ,珠理奈,MODIFIED,zhū lǐ nài,tamarina
シゲハル,重治,MODIFIED,zhòng zhì,shigeharu
ゴコウ,后光,MODIFIED,hòu guāng,gokou
イムテンノウ,严天皇,MODIFIED,yán tiān huáng,imutennou
コウミョウ,光明,MODIFIED,guāng míng,koumyou
ショウジキ,正直,MODIFIED,zhèng zhí,shoujiki
ナガト,长门,MODIFIED,cháng mén,nagato
タンマチ,反町,MODIFIED,fǎn tǐng,tanmachi
アギ,阿木,MODIFIED,ā mù,agi
ジサツ,前上,MODIFIED,qián shàng,jisatsu
サイトサツジンジケン,博,MODIFIED,bó,saitosatsujinjiken
ハギオ,萩尾,MODIFIED,qiū wěi,hagio
モト,望都,MODIFIED,wàng dōu,moto
チカツ,知克,MODIFIED,zhī kè,chikatsu
カワマチコ,川町子,MODIFIED,chuān tǐng zǐ,kawamachiko
イイクボ,饭洼,MODIFIED,fàn wā,iikubo
ハルナ,春菜,MODIFIED,chūn cài,haruna
モモイ,桃井,MODIFIED,táo jǐng,momoi
ハルコ,晴子,MODIFIED,qíng zǐ,haruko
ミズホ,瑞穗,MODIFIED,ruì suì,mizuho
ヤマザ,山座,MODIFIED,shān zuò,yamaza
エンジロウ,圆次郎,MODIFIED,yuán cì láng,enjirou
アケミ,明美,MODIFIED,míng měi,akemi
カミヤ,神谷,MODIFIED,shén gǔ,kamiya
