김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
광복절,光复节,guāng fù jié,gwangbogjeol
장충성당,将忠天主教堂,jiāng zhōng tiān zhǔ jiào táng,jangcungseongdang
기쁨조,欢乐组,huān lè zǔ,gibbeumjo
수안군,遂安郡,suì ān jùn,suangun
평양텔레비죤탑,平壤电视塔,píng rǎng diàn shì tǎ,pyeongyangtelrebijyontab
만경대,万景台,wàn jǐng tái,mangyeongdae
함경북도,咸镜北道,xián jìng běi dào,hamgyeongbugdo
함경남도,咸镜南道,xián jìng nán dào,hamgyeongnamdo
꽃제비,小燕子,xiǎo yàn zi,ggocjebi
평안남도,平安南道,píng ān nán dào,pyeongannamdo
랑림산맥,狼林山脉,láng lín shān mài,rangrimsanmaeg
기정동,机井洞,jī jǐng dòng,gijeongdong
조선녀성,朝鲜女性,cháo xiān nǚ xìng,joseonnyeoseong
안협군,安峡郡,ān xiá jùn,anhyeobgun
옥류교,玉流桥,yù liú qiáo,ogryugyo
만수대,万寿台,wàn shòu tái,mansudae
릉라교,绫罗桥,líng luó qiáo,reungragyo
주체사상,主体思想,zhǔ tǐ sī xiǎng,jucesasang
판문점,板门店,bǎn mén diàn,panmunjeom
조선혁명박물관,朝鲜革命博物馆,cháo xiān gé mìng bó wù guǎn,joseonhyeogmyeongbagmulgwan
만수대대기념비,万寿台大纪念碑,wàn shòu tái dà jì niàn bēi,mansudaedaeginyeombi
운봉선,云峰线,yún fēng xiàn,unbongseon
정백사원,平壤贞柏寺院,píng rǎng zhēn bǎi sì yuàn,jeongbaegsaweon
송도원선,松涛园线,sōng tāo yuán xiàn,songdoweonseon
시정선,柴井线,chái jǐng xiàn,sijeongseon
리원선,利原线,lì yuán xiàn,riweonseon
토해선,土海线,tǔ hǎi xiàn,tohaeseon
황해선,黄海线,huáng hǎi xiàn,hwanghaeseon
당창건사적관,党创建事迹馆,dǎng chuàng jiàn shì jì guǎn,dangcanggeonsajeoggwan
우의탑,友谊塔,yǒu yì tǎ,uyitab
조선그리스도교련맹,朝鲜基督教联盟,cháo xiān jī dū jiào lián méng,joseongeuriseudogyoryeonmaeng
김일성훈장,金日成勋章,jīn rì chéng xūn zhāng,gimilseonghunjang
남북전,南北韩足球打吡,nán běi hán zú qiú dǎ bǐ,nambugjeon
공화국영웅,共和国英雄,gòng hé guó yīng xióng,gonghwagugyeongung
두만강선,豆满江线,dòu mǎn jiāng xiàn,dumangangseon
강안선,江岸线,jiāng àn xiàn,ganganseon
신천박물관,信川博物馆,xìn chuān bó wù guǎn,sinceonbagmulgwan
조선우표박물관,朝鲜邮票博物馆,cháo xiān yóu piào bó wù guǎn,joseonupyobagmulgwan
평양시간,平壤时间,píng rǎng shí jiān,pyeongyangsigan
개천탄광선,价川煤矿线,jià chuān méi kuàng xiàn,gaeceontangwangseon
조선대성은행,大成银行,dà chéng yín háng,joseondaeseongeunhaeng
대동문영화관,大同门映画馆,dà tóng mén yìng huà guǎn,daedongmunyeonghwagwan
길주군,吉州郡,jí zhōu jùn,giljugun
평라선,平罗线,píng luó xiàn,pyeongraseon
보천군,普天郡,pǔ tiān jùn,boceongun
어랑군,渔郎郡,yú láng jùn,eoranggun
김형권군,金亨权郡,jīn hēng quán jùn,gimhyeonggweongun
풍서군,丰西郡,fēng xī jùn,pungseogun
서흥군,瑞兴郡,ruì xīng jùn,seoheunggun
은률군,殷栗郡,yīn lì jùn,eunryulgun
대동군,大同郡,dà tóng jùn,daedonggun
강남군,江南郡,jiāng nán jùn,gangnamgun
김형직군,金亨稷郡,jīn hēng jì jùn,gimhyeongjiggun
사회주의애국청년동맹,社会主义爱国青年同盟,shè huì zhǔ yì ài guó qīng nián tóng méng,sahoejuyiaegugceongnyeondongmaeng
이천군,伊川郡,yī chuān jùn,iceongun
당창건기념탑,党创建纪念塔,dǎng chuàng jiàn jì niàn tǎ,dangcanggeonginyeomtab
조국해방전쟁승리기념탑,祖国解放战争胜利纪念塔,zǔ guó jiě fàng zhàn zhēng shèng lì jì niàn tǎ,jogughaebangjeonjaengseungriginyeomtab
대동신용은행,大同信用银行,dà tóng xìn yòng yín háng,daedongsinyongeunhaeng
남동선,南洞线,nán dòng xiàn,namdongseon
압록강선,鸭绿江线,yā lù jiāng xiàn,abroggangseon
정도선,鼎岛线,dǐng dǎo xiàn,jeongdoseon
조선외국문도서출판사,朝鲜外文出版社,cháo xiān wài wén chū bǎn shè,joseonoegugmundoseoculpansa
허천선,虚川线,xū chuān xiàn,heoceonseon
영생탑,永生塔,yǒng shēng tǎ,yeongsaengtab
안주탄광선,安州煤矿线,ān zhōu méi kuàng xiàn,anjutangwangseon
자유독립훈장,自由独立勋章,zì yóu dú lì xūn zhāng,jayudogribhunjang
송림선,松林线,sōng lín xiàn,songrimseon
보천선,普天线,pǔ tiān xiàn,boceonseon
관음사,观音寺,guān yīn sì,gwaneumsa
서산호텔,西山饭店,xī shān fàn diàn,seosanhotel
호위사령부,护卫司令部,hù wèi sī lìng bù,howisaryeongbu
조선직업총동맹,朝鲜职业总同盟,cháo xiān zhí yè zǒng tóng méng,joseonjigeobcongdongmaeng
광법사,广法寺,guǎng fǎ sì,gwangbeobsa
과학기술전당,科学技术殿堂,kē xué jì shù diàn táng,gwahaggisuljeondang
괘궁정,挂弓亭,guà gōng tíng,gwaegungjeong
미래과학자거리,未来科学家大街,wèi lái kē xué jiā dà jiē,miraegwahagjageori
주체연호,主体历,zhǔ tǐ lì,juceyeonho
인풍루,仁风楼,rén fēng lóu,inpungru
통군정,统军亭,tǒng jūn tíng,tonggunjeong
숭인전,崇仁殿,chóng rén diàn,sunginjeon
조선사회주의녀성동맹,朝鲜社会主义女性同盟,cháo xiān shè huì zhǔ yì nǚ xìng tóng méng,joseonsahoejuyinyeoseongdongmaeng
조선농업근로자동맹,朝鲜农业劳动者同盟,cháo xiān nóng yè láo dòng zhě tóng méng,joseonnongeobgeunrojadongmaeng
부용당,芙蓉堂,fú róng táng,buyongdang
애국렬사릉,爱国烈士陵,ài guó liè shì líng,aegugryeolsareung
국제김일성상,国际金日成奖,guó jì jīn rì chéng jiǎng,gugjegimilseongsang
김일성가,金日成家族,jīn rì chéng jiā zú,gimilseongga
개선청년공원,凯旋青年公园,kǎi xuán qīng nián gōng yuán,gaeseonceongnyeongongweon
평양산원,平壤产科医院,píng rǎng chǎn kē yī yuàn,pyeongyangsanweon
세검정,洗剑亭,xǐ jiàn tíng,segeomjeong
양시선,杨市线,yáng shì xiàn,yangsiseon
선군절,先军节,xiān jūn jié,seongunjeol
멸악산맥,灭恶山脉,miè è shān mài,myeolagsanmaeg
약산동대,药山东台,yào shān dōng tái,yagsandongdae
금성청년출판사,金星青年出版社,jīn xīng qīng nián chū bǎn shè,geumseongceongnyeonculpansa
장진선,长津线,cháng jīn xiàn,jangjinseon
조선중앙력사박물관,朝鲜中央历史博物馆,cháo xiān zhōng yāng lì shǐ bó wù guǎn,joseonjungangryeogsabagmulgwan
장연선,长渊线,cháng yuān xiàn,jangyeonseon
개심사,开心寺,kāi xīn sì,gaesimsa
녕변군,宁边郡,níng biān jùn,nyeongbyeongun
유점사,榆岾寺,yú zhān sì,yujeomsa
영명사,永明寺,yǒng míng sì,yeongmyeongsa
신압록강대교,中朝鸭绿江界河公路大桥,zhōng cháo yā lù jiāng jiè hé gōng lù dà qiáo,sinabroggangdaegyo
만경대혁명학원,万景台革命学院,wàn jǐng tái gé mìng xué yuàn,mangyeongdaehyeogmyeonghagweon
부벽루,浮碧楼,fú bì lóu,bubyeogru
표훈사,表训寺,biǎo xùn sì,pyohunsa
도문국경대교,图们国境大桥,tú men guó jìng dà qiáo,domunguggyeongdaegyo
두만강대교,图们江大桥,tú men jiāng dà qiáo,dumangangdaegyo
기자릉,箕子陵,jī zǐ líng,gijareung
장혜국제대교,长惠国际大桥,cháng huì guó jì dà qiáo,janghyegugjedaegyo
인민상,共和国人民奖,gòng hé guó rén mín jiǎng,inminsang
현무문,玄武门,xuán wǔ mén,hyeonmumun
정일봉,正日峰,zhèng rì fēng,jeongilbong
백마선,白马线,bái mǎ xiàn,baegmaseon
신흥선,新兴线,xīn xīng xiàn,sinheungseon
금골선,金沟线,jīn gōu xiàn,geumgolseon
개천선,价川线,jià chuān xiàn,gaeceonseon
강덕선,康德线,kāng dé xiàn,gangdeogseon
덕현선,德岘线,dé xiàn xiàn,deoghyeonseon
은률선,殷栗线,yīn lì xiàn,eunryulseon
배천선,白川线,bái chuān xiàn,baeceonseon
황해청년선,黄海青年线,huáng hǎi qīng nián xiàn,hwanghaeceongnyeonseon
강계선,江界线,jiāng jiè xiàn,ganggyeseon
만월대,满月台,mǎn yuè tái,manweoldae
선죽교,善竹桥,shàn zhú qiáo,seonjuggyo
옹진선,瓮津线,wèng jīn xiàn,ongjinseon
평덕선,平德线,píng dé xiàn,pyeongdeogseon
풍계리,丰溪里,fēng xī lǐ,punggyeri
무산선,茂山线,mào shān xiàn,musanseon
회령탄광선,会宁煤矿线,huì níng méi kuàng xiàn,hoeryeongtangwangseon
백무선,白茂线,bái mào xiàn,baegmuseon
회암선,灰岩线,huī yán xiàn,hoeamseon
룡강선,龙冈线,lóng gāng xiàn,ryonggangseon
릉라인민유원지,绫罗人民游园地,líng luó rén mín yóu yuán dì,reungrainminyuweonji
평북선,平北线,píng běi xiàn,pyeongbugseon
평양체육관,平壤体育馆,píng rǎng tǐ yù guǎn,pyeongyangceyuggwan
부포선,釜浦线,fǔ pǔ xiàn,buposeon
박천선,博川线,bó chuān xiàn,bagceonseon
로동자신문,劳动者新闻,láo dòng zhě xīn wén,rodongjasinmun
현지지도,现场指导,xiàn chǎng zhǐ dǎo,hyeonjijido
광명성,光明星,guāng míng xīng,gwangmyeongseong
고건원선,古干原线,gǔ gān yuán xiàn,gogeonweonseon
고려박물관,高丽博物馆,gāo lí bó wù guǎn,goryeobagmulgwan
무산광산선,茂山矿山线,mào shān kuàng shān xiàn,musangwangsanseon
일탄선,日炭线,rì tàn xiàn,iltanseon
조선미술박물관,朝鲜美术博物馆,cháo xiān měi shù bó wù guǎn,joseonmisulbagmulgwan
고원탄광선,高原煤矿线,gāo yuán méi kuàng xiàn,goweontangwangseon
법흥사,法兴寺,fǎ xīng sì,beobheungsa
박연폭포,朴渊瀑布,pǔ yuān pù bù,bagyeonpogpo
동림폭포,东林瀑布,dōng lín pù bù,dongrimpogpo
금강산청년선,金刚山青年线,jīn gāng shān qīng nián xiàn,geumgangsanceongnyeonseon
만덕선,满德线,mǎn dé xiàn,mandeogseon
정양사,正阳寺,zhèng yáng sì,jeongyangsa
보천읍,普天邑,pǔ tiān yì,boceoneub
보천보전투승리기념탑,普天堡战斗胜利纪念塔,pǔ tiān bǎo zhàn dòu shèng lì jì niàn tǎ,boceonbojeontuseungriginyeomtab
평양문화전시관,平壤文化展示馆,píng rǎng wén huà zhǎn shì guǎn,pyeongyangmunhwajeonsigwan
최승대,最胜台,zuì shèng tái,coeseungdae
금광사,朝鲜金光寺,cháo xiān jīn guāng sì,geumgwangsa
조선기자동맹,朝鲜记者同盟,cháo xiān jì zhě tóng méng,joseongijadongmaeng
송도원,松涛园,sōng tāo yuán,songdoweon
안골선,安沟线,ān gōu xiàn,angolseon
철산선,铁山线,tiě shān xiàn,ceolsanseon
국가항공우주기술총국,朝鲜民主主义人民共和国国家航空航天技术总局,cháo xiān mín zhǔ zhǔ yì rén mín gòng hé guó guó jiā háng kōng háng tiān jì shù zǒng jú,guggahanggongujugisulconggug
광명성절,光明星节,guāng míng xīng jié,gwangmyeongseongjeol
을밀대,乙密台,yǐ mì tái,eulmildae
납북자,拉北,lā běi,nabbugja
다사도선,多狮岛线,duō shī dǎo xiàn,dasadoseon
대안선,大安线,dà ān xiàn,daeanseon
현릉,王建王陵,wáng jiàn wáng líng,hyeonreung
서해갑문선,西海闸门线,xī hǎi zhá mén xiàn,seohaegabmunseon
태왕,太王,tài wáng,taewang
은산선,殷山线,yīn shān xiàn,eunsanseon
운산선,云山线,yún shān xiàn,unsanseon
로농적위군,劳农赤卫军,láo nóng chì wèi jūn,ronongjeogwigun
김책제철련합기업소,金策制铁联合企业所,jīn cè zhì tiě lián hé qǐ yè suǒ,gimcaegjeceolryeonhabgieobso
갑산파,甲山派事件,jiǎ shān pài shì jiàn,gabsanpa
붉은청년근위대,红色青年近卫队,hóng sè qīng nián jìn wèi duì,bulgeunceongnyeongeunwidae
공민증,公民证,gōng mín zhèng,gongminjeung
목란비데오,木兰影片,mù lán yǐng piàn,mogranbideo
기상수문국,气象水文局,qì xiàng shuǐ wén jú,gisangsumungug
법운암,法云庵,fǎ yún ān,beobunam
용곡서원,龙谷书院,lóng gǔ shū yuàn,yonggogseoweon
한국어족,朝鲜语系,cháo xiān yǔ xì,hangugeojog
소련파,苏联派,sū lián pài,soryeonpa
주체농법,主体农法,zhǔ tǐ nóng fǎ,jucenongbeob
조선문학예술총동맹,朝鲜文学艺术总同盟,cháo xiān wén xué yì shù zǒng tóng méng,joseonmunhagyesulcongdongmaeng
득장선,得将线,dé jiāng xiàn,deugjangseon
고참탄광선,古站煤矿线,gǔ zhàn méi kuàng xiàn,gocamtangwangseon
비날론선,维尼纶线,wéi ní lún xiàn,binalronseon
장상선,长上线,zhǎng shàng xiàn,jangsangseon
남양국경선,南阳国境线,nán yáng guó jìng xiàn,namyangguggyeongseon
구봉산선,龟凤山线,guī fèng shān xiàn,gubongsanseon
대건선,戴建线,dài jiàn xiàn,daegeonseon
춘두선,春斗线,chūn dòu xiàn,cunduseon
천내선,川内线,chuān nèi xiàn,ceonnaeseon
관하선,官下线,guān xià xiàn,gwanhaseon
성평선,城坪线,chéng píng xiàn,seongpyeongseon
대각선,大角线,dà jiǎo xiàn,daegagseon
덕남선,德南线,dé nán xiàn,deognamseon
평양방어사령부,平壤防御司令部,píng rǎng fáng yù sī lìng bù,pyeongyangbangeosaryeongbu
문천항선,文川港线,wén chuān gǎng xiàn,munceonhangseon
국제김정일상,国际金正日奖,guó jì jīn zhèng rì jiǎng,gugjegimjeongilsang
금야선,金野线,jīn yě xiàn,geumyaseon
수풍선,水丰线,shuǐ fēng xiàn,supungseon
청진항선,清津港线,qīng jīn gǎng xiàn,ceongjinhangseon
청년전위,青年前卫,qīng nián qián wèi,ceongnyeonjeonwi
룡암선,龙岩线,lóng yán xiàn,ryongamseon
락랑선,乐浪线,lè làng xiàn,ragrangseon
창흥선,昌兴线,chāng xīng xiàn,cangheungseon
명당선,明堂线,míng táng xiàn,myeongdangseon
조선불교도련맹,朝鲜佛教徒联盟,cháo xiān fó jiào tú lián méng,joseonbulgyodoryeonmaeng
동포선,东浦线,dōng pǔ xiàn,dongposeon
사회과학원,朝鲜社会科学院,cháo xiān shè huì kē xué yuàn,sahoegwahagweon
재동선,梓洞线,zǐ dòng xiàn,jaedongseon
직동탄광선,直洞煤矿线,zhí dòng méi kuàng xiàn,jigdongtangwangseon
조국해방전쟁승리기념관,祖国解放战争胜利博物馆,zǔ guó jiě fàng zhàn zhēng shèng lì bó wù guǎn,jogughaebangjeonjaengseungriginyeomgwan
서호선,西湖线,xī hú xiàn,seohoseon
검은모루동굴유적,黑隅里遗址,hēi yú lǐ yí zhǐ,geomeunmorudonggulyujeog
마식령,马息岭,mǎ xī lǐng,masigryeong
룡문탄광선,龙门煤矿线,lóng mén méi kuàng xiàn,ryongmuntangwangseon
모학선,慕鹤线,mù hè xiàn,mohagseon
평양속도,平壤速度,píng rǎng sù dù,pyeongyangsogdo
김일성고급당학교,金日成高级党学校,jīn rì chéng gāo jí dǎng xué xiào,gimilseonggogeubdanghaggyo
목란관,木兰馆,mù lán guǎn,mograngwan
판문각,板门阁,bǎn mén gé,panmungag
김군옥영웅함,金君玉英雄号潜艇,jīn jūn yù yīng xióng hào qián tǐng,gimgunogyeongungham
신분당선,新盆唐线,xīn pén táng xiàn,sinbundangseon
서울메트로,首尔地铁,shǒu ěr dì tiě,seoulmeteuro
가평군,加平郡,jiā píng jùn,gapyeonggun
강진군,康津郡,kāng jīn jùn,gangjingun
강화군,江华郡,jiāng huá jùn,ganghwagun
거창군,居昌郡,jū chāng jùn,geocanggun
고령군,高灵郡,gāo líng jùn,goryeonggun
무주군,茂朱郡,mào zhū jùn,mujugun
봉화군,奉化郡,fèng huà jùn,bonghwagun
부안군,扶安郡,fú ān jùn,buangun
보은군,报恩郡,bào ēn jùn,boeungun
보성군,宝城郡,bǎo chéng jùn,boseonggun
산청군,山清郡,shān qīng jùn,sanceonggun
서천군,舒川郡,shū chuān jùn,seoceongun
부여군,扶余郡,fú yú jùn,buyeogun
성주군,星州郡,xīng zhōu jùn,seongjugun
괴산군,槐山郡,huái shān jùn,goesangun
고창군,高敞郡,gāo chǎng jùn,gocanggun
고흥군,高兴郡,gāo xìng jùn,goheunggun
구례군,求礼郡,qiú lǐ jùn,guryegun
곡성군,谷城郡,gǔ chéng jùn,gogseonggun
금산군,锦山郡,jǐn shān jùn,geumsangun
군위군,军威郡,jūn wēi jùn,gunwigun
기장군,机张郡,jī zhāng jùn,gijanggun
담양군,潭阳郡,tán yáng jùn,damyanggun
달성군,达城郡,dá chéng jùn,dalseonggun
단양군,丹阳郡,dān yáng jùn,danyanggun
무안군,务安郡,wù ān jùn,muangun
분당선,盆唐线,pén táng xiàn,bundangseon
경기도,京畿道,jīng jī dào,gyeonggido
순창군,淳昌郡,chún chāng jùn,suncanggun
신안군,新安郡,xīn ān jùn,sinangun
한국철도공사,韩国铁道公社,hán guó tiě dào gōng shè,hangugceoldogongsa
양양군,襄阳郡,xiāng yáng jùn,yangyanggun
양구군,杨口郡,yáng kǒu jùn,yanggugun
이어도,苏岩礁,sū yán jiāo,ieodo
훈민정음,训民正音,xùn mín zhèng yīn,hunminjeongeum
옥천군,沃川郡,wò chuān jùn,ogceongun
예천군,醴泉郡,lǐ quán jùn,yeceongun
양평군,杨平郡,yáng píng jùn,yangpyeonggun
연천군,涟川郡,lián chuān jùn,yeonceongun
영동군,永同郡,yǒng tóng jùn,yeongdonggun
영덕군,盈德郡,yíng dé jùn,yeongdeoggun
영암군,灵岩郡,líng yán jùn,yeongamgun
영월군,宁越郡,níng yuè jùn,yeongweolgun
예산군,礼山郡,lǐ shān jùn,yesangun
영양군,英阳郡,yīng yáng jùn,yeongyanggun
서수로,釜山海峡,fǔ shān hǎi xiá,seosuro
임실군,任实郡,rèn shí jùn,imsilgun
장성군,长城郡,cháng chéng jùn,jangseonggun
한려해상국립공원,闲丽海上国立公园,xián lì hǎi shàng guó lì gōng yuán,hanryeohaesanggugribgongweon
경춘선,京春线,jīng chūn xiàn,gyeongcunseon
진천군,镇川郡,zhèn chuān jùn,jinceongun
창녕군,昌宁郡,chāng níng jùn,cangnyeonggun
청도군,清道郡,qīng dào jùn,ceongdogun
진안군,镇安郡,zhèn ān jùn,jinangun
증평군,曾坪郡,céng píng jùn,jeungpyeonggun
정선군,旌善郡,jīng shàn jùn,jeongseongun
장흥군,长兴郡,cháng xīng jùn,jangheunggun
진도군,珍岛郡,zhēn dǎo jùn,jindogun
장수군,长水郡,cháng shuǐ jùn,jangsugun
함안군,咸安郡,xián ān jùn,hamangun
태안군,泰安郡,tài ān jùn,taeangun
칠곡군,漆谷郡,qī gǔ jùn,cilgoggun
수인선,水仁线,shuǐ rén xiàn,suinseon
경부선,京釜线,jīng fǔ xiàn,gyeongbuseon
해남군,海南郡,hǎi nán jùn,haenamgun
합천군,陜川郡,xiá chuān jùn,habceongun
함평군,咸平郡,xián píng jùn,hampyeonggun
함양군,咸阳郡,xián yáng jùn,hamyanggun
홍성군,洪城郡,hóng chéng jùn,hongseonggun
경인선,京仁线,jīng rén xiàn,gyeonginseon
서울평화상,首尔和平奖,shǒu ěr hé píng jiǎng,seoulpyeonghwasang
완도군,莞岛郡,wǎn dǎo jùn,wandogun
울진군,蔚珍郡,wèi zhēn jùn,uljingun
울주군,蔚州郡,wèi zhōu jùn,uljugun
완주군,完州郡,wán zhōu jùn,wanjugun
화순군,和顺郡,hé shùn jùn,hwasungun
홍천군,洪川郡,hóng chuān jùn,hongceongun
음성군,阴城郡,yīn chéng jùn,eumseonggun
의령군,宜宁郡,yí níng jùn,yiryeonggun
의성군,义城郡,yì chéng jùn,yiseonggun
인제군,麟蹄郡,lín tí jùn,injegun
남해군,南海郡,nán hǎi jùn,namhaegun
하동군,河东郡,hé dōng jùn,hadonggun
청송군,青松郡,qīng sōng jùn,ceongsonggun
청원군,清原郡,qīng yuán jùn,ceongweongun
청양군,青阳郡,qīng yáng jùn,ceongyanggun
현대자동차,现代汽车,xiàn dài qì chē,hyeondaejadongca
송광사,松广寺,sōng guǎng sì,songgwangsa
국회의사당,国会议事堂,guó huì yì shì táng,gughoeyisadang
농업협동조합,农业协同组合,nóng yè xié tóng zǔ hé,nongeobhyeobdongjohab
이마트,易买得,yì mǎi dé,imateu
기아,起亚汽车,qǐ yà qì chē,gia
중앙선,中央线,zhōng yāng xiàn,jungangseon
금강산선,金刚山线,jīn gāng shān xiàn,geumgangsanseon
충청북도,忠清北道,zhōng qīng běi dào,cungceongbugdo
충청남도,忠清南道,zhōng qīng nán dào,cungceongnamdo
한국과학기술연구원,韩国科学技术研究院,hán guó kē xué jì shù yán jiū yuàn,hanguggwahaggisulyeonguweon
서울특별시장,首尔特别市长,shǒu ěr tè bié shì zhǎng,seoulteugbyeolsijang
한국과학기술원,韩国科学技术院,hán guó kē xué jì shù yuàn,hanguggwahaggisulweon
한국노동조합총연맹,韩国劳动组合总联盟,hán guó láo dòng zǔ hé zǒng lián méng,hangugnodongjohabcongyeonmaeng
서대문형무소,西大门刑务所,xī dà mén xíng wù suǒ,seodaemunhyeongmuso
인사동,仁寺洞,rén sì dòng,insadong
태안해안국립공원,泰安海岸国立公园,tài ān hǎi àn guó lì gōng yuán,taeanhaeangugribgongweon
화천군,华川郡,huá chuān jùn,hwaceongun
횡성군,横城郡,héng chéng jùn,hoengseonggun
호남선,湖南线,hú nán xiàn,honamseon
병점기지선,饼店基地线,bǐng diàn jī dì xiàn,byeongjeomgijiseon
한국항공우주산업,韩国航空宇宙产业,hán guó háng kōng yǔ zhòu chǎn yè,hangughanggongujusaneob
강원특별자치도,江原特别自治道,jiāng yuán tè bié zì zhì dào,gangweonteugbyeoljacido
경상남도,庆尚南道,qìng shàng nán dào,gyeongsangnamdo
경상북도,庆尚北道,qìng shàng běi dào,gyeongsangbugdo
조계사,曹溪寺,cáo xī sì,jogyesa
한국교육방송공사,韩国教育广播公司,hán guó jiào yù guǎng bō gōng sī,hanguggyoyugbangsonggongsa
국가재건최고회의,国家重建最高会议,guó jiā chóng jiàn zuì gāo huì yì,guggajaegeoncoegohoeyi
새마을호,新村号,xīn cūn hào,saemaeulho
국립서울현충원,国立首尔显忠院,guó lì shǒu ěr xiǎn zhōng yuàn,gugribseoulhyeoncungweon
종묘,宗庙,zōng miào,jongmyo
전북특별자치도,全北特别自治道,quán běi tè bié zì zhì dào,jeonbugteugbyeoljacido
전라남도,全罗南道,quán luó nán dào,jeonranamdo
제주특별자치도,济州特别自治道,jì zhōu tè bié zì zhì dào,jejuteugbyeoljacido
민주주의민족전선,民主主义民族战线,mín zhǔ zhǔ yì mín zú zhàn xiàn,minjujuyiminjogjeonseon
연산군묘,燕山君墓,yān shān jūn mù,yeonsangunmyo
태종대,太宗台,tài zōng tái,taejongdae
압구정동,狎鸥亭洞,xiá ōu tíng dòng,abgujeongdong
예술의전당,艺术殿堂,yì shù diàn táng,yesulyijeondang
국군간호사관학교,国军看护士官学校,guó jūn kān hù shì guān xué xiào,guggunganhosagwanhaggyo
경부고속철도,京釜高速线,jīng fǔ gāo sù xiàn,gyeongbugosogceoldo
이스타항공,易斯达航空,yì sī dá háng kōng,iseutahanggong
거가대교,巨加大桥,jù jiā dà qiáo,geogadaegyo
정선선,旌善线,jīng shàn xiàn,jeongseonseon
한국도로공사,韩国道路公社,hán guó dào lù gōng shè,hangugdorogongsa
성수대교,圣水大桥,shèng shuǐ dà qiáo,seongsudaegyo
한국일보,韩国日报,hán guó rì bào,hangugilbo
매일경제신문,每日经济新闻,měi rì jīng jì xīn wén,maeilgyeongjesinmun
육군특수전사령부,韩国陆军特战司令部,hán guó lù jūn tè zhàn sī lìng bù,yuggunteugsujeonsaryeongbu
여의도공원,汝矣岛公园,rǔ yǐ dǎo gōng yuán,yeoyidogongweon
세브란스병원,世福兰斯医院,shì fú lán sī yī yuàn,sebeuranseubyeongweon
선정릉,宣靖陵,xuān jìng líng,seonjeongreung
한국조폐공사,韩国造币公社,hán guó zào bì gōng shè,hangugjopyegongsa
동해남부선,东海南部线,dōng hǎi nán bù xiàn,donghaenambuseon
금산사,金山寺,jīn shān sì,geumsansa
무궁화호,无穷花号,wú qióng huā hào,mugunghwaho
당산철교,堂山铁桥,táng shān tiě qiáo,dangsanceolgyo
임진각국민관광지,临津阁,lín jīn gé,imjingaggugmingwangwangji
남제주군,南济州郡,nán jì zhōu jùn,namjejugun
청담대교,清潭大桥,qīng tán dà qiáo,ceongdamdaegyo
대구선,大邱线,dà qiū xiàn,daeguseon
넷마블,网石游戏,wǎng shí yóu xì,nesmabeul
청해진,莞岛清海镇遗址,wǎn dǎo qīng hǎi zhèn yí zhǐ,ceonghaejin
아모레퍼시픽,爱茉莉太平洋,ài mò lì tài píng yáng,amorepeosipig
분황사,芬皇寺,fēn huáng sì,bunhwangsa
북제주군,北济州郡,běi jì zhōu jùn,bugjejugun
라이따이한,越战韩越混血儿,yuè zhàn hán yuè hùn xuè ér,raiddaihan
동래온천,东莱温泉,dōng lái wēn quán,dongraeonceon
동관왕묘,东关王庙,dōng guān wáng miào,donggwanwangmyo
일성록,日省录,rì shěng lù,ilseongrog
서경주신호소,西庆州信号所,xī qìng zhōu xìn hào suǒ,seogyeongjusinhoso
교보문고,教保文库,jiào bǎo wén kù,gyobomungo
해인사,海印寺,hǎi yìn sì,haeinsa
한남대교,汉南大桥,hàn nán dà qiáo,hannamdaegyo
전주국제영화제,全州国际电影节,quán zhōu guó jì diàn yǐng jié,jeonjugugjeyeonghwaje
전쟁기념관,战争纪念馆,zhàn zhēng jì niàn guǎn,jeonjaengginyeomgwan
국립국악원,国立国乐院,guó lì guó yuè yuàn,gugribgugagweon
부천국제판타스틱영화제,富川国际奇幻电影节,fù chuān guó jì qí huàn diàn yǐng jié,buceongugjepantaseutigyeonghwaje
한국예술종합학교,韩国艺术综合学校,hán guó yì shù zōng hé xué xiào,hangugyesuljonghabhaggyo
개똥녀,狗屎女事件,gǒu shǐ nǚ shì jiàn,gaeddongnyeo
올림픽대교,奥林匹克大桥,ào lín pǐ kè dà qiáo,olrimpigdaegyo
성덕대왕신종,圣德大王神钟,shèng dé dà wáng shén zhōng,seongdeogdaewangsinjong
오뚜기,奥多吉,ào duō jí,oddugi
