нюша,뉴샤,nyusya
краскино,크라스키노,keuraseukino
калиновка,칼리놉카,kalrinobka
устьордынский,우스티오르딘스키,useutioreudinseuki
столбовой,스톨보보이섬,seutolboboiseom
крайний север,크라이니 세베르,keuraini sebereu
экарма,예카르마섬,yekareumaseom
рыбачий,리바치반도,ribacibando
зарубино,자루비노,jarubino
тарутинский бой,타루티노 전투,tarutino jeontu
гимн россии,러시아의 국가,reosiayi gugga
владивосток авиа,블라디보스토크 항공,beulradiboseutokeu hanggong
росбанк,로스은행,roseueunhaeng
одноклассники,오드노클라스니키,odeunokeulraseuniki
сайменский канал,사이마 운하,saima unha
шиашкотан,시아시코탄섬,siasikotanseom
канал грибоедова,그리보예도프 운하,geuriboyedopeu unha
государственный университет управления,러시아 국립 경영대학교,reosia gugrib gyeongyeongdaehaggyo
изборск,이즈보르스크,ijeuboreuseukeu
кинематограф россии,러시아 영화,reosia yeonghwa
московский комсомолец,모스콥스키 콤소몰레츠,moseukobseuki komsomolreceu
сахалинский государственный университет,국립 사할린 대학교,gugrib sahalrin daehaggyo
тузла,투즐라섬,tujeulraseom
роснефть,로스네프트,roseunepeuteu
норникель,노르니켈,noreunikel
чумикан,추미칸,cumikan
горнозаводск,고르노자보츠크,goreunojaboceukeu
хрустальный остров,크리스탈 아일랜드,keuriseutal ailraendeu
останкино,오스탄키노궁,oseutankinogung
духоборы,두호보르파,duhoboreupa
удэгейцы,우데게족,udegejog
крымский троллейбус,크림반도의 트롤리버스,keurimbandoyi teurolribeoseu
тубалары,투발라르족,tubalrareujog
симушир,시무시르섬,simusireuseom
знаменское,즈나멘스코예,jeunamenseukoye
ленинградский зоопарк,레닌그라드 동물원,reningeuradeu dongmulweon
лефортовский тоннель,레포르토보 터널,reporeutobo teoneol
танаис,타나이스,tanaiseu
матуа,마투아섬,matuaseom
никольское,니콜스코예,nikolseukoye
евразийство,유라시아주의,yurasiajuyi
минеральные воды,미네랄니예보디 공항,mineralniyebodi gonghang
российский национальный оркестр,러시아 내셔널 오케스트라,reosia naesyeoneol okeseuteura
марьяновка,마리야노프카,mariyanopeuka
алмазантей,알마즈안테이,almajeuantei
мечел,메첼,mecel
семёновский,세묘놉스키섬,semyonobseukiseom
российскояпонские отношения,러시아일본 관계,reosiailbon gwangye
газпромбанк,가스프롬방크,gaseupeurombangkeu
александринский театр,알렉산드린스키 극장,alregsandeurinseuki geugjang
сойоты,소요트족,soyoteujog
кунаширский пролив,쿠나시르 해협,kunasireu haehyeob
полиция россии,러시아 경찰,reosia gyeongcal
кыштымская авария,키시팀 사고,kisitim sago
лукойл арена,옷크리티예 아레나,oskeuritiye arena
чиринкотан,치링코탄섬,ciringkotanseom
газпром нефть,가즈프롬 네프트,gajeupeurom nepeuteu
александровский сад,알렉산드롭스키 정원,alregsandeurobseuki jeongweon
вепсская национальная волость,벱스카야 나치오날나야 볼로스티,bebseukaya nacionalnaya bolroseuti
марсово поле,마르스 광장,mareuseu gwangjang
калининградский зоопарк,칼리닌그라드 동물원,kalriningeuradeu dongmulweon
русский букер,러시아 부커상,reosia bukeosang
рособоронэкспорт,로소보로넥스포르트,rosoboronegseuporeuteu
райкоке,라이코케섬,raikokeseom
новосибирский государственный технический университет,국립 노보시비르스크 기술 대학교,gugrib nobosibireuseukeu gisul daehaggyo
бросно,브로스노호,beuroseunoho
банковский мост,반콥스키 다리,bankobseuki dari
день народного единства,국민 단결의 날,gugmin dangyeolyi nal
труд,트루드,teurudeu
силовик,실로비크,silrobikeu
лопатка,로팟카곶,ropaskagoj
гимн татарстана,타타르스탄의 국가,tatareuseutanyi gugga
саратовские авиалинии,사라토프 항공,saratopeu hanggong
космические войска,러시아 우주군,reosia ujugun
теракт в будённовске,부됴놉스크 병원 인질극,budyonobseukeu byeongweon injilgeug
малый театр,말리 극장,malri geugjang
кидекша,키덱샤,kidegsya
ракета,라케타,raketa
малокурильское,말로쿠릴스코예,malrokurilseukoye
славянка,슬라뱐카,seulrabyanka
корф,코르프,koreupeu
путин должен уйти,푸틴은 떠나야 한다,putineun ddeonaya handa
ключи,클류치,keulryuci
почта россии,러시아 우정,reosia ujeong
теленгиты,텔렝기트족,telrenggiteujog
русское имя,러시아인의 성명,reosiainyi seongmyeong
мегафон,메가폰,megapon
климов,크리모프,keurimopeu
тв центр,테베 첸트르,tebe centeureu
трансмашхолдинг,트랜스마시홀딩,teuraenseumasiholding
посьет,포시예트,posiyeteu
российский союз эсперантистов,러시아 에스페란티스토 연방,reosia eseuperantiseuto yeonbang
валдгейм,발트게임,balteugeim
ираэро,이르아에로,ireuaero
русгидро,루스기드로,ruseugideuro
всмпоависма,브슴포아비스마,beuseumpoabiseuma
столичная,스톨리치나야,seutolricinaya
оймяконское плоскогорье,오이먀콘 고원,oimyakon goweon
латышские стрелки,라트비아 소총병,rateubia socongbyeong
российский государственный университет нефти и газа,굽킨 러시아 국립 석유 가스 대학교,gubkin reosia gugrib seogyu gaseu daehaggyo
баня,바냐,banya
уралвагонзавод,우랄바곤자보드,uralbagonjabodeu
манежная площадь,마네즈나야 광장,manejeunaya gwangjang
группа нлмк,노볼리페츠크 스틸,nobolripeceukeu seutil
российскобелорусские отношения,러시아벨라루스 관계,reosiabelraruseu gwangye
культура россии,러시아의 문화,reosiayi munhwa
порбажын,포르바진,poreubajin
техснабэкспорт,테넥스,tenegseu
сириус арена,아들레르 아레나,adeulrereu arena
коммерсантъ,콤메르산트,kommereusanteu
дом советов,소비에트 회관,sobieteu hoegwan
адмиралтейские верфи,아드미랄티 조선소,adeumiralti joseonso
ушканьи острова,우시칸 군도,usikan gundo
царское село,차르스코예 셀로,careuseukoye selro
косоворотка,루바슈카,rubasyuka
татнефть,타트네프트,tateunepeuteu
кубок премьерлиги,러시아 프리미어리그컵,reosia peurimieorigeukeob
курчатовский институт,쿠르차토프 연구소,kureucatopeu yeonguso
спб биржа,상트페테르부르크 증권거래소,sangteupetereubureukeu jeunggweongeoraeso
крестьянский интернационал,농민 인터내셔널,nongmin inteonaesyeoneol
российскоукраинские отношения,러시아우크라이나 관계,reosiaukeuraina gwangye
новосибирский государственный университет,국립 노보시비르스크 대학교,gugrib nobosibireuseukeu daehaggyo
сабантуй,사반투이,sabantui
циолковский,치올콥스키,ciolkobseuki
победа,포베다,pobeda
полюс,폴리우스,polriuseu
омонимичные домены,도메인 핵,domein haeg
русский национализм,러시아 국민주의,reosia gugminjuyi
ростех,로스텍,roseuteg
московский монорельс,모스크바 모노레일,moseukeuba monoreil
ленинский коммунистический союз молодёжи российской федерации,러시아 연방 레닌주의 청년 공산주의자 동맹,reosia yeonbang reninjuyi ceongnyeon gongsanjuyija dongmaeng
транснефть,트랜스네프트,teuraenseunepeuteu
тазы,타즈족,tajeujog
владивостокский трамвай,블라디보스토크 트램,beulradiboseutokeu teuraem
ловушки,로브스키섬,robeuseukiseom
музыка россии,러시아 음악,reosia eumag
московская биржа,모스크바 증권거래소,moseukeuba jeunggweongeoraeso
чечень,체첸섬,cecenseom
юрий,유리섬,yuriseom
таватуй,타바투이호,tabatuiho
шелонская битва,셸론강 전투,syelrongang jeontu
всероссийская государственная телевизионная и радиовещательная компания,전러시아 국립 텔레비전 및 라디오 회사,jeonreosia gugrib telrebijeon mic radio hoesa
крымский мост,크림 대교,keurim daegyo
сенатская площадь,원로원 광장,weonroweon gwangjang
бурханизм,부르칸교,bureukangyo
новгородский погром,노브고로드 학살,nobeugorodeu hagsal
гимн республики саха,사하 공화국의 국가,saha gonghwagugyi gugga
восточносибирская тайга,동시베리아 타이가,dongsiberia taiga
кумоманычский канал,쿠마마니치 운하,kumamanici unha
койлуото,코일루오토섬,koilruotoseom
аймак,아이막,aimag
российскобелорусская граница,러시아벨라루스 국경,reosiabelraruseu guggyeong
правительство москвы,모스크바의 정부,moseukeubayi jeongbu
российскосеверокорейские отношения,러시아조선민주주의인민공화국 관계,reosiajoseonminjujuyiinmingonghwagug gwangye
сила сибири,시베리아의 힘,siberiayi him
лазурная,라주르나야만,rajureunayaman
войска воздушнокосмической обороны,러시아 항공우주 방위군,reosia hanggonguju bangwigun
русскоязычные,러시아어권,reosiaeogweon
лаврентьевская летопись,로렌시아 연대기,rorensia yeondaegi
осколки,오스콜키섬,oseukolkiseom
большой москворецкий мост,볼쇼이 모스크보레츠키 다리,bolsyoi moseukeuboreceuki dari
вертолёты россии,러시안 헬리콥터스,reosian helrikobteoseu
горное,고르나에,goreunae
герб екатеринбурга,예카테린부르크의 문장,yekaterinbureukeuyi munjang
герб перми,페름의 문장,pereumyi munjang
демиховский машиностроительный завод,데미호보 차량 공장,demihobo caryang gongjang
дом на мосфильмовской,하우스 오브 모스필무브스카야,hauseu obeu moseupilmubeuseukaya
кашкулакская пещера,카시쿨락스카야 동굴,kasikulragseukaya donggul
коммунисты россии,러시아의 공산주의자들,reosiayi gongsanjuyijadeul
кочкильдино,코치킬디노,kocikildino
мексиканороссийские отношения,러시아멕시코 관계,reosiamegsiko gwangye
новикомбанк,노비콤은행,nobikomeunhaeng
новый диск,노비 디스크,nobi diseukeu
ночные волки,밤의 늑대들,bamyi neugdaedeul
орловская правда,오를롭스카야 프라브다,oreulrobseukaya peurabeuda
осетинская кухня,오세티야 요리,osetiya yori
отрада,오트라다,oteurada
паралимпийский комитет россии,러시아 패럴림픽 위원회,reosia paereolrimpig wiweonhoe
ягляярви,애글래호,aegeulraeho
толвоярви,톨바호,tolbaho
перевальное,페레발노예,perebalnoye
волгоград арена,볼고그라드 아레나,bolgogeuradeu arena
перемышль,페레미실,peremisil
росгосстрах,로스고스스트라흐,roseugoseuseuteuraheu
российский государственный социальный университет,러시아 국립 사회 대학교,reosia gugrib sahoe daehaggyo
российскоузбекистанские отношения,러시아우즈베키스탄 관계,reosiaujeubekiseutan gwangye
рейдово,레이다바,reidaba
дворец путина,푸틴 궁전,putin gungjeon
российское социалистическое движение,러시아 사회주의 운동,reosia sahoejuyi undong
российскоюжнокорейские отношения,한러 관계,hanreo gwangye
раздольное,라즈돌노예,rajeudolnoye
русский музей фотографии,러시아 사진 박물관,reosia sajin bagmulgwan
русский крест,러시안 크로스,reosian keuroseu
славное,시베토로촌,sibetorocon
ростов арена,로스토프 아레나,roseutopeu arena
ростех арена,칼리닌그라드 스타디움,kalriningeuradeu seutadium
нижний новгород,니즈니노브고로드 스타디움,nijeuninobeugorodeu seutadium
федеральный университет,러시아의 연방대학교,reosiayi yeonbangdaehaggyo
фрунзенская набережная,프룬젠스카야 강변도로,peurunjenseukaya gangbyeondoro
россети,로세티,roseti
чёрный дельфин,흑돌고래 교도소,heugdolgorae gyodoso
яндекс диск,얀덱스 디스크,yandegseu diseukeu
мордовия арена,모르도비야 아레나,moreudobiya arena
орловскобрянская операция,브랸스크 전투,beuryanseukeu jeontu
постоянные члены совета безопасности оон,유엔 안전 보장 이사회 상임이사국,yuen anjeon bojang isahoe sangimisagug
краскинское городище,크라스키노 토성,keuraseukino toseong
звезда,즈베즈다,jeubejeuda
российскотаджикистанские отношения,러시아타지키스탄 관계,reosiatajikiseutan gwangye
ютэйр карго,유테이르 카고,yuteireu kago
аврора,오로라,orora
россия сегодня,로시야 시보드냐,rosiya sibodeunya
республика крым,크림 공화국,keurim gonghwagug
русский ирредентизм,러시아 민족통일주의,reosia minjogtongiljuyi
российскоукраинская война,러시아우크라이나 전쟁,reosiaukeuraina jeonjaeng
российская оккупация крыма,러시아의 크림반도 점령,reosiayi keurimbando jeomryeong
ахмат тауэр,아크맛 타워,akeumas taweo
герб челябинска,첼랴빈스크의 문장,celryabinseukeuyi munjang
гайдаровский форум,가이다르 포럼,gaidareu poreom
московское центральное кольцо,모스크바 중앙 순환선,moseukeuba jungang sunhwanseon
преследование лгбт в чечне,체첸의 동성애자 반대 숙청,cecenyi dongseongaeja bandae sugceong
эвенкийская мифология,에벤크 신화,ebenkeu sinhwa
алиса,앨리스,aelriseu
новые люди,새로운 사람들,saeroun saramdeul
мужское государство,남자의 국가,namjayi gugga
григорий перельман,그리고리 페렐만,geurigori perelman
фёдор достоевский,표도르 도스토옙스키,pyodoreu doseutoyebseuki
андрей звягинцев,안드레이 즈뱌긴체프,andeurei jeubyagincepeu
валерий быковский,발레리 비콥스키,balreri bikobseuki
сергей кирдяпкин,세르게이 키르댭킨,sereugei kireudyabkin
иван ухов,이반 우호프,iban uhopeu
павел попович,파벨 포포비치,pabel popobici
сергей мандреко,세르게이 만드레코,sereugei mandeureko
святослав рихтер,스뱌토슬라프 리흐테르,seubyatoseulrapeu riheutereu
расул гамзатов,라술 감자토프,rasul gamjatopeu
светлана болдыкова,스베틀라나 볼디코바,seubeteulrana boldikoba
борис ельцин,보리스 옐친,boriseu yelcin
валерий гергиев,발레리 게르기예프,balreri gereugiyepeu
родион щедрин,로디온 슈체드린,rodion syucedeurin
наталья антюх,나탈리야 안티유흐,natalriya antiyuheu
валерий леонтьев,발레리 레온티에프,balreri reontiepeu
сергей лебедев,세르게이 레베데프,sereugei rebedepeu
виктор ан,빅토르 안,bigtoreu an
евгений касперский,유진 카스퍼스키,yujin kaseupeoseuki
валерий герасимов,발레리 게라시모프,balreri gerasimopeu
анна нетребко,안나 네트렙코,anna neteurebko
стивен сигал,스티븐 시걸,seutibeun sigeol
эльвира набиуллина,옐비라 나비울리나,yelbira nabiulrina
михаил ботвинов,미하일 보트비노프,mihail boteubinopeu
даниэль фридман,다니엘 프리드만,daniel peurideuman
александр кокорин,알렉산드르 코코린,alregsandeureu kokorin
сергей белоглазов,세르게이 벨로글라조프,sereugei belrogeulrajopeu
александр солженицын,알렉산드르 솔제니친,alregsandeureu soljenicin
николай басов,니콜라이 바소프,nikolrai basopeu
алла пугачёва,알라 푸가초바,alra pugacoba
владимир крамник,블라디미르 크람니크,beulradimireu keuramnikeu
борис акунин,보리스 아쿠닌,boriseu akunin
галина зыбина,갈리나 지비나,galrina jibina
дарья пищальникова,다리야 피샬니코바,dariya pisyalnikoba
елена исинбаева,옐레나 이신바예바,yelrena isinbayeba
андрей чикатило,안드레이 치카틸로,andeurei cikatilro
татьяна лысенко,타티야나 리센코,tatiyana risenko
валентина терешкова,발렌티나 테레시코바,balrentina teresikoba
анна политковская,안나 폴릿콥스카야,anna polriskobseukaya
олег попов,올레크 포포프,olrekeu popopeu
илья брызгалов,일리야 브리즈갈로프,ilriya beurijeugalropeu
дмитрий пучков,드미트리 푸치코프,deumiteuri pucikopeu
светлана пархоменко,스베틀라나 파르호멘코,seubeteulrana pareuhomenko
елена дементьева,엘레나 데멘티에바,elrena dementieba
евгения манюкова,예브게니야 마뉴코바,yebeugeniya manyukoba
виктор ишаев,빅토르 이샤예프,bigtoreu isyayepeu
иван бабиков,이반 바비코프,iban babikopeu
мария шарапова,마리야 샤라포바,mariya syarapoba
егор гайдар,예고르 가이다르,yegoreu gaidareu
дима билан,디마 빌란,dima bilran
ксения раппопорт,크세니야 라포포트,keuseniya rapopoteu
ольга каниськина,올가 카니시키나,olga kanisikina
татьяна чернова,타티야나 체르노바,tatiyana cereunoba
алексей муравлёв,알렉세이 무라블료프,alregsei murabeulryopeu
владимир дыбо,블라디미르 디보,beulradimireu dibo
виталий гинзбург,비탈리 긴즈부르크,bitalri ginjeubureukeu
анна курникова,안나 쿠르니코바,anna kureunikoba
владимир путин,블라디미르 푸틴,beulradimireu putin
юрий рытхэу,유리 릿헤우,yuri risheu
татьяна архипова,타티야나 아르히포바,tatiyana areuhipoba
эдуард успенский,예두아르트 우스펜스키,yeduareuteu useupenseuki
николай ковалёв,니콜라이 코발례프,nikolrai kobalryepeu
михаил калашников,미하일 칼라시니코프,mihail kalrasinikopeu
юрий шевчук,유리 솁추크,yuri syebcukeu
андрей аршавин,안드레이 아르샤빈,andeurei areusyabin
алексей пажитнов,알렉세이 파지트노프,alregsei pajiteunopeu
елизавета боярская,옐리자베타 보야르스카야,yelrijabeta boyareuseukaya
николай апаликов,니콜라이 아팔리코프,nikolrai apalrikopeu
сергей соколов,세르게이 소콜로프,sereugei sokolropeu
василий иванович петров,바실리 이바노비치 페트로프,basilri ibanobici peteuropeu
дмитрий язов,드미트리 야조프,deumiteuri yajopeu
дмитрий медведев,드미트리 메드베데프,deumiteuri medeubedepeu
анна андреева,안나 안드레예바,anna andeureyeba
мария кириленко,마리아 키릴렌코,maria kirilrenko
надежда петрова,나디아 페트로바,nadia peteuroba
сергей бондарчук,세르게이 본다르추크,sereugei bondareucukeu
андрей губин,안드레이 구빈,andeurei gubin
юрий осипов,유리 오시포프,yuri osipopeu
алексей учитель,알렉세이 우치텔,alregsei ucitel
виктор куликов,빅토르 쿨리코프,bigtoreu kulrikopeu
николай огарков,니콜라이 오가르코프,nikolrai ogareukopeu
александр литвиненко,알렉산드르 리트비넨코,alregsandeureu riteubinenko
борис спасский,보리스 스파스키,boriseu seupaseuki
ирина бочкарёва,이리나 투로바,irina turoba
борис колкер,보리스 콜케르,boriseu kolkereu
магомет исаев,마고메트 이사예프,magometeu isayepeu
роман узденов,로만 우즈데노프,roman ujeudenopeu
марат сафин,마라트 사핀,marateu sapin
анатолий карпов,아나톨리 카르포프,anatolri kareupopeu
николай озолин,니콜라이 오졸린,nikolrai ojolrin
михаил ботвинник,미하일 보트비닉,mihail boteubinig
станислав петров,스타니슬라프 페트로프,seutaniseulrapeu peteuropeu
жерар депардьё,제라르 드파르디외,jerareu deupareudioe
никита михалков,니키타 미할코프,nikita mihalkopeu
александр прохоров,알렉산드르 프로호로프,alregsandeureu peurohoropeu
геннадий янаев,겐나디 야나예프,gennadi yanayepeu
наталья коростелёва,나탈리야 코로스텔료바,natalriya koroseutelryoba
олег саитов,올레크 사이토프,olrekeu saitopeu
юрий власов,유리 블라소프,yuri beulrasopeu
иван охлобыстин,이반 옥시글로비스틴,iban ogsigeulrobiseutin
валерий борчин,발레리 보르친,balreri boreucin
денис нижегородов,데니스 니제고로도프,deniseu nijegorodopeu
андрей сильнов,안드레이 실노프,andeurei silnopeu
владимир морозов,블라디미르 모로조프,beulradimireu morojopeu
роман абрамович,로만 아브라모비치,roman abeuramobici
константин новосёлов,콘스탄틴 노보셀로프,konseutantin noboselropeu
александр масляков,알렉산드르 마슬랴코프,alregsandeureu maseulryakopeu
александр сокуров,알렉산드르 소쿠로프,alregsandeureu sokuropeu
лариса латынина,라리사 라티니나,rarisa ratinina
александр бекетов,알렉산드르 베케토프,alregsandeureu beketopeu
роман нойштедтер,로만 노이슈테터,roman noisyuteteo
сергей лавров,세르게이 라브로프,sereugei rabeuropeu
лев гумилёв,레프 구밀료프,repeu gumilryopeu
кирилл князев,키릴 크냐제프,kiril keunyajepeu
магомед оздоев,마고메트 오즈도예프,magometeu ojeudoyepeu
галина турова,갈리나 투로바,galrina turoba
сергей попов,세르게이 포포프,sereugei popopeu
олег пашинин,올레크 파시닌,olrekeu pasinin
ренат янбаев,레나트 얀바예프,renateu yanbayepeu
доку умаров,도쿠 우마로프,doku umaropeu
михаил ходорковский,미하일 호도르콥스키,mihail hodoreukobseuki
ирина гайдамачук,이리나 가이다마추크,irina gaidamacukeu
илья олейников,일리아 올레이니코프,ilria olreinikopeu
ильгар мамедов,일가르 마메도프,ilgareu mamedopeu
александра коллонтай,알렉산드라 콜론타이,alregsandeura kolrontai
андрей кончаловский,안드레이 콘찰로프스키,andeurei koncalropeuseuki
алексей леонов,알렉세이 레오노프,alregsei reonopeu
алан дзагоев,알란 자고예프,alran jagoyepeu
геннадий зюганов,겐나디 주가노프,gennadi juganopeu
виктор черномырдин,빅토르 체르노미르딘,bigtoreu cereunomireudin
николай давыденко,니콜라이 다비덴코,nikolrai dabidenko
виктор зубков,빅토르 줍코프,bigtoreu jubkopeu
людмила петрушевская,류드밀라 페트루솁스카야,ryudeumilra peteurusyebseukaya
иван мясников,이반 먀스니코프,iban myaseunikopeu
анатолий белоглазов,아나톨리 벨로글라조프,anatolri belrogeulrajopeu
владимир воронин,블라디미르 보로닌,beulradimireu boronin
михаил касьянов,미하일 카시야노프,mihail kasiyanopeu
михаил фрадков,미하일 프랏코프,mihail peuraskopeu
павел дуров,파벨 두로프,pabel duropeu
юрий лужков,유리 루시코프,yuri rusikopeu
арсен галстян,아르센 갈스탼,areusen galseutyan
валентина матвиенко,발렌티나 마트비옌코,balrentina mateubiyenko
людмила гурченко,류드밀라 구르첸코,ryudeumilra gureucenko
борис парыгин,보리스 파리긴,boriseu parigin
роман зобнин,로만 조브닌,roman jobeunin
ксения чумичева,크세니아 추미체바,keusenia cumiceba
евгений шевчук,예브게니 솁추크,yebeugeni syebcukeu
александр анюков,알렉산드르 아뉴코프,alregsandeureu anyukopeu
захар брон,자하르 브론,jahareu beuron
борис грызлов,보리스 그리즐로프,boriseu geurijeulropeu
юрий башмет,유리 바시메트,yuri basimeteu
владимир арнольд,블라디미르 아르놀트,beulradimireu areunolteu
мстислав ростропович,므스티슬라프 로스트로포비치,meuseutiseulrapeu roseuteuropobici
герман титов,게르만 티토프,gereuman titopeu
алексей алексеевич абрикосов,알렉세이 알렉세예비치 아브리코소프,alregsei alregseyebici abeurikosopeu
светлана савицкая,스베틀라나 사비츠카야,seubeteulrana sabiceukaya
жорес алфёров,조레스 알표로프,joreseu alpyoropeu
александр карелин,알렉산드르 카렐린,alregsandeureu karelrin
николай басков,니콜라이 바스코프,nikolrai baseukopeu
юрий жирков,유리 지르코프,yuri jireukopeu
алексей навальный,알렉세이 나발니,alregsei nabalni
владимир ашкенази,블라디미르 아슈케나지,beulradimireu asyukenaji
альфред шнитке,알프레트 시닛케,alpeureteu siniske
андрей коротаев,안드레이 코로타예프,andeurei korotayepeu
галина уланова,갈리나 울라노바,galrina ulranoba
гарри каспаров,게리 카스파로프,geri kaseuparopeu
евгения тарасова,예브게니야 타라소바,yebeugeniya tarasoba
андрей бабицкий,안드레이 바비츠키,andeurei babiceuki
игорь денисов,이고르 데니소프,igoreu denisopeu
константин зырянов,콘스탄틴 지랴노프,konseutantin jiryanopeu
динияр билялетдинов,디니야르 빌랼레트디노프,diniyareu bilryalreteudinopeu
михаил горбачёв,미하일 고르바초프,mihail goreubacopeu
марис янсонс,마리스 얀손스,mariseu yansonseu
светлана кузнецова,스베틀라나 쿠즈네초바,seubeteulrana kujeunecoba
светлана ходченкова,스베틀라나 홋첸코바,seubeteulrana hoscenkoba
александр попов,알렉산드르 포포프,alregsandeureu popopeu
олег васильев,올레크 바실리예프,olrekeu basilriyepeu
давид тухманов,다비트 투흐마노프,dabiteu tuheumanopeu
игорь жижикин,이고리 지지킨,igori jijikin
роман власов,로만 블라소프,roman beulrasopeu
юрий манин,유리 마닌,yuri manin
сергей белов,세르게이 벨로프,sereugei belropeu
мария баликоева,마리야 베르체노바,mariya bereucenoba
мария владимировна романова,마리아 블라디미로브나 로마노프,maria beulradimirobeuna romanopeu
екатерина галкина,예카테리나 갈키나,yekaterina galkina
ирина лобачёва,이리나 로바초바,irina robacoba
ирина хакамада,이리나 하카마다,irina hakamada
михаил шуфутинский,미하일 슈프틴스키,mihail syupeutinseuki
владимир исайчев,블라디미르 이사이체프,beulradimireu isaicepeu
борис гребенщиков,보리스 그레벤슈치코프,boriseu geurebensyucikopeu
илья авербух,일리야 아베르부흐,ilriya abereubuheu
мария исакова,마리야 이사코바,mariya isakoba
алексей рыбников,알렉세이 리브니코프,alregsei ribeunikopeu
александр волков,알렉산드르 볼코프,alregsandeureu bolkopeu
сергей быков,세르게이 비코프,sereugei bikopeu
вячеслав анисин,뱌체슬라프 아니신,byaceseulrapeu anisin
шеригоол ооржак,셰리크올 오르자크,syerikeuol oreujakeu
леонид маркелов,레오니트 마르켈로프,reoniteu mareukelropeu
илья ковальчук,일리야 코발추크,ilriya kobalcukeu
валентин павлов,발렌틴 파블로프,balrentin pabeulropeu
ингеборга дапкунайте,잉게보르가 다프쿠나이트,inggeboreuga dapeukunaiteu
юрий арбачаков,유리 아르바차코프,yuri areubacakopeu
татьяна аверина,타티야나 아베리나,tatiyana aberina
владимир жириновский,블라디미르 지리놉스키,beulradimireu jirinobseuki
иван добронравов,이반 도브론라보프,iban dobeuronrabopeu
игорь акинфеев,이고리 아킨페예프,igori akinpeyepeu
павел лунгин,파벨 룽겐,pabel runggen
сергей станишев,세르게이 스타니셰프,sereugei seutanisyepeu
василий синайский,바실리 시나이스키,basilri sinaiseuki
константин вырупаев,콘스탄틴 비루파예프,konseutantin birupayepeu
джамал отарсултанов,자말 오타르술타노프,jamal otareusultanopeu
людмила белоусова,류드밀라 벨로우소바,ryudeumilra belrousoba
сергей залётин,세르게이 잘료틴,sereugei jalryotin
юрий лончаков,유리 론차코프,yuri roncakopeu
наталья аринбасарова,나탈리야 아린바사로바,natalriya arinbasaroba
михаил боярский,미하일 보야르스키,mihail boyareuseuki
валентина талызина,발렌티나 탈리지나,balrentina talrijina
екатерина лагно,카테리나 라흐노,katerina raheuno
сергей глазьев,세르게이 글라지예프,sereugei geulrajiyepeu
станислав тарасенко,스타니슬라프 타라센코,seutaniseulrapeu tarasenko
анатолий чубайс,아나톨리 추바이스,anatolri cubaiseu
майя усова,마이야 우소바,maiya usoba
анастасия близнюк,아나스타시야 블리즈뉴크,anaseutasiya beulrijeunyukeu
роман широков,로만 시로코프,roman sirokopeu
вячеслав малафеев,뱌체슬라프 말라페예프,byaceseulrapeu malrapeyepeu
илья цымбаларь,일리아 침발라르,ilria cimbalrareu
тимур дибиров,티무르 디비로프,timureu dibiropeu
дмитрий кириченко,드미트리 키리첸코,deumiteuri kiricenko
александр данилович александров,알렉산드르 다닐로비치 알렉산드로프,alregsandeureu danilrobici alregsandeuropeu
сергей митрохин,세르게이 미트로힌,sereugei miteurohin
александр кержаков,알렉산드르 케르자코프,alregsandeureu kereujakopeu
сергей иванов,세르게이 이바노프,sereugei ibanopeu
фёдор емельяненко,표도르 예멜리아넨코,pyodoreu yemelrianenko
григорий явлинский,그리고리 야블린스키,geurigori yabeulrinseuki
кристина асмус,크리스티나 아스무스,keuriseutina aseumuseu
нина жук,니나 주크,nina jukeu
наталья погонина,나탈리야 포고니나,natalriya pogonina
александр спесивцев,알렉산드르 스페십체프,alregsandeureu seupesibcepeu
валерий скворцов,발레리 스크보르초프,balreri seukeuboreucopeu
владимир воробьёв,블라디미르 보로비요프,beulradimireu borobiyopeu
александр дугин,알렉산드르 두긴,alregsandeureu dugin
дарья домрачева,다르야 돔라체바,dareuya domraceba
евгений кафельников,예브게니 카펠니코프,yebeugeni kapelnikopeu
сергей михалков,세르게이 미할코프,sereugei mihalkopeu
геннадий рождественский,겐나디 로즈데스트벤스키,gennadi rojeudeseuteubenseuki
станислав поздняков,스타니슬라프 포즈냐코프,seutaniseulrapeu pojeunyakopeu
хаджимурад магомедов,하지무라트 마고메도프,hajimurateu magomedopeu
валерий буре,발레리 부레,balreri bure
аниш гири,아니쉬 기리,aniswi giri
олег лундстрем,올레크 룬츠트렘,olrekeu runceuteurem
николай языков,니콜라이 야지코프,nikolrai yajikopeu
дмитрий харин,드미트리 하린,deumiteuri harin
рамзан кадыров,람잔 카디로프,ramjan kadiropeu
анатолий логунов,아나톨리 로구노프,anatolri rogunopeu
алексей березуцкий,알렉세이 베레주츠키,alregsei berejuceuki
вячеслав фетисов,뱌체슬라프 페티소프,byaceseulrapeu petisopeu
светлана светикова,스베틀라나 스베티코바,seubeteulrana seubetikoba
сергей карякин,세르게이 카랴킨,sereugei karyakin
сослан андиев,소슬란 안디예프,soseulran andiyepeu
геннадий гудков,겐나디 굿코프,gennadi guskopeu
махарбек хадарцев,마하르베크 하다르체프,mahareubekeu hadareucepeu
алиса клейбанова,알리사 클레이바노바,alrisa keulreibanoba
людмила постнова,류드밀라 포스트노바,ryudeumilra poseuteunoba
александр викторенко,알렉산드르 빅토렌코,alregsandeureu bigtorenko
