lech wałęsa,레흐 바웬사,reheu bawensa
wacław sieroszewski,바츠와프 시에로셰프스키,baceuwapeu sierosyepeuseuki
maciej stuhr,마치에이 스투흐르,maciei seutuheureu
paweł adamowicz,파베우 아다모비치,pabeu adamobici
łukasz teodorczyk,우카시 테오도르치크,ukasi teodoreucikeu
jerzy andrzejewski,예지 안제예프스키,yeji anjeyepeuseuki
kazimierz deyna,카지미에시 데이나,kajimiesi deina
magdalena frąckowiak,마그달레나 프라츠코비아크,mageudalrena peuraceukobiakeu
paweł fajdek,파베우 파이데크,pabeu paidekeu
małgorzata wojtkowiak,마우고자타 보이트코비아크,maugojata boiteukobiakeu
jan niecisław baudouin de courtenay,얀 니에치스와프 보두앵 드 쿠르트네,yan nieciseuwapeu boduaeng deu kureuteune
michał wojnicz,빌프리트 보이니치,bilpeuriteu boinici
angelika jakubowska,안겔리카 야쿠보프스카,angelrika yakubopeuseuka
iwona bielska,이보나 비엘스카,ibona bielseuka
maciej rybus,마치에이 리부스,maciei ribuseu
bartosz salamon,바르토시 살라몬,bareutosi salramon
monika jagaciak,모니카 야가치아크,monika yagaciakeu
łukasz garguła,우카시 가르구와,ukasi gareuguwa
urszula grabowska,우르슐라 그라보프스카,ureusyulra geurabopeuseuka
adam ferency,아담 페렌치,adam perenci
grzegorz wojtkowiak,그제고시 보이츠코비아크,geujegosi boiceukobiakeu
maria sadowska,마리아 사도프스카,maria sadopeuseuka
jerzy trela,예지 트렐라,yeji teurelra
aleksander czcheidze,알렉산드레 치헤이제,alregsandeure ciheije
agnieszka wagner,아그니에슈카 바그네르,ageuniesyuka bageunereu
tadeusz świątek,타데우시 시비옹테크,tadeusi sibiongtekeu
gabriela muskała,가브리엘라 무스카와,gabeurielra museukawa
ada fijał,아다 피야우,ada piyau
agnieszka krukówna,아그니에슈카 크루쿠브나,ageuniesyuka keurukubeuna
roma gąsiorowska,로마 공시오로프스카,roma gongsioropeuseuka
anna nehrebecka,안나 네흐레베츠카,anna neheurebeceuka
weronika rosati,베로니카 로사티,beronika rosati
józef tracz,유제프 트라치,yujepeu teuraci
anna mucha,안나 무하,anna muha
elżbieta witek,엘주비에타 비테크,eljubieta bitekeu
kamil chanas,카밀 하나스,kamil hanaseu
krzysztof bosak,크시슈토프 보사크,keusisyutopeu bosakeu
kazimierz dąbrowski,카지미에 다브로프스키,kajimie dabeuropeuseuki
ewelina flinta,에벨리나 플린타,ebelrina peulrinta
anna dereszowska,안나 데레쇼프스카,anna deresyopeuseuka
aneta szczepańska,아네타 슈체판스카,aneta syucepanseuka
arkadiusz bilski,아르카디우즈 빌스키,areukadiujeu bilseuki
ilona ostrowska,일로나 오스트로프스카,ilrona oseuteuropeuseuka
piotr stokowiec,피오토르 스토코비에크,piotoreu seutokobiekeu
jacek fafiński,야체크 파핀스키,yacekeu papinseuki
beata szydło,베아타 시드워,beata sideuweo
lyda roberti,리다 로버티,rida robeoti
czesław michniewicz,체스와프 미흐니에비치,ceseuwapeu miheuniebici
joanna liszowska,요안나 리쇼프스카,yoanna risyopeuseuka
magdalena walach,마그달레나 발라흐,mageudalrena balraheu
tomasz karolak,토마시 카롤라크,tomasi karolrakeu
dawid tomala,다비트 토말라,dabiteu tomalra
witold bendkowski,비톨트 벤트코프스키,bitolteu benteukopeuseuki
wiktor zborowski,빅토르 즈보로브스키,bigtoreu jeuborobeuseuki
julia kamińska,율리아 카민스카,yulria kaminseuka
józef green,조셉 그린,joseb geurin
tomasz zieliński,토마시 지엘린스키,tomasi jielrinseuki
tomasz sapryk,토마시 사프리크,tomasi sapeurikeu
ryszard galla,리샤르트 갈라,risyareuteu galra
małgorzata buczkowska,마우고자타 부치코프스카,maugojata bucikopeuseuka
małgorzata gosiewska,마우고자타 고시에프스카,maugojata gosiepeuseuka
karol linetty,카롤 리네티,karol rineti
kasia popowska,카시아 포포프스카,kasia popopeuseuka
małgorzata kidawabłońska,마우고자타 키다바브원스카,maugojata kidababeuweonseuka
łukasz skorupski,우카시 스코룹스키,ukasi seukorubseuki
krzysztof majchrzak,크시슈토프 마이흐샤크,keusisyutopeu maiheusyakeu
piotr zieliński,피오트르 지엘린스키,pioteureu jielrinseuki
natalia maliszewska,나탈리아 말리셰프스카,natalria malrisyepeuseuka
agnieszka mandat,아그니에슈카 만다트,ageuniesyuka mandateu
roman strzałkowski,로메크 스트샤우코프스키,romekeu seuteusyaukopeuseuki
reizl bozyk,라이즐 보직,raijeul bojig
andrzej duda,안제이 두다,anjei duda
aleksandra konieczna,알렉산드라 코니에치나,alregsandeura koniecina
honorata skarbek,호노라타 스카르베크,honorata seukareubekeu
dariusz garbocz,다리우시 가르보치,dariusi gareuboci
dominika kluźniak,도미니카 클루지니아크,dominika keulrujiniakeu
dawid ogrodnik,다비트 오그로드니크,dabiteu ogeurodeunikeu
barbara jonak,바르바라 요나크,bareubara yonakeu
rafał trzaskowski,라파우 트샤스코프스키,rapau teusyaseukopeuseuki
tadeusz słobodzianek,타데우시 스와보지아네크,tadeusi seuwabojianekeu
ryszard petru,리샤르트 페트루,risyareuteu peteuru
ryszard terlecki,라이스자드 털레키,raiseujadeu teolreki
szymon hołownia,시몬 호워브니아,simon howeobeunia
sonia bohosiewicz,소니아 보호시에비치,sonia bohosiebici
wojciech narębski,보이치에흐 나렘프스키,boicieheu narempeuseuki
wojciech nowicki,보이치에흐 노비츠키,boicieheu nobiceuki
włodzimierz czarzasty,브워지미에시 차자스티,beuweojimiesi cajaseuti
zbigniew rau,즈비그니에프 라우,jeubigeuniepeu rau
filip starzyński,필리프 스타진스키,pilripeu seutajinseuki
borys budka,보리스 부드카,boriseu budeuka
mirosław złotkowski,미로스와프 즈워트코프스키,miroseuwapeu jeuweoteukopeuseuki
izabela kuna,이자벨라 쿠나,ijabelra kuna
jacek braciak,야체크 브라치아크,yacekeu beuraciakeu
jan komasa,얀 코마사,yan komasa
jowita budnik,요비타 부드니크,yobita budeunikeu
kazimierz kropidłowski,카지미에시 크로피드워프스키,kajimiesi keuropideuweopeuseuki
marika,마리카,marika
marcin dorociński,마르친 도로친스키,mareucin dorocinseuki
maja bohosiewicz,마야 보호시에비치,maya bohosiebici
maja hirsch,마야 히르슈,maya hireusyu
malwina kopron,말비나 코프론,malbina kopeuron
mateusz morawiecki,마테우시 모라비에츠키,mateusi morabieceuki
mela koteluk,멜라 코텔루크,melra kotelrukeu
olga frycz,올가 프리치,olga peurici
monika kuszyńska,모니카 쿠신스카,monika kusinseuka
przemysław frankowski,프셰미스와프 프란코프스키,peusyemiseuwapeu peurankopeuseuki
paweł dawidowicz,파베우 다비도비츠,pabeu dabidobiceu
bartosz kapustka,바르토시 카푸스트카,bareutosi kapuseuteuka
agata trzebuchowska,아가타 트셰부호프스카,agata teusyebuhopeuseuka
krzysztof kasztelan,크시슈토프 카슈텔란,keusisyutopeu kasyutelran
cleo,클레오,keulreo
margaret,마거릿,mageoris
dawid kownacki,다비트 코브나츠키,dabiteu kobeunaceuki
joanna jędrzejczyk,요안나 옝제이치크,yoanna yengjeicikeu
kari amirian,카리 아미리안,kari amirian
aleksandra sikora,알렉산드라 시코라,alregsandeura sikora
mateusz wieteska,마테우시 비에테스카,mateusi bieteseuka
katarzyna kiedrzynek,카타지나 키에지네크,katajina kiejinekeu
jan bednarek,얀 베드나레크,yan bedeunarekeu
krzysztof kamiński,크리스토프 카민스키,keuriseutopeu kaminseuki
ewa pajor,에바 파요르,eba payoreu
łukasz żal,우카시 잘,ukasi jal
oktawia nowacka,옥타비아 노바츠카,ogtabia nobaceuka
bartłomiej drągowski,바르트워미에이 드롱고프스키,bareuteuweomiei deuronggopeuseuki
krzysztof charamsa,크리스토프 하람사,keuriseutopeu haramsa
zofia wichłacz,조피아 비흐와치,jopia biheuwaci
magdalena ogórek,마그달레나 오구레크,mageudalrena ogurekeu
krystian bielik,크리스티안 비엘리크,keuriseutian bielrikeu
julia kijowska,율리아 키요프스카,yulria kiyopeuseuka
barbara nowacka,바르바라 노바츠카,bareubara nobaceuka
michalina olszańska,미할리나 올샨스카,mihalrina olsyanseuka
damian szymański,다미안 시만스키,damian simanseuki
jacek góralski,야체크 구랄스키,yacekeu guralseuki
oskar zawada,오스카르 자바다,oseukareu jabada
natalia nykiel,나탈리아 니키엘,natalria nikiel
adrian zandberg,아드리안 잔드베르크,adeurian jandeubereukeu
karol świderski,카롤 시비데르스키,karol sibidereuseuki
babatunde aiyegbusi,다바 케이토,daba keito
krzysztof piątek,크시슈토프 피옹테크,keusisyutopeu piongtekeu
sebastian szymański,세바스티안 시만스키,sebaseutian simanseuki
katarzyna lubnauer,카타지나 루브나우에르,katajina rubeunauereu
robert gumny,로베르트 굼니,robereuteu gumni
iga świątek,이가 시비옹테크,iga sibiongtekeu
barbara dolniak,바르바라 돌니아크,bareubara dolniakeu
szymon żurkowski,시몬 주르코프스키,simon jureukopeuseuki
julia wieniawa,율리아 비에니아바,yulria bieniaba
kryscina cimanouska,크리스치나 치마노우스카야,keuriseucina cimanouseukaya
kamil grabara,카밀 그라바라,kamil geurabara
marcin bułka,마르친 부우카,mareucin buuka
jakub kiwior,야쿠프 키비오르,yakupeu kibioreu
nicola zalewski,니콜라 잘레프스키,nikolra jalrepeuseuki
jakub kamiński,야쿠프 카민스키,yakupeu kaminseuki
sanah,사나,sana
kamil piątkowski,카밀 피옹트코프스키,kamil piongteukopeuseuki
gabriel slonina,가브리엘 슬로니나,gabeuriel seulronina
annamaria sieklucka,안나마리아 시에클루츠카,annamaria siekeulruceuka
blanka stajkow,블란카 스타이코프,beulranka seutaikopeu
polska,폴란드,polrandeu
świętochłowice,시비엥토흐워비체,sibiengtoheuweobice
poznań,포즈난,pojeunan
oświęcim,오시비엥침,osibiengcim
iława,이와바,iwaba
toruń,토룬,torun
głogów,그워구프,geuweogupeu
warszawa,바르샤바,bareusyaba
gdynia,그디니아,geudinia
gniezno,그니에즈노,geuniejeuno
babsk,밥스크,babseukeu
szczecin,슈체친,syucecin
śląsk,실레시아,silresia
małopolska,마워폴스카,maweopolseuka
tychy,티히,tihi
łódź,우치,uci
katowice,카토비체,katobice
rzeszów,제슈프,jesyupeu
gmina,그미나,geumina
białystok,비아위스토크,biawiseutokeu
konin,코닌,konin
ełk,에우크,eukeu
wronki,브론키,beuronki
leszno,레슈노,resyuno
lech poznań,레흐 포즈난,reheu pojeunan
karpaty,카르파티아산맥,kareupatiasanmaeg
koszalin,코샬린,kosyalrin
gdańsk,그단스크,geudanseukeu
wrocław,브로츠와프,beuroceuwapeu
tarnobrzeg,타르노브제크,tareunobeujekeu
olsztyn,올슈틴,olsyutin
końskowola,코인스코볼라,koinseukobolra
kraków,크라쿠프,keurakupeu
wolin,볼린,bolrin
sopot,소포트,sopoteu
opole,오폴레,opolre
łęczna,웽치나,wengcina
świdnica,시비드니차,sibideunica
uznam,우제돔섬,ujedomseom
skierniewice,스키에르니에비체,seukiereuniebice
sanok,사노크,sanokeu
chrzanów,흐샤누프,heusyanupeu
kurów,쿠루프,kurupeu
słubice,스우비체,seuubice
łużyce,루사티아,rusatia
kutno,쿠트노,kuteuno
łuków,우쿠프,ukupeu
lublin,루블린,rubeulrin
polonez,폴로네즈,polronejeu
bydgoszcz,비드고슈치,bideugosyuci
świnoujście,시비노우이시치에,sibinouisicie
ziębice,지엥비체,jiengbice
police,폴리체,polrice
przemyśl,프셰미실,peusyemisil
polesie,폴레시아,polresia
wieluń,비엘룬,bielrun
chorzów,호주프,hojupeu
zabrze,자브제,jabeuje
pomorze,포메라니아,pomerania
babia góra,바비아 구라,babia gura
kielce,키엘체,kielce
bytom,비톰,bitom
sokolnictwo,매사냥,maesanyang
częstochowa,쳉스토호바,cengseutohoba
wielkopolska,비엘코폴스카,bielkopolseuka
elbląg,엘블롱크,elbeulrongkeu
radom,라돔,radom
sosnowiec,소스노비에츠,soseunobieceu
słupsk,스웁스크,seuubseukeu
płock,프워츠크,peuweoceukeu
żabno,자브노,jabeuno
gliwice,글리비체,geulribice
beskidy,베스키디산맥,beseukidisanmaeg
łomża,웜자,weomja
brzeg,브제크,beujekeu
wadowice,바도비체,badobice
karkonosze,크르코노셰산맥,keureukonosyesanmaeg
trasa europejska,유럽 고속도로,yureob gosogdoro
stargard,스타르가르트,seutareugareuteu
legnica,레그니차,regeunica
znicz pruszków,즈니치 프루슈쿠프,jeunici peurusyukupeu
tarnów,타르누프,tareunupeu
żory,조리,jori
bielskobiała,비엘스코비아와,bielseukobiawa
włocławek,브워츠와베크,beuweoceuwabekeu
rybnik,리브니크,ribeunikeu
jastrzębiezdrój,야스트솅비에즈드루이,yaseuteusyengbiejeudeurui
kołobrzeg,코워브제크,koweobeujekeu
łowicz,워비치,weobici
żyrardów,지라르두프,jirareudupeu
stadion śląski,실롱스키 경기장,silrongseuki gyeonggijang
wałbrzych,바우브지흐,baubeujiheu
chełm,헤움,heum
suwałki,수바우키,subauki
lubin,루빈,rubin
pustynia błędowska,브웬도프스카 사막,beuwendopeuseuka samag
szlak bursztynowy,호박의 길,hobagyi gil
widzew łódź,비제프 우치,bijepeu uci
grudziądz,그루지옹츠,geurujiongceu
wojska lądowe,폴란드 육군,polrandeu yuggun
telewizja polska,폴란드 텔레비전,polrandeu telrebijeon
złotów,즈워투프,jeuweotupeu
sochaczew,소하체프,sohacepeu
futuryzm,미래주의,miraejuyi
kędzierzynkoźle,켕지에진코질레,kengjiejinkojilre
karpacz,카르파츠,kareupaceu
buskozdrój,부스코즈드루이,buseukojeudeurui
piła,피와,piwa
górnik zabrze,구르니크 자브제,gureunikeu jabeuje
wisła,비스와,biseuwa
krynicazdrój,크리니차즈드루이,keurinicajeudeurui
oleśnica,올레시니차,olresinica
polska w konkursie piosenki eurowizji,폴란드의 유로비전 송 콘테스트 참가,polrandeuyi yurobijeon song konteseuteu camga
ostrołęka,오스트로웽카,oseuteurowengka
będzin,벵진,bengjin
polonia warszawa,폴로니아 바르샤바,polronia bareusyaba
czechowicedziedzice,체호비체지에지체,cehobicejiejice
zagłębie lubin,자그웽비에 루빈,jageuwengbie rubin
augustów,아우구스투프,auguseutupeu
płońsk,프원스크,peuweonseukeu
uniwersytet warszawski,바르샤바 대학교,bareusyaba daehaggyo
wieliczka,비엘리치카,bielricika
zakopane,자코파네,jakopane
knurów,크누루프,keunurupeu
tczew,트체프,teucepeu
zamość,자모시치,jamosici
malbork,말보르크,malboreukeu
polsat,폴자츠,poljaceu
zgorzelec,즈고젤레츠,jeugojelreceu
hymn polski,폴란드의 국가,polrandeuyi gugga
nizina środkowoeuropejska,북유럽 평원,bugyureob pyeongweon
katastrofa kolejowa pod szczekocinami,슈체코치니 열차 충돌 사고,syucekocini yeolca cungdol sago
międzyzdroje,미엥지즈드로예,miengjijeudeuroye
zawiercie,자비에르치에,jabiereucie
lubsko,룹스코,rubseuko
lębork,렝보르크,rengboreukeu
kłodzko,크워츠코,keuweoceuko
armia krajowa,폴란드 국내군,polrandeu gugnaegun
sudety,수데티산맥,sudetisanmaeg
raków częstochowa,라쿠프 쳉스토호바,rakupeu cengseutohoba
ruch chorzów,루흐 호주프,ruheu hojupeu
park mużakowski,무스카우 공원,museukau gongweon
puck,푸츠크,puceukeu
bolesławiec,볼레스와비에츠,bolreseuwabieceu
korytarz polski,폴란드 회랑,polrandeu hoerang
platforma obywatelska,시민 연단,simin yeondan
szczekociny,슈체코치니,syucekocini
westerplatte,베스테르플라테,beseutereupeulrate
bełchatów,베우하투프,beuhatupeu
jaworzno,야보주노,yabojuno
żagań,자간,jagan
radomsko,라돔스코,radomseuko
uniwersytet wrocławski,브로츠와프 대학교,beuroceuwapeu daehaggyo
obrona westerplatte,베스테르플라테 전투,beseutereupeulrate jeontu
kętrzyn,켕트신,kengteusin
siedlce,시에들체,siedeulce
order odrodzenia polski,폴란드 재건국 훈장,polrandeu jaegeongug hunjang
mysłowice,미스워비체,miseuweobice
ustka,우스트카,useuteuka
cieszyn,치에신,ciesin
dzień kolejarza,철도의 날,ceoldoyi nal
chełmno,헤움노,heumno
limanowa,리마노바,rimanoba
kłobuck,크워부츠크,keuweobuceukeu
brzeziny,브셰지니,beusyejini
łęczyca,웽치차,wengcica
rusyfikacja,러시아화,reosiahwa
słupca,스우프차,seuupeuca
śląsk wrocław,실롱스크 브로츠와프,silrongseukeu beuroceuwapeu
kwidzyn,크비진,keubijin
kępno,켕프노,kengpeuno
mazowsze,마조프셰,majopeusye
zawisza bydgoszcz,자비샤 비드고슈치,jabisya bideugosyuci
łańcut,완추트,wancuteu
godło polski,폴란드의 국장,polrandeuyi gugjang
stadion w gdańsku,스타디온 에네르가 그단스크,seutadion enereuga geudanseukeu
polskoniemiecki traktat graniczny,독일폴란드 국경 조약,dogilpolrandeu guggyeong joyag
szklarska poręba,슈클라르스카 포렝바,syukeulrareuseuka porengba
stadion poznań,포즈난 시립경기장,pojeunan siribgyeonggijang
lechia gdańsk,레히아 그단스크,rehia geudanseukeu
polska akademia nauk,폴란드 과학 아카데미,polrandeu gwahag akademi
uniwersytet jagielloński,야기에우워 대학교,yagieuweo daehaggyo
dzień nauczyciela,교사의 날,gyosayi nal
jagiellonia białystok,야기엘로니아 비아위스토크,yagielronia biawiseutokeu
żywiec,지비에츠,jibieceu
puszcza białowieska,비아워비에자 숲,biaweobieja sup
wisła kraków,비스와 크라쿠프,biseuwa keurakupeu
tatry,타트리산맥,tateurisanmaeg
legia warszawa,레기아 바르샤바,regia bareusyaba
chojnice,호이니체,hoinice
inowrocław,이노브로츠와프,inobeuroceuwapeu
polityka zagraniczna polski,폴란드의 대외 관계,polrandeuyi daeoe gwangye
gryfici,그리프가,geuripeuga
łobez,워베스,weobeseu
okrągły stół,폴란드 원탁회의,polrandeu weontaghoeyi
mielec,미엘레츠,mielreceu
ciechanów,치에하누프,ciehanupeu
sieradz,시에라츠,sieraceu
mrągowo,므롱고보,meuronggobo
wołomin,보워민,boweomin
mława,므와바,meuwaba
alwernia,알베르니아,albereunia
bochnia,보흐니아,boheunia
oblężenie wrocławia,브레슬라우 전투,beureseulrau jeontu
nysa,니사,nisa
bitwa warszawska,바르샤바 전투,bareusyaba jeontu
krosno,크로스노,keuroseuno
sejny,세이니,seini
arka gdynia,아르카 그디니아,areuka geudinia
obrona chojnic,호이니체 전투,hoinice jeontu
kuchnia polska,폴란드 요리,polrandeu yori
wałcz,바우치,bauci
piast gliwice,피아스트 글리비체,piaseuteu geulribice
lubliniec,루블리니에츠,rubeulrinieceu
podbeskidzie bielskobiała,포드베스키지에 비엘스코비아와,podeubeseukijie bielseukobiawa
pogoń szczecin,포곤 슈체친,pogon syucecin
łańcuch alpejskohimalajski,알프스히말라야 조산대,alpeuseuhimalraya josandae
order virtuti militari,비르투티 밀리타이 훈장,bireututi milritai hunjang
giżycko,기지츠코,gijiceuko
jasło,야스워,yaseuweo
hel,헬,hel
szczecinek,슈체치네크,syucecinekeu
rogoźno,로고지노,rogojino
drewniane kościoły południowej małopolski,남부 리틀폴란드의 목조 교회,nambu riteulpolrandeuyi mogjo gyohoe
gorlice,고를리체,goreulrice
padniewko,파드니에브코,padeuniebeuko
biblioteka narodowa,폴란드 국립도서관,polrandeu gugribdoseogwan
polonia bytom,폴로니아 비톰,polronia bitom
opoczno,오포치노,opocino
kazimierz dolny,카지미에시 돌니,kajimiesi dolni
chojna,호이나,hoina
literatura polska,폴란드 문학,polrandeu munhag
dzierżoniów,지에르조니우프,jiereujoniupeu
krzywy domek,크시비 도메크,keusibi domekeu
szczawnica,슈차브니차,syucabeunica
ustroń,우스트론,useuteuron
operacja tannenberg,타넨베르크 작전,tanenbereukeu jagjeon
trzebnica,트셰브니차,teusyebeunica
rabkazdrój,라브카즈드루이,rabeukajeudeurui
gospodarka polski,폴란드의 경제,polrandeuyi gyeongje
jarosław,야로스와프,yaroseuwapeu
karaimi,카라임족,karaimjog
pruszków,프루슈쿠프,peurusyukupeu
narodowe odrodzenie polski,국민부활을 위한 폴란드,gugminbuhwaleul wihan polrandeu
polskie radio,폴스키에 라디오,polseukie radio
motor lublin,모토르 루블린,motoreu rubeulrin
prusy,프로이센,peuroisen
korona kielce,코로나 키엘체,korona kielce
oberek,오페레크,operekeu
redzikowo,레드지코보,redeujikobo
suwerenna polska,통합 폴란드,tonghab polrandeu
wiadomości,비아도모시치,biadomosici
marki,마르키,mareuki
socjaldemokracja rzeczypospolitej polskiej,폴란드 공화국 사회민주당,polrandeu gonghwagug sahoeminjudang
stadion w lubinie,스타디온 자그웽비아 루빈,seutadion jageuwengbia rubin
muszyna,무쉬나,muswina
port lotniczy warszawamodlin,바르샤바 모들린 공항,bareusyaba modeulrin gonghang
herb warszawy,바르샤바의 문장,bareusyabayi munjang
brukbet termalica nieciecza,브루크베트 테르말리차 니에치에차,beurukeubeteu tereumalrica niecieca
górnik łęczna,구르니크 웽치나,gureunikeu wengcina
oliwa,올리바,olriba
zwoleń,즈볼렌,jeubolren
stocznia gdańska,그단스크 조선소,geudanseukeu joseonso
wisła płock,비스와 프워츠크,biseuwa peuweoceukeu
piwnicznazdrój,피브니츠나즈드루이,pibeuniceunajeudeurui
bielany wrocławskie,비엘라니 브로츠와프스키에,bielrani beuroceuwapeuseukie
poręba wielka,포렝바 비엘카,porengba bielka
bochotnica,보호트니차,bohoteunica
biskupice podgórne,비스쿠피체 포드구르네,biseukupice podeugureune
polski komitet olimpijski,폴란드 올림픽 위원회,polrandeu olrimpig wiweonhoe
baumkuchen,바움쿠헨,baumkuhen
południk warszawski,바르샤바 자오선,bareusyaba jaoseon
bitwa graniczna,국경 전투,guggyeong jeontu
bieglów,비글로,bigeulro
garin,아리네라,arinera
obóz wielkiej polski,위대한 폴란드 기지,widaehan polrandeu giji
afera na okęciu,오케치에 공항 사건,okecie gonghang sageon
stosunki polskobrytyjskie,영국폴란드 관계,yeonggugpolrandeu gwangye
stosunki polskorumuńskie,루마니아폴란드 관계,rumaniapolrandeu gwangye
stosunki polskoukraińskie,우크라이나폴란드 관계,ukeurainapolrandeu gwangye
piotrowice,피어트로우비츠,pieoteuroubiceu
trojany,트로야니,teuroyani
twój ruch,너의 운동,neoyi undong
rosół,로수,rosu
nowoczesna,현대당,hyeondaedang
lewica razem,레비차 라젬,rebica rajem
przesmyk suwalski,수바우키 간격,subauki gangyeog
piotr michalski,피오트르 미할스키,pioteureu mihalseuki
porozumienie,동맹당,dongmaengdang
centralny port komunikacyjny,중앙 교통허브 공항,jungang gyotongheobeu gonghang
stosunki polskokenijskie,케냐폴란드 관계,kenyapolrandeu gwangye
extinction rebellion,멸종에의 반란,myeoljongeyi banran
stosunki polskopołudniowokoreańskie,대한민국폴란드 관계,daehanmingugpolrandeu gwangye
wiosna,비오스나,bioseuna
lewica,좌파,jwapa
max fleischer,맥스 플라이셔,maegseu peulraisyeo
piotr fronczewski,피오트르 프론체프스키,pioteureu peuroncepeuseuki
emilia krakowska,에밀리아 크라코프스카,emilria keurakopeuseuka
magdalena parys,마그달레나 파리스,mageudalrena pariseu
jadwiga chojnacka,야드비가 호이나츠카,yadeubiga hoinaceuka
elżbieta wierzbicka,엘주비에타 비에주비츠카,eljubieta biejubiceuka
jan englert,얀 엔글레르트,yan engeulrereuteu
rafał bigus,라파우 비구스,rapau biguseu
tomasz jankowski,토마시 얀코프스키,tomasi yankopeuseuki
maciej zieliński,마치에이 지엘린스키,maciei jielrinseuki
franciszek macharski,프란치셰크 마하르스키,peurancisyekeu mahareuseuki
aleksander polaczek,알렉산더 폴라체크,alregsandeo polracekeu
maksymilian więcek,막시밀리안 비엥체크,magsimilrian biengcekeu
krystyna feldman,크리스티나 펠드만,keuriseutina peldeuman
bartosz arłukowicz,바르토시 아르우코비치,bareutosi areuukobici
agnieszka brugger,아그니에슈카 브루거,ageuniesyuka beurugeo
janina ochojska,야니나 오호이스카,yanina ohoiseuka
albert battel,알베르트 바텔,albereuteu batel
magdalena mroczkiewicz,마그달레나 므로치키에비치,mageudalrena meurocikiebici
bernard chrzanowski,베르나르트 흐샤노프스키,bereunareuteu heusyanopeuseuki
majka jeżowska,마이카 예조프스카,maika yejopeuseuka
jagna marczułajtiswalczak,야그나 마르추와이티스,yageuna mareucuwaitiseu
paulina ligocka,파울리나 리고츠카,paulrina rigoceuka
ryszard rynkowski,리샤르트 린코프스키,risyareuteu rinkopeuseuki
irena santor,이레나 산토르,irena santoreu
marian błazinski,마리안 블라친스키,marian beulracinseuki
leszek balcerowicz,레셰크 발체로비치,resyekeu balcerobici
józef hebda,유제프 헤브다,yujepeu hebeuda
jan twardowski,얀 트바르도프스키,yan teubareudopeuseuki
marian woronin,마리안 보로닌,marian boronin
ryszard szurkowski,리샤르트 슈르코프스키,risyareuteu syureukopeuseuki
harry warner,해리 워너,haeri weoneo
jerzy janowicz,예지 야노비치,yeji yanobici
andrzej sypytkowski,안제이 시피트코프스키,anjei sipiteukopeuseuki
roman giertych,로만 기에르티흐,roman giereutiheu
aleksander weissbergcybulski,알렉산더 바이스베르크치불스키,alregsandeo baiseubereukeucibulseuki
radosław sikorski,라도스와프 시코르스키,radoseuwapeu sikoreuseuki
aleksander krupa,알렉산데르 크루파,alregsandereu keurupa
wojtek wolski,보이테크 볼스키,boitekeu bolseuki
tadeusz mann,새디어스 맨,saedieoseu maen
artur szpilka,아르투르 슈필카,areutureu syupilka
kazimierz nycz,카지미에시 니치,kajimiesi nici
bartosz konopko,바르토시 코놉코,bareutosi konobko
urszula sipińska,우르슐라 시핀스카,ureusyulra sipinseuka
janusz magnuski,야누시 마그누스키,yanusi mageunuseuki
ludwik mierosławski,루드비크 미에로스와프스키,rudeubikeu mieroseuwapeuseuki
tomasz kucharzewski,토마시 쿠하제프스키,tomasi kuhajepeuseuki
henryk rzewuski,헨리크 제부스키,henrikeu jebuseuki
adam hanuszkiewicz,아담 하누슈키에비치,adam hanusyukiebici
aleksandra śląska,알렉산드라 실롱스카,alregsandeura silrongseuka
zdzisław karczewski,지스와프 카르체프스키,jiseuwapeu kareucepeuseuki
bartosz huzarski,바르토시 후자르스키,bareutosi hujareuseuki
jerzy kryszak,예지 크리샤크,yeji keurisyakeu
henryk gulbinowicz,헨리크 굴비노비치,henrikeu gulbinobici
tadeusz cuch,타데우시 추흐,tadeusi cuheu
łukasz podolski,루카스 포돌스키,rukaseu podolseuki
marcin baszczyński,마르친 바슈친스키,mareucin basyucinseuki
bartosz ślusarski,바르토시 실루사르스키,bareutosi silrusareuseuki
kazimierz wiłkomirski,카지미에시 비우코미르스키,kajimiesi biukomireuseuki
tadeusz rakoczy,타데우시 라코치,tadeusi rakoci
kornel filipowicz,코르넬 필리포비치,koreunel pilripobici
ryszard wójcik,리샤르트 부이치크,risyareuteu buicikeu
antoni chruściel,안토니 흐루시치엘,antoni heurusiciel
wojciech cejrowski,보이치에흐 체이로프스키,boicieheu ceiropeuseuki
jarosław iwaszkiewicz,야로스와프 이바슈키에비치,yaroseuwapeu ibasyukiebici
sławoj leszek głódź,스와보이 레셰크 구치,seuwaboi resyekeu guci
karol boromeusz hoffman,카롤 보로메우시 호프만,karol boromeusi hopeuman
wincenty lutosławski,빈첸티 루토스와프스키,bincenti rutoseuwapeuseuki
tadeusz gocłowski,타데우시 고츠워프스키,tadeusi goceuweopeuseuki
mieczysław rakowski,미에치스와프 라코프스키,mieciseuwapeu rakopeuseuki
anna badora,안나 바도라,anna badora
stanisław dziwisz,스타니스와프 지비츠,seutaniseuwapeu jibiceu
maciej lampe,마치에이 람페,maciei rampe
jerzy konstanty czartoryski,예지 콘스탄티 차르토리스키,yeji konseutanti careutoriseuki
leszek kołakowski,레셰크 코와코프스키,resyekeu kowakopeuseuki
henryk tomaszewski,헨리크 토마셰프스키,henrikeu tomasyepeuseuki
zbigniew ziobro,즈비그니에프 지오브로,jeubigeuniepeu jiobeuro
