douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
caroline bliss,キャロライン・ブリス,kyarorain・burisu
sonia,ソニア,sonia
luke pasqualino,ルーク・パスカリーノ,rūku・pasukarīno
ambrosius aurelianus,アンブロシウス・アウレリアヌス,anburoshiusu・aurerianusu
patrick macnee,パトリック・マクニー,patorikku・makunī
roger whittaker,ロジャー・ウィテッカー,rojā・witekkā
francesca annis,フランチェスカ・アニス,furanchesuka・anisu
shirley strong,シャーリー・ストロング,shārī・sutorongu
danny higginbotham,ダニー・ヒギンボザム,danī・higinbozamu
steven gerrard,スティーヴン・ジェラード,sutīvun・jerādo
ben mansfield,ベン・マンスフィールド,ben・mansufīrudo
gerard butler,ジェラルド・バトラー,jerarudo・batorā
ernest gellner,アーネスト・ゲルナー,ānesuto・gerunā
olivia williams,オリヴィア・ウィリアムズ,orivia・wiriamuzu
mary leakey,メアリー・リーキー,mearī・rīkī
sarah miles,サラ・マイルズ,sara・mairuzu
harry patch,ハリー・パッチ,harī・patchi
ian richardson,イアン・リチャードソン,ian・richādoson
darren anderton,ダレン・アンダートン,daren・andāton
anton rodgers,アントン・ロジャース,anton・rojāsu
guy hamilton,ガイ・ハミルトン,gai・hamiruton
jo walton,ジョー・ウォルトン,jō・woruton
tarzan,ターザン,tāzan
roger deakins,ロジャー・ディーキンス,rojā・dīkinsu
tadeusz bórkomorowski,タデウシュ・コモロフスキ,tadeushu・komorofusuki
neil murray,ニール・マーレイ,nīru・mārei
ken hensley,ケン・ヘンズレー,ken・henzurē
henry tonks,ヘンリー・トンクス,henrī・tonkusu
tracey thorn,トレイシー・ソーン,toreishī・sōn
sarah storey,サラ・ストーリー,sara・sutōrī
bernard sumner,バーナード・サムナー,bānādo・samunā
margery sharp,マージェリー・シャープ,mājerī・shāpu
cara seymour,カーラ・シーモア,kāra・shīmoa
rik mayall,リック・メイヨール,rikku・meiyōru
anna lee,アンナ・リー,anna・rī
sam warburton,サム・ウォーバートン,samu・wōbāton
christianna brand,クリスチアナ・ブランド,kurisuchiana・burando
jason kenny,ジェイソン・ケニー,jeison・kenī
geoffrey burbidge,ジェフリー・バービッジ,jefurī・bābijji
helen mccrory,ヘレン・マックロリー,heren・makkurorī
chris sutton,クリス・サットン,kurisu・satton
byron webster,バイロン・ウェブスター,bairon・webusutā
andrew knott,アンドリュー・ノット,andoryū・notto
fred frith,フレッド・フリス,fureddo・furisu
nicholas winton,ニコラス・ウィントン,nikorasu・winton
charlotte church,シャルロット・チャーチ,sharurotto・chāchi
karen gillan,カレン・ギラン,karen・giran
edgar adrian,エドガー・エイドリアン,edogā・eidorian
anthony davidson,アンソニー・デビッドソン,ansonī・debiddoson
eddie irvine,エディ・アーバイン,edi・ābain
john watson,ジョン・ワトソン,jon・watoson
derek warwick,デレック・ワーウィック,derekku・wāwikku
tony brooks,トニー・ブルックス,tonī・burukkusu
e nesbit,イーディス・ネズビット,īdisu・nezubitto
margot fonteyn,マーゴ・フォンテイン,māgo・fontein
natalia tena,ナタリア・テナ,nataria・tena
nikolai medtner,ニコライ・メトネル,nikorai・metoneru
hank marvin,ハンク・マーヴィン,hanku・māvin
jaroslav drobný,ヤロスラフ・ドロブニー,yarosurafu・dorobunī
adolph deutsch,アドルフ・ドイチュ,adorufu・doichu
andrew marvell,アンドルー・マーヴェル,andorū・māvuェru
roy harper,ロイ・ハーパー,roi・hāpā
roger hunt,ロジャー・ハント,rojā・hanto
boaz myhill,ボアズ・マイヒル,boazu・maihiru
peter gethin,ピーター・ゲシン,pītā・geshin
peter collins,ピーター・コリンズ,pītā・korinzu
roger williamson,ロジャー・ウィリアムソン,rojā・wiriamuson
tony brise,トニー・ブライズ,tonī・buraizu
justin wilson,ジャスティン・ウィルソン,jasutin・wiruson
mark blundell,マーク・ブランデル,māku・buranderu
jonathan palmer,ジョナサン・パーマー,jonasan・pāmā
martin donnelly,マーティン・ドネリー,mātin・donerī
mark clattenburg,マーク・クラッテンバーグ,māku・kurattenbāgu
frank bridge,フランク・ブリッジ,furanku・burijji
john wetton,ジョン・ウェットン,jon・wetton
steve bloomer,スティーブ・ブルーマー,sutību・burūmā
thomas adès,トーマス・アデス,tōmasu・adesu
torin thatcher,トリン・サッチャー,torin・satchā
alan shepherd,アラン・シェパード,aran・shepādo
kelvin burt,ケルヴィン・バート,keruvin・bāto
michelle magorian,ミシェル・マゴリアン,misheru・magorian
jamie waylett,ジェイミー・ウェイレット,jeimī・weiretto
paul mcstay,ポール・マクステイ,pōru・makusutei
kim little,キム・リトル,kimu・ritoru
timothy grubb,ティモシー・グラブ,timoshī・gurabu
alex kingston,アレックス・キングストン,arekkusu・kingusuton
tracy chevalier,トレイシー・シュヴァリエ,toreishī・shuvarie
ruth rendell,ルース・レンデル,rūsu・renderu
joanna pettet,ジョアンナ・ペティット,joanna・petitto
deborah moore,デボラ・ムーア,debora・mūa
stephenie mcmillan,ステファニー・マクミラン,sutefanī・makumiran
steven moffat,スティーヴン・モファット,sutīvun・mofatto
john kendrew,ジョン・ケンドリュー,jon・kendoryū
janet mcteer,ジャネット・マクティア,janetto・makutia
rose leslie,ローズ・レスリー,rōzu・resurī
george william russell,ジョージ・ウィリアム・ラッセル,jōji・wiriamu・rasseru
john flaxman,ジョン・フラクスマン,jon・furakusuman
colin davis,コリン・デイヴィス,korin・deivisu
dizzee rascal,ディジー・ラスカル,dijī・rasukaru
piers courage,ピアス・カレッジ,piasu・karejji
bobby charlton,ボビー・チャールトン,bobī・chāruton
jackie oliver,ジャッキー・オリバー,jakkī・oribā
marsha thomason,マーシャ・トマソン,māsha・tomason
lucy gordon,ルーシー・ゴードン,rūshī・gōdon
helen fielding,ヘレン・フィールディング,heren・fīrudingu
simon phillips,サイモン・フィリップス,saimon・firippusu
phil campbell,フィル・キャンベル,firu・kyanberu
kenneth colley,ケネス・コリー,kenesu・korī
sam claflin,サム・クラフリン,samu・kurafurin
ron moody,ロン・ムーディー,ron・mūdī
vivian campbell,ヴィヴィアン・キャンベル,vivian・kyanberu
saffron burrows,サフロン・バロウズ,safuron・barouzu
yvonne blake,イボンヌ・ブレイク,ibonnu・bureiku
ophelia lovibond,オフィリア・ラヴィボンド,ofiria・ravibondo
dorothy holman,ドロシー・ホルマン,doroshī・horuman
alice powell,アリス・パウエル,arisu・paueru
frank lampard sr,フランク・ランパード・シニア,furanku・ranpādo・shinia
lucy brown,ルーシー・ブラウン,rūshī・buraun
mike beuttler,マイク・ボイトラー,maiku・boitorā
david purley,デビッド・パーレイ,debiddo・pārei
brian henton,ブライアン・ヘントン,buraian・henton
brian redman,ブライアン・レッドマン,buraian・reddoman
jeremy irons,ジェレミー・アイアンズ,jeremī・aianzu
jacqueline bisset,ジャクリーン・ビセット,jakurīn・bisetto
pippa middleton,ピッパ・ミドルトン,pippa・midoruton
geoff lees,ジェフ・リース,jefu・rīsu
rupert keegan,ルパート・キーガン,rupāto・kīgan
bob evans,ボブ・エバンス,bobu・ebansu
john taylor,ジョン・テイラー,jon・teirā
guy edwards,ガイ・エドワーズ,gai・edowāzu
alan stacey,アラン・ステイシー,aran・suteishī
margaret beckett,マーガレット・ベケット,māgaretto・beketto
leila lopes,レイラ・ロペス,reira・ropesu
cathy dennis,キャシー・デニス,kyashī・denisu
lisa tuttle,リサ・タトル,risa・tatoru
donald crisp,ドナルド・クリスプ,donarudo・kurisupu
peter gandy,ピーター・ギャンディ,pītā・gyandi
roy welensky,ロイ・ウェレンスキー,roi・werensukī
elena baltacha,エレナ・バルタチャ,erena・barutacha
gabrielle anwar,ガブリエル・アンウォー,gaburieru・anwō
shirley henderson,シャーリー・ヘンダーソン,shārī・hendāson
marina sirtis,マリーナ・サーティス,marīna・sātisu
frances de la tour,フランシス・デ・ラ・トゥーア,furanshisu・de・ra・tūa
divina galica,ディビナ・ガリカ,dibina・garika
heidi range,ハイディ・レンジ,haidi・renji
jackie mcnamara,ジャッキー・マクナマラ,jakkī・makunamara
mike conway,マイク・コンウェイ,maiku・konwei
stella mccartney,ステラ・マッカートニー,sutera・makkātonī
alice eve,アリス・イヴ,arisu・ivu
susanna clarke,スザンナ・クラーク,suzanna・kurāku
grantley goulding,グラントリー・ゴールディング,gurantorī・gōrudingu
steve clark,スティーヴ・クラーク,sutīvu・kurāku
brian naylor,ブライアン・ネイラー,buraian・neirā
mike wilds,マイク・ワイルズ,maiku・wairuzu
diana rigg,ダイアナ・リグ,daiana・rigu
honor blackman,オナー・ブラックマン,onā・burakkuman
eileen hiscock,アイリーン・ヒスコック,airīn・hisukokku
audrey brown,オードリー・ブラウン,ōdorī・buraun
heather armitage,ヘザー・アーミテージ,hezā・āmitēji
violet olney,ヴァイオレット・オルニー,vaioretto・orunī
frances fyfield,フランセス・ファイフィールド,furansesu・faifīrudo
lynsey de paul,リンジー・ディ・ポール,rinjī・di・pōru
samantha barks,サマンサ・バークス,samansa・bākusu
gwendoline christie,グェンドリン・クリスティー,guェndorin・kurisutī
chris bristow,クリス・ブリストウ,kurisu・burisutou
virginia wade,バージニア・ウェード,bājinia・wēdo
beth gibbons,ベス・ギボンズ,besu・gibonzu
john miles,ジョン・マイルズ,jon・mairuzu
don rendell,ドン・レンデル,don・renderu
cyril scott,シリル・スコット,shiriru・sukotto
chaim weizmann,ハイム・ヴァイツマン,haimu・vaitsuman
henry surtees,ヘンリー・サーティース,henrī・sātīsu
steven naismith,スティーヴン・ネイスミス,sutīvun・neisumisu
mutya buena,ムティア・ブエナ,mutia・buena
robert browning,ロバート・ブラウニング,robāto・burauningu
paula radcliffe,ポーラ・ラドクリフ,pōra・radokurifu
jeanette winterson,ジャネット・ウィンターソン,janetto・wintāson
sally hawkins,サリー・ホーキンス,sarī・hōkinsu
denis law,デニス・ロー,denisu・rō
scott redding,スコット・レディング,sukotto・redingu
peter atkins,ピーター・アトキンス,pītā・atokinsu
steven caldwell,スティーヴン・コールドウェル,sutīvun・kōrudoweru
peter townsend,ピーター・タウンゼント,pītā・taunzento
lynne reid banks,リン・リード・バンクス,rin・rīdo・bankusu
alan gardiner,アラン・ガーディナー,aran・gādinā
karina bryant,カリーナ・ブライアント,karīna・buraianto
carina round,カリーナ・ラウンド,karīna・raundo
nicola adams,ニコラ・アダムズ,nikora・adamuzu
edward arthur milne,エドワード・アーサー・ミルン,edowādo・āsā・mirun
brian ferneyhough,ブライアン・ファーニホウ,buraian・fānihou
nigel marven,ナイジェル・マーヴェン,naijeru・māvuェn
nicola benedetti,ニコラ・ベネデッティ,nikora・benedetti
diana mosley,ダイアナ・ミットフォード,daiana・mittofōdo
geraldine beamish,ジェラルディン・ビーミッシュ,jerarudin・bīmisshu
chris priestley,クリス・プリーストリー,kurisu・purīsutorī
john stewart bell,ジョン・スチュワート・ベル,jon・suchuwāto・beru
valentine baker,ヴァレンタイン・ベイカー,varentain・beikā
richard peto,リチャード・ピート,richādo・pīto
spike edney,スパイク・エドニー,supaiku・edonī
carlo nash,カルロ・ナッシュ,karuro・nasshu
anthony daniels,アンソニー・ダニエルズ,ansonī・danieruzu
neil webb,ニール・ウェブ,nīru・webu
vasili mitrokhin,ワシリー・ミトロヒン,washirī・mitorohin
june markham,ジューン・マーカム,jūn・mākamu
alexandra burke,アレクサンドラ・バーク,arekusandora・bāku
mary quant,マリー・クヮント,marī・kwanto
gemma jones,ジェマ・ジョーンズ,jema・jōnzu
nick leeson,ニック・リーソン,nikku・rīson
colin ferguson,コリン・ファーガソン,korin・fāgason
aynsley dunbar,エインズレー・ダンバー,einzurē・danbā
chris brunt,クリス・ブラント,kurisu・buranto
arthur harris,アーサー・ハリス,āsā・harisu
nell gwyn,ネル・グウィン,neru・guwin
paul weller,ポール・ウェラー,pōru・werā
roger johnson,ロジャー・ジョンソン,rojā・jonson
paul dickov,ポール・ディコフ,pōru・dikofu
david weir,デヴィッド・ウィアー,deviddo・wiā
john plamenatz,ジョン・プラムナッツ,jon・puramunattsu
darren turner,ダレン・ターナー,daren・tānā
andrzej panufnik,アンジェイ・パヌフニク,anjei・panufuniku
barry bannan,バリー・バナン,barī・banan
david sylvian,デヴィッド・シルヴィアン,deviddo・shiruvian
david stirling,デイヴィッド・スターリング,deividdo・sutāringu
deep roy,ディープ・ロイ,dīpu・roi
chris birchall,クリストファー・バーチャル,kurisutofā・bācharu
jocelyn bell burnell,ジョスリン・ベル・バーネル,josurin・beru・bāneru
elaine paige,エレイン・ペイジ,erein・peiji
john pople,ジョン・ポープル,jon・pōpuru
leonora carrington,レオノーラ・キャリントン,reonōra・kyarinton
elsa lanchester,エルザ・ランチェスター,eruza・ranchesutā
finn jones,フィン・ジョーンズ,fin・jōnzu
geraldine james,ジェラルディン・ジェームズ,jerarudin・jēmuzu
heather harper,ヘザー・ハーパー,hezā・hāpā
richard long,リチャード・ロング,richādo・rongu
colin wilson,コリン・ウィルソン,korin・wiruson
clara butt,クララ・バット,kurara・batto
taylor wane,テイラー・ウェイン,teirā・wein
mark day,マーク・デイ,māku・dei
charles villiers stanford,チャールズ・ヴィリアーズ・スタンフォード,chāruzu・viriāzu・sutanfōdo
richard ashcroft,リチャード・アシュクロフト,richādo・ashukurofuto
ethelwynn trewavas,エスリン・トレワヴァス,esurin・torewavasu
brian mcclair,ブライアン・マクレアー,buraian・makureā
bill foulkes,ビル・フォルケス,biru・forukesu
walter bagehot,ウォルター・バジョット,worutā・bajotto
arthur albiston,アーサー・アルビストン,āsā・arubisuton
dennis viollet,デニス・ヴァイオレット,denisu・vaioretto
simon curtis,サイモン・カーティス,saimon・kātisu
george larner,ジョージ・ラーナー,jōji・rānā
shelley conn,シェリー・コン,sherī・kon
perry mccarthy,ペリー・マッカーシー,perī・makkāshī
louise rennison,ルイーズ・レニソン,ruīzu・renison
beverley goddard,ビバリー・ゴダード,bibarī・godādo
wendy sly,ウェンディ・スライ,wendi・surai
stephen mcmanus,スティーヴン・マクマナス,sutīvun・makumanasu
john hinch,ジョン・ヒンチ,jon・hinchi
kenneth clark,ケネス・クラーク,kenesu・kurāku
george romney,ジョージ・ロムニー,jōji・romunī
david taylor,デビッド・テイラー,debiddo・teirā
michael ball,マイケル・ボール,maikeru・bōru
maggie reilly,マギー・ライリー,magī・rairī
muriel spark,ミュリエル・スパーク,myurieru・supāku
henry scott tuke,ヘンリー・スコット・テューク,henrī・sukotto・tyūku
samantha fox,サマンサ・フォックス,samansa・fokkusu
simon singh,サイモン・シン,saimon・shin
jancis robinson,ジャンシス・ロビンソン,janshisu・robinson
jermaine beckford,ジャーメイン・ベックフォード,jāmein・bekkufōdo
marie stopes,マリー・ストープス,marī・sutōpusu
selita ebanks,セリタ・エバンクス,serita・ebankusu
charlotte cooper,シャーロット・クーパー,shārotto・kūpā
michelle ryan,ミシェル・ライアン,misheru・raian
angela buxton,アンジェラ・バクストン,anjera・bakusuton
stephen graham,スティーヴン・グレアム,sutīvun・gureamu
justina robson,ジャスティナ・ロブスン,jasutina・robusun
shirley manson,シャーリー・マンソン,shārī・manson
barbara hepworth,バーバラ・ヘップワース,bābara・heppuwāsu
miriam margolyes,ミリアム・マーゴリーズ,miriamu・māgorīzu
joely richardson,ジョエリー・リチャードソン,joerī・richādoson
ian mcshane,イアン・マクシェーン,ian・makushēn
lee mcculloch,リー・マッカローク,rī・makkarōku
elizabeth inglis,エリザベス・イングリス,erizabesu・ingurisu
chris rankin,クリス・ランキン,kurisu・rankin
angela cartwright,アンジェラ・カートライト,anjera・kātoraito
david slade,デヴィッド・スレイド,deviddo・sureido
iain glen,イアン・グレン,ian・guren
lynne frederick,リン・フレデリック,rin・furederikku
derek meddings,デレク・メディングス,dereku・medingusu
nigel stock,ナイジェル・ストック,naijeru・sutokku
elizabeth thompson,エリザベス・トンプソン,erizabesu・tonpuson
john williams,ジョン・ウィリアムス,jon・wiriamusu
graham hancock,グラハム・ハンコック,gurahamu・hankokku
joan harrison,ジョーン・ハリソン,jōn・harison
pattie boyd,パティ・ボイド,pati・boido
louise brown,ルイーズ・ブラウン,ruīzu・buraun
pam ferris,パム・フェリス,pamu・ferisu
calum davenport,カラム・ダヴェンポート,karamu・davuェnpōto
cush jumbo,クシュ・ジャンボ,kushu・janbo
joe ledley,ジョー・レドリー,jō・redorī
wayne routledge,ウェイン・ラウトリッジ,wein・rautorijji
neville brody,ネヴィル・ブロディ,neviru・burodi
wanda ventham,ワンダ・ヴェンサム,wanda・vuェnsamu
jean westwood,ジーン・ウエストウッド,jīn・uesutouddo
emily beecham,エミリー・ビーチャム,emirī・bīchamu
harriet harman,ハリエット・ハーマン,harietto・hāman
alice liddell,アリス・リデル,arisu・rideru
rosemary harris,ローズマリー・ハリス,rōzumarī・harisu
daniel purcell,ダニエル・パーセル,danieru・pāseru
craig lindfield,クレイグ・リンドフィールド,kureigu・rindofīrudo
martin mcdonagh,マーティン・マクドナー,mātin・makudonā
ken macleod,ケン・マクラウド,ken・makuraudo
pat rice,パット・ライス,patto・raisu
william burnside,ウィリアム・バーンサイド,wiriamu・bānsaido
ian mcdonald,イアン・マクドナルド,ian・makudonarudo
herbert rawlinson,ハーバート・ローリンソン,hābāto・rōrinson
dick parry,ディック・パリー,dikku・parī
olivia hussey,オリヴィア・ハッセー,orivia・hassē
maisie williams,メイジー・ウィリアムズ,meijī・wiriamuzu
gabriella wilde,ガブリエラ・ワイルド,gaburiera・wairudo
fiona fullerton,フィオナ・フラートン,fiona・furāton
simon west,サイモン・ウェスト,saimon・wesuto
winifred mcnair,ウィニフレッド・マクネアー,winifureddo・makuneā
eve muirhead,イブ・ミュアヘッド,ibu・myuaheddo
melita norwood,メリタ・ノーウッド,merita・nōuddo
indira varma,インディラ・ヴァルマ,indira・varuma
jose baxter,ジョセ・バクスター,jose・bakusutā
isaiah osbourne,イサイア・オズボーン,isaia・ozubōn
annie besant,アニー・ベサント,anī・besanto
belita,ベリタ,berita
richard wilson,リチャード・ウィルソン,richādo・wiruson
jonathan nolan,ジョナサン・ノーラン,jonasan・nōran
ray stevenson,レイ・スティーヴンソン,rei・sutīvunson
adrian carton de wiart,エイドリアン・カートン・デ・ウィアート,eidorian・kāton・de・wiāto
adrian biddle,エイドリアン・ビドル,eidorian・bidoru
adrian boult,エイドリアン・ボールト,eidorian・bōruto
ewen bremner,ユエン・ブレムナー,yuen・buremunā
derek riggs,デレク・リッグス,dereku・riggusu
sam riley,サム・ライリー,samu・rairī
gary ablett,ガリー・アブレット,garī・aburetto
kevin gallacher,ケヴィン・ギャラハー,kevin・gyarahā
atticus ross,アッティカス・ロス,attikasu・rosu
millvina dean,ミルヴィナ・ディーン,miruvina・dīn
dakota blue richards,ダコタ・ブルー・リチャーズ,dakota・burū・richāzu
angela carter,アンジェラ・カーター,anjera・kātā
sydney brenner,シドニー・ブレナー,shidonī・burenā
charlotte rampling,シャーロット・ランプリング,shārotto・ranpuringu
alfred east,アルフレッド・イースト,arufureddo・īsuto
john simm,ジョン・シム,jon・shimu
richard westbrook,リチャード・ウェストブルック,richādo・wesutoburukku
emily lloyd,エミリー・ロイド,emirī・roido
june foulds,ジューン・フォールズ,jūn・fōruzu
julie covington,ジュリー・コヴィントン,jurī・kovinton
jhumpa lahiri,ジュンパ・ラヒリ,junpa・rahiri
colin hendry,コリン・ヘンドリー,korin・hendorī
jeremy northam,ジェレミー・ノーサム,jeremī・nōsamu
susan strange,スーザン・ストレンジ,sūzan・sutorenji
beryl markham,ベリル・マーカム,beriru・mākamu
freema agyeman,フリーマ・アジェマン,furīma・ajeman
juno temple,ジュノー・テンプル,junō・tenpuru
ninette de valois,ニネット・ド・ヴァロア,ninetto・do・varoa
rob lee,ロブ・リー,robu・rī
felicity jones,フェリシティ・ジョーンズ,ferishiti・jōnzu
alex cuthbert,アレックス・カスバート,arekkusu・kasubāto
mike phillips,マイク・フィリップス,maiku・firippusu
adrian lester,エイドリアン・レスター,eidorian・resutā
adrian heath,エイドリアン・ヒース,eidorian・hīsu
kathy burke,キャシー・バーク,kyashī・bāku
isaac deutscher,アイザック・ドイッチャー,aizakku・doitchā
edgar wright,エドガー・ライト,edogā・raito
beth orton,ベス・オートン,besu・ōton
imogen holst,イモージェン・ホルスト,imōjen・horusuto
nicola griffith,ニコラ・グリフィス,nikora・gurifisu
lesley manville,レスリー・マンヴィル,resurī・manviru
roger dean,ロジャー・ディーン,rojā・dīn
duncan ferguson,ダンカン・ファーガソン,dankan・fāgason
james gillray,ジェームズ・ギルレイ,jēmuzu・girurei
shirley bassey,シャーリー・バッシー,shārī・basshī
joanne harris,ジョアン・ハリス,joan・harisu
alfred fowler,アルフレッド・ファウラー,arufureddo・faurā
vladislav shoot,ヴラディスラフ・シューチ,vuradisurafu・shūchi
joan robinson,ジョーン・ロビンソン,jōn・robinson
adrian bird,エイドリアン・バード,eidorian・bādo
laurence harvey,ローレンス・ハーヴェイ,rōrensu・hāvuェi
adrian reynard,エイドリアン・レイナード,eidorian・reinādo
jacob bronowski,ジェイコブ・ブロノフスキー,jeikobu・buronofusukī
alan hansen,アラン・ハンセン,aran・hansen
adrian sherwood,エイドリアン・シャーウッド,eidorian・shāuddo
baroness orczy,バロネス・オルツィ,baronesu・orutsi
adrian lyne,エイドリアン・ライン,eidorian・rain
nigel winterburn,ナイジェル・ウィンターバーン,naijeru・wintābān
romola garai,ロモーラ・ガライ,romōra・garai
teddy sheringham,テディ・シェリンガム,tedi・sheringamu
john blackwood mcewen,ジョン・ブラックウッド・マキュアン,jon・burakkuuddo・makyuan
adrian metcalfe,エイドリアン・メトカーフ,eidorian・metokāfu
adrian gurvitz,エイドリアン・ガーヴィッツ,eidorian・gāvittsu
adrian hardy haworth,エイドリアン・ハーディ・ハワース,eidorian・hādi・hawāsu
adrian goldsworthy,エイドリアン・ゴールズワーシー,eidorian・gōruzuwāshī
matt derbyshire,マット・ダービーシャー,matto・dābīshā
steve smith,スティーブ・スミス,sutību・sumisu
marcus fleming,マーカス・フレミング,mākasu・furemingu
jay simpson,ジェイ・シンプソン,jei・shinpuson
mike blair,マイク・ブレア,maiku・burea
sarita choudhury,サリタ・チョウドリー,sarita・choudorī
crispin wright,クリスピン・ライト,kurisupin・raito
haig oundjian,ヘイグ・アウンジャン,heigu・aunjan
ernest william brown,アーネスト・ウィリアム・ブラウン,ānesuto・wiriamu・buraun
quentin skinner,クェンティン・スキナー,kwentin・sukinā
hilary mantel,ヒラリー・マンテル,hirarī・manteru
jack hobbs,ジャック・ホッブス,jakku・hobbusu
miriam stockley,ミリアム・ストックリー,miriamu・sutokkurī
scott malone,スコット・マローン,sukotto・marōn
beryl grey,ベリル・グレイ,beriru・gurei
nicholas hooper,ニコラス・フーパー,nikorasu・fūpā
michael booker,マイケル・ブッカー,maikeru・bukkā
james toseland,ジェームス・トスランド,jēmusu・tosurando
richard hooker,リチャード・フッカー,richādo・fukkā
lili kraus,リリー・クラウス,rirī・kurausu
steve woolgar,スティーヴ・ウールガー,sutīvu・ūrugā
arthur wynne,アーサー・ウィン,āsā・win
claire bloom,クレア・ブルーム,kurea・burūmu
imelda staunton,イメルダ・スタウントン,imeruda・sutaunton
jenny agutter,ジェニー・アガター,jenī・agatā
tyrone mears,タイロン・ミアーズ,tairon・miāzu
ned maddrell,ネッド・マドレル,neddo・madoreru
andy bown,アンディ・ボウン,andi・boun
kathryn prescott,キャスリン・プレスコット,kyasurin・puresukotto
bev bevan,ベヴ・ベヴァン,bevu・bevan
phil neal,フィル・ニール,firu・nīru
leon jackson,レオン・ジャクソン,reon・jakuson
terry chimes,テリー・チャイムズ,terī・chaimuzu
trevor steven,トレヴァー・スティーヴン,torevā・sutīvun
harold lowe,ハロルド・ロウ,harorudo・rou
sonia lannaman,ソニア・ラナマン,sonia・ranaman
matt ryan,マット・ライアン,matto・raian
steve archibald,スティーブ・アーチボルド,sutību・āchiborudo
john gray,ジョン・グレイ,jon・gurei
helen duncan,ヘレン・ダンカン,heren・dankan
dorothy hyman,ドロシー・ハイマン,doroshī・haiman
sheila lerwill,シーラ・レーウィル,shīra・rēwiru
gordon duncan,ゴードン・ダンカン,gōdon・dankan
hayley atwell,ヘイリー・アトウェル,heirī・atoweru
sophie kinsella,ソフィー・キンセラ,sofī・kinsera
dorian yates,ドリアン・イエーツ,dorian・iētsu
norman davies,ノーマン・デイヴィス,nōman・deivisu
evelyn colyer,イブリン・コリヤー,iburin・koriyā
fraser stoddart,フレイザー・ストッダート,fureizā・sutoddāto
betty nuthall,ベティ・ナットール,beti・nattōru
barbara burke,バーバラ・バーク,bābara・bāku
nicola sturgeon,ニコラ・スタージョン,nikora・sutājon
cristian solimeno,クリスチャン・ソリメノ,kurisuchan・sorimeno
james bourne,ジェイムス・ボーン,jeimusu・bōn
eugene laverty,ユージーン・ラバティ,yūjīn・rabati
juliet mills,ジュリエット・ミルズ,jurietto・miruzu
stan collymore,スタン・コリモア,sutan・korimoa
chris baird,クリス・ベアード,kurisu・beādo
geoffrey barraclough,ジェフリー・バラクロウ,jefurī・barakurou
jonathan lynn,ジョナサン・リン,jonasan・rin
daniel harding,ダニエル・ハーディング,danieru・hādingu
desmond bagley,デズモンド・バグリィ,dezumondo・baguriィ
trina gulliver,トゥリーナ・ガリヴァー,turīna・garivā
dorothy shirley,ドロシー・シャーリー,doroshī・shārī
patricia medina,パトリシア・メディナ,patorishia・medina
jung chang,ユン・チアン,yun・chian
paula rego,ポーラ・レゴ,pōra・rego
gladys cooper,グラディス・クーパー,guradisu・kūpā
anna kingsford,アンナ・キングスフォード,anna・kingusufōdo
alma cogan,アルマ・コーガン,aruma・kōgan
nigel havers,ナイジェル・ヘイヴァース,naijeru・heivāsu
jennifer saunders,ジェニファー・ソーンダース,jenifā・sōndāsu
lily cole,リリー・コール,rirī・kōru
roy bhaskar,ロイ・バスカー,roi・basukā
ruth prawer jhabvala,ルース・プラワー・ジャブヴァーラ,rūsu・purawā・jabuvāra
guy pratt,ガイ・プラット,gai・puratto
afshan azad,アフシャン・アザド,afushan・azado
jennifer ehle,ジェニファー・イーリー,jenifā・īrī
margaret burbidge,マーガレット・バービッジ,māgaretto・bābijji
jamie hewlett,ジェイミー・ヒューレット,jeimī・hyūretto
peter sutcliffe,ピーター・サトクリフ,pītā・satokurifu
emilia clarke,エミリア・クラーク,emiria・kurāku
donald maclean,ドナルド・マクリーン,donarudo・makurīn
roger scruton,ロジャー・スクルートン,rojā・sukurūton
andy priaulx,アンディ・プリオール,andi・puriōru
kelly sotherton,ケリー・サザートン,kerī・sazāton
jennifer nicks,ジェニファー・ニックス,jenifā・nikkusu
frances ruffelle,フランシス・ラッフェル,furanshisu・rafferu
marcus bent,マーカス・ベント,mākasu・bento
serena scott thomas,セレナ・スコット・トーマス,serena・sukotto・tōmasu
sebastian de souza,セバスチャン・デ・ソウザ,sebasuchan・de・souza
bramwell fletcher,ブラムウェル・フレッチャー,buramuweru・furetchā
andy clark,アンディ・クラーク,andi・kurāku
andy fraser,アンディ・フレイザー,andi・fureizā
andy fairweather low,アンディ・フェアウェザー・ロウ,andi・feawezā・rou
james meade,ジェイムズ・ミード,jeimuzu・mīdo
robin reid,ロビン・リード,robin・rīdo
peter firth,ピーター・ファース,pītā・fāsu
steve perryman,スティーブ・ペリマン,sutību・periman
patrick malahide,パトリック・マラハイド,patorikku・marahaido
adrienne corri,エイドリアン・コリ,eidorian・kori
lester piggott,レスター・ピゴット,resutā・pigotto
natasha jonas,ナターシャ・ジョナス,natāsha・jonasu
richard southwood,リチャード・サウスウッド,richādo・sausuuddo
george daniels,ジョージ・ダニエルズ,jōji・danieruzu
marianne stokes,マリアンヌ・ストークス,mariannu・sutōkusu
hanna segal,ハンナ・シーガル,hanna・shīgaru
mike paradinas,マイク・パラディナス,maiku・paradinasu
bernard cornwell,バーナード・コーンウェル,bānādo・kōnweru
malia,マリア,maria
