angela merkel,アンゲラ・メルケル,angera・merukeru
max riemelt,マックス・リーメルト,makkusu・rīmeruto
irina korschunow,イリーナ・コルシュノフ,irīna・korushunofu
frei otto,フライ・オットー,furai・ottō
rolf gölz,ロルフ・ゲルツ,rorufu・gerutsu
theo adam,テオ・アダム,teo・adamu
anja silja,アニャ・シリヤ,anya・shiriya
michael von biel,ミヒャエル・フォン・ビール,mihyaeru・fon・bīru
hans dominik,ハンス・ドミニク,hansu・dominiku
elisabeth hauptmann,エリーザベト・ハウプトマン,erīzabeto・hauputoman
günther von maltzahn,ギュンター・フォン・マルツァーン,gyuntā・fon・marutsān
willy langkeit,ヴィリィ・ラングカイト,viriィ・rangukaito
armin rohde,アーミン・ローデ,āmin・rōde
adolfo hohenstein,アドルフ・ホーヘンシュタイン,adorufu・hōhenshutain
sylvester groth,シルヴェスター・グロート,shiruvuェsutā・gurōto
hans baur,ヨハン・バウア,yohan・baua
wolfgang wagner,ヴォルフガング・ワーグナー,vuォrufugangu・wāgunā
kurt sanderling,クルト・ザンデルリング,kuruto・zanderuringu
günter guillaume,ギュンター・ギヨーム,gyuntā・giyōmu
stefan dohr,シュテファン・ドール,shutefan・dōru
jennifer ulrich,ジェニファー・ウルリッヒ,jenifā・ururihhi
volker weidler,フォルカー・ヴァイドラー,forukā・vaidorā
theodor busse,テオドーア・ブッセ,teodōa・busse
wieland wagner,ヴィーラント・ワーグナー,vīranto・wāgunā
adolf spamer,アードルフ・シュパーマー,ādorufu・shupāmā
helmut fath,ヘルムート・ファス,herumūto・fasu
waldemar von baußnern,ヴァルデマール・フォン・バウスネルン,varudemāru・fon・bausunerun
eugen herrigel,オイゲン・ヘリゲル,oigen・herigeru
marcel beyer,マルセル・バイアー,maruseru・baiā
martin wimmer,マーチン・ウィマー,māchin・wimā
albert bormann,アルベルト・ボルマン,aruberuto・boruman
arne tode,アルネ・トーデ,arune・tōde
daniel hermann,ダニエル・ヘルマン,danieru・heruman
heinz wallberg,ハインツ・ワルベルク,haintsu・waruberuku
ludwig bergsträsser,ルートヴィヒ・ベルクシュトレッサー,rūtovihi・berukushutoressā
johann karl,ヨハン・カール,yohan・kāru
rené lohse,レネ・ローゼ,rene・rōze
walter zimmermann,ヴァルター・ツィンマーマン,varutā・tsinmāman
veronika eberle,ヴェロニカ・エーベルレ,vuェronika・ēberure
wilhelm heidkamp,ヴィルヘルム・ハイドカンプ,viruherumu・haidokanpu
roland asch,ローランド・アッシュ,rōrando・asshu
oka nikolov,オカ・ニコロフ,oka・nikorofu
walter dornberger,ヴァルター・ドルンベルガー,varutā・dorunberugā
oksana chusovitina,オクサナ・チュソビチナ,okusana・chusobichina
christian mayer,クリスチャン・マイヤー,kurisuchan・maiyā
ariane friedrich,アリアネ・フリードリヒ,ariane・furīdorihi
paul kretschmer,パウル・クレッチマー,pauru・kuretchimā
friedrich carl andreas,フリードリッヒ・カール・アンドレアス,furīdorihhi・kāru・andoreasu
hugo von seeliger,フーゴ・フォン・ゼーリガー,fūgo・fon・zērigā
miriam neureuther,ミリアム・ゲスナー,miriamu・gesunā
georg kaiser,ゲオルグ・カイザー,georugu・kaizā
jörg müller,ヨルグ・ミューラー,yorugu・myūrā
wolfgang iser,ヴォルフガング・イーザー,vuォrufugangu・īzā
matthias schweighöfer,マティアス・シュヴァイクホファー,matiasu・shuvaikuhofā
franz engstler,フランツ・エングストラー,furantsu・engusutorā
willy burmester,ウィリー・ブルメスター,wirī・burumesutā
rudolf leiding,ルドルフ・ライディング,rudorufu・raidingu
tilly fleischer,ティリー・フライシャー,tirī・furaishā
jakob albrecht,ジェイコブ・オルブライト,jeikobu・oruburaito
mathilde in bayern,マティルデ・イン・バイエルン,matirude・in・baierun
karl bartos,カール・バルトス,kāru・barutosu
wolfgang schmieder,ヴォルフガング・シュミーダー,vuォrufugangu・shumīdā
joseph süß oppenheimer,ヨーゼフ・ズュース・オッペンハイマー,yōzefu・zuューsu・oppenhaimā
ralf dujmovits,ラルフ・ドゥイモビッツ,rarufu・duimobittsu
wolfram fleischhauer,ヴォルフラム・フライシュハウアー,vuォrufuramu・furaishuhauā
yıldıray baştürk,ユルドゥライ・バシュテュルク,yurudurai・bashutyuruku
hans röttiger,ハンス・レッティガー,hansu・rettigā
reinhart ahlrichs,ラインハルト・アールリヒス,rainharuto・ārurihisu
arnolt schlick,アルノルト・シュリック,arunoruto・shurikku
philipp melanchthon,フィリップ・メランヒトン,firippu・meranhiton
petra felke,ペトラ・フェルケ,petora・feruke
dietrich bonhoeffer,ディートリヒ・ボンヘッファー,dītorihi・bonheffā
wilhelm von thoma,ヴィルヘルム・フォン・トーマ,viruherumu・fon・tōma
artur axmann,アルトゥール・アクスマン,arutūru・akusuman
maria von geldern,メアリー・オブ・グエルダース,mearī・obu・guerudāsu
oliver hirschbiegel,オリヴァー・ヒルシュビーゲル,orivā・hirushubīgeru
hans von luck,ハンス・フォン・ルック,hansu・fon・rukku
jonas folger,ジョナス・フォルガー,jonasu・forugā
paul weinstein,パウル・ヴァインシュタイン,pauru・vainshutain
timo bernhard,ティモ・ベルンハルト,timo・berunharuto
paul falk,パウル・ファルク,pauru・faruku
boris becker,ボリス・ベッカー,borisu・bekkā
horst buchholz,ホルスト・ブッフホルツ,horusuto・buffuhorutsu
thomas strunz,トーマス・シュトルンツ,tōmasu・shutoruntsu
kim dotcom,キム・ドットコム,kimu・dottokomu
sandra schmitt,サンドラ・シュミット,sandora・shumitto
walter elsasser,ウォルター・エルサッサー,worutā・erusassā
peter lindbergh,ピーター・リンドバーグ,pītā・rindobāgu
friedrich christiansen,フリードリッヒ・クリスチャンセン,furīdorihhi・kurisuchansen
walther stennes,ヴァルター・シュテンネス,varutā・shutennesu
hans wehr,ハンス・ヴェーア,hansu・vuェーa
leonie swann,レオニー・スヴァン,reonī・suvan
peter berling,ペーター・ベルリング,pētā・beruringu
ludwig wolff,ルートヴィヒ・ヴォルフ,rūtovihi・vuォrufu
marcel tiemann,マルセル・ティーマン,maruseru・tīman
martin drewes,マルティン・ドレーヴェス,marutin・dorēvuェsu
sophia charlotte von platenhallermund,ゾフィア・シャルロッテ・フォン・キールマンゼック,zofia・sharurotte・fon・kīrumanzekku
hanns kneifel,ハンス・クナイフェル,hansu・kunaiferu
gudrun pausewang,グードルン・パウゼヴァング,gūdorun・pauzevangu
alexander kluge,アレクサンダー・クルーゲ,arekusandā・kurūge
ute lemper,ウテ・レンパー,ute・renpā
sigismund von preußen,ジギスムント・フォン・プロイセン,jigisumunto・fon・puroisen
richard sapper,リヒャルト・ザッパー,rihyaruto・zappā
annette dytrt,アネッテ・ディトルト,anette・ditoruto
hans zender,ハンス・ツェンダー,hansu・tsendā
günter behnisch,ギュンター・ベーニッシュ,gyuntā・bēnisshu
ingo schultz,インゴ・シュルツ,ingo・shurutsu
hans grodotzki,ハンス・グロドツキ,hansu・gurodotsuki
edmund heines,エドムント・ハイネス,edomunto・hainesu
otto wöhler,オットー・ヴェーラー,ottō・vuェーrā
gerhard von rad,ゲルハルト・フォン・ラート,geruharuto・fon・rāto
wilhelm koppe,ヴィルヘルム・コッペ,viruherumu・koppe
stefan leko,ステファン・レコ,sutefan・reko
johann gerhard könig,ヨハン・ゲルハルト・ケーニヒ,yohan・geruharuto・kēnihi
florian lukas,フロリアン・ルーカス,furorian・rūkasu
ernst käsemann,エルンスト・ケーゼマン,erunsuto・kēzeman
hans zimmer,ハンス・ジマー,hansu・jimā
otto von habsburg,オットー・フォン・ハプスブルク,ottō・fon・hapusuburuku
katja kipping,カーチャ・キッピング,kācha・kippingu
walter simon,ヴァルター・ジーモン,varutā・jīmon
sabine lisicki,ザビーネ・リシキ,zabīne・rishiki
joseph clemens von bayern,ヨーゼフ・クレメンス・フォン・バイエルン,yōzefu・kuremensu・fon・baierun
charles p steinmetz,チャールズ・プロテウス・スタインメッツ,chāruzu・puroteusu・sutainmettsu
benno fürmann,ベンノ・フユルマン,benno・fuyuruman
wilhelm batz,ヴィルヘルム・バッツ,viruherumu・battsu
helmut rahn,ヘルムート・ラーン,herumūto・rān
hermann esser,ヘルマン・エッサー,heruman・essā
norbert haug,ノルベルト・ハウグ,noruberuto・haugu
martina hellmann,マルティナ・ヘルマン,marutina・heruman
astrid kumbernuss,アストリッド・クンバーヌス,asutoriddo・kunbānusu
eduard heis,エドゥアルト・ハイス,eduaruto・haisu
wilhelm keitel,ヴィルヘルム・カイテル,viruherumu・kaiteru
jürgen habermas,ユルゲン・ハーバーマス,yurugen・hābāmasu
walter hewel,ヴァルター・ヘーヴェル,varutā・hēvuェru
ferdinand alexander porsche,フェルディナント・アレクサンダー・ポルシェ,ferudinanto・arekusandā・porushe
felix loch,フェリックス・ロッホ,ferikkusu・rohho
zygmunt chychła,ジグムント・チチラ,jigumunto・chichira
erich klausener,エーリヒ・クラウゼナー,ērihi・kurauzenā
ria baran,リア・ファルク,ria・faruku
marko baacke,マルコ・バーケ,maruko・bāke
siegfried borris,ジークフリート・ボリス,jīkufurīto・borisu
wotan wilke möhring,ヴォータン・ヴィルケ・メーリング,vuォーtan・viruke・mēringu
wilhelm brückner,ヴィルヘルム・ブリュックナー,viruherumu・buryukkunā
friedrich kratochwil,フリードリッヒ・クラトチウィル,furīdorihhi・kuratochiwiru
adolf friedrich zu mecklenburg,アドルフ・フリードリヒ・ツー・メクレンブルク,adorufu・furīdorihi・tsū・mekurenburuku
ludwig klages,ルートヴィヒ・クラーゲス,rūtovihi・kurāgesu
erich haenisch,エーリヒ・ヘーニシュ,ērihi・hēnishu
sandra gal,サンドラ・ガル,sandora・garu
cordula trantow,コルドラ・トラントフ,korudora・torantofu
constantia von cosel,コンスタンティア・フォン・コーゼル,konsutantia・fon・kōzeru
armin laschet,アルミン・ラシェット,arumin・rashetto
heinz heimsoeth,ハインツ・ハイムゼート,haintsu・haimuzēto
wilhelm mohnke,ヴィルヘルム・モーンケ,viruherumu・mōnke
kurt zeitzler,クルト・ツァイツラー,kuruto・tsaitsurā
axel honneth,アクセル・ホネット,akuseru・honetto
markus fothen,マルクス・フォーテン,marukusu・fōten
martin kaymer,マルティン・カイマー,marutin・kaimā
sascha hehn,サッシャ・ヒーン,sassha・hīn
marianne hold,マリアンヌ・ホルト,mariannu・horuto
jochen kowalski,ヨッヘン・コヴァルスキー,yohhen・kovarusukī
elga andersen,エルガ・アンデルセン,eruga・anderusen
artur rother,アルトゥール・ローター,arutūru・rōtā
charles bukowski,チャールズ・ブコウスキー,chāruzu・bukousukī
dietmar lorenz,ディートマー・ローレンツ,dītomā・rōrentsu
fritz huschke von hanstein,フリッツ・フシュケ・フォン・ハンシュタイン,furittsu・fushuke・fon・hanshutain
andrasch starke,アンドレアシュ・シュタルケ,andoreashu・shutaruke
helmut roloff,ヘルムート・ロロフ,herumūto・rorofu
wilhelm schüchter,ヴィルヘルム・シュヒター,viruherumu・shuhitā
emil mazuw,エミール・マツゥー,emīru・matsuゥー
ottmar von mohl,オットマール・フォン・モール,ottomāru・fon・mōru
viktor holtz,ヴィクトル・ホルツ,vikutoru・horutsu
jun märkl,ジュン・メルクル,jun・merukuru
erasmus widmann,エラスムス・ヴィトマン,erasumusu・vitoman
andreas wisniewski,アンドリアス・ウイスニウスキー,andoriasu・uisuniusukī
harald bode,ハラルト・ボーデ,hararuto・bōde
marco pezzaiuoli,マルコ・ペッツァイオリ,maruko・pettsaiori
martin liebers,マルティン・リーベルス,marutin・rīberusu
eduard von schleich,エドゥアルト・フォン・シュライヒ,eduaruto・fon・shuraihi
august schneidhuber,アウグスト・シュナイトフーバー,augusuto・shunaitofūbā
günther bornkamm,ギュンター・ボルンカム,gyuntā・borunkamu
friedrich panzinger,フリードリヒ・パンツィンガー,furīdorihi・pantsingā
dennis gansel,デニス・ガンゼル,denisu・ganzeru
freimut börngen,フライムート・ベルンゲン,furaimūto・berungen
fabian von schlabrendorff,ファビアン・フォン・シュラーブレンドルフ,fabian・fon・shurāburendorufu
manfred wörner,マンフレート・ヴェルナー,manfurēto・vuェrunā
ursula von der leyen,ウルズラ・フォン・デア・ライエン,uruzura・fon・dea・raien
dieter baumann,ディーター・バウマン,dītā・bauman
stephanie beckert,ステファニー・ベッケルト,sutefanī・bekkeruto
heinrich ratjen,ドラ・ラチエン,dora・rachien
otto schily,オットー・シリー,ottō・shirī
horst faber,ホルスト・ファーバー,horusuto・fābā
carl philipp emanuel bach,カール・フィリップ・エマヌエル・バッハ,kāru・firippu・emanueru・bahha
clemens august graf von galen,クレメンス・アウグスト・グラーフ・フォン・ガーレン,kuremensu・augusuto・gurāfu・fon・gāren
wilhelm cramer,ヴィルヘルム・クラーマー,viruherumu・kurāmā
peter stuhlmacher,ペーター・シュトゥールマッハー,pētā・shutūrumahhā
hermann boehm,ヘルマン・ベーム,heruman・bēmu
jochen neerpasch,ヨッヘン・ニアパッシュ,yohhen・niapasshu
rani khedira,ラニ・ケディラ,rani・kedira
karl dönitz,カール・デーニッツ,kāru・dēnittsu
kurt eisner,クルト・アイスナー,kuruto・aisunā
agnes bernauer,アグネス・ベルナウアー,agunesu・berunauā
isabel drescher,イザベル・ドレッシャー,izaberu・doresshā
johannes junius,ヨハネス・ユニウス,yohanesu・yuniusu
claus holm,クラウス・ホルム,kurausu・horumu
marianne sägebrecht,マリアンネ・ゼーゲブレヒト,marianne・zēgeburehito
harald kujat,ハラルド・クヤート,hararudo・kuyāto
mechthild von bayern,メヒティルト・フォン・バイエルン,mehitiruto・fon・baierun
richard sammel,リチャード・サメル,richādo・sameru
ernst deutsch,エルンスト・ドイッチュ,erunsuto・doitchu
kerstin gier,ケルスティン・ギア,kerusutin・gia
philipp von hessen,フィリップ・フォン・ヘッセン,firippu・fon・hessen
emil maurice,エミール・モーリス,emīru・mōrisu
siegfried lenz,ジークフリート・レンツ,jīkufurīto・rentsu
jakob michael reinhold lenz,ヤーコプ・ミヒャエル・ラインホルト・レンツ,yākopu・mihyaeru・rainhoruto・rentsu
ludwig bemelmans,ルドウィッヒ・ベーメルマンス,rudowihhi・bēmerumansu
ellen allien,エレン・エイリアン,eren・eirian
emmy göring,エミー・ゲーリング,emī・gēringu
edward lasker,エドワード・ラスカー,edowādo・rasukā
dieter rams,ディーター・ラムス,dītā・ramusu
rose ausländer,ローゼ・アウスレンダー,rōze・ausurendā
brigitte zypries,ブリギッテ・ツィプリース,burigitte・tsipurīsu
heinz rühmann,ハインツ・リューマン,haintsu・ryūman
pascal bodmer,パスカル・ボドマー,pasukaru・bodomā
arthur korn,アーサー・コーン,āsā・kōn
franz breithaupt,フランツ・ブライトハウプト,furantsu・buraitohauputo
claus schilling,クラウス・シリング,kurausu・shiringu
michael ende,ミヒャエル・エンデ,mihyaeru・ende
tuiskon ziller,トゥイスコン・ツィラー,tuisukon・tsirā
christoph eschenbach,クリストフ・エッシェンバッハ,kurisutofu・esshenbahha
christian thielemann,クリスティアン・ティーレマン,kurisutian・tīreman
carl ludwig philipp zeyher,カール・ルートヴィヒ・フィリップ・ツァイハー,kāru・rūtovihi・firippu・tsaihā
carolina hermann,カロリーナ・ヘルマン,karorīna・heruman
herbert schnädelbach,ヘルベルト・シュネーデルバッハ,heruberuto・shunēderubahha
roger kluge,ローガー・クルーゲ,rōgā・kurūge
katrin zeller,カトリン・ツェラー,katorin・tserā
rolf hochhuth,ロルフ・ホーホフート,rorufu・hōhofūto
wilhelm rein,ヴィルヘルム・ライン,viruherumu・rain
alfred merz,アルフレート・メルツ,arufurēto・merutsu
agnes von andechs,アグネス・フォン・メラーニエン,agunesu・fon・merānien
oskar von miller,オスカル・フォン・ミラー,osukaru・fon・mirā
magdalena neuner,マグダレナ・ノイナー,magudarena・noinā
michael uhrmann,ミヒャエル・ウアマン,mihyaeru・uaman
wolfgang ketterle,ヴォルフガング・ケターレ,vuォrufugangu・ketāre
walther bothe,ヴァルター・ボーテ,varutā・bōte
götz friedrich,ゲッツ・フリードリヒ,gettsu・furīdorihi
marquard sebastian schenk von stauffenberg,マルクヴァルト・ゼバスティアン・シェンク・フォン・シュタウフェンベルク,marukuvaruto・zebasutian・shenku・fon・shutaufenberuku
otto merz,オットー・メルツ,ottō・merutsu
georg niedermeier,ゲオルク・ニーダーマイアー,georuku・nīdāmaiā
tunay torun,トゥナイ・トルン,tunai・torun
kristina schröder,クリスティナ・シュレーダー,kurisutina・shurēdā
mehmet ekici,メーメット・エキジ,mēmetto・ekiji
heinz harmel,ハインツ・ハルメル,haintsu・harumeru
paul otto radomski,パウル・オットー・ラドムスキー,pauru・ottō・radomusukī
rudolf ströbinger,ルドルフ・シュトレビンガー,rudorufu・shutorebingā
julia pfrengle,ユリア・プフレングレ,yuria・pufurengure
alfred andersch,アルフレート・アンデルシュ,arufurēto・anderushu
stefan schumacher,シュテファン・シューマッハー,shutefan・shūmahhā
fritz straßmann,フリッツ・シュトラスマン,furittsu・shutorasuman
otto eißfeldt,オットー・アイスフェルト,ottō・aisuferuto
klaus zumwinkel,クラウス・ツムヴィンケル,kurausu・tsumuvinkeru
jerome froese,ジェローム・フローゼ,jerōmu・furōze
wilhelm von hohenau,ヴィルヘルム・フォン・ホーエナウ,viruherumu・fon・hōenau
nadja uhl,ナディヤ・ウール,nadiya・ūru
patrik sinkewitz,パトリック・ジンケヴィッツ,patorikku・jinkevittsu
ludwig riess,ルートヴィヒ・リース,rūtovihi・rīsu
günter eich,ギュンター・アイヒ,gyuntā・aihi
anton flettner,アントン・フレットナー,anton・furettonā
wolfgang helck,ヴォルフガング・ヘルク,vuォrufugangu・heruku
rainer maria rilke,ライナー・マリア・リルケ,rainā・maria・riruke
kirsten dunst,キルスティン・ダンスト,kirusutin・dansuto
burghart klaußner,ブルクハルト・クラウスナー,burukuharuto・kurausunā
wilhelm vatke,ヴィルヘルム・ファトケ,viruherumu・fatoke
erich buck,エーリヒ・ブック,ērihi・bukku
michael schneider,ミハエル・シュナイダー,mihaeru・shunaidā
mirko müller,ミルコ・ミュラー,miruko・myurā
christian egenolff,クリスチャン・エゲノルフ,kurisuchan・egenorufu
benno martin,ベンノ・マルティン,benno・marutin
heinrich prinz von hannover,ハインリヒ・ユリウス・フォン・ハノーファー,hainrihi・yuriusu・fon・hanōfā
michael pfleghar,ミヒャエル・フレガール,mihyaeru・furegāru
margit nünke,マルギット・ニュンケ,marugitto・nyunke
heinrich mann,ハインリヒ・マン,hainrihi・man
johann pachelbel,ヨハン・パッヘルベル,yohan・pahheruberu
karlheinz senghas,カールハインツ・ゼンガス,kāruhaintsu・zengasu
johann bayer,ヨハン・バイエル,yohan・baieru
reinhold ebertin,ラインホルト・エバーティン,rainhoruto・ebātin
walter gericke,ヴァルター・ゲリッケ,varutā・gerikke
heini dittmar,ハイニ・ディットマー,haini・dittomā
michael bernhard valentini,ミヒャエル・ベルンハルト・ヴァレンティニ,mihyaeru・berunharuto・varentini
jürgen schrempp,ユルゲン・シュレンプ,yurugen・shurenpu
oskar heil,オスカー・ハイル,osukā・hairu
walter greiner,ワルター・グライナー,warutā・gurainā
heinrich eberbach,ハインリッヒ・エーバーバッハ,hainrihhi・ēbābahha
michael neumayer,ミヒャエル・ノイマイアー,mihyaeru・noimaiā
gerhard mitter,ゲルハルト・ミッター,geruharuto・mittā
günther anders,ギュンター・アンダース,gyuntā・andāsu
martin schwarzschild,マーティン・シュヴァルツシルト,mātin・shuvarutsushiruto
michael bartels,ミハエル・バルテルス,mihaeru・baruterusu
werner kempf,ウェルナー・ケンプフ,werunā・kenpufu
erich brandenberger,エーリッヒ・ブランデンベルガー,ērihhi・burandenberugā
minna specht,ミンナ・シュペヒト,minna・shupehito
nicolai hartmann,ニコライ・ハルトマン,nikorai・harutoman
karl jaspers,カール・ヤスパース,kāru・yasupāsu
alfred weber,アルフレート・ヴェーバー,arufurēto・vuェーbā
eberhard von mackensen,エバーハルト・フォン・マッケンゼン,ebāharuto・fon・makkenzen
otto geßler,オットー・ゲスラー,ottō・gesurā
barbara sukowa,バルバラ・スコヴァ,barubara・sukova
wolfgang windgassen,ヴォルフガング・ヴィントガッセン,vuォrufugangu・vintogassen
henrich focke,ハインリヒ・フォッケ,hainrihi・fokke
hermann oberth,ヘルマン・オーベルト,heruman・ōberuto
romy schneider,ロミー・シュナイダー,romī・shunaidā
jan frodeno,ヤン・フロデノ,yan・furodeno
roland koch,ローラント・コッホ,rōranto・kohho
hugo schmeisser,ヒューゴ・シュマイザー,hyūgo・shumaizā
sebastian weigle,セバスティアン・ヴァイグレ,sebasutian・vaigure
kurt redel,クルト・レーデル,kuruto・rēderu
alexandrine von preußen,アレクサンドリーネ・フォン・プロイセン,arekusandorīne・fon・puroisen
hans vaihinger,ハンス・ファイヒンガー,hansu・faihingā
alexander gottlieb baumgarten,アレクサンダー・ゴットリープ・バウムガルテン,arekusandā・gottorīpu・baumugaruten
max scheler,マックス・シェーラー,makkusu・shērā
helmuth plessner,ヘルムート・プレスナー,herumūto・puresunā
peter fox,ペーター・フォックス,pētā・fokkusu
rudolf diels,ルドルフ・ディールス,rudorufu・dīrusu
heinrich von brentano,ハインリヒ・フォン・ブレンターノ,hainrihi・fon・burentāno
lilli palmer,リリー・パルマー,rirī・parumā
botho strauß,ボート・シュトラウス,bōto・shutorausu
werner kohlmeyer,ヴェルナー・コールマイヤー,vuェrunā・kōrumaiyā
günter verheugen,ギュンター・フェアホイゲン,gyuntā・feahoigen
ernst friedrich schumacher,エルンスト・フリードリッヒ・シューマッハー,erunsuto・furīdorihhi・shūmahhā
franz defregger,フランツ・デフレガー,furantsu・defuregā
stefan heym,シュテファン・ハイム,shutefan・haimu
hans fallada,ハンス・ファラダ,hansu・farada
kurt gerstein,クルト・ゲルシュタイン,kuruto・gerushutain
alexander granach,アレクサンダー・グラナック,arekusandā・guranakku
elyas mbarek,エリヤス・エンバレク,eriyasu・enbareku
ruth werner,ウルスラ・クチンスキー,urusura・kuchinsukī
friedrich hermann wölfert,フリードリッヒ・ヘルマン・ヴェルファート,furīdorihhi・heruman・vuェrufāto
hellmuth heye,ヘルムート・ハイエ,herumūto・haie
kurt binder,クルト・ビンダー,kuruto・bindā
bernhard wicki,ベルンハルト・ヴィッキ,berunharuto・vikki
fritz kortner,フリッツ・コルトナー,furittsu・korutonā
gerhard kubik,ゲルハルト・クービック,geruharuto・kūbikku
devid striesow,デーヴィト・シュトリーゾフ,dēvito・shutorīzofu
baki davrak,バーキ・ダヴラク,bāki・davuraku
julius dorpmüller,ユリウス・ドルプミュラー,yuriusu・dorupumyurā
eberhard diepgen,エーベルハルト・ディープゲン,ēberuharuto・dīpugen
uzi gal,ウジエル・ガル,ujieru・garu
jürgen rüttgers,ユルゲン・リュットガース,yurugen・ryuttogāsu
fritz bayerlein,フリッツ・バイエルライン,furittsu・baierurain
erwin piscator,エルヴィン・ピスカトール,eruvin・pisukatōru
denis moschitto,デニス・モシットー,denisu・moshittō
isabelle faust,イザベル・ファウスト,izaberu・fausuto
georg lindemann,ゲオルク・リンデマン,georuku・rindeman
martin harlinghausen,マルティン・ハルリンクハウゼン,marutin・harurinkuhauzen
hermann jansen,ヘルマン・ヤンセン,heruman・yansen
therese neumann,テレーゼ・ノイマン,terēze・noiman
susanne lothar,ズザンネ・ロータ,zuzanne・rōta
miroslav klose,ミロスラフ・クローゼ,mirosurafu・kurōze
erich kästner,エーリッヒ・ケストナー,ērihhi・kesutonā
kurt student,クルト・シュトゥデント,kuruto・shutudento
nico hülkenberg,ニコ・ヒュルケンベルグ,niko・hyurukenberugu
meister eckhart,マイスター・エックハルト,maisutā・ekkuharuto
robin knoche,ロビン・クノッヘ,robin・kunohhe
curse,カース,kāsu
ulrike meinhof,ウルリケ・マインホフ,ururike・mainhofu
walter gropius,ヴァルター・グロピウス,varutā・guropiusu
jürgen klopp,ユルゲン・クロップ,yurugen・kuroppu
mesut özil,メスト・エジル,mesuto・ejiru
sebastian jung,セバスティアン・ユング,sebasutian・yungu
sonny kittel,ゾニー・キッテル,zonī・kitteru
karl eberhard schöngarth,カール・エバーハルト・シェーンガルト,kāru・ebāharuto・shēngaruto
christian berkel,クリスチャン・ベルケル,kurisuchan・berukeru
erich topp,エーリヒ・トップ,ērihi・toppu
egon klepsch,エゴン・クレプシュ,egon・kurepushu
wolfgang clement,ヴォルフガング・クレメント,vuォrufugangu・kuremento
hansjoachim herrmann,ハヨ・ヘルマン,hayo・heruman
karl ritter,カール・リッター,kāru・rittā
johann august,ヨハン・アウグスト,yohan・augusuto
klaus graf,クラウス・グラウ,kurausu・gurau
paul grümmer,パウル・グリュンマー,pauru・guryunmā
hans delbrück,ハンス・デルブリュック,hansu・deruburyukku
max dessoir,マックス・デソワール,makkusu・desowāru
raoul hausmann,ラウル・ハウスマン,rauru・hausuman
otto diels,オットー・ディールス,ottō・dīrusu
wojtek czyz,ヴォイテク・シス,vuォiteku・shisu
siegbert tarrasch,ジークベルト・タラッシュ,jīkuberuto・tarasshu
michael sanderling,ミヒャエル・ザンデルリング,mihyaeru・zanderuringu
dennis wolf,デニス・ウルフ,denisu・urufu
bernd rothmann,ベルンハルト・ロートマン,berunharuto・rōtoman
johann georg von sachsen,ヨハン・ゲオルク・フォン・ザクセン,yohan・georuku・fon・zakusen
katharina von kleve,カタリーナ・フォン・クレーフェ,katarīna・fon・kurēfe
karl von bülow,カール・フォン・ビューロウ,kāru・fon・byūrou
wilhelm ackermann,ヴィルヘルム・アッカーマン,viruherumu・akkāman
rudolf borchardt,ルードルフ・ボルヒャルト,rūdorufu・boruhyaruto
peter grieß,ペーター・グリース,pētā・gurīsu
robert lusser,ロベルト・ルッサー,roberuto・russā
rudi cerne,ルディ・ツェルネ,rudi・tserune
eberhard gienger,エーベルハルト・ギンガー,ēberuharuto・gingā
karl böhm,カール・ベーム,kāru・bēmu
eugen dühring,オイゲン・デューリング,oigen・dyūringu
werner schroer,ヴェルナー・シュレーア,vuェrunā・shurēa
walter gieseking,ヴァルター・ギーゼキング,varutā・gīzekingu
max hoffmann,マックス・ホフマン,makkusu・hofuman
karl kautsky,カール・カウツキー,kāru・kautsukī
richard dehmel,リヒャルト・デーメル,rihyaruto・dēmeru
kurt alder,クルト・アルダー,kuruto・arudā
felix neureuther,フェリックス・ノイロイター,ferikkusu・noiroitā
richard courant,リヒャルト・クーラント,rihyaruto・kūranto
tony martin,トニー・マルティン,tonī・marutin
winfried kretschmann,ヴィンフリート・クレッチュマン,vinfurīto・kuretchuman
rainer simon,ライナー・ジモン,rainā・jimon
andreas umland,アンドレアス・ウムランド,andoreasu・umurando
olaf scholz,オラフ・ショルツ,orafu・shorutsu
hermann bauer,ヘルマン・バウアー,heruman・bauā
gerhard herzberg,ゲルハルト・ヘルツベルク,geruharuto・herutsuberuku
manfred eigen,マンフレート・アイゲン,manfurēto・aigen
franz fischer,フランツ・フィッシャー,furantsu・fisshā
hans fischer,ハンス・フィッシャー,hansu・fisshā
volker rühe,フォルカー・リューエ,forukā・ryūe
lars vogt,ラルス・フォークト,rarusu・fōkuto
joseph keilberth,ヨーゼフ・カイルベルト,yōzefu・kairuberuto
wilhelm schepmann,ヴィルヘルム・シェップマン,viruherumu・sheppuman
adolf strauß,アドルフ・シュトラウス,adorufu・shutorausu
wassily kandinsky,ワシリー・カンディンスキー,washirī・kandinsukī
mathias rust,マチアス・ルスト,machiasu・rusuto
johann deisenhofer,ヨハン・ダイゼンホーファー,yohan・daizenhōfā
richard kolkwitz,リヒャルト・コルクヴィッツ,rihyaruto・korukuvittsu
erich büttner,エーリッヒ・ビュトナー,ērihhi・byutonā
friedrich bergius,フリードリッヒ・ベルギウス,furīdorihhi・berugiusu
arnd meier,アルント・メイヤー,arunto・meiyā
hans scherenberg,ハンス・シェレンベルク,hansu・sherenberuku
siegfried müller,ジークフリート・ミュラー,jīkufurīto・myurā
