françois hollande,フランソワ・オランド,furansowa・orando
pierre montet,ピエール・モンテ,piēru・monte
gautier capuçon,ゴーティエ・カピュソン,gōtie・kapyuson
bernard darniche,ベルナール・ダルニッシュ,berunāru・darunisshu
maximilien gardel,マクシミリアン・ガルデル,makushimirian・garuderu
florent piétrus,フローラン・ピートラス,furōran・pītorasu
georges leclanché,ジョルジュ・ルクランシェ,joruju・rukuranshe
gustave sandras,ギュスターヴ・サンドラス,gyusutāvu・sandorasu
richard dutruel,リシャール・ドゥトルエル,rishāru・dutorueru
fabrice tiozzo,ファブリス・ティオゾ,faburisu・tiozo
philippe couplet,フィリップ・クプレ,firippu・kupure
paul gadenne,ポール・ガデンヌ,pōru・gadennu
nacer bouhanni,ナセル・ブアニ,naseru・buani
rudi garcia,リュディ・ガルシア,ryudi・garushia
christophe dominici,クリストフ・ドミニシ,kurisutofu・dominishi
nicolas baudeau,ニコラ・ボードー,nikora・bōdō
louis welden hawkins,ルイ・ヴェルデン・ホーキンス,rui・vuェruden・hōkinsu
igor mitoraj,イゴール・ミトライ,igōru・mitorai
johan petro,ヨハン・ペトロ,yohan・petoro
charles sauria,シャルル・ソーリア,sharuru・sōria
jean coralli,ジャン・コラーリ,jan・korāri
péter frankl,ピーター・フランクル,pītā・furankuru
pierre berthier,ピエール・ベルチェ,piēru・beruche
fabian bourzat,ファビアン・ブルザ,fabian・buruza
pierre cartellier,ピエール・カルトリエ,piēru・karutorie
fabien lemoine,ファビアン・ルモワーヌ,fabian・rumowānu
georges de beauregard,ジョルジュ・ド・ボールガール,joruju・do・bōrugāru
sourou migan apithy,スル・ミガン・アピティ,suru・migan・apiti
issiar dia,イシアル・ディア,ishiaru・dia
jean bouin,ジャン・ブワン,jan・buwan
nicolas pallois,ニコラ・パロワ,nikora・parowa
alphonse legros,アルフォンス・ルグロ,arufonsu・ruguro
marina scriabine,マリーナ・スクリアビン,marīna・sukuriabin
yvon petra,イボン・ペトラ,ibon・petora
simon plouffe,サイモン・プラウフ,saimon・puraufu
gabriel lalemant,ガブリエル・ラレマン,gaburieru・rareman
rodolphe radau,ロドルフ・ラドー,rodorufu・radō
maurice lœwy,モーリス・ローイ,mōrisu・rōi
shlomo sand,シュロモー・ザンド,shuromō・zando
daniel bravo,ダニエル・ブラヴォ,danieru・buravuォ
walter krivitsky,ウォルター・クリヴィツキー,worutā・kurivitsukī
victor laloux,ヴィクトール・ラルー,vikutōru・rarū
raphaël ibañez,ラファエル・イバネス,rafaeru・ibanesu
robert guédiguian,ロベール・ゲディギャン,robēru・gedigyan
roger de la fresnaye,ロジェ・ド・ラ・フレネー,roje・do・ra・furenē
michaël chrétien,ミカエル・クレティアン,mikaeru・kuretian
pernelle carron,ペルネル・キャロン,peruneru・kyaron
richard berry,リシャール・ベリ,rishāru・beri
henri alekan,アンリ・アルカン,anri・arukan
guy stéphan,ギ・ステファン,gi・sutefan
kévin sireau,ケヴィン・シロー,kevin・shirō
fleur delacour,フラー・デラクール,furā・derakūru
yves nat,イヴ・ナット,ivu・natto
rené laloux,ルネ・ラルー,rune・rarū
alexis piron,アレクシス・ピロン,arekushisu・piron
pierre de polignac,ピエール・ド・ポリニャック,piēru・do・porinyakku
gérard darmon,ジェラール・ダルモン,jerāru・darumon
pierre blanchar,ピエール・ブランシャール,piēru・buranshāru
romain gavras,ロマン・ガヴラス,roman・gavurasu
richard galliano,リシャール・ガリアーノ,rishāru・gariāno
léon guillet,レオン・ギレ,reon・gire
albert corey,アルベール・コレー,arubēru・korē
jules dupré,ジュール・デュプレ,jūru・dyupure
frédéric oudéa,フレデリック・ウデア,furederikku・udea
ilia zdanevitch,イリヤ・ズダネーヴィチ,iriya・zudanēvichi
daniel duval,ダニエル・デュヴァル,danieru・dyuvaru
simon pagenaud,サイモン・パジェノ,saimon・pajeno
louis ganne,ルイ・ガンヌ,rui・gannu
olivier pla,オリヴィエ・プラ,orivie・pura
pascal obispo,パスカル・オビスポ,pasukaru・obisupo
baude cordier,ボード・コルディエ,bōdo・korudie
philippe gaubert,フィリップ・ゴーベール,firippu・gōbēru
daniel gluckstein,ダニエル・グリュックスタン,danieru・guryukkusutan
erté,エルテ,erute
gérard souzay,ジェラール・スゼー,jerāru・suzē
jules ferry,ジュール・フェリー,jūru・ferī
joseph de villèle,ジョセフ・ド・ヴィレール,josefu・do・virēru
yves ciampi,イヴ・シャンピ,ivu・shanpi
evry schatzman,エヴリー・シャツマン,evurī・shatsuman
jean tharaud,ジャン・タロー,jan・tarō
yann wehrling,ヤン・ヴェーリング,yan・vuェーringu
thomas piketty,トマ・ピケティ,toma・piketi
emmanuel saez,エマニュエル・サエズ,emanyueru・saezu
gaston tarry,ガストン・タリー,gasuton・tarī
laurent boudouani,ローラン・ブードゥアニ,rōran・būduani
charles wolf,シャルル・ウォルフ,sharuru・worufu
gérard larcher,ジェラール・ラルシェ,jerāru・rarushe
jules rémy,ジュール・レミ,jūru・remi
henri alain liogier,アンリ・アラン・リオジェ,anri・aran・rioje
christophe agou,クリストフ・アグ,kurisutofu・agu
christophe legoût,クリストフ・ルグー,kurisutofu・rugū
rené schützenberger,ルネ・シュッツェンベルジェ,rune・shuttsenberuje
christian vander,クリスチャン・ヴァンデ,kurisuchan・vande
michel plasson,ミシェル・プラッソン,misheru・purasson
henri guillaumet,アンリ・ギヨメ,anri・giyome
gustave geffroy,ギュスターヴ・ジェフロワ,gyusutāvu・jefurowa
alfred n'diaye,アルフレッド・エンディアイェ,arufureddo・endiaye
monsieur d'orléans,ムッシュ・ドルレアン,musshu・dorurean
jean cugnot,ジャン・キュニョー,jan・kyunyō
vincent peillon,ヴァンサン・ペイヨン,vansan・peiyon
andré prévost,アンドレ・プレボー,andore・purebō
guillaume rondelet,ギヨーム・ロンドレ,giyōmu・rondore
maurice godelier,モーリス・ゴドリエ,mōrisu・godorie
didier lockwood,ディディエ・ロックウッド,didie・rokkuuddo
robert aron,ロベール・アロン,robēru・aron
théodore duret,テオドール・デュレ,teodōru・dyure
jean richer,ジャン・リシェ,jan・rishe
jean talairach,ジャン・タライラッハ,jan・tarairahha
georg von rosen,ゲオルク・フォン・ローゼン,georuku・fon・rōzen
ibrahima traoré,イブラヒマ・トラオレ,iburahima・toraore
marius casadesus,マリウス・カサドシュ,mariusu・kasadoshu
raynald denoueix,レイノー・ドゥヌエ,reinō・dunue
charles berling,シャルル・ベルラン,sharuru・beruran
carl lang,カール・ラング,kāru・rangu
georges andré,ジョルジュ・アンドレ,joruju・andore
roland bonaparte,ロラン・ボナパルト,roran・bonaparuto
corneille de lyon,コルネイユ・ド・リヨン,koruneiyu・do・riyon
brahim lahlafi,ブラヒム・ラーラフィ,burahimu・rārafi
sylvain guillaume,シルバン・ギョーム,shiruban・gyōmu
léon charles thévenin,レオン・シャルル・テブナン,reon・sharuru・tebunan
miguel ángel estrella,ミゲル・アンヘル・エストレージャ,migeru・anheru・esutorēja
jacques de liniers,サンティアゴ・デ・リニエルス,santiago・de・rinierusu
david sommeil,ダヴィド・ソメイユ,davido・someiyu
félix éboué,フェリックス・エブエ,ferikkusu・ebue
el hadji ba,エル・ハッジ・バ,eru・hajji・ba
jean graczyk,ジャン・グラチィク,jan・gurachiィku
pascal canfin,パスカル・カンファン,pasukaru・kanfan
françois jullien,フランソワ・ジュリアン,furansowa・jurian
rené daumal,ルネ・ドーマル,rune・dōmaru
bryan coquard,ブライアン・コカール,buraian・kokāru
henri patrice dillon,アンリ・パトリス・ディヨン,anri・patorisu・diyon
françois bourguignon,フランソワ・ブルギニョン,furansowa・buruginyon
bruno mantovani,ブルーノ・マントヴァーニ,burūno・mantovāni
bruno delbonnel,ブリュノ・デルボネル,buryuno・deruboneru
bruno nuytten,ブリュノ・ニュイッテン,buryuno・nyuitten
bruno mégret,ブルーノ・メグレ,burūno・megure
bruno pasquier,ブルーノ・パスキエ,burūno・pasukie
michel deguy,ミシェル・ドゥギー,misheru・dugī
léon vaudoyer,レオン・ヴォードワイエ,reon・vuォーdowaie
romain bardet,ロマン・バルデ,roman・barude
serge gakpé,セルジュ・ガクペ,seruju・gakupe
elek bacsik,エレク・バクシク,ereku・bakushiku
benoît peeters,ブノワ・ペータース,bunowa・pētāsu
alain richard,アラン・リシャール,aran・rishāru
louis vola,ルイ・ヴォラ,rui・vuォra
max azria,マックス・アズリア,makkusu・azuria
nicolas trigault,ニコラ・トリゴー,nikora・torigō
félix d'hérelle,フェリックス・デレーユ,ferikkusu・derēyu
félix vicq d'azyr,フェリックス・ヴィック・ダジール,ferikkusu・vikku・dajīru
marguerite de foix,マルグリット・ド・フォワ,maruguritto・do・fowa
didier van cauwelaert,ディディエ・ヴァン・コーヴラール,didie・van・kōvurāru
paul bracq,ポール・ブラック,pōru・burakku
henri cordier,アンリ・コルディエ,anri・korudie
gérald passi,ジェラール・パシ,jerāru・pashi
éric joisel,エリック・ジョワゼル,erikku・jowazeru
franck durix,フランク・デュリックス,furanku・dyurikkusu
louis visconti,ルイ・ヴィスコンティ,rui・visukonti
jordan veretout,ジョルダン・ヴェレトゥ,jorudan・vuェretu
dominik moll,ドミニク・モル,dominiku・moru
serge marquand,セルジュ・マルカン,seruju・marukan
alexis vastine,アレクシス・バスティーヌ,arekushisu・basutīnu
frédéric weis,フレデリック・ワイス,furederikku・waisu
benjamin jekhowsky,ヴェニアミン・ジェコフスキー,vuェniamin・jekofusukī
gilles grimandi,ジル・グリマンディ,jiru・gurimandi
giovanni domenico maraldi,ジャン・ドミニク・マラルディ,jan・dominiku・mararudi
éleuthère mascart,エルテール・マスカール,erutēru・masukāru
barney wilen,バルネ・ウィラン,barune・wiran
steeve yago,スティーブ・ヤゴ,sutību・yago
jean civiale,ジャン・シビエール,jan・shibiēru
gilles de robien,ジル・ド・ロビアン,jiru・do・robian
francisque collomb,フランシスク・コロン,furanshisuku・koron
jacques mrozek,ジャック・モロゼック,jakku・morozekku
didier gailhaguet,ディディエ・ゲヤゲ,didie・geyage
gilbert de goldschmidt,ジルベール・ド・ゴールドシュミット,jirubēru・do・gōrudoshumitto
georges valmier,ジョルジュ・ヴァルミエ,joruju・varumie
wilhelm nylander,ウィリアム・ナイランダー,wiriamu・nairandā
cyrille guimard,シリル・ギマール,shiriru・gimāru
maurice thiriet,モーリス・ティリエ,mōrisu・tirie
gueïda fofana,グエイダ・フォファナ,gueida・fofana
louis le comte,ルイ・ル・コント,rui・ru・konto
louis renou,ルイ・ルヌー,rui・runū
albert champion,アルベール・シャンピオン,arubēru・shanpion
nicolas dessum,ニコラ・デッスム,nikora・dessumu
mickaël delage,ミカエル・ドラージュ,mikaeru・dorāju
louis aubert,ルイ・オベール,rui・obēru
charles armand rené de la trémoille,シャルル・アルマン・ルネ・ド・ラ・トレモイユ,sharuru・aruman・rune・do・ra・toremoiyu
stanick jeannette,スタニック・ジャネット,sutanikku・janetto
octave tassaert,オクターヴ・タサエール,okutāvu・tasaēru
richard bohringer,リシャール・ボーランジェ,rishāru・bōranje
jacques françois dugommier,ジャック・フランソワ・デュゴミエ,jakku・furansowa・dyugomie
jacques cathelineau,ジャック・カトリノー,jakku・katorinō
alexandre marcel,アレクサンドル・マルセル,arekusandoru・maruseru
christian metz,クリスチャン・メッツ,kurisuchan・mettsu
françois claude de bouillé,フランソワ・クロード・ド・ブイエ,furansowa・kurōdo・do・buie
paul le flem,ポール・ル・フレム,pōru・ru・furemu
philippe nahon,フィリップ・ナオン,firippu・naon
guillaume bonnafond,ギヨーム・ボナフォン,giyōmu・bonafon
camille roqueplan,カミーユ・ロクプラン,kamīyu・rokupuran
camille montagne,カミーユ・モンターニュ,kamīyu・montānyu
camille chevillard,カミーユ・シュヴィヤール,kamīyu・shuviyāru
jacques fath,ジャック・ファット,jakku・fatto
elliot grandin,エリオット・グランダン,eriotto・gurandan
daniel wildenstein,ダニエル・ウィルデンシュタイン,danieru・wirudenshutain
pierre fatou,ピエール・ファトゥ,piēru・fatu
paul nizan,ポール・ニザン,pōru・nizan
benjamin fondane,バンジャマン・フォンダーヌ,banjaman・fondānu
benjamin godard,バンジャマン・ゴダール,banjaman・godāru
cédric bakambu,セドリック・バカンブ,sedorikku・bakanbu
joël pommerat,ジョエル・ポムラ,joeru・pomura
julien dupré,ジュリアン・デュプレ,jurian・dyupure
henri dupuy de lôme,アンリ・デュピュイ・ド・ローム,anri・dyupyui・do・rōmu
rémi pauriol,レミ・ポリオル,remi・porioru
marcel griaule,マルセル・グリオール,maruseru・guriōru
djamel bakar,ジャメル・バカール,jameru・bakāru
alfred bruneau,アルフレッド・ブリュノー,arufureddo・buryunō
damien gaudin,ダミアン・ゴダン,damian・godan
paul bazelaire,ポール・バズレール,pōru・bazurēru
william klein,ウィリアム・クライン,wiriamu・kurain
mohamed fofana,モハメド・フォファナ,mohamedo・fofana
harriet smithson,ハリエット・スミスソン,harietto・sumisuson
miguel comminges,ミゲル・コマンジュ,migeru・komanju
benoît cauet,ベノワ・コウエ,benowa・koue
benoît costil,ブノワ・コスティル,bunowa・kosutiru
lucien rebatet,リュシアン・ルバテ,ryushian・rubate
lucien pissarro,リュシアン・ピサロ,ryushian・pisaro
victor prouvé,ヴィクトール・プルーヴェ,vikutōru・purūvuェ
paul chabas,ポール・シャバ,pōru・shaba
cyril neveu,シリル・ヌヴー,shiriru・nuvū
gérard de villiers,ジェラール・ド・ヴィリエ,jerāru・do・virie
michel der zakarian,ミシェル・デル・ザカリアン,misheru・deru・zakarian
roger apéry,ロジェ・アペリー,roje・aperī
maurice ronet,モーリス・ロネ,mōrisu・rone
robert marchand,ロベール・マルシャン,robēru・marushan
charles de morny,シャルル・ド・モルニー,sharuru・do・morunī
nicolas jenson,ニコラ・ジャンソン,nikora・janson
noël mamère,ノエル・マメール,noeru・mamēru
benoît jacquot,ブノワ・ジャコ,bunowa・jako
benoît hamon,ブノワ・アモン,bunowa・amon
françois marius granet,フランソワ・マリウス・グラネ,furansowa・mariusu・gurane
henri epstein,アンリ・エプスタイン,anri・epusutain
hartwig derenbourg,アルトヴィグ・ドランブール,arutovigu・doranbūru
constantin pecqueur,コンスタンタン・ペクール,konsutantan・pekūru
yvan attal,イヴァン・アタル,ivan・ataru
édouard detaille,エドゥアール・デタイユ,eduāru・detaiyu
roger brunet,ロジェ・ブリュネ,roje・buryune
mathieu d'alsace,マチュー・ダルザス,machū・daruzasu
bernard bosquier,ベルナール・ボスキエ,berunāru・bosukie
guillaume tirel,ギヨーム・ティレル,giyōmu・tireru
bernard evein,ベルナール・エヴァン,berunāru・evan
lucien bossoutrot,リュシアン・ボスートロ,ryushian・bosūtoro
camille erlanger,カミーユ・エルランジェ,kamīyu・eruranje
lionel nallet,リオネル・ナレ,rioneru・nare
jean eustache,ジャン・ユスターシュ,jan・yusutāshu
xavier gens,ザヴィエ・ジャン,zavie・jan
filipe teixeira,フィリペ・テイシェイラ,firipe・teisheira
paul paray,ポール・パレー,pōru・parē
salim arrache,サリム・アラシェ,sarimu・arashe
rené leibowitz,ルネ・レイボヴィッツ,rune・reibovittsu
léon frapié,レオン・フラピエ,reon・furapie
léon benett,レオン・ベネット,reon・benetto
mikhail rudy,ミハイル・ルディ,mihairu・rudi
daniel halévy,ダニエル・アレヴィ,danieru・arevi
joël bats,ジョエル・バツ,joeru・batsu
selim benachour,セリム・ベナシュール,serimu・benashūru
david b,ダビッド・ベー,dabiddo・bē
geoffrey kondogbia,ジョフレイ・コンドグビア,jofurei・kondogubia
narcisse díaz de la peña,ナルシス・ディアズ・ド・ラ・ペーニャ,narushisu・diazu・do・ra・pēnya
yassine fahas,ヤシン・ファハス,yashin・fahasu
charles renard,シャルル・ルナール,sharuru・runāru
claire croiza,クレール・クロワザ,kurēru・kurowaza
charles vanel,シャルル・ヴァネル,sharuru・vaneru
joseph decaisne,ジョセフ・ドケーヌ,josefu・dokēnu
jean cassou,ジャン・カスー,jan・kasū
paul meyer,ポール・メイエ,pōru・meie
michel benoist,ミシェル・ブノワ,misheru・bunowa
carlos takam,カルロス・タカム,karurosu・takamu
jacques doriot,ジャック・ドリオ,jakku・dorio
nicolas vogondy,ニコラ・ヴォゴンディ,nikora・vuォgondi
pauline ducruet,ポリーヌ・デュクリュエ,porīnu・dyukuryue
bryan bergougnoux,ブリアン・ベルグニュー,burian・berugunyū
edmemarieernest deldevez,エドゥアール・デルデヴェス,eduāru・derudevuェsu
jacques faty,ジャック・ファティ,jakku・fati
maxime bouet,マキシム・ブエ,makishimu・bue
cédric heymans,セドリック・エマンス,sedorikku・emansu
nicolas duvauchelle,ニコラ・デュヴォシェル,nikora・dyuvuォsheru
jacques bainville,ジャック・バンヴィル,jakku・banviru
denis ménochet,ドゥニ・メノーシェ,duni・menōshe
léon teisserenc de bort,レオン・ティスラン・ド・ボール,reon・tisuran・do・bōru
hubert auriol,ユベール・オリオール,yubēru・oriōru
daniel picouly,ダニエル・ピクリ,danieru・pikuri
gabriel veyre,ガブリエル・ヴェール,gaburieru・vuェーru
sabrina jonnier,サブリナ・ジョニエ,saburina・jonie
marie bell,マリー・ベル,marī・beru
marcel brion,マルセル・ブリヨン,maruseru・buriyon
charles pasqua,シャルル・パスクワ,sharuru・pasukuwa
sylvain lévi,シルヴァン・レヴィ,shiruvan・revi
jacques champion de chambonnières,ジャック・シャンピオン・ド・シャンボニエール,jakku・shanpion・do・shanboniēru
david douillet,ダビド・ドゥイエ,dabido・duie
charles de brosses,シャルル・ド・ブロス,sharuru・do・burosu
vlado perlemuter,ヴラド・ペルルミュテール,vurado・perurumyutēru
alexeï tchitchibabine,アレクセイ・チチバビン,arekusei・chichibabin
robert hue,ロベール・ユー,robēru・yū
pascal laugier,パスカル・ロジェ,pasukaru・roje
hocine ragued,オシン・ラグ,oshin・ragu
bruno martini,ブルーノ・マルティニ,burūno・marutini
yvon le roux,イヴォン・ル・ルー,ivuォn・ru・rū
charles mengin,シャルル・メンギン,sharuru・mengin
jimmy vicaut,ジミー・ヴィコ,jimī・viko
moncef zerka,モンセフ・ゼルカ,monsefu・zeruka
fortuné du boisgobey,フォルチュネ・デュ・ボアゴベイ,foruchune・dyu・boagobei
nicolas grenon,ニコラ・グルノン,nikora・gurunon
giovanni fabbroni,ジョバンニ・ファブローニ,jobanni・faburōni
jean chantavoine,ジャン・シャンタヴォワーヌ,jan・shantavuォwānu
mehdi abeid,メフディ・アベイド,mefudi・abeido
titi camara,ティティ・カマラ,titi・kamara
francis renaud,フランシス・ルノー,furanshisu・runō
jean decety,ジーン・ディセティ,jīn・diseti
alphonse de brienne,アルフォンス・ド・ブリエンヌ,arufonsu・do・buriennu
alexandre dubuque,アレクサンドル・デュビューク,arekusandoru・dyubyūku
georges thierry d'argenlieu,ジョルジュ・ティエリ・ダルジャンリュー,joruju・tieri・darujanryū
sébastien corchia,セバスティアン・コルシア,sebasutian・korushia
léon delagrange,レオン・ドラグランジュ,reon・doraguranju
claudin de sermisy,クローダン・ド・セルミジ,kurōdan・do・serumiji
charles angrand,シャルル・アングラン,sharuru・anguran
charles barbier de meynard,シャルル・バルビエ・ド・メナール,sharuru・barubie・do・menāru
cédric kahn,セドリック・カーン,sedorikku・kān
charles blanc,シャルル・ブラン,sharuru・buran
candide thovex,キャンディッド・トベックス,kyandiddo・tobekkusu
fabien giroix,ファビエン・ジロイ,fabien・jiroi
pierre brunet,ピエール・ブリュネ,piēru・buryune
jérôme le banner,ジェロム・レ・バンナ,jeromu・re・banna
jeanfrançois bernard,ジャンフランソワ・ベルナール,janfuransowa・berunāru
jean rousseau,ジャン・ルソー,jan・rusō
jean delsarte,ジャン・デルサルト,jan・derusaruto
émerse faé,エメルス・ファエ,emerusu・fae
jacquesmartin hotteterre,ジャック・オトテール,jakku・ototēru
déodat de séverac,デオダ・ド・セヴラック,deoda・do・sevurakku
gustave boulanger,ギュスターヴ・ブーランジェ,gyusutāvu・būranje
fodé mansaré,フォデ・マンサレ,fode・mansare
jean dotto,ジャン・ドット,jan・dotto
louis frémaux,ルイ・フレモー,rui・furemō
gaston billotte,ガストン・ビヨット,gasuton・biyotto
morgan kneisky,モルガン・クネスキ,morugan・kunesuki
luc jacquet,リュック・ジャケ,ryukku・jake
sacha vierny,サッシャ・ヴィエルニ,sassha・vieruni
charles meynier,シャルル・メニエ,sharuru・menie
charles alexandre lesueur,シャルル・アレクサンドル・ルスール,sharuru・arekusandoru・rusūru
jérôme thion,ジェローム・ティオン,jerōmu・tion
eugène boban,ウジェーヌ・ボバン,ujēnu・boban
rémy martin,レミ・マルタン,remi・marutan
françois du bois,フランソワ・デュ・ボワ,furansowa・dyu・bowa
marcelle meyer,マルセル・メイエ,maruseru・meie
blaise diagne,ブレーズ・ジャーニュ,burēzu・jānyu
eugène demarçay,ウジェーヌ・ドマルセー,ujēnu・domarusē
pio marmaï,ピオ・マルマイ,pio・marumai
maurice jaubert,モーリス・ジョベール,mōrisu・jobēru
paul halter,ポール・アルテ,pōru・arute
cyprien katsaris,シプリアン・カツァリス,shipurian・katsarisu
ibrahima bakayoko,イブラヒマ・バカヨコ,iburahima・bakayoko
catulle mendès,カチュール・マンデス,kachūru・mandesu
charles chaplin,シャルル・シャプラン,sharuru・shapuran
céline sallette,セリーヌ・サレット,serīnu・saretto
maurice delage,モーリス・ドラージュ,mōrisu・dorāju
guy patin,ギー・パタン,gī・patan
albert lamorisse,アルベール・ラモリス,arubēru・ramorisu
ernest guiraud,エルネスト・ギロー,erunesuto・girō
gaston litaize,ガストン・リテーズ,gasuton・ritēzu
jean chastanié,ジャック・シャスタニエ,jakku・shasutanie
massadio haïdara,マサディオ・アイダラ,masadio・aidara
alaeddine yahia,アラディン・ヤイア,aradin・yaia
jacques roubaud,ジャック・ルーボー,jakku・rūbō
albert wolsky,アルバート・ウォルスキー,arubāto・worusukī
charles lamoureux,シャルル・ラムルー,sharuru・ramurū
julien bérard,ジュリアン・ベラール,jurian・berāru
césar ruminski,セザール・ルミンスキ,sezāru・ruminsuki
michel hénon,ミシェル・エノン,misheru・enon
maurice pillard verneuil,モーリス・ピヤール・ベルヌーイ,mōrisu・piyāru・berunūi
catherine de lorrainemayenne,カトリーヌ・ド・マイエンヌ,katorīnu・do・maiennu
michel gaudry,ミシェル・ゴードリー,misheru・gōdorī
jean poton de xaintrailles,ジャン・ポトン・ド・ザントライユ,jan・poton・do・zantoraiyu
alain bondue,アラン・ボンデュー,aran・bondyū
charles dancla,シャルル・ダンクラ,sharuru・dankura
adolphe monticelli,アドルフ・モンティセリ,adorufu・montiseri
sophie de france,ソフィー・ド・フランス,sofī・do・furansu
thomas dossevi,トマ・ドセヴィ,toma・dosevi
jeanvictor audouin,ビクトル・オードワン,bikutoru・ōdowan
samuel le bihan,サミュエル・ル・ビアン,samyueru・ru・bian
jacques barrelier,ジャック・バルレリエ,jakku・barurerie
astolphe de custine,アストルフ・ド・キュスティーヌ,asutorufu・do・kyusutīnu
guillaume de nogaret,ギヨーム・ド・ノガレ,giyōmu・do・nogare
jean schneitzhoeffer,ジャン・シュナイツホーファ,jan・shunaitsuhōfa
claude bolling,クロード・ボリング,kurōdo・boringu
pierre bec,ピエール・ベック,piēru・bekku
edgar grospiron,エドガー・グロスピロン,edogā・gurosupiron
robinet testard,ロビネ・テスタール,robine・tesutāru
fabrice colas,ファブリス・コラ,faburisu・kora
pierre guiraud,ピエール・ギロー,piēru・girō
steve savidan,スティーヴ・サヴィダン,sutīvu・savidan
roger rivière,ロジェ・リヴィエール,roje・riviēru
charles monteil,シャルル・モンテイユ,sharuru・monteiyu
léon roches,レオン・ロッシュ,reon・rosshu
albert gaudry,アルベール・ゴードリー,arubēru・gōdorī
charles gide,シャルル・ジッド,sharuru・jiddo
tristán ulloa,トリスタン・ウヨア,torisutan・uyoa
annie ernaux,アニー・エルノー,anī・erunō
daniel white,ダニエル・ホワイト,danieru・howaito
daniel rebillard,ダニエル・ルビヤール,danieru・rubiyāru
jean hélion,ジャン・エリオン,jan・erion
philippe candeloro,フィリップ・キャンデロロ,firippu・kyanderoro
sylvain monsoreau,シルヴァン・モンソロー,shiruvan・monsorō
marcel bigeard,マルセル・ビジャール,maruseru・bijāru
achille devéria,アシル・ドゥヴェリア,ashiru・duvuェria
stéphane ortelli,ステファン・オルテリ,sutefan・oruteri
soheil ayari,ソエイル・アヤリ,soeiru・ayari
bernard tapie,ベルナール・タピ,berunāru・tapi
vladimir jankélévitch,ウラジミール・ジャンケレヴィッチ,urajimīru・jankerevitchi
delvin ndinga,デルヴィン・エンディンガ,deruvin・endinga
lucien herr,ルシアン・エール,rushian・ēru
maurice ohana,モーリス・オアナ,mōrisu・oana
maurice schillès,モリス・シユ,morisu・shiyu
yves allégret,イヴ・アレグレ,ivu・aregure
geneviève cluny,ジュヌヴィエーヴ・クリュニー,junuviēvu・kuryunī
luigi loir,ルイジ・ロワール,ruiji・rowāru
samson françois,サンソン・フランソワ,sanson・furansowa
noël coypel,ノエル・コワペル,noeru・kowaperu
charles philipon,シャルル・フィリポン,sharuru・firipon
ishak belfodil,イシャク・ベルフォディル,ishaku・berufodiru
charles nègre,シャルル・ネグレ,sharuru・negure
sylvain guintoli,シルバン・ギュントーリ,shiruban・gyuntōri
charles malherbe,シャルル・マレーブ,sharuru・marēbu
dominique sarron,ドミニク・サロン,dominiku・saron
david skrela,ダヴィド・スクレラ,davido・sukurera
philippe grimbert,フィリップ・グランベール,firippu・guranbēru
david de rothschild,ダヴィド・ド・ロチルド,davido・do・rochirudo
hermann panzo,エルマン・パンゾ,eruman・panzo
charles de gontautbiron,シャルル・ド・ゴントー,sharuru・do・gontō
dominique di piazza,ドミニク・ディ・ピアッツァ,dominiku・di・piattsa
vincent moon,ヴィンセント・ムーン,vinsento・mūn
charles de la cerda,シャルル・ド・ラ・セルダ,sharuru・do・ra・seruda
maurice grammont,モーリス・グラモン,mōrisu・guramon
serge lancen,セルジュ・ランサン,seruju・ransan
hippolyte pixii,ヒポライト・ピクシー,hiporaito・pikushī
louis mermaz,ルイ・メルマズ,rui・merumazu
philippe hinschberger,フィリップ・ヒンシュベルガー,firippu・hinshuberugā
stephen pichon,ステファン・ピション,sutefan・pishon
charles étienne brasseur de bourbourg,シャルル・エティエンヌ・ブラッスール・ド・ブールブール,sharuru・etiennu・burassūru・do・būrubūru
hector perron de saintmartin,エットーレ・ペローネ・ディ・サンマルティーノ,ettōre・perōne・di・sanmarutīno
constance de france,コンスタンス・ド・フランス,konsutansu・do・furansu
thibault damour,チボー・ダムール,chibō・damūru
bernard allou,ベルナール・アルー,berunāru・arū
rené petit,レネ・ペティト,rene・petito
pitof,ピトフ,pitofu
paul héroult,ポール・エルー,pōru・erū
gabriel monnier,ガブリエル・モニエ,gaburieru・monie
jean agélou,ジャン・アジェロウ,jan・ajerou
stanley pons,スタンレー・ポンズ,sutanrē・ponzu
edmond locard,エドモンド・ロカール,edomondo・rokāru
pierre joxe,ピエール・ジョックス,piēru・jokkusu
françois flameng,フランソワ・フラマン,furansowa・furaman
kevin lafrance,ケヴィン・ラフランス,kevin・rafuransu
denis dodart,ドニ・ドダール,doni・dodāru
christian chevallier,クリスチャン・シュバリエ,kurisuchan・shubarie
samba diakité,サンバ・ディアキテ,sanba・diakite
romain amalfitano,ロマン・アマルフィターノ,roman・amarufitāno
neeskens kebano,ネースケンス・ケバノ,nēsukensu・kebano
robert fraisse,ロベール・フレース,robēru・furēsu
paul gavarni,ポール・ガヴァルニ,pōru・gavaruni
fernand meyssonnier,フェルナン・メイソニエ,ferunan・meisonie
joseph vendryes,ジョゼフ・ヴァンドリエス,jozefu・vandoriesu
jean huré,ジャン・ユレ,jan・yure
joseph alzin,ジョセフ・アルジン,josefu・arujin
léon duguit,レオン・デュギー,reon・dyugī
nikolai fraiture,ニコライ・フレイチュア,nikorai・fureichua
