inna,茵娜,yīn nà
nicu stoian,尼库·斯托扬,ní kù · sī tuō yáng
nicolae rotaru,尼古拉·罗塔鲁,ní gǔ lā · luó tǎ lǔ
miron constantinescu,米隆·康斯坦丁内斯库,mǐ lóng · kāng sī tǎn dīng nèi sī kù
grigore ion răceanu,格雷戈里·扬·勒强努,gé léi gē lǐ · yáng · lè qiáng nǔ
gheorghe simionov,格奥尔基·西苗诺夫,gé ào ěr jī · xī miáo nuò fū
gheorghiță ștefan,格奥尔基策·斯特凡,gé ào ěr jī cè · sī tè fán
grigore obreja,格里戈雷·奥布雷扎,gé lǐ gē léi · ào bù léi zhā
dumitru radu popescu,杜米特鲁·拉杜·波佩斯库,dù mǐ tè lǔ · lā dù · bō pèi sī kù
valer toma,瓦莱尔·托马,wǎ lái ěr · tuō mǎ
nicolae martinescu,尼古拉·马丁内斯库,ní gǔ lā · mǎ dīng nèi sī kù
policarp malîhin,波利卡尔普·马勒欣,bō lì kǎ ěr pǔ · mǎ lè xīn
alina rotarukottmann,阿林娜·罗塔鲁科特曼,ā lín nà · luó tǎ lǔ kē tè màn
sorin macavei,索林·马卡韦伊,suǒ lín · mǎ kǎ wéi yī
ana mureșan,安娜·穆雷尚,ān nà · mù léi shàng
ioan lupescu,伊万·卢佩斯库,yī wàn · lú pèi sī kù
flavius koczi,弗拉菲乌斯·科齐,fú lā fēi wū sī · kē qí
augustin deleanu,奥古斯丁·德莱亚努,ào gǔ sī dīng · dé lái yà nǔ
nicolae titulescu,尼古拉·蒂图莱斯库,ní gǔ lā · dì tú lái sī kù
simion cuțov,西米翁·库措夫,xī mǐ wēng · kù cuò fū
haralambie ivanov,哈拉兰比耶·伊万诺夫,hā lā lán bǐ yē · yī wàn nuò fū
günther enescu,金特·埃内斯库,jīn tè · āi nèi sī kù
ioan grigoraș,伊万·格里戈拉什,yī wàn · gé lǐ gē lā shén
paul georgescu,保罗·佐治斯古,bǎo luó · zuǒ zhì sī gǔ
petre borilă,彼得·博里勒,bǐ dé · bó lǐ lè
ion coman,扬·科曼,yáng · kē màn
aurel țicleanu,奥雷尔·齐克莱亚努,ào léi ěr · qí kè lái yà nǔ
petre ceapura,彼得·恰普拉,bǐ dé · qià pǔ lā
petru iosub,彼得鲁·约苏布,bǐ dé lǔ · yuē sū bù
rareș dumitrescu,拉雷什·杜米特雷斯库,lā léi shén · dù mǐ tè léi sī kù
steliano filip,斯泰利亚诺·菲利普,sī tài lì yà nuò · fēi lì pǔ
roman vartolomeu,罗曼·瓦尔托洛梅乌,luó màn · wǎ ěr tuō luò méi wū
rodica frîntu,罗迪卡·弗伦图,luó dí kǎ · fú lún tú
mihaela petrilă,米哈埃拉·彼得里勒,mǐ hā āi lā · bǐ dé lǐ lè
raluca ioniță,拉卢卡·约尼策,lā lú kǎ · yuē ní cè
radu stroe,拉杜·斯特罗埃,lā dù · sī tè luó āi
bernard natan,伯纳德·纳坦,bǎi nà dé · nà tǎn
meyer abraham halevy,梅耶·亚伯拉罕·阿莱维,méi yē · yà bǎi lā hǎn · ā lái wéi
lucrețiu pătrășcanu,卢克雷奇·帕特拉什卡努,lú kè léi qí · pà tè lā shén kǎ nǔ
ștefan foriș,斯特凡·福里什,sī tè fán · fú lǐ shén
dumitru velicu,杜米特鲁·韦利库,dù mǐ tè lǔ · wéi lì kù
simion popescu,西米翁·波佩斯库,xī mǐ wēng · bō pèi sī kù
traian cihărean,特拉扬·奇赫雷安,tè lā yáng · qí hè léi ān
tudor postelnicu,图多尔·波斯泰尔尼库,tú duō ěr · bō sī tài ěr ní kù
jean georgescu,让·佐治斯古,ràng · zuǒ zhì sī gǔ
anghelache donescu,安盖拉凯·多内斯库,ān gài lā kǎi · duō nèi sī kù
dumitru popescu,杜米特鲁·波佩斯库,dù mǐ tè lǔ · bō pèi sī kù
dumitru popa,杜米特鲁·波帕,dù mǐ tè lǔ · bō pà
emil dumitrescu,埃米尔·杜米特雷斯库,āi mǐ ěr · dù mǐ tè léi sī kù
elisa leonida zamfirescu,埃莉萨·莱奥尼达·扎姆菲雷斯库,āi lì sà · lái ào ní dá · zhā mǔ fēi léi sī kù
ion bîrlădeanu,扬·伯尔勒德亚努,yáng · bǎi ěr lè dé yà nǔ
ion bunoaica,扬·布诺阿卡,yáng · bù nuò ā kǎ
dumitru petrescu,杜米特鲁·彼特列斯库,dù mǐ tè lǔ · bǐ tè liè sī kù
constantin olteanu,康斯坦丁·奥尔泰亚努,kāng sī tǎn dīng · ào ěr tài yà nǔ
constantin sterea,康斯坦丁·斯泰雷亚,kāng sī tǎn dīng · sī tài léi yà
remus kofler,雷穆斯·科夫勒,léi mù sī · kē fū lè
florin aurelian popescu,弗洛林·奥勒扬·波佩斯库,fú luò lín · ào lè yáng · bō pèi sī kù
brăduț covaliu,布勒杜·科瓦留,bù lè dù · kē wǎ liú
gheorghe stoica,格奥尔基·斯托伊卡,gé ào ěr jī · sī tuō yī kǎ
marian sandu,马里安·桑杜,mǎ lǐ ān · sāng dù
ion pățan,扬·珀仓,yáng · pò cāng
gheorghe demetrescu,格奥尔基·德梅特雷斯库,gé ào ěr jī · dé méi tè léi sī kù
ion traian ștefănescu,扬·特拉扬·斯特凡内斯库,yáng · tè lā yáng · sī tè fán nèi sī kù
ludovic fazekas,卢多维克·法泽卡什,lú duō wéi kè · fǎ zé kǎ shén
silviu curticeanu,西尔维乌·库尔蒂恰努,xī ěr wéi wū · kù ěr dì qià nǔ
gheorghe barbu,格奥尔基·巴尔布,gé ào ěr jī · bā ěr bù
loredana toma,洛雷达娜·托马,luò léi dá nà · tuō mǎ
mihai tudose,米哈伊·图多塞,mǐ hā yī · tú duō sāi
mihai dalea,米哈伊·达列亚,mǐ hā yī · dá liè yà
dan farcaș,丹·福尔考什,dān · fú ěr kǎo shén
iosif uglar,约瑟夫·乌格拉尔,yuē sè fū · wū gé lā ěr
călin turcu,卡林·图尔库,kǎ lín · tú ěr kù
lina ciobanu,利娜·乔巴努,lì nà · qiáo bā nǔ
ștefan tudor,斯特凡·图多尔,sī tè fán · tú duō ěr
viorica neculai,维奥丽卡·尼古拉,wéi ào lì kǎ · ní gǔ lā
bernadette szőcs,瑟奇·贝尔纳黛特,sè qí · bèi ěr nà dài tè
mihail lupoi,米哈伊·卢波,mǐ hā yī · lú bō
virginia andreescu haret,维吉妮亚·安德莱斯克·哈雷特,wéi jí nī yà · ān dé lái sī kè · hā léi tè
suzana gâdea,苏扎娜·格德亚,sū zhā nà · gé dé yà
cornel burtică,科尔内尔·布尔蒂卡,kē ěr nèi ěr · bù ěr dì kǎ
dorin recean,多林·雷切安,duō lín · léi qiè ān
ianis hagi,亚尼斯·哈吉,yà ní sī · hā jí
patricia maria țig,帕翠夏·玛丽亚·蒂吉,pà cuì xià · mǎ lì yà · dì jí
alexander nanau,亚历山大·纳瑙,yà lì shān dà · nà nǎo
ana ularu,安娜·乌拉鲁,ān nà · wū lā lǔ
maia sandu,玛雅·桑杜,mǎ yǎ · sāng dù
angela moldovan,安吉拉·莫尔多万,ān jí lā · mò ěr duō wàn
mădălina bereș,默德利娜·贝雷什,mò dé lì nà · bèi léi shén
laura oprea,劳拉·奥普雷亚,láo lā · ào pǔ léi yà
florin andone,弗洛林·安多内,fú luò lín · ān duō nèi
marcel ciolacu,马切尔·乔拉库,mǎ qiè ěr · qiáo lā kù
sorin grindeanu,索林·葛林多努,suǒ lín · gě lín duō nǔ
mihai țurcaș,米哈伊·楚尔卡什,mǐ hā yī · chǔ ěr kǎ shén
ioan șnep,伊万·什内普,yī wàn · shén nèi pǔ
simion cuciuc,西米翁·库丘克,xī mǐ wēng · kù qiū kè
elenagabriela ruse,埃列娜加布丽埃拉·鲁塞,āi liè nà jiā bù lì āi lā · lǔ sāi
cătălin bălescu,克特林·博雷斯库,kè tè lín · bó léi sī kù
gheorghe oprea,格奥尔基·奥普雷亚,gé ào ěr jī · ào pǔ léi yà
roxana cogianu,罗克萨娜·科贾努,luó kè sà nà · kē jiǎ nǔ
emil străinu,埃米尔·斯特勒伊努,āi mǐ ěr · sī tè lè yī nǔ
irina bara,伊里娜·巴拉,yī lǐ nà · bā lā
iosif szasz,约瑟夫·萨斯,yuē sè fū · sà sī
sevil shhaideh,塞维尔·什海德,sāi wéi ěr · shén hǎi dé
sorin cîmpeanu,索林·肯佩亚努,suǒ lín · kěn pèi yà nǔ
ana luiza filiorianu,安娜·路易莎·菲廖里亚努,ān nà · lù yì shā · fēi liào lǐ yà nǔ
tudor rațiu,图多尔·拉蒂乌,tú duō ěr · lā dì wū
ion frunzetti,扬·弗伦泽蒂,yáng · fú lún zé dì
ștefania mărăcineanu,斯特凡妮娅·默勒奇内亚努,sī tè fán nī yà · mò lè qí nèi yà nǔ
ion tripșa,扬·特里普沙,yáng · tè lǐ pǔ shā
victor vlad cornea,维克托·弗拉达·科尔内亚,wéi kè tuō · fú lā dá · kē ěr nèi yà
robert glință,罗伯特·格林特,luó bǎi tè · gé lín tè
ionuț radu,约努茨·拉杜,yuē nǔ cí · lā dù
ronaldo deaconu,罗纳尔多·迪科努,luó nà ěr duō · dí kē nǔ
andrea miklós,安德烈娅·米克洛什,ān dé liè yà · mǐ kè luò shén
simona pop,西蒙娜·波普,xī méng nà · bō pǔ
radu bălan,拉杜·巴兰,lā dù · bā lán
virgil cazacu,维尔吉尔·卡扎库,wéi ěr jí ěr · kǎ zhā kù
bianca andreescu,比安卡·安德烈斯库,bǐ ān kǎ · ān dé liè sī kù
andrei toader,安德烈·托阿德尔,ān dé liè · tuō ā dé ěr
alexandru novac,亚历山德鲁·诺瓦克,yà lì shān dé lǔ · nuò wǎ kè
petre roșca,彼得·罗什卡,bǐ dé · luó shén kǎ
denisa tîlvescu,德尼莎·特尔韦斯库,dé ní shā · tè ěr wéi sī kù
jaqueline cristian,杰奎琳·克里斯蒂安,jié kuí lín · kè lǐ sī dì ān
andrei gag,安德烈·加格,ān dé liè · jiā gé
gheorghe călugăreanu,格奥尔基·克卢格雷亚努,gé ào ěr jī · kè lú gé léi yà nǔ
cosmin pascari,科斯明·帕斯卡里,kē sī míng · pà sī kǎ lǐ
alexandru bologa,亚历克斯·博洛加,yà lì kè sī · bó luò jiā
florin cîțu,弗洛林·克楚,fú luò lín · kè chǔ
kriszta incze,因采·克丽斯陶,yīn cǎi · kè lì sī táo
ionela cozmiuc,约内拉利维娅·科兹缪克,yuē nèi lā lì wéi yà · kē zī miù kè
iuliana popa,尤利安娜·波帕,yóu lì ān nà · bō pà
livia leonte,利维娅·齐卡努,lì wéi yà · qí kǎ nǔ
cristian dumitru,克里斯蒂安·杜米特鲁,kè lǐ sī dì ān · dù mǐ tè lǔ
nicoletaancuța bodnar,妮科莱塔安库察·博德纳尔,nī kē lái tǎ ān kù chá · bó dé nà ěr
simona radiș,西蒙娜·拉迪什,xī méng nà · lā dí shén
mugurel semciuc,穆古雷尔·塞姆丘克,mù gǔ léi ěr · sāi mǔ qiū kè
iuliana buhuș,尤利安娜·布胡什,yóu lì ān nà · bù hú shén
maria tivodariu,玛丽亚·蒂沃达留,mǎ lì yà · dì wò dá liú
adriana ailincăi,阿德里安娜·艾林克伊,ā dé lǐ ān nà · ài lín kè yī
carol vereș,卡罗尔·韦赖什,kǎ luó ěr · wéi lài shén
mihaiviorel fifor,米哈伊·菲福尔,mǐ hā yī · fēi fú ěr
florian munteanu,佛洛里安·蒙特亚努,fó luò lǐ ān · méng tè yà nǔ
francisc balla,弗朗奇斯克·巴拉,fú lǎng qí sī kè · bā lā
ciprian tudosă,奇普里安·图多瑟,qí pǔ lǐ ān · tú duō sè
amalia bereș,阿马利娅·贝雷什,ā mǎ lì yà · bèi léi shén
mariamagdalena rusu,玛丽亚玛格达列娜·鲁苏,mǎ lì yà mǎ gé dá liè nà · lǔ sū
dumitru comănescu,杜米特鲁·科默内斯库,dù mǐ tè lǔ · kē mò nèi sī kù
viviana iuliana bejinariu,维维安娜·尤利安娜·贝日纳留,wéi wéi ān nà · yóu lì ān nà · bèi rì nà liú
ioana vrînceanu,伊万娜·弗伦恰努,yī wàn nà · fú lún qià nǔ
valentina vîrlan,瓦伦丁娜·沃尔兰,wǎ lún dīng nà · wò ěr lán
karim adeyemi,卡里姆·阿德耶米,kǎ lǐ mǔ · ā dé yē mǐ
nicolae ciucă,尼古拉·丘克,ní gǔ lā · qiū kè
mihaela gheorghiu,米哈埃拉·乔治乌,mǐ hā āi lā · qiáo zhì wū
natalia gavrilița,纳塔利娅·加夫里利察,nà tǎ lì yà · jiā fū lǐ lì chá
radu drăgușin,拉杜·达古辛,lā dù · dá gǔ xīn
igor grosu,伊戈尔·格罗苏,yī gē ěr · gé luó sū
sabrina ionescu,萨布丽娜·约内斯库,sà bù lì nà · yuē nèi sī kù
louis munteanu,路易斯·蒙迪安奴,lù yì sī · méng dí ān nú
adina diaconu,阿迪娜·迪亚科努,ā dí nà · dí yà kē nǔ
david popovici,达维德·波波维奇,dá wéi dé · bō bō wéi qí
românia,罗马尼亚,luó mǎ ní yà
brăila,布勒伊拉,bù lè yī lā
piatraneamț,皮亚特拉尼亚姆茨,pí yà tè lā ní yà mǔ cí
pitești,皮特什蒂,pí tè shén dì
suceava,苏恰瓦,sū qià wǎ
zalău,扎勒乌,zhā lè wū
iași,雅西,yǎ xī
bistrița,比斯特里察,bǐ sī tè lǐ chá
cugir,库吉尔,kù jí ěr
bocșa,博克沙,bó kè shā
sărmașu,瑟尔马舒,sè ěr mǎ shū
craiova,克拉约瓦,kè lā yuē wǎ
târgoviște,特尔戈维什泰,tè ěr gē wéi shén tài
reșița,雷希察,léi xī chá
bragadiru,布拉加迪鲁,bù lā jiā dí lǔ
bicaz,比卡兹,bǐ kǎ zī
motru,莫特鲁,mò tè lǔ
rupea,鲁佩亚,lǔ pèi yà
jimbolia,詹博利亚,zhān bó lì yà
constanța,康斯坦察,kāng sī tǎn chá
pantelimon,潘泰利蒙,pān tài lì méng
chitila,基蒂拉,jī dì lā
banat,巴纳特,bā nà tè
brașov,布拉索夫,bù lā suǒ fū
galați,加拉茨,jiā lā cí
valahia,瓦拉几亚,wǎ lā jǐ yà
tarom,罗马尼亚航空,luó mǎ ní yà háng kōng
tulcea,图尔恰,tú ěr qià
sibiu,锡比乌,xī bǐ wū
timișoara,蒂米什瓦拉,dì mǐ shén wǎ lā
arad,阿拉德,ā lā dé
botoșani,博托沙尼,bó tuō shā ní
focșani,福克沙尼,fú kè shā ní
nehoiu,内霍瓦,nèi huò wǎ
vaslui,瓦斯卢伊,wǎ sī lú yī
săveni,瑟韦尼,sè wéi ní
isaccea,伊萨克恰,yī sà kè qià
oradea,奥拉迪亚,ào lā dí yà
ploiești,普洛耶什蒂,pǔ luò yē shén dì
zărnești,泽尔内什蒂,zé ěr nèi shén dì
sighișoara,锡吉什瓦拉,xī jí shén wǎ lā
bechet,贝凯特,bèi kǎi tè
salcea,萨尔恰,sà ěr qià
slănicmoldova,斯勒尼克摩尔多瓦,sī lè ní kè mó ěr duō wǎ
bucurești,布加勒斯特,bù jiā lè sī tè
clujnapoca,克卢日纳波卡,kè lú rì nà bō kǎ
bucovina,布科维纳,bù kē wéi nà
dobrogea,多布罗加,duō bù luó jiā
sârbi,塞尔维亚族,sāi ěr wéi yà zú
lugoj,卢戈日,lú gē rì
găești,格耶什蒂,gé yē shén dì
giurgiu,久尔久,jiǔ ěr jiǔ
buzău,布泽乌,bù zé wū
caransebeș,卡兰塞贝什,kǎ lán sāi bèi shén
turceni,图尔切尼,tú ěr qiè ní
zimnicea,济姆尼恰,jì mǔ ní qià
deva,德瓦,dé wǎ
transilvania,特兰西瓦尼亚,tè lán xī wǎ ní yà
zlatna,兹拉特纳,zī lā tè nà
muntenia,蒙特尼亚,méng tè ní yà
orăștie,奥勒什蒂耶,ào lè shén dì yē
balș,巴尔什,bā ěr shén
pucioasa,普奇瓦萨,pǔ qí wǎ sà
piatraolt,皮亚特拉奥尔特,pí yà tè lā ào ěr tè
borșa,博尔沙,bó ěr shā
turda,图尔达,tú ěr dá
oltenia,奥尔特尼亚,ào ěr tè ní yà
bușteni,布什泰尼,bù shén tài ní
călărași,克勒拉希,kè lè lā xī
sinaia,锡纳亚,xī nà yà
murfatlar,穆法特拉,mù fǎ tè lā
hunedoara,胡内多阿拉,hú nèi duō ā lā
sovata,索瓦塔,suǒ wǎ tǎ
holcim,霍尔希姆,huò ěr xī mǔ
ovidiu,奥维迪乌,ào wéi dí wū
slobozia,斯洛博齐亚,sī luò bó qí yà
buftea,布夫泰亚,bù fū tài yà
roznov,罗兹诺夫,luó zī nuò fū
dej,代日,dài rì
fierbințitârg,菲耶尔宾齐特尔格,fēi yē ěr bīn qí tè ěr gé
fetești,费泰什蒂,fèi tài shén dì
cajvana,卡伊瓦纳,kǎ yī wǎ nà
flămânzi,弗勒门济,fú lè mén jì
băbeni,伯贝尼,bǎi bèi ní
sântana,圣安娜,shèng ān nà
răcari,勒卡里,lè kǎ lǐ
ardud,阿尔杜德,ā ěr dù dé
amara,阿马拉,ā mǎ lā
murgeni,穆尔杰尼,mù ěr jié ní
liteni,利泰尼,lì tài ní
potcoava,波特夸瓦,bō tè kuā wǎ
dolhasca,多尔哈斯卡,duō ěr hā sī kǎ
milișăuți,米利瑟乌齐,mǐ lì sè wū qí
dăbuleni,德布莱尼,dé bù lái ní
solca,索尔卡,suǒ ěr kǎ
bălcești,伯尔切什蒂,bǎi ěr qiè shén dì
pecica,佩奇卡,pèi qí kǎ
ulmeni,乌尔梅尼,wū ěr méi ní
frasin,弗拉辛,fú lā xīn
bucecea,布切恰,bù qiè qià
dragomirești,德拉戈米雷什蒂,dé lā gē mǐ léi shén dì
caracal,卡拉卡尔,kǎ lā kǎ ěr
berbești,贝尔贝什蒂,bèi ěr bèi shén dì
căzănești,克泽内什蒂,kè zé nèi shén dì
livada,利瓦达,lì wǎ dá
pătârlagele,珀特尔拉杰莱,pò tè ěr lā jié lái
pogoanele,波瓜内莱,bō guā nèi lái
segarcea,塞加尔恰,sāi jiā ěr qià
curtici,库尔蒂奇,kù ěr dì qí
măcin,默钦,mò qīn
deta,代塔,dài tǎ
vașcău,瓦什克乌,wǎ shén kè wū
pâncota,彭科塔,péng kē tǎ
comarnic,科马尔尼克,kē mǎ ěr ní kè
aleșd,阿莱什德,ā lái shén dé
câmpina,坎皮纳,kǎn pí nà
hârlău,赫尔勒乌,hè ěr lè wū
făget,弗杰特,fú jié tè
budești,布代什蒂,bù dài shén dì
comănești,科默内什蒂,kē mò nèi shén dì
buhuși,布胡希,bù hú xī
dorohoi,多罗霍伊,duō luó huò yī
filiași,菲利亚希,fēi lì yà xī
titu,蒂图,dì tú
băilești,伯伊莱什蒂,bǎi yī lái shén dì
lipova,利波瓦,lì bō wǎ
băicoi,伯伊科伊,bǎi yī kē yī
blaj,布拉日,bù lā rì
urlați,乌尔拉齐,wū ěr lā qí
însurăței,恩苏勒采伊,ēn sū lè cǎi yī
câmpeni,肯佩尼,kěn pèi ní
otopeni,奥托佩尼,ào tuō pèi ní
rovinari,罗维纳里,luó wéi nà lǐ
citibank,花旗银行,huā qí yín háng
fălticeni,弗尔蒂切尼,fú ěr dì qiè ní
berești,贝雷什蒂,bèi léi shén dì
negreștioaș,内格雷什蒂瓦什,nèi gé léi shén dì wǎ shén
beiuș,贝尤什,bèi yóu shén
voluntari,沃伦塔里,wò lún tǎ lǐ
mioveni,苗韦尼,miáo wéi ní
sebeș,塞贝什,sāi bèi shén
strehaia,斯特雷哈亚,sī tè léi hā yà
dărmănești,德尔默内什蒂,dé ěr mò nèi shén dì
agnita,阿格尼塔,ā gé ní tǎ
gătaia,格塔亚,gé tǎ yà
recaș,雷卡什,léi kǎ shén
videle,维代莱,wéi dài lái
câmpulung,肯普隆格,kěn pǔ lóng gé
cernavodă,切尔纳沃德,qiè ěr nà wò dé
râșnov,勒什诺夫,lè shén nuò fū
năsăud,讷瑟乌德,nè sè wū dé
sulina,苏利纳,sū lì nà
ciacova,恰科瓦,qià kē wǎ
abrud,阿布鲁德,ā bù lǔ dé
bârlad,伯尔拉德,bǎi ěr lā dé
szabadság,自由,zì yóu
bălan,伯兰,bǎi lán
pașcani,帕什卡尼,pà shén kǎ ní
iernut,耶尔努特,yē ěr nǔ tè
negrești,内格雷什蒂,nèi gé léi shén dì
horezu,霍雷祖,huò léi zǔ
panciu,潘丘,pān qiū
avrig,阿夫里格,ā fū lǐ gé
adjud,阿德茹德,ā dé rú dé
calafat,卡拉法特,kǎ lā fǎ tè
oltenița,奥尔泰尼察,ào ěr tài ní chá
mizil,米济尔,mǐ jì ěr
topoloveni,托波洛韦尼,tuō bō luò wéi ní
nucet,努切特,nǔ qiè tè
beclean,贝克良,bèi kè liáng
darabani,达拉巴尼,dá lā bā ní
horă,霍拉舞,huò lā wǔ
ianca,扬卡,yáng kǎ
buziaș,布济亚什,bù jì yà shén
mediaș,梅迪亚什,méi dí yà shén
luduș,卢杜什,lú dù shén
jibou,捷博,jié bó
ghimbav,金巴夫,jīn bā fū
călimănești,克利默内什蒂,kè lì mò nèi shén dì
săcueni,瑟库埃尼,sè kù āi ní
techirghiol,泰基尔吉奥尔,tài jī ěr jí ào ěr
toplița,托普利察,tuō pǔ lì chá
seini,塞伊尼,sāi yī ní
tismana,蒂斯马纳,dì sī mǎ nà
oravița,奥拉维察,ào lā wéi chá
tășnad,特什纳德,tè shén nà dé
odobești,奥多贝什蒂,ào duō bèi shén dì
novaci,诺瓦齐,nuò wǎ qí
tăuțiimăgherăuș,特乌齐默盖勒乌什,tè wū qí mò gài lè wū shén
popeștileordeni,波佩什蒂莱奥尔代尼,bō pèi shén dì lái ào ěr dài ní
petroșani,彼得罗沙尼,bǐ dé luó shā ní
fundulea,丰杜莱亚,fēng dù lái yà
fieni,菲耶尼,fēi yē ní
babadag,巴巴达格,bā bā dá gé
tălmaciu,特尔马丘,tè ěr mǎ qiū
hârșova,哈索瓦,hā suǒ wǎ
huși,胡希,hú xī
petrila,彼得里拉,bǐ dé lǐ lā
urziceni,乌尔济切尼,wū ěr jì qiè ní
aiud,阿尤德,ā yóu dé
ștei,什泰伊,shén tài yī
moreni,莫雷尼,mò léi ní
marghita,马尔吉塔,mǎ ěr jí tǎ
medgidia,梅吉迪亚,méi jí dí yà
huedin,胡埃丁,hú āi dīng
orșova,奥尔绍瓦,ào ěr shào wǎ
vlăhița,弗勒希察,fú lè xī chá
sângeorzbăi,圣乔治伯伊,shèng qiáo zhì bǎi yī
țicleni,齐克莱尼,qí kè lái ní
țăndărei,岑德雷伊,cén dé léi yī
făgăraș,弗格拉什,fú gé lā shén
tâmpa,坦帕山,tǎn pà shān
plopeni,普洛佩尼,pǔ luò pèi ní
teiuș,泰尤什,tài yóu shén
rădăuți,勒德乌齐,lè dé wū qí
gherla,盖尔拉,gài ěr lā
mangalia,曼加利亚,màn jiā lì yà
mihăilești,米赫伊莱什蒂,mǐ hè yī lái shén dì
ineu,伊内乌,yī nèi wū
chișineucriș,基希内乌克里什,jī xī nèi wū kè lǐ shén
simeria,锡梅里亚,xī méi lǐ yà
hațeg,哈采格,hā cǎi gé
covasna,科瓦斯纳,kē wǎ sī nà
cisnădie,奇斯讷迪耶,qí sī nè dí yē
bolintinvale,博林廷瓦莱,bó lín tíng wǎ lái
moinești,莫伊内什蒂,mò yī nèi shén dì
drăgăneștiolt,德勒格内什蒂奥尔特,dé lè gé nèi shén dì ào ěr tè
sebiș,塞比什,sāi bǐ shén
nădlac,讷德拉克,nè dé lā kè
predeal,普雷代亚尔,pǔ léi dài yà ěr
corabia,科拉比亚,kē lā bǐ yà
borsec,博尔塞克,bó ěr sāi kè
carpatair,卡帕特航空,kǎ pà tè háng kōng
salonta,萨隆塔,sà lóng tǎ
codlea,科德莱亚,kē dé lái yà
călan,克兰,kè lán
gheorgheni,格奥尔盖尼,gé ào ěr gài ní
carei,卡雷,kǎ léi
vulcan,武尔坎,wǔ ěr kǎn
năvodari,讷沃达里,nè wò dá lǐ
drăgășani,德勒格沙尼,dé lè gé shā ní
lupeni,卢佩尼,lú pèi ní
târnăveni,特尔讷韦尼,tè ěr nè wéi ní
brad,布拉德,bù lā dé
dumbrăveni,敦布勒韦尼,dūn bù lè wéi ní
brezoi,布雷佐伊,bù léi zuǒ yī
făurei,弗乌雷伊,fú wū léi yī
baraolt,巴拉奥尔特,bā lā ào ěr tè
azuga,阿祖加,ā zǔ jiā
geoagiu,乔阿久,qiáo ā jiǔ
cavnic,卡夫尼克,kǎ fū ní kè
slănic,斯勒尼克,sī lè ní kè
săcele,瑟切莱,sè qiè lái
anina,阿尼纳,ā ní nà
aninoasa,阿尼诺阿萨,ā ní nuò ā sà
tecuci,泰库奇,tài kù qí
onești,奥内什蒂,ào nèi shén dì
breaza,布雷亚扎,bù léi yà zhā
tarutino,塔鲁季诺,tǎ lǔ jì nuò
uricani,乌里卡尼,wū lǐ kǎ ní
boldeștiscăeni,博尔代什蒂斯克埃尼,bó ěr dài shén dì sī kè āi ní
reghin,雷京,léi jīng
mărășești,默勒谢什蒂,mò lè xiè shén dì
eforie,埃福列,āi fú liè
bumbeștijiu,本贝什蒂日乌,běn bèi shén dì rì wū
scornicești,斯科尔尼切什蒂,sī kē ěr ní qiè shén dì
siret,锡雷特,xī léi tè
măgurele,玛格雷丽,mǎ gé léi lì
electroputere,克拉约瓦电力机车设备,kè lā yuē wǎ diàn lì jī chē shè bèi
transcarpatia,喀尔巴阡鲁塞尼亚,kā ěr bā qiān lǔ sāi ní yà
transhumanță,移牧,yí mù
săliște,瑟利什泰,sè lì shén tài
bacău,巴克乌,bā kè wū
broșteni,布罗什泰尼,bù luó shén tài ní
moldova,摩尔达维亚,mó ěr dá wéi yà
arthur văitoianu,阿图尔·沃伊托伊安努,ā tú ěr · wò yī tuō yī ān nǔ
irina spîrlea,伊莉娜·斯皮尔利亚,yī lì nà · sī pí ěr lì yà
octavian goga,奥克塔维安·戈加,ào kè tǎ wéi ān · gē jiā
dan bălan,丹·巴兰,dān · bā lán
dimitrie ghica,德米特里·吉卡,dé mǐ tè lǐ · jí kǎ
allysin chaynes,阿利森·查恩斯,ā lì sēn · chá ēn sī
panait istrati,帕纳伊特·伊斯特拉,pà nà yī tè · yī sī tè lā
cristian dumitrescu,克里斯蒂安·杜米特雷斯库,kè lǐ sī dì ān · dù mǐ tè léi sī kù
daniel spoerri,丹枇尔·史波利,dān pí ěr · shǐ bō lì
györgy jakubinyi,乔治·贾库宾伊,qiáo zhì · jiǎ kù bīn yī
florin piersic,弗洛林·彼耶尔西克,fú luò lín · bǐ yē ěr xī kè
edina gallovitshall,埃迪纳·加洛维特斯霍尔,āi dí nà · jiā luò wéi tè sī huò ěr
constanța burcică,康斯坦察·布尔奇克,kāng sī tǎn chá · bù ěr qí kè
ikechi anya,伊克基·安亚,yī kè jī · ān yà
anamaria marinca,安娜玛丽亚·马林卡,ān nà mǎ lì yà · mǎ lín kǎ
mihai antonescu,米海伊·安东内斯库,mǐ hǎi yī · ān dōng nèi sī kù
stan ioan pătraș,斯坦·伊万·珀特拉什,sī tǎn · yī wàn · pò tè lā shén
paula seling,保拉·赛林,bǎo lā · sài lín
sandra romain,桑德拉·罗曼,sāng dé lā · luó màn
virginia ruzici,弗吉尼亚·鲁西奇,fú jí ní yà · lǔ xī qí
alexandra cadanțu,亚历珊德拉·卡丹图,yà lì shān dé lā · kǎ dān tú
vasile dîncu,瓦西里·登库,wǎ xī lǐ · dēng kù
mircea albulescu,米塞亚·阿尔比莱斯卡,mǐ sāi yà · ā ěr bǐ lái sī kǎ
cleopatra stratan,克莱奥帕特拉·斯特拉坦,kè lái ào pà tè lā · sī tè lā tǎn
corina crețu,柯莉娜·克雷杜,kē lì nà · kè léi dù
