leandro damião,레안드루 다미앙,reandeuru damiang
débora nascimento,데보라 나시멘투,debora nasimentu
marcelo melo,마르셀루 멜루,mareuselru melru
alex sandro da silva,알레스 산드로 다 시우바,alreseu sandeuro da siuba
ricardo gomes,히카르두 고메스,hikareudu gomeseu
alessandra negrini,알레산드라 네그리니,alresandeura negeurini
renata sorrah,헤나타 소하,henata soha
marcelo serrado,마르셀루 세하두,mareuselru sehadu
natália falavigna,나탈리아 팔라비냐,natalria palrabinya
formiga,포르미가,poreumiga
vanessa giácomo,바네사 지아코무,banesa jiakomu
renan barão,헤낭 바랑,henang barang
daniella sarahyba,다니엘라 사라이바,danielra saraiba
ronaldo da costa,호나우두 다 코스타,honaudu da koseuta
klebber toledo,클레베르 톨레두,keulrebereu tolredu
mel lisboa,메우 리즈보아,meu rijeuboa
eduardo gonçalves de oliveira,에두아르두 곤사우베스 지 올리베이라,eduareudu gonsaubeseu ji olribeira
maurício rua,마우리시우 후아,maurisiu hua
tony ramos,토니 라모스,toni ramoseu
gracie carvalho,그라시 카르발류,geurasi kareubalryu
fernanda motta,페르난다 모타,pereunanda mota
fernando haddad,페르난두 아다지,pereunandu adaji
flávia alessandra,플라비아 알레산드라,peulrabia alresandeura
ana cláudia michels,아나 클라우지아 미셰우스,ana keulraujia misyeuseu
joaquim cruz,조아킹 크루즈,joaking keurujeu
paulinho da costa,파울리뉴 다 코스타,paulrinyu da koseuta
aurélio miguel,아우렐리우 미게우,aurelriu migeu
yan gomes,얀 고메스,yan gomeseu
emanuela de paula,이마누엘라 지 파울라,imanuelra ji paulra
frederico rodrigues santos,프레데리쿠 호드리게스 산투스,peurederiku hodeurigeseu santuseu
leomar leiria,레오마르 레이리아,reomareu reiria
geraldo alckmin,제라우두 아우키민,jeraudu aukimin
jair pereira,자이르 페헤이라,jaireu peheira
giba,지바,jiba
rafael alcântara,하파에우 아우칸타라,hapaeu aukantara
bianca comparato,비앙카 콤파라투,biangka komparatu
isis valverde,이지스 바우베르지,ijiseu baubereuji
gabriela guimarães,가브리엘라 기마랑이스,gabeurielra gimarangiseu
norma bengell,노마 벤겔,noma bengel
preguinho,프레기뉴,peureginyu
walter salles,바우테르 살리스,bautereu salriseu
murilo rosa,무릴루 호자,murilru hoja
welliton,웰리통,welritong
vitor belfort,비토르 베우포르,bitoreu beuporeu
grazi massafera,그라지 마사페라,geuraji masapera
camila alves,카밀라 아우베스,kamilra aubeseu
diego costa,디에고 코스타,diego koseuta
antonio peticov,안토니우 페티쿠브,antoniu petikubeu
júlio titow,줄리우 치토우,julriu citou
sandra corveloni,산드라 코르벨로니,sandeura koreubelroni
ederson honorato campos,이데르송 오노라투 캄푸스,idereusong onoratu kampuseu
cristiana reali,크리스티나 레알리,keuriseutina realri
heitor pereira,에이토르 페레이라,eitoreu pereira
michel temer,미셰우 테메르,misyeu temereu
danni suzuki,다니엘리 스즈키,danielri seujeuki
maria luísa mendonça,마리아 루이자 멘돈사,maria ruija mendonsa
paolla oliveira,파올라 올리베이라,paolra olribeira
maitê proença,마이테 프로엔사,maite peuroensa
maria flor,마리아 플로,maria peulro
dorothy stang,도로시 스탕,dorosi seutang
júlio sérgio,줄리우 세르지우,julriu sereujiu
paloma bernardi,팔로마 베르나르지,palroma bereunareuji
roberto césar zardin rodrigues,호베르투 세자르 자르딩 호드리게스,hobereutu sejareu jareuding hodeurigeseu
bruna marquezine,브루나 마르케지니,beuruna mareukejini
charles oliveira,찰스 올리베이라,calseu olribeira
lygia fagundes telles,리지아 파군지스 텔리스,rijia pagunjiseu telriseu
elis regina,엘리스 헤지나,elriseu hejina
fernanda torres,페르난다 토히스,pereunanda tohiseu
débora falabella,데보라 팔라벨라,debora palrabelra
juliana paes,줄리아나 파이스,julriana paiseu
murilo benício,무릴루 베니시우,murilru benisiu
marília pêra,마릴리아 페라,marilria pera
washington stecanela cerqueira,와싱통 스테카넬라 세르케이라,wasingtong seutekanelra sereukeira
fábio simplício,파비우 심플리시우,pabiu simpeulrisiu
céu,세우,seu
rubem fonseca,후벵 폰세카,hubeng ponseka
zuluzinho,줄루징요,julrujingyo
camila finn,카밀라 핑,kamilra ping
andré mattos,안드레 마투스,andeure matuseu
débora lyra,데보라 리라,debora rira
magno alves,마그누 아우베스,mageunu aubeseu
rivaldo,히바우두,hibaudu
paula fernandes,파울라 페르난지스,paulra pereunanjiseu
adriano chuva,아드리아누 슈바,adeurianu syuba
antônio rogério silva oliveira,안토니우 호제리우 시우바 올리베이라,antoniu hojeriu siuba olribeira
itamar franco,이타마르 프랑쿠,itamareu peurangku
pepe,페페,pepe
sophie charlotte,소피 샤를로치,sopi syareulroci
marina ruy barbosa,마리나 후이 바르보자,marina hui bareuboja
leandro machado,레안드루 마샤두,reandeuru masyadu
sérgio farias,세르지우 파리아스,sereujiu pariaseu
arthur bernardes,아르투르 베르나르지스,areutureu bereunareujiseu
giuseppe occhialini,주세페 오키알리니,jusepe okialrini
anselmo vendrechovski júnior,안세우무 벤드레초프스키 주니오르,anseumu bendeurecopeuseuki junioreu
luís henrique da silva alves,루이스 엔리케 다 시우바 아우베스,ruiseu enrike da siuba aubeseu
almir lopes de luna,아우미르 로페스 지 루나,aumireu ropeseu ji runa
éverton cardoso da silva,이베르통 카르도주 다 시우바,ibereutong kareudoju da siuba
michel teló,미셰우 텔로,misyeu telro
victor simões,빅토르 시몽이스,bigtoreu simongiseu
denilson martins nascimento,데니우송 마르칭스 나시멘투,deniusong mareucingseu nasimentu
itamar batista da silva,이타마르 바티스타 다 시우바,itamareu batiseuta da siuba
cleonésio carlos da silva,클레오네시우 카를루스 다 시우바,keulreonesiu kareulruseu da siuba
andré luiz tavares,안드레 루이스 타바레스,andeure ruiseu tabareseu
nonato,노나투,nonatu
leonardo rodriguez pereira,레오나르두 호드리게스 페레이라,reonareudu hodeurigeseu pereira
joão maria lima do nascimento,주앙 마리아 리마 두 나시멘투,juang maria rima du nasimentu
waguinho,바기뉴,baginyu
rinaldo santana dos santos,히나우두 산타나 두스 산투스,hinaudu santana duseu santuseu
héverton durães coutinho alves,에베르통 두랑이스 코치뉴 아우베스,ebereutong durangiseu kocinyu aubeseu
moacir pereira,모아시르 페레이라,moasireu pereira
bérgson gustavo silveira da silva,베르그송 구스타부 시우베이라 다 시우바,bereugeusong guseutabu siubeira da siuba
renaldo lopes da cruz,헤나우두 로페스 다 크루스,henaudu ropeseu da keuruseu
ivan reis,이방 헤이스,ibang heiseu
daniel matsunaga,다니에우 마쓰나가,danieu masseunaga
wallace oliveira dos santos,왈라시 올리베이라 두스 산투스,walrasi olribeira duseu santuseu
jean raphael vanderlei moreira,제앙 하파에우 반데를레이 모레이라,jeang hapaeu bandereulrei moreira
adriana melo,아드리아나 멜루,adeuriana melru
bruno uvini,브루누 우비니,beurunu ubini
angelo sormani,안젤로 소르마니,anjelro soreumani
alexsandro de souza,알레산드루 지 소자,alresandeuru ji soja
leandra leal,레안드라 레아우,reandeura reau
denise fraga,데니지 프라가,deniji peuraga
elias mendes trindade,일리아스 멘지스 트린다지,ilriaseu menjiseu teurindaji
alice dellal,앨리스 델럴,aelriseu delreol
josé aldo,조제 아우두,joje audu
luiz fernando pereira da silva,루이스 페르난두 페레이라 다 시우바,ruiseu pereunandu pereira da siuba
christine fernandes,크리스치니 페르난지스,keuriseucini pereunanjiseu
lua blanco,루아 블랑쿠,rua beulrangku
luana piovani,루아나 피오바니,ruana piobani
cléber santana,클레베르 산타나,keulrebereu santana
manoel messias silva carvalho,마노에우 메시아스 시우바 카르발류,manoeu mesiaseu siuba kareubalryu
jonas sulzbach,조나스 줄츠바흐,jonaseu julceubaheu
alexandre pölking,알렉산드레 푈킹,alregsandeure poelking
pedro rocha,페드로 로차,pedeuro roca
alex teixeira,알레스 테이셰이라,alreseu teisyeira
carlos saldanha,카를루스 사우다냐,kareulruseu saudanya
andré felipe ribeiro de souza,안드레 펠리피 히베이루 지 소우자,andeure pelripi hibeiru ji souja
marlon sandro,말론 산드로,malron sandeuro
douglas,도글라스,dogeulraseu
felipe santana,펠리피 산타나,pelripi santana
aline weber,알리니 웨베르,alrini webereu
alinne moraes,알리니 모라이스,alrini moraiseu
andré lima,안드레 리마,andeure rima
patricia pillar,파트리시아 필라르,pateurisia pilrareu
andréia horta,안드레이아 오르타,andeureia oreuta
fernanda vasconcellos,페르난다 바스콘셀루스,pereunanda baseukonselruseu
nanda costa,난다 코스타,nanda koseuta
nathalie moellhausen,나탈리 모엘하우젠,natalri moelhaujen
amanda nunes,아만다 누니스,amanda nuniseu
gustavo gianetti,구스타부 지아네치,guseutabu jianeci
léa garcia,레아 가르시아,rea gareusia
bianca bin,비앙카 빙,biangka bing
rafael marques pinto,하파에우 마르케스 핀투,hapaeu mareukeseu pintu
andréa beltrão,안드레아 베우트랑,andeurea beuteurang
newton da costa,니우통 다 코스타,niutong da koseuta
elierce barbosa de souza,일리어시 바르보자 지 소우자,ilrieosi bareuboja ji souja
kaká,카카,kaka
cristiano da silva,크리스치아누 다 시우바,keuriseucianu da siuba
roberson de arruda alves,호베르송 지 아루다 아우베스,hobereusong ji aruda aubeseu
tainá müller,타이나 뮐러,taina mwilreo
fernanda lima,페르난다 리마,pereunanda rima
ana beatriz nogueira,아나 베아트리스 노게이라,ana beateuriseu nogeira
sabotage,사보타지,sabotaji
emerson palmieri,이메르송 팔미에리,imereusong palmieri
ricardo bueno,히카르두 부에누,hikareudu buenu
caco ciocler,카코 시오클러,kako siokeulreo
rafael tolói,하파엘 톨로이,hapael tolroi
erick silva,에릭 시우바,erig siuba
juliana didone,줄리아나 지도니,julriana jidoni
walter henrique da silva,와우테르 엔히키 다 시우바,wautereu enhiki da siuba
roger carvalho,호제르 카르발류,hojereu kareubalryu
milton nascimento,밀톤 나시멘토,milton nasimento
samuel rosa gonçalves,사무엘 호사 곤살베스,samuel hosa gonsalbeseu
thiago braz,치아구 브라스,ciagu beuraseu
antônio rodrigo nogueira,안토니우 호드리구 노게이라,antoniu hodeurigu nogeira
vanderlei farias da silva,반데를레이 파리아스 다 시우바,bandereulrei pariaseu da siuba
fabiana semprebom,파비아나 셈프레봉,pabiana sempeurebong
weverson leandro oliveira moura,웨베르송 레안드루 올리베이라 모우라,webereusong reandeuru olribeira moura
carlos kaiser,카를루스 카이저,kareulruseu kaijeo
larissa manoela,라리사 마노엘라,rarisa manoelra
othon bastos,오손 바스토스,oson baseutoseu
éverton ribeiro,이베르통 히베이루,ibereutong hibeiru
gero camilo,제루 카밀루,jeru kamilru
ingra lyberato,인그라 리베라토,ingeura riberato
márcio garcia,마르시오 가르시아,mareusio gareusia
milton gonçalves,미우통 곤사우베스,miutong gonsaubeseu
bruno suzuki,스즈키 브루노,seujeuki beuruno
léo gamalho,레우 가말류,reu gamalryu
luke ross,루크 로스,rukeu roseu
marieta severo,마리에타 세베루,marieta seberu
carlos adriano de sousa cruz,카를루스 아드리아누 지 소우사 크루스,kareulruseu adeurianu ji sousa keuruseu
rodrigo fernandes valete,호드리구 페르난지스 발레치,hodeurigu pereunanjiseu balreci
rodrigo ely,호드리구 엘리,hodeurigu elri
rodrigo hilbert,호드리구 이우베르트,hodeurigu iubereuteu
caroline ribeiro,카롤리니 히베이루,karolrini hibeiru
rafael dos anjos,하파에우 두스 안주스,hapaeu duseu anjuseu
marcelo toscano,마르셀루 토스카누,mareuselru toseukanu
maurício de oliveira anastácio,마우리시우 지 올리베이라 아나스타시우,maurisiu ji olribeira anaseutasiu
isabelle drummond,이자벨리 드루몬드,ijabelri deurumondeu
thiago martins,치아구 마르칭스,ciagu mareucingseu
nelson xavier,넬슨 자비에,nelseun jabie
jaques wagner,자크 바그너,jakeu bageuneo
mike,마이키,maiki
milhem cortaz,밀헴 코타즈,milhem kotajeu
sidarta ribeiro,시다르타 히베이루,sidareuta hibeiru
josé dumont,호세 듀몬트,hose dyumonteu
arolde de oliveira,아로우지 지 올리베이라,arouji ji olribeira
joão miguel,호아오 미구엘,hoao miguel
paulinho criciúma,파울리뉴 크리시우마,paulrinyu keurisiuma
paulinho paiakã,파울리뉴 파이아캉,paulrinyu paiakang
marlone,마를로니,mareulroni
paulo rogério reis silva,파울루 호제리우 헤이스 시우바,paulru hojeriu heiseu siuba
simone spoladore,시모니 스폴라도리,simoni seupolradori
paulo josé,파울로 호세,paulro hose
vladimir brichta,블라디미르 브리치타,beulradimireu beuricita
petra costa,페트라 코스타,peteura koseuta
vadão,바당,badang
lino facioli,리누 파시올리,rinu pasiolri
wendell lira,웬데우 리라,wendeu rira
rafael costa,하파에우 코스타,hapaeu koseuta
valesca popozuda,발레스카 포포주다,balreseuka popojuda
camila rodrigues,카밀라 호드리게스,kamilra hodeurigeseu
lais ribeiro,라이스 히베이루,raiseu hibeiru
weverton,웨베르통,webereutong
tatá werneck,타타 웨르네크,tata wereunekeu
douglas santos,도글라스 산투스,dogeulraseu santuseu
éder luiz lima de souza,에데르 루이스 리마 지 소자,edereu ruiseu rima ji soja
fernanda souza,페르난다 소자,pereunanda soja
fernanda andrade,페르난다 안드라지,pereunanda andeuraji
yuu kamiya,카미야 유우,kamiya yuu
leo mineiro,레우 미네이루,reu mineiru
daniel dalcin,다니에우 다우싱,danieu dausing
daniel dantas,다니엘 댄타스,daniel daentaseu
jair bolsonaro,자이르 보우소나루,jaireu bousonaru
hugo carvana,휴고 카바나,hyugo kabana
gléguer zorzin,글레게르 조르징,geulregereu joreujing
joelison fernandes da silva,조엘리손 페르난데스 다 시우바,joelrison pereunandeseu da siuba
joaquim nabuco,조아킹 나부쿠,joaking nabuku
joão schmidt,주앙 슈미트,juang syumiteu
júlio andrade,줄리오 안드라데,julrio andeurade
luciano do valle,루시아누 두 발리,rusianu du balri
moisés lima magalhães,모이세스 리마 마갈량이스,moiseseu rima magalryangiseu
maisa silva,마이사 시우바,maisa siuba
manuela d'ávila,마누엘라 다빌라,manuelra dabilra
juliana paiva,줄리아나 파이바,julriana paiba
larissa maciel,라리사 마시에우,rarisa masieu
paulo césar de souza,파울루 세자르 지 소자,paulru sejareu ji soja
rosamaria murtinho,호자마리아 무르치뉴,hojamaria mureucinyu
rafael berger,하파에우 베르게르,hapaeu bereugereu
pedro barros,페드루 바후스,pedeuru bahuseu
pedro bromfman,페드로 브롬프만,pedeuro beurompeuman
marcélia cartaxo,마르셀리아 카르타슈,mareuselria kareutasyu
yago pikachu,야구 피카슈,yagu pikasyu
wesley alex maiolino,웨즐레이 알레스 마이올리누,wejeulrei alreseu maiolrinu
rogerio prateat,호제리우 프라테아트,hojeriu peurateateu
roger agnelli,로저 아녤리,rojeo anyelri
vitinho,비치뉴,bicinyu
sophia abrahão,소피아 아브라앙,sopia abeuraang
éderson alves ribeiro silva,에데르송 아우베스 히베이루 시우바,edereusong aubeseu hibeiru siuba
gabriel paulista,가브리에우 파울리스타,gabeurieu paulriseuta
wendell nascimento borges,웬데우 나시멘투 보르지스,wendeu nasimentu boreujiseu
carlos eduardo bendini giusti,카를루스 에두아르두 벤지니 지우스치,kareulruseu eduareudu benjini jiuseuci
bethe correia,베치 코헤이아,beci koheia
kenedy,케네지,keneji
ryder matos,히데르 마투스,hidereu matuseu
júnior caiçara,주니오르 카이사라,junioreu kaisara
alcir de oliveira fonseca,아우시르 지 올리베이라 폰세카,ausireu ji olribeira ponseka
alex telles,알렉스 텔레스,alregseu telreseu
ronaldo marques sereno,호나우두 마르케스 세레누,honaudu mareukeseu serenu
gilberto moraes junior,지우베르투 모라이스 주니오르,jiubereutu moraiseu junioreu
leo cittadini,레우 시타지니,reu sitajini
matheus pereira,마테우스 페레이라,mateuseu pereira
wallace,월러스,weolreoseu
barbara fialho,바르바라 피알류,bareubara pialryu
sérgio ricardo dos santos júnior,세르지우 히카르두 두스 산투스 주니오르,sereujiu hikareudu duseu santuseu junioreu
cícero moraes,시세로 모라에스,sisero moraeseu
douglas coutinho,도글라스 코치뉴,dogeulraseu kocinyu
diego carlos,지에구 카를루스,jiegu kareulruseu
jemerson,제메르송,jemereusong
everton cebolinha,에베르통 소아리스,ebereutong soariseu
pedro cardoso,페드로 카도소,pedeuro kadoso
anitta,아니타,anita
laura rizzotto,라우라 히조투,raura hijotu
ludmilla,루드밀라,rudeumilra
pocah,포카,poka
roberto azevêdo,호베르토 아제베두,hobereuto ajebedu
bernardo velasco,베르나르두 벨라스쿠,bereunareudu belraseuku
malcom,마우콩,maukong
rafael lima pereira,하파에우 리마 페레이라,hapaeu rima pereira
mel maia,멜 마이아,mel maia
octávio,옥타비우,ogtabiu
gustavo scarpa,구스타부 스카르파,guseutabu seukareupa
rômulo josé pacheco da silva,호물루 조제 파셰쿠 다 시우바,homulru joje pasyeku da siuba
wanderson ferreira de oliveira,완데르송 페헤이라 지 올리베이라,wandereusong peheira ji olribeira
marcus vinicius d'almeida,마르쿠스 비니시우스 다우메이다,mareukuseu binisiuseu daumeida
wellington daniel bueno,웰링통 다니에우 부에누,welringtong danieu buenu
alexandre gama,알렉산드레 가마,alregsandeure gama
luiz eduardo dos santos gonzaga,루이스 에두아르두 두스 산투스 곤자가,ruiseu eduareudu duseu santuseu gonjaga
gabriel jesus,가브리에우 제주스,gabeurieu jejuseu
isabella santoni,이자벨라 산토니,ijabelra santoni
gerson santos da silva,제르송 산투스 다 시우바,jereusong santuseu da siuba
joaquim levy,조아킹 레비,joaking rebi
anderson lopes,안데르송 로페스,andereusong ropeseu
ítalo ferreira,이탈루 페헤이라,italru peheira
sergio guizé,세르지오 기제,sereujio gije
charles chibana,찰스 치바나,calseu cibana
alisson becker,알리송 베케르,alrisong bekereu
rafael da silva,하파에우 다 시우바,hapaeu da siuba
daniela braga,다니엘라 브라가,danielra beuraga
lexa,렉사,regsa
jimmy durano,지미 듀레이노,jimi dyureino
joelinton,조엘린통,joelrintong
rafael vitti,라파엘 비티,rapael biti
jailson marcelino dos santos,자이우송 마르셀리누 두스 산투스,jaiusong mareuselrinu duseu santuseu
camila queiroz,카밀라 케이로스,kamilra keiroseu
carlos gorito,카를로스 고리토,kareulroseu gorito
rosamaria montibeller,호자마리아 몬치벨레르,hojamaria moncibelrereu
jorge marco de oliveira moraes,조르지 마르쿠 지 올리베이라 모라에스,joreuji mareuku ji olribeira moraeseu
richarlison,히샤를리송,hisyareulrisong
bruno viana,브루노 비아나,beuruno biana
matheus sales,마테우스 살레스,mateuseu salreseu
sergio moro,세르지우 모루,sereujiu moru
bernardo fernandes da silva junior,베르나르두 페르난지스 다 시우바 주니오르,bereunareudu pereunanjiseu da siuba junioreu
wagner da silva souza,바그네르 다 시우바 소우자,bageunereu da siuba souja
gabriel magalhães,가브리에우 마갈량이스,gabeurieu magalryangiseu
camila márdila,카밀라 마르질라,kamilra mareujilra
douglas tanque,도글라스 탕키,dogeulraseu tangki
david neres,다비드 네리스,dabideu neriseu
melody,멜로디,melrodi
pabllo vittar,파블루 비타르,pabeulru bitareu
igor julio,이고르 줄리우,igoreu julriu
marília mendonça,마릴리아 멘돈사,marilria mendonsa
osman júnior,오즈망 주니오르,ojeumang junioreu
bruna hamú,브루나 아무,beuruna amu
gloria groove,글로리아 그루브,geulroria geurubeu
henrique zaga,엔히 자가,enhi jaga
marquinhos trad,마르키뉴스 트라드,mareukinyuseu teuradeu
douglas luiz,도글라스 루이스,dogeulraseu ruiseu
karine teles,카리네 텔레스,karine telreseu
rodrygo goes,호드리구 고이스,hodeurigu goiseu
fernando viana,페르난두 비아나,pereunandu biana
valentina sampaio,발렌티나 삼파이우,balrentina sampaiu
vinícius júnior,비니시우스 주니오르,binisiuseu junioreu
jessica alves,제시카 알베스,jesika albeseu
hamilton mourão,아미우통 모랑,amiutong morang
iza,이자,ija
josé coelho de souza,주앙 코엘료 더 소우자,juang koelryo deo souja
bruno gadiol,브루노 가디올,beuruno gadiol
carlos vinícius,카를루스 비니시우스,kareulruseu binisiuseu
matheus cunha,마테우스 쿠냐,mateuseu kunya
luísa sonza,루이자 손자,ruija sonja
andrew eric feitosa,안드레우 에리크 페이토사,andeureu erikeu peitosa
daniel cargnin,다니에우 카르그닝,danieu kareugeuning
éder militão,에데르 밀리탕,edereu milritang
lucas paquetá,루카스 파케타,rukaseu paketa
gleison bremer,글레이송 브레메르,geulreisong beuremereu
naomi munakata,무나카타 나오미,munakata naomi
eike duarte,아이케 두아르테,aike duareute
arthur melo,아르투르 멜루,areutureu melru
roger ibañez,호제르 이바녜스,hojereu ibanyeseu
rodrigo becão,호드리구 베캉,hodeurigu bekang
pepê,페페,pepe
renan lodi,헤낭 로지,henang roji
bruno da silva costa,브루누 다 시우바 코스타,beurunu da siuba koseuta
emerson royal,이메르송 로얄,imereusong royal
arthur cabral,아르투르 카브라우,areutureu kabeurau
léo ortiz,레오 오르티즈,reo oreutijeu
kaio jorge,카이우 조르즈,kaiu joreujeu
bruno guimarães,브루누 기마랑이스,beurunu gimarangiseu
carlos augusto,카를루스 아우구스투,kareulruseu auguseutu
gabriel martinelli,가브리엘 마르티넬리,gabeuriel mareutinelri
tetê,테테,tete
bela fernandes,벨라 페르난데스,belra pereunandeseu
rayssa leal,하이사 레아우,haisa reau
aldo parisot,알도 패리소,aldo paeriso
matheus pato,마테우스 파투,mateuseu patu
yan couto,얀 코투,yan kotu
marcelo valle silveira mello,마르셀로 발레 실베이라 멜로,mareuselro balre silbeira melro
junior messias,주니오르 메시아스,junioreu mesiaseu
giulia be,지울리아 비,jiulria bi
igor paixão,이고르 파이샹,igoreu paisyang
gabriel veron,가브리에우 베론,gabeurieu beron
kelvin hoefler,케우빙 호플레르,keubing hopeulrereu
hebert conceição,에베르트 콘세이상,ebereuteu konseisang
joão gomes,주앙 고메스,juang gomeseu
marcos leonardo,마르쿠스 레오나르두,mareukuseu reonareudu
matheus nunes,마테우스 누네스,mateuseu nuneseu
matheus frança,마테우스 프랑카,mateuseu peurangka
ângelo gabriel,안젤루 가브리에우,anjelru gabeurieu
andrey santos,안드레이 산투스,andeurei santuseu
vinicius tobias,비니시우스 토비아스,binisiuseu tobiaseu
eduardo riedel,에두아르두 히에데우,eduareudu hiedeu
lucas beraldo,루카스 베라우두,rukaseu beraudu
vanderlan,반데를랑,bandereulrang
robert renan,호베르치 헤낭,hobereuci henang
luis guilherme,루이스 길례르미,ruiseu gilryereumi
bruno campos,브루누 캄푸스,beurunu kampuseu
pablo maia,파블로 마이아,pabeulro maia
estevão willian,에스테반 윌리앙,eseuteban wilriang
vitor roque,비토르 호케,bitoreu hoke
xanana gusmão,샤나나 구스망,syanana guseumang
abel xavier,아벨 사비에르,abel sabiereu
josé sócrates,조제 소크라트스,joje sokeurateuseu
paulo ferreira,파울루 페헤이라,paulru peheira
assunção cristas,아순상 크리스타스,asunsang keuriseutaseu
carla sacramento,카를라 사크라멘토,kareulra sakeuramento
bruno alves,브루누 알베스,beurunu albeseu
nuno gomes,누누 고메스,nunu gomeseu
ana padrão,아나 파드라오,ana padeurao
silvestre varela,실베스트르 바렐라,silbeseuteureu barelra
ederzito antónio macedo lopes,에데르지투 안토니우 마세두 로페스,edereujitu antoniu masedu ropeseu
francisco da costa gomes,프란시스쿠 다 코스타 고메스,peuransiseuku da koseuta gomeseu
vitorino antunes,비토리누 안투느스,bitorinu antuneuseu
francisco lázaro,프란시스쿠 라자루,peuransiseuku rajaru
eduardo mondlane,에두아르두 몬들라느,eduareudu mondeulraneu
bruno martins indi,브루누 마르팅스 인디,beurunu mareutingseu indi
vieirinha,비에이리냐,bieirinya
cristiano ronaldo,크리스티아누 호날두,keuriseutianu honaldu
joão pedro da silva pereira,주앙 페드루 다 실바 페헤이라,juang pedeuru da silba peheira
ricardo quaresma,히카르두 쿠아레즈마,hikareudu kuarejeuma
joaquim de almeida,조아킹 드 알메이다,joaking deu almeida
manuela machado,마누엘라 마샤두,manuelra masyadu
soledad miranda,솔레다드 미란다,solredadeu miranda
lúcia moniz,루시아 모니스,rusia moniseu
antónio egas moniz,안토니우 에가스 모니스,antoniu egaseu moniseu
antónio lobo antunes,안토니우 로부 안투느스,antoniu robu antuneuseu
rita blanco,리타 블랑코,rita beulrangko
manoel de oliveira,마노엘 드 올리베이라,manoel deu olribeira
miguel torga,미겔 토르가,migel toreuga
aníbal cavaco silva,아니발 카바쿠 실바,anibal kabaku silba
joão césar monteiro,주앙 세자르 몬테이루,juang sejareu monteiru
leonor silveira,레오노어 실베이라,reonoeo silbeira
carlos lopes,카를루스 로페스,kareulruseu ropeseu
rui patrício,후이 파트리시우,hui pateurisiu
hugo viana,우구 비아나,ugu biana
petit,프티,peuti
pedro passos coelho,페드루 파수스 코엘류,pedeuru pasuseu koelryu
antónio ramalho eanes,안토니우 하말류 이아느스,antoniu hamalryu ianeuseu
simão sabrosa,시망 사브로자,simang sabeuroja
manuel pinto da costa,마누엘 핀투 다 코스타,manuel pintu da koseuta
zita seabra,지타 세아브라,jita seabeura
daniel fernandes,다니에우 페르난드스,danieu pereunandeuseu
fernando santos,페르난두 산투스,pereunandu santuseu
sara martins,사라 마틴스,sara matinseu
mariza,마리자,marija
filipa sousa,필리파 소자,pilripa soja
vânia fernandes,바니아 페르난드스,bania pereunandeuseu
tiago mendes,티아구 멘데스,tiagu mendeseu
josé mourinho,조제 무리뉴,joje murinyu
vítor baía,비토르 바이아,bitoreu baia
rolando jorge pires da fonseca,홀란두 조르즈 피르스 다 폰세카,holrandu joreujeu pireuseu da ponseka
bebé,베베,bebe
fernando meira,페르난두 메이라,pereunandu meira
nelson évora,넬송 에보라,nelsong ebora
paulo futre,파울로 푸트레,paulro puteure
hugo almeida,우구 알메이다,ugu almeida
andré villasboas,안드레 빌라스보아스,andeure bilraseuboaseu
amílcar cabral,아밀카르 카브랄,amilkareu kabeural
nelly furtado,넬리 퍼타도,nelri peotado
josé bosingwa,조제 보싱와,joje bosingwa
rúben amorim,후벵 아모링,hubeng amoring
jorge ribeiro,조르즈 히베이루,joreujeu hibeiru
nuno bettencourt,누노 베텐코트,nuno betenkoteu
manuel galrinho bento,마누엘 갈리뉴 벤투,manuel galrinyu bentu
antónio damásio,안토니오 다마지오,antonio damajio
marcello caetano,마르셀루 카에타누,mareuselru kaetanu
costinha,코스티냐,koseutinya
antónio guterres,안토니우 구테흐스,antoniu guteheuseu
nuno espírito santo,누누 이스피리투 산투,nunu iseupiritu santu
henrique hilário,엔히케 일라리우,enhike ilrariu
hélder postiga,엘데르 포스티가,eldereu poseutiga
amália rodrigues,아말리아 호드리게스,amalria hodeurigeseu
olegário benquerença,올레가리우 벵케렌사,olregariu bengkerensa
nuno valente,누누 발렌트,nunu balrenteu
nélson oliveira,넬송 올리베이라,nelsong olribeira
soraia chaves,소라이아 샤베스,soraia syabeseu
cédric soares,세드리크 소아르스,sedeurikeu soareuseu
antónio de oliveira salazar,안토니우 드 올리베이라 살라자르,antoniu deu olribeira salrajareu
rosa mota,호자 모타,hoja mota
joão moutinho,조앙 모티뉴,joang motinyu
carlos queiroz,카를루스 케이로스,kareulruseu keiroseu
fernando couto,페르난두 코투,pereunandu kotu
ricardo costa,히카르두 코스타,hikareudu koseuta
samora machel,사모라 마셸,samora masyel
agustina bessaluís,오거스티나 루이스,ogeoseutina ruiseu
luís miguel cintra,루이스 미구엘 신트라,ruiseu miguel sinteura
luís neto,루이스 네투,ruiseu netu
nani,나니,nani
mário soares,마리우 소아르스,mariu soareuseu
jorge sampaio,조르즈 삼파이우,joreujeu sampaiu
eusébio,에우제비우,eujebiu
kevin gameiro,케뱅 가메이로,kebaeng gameiro
paulo sousa,파울루 소자,paulru soja
josé luís peixoto,조제 루이스 페이쇼투,joje ruiseu peisyotu
roman abramovich,로만 아브라모비치,roman abeuramobici
paulo bento,파울루 벤투,paulru bentu
ana moreira,안나 모레이라,anna moreira
fábio coentrão,파비우 코엔트랑,pabiu koenteurang
