françois hollande,프랑수아 올랑드,peurangsua olrangdeu
mylène farmer,밀렌 파르메르,milren pareumereu
nicolas berdiaev,니콜라이 베르댜예프,nikolrai bereudyayepeu
anna mouglalis,아나 무글라리스,ana mugeulrariseu
jeanne balibar,잔 발리바르,jan balribareu
olga preobrajenska,올가 프레오브라젠스카,olga peureobeurajenseuka
olivia ruiz,올리비아 루이즈,olribia ruijeu
modibo keïta,모디보 케이타,modibo keita
alberto santosdumont,알베르토 산토스뒤몽,albereuto santoseudwimong
michel legrand,미셸 르그랑,misyel reugeurang
jeanhenri fabre,장앙리 파브르,jangangri pabeureu
emmanuel chabrier,에마뉘엘 샤브리에,emanwiel syabeurie
guy demel,기 드멜,gi deumel
victorien sardou,빅토리앵 사르두,bigtoriaeng sareudu
alexandre desplat,알렉상드르 데스플라,alregsangdeureu deseupeulra
laurent cantet,로랑 캉테,rorang kangte
foued kadir,푸에드 카디르,puedeu kadireu
michel kervaire,미셸 케르베르,misyel kereubereu
robert guérin,로베르 게랭,robereu geraeng
fernand braudel,페르낭 브로델,pereunang beurodel
marius trésor,마리위스 트레소르,mariwiseu teuresoreu
julien benneteau,쥘리앵 베네토,jwilriaeng beneto
alexis carrel,알렉시 카렐,alregsi karel
rémi gomis,레미 고미스,remi gomiseu
matthieu dossevi,마티외 도세비,matioe dosebi
guillaume hoarau,기욤 오아로,giyom oaro
karim ziani,카림 지아니,karim jiani
didier auriol,디디에 오리올,didie oriol
albert roussel,알베르 루셀,albereu rusel
algirdas julien greimas,알기르다스 줄리앙 그레마스,algireudaseu julriang geuremaseu
jenifer,제니퍼,jenipeo
claude makélélé,클로드 마켈렐레,keulrodeu makelrelre
jean genet,장 주네,jang june
paloma picasso,팔로마 피카소,palroma pikaso
yoann gourcuff,요안 구르퀴프,yoan gureukwipeu
jeanpierre rampal,장피에르 랑팔,jangpiereu rangpal
darius milhaud,다리우스 미요,dariuseu miyo
jacky terrasson,재키 테라슨,jaeki teraseun
victorine meurent,빅토린 뫼랑,bigtorin moerang
coralie balmy,코랄리 발미,koralri balmi
alice evans,앨리스 에번스,aelriseu ebeonseu
gaston bachelard,가스통 바슐라르,gaseutong basyulrareu
maria casarès,마리아 카자레스,maria kajareseu
gilbert du motier de la fayette,질베르 뒤 모티에 드 라파예트 후작,jilbereu dwi motie deu rapayeteu hujag
gaël monfils,가엘 몽피스,gael mongpiseu
léon bollée,레옹 볼레,reong bolre
louis charles antoine desaix,루이 샤를 앙투안 드제,rui syareul angtuan deuje
rené clément,르네 클레망,reune keulremang
bruno latour,브뤼노 라투르,beurwino ratureu
bernardhenri lévy,베르나르앙리 레비,bereunareuangri rebi
jeanjacques sempé,장자크 상페,jangjakeu sangpe
charles pichegru,샤를 피슈그뤼,syareul pisyugeurwi
marieantoine carême,마리앙투안 카렘,mariangtuan karem
jean mabillon,장 마비용,jang mabiyong
alexandre kojève,알렉상드르 코제브,alregsangdeureu kojebeu
lionel jospin,리오넬 조스팽,rionel joseupaeng
antonin artaud,앙토냉 아르토,angtonaeng areuto
pierregilles de gennes,피에르질 드 젠,piereujil deu jen
erik satie,에리크 사티,erikeu sati
charles garnier,샤를 가르니에,syareul gareunie
abel gance,아벨 강스,abel gangseu
émile clapeyron,에밀 클라페롱,emil keulraperong
jeanbaptiste maunier,장바티스트 모니에,jangbatiseuteu monie
jacques santini,자크 상티니,jakeu sangtini
benoît pedretti,베누아 페드레티,benua pedeureti
jacques feyder,자크 페데,jakeu pede
léon foucault,레옹 푸코,reong puko
louis barthou,루이 바르투,rui bareutu
emmanuel le roy ladurie,에마뉘엘 르 루아 라뒤리,emanwiel reu rua radwiri
vincent d'indy,뱅상 당디,baengsang dangdi
alain connes,알랭 콘,alraeng kon
michael vartan,마이클 바턴,maikeul bateon
danielle mitterrand,다니엘 미테랑,daniel miterang
georges sorel,조르주 소렐,joreuju sorel
françoisjoseph gossec,프랑수아조제프 고세크,peurangsuajojepeu gosekeu
mathieu amalric,마티외 아말리크,matioe amalrikeu
charles dupuy,샤를 뒤퓌,syareul dwipwi
jan ladislav dussek,얀 라디슬라브 듀섹,yan radiseulrabeu dyuseg
françois viète,프랑수아 비에트,peurangsua bieteu
alfred werner,알프레트 베르너,alpeureteu bereuneo
marin mersenne,마랭 메르센,maraeng mereusen
étienne bonnot de condillac,에티엔 보노 드 콩디야크,etien bono deu kongdiyakeu
bernard lama,베르나르 라마,bereunareu rama
antoine bourdelle,앙투안 부르델,angtuan bureudel
camille claudel,카미유 클로델,kamiyu keulrodel
lucienne boyer,루시엔느 브와이에,rusienneu beuwaie
dominique blanc,도미니크 블랑,dominikeu beulrang
georges duby,조르주 뒤비,joreuju dwibi
amira casar,아미라 카사르,amira kasareu
augustin fresnel,오귀스탱 프레넬,ogwiseutaeng peurenel
andré campra,앙드레 캉프라,angdeure kangpeura
tzvetan todorov,츠베탄 토도로프,ceubetan todoropeu
auguste escoffier,오귀스트 에스코피에,ogwiseuteu eseukopie
françois mansart,프랑수아 망사르,peurangsua mangsareu
jacques lefèvre d'étaples,자크 르페브르 데타플,jakeu reupebeureu detapeul
pierre fournier,피에르 푸르니에,piereu pureunie
françois vatable,프랑수와 바타블,peurangsuwa batabeul
honoré daumier,오노레 도미에,onore domie
andré frédéric cournand,앙드레 프레데릭 쿠르낭,angdeure peurederig kureunang
victoire thivisol,빅투아르 티비솔,bigtuareu tibisol
alain ducasse,알랭 뒤카스,alraeng dwikaseu
marisa pavan,마리사 파반,marisa paban
guy mollet,기 몰레,gi molre
andré claveau,앙드레 클라보,angdeure keulrabo
kevin gameiro,케뱅 가메이로,kebaeng gameiro
ignace joseph pleyel,이그나스 조셉 플레엘,igeunaseu joseb peulreel
françois christophe kellermann,프랑수아 크리스토프 켈레르만,peurangsua keuriseutopeu kelrereuman
eugènehenri gravelotte,외젠앙리 그라블로트,oejenangri geurabeulroteu
carlos ghosn,카를로스 곤,kareulroseu gon
jeanpaul marat,장폴 마라,jangpol mara
paul avril,에두아르앙리 아브릴,eduareuangri abeuril
vahina giocante,바이나 조캉트,baina jokangteu
karin viard,카랭 비아르,karaeng biareu
pierre plantard,피에르 플랑타르,piereu peulrangtareu
léon chestov,레프 셰스토프,repeu syeseutopeu
brigitte lahaie,브리지트 라에,beurijiteu rae
frédérune,프레데루나,peurederuna
pierre mendès france,피에르 망데스 프랑스,piereu mangdeseu peurangseu
henri konan bédié,앙리 코낭 베디에,angri konang bedie
rod fanni,로드 파니,rodeu pani
charles édouard guillaume,샤를 에두아르 기욤,syareul eduareu giyom
alphonse de lamartine,알퐁스 드 라마르틴,alpongseu deu ramareutin
nicolas boileau,니콜라 부알로,nikolra bualro
marlène jobert,마를렌 조베르,mareulren jobereu
blaise cendrars,블레즈 상드라르,beulrejeu sangdeurareu
salomé zourabichvili,살로메 주라비슈빌리,salrome jurabisyubilri
bella darvi,벨라 다르비,belra dareubi
hamani diori,하마니 디오리,hamani diori
pierre waldeckrousseau,피에르 발데크루소,piereu baldekeuruso
alexandre ribot,알렉상드르 리보,alregsangdeureu ribo
guillaume canet,기욤 카네,giyom kane
éric djembadjemba,에릭 젬바젬바,erig jembajemba
ryad boudebouz,리야드 부데부즈,riyadeu budebujeu
moussa sow,무사 소우,musa sou
benjamin constant,뱅자맹 콩스탕,baengjamaeng kongseutang
robert louisdreyfus,로베르 루이드레퓌스,robereu ruideurepwiseu
raymond kopa,레몽 코파,remong kopa
jeanbaptiste colbert,장바티스트 콜베르,jangbatiseuteu kolbereu
christine goitschel,크리스틴 구아첼,keuriseutin guacel
emmanuelle bercot,에마뉘엘 베르코,emanwiel bereuko
fernando botero,페르난도 보테로,pereunando botero
ettore bugatti,에토레 부가티,etore bugati
constantin balmont,콘스탄틴 발몬트,konseutantin balmonteu
honoré d'urfé,오노레 뒤르페,onore dwireupe
paul scheuring,폴 쉐어링,pol sweeoring
michel sardou,미셸 사르두,misyel sareudu
françois de malherbe,프랑수아 드 말레르브,peurangsua deu malrereubeu
guillaume henri dufour,기욤 앙리 뒤푸르,giyom angri dwipureu
arthur honegger,아르튀르 오네게르,areutwireu onegereu
alexandre song,알렉상드르 송,alregsangdeureu song
jean dujardin,장 뒤자르댕,jang dwijareudaeng
pierre teilhard de chardin,피에르 테야르 드 샤르댕,piereu teyareu deu syareudaeng
adolphe adam,아돌프 아당,adolpeu adang
joe dassin,조 다신,jo dasin
jean lannes,장 란,jang ran
martin solveig,마르탱 솔베이그,mareutaeng solbeigeu
albin lermusiaux,알뱅 레르뮈지오,albaeng rereumwijio
martin fourcade,마르탱 푸르카드,mareutaeng pureukadeu
alexandre yersin,알렉상드르 예르생,alregsangdeureu yereusaeng
gracchus babeuf,프랑수아노엘 바뵈프,peurangsuanoel baboepeu
claude cohentannoudji,클로드 코엔타누지,keulrodeu koentanuji
bruno metsu,브뤼노 메취,beurwino mecwi
hameur bouazza,아뫼르 부아자,amoereu buaja
jean calas,칼라스 사건,kalraseu sageon
marianne denicourt,마리안 드니쿠르,marian deunikureu
béatrice dalle,베아트리스 달,beateuriseu dal
caroline cellier,카롤린 셀리에,karolrin selrie
antoine parmentier,앙투안 파르망티에,angtuan pareumangtie
pierre mignard,피에르 미냐르,piereu minyareu
souleymane diawara,술레만 디아와라,sulreman diawara
bertrand blier,베르트랑 블리에,bereuteurang beulrie
gérard de nerval,제라르 드 네르발,jerareu deu nereubal
francis poulenc,프랑시스 풀랑크,peurangsiseu pulrangkeu
tadeusz kościuszko,타데우시 코시치우슈코,tadeusi kosiciusyuko
eva green,에바 그린,eba geurin
édouard mortier,에두아르 모르티에,eduareu moreutie
andré bazin,앙드레 바쟁,angdeure bajaeng
siméon denis poisson,시메옹 드니 푸아송,simeong deuni puasong
albert dupontel,알베르 뒤퐁텔,albereu dwipongtel
bernard tschumi,베르나르 추미,bereunareu cumi
jean bodin,장 보댕,jang bodaeng
ferdinand buisson,페르디낭 뷔송,pereudinang bwisong
stéphane guivarc'h,스테판 기바르쉬,seutepan gibareuswi
michel gondry,미셸 공드리,misyel gongdeuri
claude chappe,클로드 샤프,keulrodeu syapeu
manuel amoros,마뉘엘 아모로스,manwiel amoroseu
jeanmarie massaud,장마리 마소,jangmari maso
edmond about,에드몽 아부,edeumong abu
seydou keita,세이두 케이타,seidu keita
tina aumont,티나 오몽,tina omong
adrienmarie legendre,아드리앵마리 르장드르,adeuriaengmari reujangdeureu
fabien barthez,파비앵 바르테즈,pabiaeng bareutejeu
caroline ducey,카롤린 뒤세,karolrin dwise
édith scob,에디트 스콥,editeu seukob
andré le nôtre,앙드레 르 노트르,angdeure reu noteureu
marjane satrapi,마르잔 사트라피,mareujan sateurapi
raymond poincaré,레몽 푸앵카레,remong puaengkare
rené goscinny,르네 고시니,reune gosini
paul ricœur,폴 리쾨르,pol rikoereu
alexis nikolaïevitch tolstoï,알렉세이 니콜라예비치 톨스토이,alregsei nikolrayebici tolseutoi
pierre gassendi,피에르 가상디,piereu gasangdi
édouard roche,에두아르 로슈,eduareu rosyu
pierrenarcisse guérin,피에르나르시스 게랭,piereunareusiseu geraeng
jeanhonoré fragonard,장오노레 프라고나르,jangonore peuragonareu
dominique rocheteau,도미니크 로슈토,dominikeu rosyuto
édouard chavannes,에두아르 샤반,eduareu syaban
raymond domenech,레몽 도메네크,remong domenekeu
pierre malet,피에르 말레,piereu malre
tony gatlif,토니 가틀리프,toni gateulripeu
ferdinand foch,페르디낭 포슈,pereudinang posyu
étienne geoffroy sainthilaire,에티엔 조프루아 생틸레르,etien jopeurua saengtilrereu
jean lorrain,장 로랭,jang roraeng
léon brillouin,레옹 브릴루앵,reong beurilruaeng
louis jourdan,루이 주르당,rui jureudang
claude lévistrauss,클로드 레비스트로스,keulrodeu rebiseuteuroseu
just fontaine,쥐스트 퐁텐,jwiseuteu pongten
jowilfried tsonga,조윌프리드 총가,jowilpeurideu congga
jeanfrançois lyotard,장프랑수아 리오타르,jangpeurangsua riotareu
tony parker,토니 파커,toni pakeo
mylène jampanoï,밀렌 잠파노이,milren jampanoi
georges canguilhem,조르주 캉길렘,joreuju kanggilrem
jacques attali,자크 아탈리,jakeu atalri
fallou diagne,팔루 디아네,palru diane
hubert fournier,위베르 포르니에,wibereu poreunie
emil cioran,에밀 시오랑,emil siorang
goran bregović,고란 브레고비치,goran beuregobici
vincent cassel,뱅상 카셀,baengsang kasel
marcel desailly,마르셀 드사이,mareusel deusai
frantz fanon,프란츠 파농,peuranceu panong
philippe garrel,필리프 가렐,pilripeu garel
richard cantillon,리처드 캉티용,riceodeu kangtiyong
henri duparc,앙리 뒤파르크,angri dwipareukeu
gaëtane thiney,가에탄 티네,gaetan tine
marie darrieussecq,마리 다리외세크,mari darioesekeu
claude puel,클로드 퓌엘,keulrodeu pwiel
christian gourcuff,크리스티앙 구르퀴프,keuriseutiang gureukwipeu
jean isidore harispe,장 이시도르 아리스프,jang isidoreu ariseupeu
marie dubois,마리 뒤부아,mari dwibua
alain aspect,알랭 아스페,alraeng aseupe
philippe de broca,필립 드 브로카,pilrib deu beuroka
henri troyat,앙리 트루아야,angri teuruaya
nicole garcia,니콜 가르시아,nikol gareusia
anaïs demoustier,아나이스 드무스티에,anaiseu deumuseutie
jules massenet,쥘 마스네,jwil maseune
gabriel ramanantsoa,가브리엘 라마난초아,gabeuriel ramanancoa
bernard buffet,베르나르 뷔페,bereunareu bwipe
hugues duboscq,위그 뒤보스크,wigeu dwiboseukeu
élie baup,엘리 보프,elri bopeu
michaëlle jean,미카엘 장,mikael jang
garra dembélé,가라 뎀벨레,gara dembelre
clément grenier,클레망 그르니에,keulremang geureunie
miranda raison,미란다 레이즌,miranda reijeun
robert de courtenay,로베르 드 쿠르트네,robereu deu kureuteune
jacqueline sassard,자클린 사사르,jakeulrin sasareu
victor cousin,빅토르 쿠쟁,bigtoreu kujaeng
ginette garcin,지네트 가르신,jineteu gareusin
esther duflo,에스테르 뒤플로,eseutereu dwipeulro
paul pogba,폴 포그바,pol pogeuba
christophe galtier,크리스토프 갈티에,keuriseutopeu galtie
paul bourget,폴 부르제,pol bureuje
catherinedominique de pérignon,카트린도미니크 드 페리뇽,kateurindominikeu deu perinyong
linda hardy,린다 하디,rinda hadi
henri michel,앙리 미셸,angri misyel
philippe ariès,필리프 아리에스,pilripeu arieseu
louise monot,루이즈 모노,ruijeu mono
jules rimet,쥘 리메,jwil rime
claude françois,클로드 프랑수아,keulrodeu peurangsua
georges delerue,조르쥬 들르뤼,joreujyu deulreurwi
marielaure delie,마리로르 델리,mariroreu delri
pierre monteux,피에르 몽퇴,piereu mongtoe
françois de tournon,프랑수아 드 투르농,peurangsua deu tureunong
guillaume de machaut,기욤 드 마쇼,giyom deu masyo
paul valéry,폴 발레리,pol balreri
patrice chéreau,파트리스 셰로,pateuriseu syero
alain mimoun,알랭 미뭉,alraeng mimung
auguste de villiers de l'isleadam,오귀스트 드 빌리에 드 릴라당,ogwiseuteu deu bilrie deu rilradang
vincent grass,빈센트 흐라스,binsenteu heuraseu
florence arthaud,플로랑스 아르토,peulrorangseu areuto
guillaume farel,기욤 파렐,giyom parel
micheline ostermeyer,미셸린 오스테르메이에,misyelrin oseutereumeie
stéphane dion,스테판 디옹,seutepan diong
diane kurys,디안 퀴리스,dian kwiriseu
jeanpierre blanchard,장피에르 블랑샤르,jangpiereu beulrangsyareu
tino costa,알베르토 코스타,albereuto koseuta
emily atef,에밀리 아테프,emilri atepeu
raymond loewy,레이먼드 로위,reimeondeu rowi
jacques songo'o,자크 송오,jakeu songo
claude perron,클라우데 페론,keulraude peron
jocelyn angloma,조슬랭 앙글로마,joseulraeng anggeulroma
dany carrel,대니 카렐,daeni karel
maurice perronnet,조아니 페로네,joani perone
jeanluc marion,장뤽 마리옹,jangrwig mariong
laëtitia philippe,라에티티아 필리프,raetitia pilripeu
pierre fresnay,피에르 프레네,piereu peurene
nicolas de condorcet,니콜라 드 콩도르세,nikolra deu kongdoreuse
marilou berry,마릴루 베리,marilru beri
maïwenn,마이웬,maiwen
nicole hassler,니콜 아슬레르,nikol aseulrereu
julie gayet,쥘리 가예,jwilri gaye
patrick battiston,파트리크 바티스통,pateurikeu batiseutong
micheljean sedaine,미셸장 스덴,misyeljang seuden
serge reggiani,세르주 레지아니,sereuju rejiani
yves chauvin,이브 쇼뱅,ibeu syobaeng
gauthier grumier,고티에 그뤼미에,gotie geurwimie
jordan ayew,조르당 아유,joreudang ayu
henri delaunay,앙리 들로네,angri deulrone
jérémy morel,제레미 모렐,jeremi morel
véronique genest,베로니크 주네스,beronikeu juneseu
céline sciamma,셀린 시아마,selrin siama
andrzej seweryn,안제이 세베린,anjei seberin
sabine crossen,사빈 크로센,sabin keurosen
éric srecki,에리크 스레키,erikeu seureki
isabelle gélinas,이자벨 젤리나스,ijabel jelrinaseu
edmond rostand,에드몽 로스탕,edeumong roseutang
max von sydow,막스 폰 쉬도브,magseu pon swidobeu
gaspardgustave coriolis,귀스타브 코리올리,gwiseutabeu koriolri
pierre marie barthélemy ferino,피에르 마리 바르텔레미 페리노,piereu mari bareutelremi perino
carl medjani,카를 메자니,kareul mejani
valérie kaprisky,발레리 카프리스키,balreri kapeuriseuki
sabrina ouazani,사브리나 우아자니,sabeurina uajani
armand guillaumin,아르망 기요맹,areumang giyomaeng
annecaroline graffe,안카롤린 그라프,ankarolrin geurapeu
eugène carrière,외젠 카리에르,oejen kariereu
philippe troussier,필리프 트루시에,pilripeu teurusie
arsène lupin,아르센 뤼팽,areusen rwipaeng
sara martins,사라 마틴스,sara matinseu
ophélie winter,오펠리 빈터,opelri binteo
catalina denis,카탈리나 데니스,katalrina deniseu
andrégeorges haudricourt,앙드레조르주 오드리쿠르,angdeurejoreuju odeurikureu
xavier bertrand,그자비에 베르트랑,geujabie bereuteurang
louis durey,루이 뒤레,rui dwire
sébastien ogier,세바스티앵 오지에,sebaseutiaeng ojie
paul pelliot,폴 펠리오,pol pelrio
françoisandré danican philidor,프랑수아앙드레 다니칸 필리도르,peurangsuaangdeure danikan pilridoreu
wendie renard,웬디 르나르,wendi reunareu
emmanuelle riva,에마뉘엘 리바,emanwiel riba
solveig dommartin,솔베이그 도마르틴,solbeigeu domareutin
david ospina,다비드 오스피나,dabideu oseupina
annabella,아나벨라,anabelra
anne alvaro,안 알바로,an albaro
claudette colbert,클로데트 콜베르,keulrodeteu kolbereu
pascal vahirua,파스칼 바이뤼아,paseukal bairwia
gustave moreau,귀스타브 모로,gwiseutabeu moro
jonathan biabiany,조나탕 비아비아니,jonatang biabiani
maxime kontsevitch,막심 콘체비치,magsim koncebici
frédérick bousquet,프레데리크 부스케,peurederikeu buseuke
priscilla betti,프리실라 베티,peurisilra beti
hélène de fougerolles,엘렌 드 푸제롤,elren deu pujerol
jeanchristophe yoccoz,장크리스토프 요코즈,jangkeuriseutopeu yokojeu
anouk grinberg,아누크 그랭베르,anukeu geuraengbereu
paul hazard,폴 아자르,pol ajareu
cristiana reali,크리스티나 레알리,keuriseutina realri
andré ayew,앙드레 아유,angdeure ayu
andré bauchant,앙드레 보샹,angdeure bosyang
mathieu flamini,마티외 플라미니,matioe peulramini
zino francescatti,지노 프란체스카티,jino peuranceseukati
catherine spaak,캐서린 스파크,kaeseorin seupakeu
anne consigny,안 콩시니,an kongsini
vercors,베르코르,bereukoreu
fanny cottençon,파니 코탕송,pani kotangsong
théophile de viau,테오필 드 비오,teopil deu bio
mohammed dib,모하메드 딥,mohamedeu dib
zinedine soualem,지네딘 수알렘,jinedin sualrem
bulle ogier,뷜 오지에,bwil ojie
josiane balasko,조지안 발라스코,jojian balraseuko
mélanie bernier,멜라니 베르니에,melrani bereunie
edmond jabès,에드몽 자베스,edeumong jabeseu
andré de montbard,앙드레 드 몽바르,angdeure deu mongbareu
albert calmette,알베르 칼메트,albereu kalmeteu
morgan amalfitano,모르강 아말피타노,moreugang amalpitano
toussaint louverture,투생 루베르튀르,tusaeng rubereutwireu
jacques copeau,자크 코포,jakeu kopo
eugène schueller,외젠 슈엘러,oejen syuelreo
andré cayatte,앙드레 카야트,angdeure kayateu
andré chassaigne,앙드레 샤사뉴,angdeure syasanyu
polaire,폴레르,polrereu
mariejosé nat,마리조제 나트,marijoje nateu
mehdi benatia,메디 베나티아,medi benatia
vernon dobtcheff,베르농 도브체프,bereunong dobeucepeu
henriléon lebesgue,앙리 르베그,angri reubegeu
stéphane grappelli,스테판 그라펠리,seutepan geurapelri
bernard kouchner,베르나르 쿠슈네르,bereunareu kusyunereu
rené baire,르네루이 베르,reunerui bereu
serge lang,서지 랭,seoji raeng
jean dieudonné,장 디외도네,jang dioedone
hervé renard,에르베 르나르,ereube reunareu
alain traoré,알랭 트라오레,alraeng teuraore
michaël ciani,미셸 시아니,misyel siani
coline serreau,콜린 세로,kolrin sero
space cowboy,스페이스 카우보이,seupeiseu kauboi
claudine longet,클로다인 런짓,keulrodain reonjis
albert uderzo,알베르 우데르조,albereu udereujo
sávio,사비우,sabiu
bernard diomède,베르나르 디오메드,bereunareu diomedeu
mapou yangambiwa,마푸 양가음비와,mapu yanggaeumbiwa
justin ahomadegbé,쥐스탱 아호마데그베토메탱,jwiseutaeng ahomadegeubetometaeng
ariane labed,아리안 라베드,arian rabedeu
louisa necib,루이자 네시브,ruija nesibeu
isabelle pasco,이자벨 파스코,ijabel paseuko
daniel narcisse,다니엘 나르시스,daniel nareusiseu
émile gaboriau,에밀 가보리오,emil gaborio
thierry rey,티에리 레,tieri re
zizi jeanmaire,지지 장메르,jiji jangmereu
georges bataille,조르주 바타유,joreuju batayu
frédéric bazille,프레데리크 바지유,peurederikeu bajiyu
saïd taghmaoui,사이드 타그마우이,saideu tageumaui
claudevictor perrin,클로드빅토르 페랭,keulrodeubigtoreu peraeng
andré hercule de fleury,앙드레 에르퀼 드 플뢰리,angdeure ereukwil deu peulroeri
stéphane ruffier,스테판 뤼피에,seutepan rwipie
charles kaboré,샤를 카보레,syareul kabore
guillaume dufay,기욤 뒤파이,giyom dwipai
roland garros,롤랑 가로스,rolrang garoseu
bernard de tramelay,베르나르 드 트레믈레,bereunareu deu teuremeulre
henri callot,앙리 칼로,angri kalro
marama vahirua,마라마 바이루아,marama bairua
pierre grimal,피에르 그리말,piereu geurimal
leonor fini,레오노르 피니,reonoreu pini
elsa schiaparelli,엘사 스키아파렐리,elsa seukiaparelri
alfred binet,알프레드 비네,alpeuredeu bine
jean siméon chardin,장 시메옹 샤르댕,jang simeong syareudaeng
vahid halilhodžić,바히드 할릴호지치,bahideu halrilhojici
claude joseph rouget de lisle,클로드 조제프 루제 드 릴,keulrodeu jojepeu ruje deu ril
laetitia casta,레티시아 카스타,retisia kaseuta
andré dussollier,앙드레 뒤솔리에,angdeure dwisolrie
adrian mannarino,아드리앙 마나리노,adeuriang manarino
desireless,디자이어레스,dijaieoreseu
eva joly,에바 졸리,eba jolri
maryse condé,마리즈 콩데,marijeu kongde
andré gobert,앙드레 고베르,angdeure gobereu
nathalie arthaud,나탈리 아르토,natalri areuto
fabrice jeannet,파브리스 자네,pabeuriseu jane
juliet berto,쥘리에트 베르토,jwilrieteu bereuto
bertrand de blanquefort,베르트랑 드 블랑셰포르,bereuteurang deu beulrangsyeporeu
évrard des barres,에버라드 데 바레스,ebeoradeu de bareseu
yael naim,야엘 나임,yael naim
claude bernard,클로드 베르나르,keulrodeu bereunareu
joseph joffre,조제프 조프르,jojepeu jopeureu
robert hossein,로베르 오셍,robereu oseng
manu chao,마누 차오,manu cao
léo delibes,레오 들리브,reo deulribeu
dominique lavanant,도미니크 라바낭,dominikeu rabanang
jeanlambert tallien,장랑베르 탈리앵,jangrangbereu talriaeng
andré heller,안드레 헬러,andeure helreo
zar amir ebrahimi,자흐라 아미르 에브라히미,jaheura amireu ebeurahimi
christa theret,크리스타 테레,keuriseuta tere
elisa sednaoui,엘리사 세드나위,elrisa sedeunawi
france gall,프랑스 갈,peurangseu gal
ferdinand de lesseps,페르디낭 드 레셉스,pereudinang deu resebseu
kristin scott thomas,크리스틴 스콧 토머스,keuriseutin seukos tomeoseu
kurt zouma,퀴르트 주마,kwireuteu juma
andré grétry,앙드레 그레트리,angdeure geureteuri
christine delphy,크리스틴 델피,keuriseutin delpi
vincent jay,뱅상 제,baengsang je
maurice denis,모리스 드니,moriseu deuni
georges rigaud,조지 리고드,joji rigodeu
sophie vouzelaud,소피 부즐로,sopi bujeulro
bruno bellone,브뤼노 베욘,beurwino beyon
yvette mimieux,이베트 밈미여,ibeteu mimmiyeo
romain duris,로맹 뒤리스,romaeng dwiriseu
louis jules trochu,루이 쥘 트로쉬,rui jwil teuroswi
golshifteh farahani,골시프테 파라하니,golsipeute parahani
charlesferdinand d'artois,샤를페르디낭 다르투아,syareulpereudinang dareutua
richard gasquet,리샤르 가스케,risyareu gaseuke
thiago silva,치아구 시우바,ciagu siuba
dimitri payet,디미트리 파예트,dimiteuri payeteu
christophe decarnin,크리스토프 드카르냉,keuriseutopeu deukareunaeng
noémie lvovsky,노에미 르보브스키,noemi reubobeuseuki
mevlüt erdinç,메블뤼트 에르딘츠,mebeulrwiteu ereudinceu
frédérique bel,프레데리크 벨,peurederikeu bel
claude frollo,클로드 프롤로,keulrodeu peurolro
joriskarl huysmans,조리스카를 위스망스,joriseukareul wiseumangseu
gérard debreu,제라르 드브뢰,jerareu deubeuroe
nicolas joseph cugnot,니콜라 조제프 퀴뇨,nikolra jojepeu kwinyo
mary pierce,마리 피르스,mari pireuseu
nadia farès,나디아 파레스,nadia pareseu
valérie bonneton,발레리 보네통,balreri bonetong
marine delterme,마린 델테름,marin deltereum
juliemarie parmentier,쥘리마리 파르망티에,jwilrimari pareumangtie
jean leray,장 르레,jang reure
alexandrethéophile vandermonde,알렉상드르테오필 방데르몽드,alregsangdeureuteopil bangdereumongdeu
wifredo lam,윌프레도 람,wilpeuredo ram
annie cordy,애니 코르디,aeni koreudi
eugénie le sommer,외제니 르 소메르,oejeni reu somereu
andré lerond,앙드레 르롱,angdeure reurong
rudy gestede,루디 게스테드,rudi geseutedeu
luka karabatic,뤼카 카라바티치,rwika karabatici
pierre choderlos de laclos,피에르 쇼데를로 드 라클로,piereu syodereulro deu rakeulro
jeanléon gérôme,장레옹 제롬,jangreong jerom
charles trenet,샤를 트르네,syareul teureune
catherine mouchet,카트린 무셰,kateurin musye
sarah biasini,사라 비아시니,sara biasini
gilles simon,질 시몽,jil simong
maurice merleauponty,모리스 메를로퐁티,moriseu mereulropongti
eugène boudin,외젠 부댕,oejen budaeng
jeanphilippe gatien,장필리프 가티앵,jangpilripeu gatiaeng
élisabeth vigée le brun,엘리자베트 비제 르 브룅,elrijabeteu bije reu beuroeng
jane birkin,제인 버킨,jein beokin
johnny hallyday,조니 알리데,joni alride
steven nzonzi,스티븐 은존지,seutibeun eunjonji
christophe jallet,크리스토프 자예,keuriseutopeu jaye
désirée clary,데지레 클라리,dejire keulrari
patrick timsit,패트릭 팀싯,paeteurig timsis
andré roussin,앙드레 루생,angdeure rusaeng
nicolas flamel,니콜라 플라멜,nikolra peulramel
marin marais,마랭 마레,maraeng mare
arthur adamov,아르튀르 아다모프,areutwireu adamopeu
anatole litvak,아나톨 리트박,anatol riteubag
moses hess,모세 헤스,mose heseu
édouard daladier,에두아르 달라디에,eduareu dalradie
anne marivin,안 마리뱅,an maribaeng
line renaud,린 르노,rin reuno
marieclaire restoux,마리클레르 레스투,marikeulrereu reseutu
laurent schwartz,로랑 슈바르츠,rorang syubareuceu
jeanpierre serre,장피에르 세르,jangpiereu sereu
andré néron,앙드레 네롱,angdeure nerong
henri donnedieu de vabres,앙리 돈디유 드 바브르,angri dondiyu deu babeureu
caroline proust,카롤린 프루스트,karolrin peuruseuteu
léa drucker,레아 드뤼케르,rea deurwikereu
philippe jaroussky,필리프 자루스키,pilripeu jaruseuki
