kārlis,kɑːrlĭs
voits,vɔiʦ
ilga,ilɡɑ̆
šuplinska,ʃuplinskɑ̆
kamilla,kɑmilːɑ̆
bartone,bɑrtɔnĕ
juhansone,ʝuxɑnsɔnĕ
pizāne,pizɑːnĕ
daniela,dɑni͜elɑ̆
vismane,vismɑnĕ
ijabs,iʝɑps
eiropas,e͜irɔpɑ̆s
autoceļš,ɑ͜utɔʦeʎʃ
somi,sɔmĭ
himna,ximnɑ̆
lestene,lestenĕ
fertovs,færtɔ͜us
mareks,mɑreks
mejeris,meʝerĭs
šics,ʃiʦs
pujats,puʝɑʦ
dzidra,ʣidrɑ̆
ritenberga,ritenbærɡɑ̆
voss,vɔsː
šabalovs,ʃɑbɑlɔ͜us
janičenoks,ʝɑniʧænɔks
rumba,rumbɑ̆
kauls,kɑ͜uls
birks,birks
helmuts,xælmuʦ
štegmanis,ʃtæɡmɑnĭs
melbārdis,mælbɑːrdĭs
ikauniece,ikɑ͜uni͜eʦĕ
gurecka,ɡuræʦkɑ̆
kols,kɔls
vinters,vinters
blūms,bluːms
georgs,ɡeɔrks
pelēcis,peleːʦĭs
meiers,me͜iers
freimanis,fre͜imɑnĭs
vucāns,vuʦɑːns
gunta,ɡuntɑ̆
vaičule,vɑ͜iʧulĕ
vecvagars,væʦvɑɡɑrs
lazdiņš,lɑzdiɲʃ
strēlnieks,streːlni͜eks
peiners,pe͜iners
rebeka,rebækɑ̆
ibrahima,ibrɑximɑ̆
timma,timːɑ̆
bels,bels
vagris,vɑɡrĭs
samoilova,sɑmɔilɔvɑ̆
agnis,ɑɡnĭs
čavars,ʧɑvɑrs
rašmane,rɑʃmɑnĕ
ritvars,ritvɑrs
suharevs,suxɑre͜us
viļāni,viʎɑːnĭ
sabile,sɑbilĕ
viesīte,vi͜esiːtĕ
brocēni,brɔʦæːnĭ
pulvertornis,pulværtɔrnĭs
aloja,ɑlɔʝɑ̆
pāvilosta,pɑːvilɔstɑ̆
staicele,stɑ͜iʦelĕ
lubāna,lubɑːnɑ̆
valdemārpils,vɑldæmɑːrpils
viļaka,viʎɑkɑ̆
cesvaine,ʦæsvɑ͜inĕ
dagda,dɑɡdɑ̆
baloži,bɑlɔʓĭ
vangaži,vɑňɡɑʓĭ
strenči,strenʧĭ
līgatne,liːɡɑtnĕ
pļaviņas,pʎɑviɲɑ̆s
seda,sædɑ̆
subate,subɑtĕ
auce,ɑ͜uʦĕ
ape,ɑpːĕ
stende,stendĕ
skrīveri,skriːverĭ
rucava,ruʦɑvɑ̆
rfs,rfs
priekuļi,pri͜ekuʎĭ
vaivari,vɑ͜ivɑrĭ
kolkasrags,kɔlkɑsrɑks
lielupe,li͜elupĕ
jaundubulti,ʝɑ͜undubultĭ
dzintari,ʣintɑrĭ
lašupe,lɑʃupĕ
kolka,kɔlkɑ̆
vārnukrogs,vɑːrnukrɔks
namiķi,nɑmicĭ
lutriņi,lutriɲĭ
zīlāni,ziːlɑːnĭ
dubulti,dubultĭ
kūdra,kuːdrɑ̆
latavio,lɑtɑviɔ
vendi,vendĭ
skulte,skultĕ
asari,ɑsɑrĭ
sloka,slɔkɑ̆
ķemeri,cemerĭ
žolnerovičs,ʓɔlnærɔviʧs
višņaks,viʃɲɑks
bertolds,bærtɔlʦ
piebalgs,pi͜ebɑlks
aivars,ɑ͜ivɑrs
lembergs,lemberks
ritus,ritːŭs
krjauklis,krʝɑ͜uklĭs
upīts,upiːʦ
bartolomejs,bɑrtɔlɔme͜is
hēneke,xeːnekĕ
kampenhauzens,kɑmpenxɑ͜uzens
zbigņevs,zbiɡɲe͜us
stankevičs,stɑňkeviʧs
lija,liʝɑ̆
mara,mɑrɑ̆
sandra,sɑndrɑ̆
kalniete,kɑlni͜etĕ
meierovics,me͜iærɔviʦs
ambainis,ɑmbɑ͜inĭs
samoilovs,sɑmɔilɔ͜us
aspazija,ɑspɑziʝɑ̆
upatnieks,upɑtni͜eks
boriss,bɔrisː
teterevs,tetere͜us
biruta,birutɑ̆
baumane,bɑ͜umɑnĕ
dārziņš,dɑːrziɲʃ
rausis,rɑ͜usĭs
ozoliņa,ɔzɔliɲɑ̆
skudra,skudrɑ̆
lelde,leldĕ
gasūna,ɡɑsuːnɑ̆
paškēvičs,pɑʃkeːviʧs
tambijevs,tɑmbiʝe͜us
šefere,ʃeferĕ
fēlikss,feːliksː
cielēns,ʦi͜elæːns
džemma,ʤæmːɑ̆
skulme,skulmĕ
eihe,e͜ixĕ
babičevs,bɑbiʧe͜us
ansis,ɑnsĭs
cīrulis,ʦiːrulĭs
stradiņš,strɑdiɲʃ
frumins,frumins
tetereva,teterævɑ̆
rolfs,rɔlfs
kāns,kɑːns
jarāns,ʝɑrɑːns
arveds,ɑrveʦ
švābe,ʃvɑːbĕ
prohorenkovs,prɔxɔræňkɔ͜us
dravnieks,drɑ͜uni͜eks
grebis,ɡrebĭs
doveika,dɔve͜ikɑ̆
daudze,dɑ͜uʣĕ
štokenbergs,ʃtɔkenberks
purvītis,purviːtĭs
žigajevs,ʓiɡɑʝe͜us
putniņš,putniɲʃ
pope,pɔpĕ
dmitrijs,dmitriʝs
miļkevičs,miʎkeviʧs
laila,lɑ͜ilɑ̆
pakalniņa,pɑkɑlniɲɑ̆
igo,iɡu͜o
markus,mɑrkŭs
riva,rivɑ̆
strenga,stræňɡɑ̆
rēzija,reːziʝɑ̆
kalniņa,kɑlniɲɑ̆
vazdiks,vɑzdiks
dumpis,dumpĭs
lejnieks,le͜ini͜eks
laimute,lɑ͜imutĕ
balode,bɑlɔdĕ
šturms,ʃturms
ojārs,ɔʝɑːrs
siliņš,siliɲʃ
miķelis,micelĭs
dancis,dɑnʦĭs
pāvels,pɑːvels
šteinbors,ʃte͜inbɔrs
hermanis,xærmɑnĭs
albats,ɑlbɑʦ
gobziņš,ɡɔbziɲʃ
signe,siɡnĕ
ronalds,rɔnɑlʦ
zaķis,zɑcːĭs
koziols,kɔziɔls
belokoņs,bælɔku͜oɲs
žoržs,ʓɔrʃ
tikmers,tikmers
petkēvičs,petkeːviʧs
semanis,sæmɑnĭs
gaudiņš,ɡɑ͜udiɲʃ
salnais,sɑlnɑ͜is
radzevičs,rɑʣeviʧs
jurašs,ʝurɑʃ
staķis,stɑcːĭs
didzis,diʣĭs
šmits,ʃmiʦ
monika,mɔnikɑ̆
radovska,rɑdɔ͜uskɑ̆
lībietis,liːbi͜etĭs
koha,kɔxɑ̆
adris,ɑdrĭs
plūksna,pluːksnɑ̆
freidenfelds,fre͜idenfelʦ
bumbērs,bumbeːrs
lasmanis,lɑsmɑnĭs
šubrovskis,ʃubrɔ͜uskĭs
darja,dɑrʝɑ̆
semeņistaja,semeɲistɑʝɑ̆
vaska,vɑskɑ̆
sprindžuks,sprinʤuks
daniels,dɑni͜els
ontužāns,ɔntuʓɑːns
graudiņa,ɡrɑ͜udiɲɑ̆
kravčenoka,krɑ͜uʧænɔkɑ̆
feldbergs,feldberks
grēviņš,ɡreːviɲʃ
una,unɑ̆
celma,ʦælmɑ̆
zane,zɑnĕ
daudziņa,dɑ͜uʣiɲɑ̆
daiga,dɑ͜iɡɑ̆
mieriņa,mi͜eriɲɑ̆
meņģelsone,meɲɟælsɔnĕ
zeļģe,zeʎɟĕ
vazdika,vɑzdikɑ̆
zvejnieks,zve͜ini͜eks
kolmane,kɔlmɑnĕ
jurģis,ʝurɟĭs
krāsons,krɑːsɔns
aleksandrovaeklone,ɑlæksɑndrɔvɑæklɔnĕ
tobers,tɔbers
aivita,ɑ͜ivitɑ̆
putniņa,putniɲɑ̆
vilma,vilmɑ̆
lasmane,lɑsmɑnĕ
kalnaellis,kɑlnɑelːĭs
nauris,nɑ͜urĭs
miezis,mi͜ezĭs
alsunga,ɑlsuňɡɑ̆
ikšķile,ikʃcilĕ
biksti,bikstĭ
ērgļi,eːrɡʎĭ
ķīpsala,ciːpsɑlɑ̆
dundaga,dundɑɡɑ̆
līksna,liːksnɑ̆
mērsrags,meːrsrɑks
smārde,smɑːrdĕ
kalnciems,kɑlnʦi͜ems
vecpiebalga,veʦpi͜ebɑlɡɑ̆
bērze,beːrzĕ
cena,ʦænɑ̆
ozolnieki,ɔzɔlni͜ekĭ
roja,rɔʝɑ̆
delfi,delfĭ
jaunolaine,ʝɑ͜unɔlɑ͜inĕ
dalbe,dɑlbĕ
vabole,vɑbɔlĕ
gardene,ɡɑrdenĕ
melluži,mælːuʓĭ
iecava,i͜eʦɑvɑ̆
zvejnieki,zve͜ini͜ekĭ
dzērbene,ʣeːrbenĕ
jumprava,ʝumprɑvɑ̆
pārdaugava,pɑːrdɑ͜uɡɑvɑ̆
līvbērze,liːvbeːrzĕ
pumpuri,pumpurĭ
milzkalne,milskɑlnĕ
miķeļbāka,miceʎbɑːkɑ̆
nīcgale,niːʣɡɑlĕ
saulkalne,sɑ͜ulkɑlnĕ
terehova,terexɔvɑ̆
tiņģere,tiɲɟerĕ
leta,lætːɑ̆
lilaste,lilɑstĕ
rīdzene,riːʣenĕ
rītausmas,riːtɑ͜usmɑ̆s
priedaine,pri͜edɑ͜inĕ
imanta,imɑntɑ̆
vecmīlgrāvis,veʦmiːlɡrɑːvĭs
zasulauks,zɑsulɑ͜uks
bulduri,buldurĭ
spāre,spɑːrĕ
zvejniekciems,zve͜ini͜ekʦi͜ems
zālīte,zɑːliːtĕ
svētciems,sveːtʦi͜ems
per,per
melnsils,melnsils
saunags,sɑ͜unɑks
kazdanga,kɑzdɑňɡɑ̆
stūnīši,stuːniːʃĭ
ēdole,eːdɔlĕ
vaide,vɑ͜idĕ
baltezers,bɑltezers
atgāzene,ɑdɡɑːzenĕ
reverta,reværtɑ̆
pārolaine,pɑːrɔlɑ͜inĕ
latgalieši,lɑdɡɑli͜eʃĭ
košrags,kɔʃrɑks
torņakalns,tɔrɲɑkɑlns
glūda,ɡluːdɑ̆
melnbārži,melnbɑːrʓĭ
pitrags,pitrɑks
toce,tɔʦĕ
bērstele,beːrstelĕ
omega,ɔmæɡɑ̆
zaķusala,zɑcusɑlɑ̆
mazirbe,mɑzirbĕ
sīkrags,siːkrɑks
gaujiena,ɡɑ͜uʝi͜enɑ̆
vilksala,vilksɑlɑ̆
uši,uʃːĭ
dižilmāja,diʓilmɑːʝɑ̆
mazilmāja,mɑzilmɑːʝɑ̆
līgciems,liːkʦi͜ems
