제임스,t͡ɕeimsɯ
향윤,hjaŋjun
달곤,talkon
대로,tɛɾo
대연,tɛjʌn
인기,inki
금룡,kɯmnjoŋ
선민,sʌnmin
혜나,hjena
호빈,hobin
상이,saŋi
도규,togju
상목,saŋmok̚
상용,saŋjoŋ
정승,t͡ɕʌŋsɯŋ
인익,inik̚
재곤,t͡ɕɛgon
팽,pʰɛŋ
옥근,ok̚k͈ɯn
우택,utʰɛk̚
운천,unt͡ɕʰʌn
운택,untʰɛk̚
창영,t͡ɕʰaŋjʌŋ
소성,sosʌŋ
헌엽,hʌnjʌp̚
종선,t͡ɕoŋsʌn
석현,sʌkʰjʌn
달환,talhwan
명중,mjʌŋt͡ɕuŋ
승리,sɯŋni
승엽,sɯŋjʌp̚
양문,jaŋmun
주석,t͡ɕusʌk̚
춘화,t͡ɕʰunhwa
교원,kjowʌn
병욱,pjʌŋuk̚
봉걸,poŋkʌl
부영,pujʌŋ
현탁,hjʌntʰak̚
흥우,hɯŋu
상대,saŋtɛ
민자,mint͡ɕa
해만,hɛman
남조,namt͡ɕo
묵원,mugwʌn
문재,munt͡ɕɛ
기대,kidɛ
수익,suik̚
택수,tʰɛk̚s͈u
범선,pʌmsʌn
훈희,hunhi
성익,sʌŋik̚
병경,pjʌŋkjʌŋ
수훈,suhun
만년,mannjʌn
태근,tʰɛgɯn
한모,hanmo
승학,sɯŋhak̚
승형,sɯŋhjʌŋ
숙선,suk̚s͈ʌn
재숙,t͡ɕɛsuk̚
정린,t͡ɕʌŋnin
정모,t͡ɕʌŋmo
선교,sʌnkjo
신정,sint͡ɕʌŋ
지승,t͡ɕisɯŋ
신범,sinpʌm
아이,ai
애숙,ɛsuk̚
윤미,junmi
택조,tʰɛk̚t͡ɕ͈o
휘웅,hwiuŋ
희은,hiɯn
항조,haŋt͡ɕo
해녕,hɛnjʌŋ
현민,hjʌnmin
성득,sʌŋtɯk̚
형곤,hjʌŋkon
좌,t͡ɕwa
예춘,jet͡ɕʰun
세찬,set͡ɕʰan
세형,sehjʌŋ
라희,lahi
문종,munt͡ɕoŋ
욱환,ukʰwan
학영,hagjʌŋ
근섭,kɯnsʌp̚
대석,tɛsʌk̚
원도,wʌnto
원발,wʌnpal
외수,wesu
세완,sewan
구연,kujʌn
정치,t͡ɕʌŋt͡ɕʰi
진래,t͡ɕillɛ
태열,tʰɛjʌl
병선,pjʌŋsʌn
애자,ɛdʑa
정건,t͡ɕʌŋkʌn
증녀,t͡ɕɯŋnjʌ
일권,ilkwʌn
태항,tʰɛhaŋ
서율,sʌjul
학표,hak̚pʰjo
희숙,hisuk̚
재춘,t͡ɕɛt͡ɕʰun
종대,t͡ɕoŋtɛ
세의,seɰi
안중,ant͡ɕuŋ
일중,ilt͡ɕuŋ
의종,ɰidʑoŋ
인용,injoŋ
용애,joŋɛ
중위,t͡ɕuŋwi
아름,aɾɯm
금별,kɯmpjʌl
후,hu
연화,jʌnhwa
의장,ɰidʑaŋ
규헌,kjuhʌn
학의,hagɰi
봉길,poŋkil
의현,ɰihjʌn
덕린,tʌŋnin
덕문,tʌŋmun
옥길,ok̚k͈il
용갑,joŋkap̚
용민,joŋmin
병영,pjʌŋjʌŋ
병승,pjʌŋsɯŋ
병태,pjʌŋtʰɛ
세옥,seok̚
신덕,sintʌk̚
보근,pogɯn
단비,tanpi
세기,segi
교진,kjodʑin
형표,hjʌŋpʰjo
복기,pok̚k͈i
우제,udʑe
명헌,mjʌŋhʌn
대한,tɛhan
하율,hajul
해봉,hɛboŋ
흥기,hɯŋki
경읍,kjʌŋɯp̚
현웅,hjʌnuŋ
호선,hosʌn
호식,hosik̚
홍신,hoŋsin
홍집,hoŋt͡ɕip̚
화중,hwadʑuŋ
태돈,tʰɛdon
윤선,junsʌn
혜훈,hjehun
세열,sejʌl
승숙,sɯŋsuk̚
신자,sint͡ɕa
철희,t͡ɕʰʌlhi
춘선,t͡ɕʰunsʌn
칸희,kʰanhi
대근,tɛgɯn
봉홍,poŋhoŋ
경익,kjʌŋik̚
주만,t͡ɕuman
경래,kjʌŋnɛ
경하,kjʌŋha
규진,kjudʑin
용현,joŋhjʌn
제욱,t͡ɕeuk̚
이숙,isuk̚
진근,t͡ɕinkɯn
준혁,t͡ɕunhjʌk̚
재연,t͡ɕɛjʌn
남열,namjʌl
현덕,hjʌntʌk̚
승언,sɯŋʌn
병옥,pjʌŋok̚
찬민,t͡ɕʰanmin
충선,t͡ɕʰuŋsʌn
해상,hɛsaŋ
미령,miɾjʌŋ
예솔,jesol
규수,kjusu
광한,kwaŋhan
주은,t͡ɕuɯn
나운,naun
규용,kjujoŋ
곧,kot̚
천권,t͡ɕʰʌnkwʌn
윤리,julli
길태,kiltʰɛ
경아,kjʌŋa
계옥,kjeok̚
국희,kukʰi
기리,kiɾi
채윤,t͡ɕʰɛjun
다안,taan
동채,toŋt͡ɕʰɛ
선일,sʌnil
기채,kit͡ɕʰɛ
단율,tanjul
후승,husɯŋ
균동,kjuntoŋ
노홍,nohoŋ
성천,sʌŋt͡ɕʰʌn
두겸,tugjʌm
두영,tujʌŋ
점희,t͡ɕʌmhi
봉균,poŋkjun
종준,t͡ɕoŋt͡ɕun
하연,hajʌn
혜상,hjesaŋ
흥신,hɯŋsin
하남,hanam
채환,t͡ɕʰɛhwan
봉승,poŋsɯŋ
기율,kijul
웅전,uŋt͡ɕʌn
두열,tujʌl
만호,manho
상정,saŋt͡ɕʌŋ
광기,kwaŋki
정선,t͡ɕʌŋsʌn
슬비,sɯlpi
미성,misʌŋ
제윤,t͡ɕejun
해욱,hɛuk̚
순애,sunɛ
승남,sɯŋnam
석용,sʌgjoŋ
석균,sʌk̚k͈jun
몽윤,moŋjun
장범,t͡ɕaŋpʌm
문헌,munhʌn
근상,kɯnsaŋ
근직,kɯnt͡ɕik̚
구선,kusʌn
보애,poɛ
연차,jʌnt͡ɕʰa
용찬,joŋt͡ɕʰan
종우,t͡ɕoŋu
찬기,t͡ɕʰanki
용백,joŋpɛk̚
수부,subu
우열,ujʌl
경대,kjʌŋtɛ
오석,osʌk̚
금열,kɯmjʌl
남신,nams͈in
순봉,sunpoŋ
경선,kjʌŋsʌn
상권,saŋkwʌn
희갑,higap̚
지명,t͡ɕimjʌŋ
남숙,namsuk̚
상명,saŋmjʌŋ
은용,ɯnjoŋ
봉성,poŋsʌŋ
호상,hosaŋ
순,sun
지루,t͡ɕiɾu
애실,ɛsil
산하,sanha
성식,sʌŋsik̚
욱철,uk̚t͡ɕʰʌl
정소,t͡ɕʌŋso
두,tu
길승,kilsɯŋ
화령,hwaɾjʌŋ
길용,kiɾjoŋ
영배,jʌŋpɛ
후정,hudʑʌŋ
강우,kaŋu
준보,t͡ɕunpo
학기,hak̚k͈i
연혜,jʌnhje
응경,ɯŋkjʌŋ
시운,siun
양식,jaŋsik̚
규효,kjuhjo
균범,kjunpʌm
근희,kɯnhi
금림,kɯmnim
춘모,t͡ɕʰunmo
우일,uil
성엽,sʌŋjʌp̚
자중,t͡ɕadʑuŋ
완국,wankuk̚
완순,wansun
덕진,tʌk̚t͡ɕ͈in
장미,t͡ɕaŋmi
영익,jʌŋik̚
의갑,ɰigap̚
병준,pjʌŋt͡ɕun
자홍,t͡ɕahoŋ
승권,sɯŋkwʌn
통숙,tʰoŋsuk̚
숙재,suk̚t͡ɕ͈ɛ
석윤,sʌgjun
철기,t͡ɕʰʌlki
진경,t͡ɕinkjʌŋ
중화,t͡ɕuŋhwa
진범,t͡ɕinpʌm
용판,joŋpʰan
웅정,uŋt͡ɕʌŋ
을분,ɯlpun
돈명,tonmjʌŋ
방방,paŋpaŋ
명렬,mjʌŋnjʌl
춘수,t͡ɕʰunsu
관일,kwanil
수형,suhjʌŋ
승채,sɯŋt͡ɕʰɛ
초희,t͡ɕʰohi
두식,tusik̚
우철,ut͡ɕʰʌl
재서,t͡ɕɛsʌ
종례,t͡ɕoŋnje
규혁,kjuhjʌk̚
성보,sʌŋpo
강진,kaŋt͡ɕin
계윤,kjejun
기연,kijʌn
도련,toɾjʌn
중우,t͡ɕuŋu
만의,manɰi
맹기,mɛŋki
문세,munse
본능,ponnɯŋ
장흠,t͡ɕaŋhɯm
정자,t͡ɕʌŋt͡ɕa
석조,sʌk̚t͡ɕ͈o
중기,t͡ɕuŋki
종열,t͡ɕoŋjʌl
진재,t͡ɕint͡ɕɛ
명회,mjʌŋhwe
윤성,junsʌŋ
애심,ɛsim
한헌,hanhʌn
대웅,tɛuŋ
두회,tuhwe
본준,pont͡ɕun
용득,joŋtɯk̚
보원,powʌn
포동,pʰodoŋ
원욱,wʌnuk̚
인실,insil
일웅,iɾuŋ
자영,t͡ɕajʌŋ
희탁,hitʰak̚
호기,hogi
새해,sɛhɛ
진해,t͡ɕinhɛ
민도,minto
승안,sɯŋan
미화,mihwa
주수,t͡ɕusu
성효,sʌŋhjo
형자,hjʌŋt͡ɕa
용마,joŋma
소열,sojʌl
순국,sunkuk̚
판석,pʰansʌk̚
화수,hwasu
쌍숙,s͈aŋsuk̚
오현,ohjʌn
소윤,sojun
필성,pʰilsʌŋ
복현,pokʰjʌn
응찬,ɯŋt͡ɕʰan
춘광,t͡ɕʰunkwaŋ
행석,hɛŋsʌk̚
정배,t͡ɕʌŋpɛ
경이,kjʌŋi
홍균,hoŋkjun
경빈,kjʌŋpin
재필,t͡ɕɛpʰil
원훈,wʌnhun
대형,tɛhjʌŋ
건영,kʌnjʌŋ
세춘,set͡ɕʰun
수흥,suhɯŋ
원선,wʌnsʌn
익흥,ikʰɯŋ
인명,inmjʌŋ
봉진,poŋt͡ɕin
시아,sia
덕기,tʌk̚k͈i
진부,t͡ɕinpu
정출,t͡ɕʌŋt͡ɕʰul
용상,joŋsaŋ
해현,hɛhjʌn
경병,kjʌŋpjʌŋ
노상,nosaŋ
이화,ihwa
대윤,tɛjun
응준,ɯŋt͡ɕun
대수,tɛsu
임용,imjoŋ
장경,t͡ɕaŋkjʌŋ
형규,hjʌŋkju
모개,mogɛ
도엽,tojʌp̚
완정,want͡ɕʌŋ
금래,kɯmnɛ
기표,kipʰjo
다예,taje
옥담,ok̚t͈am
현화,hjʌnhwa
자균,t͡ɕagjun
범택,pʌmtʰɛk̚
호경,hogjʌŋ
궁진,kuŋt͡ɕin
흥준,hɯŋt͡ɕun
종이,t͡ɕoŋi
인형,inhjʌŋ
낙만,naŋman
여운,jʌun
재화,t͡ɕɛhwa
지서,t͡ɕisʌ
덕중,tʌk̚t͡ɕ͈uŋ
선신,sʌnsin
조남,t͡ɕonam
남두,namtu
희춘,hit͡ɕʰun
오승,osɯŋ
두수,tusu
우경,ugjʌŋ
길정,kilt͡ɕʌŋ
금녀,kɯmnjʌ
승홍,sɯŋhoŋ
윤종,junt͡ɕoŋ
운경,unkjʌŋ
정광,t͡ɕʌŋkwaŋ
국무,kuŋmu
태림,tʰɛɾim
하원,hawʌn
경욱,kjʌŋuk̚
태유,tʰɛju
지상,t͡ɕisaŋ
신효,sinhjo
상겸,saŋkjʌm
현도,hjʌnto
흥만,hɯŋman
수명,sumjʌŋ
영성,jʌŋsʌŋ
상곤,saŋkon
문규,munkju
화리,hwaɾi
휘준,hwidʑun
홍순,hoŋsun
은석,ɯnsʌk̚
상전,saŋt͡ɕʌn
윤권,junkwʌn
경동,kjʌŋtoŋ
학균,hak̚k͈jun
도진,todʑin
판,pʰan
유걸,jugʌl
규필,kjupʰil
희훈,hihun
해연,hɛjʌn
명심,mjʌŋsim
윤호,junho
율호,julho
남현,namhjʌn
병천,pjʌŋt͡ɕʰʌn
유현,juhjʌn
웅모,uŋmo
문철,munt͡ɕʰʌl
대익,tɛik̚
복영,pogjʌŋ
연해,jʌnhɛ
시몬,simon
덕건,tʌk̚k͈ʌn
별이,pjʌɾi
희찬,hit͡ɕʰan
샘,sɛm
태운,tʰɛun
진휘,t͡ɕinhwi
상만,saŋman
요셉,josep̚
리후,lihu
정대,t͡ɕʌŋtɛ
보옥,pook̚
완기,wanki
병재,pjʌŋt͡ɕɛ
희광,higwaŋ
인춘,int͡ɕʰun
순홍,sunhoŋ
치우,t͡ɕʰiu
만대,mantɛ
양하,jaŋha
규호,kjuho
신철,sint͡ɕʰʌl
유상,jusaŋ
인섭,insʌp̚
숙이,sugi
항나,haŋna
상백,saŋpɛk̚
소호,soho
정영,t͡ɕʌŋjʌŋ
규웅,kjuuŋ
사경,sagjʌŋ
종하,t͡ɕoŋha
극천,kɯk̚t͡ɕʰʌn
유람,juɾam
혜라,hjeɾa
명현,mjʌŋhjʌn
금민,kɯmmin
광원,kwaŋwʌn
성출,sʌŋt͡ɕʰul
정생,t͡ɕʌŋsɛŋ
현균,hjʌnkjun
계용,kjejoŋ
철균,t͡ɕʰʌlkjun
응석,ɯŋsʌk̚
수련,suɾjʌn
세하,seha
화운,hwaun
무현,muhjʌn
유준,judʑun
용표,joŋpʰjo
일원,iɾwʌn
상휘,saŋhwi
원치,wʌnt͡ɕʰi
회현,hwehjʌn
규미,kjumi
본임,ponim
석정,sʌk̚t͡ɕ͈ʌŋ
성낙,sʌŋnak̚
봉식,poŋsik̚
덕제,tʌk̚t͡ɕ͈e
원용,wʌnjoŋ
지양,t͡ɕijaŋ
갑식,kap̚s͈ik̚
광범,kwaŋpʌm
광자,kwaŋt͡ɕa
창길,t͡ɕʰaŋkil
극성,kɯk̚s͈ʌŋ
병열,pjʌŋjʌl
현호,hjʌnho
재일,t͡ɕɛil
종택,t͡ɕoŋtʰɛk̚
정도,t͡ɕʌŋto
지음,t͡ɕiɯm
순승,sunsɯŋ
정제,t͡ɕʌŋt͡ɕe
상록,saŋnok̚
항호,haŋho
인준,int͡ɕun
두만,tuman
승래,sɯŋnɛ
석순,sʌk̚s͈un
재문,t͡ɕɛmun
래정,lɛdʑʌŋ
문화,munhwa
시채,sit͡ɕʰɛ
선기,sʌnki
귀희,kwihi
재옥,t͡ɕɛok̚
병광,pjʌŋkwaŋ
승유,sɯŋju
인배,inpɛ
성만,sʌŋman
의동,ɰidoŋ
세현,sehjʌn
민욱,minuk̚
귀화,kwihwa
일영,iɾjʌŋ
동면,toŋmjʌn
천만,t͡ɕʰʌnman
홍열,hoŋjʌl
광운,kwaŋun
희대,hidɛ
순배,sunpɛ
성춘,sʌŋt͡ɕʰun
정향,t͡ɕʌŋhjaŋ
종임,t͡ɕoŋim
설빈,sʌlpin
복래,poŋnɛ
주우,t͡ɕuu
만우,manu
훈식,hunsik̚
규정,kjudʑʌŋ
관욱,kwanuk̚
운사,unsa
광일,kwaŋil
운해,unhɛ
대환,tɛhwan
희승,hisɯŋ
시명,simjʌŋ
미,mi
무상,musaŋ
훈기,hunki
순정,sunt͡ɕʌŋ
승문,sɯŋmun
세휘,sehwi
길만,kilman
원채,wʌnt͡ɕʰɛ
규태,kjutʰɛ
희령,hiɾjʌŋ
종식,t͡ɕoŋsik̚
건재,kʌnt͡ɕɛ
민채,mint͡ɕʰɛ
인겸,inkjʌm
진형,t͡ɕinhjʌŋ
종연,t͡ɕoŋjʌn
석오,sʌgo
보군,pogun
강근,kaŋkɯn
근현,kɯnhjʌn
남호,namho
준회,t͡ɕunhwe
현광,hjʌnkwaŋ
근수,kɯnsu
도겸,togjʌm
륜의,ljunɰi
장식,t͡ɕaŋsik̚
조아,t͡ɕoa
건현,kʌnhjʌn
기재,kidʑɛ
철훈,t͡ɕʰʌlhun
상률,saŋnjul
창현,t͡ɕʰaŋhjʌn
이라,iɾa
갑석,kap̚s͈ʌk̚
영해,jʌŋhɛ
종섭,t͡ɕoŋsʌp̚
순만,sunman
헌율,hʌnjul
철중,t͡ɕʰʌlt͡ɕuŋ
린아,lina
규상,kjusaŋ
욱경,uk̚k͈jʌŋ
용녀,joŋnjʌ
범규,pʌmkju
인곤,inkon
우재,udʑɛ
희근,higɯn
동렬,toŋnjʌl
대곤,tɛgon
득식,tɯk̚s͈ik̚
게,ke
구리,kuɾi
난휘,nanhwi
대용,tɛjoŋ
명간군,mjʌŋkankun
획수,hwek̚s͈u
동명왕릉,toŋmjʌŋwaŋnɯŋ
애국가,ɛguk̚k͈a
평양,pʰjʌŋjaŋ
타임스,tʰaimsɯ
소백수체육단,sobɛk̚s͈ut͡ɕʰejuk̚t͈an
조선콤퓨터쎈터,t͡ɕosʌnkʰompʰjutʰʌs͈entʰʌ
로력영웅,loɾjʌgjʌŋuŋ
석왕사,sʌgwaŋsa
안국사,ankuk̚s͈a
승리자동차종합기업소,sɯŋnidʑadoŋt͡ɕʰadʑoŋhap̚k͈iʌp̚s͈o
독원영주원,togwʌnjʌŋt͡ɕuwʌn
평양민속공원,pʰjʌŋjaŋminsok̚k͈oŋwʌn
위성관제통합지휘소,wisʌŋkwant͡ɕetʰoŋhap̚t͡ɕ͈ihwiso
청년호텔,t͡ɕʰʌŋnjʌnhotʰel
동한만,toŋhanman
원산농업대학,wʌnsannoŋʌp̚t͈ɛhak̚
홍의선,hoŋɰisʌn
할하,halha
안협군,anhjʌp̚k͈un
연백군,jʌnpɛk̚k͈un
예성강철교,jesʌŋkaŋt͡ɕʰʌlkjo
웅기만,uŋkiman
인민경제대학,inminkjʌŋt͡ɕedɛhak̚
한국만,hankuŋman
조선녀성,t͡ɕosʌnnjʌsʌŋ
철령,t͡ɕʰʌlljʌŋ
청류교,t͡ɕʰʌŋnjugjo
성불사,sʌŋpulsa
신계사,sinkjesa
평양신의주고속도로,pʰjʌŋjaŋsinɰidʑugosok̚t͈oɾo
정백사원,t͡ɕʌŋpɛk̚s͈awʌn
세천선,set͡ɕʰʌnsʌn
청남선,t͡ɕʰʌŋnamsʌn
상감령,saŋkamnjʌŋ
량강호텔,ljaŋkaŋhotʰel
당창건기념탑,taŋt͡ɕʰaŋkʌnkinjʌmtʰap̚
외국문출판사,weguŋmunt͡ɕʰulpʰansa
대외문화련락위원회,tɛwemunhwaɾjʌllagwiwʌnhwe
평양교예극장,pʰjʌŋjaŋkjojegɯk̚t͡ɕ͈aŋ
관리소,kwalliso
서산호텔,sʌsanhotʰel
조선그리스도교연맹,t͡ɕosʌnkɯɾisɯdogjojʌnmɛŋ
양각교,jaŋkak̚k͈jo
군,kun
원산금강산고속도로,wʌnsankɯmkaŋsankosok̚t͈oɾo
남북공동연락사무소,nampuk̚k͈oŋtoŋjʌllak̚s͈amuso
금호군,kɯmhogun
국제김일성상,kuk̚t͡ɕ͈egimilsʌŋsaŋ
리명수폭포,limjʌŋsupʰok̚pʰo
조선사회주의여성동맹,t͡ɕosʌnsahwedʑuɰijʌsʌŋtoŋmɛŋ
대동교,tɛdoŋkjo
영생탑,jʌŋsɛŋtʰap̚
광법사,kwaŋpʌp̚s͈a
안학궁,anhak̚k͈uŋ
인풍루,inpʰuŋnu
통군정,tʰoŋkunt͡ɕʌŋ
숭인전,suŋint͡ɕʌn
부용당,pujoŋtaŋ
두만강동,tumankaŋtoŋ
약산동대,jak̚s͈antoŋtɛ
선군절,sʌnkunt͡ɕʌl
조선중앙방송,t͡ɕosʌnt͡ɕuŋaŋpaŋsoŋ
인민봉사총국,inminpoŋsat͡ɕʰoŋkuk̚
강계군,kaŋkjegun
리명수,limjʌŋsu
북한인민해방전선,pukʰaninminhɛbaŋt͡ɕʌnsʌn
한국휴전협정,hankukʰjudʑʌnhjʌp̚t͡ɕ͈ʌŋ
암실,amsil
개심사,kɛsimsa
표훈사,pʰjohunsa
체육신문,t͡ɕʰejuk̚s͈inmun
장산곶,t͡ɕaŋsankot̚
김정일훈장,kimt͡ɕʌŋilhunt͡ɕaŋ
조선정교위원회,t͡ɕosʌnt͡ɕʌŋkjowiwʌnhwe
후릉,huɾɯŋ
평성리과대학,pʰjʌŋsʌŋnigwadɛhak̚
영명사,jʌŋmjʌŋsa
김철주사범대학,kimt͡ɕʰʌlt͡ɕusabʌmtɛhak̚
아호비령산맥,ahobiɾjʌŋsanmɛk̚
대원수,tɛwʌnsu
평양호텔,pʰjʌŋjaŋhotʰel
제릉,t͡ɕeɾɯŋ
두리하나선교회,tuɾihanasʌnkjohwe
은파산체육단,ɯnpʰasant͡ɕʰejuk̚t͈an
월미도체육단,wʌlmidot͡ɕʰejuk̚t͈an
만월대,manwʌltɛ
대관리선,tɛgwallisʌn
봉산선,poŋsansʌn
봉천탄광선,poŋt͡ɕʰʌntʰankwaŋsʌn
도지리선,todʑiɾisʌn
고비선,kobisʌn
평양화전선,pʰjʌŋjaŋhwadʑʌnsʌn
대향선,tɛhjaŋsʌn
량천사,ljaŋt͡ɕʰʌnsa
금광사,kɯmkwaŋsa
최승대,t͡ɕʰwesɯŋtɛ
평양연극영화대학,pʰjʌŋjaŋjʌnkɯgjʌŋhwadɛhak̚
평양건축종합대학,pʰjʌŋjaŋkʌnt͡ɕʰuk̚t͡ɕ͈oŋhap̚t͈ɛhak̚
선죽교,sʌnt͡ɕuk̚k͈jo
현지지도,hjʌnt͡ɕidʑido
녕변선,njʌŋpjʌnsʌn
북한법,pukʰanpʌp̚
김형직사범대학,kimhjʌŋt͡ɕik̚s͈abʌmtɛhak̚
창광원,t͡ɕʰaŋkwaŋwʌn
법흥사,pʌpʰɯŋsa
정양사,t͡ɕʌŋjaŋsa
동림폭포,toŋnimpʰok̚pʰo
청진조차장,t͡ɕʰʌŋt͡ɕint͡ɕot͡ɕʰadʑaŋ
친선훈장,t͡ɕʰinsʌnhunt͡ɕaŋ
조선기자동맹,t͡ɕosʌnkidʑadoŋmɛŋ
홰불체육단,hwɛbult͡ɕʰejuk̚t͈an
송도원,soŋtowʌn
국가우주개발국,kuk̚k͈audʑugɛbalkuk̚
경암루,kjʌŋamnu
을밀대,ɯlmiltɛ
남포경기장,nampʰogjʌŋkidʑaŋ
평양강동고속도로,pʰjʌŋjaŋkaŋtoŋkosok̚t͈oɾo
국방과학원,kuk̚p͈aŋkwahagwʌn
평양기계대학,pʰjʌŋjaŋkigjedɛhak̚
조선예술교류협회,t͡ɕosʌnjesulkjoɾjuhjʌpʰwe
현릉,hjʌllɯŋ
려명거리,ljʌmjʌŋkʌɾi
국제김정일상,kuk̚t͡ɕ͈egimt͡ɕʌŋilsaŋ
룡곡서원,ljoŋkok̚s͈ʌwʌn
송남청년탄광선,soŋnamt͡ɕʰʌŋnjʌntʰankwaŋsʌn
중앙인민위원회,t͡ɕuŋaŋinminwiwʌnhwe
보안대,poantɛ
보산선,posansʌn
고려왕릉,koɾjʌwaŋnɯŋ
룡흥사,ljoŋhɯŋsa
령통사,ljʌŋtʰoŋsa
조선로동당출판사,t͡ɕosʌllodoŋtaŋt͡ɕʰulpʰansa
해안경비대,hɛankjʌŋpidɛ
청화력선,t͡ɕʰʌŋhwaɾjʌk̚s͈ʌn
운하선,unhasʌn
김만유병원,kimmanjubjʌŋwʌn
령대선,ljʌŋtɛsʌn
로라스케트장,loɾasɯkʰetʰɯdʑaŋ
보산제철소,posant͡ɕet͡ɕʰʌlso
대안중기계련합기업소,tɛant͡ɕuŋkigjeɾjʌnhap̚k͈iʌp̚s͈o
대안친선유리공장,tɛant͡ɕʰinsʌnjuɾigoŋt͡ɕaŋ
서창선,sʌt͡ɕʰaŋsʌn
천성탄광선,t͡ɕʰʌnsʌŋtʰankwaŋsʌn
형봉선,hjʌŋpoŋsʌn
률동체조,ljultoŋt͡ɕʰedʑo
신성선,sinsʌŋsʌn
신흥철도,sinhɯŋt͡ɕʰʌlto
보위사령부,powisaɾjʌŋpu
개마총,kɛmat͡ɕʰoŋ
검은모루동굴유적,kʌmɯnmoɾudoŋkuɾjudʑʌk̚
관모봉,kwanmoboŋ
국제관계대학,kuk̚t͡ɕ͈egwankjedɛhak̚
귀주사,kwidʑusa
북한민주화네트워크,pukʰanmint͡ɕuhwanetʰɯwʌkʰɯ
빨치산파,p͈alt͡ɕʰisanpʰa
사리원신천고속도로,saɾiwʌnsint͡ɕʰʌnkosok̚t͈oɾo
모란봉극장,moɾanpoŋkɯk̚t͡ɕ͈aŋ
경성온천,kjʌŋsʌŋont͡ɕʰʌn
공민증,koŋmint͡ɕɯŋ
목란비데오,moŋnanpideo
평양종합병원,pʰjʌŋjaŋt͡ɕoŋhap̚p͈jʌŋwʌn
평양평야,pʰjʌŋjaŋpʰjʌŋja
대동강수산물식당,tɛdoŋkaŋsusanmulsik̚t͈aŋ
정릉사,t͡ɕʌŋnɯŋsa
청산리방법,t͡ɕʰʌŋsallibaŋpʌp̚
마평선,mapʰjʌŋsʌn
강건종합군관학교,kaŋkʌnt͡ɕoŋhap̚k͈unkwanhak̚k͈jo
김정은국방종합대학,kimt͡ɕʌŋɯnkuk̚p͈aŋt͡ɕoŋhap̚t͈ɛhak̚
종다리,t͡ɕoŋtaɾi
외국어서점,wegukʌsʌdʑʌm
청년거리,t͡ɕʰʌŋnjʌnkʌɾi
대성산아이스크림공장,tɛsʌŋsanaisɯkʰɯɾimkoŋt͡ɕaŋ
봉화산려관,poŋhwasalljʌgwan
국가체육지도위원회,kuk̚k͈at͡ɕʰejuk̚t͡ɕ͈idowiwʌnhwe
라선개발금융회사,lasʌnkɛbalkɯmnjuŋhwesa
조선료리협회,t͡ɕosʌlljoɾihjʌpʰwe
국가관광총국,kuk̚k͈agwankwaŋt͡ɕʰoŋkuk̚
목란광명회사,moŋnankwaŋmjʌŋhwesa
대동강철교,tɛdoŋkaŋt͡ɕʰʌlkjo
동림호텔,toŋnimhotʰel
류경동,ljugjʌŋtoŋ
조선엑스포닷컴,t͡ɕosʌnek̚s͈ɯpʰodat̚kʰʌm
민주당,mint͡ɕudaŋ
국가디지털콘텐츠식별체계,kuk̚k͈adidʑitʰʌlkʰontʰent͡ɕʰɯsik̚p͈jʌlt͡ɕʰegje
울림엔터테인먼트,ullimentʰʌtʰeinmʌntʰɯ
서수로,sʌsuɾo
동수로,toŋsuɾo
한국과학기술연구원,hankuk̚k͈wahak̚k͈isuɾjʌnkuwʌn
태안해안국립공원,tʰɛanhɛankuŋnip̚k͈oŋwʌn
교통방송,kjotʰoŋpaŋsoŋ
한국농수산대학교,hankuŋnoŋsusantɛhak̚k͈jo
하이트,haitʰɯ
코엑스몰,kʰoek̚s͈ɯmol
선정릉,sʌnt͡ɕʌŋnɯŋ
성산대교,sʌŋsantɛgjo
이화여자외국어고등학교,ihwajʌdʑawegukʌgodɯŋhak̚k͈jo
국군간호사관학교,kuk̚k͈unkanhosagwanhak̚k͈jo
금오공과대학교,kɯmogoŋkwadɛhak̚k͈jo
서울남부버스터미널,sʌullampubʌsɯtʰʌminʌl
서울서부시외버스터미널,sʌulsʌbusiwebʌsɯtʰʌminʌl
청해부대,t͡ɕʰʌŋhɛbudɛ
수원종합버스터미널,suwʌnt͡ɕoŋhap̚p͈ʌsɯtʰʌminʌl
문산시외버스터미널,munsansiwebʌsɯtʰʌminʌl
도산서원,tosansʌwʌn
한국배구연맹,hankuk̚p͈ɛgujʌnmɛŋ
성덕대왕신종,sʌŋtʌk̚t͈ɛwaŋsint͡ɕoŋ
옥산서원,ok̚s͈ansʌwʌn
국채보상운동기념공원,kuk̚t͡ɕʰɛbosaŋuntoŋkinjʌmkoŋwʌn
세브란스병원,sebɯɾansɯbjʌŋwʌn
안산종합버스터미널,ansant͡ɕoŋhap̚p͈ʌsɯtʰʌminʌl
시화종합버스터미널,sihwadʑoŋhap̚p͈ʌsɯtʰʌminʌl
청담대교,t͡ɕʰʌŋtamtɛgjo
한진중공업,hant͡ɕint͡ɕuŋkoŋʌp̚
삼익악기,samigak̚k͈i
한국해양대학교,hankukʰɛjaŋtɛhak̚k͈jo
정방폭포,t͡ɕʌŋpaŋpʰok̚pʰo
한국조폐공사,hankuk̚t͡ɕ͈opʰjegoŋsa
전주국제영화제,t͡ɕʌnt͡ɕuguk̚t͡ɕ͈ejʌŋhwadʑe
