глюкоза,ɡlʲukoza
лазарев,lazarʲev
глуховский,ɡluxovskʲij
свидлер,svʲidlʲer
абдрашитов,abdraʂitov
салкинд,salkʲind
дятлов,dʲatlov
киркоров,kʲirkorov
сервер,sʲervʲer
джепаров,d͡ʒeparov
равиль,ravʲilʲ
гениатулин,ɡeniatulʲin
бердников,bʲerdnikov
миронов,mʲironov
махарбек,maxarbʲek
хадарцев,xadart͡sev
оноприенко,onoprʲienko
аккаев,akkaev
цатевич,t͡satʲevʲit͡ɕʲ
павлюченкова,pavlʲut͡ɕʲenkova
бережко,bʲerʲeʒko
иваницкий,ivanit͡skʲij
райкин,rajkʲin
шенин,ʂenin
филипченко,fʲilʲipt͡ɕʲenko
алябьев,alʲabʲev
перминов,pʲermʲinov
поздняков,pozdnakov
старовойтова,starovojtova
шубенков,ʂubʲenkov
козловский,kozlovskʲij
братчикова,bratt͡ɕʲikova
байрамов,bajramov
вдовиченков,vdovʲit͡ɕʲenkov
гайнутдин,ɡajnutdʲin
дмитриева,dmʲitrʲieva
весна,vʲesna
долонц,dolont͡s
панова,panova
суслин,suslʲin
толоконникова,tolokonnikova
собчак,sobt͡ɕʲak
полищук,polʲiɕːuk
воробьёв,vorobʲov
барнет,barnet
чуркин,t͡ɕʲurkʲin
мордашов,mordaʂov
рустэм,rustem
хамитов,xamʲitov
порсев,porsʲev
тарле,tarlʲe
лобов,lobov
веселаго,vʲesʲelaɡo
шувалов,ʂuvalov
глузский,ɡluzskʲij
лия,lʲia
ахеджакова,axʲed͡ʒakova
хаджимурад,xad͡ʒimurad
бут,but
бодров,bodrov
фурсенко,fursʲenko
лимонов,lʲimonov
лебедь,lʲebʲedʲ
чернышов,t͡ɕʲernɨʂov
букин,bukʲin
семшов,sʲemʂov
маслюков,maslʲukov
вдовина,vdovʲina
торбинский,torbʲinskʲij
евтушенко,jevtuʂenko
иоланда,iolanda
чен,t͡ɕʲen
сафронов,safronov
матвеев,matvʲeev
сиятвинда,sʲiatvʲinda
киселёв,kʲisʲelʲov
битов,bʲitov
карл,karl
вайно,vajno
чемберджи,t͡ɕʲembʲerd͡ʒi
гербер,ɡerbʲer
дибирова,dʲibʲirova
арина,arʲina
важенина,vaʒenina
эшпай,eʂpaj
бояринцев,boarʲint͡sev
борисенко,borʲisʲenko
вертинская,vʲertʲinskaa
лилия,lʲilʲia
зильберштейн,zʲilʲbʲerʂtʲejn
дворкович,dvorkovʲit͡ɕʲ
ланьков,lanʲkov
онопко,onopko
шунин,ʂunin
вильям,vʲilʲam
похлёбкин,poxlʲobkʲin
вик,vʲik
уайлд,uajld
сычёв,sɨt͡ɕʲov
станислава,stanislava
гурлукович,ɡurlukovʲit͡ɕʲ
бушков,buʂkov
зара,zara
светличная,svʲetlʲit͡ɕʲnaa
балуевский,baluevskʲij
франк,frank
козко,kozko
панайотов,panajotov
пономаренко,ponomarʲenko
крылатов,krɨlatov
селезнёв,sʲelʲeznov
карпин,karpʲin
никулин,nikulʲin
мерзликин,mʲerzlʲikʲin
мельниченко,mʲelʲnit͡ɕʲenko
малахов,malaxov
воротников,vorotnikov
овечкин,ovʲet͡ɕʲkʲin
скардино,skardʲino
абдулвахед,abdulvaxʲed
валидович,valʲidovʲit͡ɕʲ
ниязов,niazov
измайлов,izmajlov
костина,kostʲina
манаков,manakov
джабар,d͡ʒabar
аскеров,askʲerov
артамонов,artamonov
цуканов,t͡sukanov
щербаков,ɕːerbakov
брускин,bruskʲin
демьяненко,dʲemʲanenko
новицкий,novʲit͡skʲij
василенко,vasʲilʲenko
слонимский,slonimskʲij
смирнов,smʲirnov
турсунов,tursunov
полханова,polxanova
окунь,okunʲ
мягков,mʲaɡkov
борейко,borʲejko
андриян,andrʲian
николаев,nikolaev
лапшин,lapʂin
минько,mʲinʲko
тишанин,tʲiʂanin
рошал,roʂal
таланкин,talankʲin
чебриков,t͡ɕʲebrʲikov
копылов,kopɨlov
громов,ɡromov
гаврилов,ɡavrʲilov
семак,sʲemak
козырев,kozɨrʲev
пищальников,pʲiɕːalʲnikov
баков,bakov
лифшиц,lʲifʂit͡s
богданов,boɡdanov
анкваб,ankvab
шаталов,ʂatalov
кирсан,kʲirsan
илюмжинов,ilʲumʒinov
гроссман,ɡrossman
морозевич,morozʲevʲit͡ɕʲ
шаронов,ʂaronov
канчельскис,kant͡ɕʲelʲskʲis
алишер,alʲiʂer
усманов,usmanov
дмитриев,dmʲitrʲiev
екимов,jekʲimov
пономарёв,ponomarʲov
гайдай,ɡajdaj
янукович,janukovʲit͡ɕʲ
харьков,xarʲkov
седых,sʲedɨx
набабкин,nababkʲin
крикалёв,krʲikalʲov
кириенко,kʲirʲienko
степашин,stʲepaʂin
глушаков,ɡluʂakov
малкин,malkʲin
бастрыкин,bastrɨkʲin
ганеев,ɡaneev
руцкой,rut͡skoj
винниченко,vʲinnit͡ɕʲenko
бобрик,bobrʲik
рощин,roɕːin
быстров,bɨstrov
ковалёнок,kovalʲonok
яблоков,jablokov
штефанко,ʂtʲefanko
гаранян,ɡaranan
корнеев,korneev
якеменко,jakʲemʲenko
ищенко,iɕːenko
окуньков,okunʲkov
дерипаска,dʲerʲipaska
хряпа,xrʲapa
сердюков,sʲerdʲukov
рязанцев,rʲazant͡sev
джеффри,d͡ʒeffrʲi
монсон,monson
астафьев,astafʲev
шиколенко,ʂikolʲenko
ибрагимов,ibraɡimov
мозякин,mozʲakʲin
еремей,jerʲemʲej
парнов,parnov
муратов,muratov
миронова,mʲironova
борзаковский,borzakovskʲij
сорокин,sorokʲin
слава,slava
салтыкова,saltɨkova
жжёнов,ʒʒonov
абел,abʲel
аганбегян,aɡanbʲeɡan
кардашёв,kardaʂov
собянин,sobʲanin
келдыш,kʲeldɨʂ
пичушкин,pʲit͡ɕʲuʂkʲin
третьяк,trʲetʲak
гранат,ɡranat
лобанов,lobanov
али,alʲi
алханов,alxanov
галоян,ɡaloan
давлатназар,davlatnazar
худоназаров,xudonazarov
моргунов,morɡunov
кузьмин,kuzʲmʲin
невинный,nevʲinnɨj
феоктистов,fʲeoktʲistov
шейн,ʂejn
перкинс,pʲerkʲins
ловчев,lovt͡ɕʲev
сидельников,sʲidʲelʲnikov
валуев,valuev
прилепин,prʲilʲepʲin
даниил,daniil
квят,kvʲat
христенко,xrʲistʲenko
брумель,brumʲelʲ
смолов,smolov
газзаев,ɡazzaev
берлинский,bʲerlʲinskʲij
владимирович,vladʲimʲirovʲit͡ɕʲ
медведчук,mʲedvʲedt͡ɕʲuk
бельков,bʲelʲkov
такшина,takʂina
панфилов,panfʲilov
теймураз,tʲejmuraz
габашвили,ɡabaʂvʲilʲi
щёголев,ɕːoɡolʲev
игудесман,iɡudʲesman
пасынкова,pasɨnkova
васин,vasʲin
басаргин,basarɡin
володин,volodʲin
бордюжа,bordʲuʒa
кармазин,karmazʲin
бортников,bortnikov
симутенков,sʲimutʲenkov
гранин,ɡranin
эдгар,edɡar
приб,prʲib
помошников,pomoʂnikov
коблова,koblova
рашников,raʂnikov
швед,ʂvʲed
бутько,butʲko
пелагея,pʲelaɡea
чайковская,t͡ɕʲajkovskaa
евтушенков,jevtuʂenkov
меседа,mʲesʲeda
багаудинова,baɡaudʲinova
абалкин,abalkʲin
розов,rozov
высоцкий,vɨsot͡skʲij
арнтгольц,arntɡolʲt͡s
хугаев,xuɡaev
хворостовский,xvorostovskʲij
новиков,novʲikov
термен,tʲermʲen
паршивлюк,parʂivlʲuk
викторович,vʲiktorovʲit͡ɕʲ
эмин,emʲin
минниханов,mʲinnixanov
абаев,abaev
миша,mʲiʂa
зильберман,zʲilʲbʲerman
корниенко,kornienko
батурин,baturʲin
ян,jan
щекочихин,ɕːekot͡ɕʲixʲin
бароев,baroev
бакланов,baklanov
анпилов,anpʲilov
рыболовлев,rɨbolovlʲev
роберт,robʲert
нарышкин,narɨʂkʲin
мамед,mamʲed
халидов,xalʲidov
мостовой,mostovoj
ахрик,axrʲik
цвейба,t͡svʲejba
маленченко,malʲent͡ɕʲenko
буяновский,buanovskʲij
марк,mark
тайманов,tajmanov
горбатко,ɡorbatko
баталов,batalov
бекмамбетов,bʲekmambʲetov
галимов,ɡalʲimov
мазунов,mazunov
неёлова,neolova
трусов,trusov
феликс,fʲelʲiks
аленичев,alʲenit͡ɕʲev
муртаза,murtaza
полтавченко,poltavt͡ɕʲenko
велько,vʲelʲko
кадиевич,kadʲievʲit͡ɕʲ
капранов,kapranov
воскресенский,voskrʲesʲenskʲij
распутин,rasputʲin
бородулина,borodulʲina
хрулёв,xrulʲov
джигурда,d͡ʒiɡurda
небензя,nebʲenzʲa
егоров,jeɡorov
тимофей,tʲimofʲej
мозгов,mozɡov
плющенко,plʲuɕːenko
зимин,zʲimʲin
бочаров,bot͡ɕʲarov
катя,katʲa
лель,lʲelʲ
гришаева,ɡrʲiʂaeva
пацкевич,pat͡skʲevʲit͡ɕʲ
хазанов,xazanov
стечкин,stʲet͡ɕʲkʲin
адлан,adlan
вараев,varaev
алексеевич,alʲeksʲeevʲit͡ɕʲ
ерёменко,jerʲomʲenko
юрчихин,jurt͡ɕʲixʲin
тахтаджян,taxtad͡ʒan
бортко,bortko
борисовна,borʲisovna
мартынова,martɨnova
никитин,nikʲitʲin
динара,dʲinara
сафина,safʲina
белявский,bʲelʲavskʲij
кинчев,kʲint͡ɕʲev
домогаров,domoɡarov
копин,kopʲin
козеев,kozʲeev
дежуров,dʲeʒurov
левичев,lʲevʲit͡ɕʲev
багиров,baɡirov
нургалиев,nurɡalʲiev
асаф,asaf
абдрахманов,abdraxmanov
ефимов,jefʲimov
кир,kʲir
булычёв,bulɨt͡ɕʲov
буковский,bukovskʲij
кизим,kʲizʲim
хиль,xʲilʲ
рамиля,ramʲilʲa
бурангулова,buranɡulova
збруев,zbruev
позгалёв,pozɡalʲov
бугорский,buɡorskʲij
шатунов,ʂatunov
алимжан,alʲimʒan
тохтахунов,toxtaxunov
бутиков,butʲikov
барковский,barkovskʲij
швейцер,ʂvʲejt͡ser
женя,ʒena
гребенников,ɡrʲebʲennikov
добровольский,dobrovolʲskʲij
бардин,bardʲin
карлин,karlʲin
люкман,lʲukman
адамс,adams
гуф,ɡuf
сагалевич,saɡalʲevʲit͡ɕʲ
береговой,bʲerʲeɡovoj
чернышёв,t͡ɕʲernɨʂov
головатов,ɡolovatov
алевтина,alʲevtʲina
соловей,solovʲej
падалка,padalka
летов,lʲetov
беглов,bʲeɡlov
колобнев,kolobnev
ливанов,lʲivanov
шестакова,ʂestakova
гафт,ɡaft
араз,araz
агаларов,aɡalarov
таир,tair
мамедов,mamʲedov
красносельский,krasnosʲelʲskʲij
гаджибеков,ɡad͡ʒibʲekov
бакиев,bakʲiev
шатов,ʂatov
кобец,kobʲet͡s
жидков,ʒidkov
немцов,nemt͡sov
градский,ɡradskʲij
сканави,skanavʲi
рудольф,rudolʲf
баршай,barʂaj
серебров,sʲerʲebrov
баранов,baranov
магомедович,maɡomʲedovʲit͡ɕʲ
семеняка,sʲemʲenaka
гусева,ɡusʲeva
фельгенгауэр,fʲelʲɡenɡauer
зурабов,zurabov
жванецкий,ʒvanet͡skʲij
углов,uɡlov
брик,brʲik
гаврилова,ɡavrʲilova
лемигова,lʲemʲiɡova
бронзит,bronzʲit
друбич,drubʲit͡ɕʲ
ясин,jasʲin
алёшин,alʲoʂin
василевская,vasʲilʲevskaa
светозаров,svʲetozarov
ведерников,vʲedʲernikov
скуратов,skuratov
тихон,tʲixon
хренников,xrʲennikov
школьник,ʂkolʲnik
илизаров,ilʲizarov
рапота,rapota
концевич,kont͡sevʲit͡ɕʲ
звонарёва,zvonarʲova
лоськов,losʲkov
ульянов,ulʲanov
геворк,ɡevork
вартанян,vartanan
краско,krasko
курбан,kurban
бердыев,bʲerdɨev
минтимер,mʲintʲimʲer
шаймиев,ʂajmʲiev
смертин,smʲertʲin
немов,nemov
фарада,farada
чилингаров,t͡ɕʲilʲinɡarov
почепа,pot͡ɕʲepa
маргелов,marɡelov
каун,kaun
усачёв,usat͡ɕʲov
бетин,bʲetʲin
скобрев,skobrʲev
завгаев,zavɡaev
пореченков,porʲet͡ɕʲenkov
лачина,lat͡ɕʲina
даев,daev
нова,nova
зудина,zudʲina
булдаков,buldakov
пороховщиков,poroxovɕːikov
караулов,karaulov
лагутин,laɡutʲin
дашкевич,daʂkʲevʲit͡ɕʲ
мамлеев,mamlʲeev
эмиль,emʲilʲ
лотяну,lotʲanu
илюхин,ilʲuxʲin
захаров,zaxarov
быков,bɨkov
бородин,borodʲin
задорнов,zadornov
серябкина,sʲerʲabkʲina
кузаков,kuzakov
бурбулис,burbulʲis
шакуров,ʂakurov
петренко,pʲetrʲenko
сурганова,surɡanova
абдурахман,abduraxman
авторханов,avtorxanov
индра,indra
деви,dʲevʲi
кулиджанов,kulʲid͡ʒanov
баранников,barannikov
каретников,karʲetnikov
олеж,olʲeʒ
маскаев,maskaev
данелия,danelʲia
шеремет,ʂerʲemʲet
горевой,ɡorʲevoj
татарников,tatarnikov
кочетков,kot͡ɕʲetkov
иваньков,ivanʲkov
сослан,soslan
джанаев,d͡ʒanaev
степко,stʲepko
макашов,makaʂov
эдмонд,edmond
кеосаян,kʲeosaan
макин,makʲin
иннокентий,innokʲentʲij
смоктуновский,smoktunovskʲij
горланова,ɡorlanova
кириллов,kʲirʲillov
роланд,roland
добрушин,dobruʂin
дацюк,dat͡suk
раскатов,raskatov
соломин,solomʲin
осипович,osʲipovʲit͡ɕʲ
фёдорович,fʲodorovʲit͡ɕʲ
григорович,ɡrʲiɡorovʲit͡ɕʲ
юрский,jurskʲij
михайлович,mʲixajlovʲit͡ɕʲ
серебренников,sʲerʲebrʲennikov
дзасохов,dzasoxov
гаджи,ɡad͡ʒi
гаджиев,ɡad͡ʒiev
юмашев,jumaʂev
мартынович,martɨnovʲit͡ɕʲ
бероев,bʲeroev
гармаш,ɡarmaʂ
эммануэль,emmanuelʲ
брагинский,braɡinskʲij
ахсарбек,axsarbʲek
галазов,ɡalazov
котёночкин,kotʲonot͡ɕʲkʲin
митя,mʲitʲa
фомин,fomʲin
невзлин,nevzlʲin
меладзе,mʲeladzʲe
елисеев,jelʲisʲeev
бабешина,babʲeʂina
аман,aman
тулеев,tulʲeev
лолита,lolʲita
милявская,mʲilʲavskaa
эльдар,elʲdar
рязанов,rʲazanov
лановой,lanovoj
дусмухаметов,dusmuxamʲetov
фейнберг,fʲejnbʲerɡ
невзоров,nevzorov
оскар,oskar
рабин,rabʲin
горностаева,ɡornostaeva
носков,noskov
бетербиев,bʲetʲerbʲiev
фарход,farxod
васиев,vasʲiev
романов,romanov
баркашов,barkaʂov
хотиненко,xotʲinenko
шапошников,ʂapoʂnikov
есина,jesʲina
кононов,kononov
крутой,krutoj
крунич,krunit͡ɕʲ
авен,avʲen
джанабаева,d͡ʒanabaeva
ион,ion
друцэ,drut͡se
саввиди,savvʲidʲi
ткачёв,tkat͡ɕʲov
зимянин,zʲimʲanin
юран,juran
бородюк,borodʲuk
дога,doɡa
курляндский,kurlʲandskʲij
фесенко,fʲesʲenko
веретенников,vʲerʲetʲennikov
онуфрий,onufrʲij
вартанов,vartanov
рубен,rubʲen
проклова,proklova
ильнур,ilʲnur
закарин,zakarʲin
дина,dʲina
гарипова,ɡarʲipova
губенко,ɡubʲenko
гаврилин,ɡavrʲilʲin
бродский,brodskʲij
кнорозов,knorozov
омари,omarʲi
тетрадзе,tʲetradzʲe
кубасов,kubasov
арифуллин,arʲifullʲin
вязьмикин,vʲazʲmʲikʲin
бобёр,bobʲor
цискаридзе,t͡siskarʲidzʲe
чазов,t͡ɕʲazov
кобзон,kobzon
гарик,ɡarʲik
сукачёв,sukat͡ɕʲov
таисия,taisʲia
повалий,povalʲij
джугашвили,d͡ʒuɡaʂvʲilʲi
лапиков,lapʲikov
максимов,maksʲimov
богданчиков,boɡdant͡ɕʲikov
траньков,tranʲkov
нарусова,narusova
серж,sʲerʒ
чермаев,t͡ɕʲermaev
анофриев,anofrʲiev
светлаков,svʲetlakov
микаэлян,mʲikaelʲan
старыгин,starɨɡin
обмочаев,obmot͡ɕʲaev
маликов,malʲikov
красножан,krasnoʒan
мирослава,mʲiroslava
карпович,karpovʲit͡ɕʲ
ротенберг,rotʲenbʲerɡ
байдачный,bajdat͡ɕʲnɨj
феклисов,fʲeklʲisov
бережная,bʲerʲeʒnaa
милован,mʲilovan
меньшикова,mʲenʲʂikova
гатагов,ɡataɡov
трифонов,trʲifonov
камелин,kamʲelʲin
мединский,mʲedʲinskʲij
холево,xolʲevo
красова,krasova
маркунцев,markunt͡sev
меркурьев,mʲerkurʲev
бунтман,buntman
дворцевой,dvort͡sevoj
сафонова,safonova
берл,bʲerl
лазар,lazar
гринденко,ɡrʲindʲenko
нестеренко,nestʲerʲenko
мартынов,martɨnov
кибиров,kʲibʲirov
санни,sanni
эммерих,emmʲerʲix
серова,sʲerova
степан,stʲepan
крылов,krɨlov
некрасов,nekrasov
эвклид,evklʲid
кюрдзидис,kʲurdzʲidʲis
марко,marko
милошевич,mʲiloʂevʲit͡ɕʲ
климова,klʲimova
сластин,slastʲin
снигирь,sniɡirʲ
вальков,valʲkov
ростислав,rostʲislav
бойко,bojko
нурмагомедов,nurmaɡomʲedov
бибилов,bʲibʲilov
ежов,jeʒov
старобинский,starobʲinskʲij
китаев,kʲitaev
михалкова,mʲixalkova
бочков,bot͡ɕʲkov
баста,basta
миронюк,mʲironuk
бычкова,bɨt͡ɕʲkova
чурсина,t͡ɕʲursʲina
юнг,junɡ
александрова,alʲeksandrova
проскурина,proskurʲina
покровский,pokrovskʲij
апексимова,apʲeksʲimova
апина,apʲina
ардов,ardov
ардова,ardova
найник,najnik
смирнитский,smʲirnitskʲij
юдашкин,judaʂkʲin
скляр,sklʲar
редникова,rʲednikova
лежнева,lʲeʒneva
борисов,borʲisov
макаревич,makarʲevʲit͡ɕʲ
сальдо,salʲdo
яглыч,jaɡlɨt͡ɕʲ
баринов,barʲinov
мисуркин,mʲisurkʲin
охлобыстина,oxlobɨstʲina
шишкина,ʂiʂkʲina
ивлев,ivlʲev
приходько,prʲixodʲko
шамиль,ʂamʲilʲ
тарпищев,tarpʲiɕːev
мэджик,med͡ʒik
азарова,azarova
аринина,arʲinina
тарас,taras
шаргунов,ʂarɡunov
заманский,zamanskʲij
абдурахимов,abduraxʲimov
сфири,sfʲirʲi
ильдар,ilʲdar
абдразаков,abdrazakov
аронсон,aronson
гайзер,ɡajzʲer
артемьева,artʲemʲeva
артемий,artʲemʲij
шилов,ʂilov
пиотровский,pʲiotrovskʲij
радимов,radʲimov
лукин,lukʲin
абоимов,aboimov
гетериев,ɡetʲerʲiev
бушманов,buʂmanov
арланова,arlanova
юсупов,jusupov
симон,sʲimon
набатов,nabatov
драго,draɡo
винерусманова,vʲinerusmanova
артяков,artʲakov
мустай,mustaj
карим,karʲim
некро,nekro
абельцев,abʲelʲt͡sev
гуськов,ɡusʲkov
ярцев,jart͡sev
пятницкий,pʲatnit͡skʲij
филимонов,fʲilʲimonov
ионов,ionov
абызов,abɨzov
психо,psʲixo
мантис,mantʲis
пащенко,paɕːenko
ара,ara
абрамян,abramʲan
кудряшов,kudrʲaʂov
налбандян,nalbandʲan
габрилович,ɡabrʲilovʲit͡ɕʲ
володарский,volodarskʲij
ауг,auɡ
аугшкап,auɡʂkap
авакянц,avakʲant͡s
петрушанский,pʲetruʂanskʲij
арефьева,arʲefʲeva
нагейкина,naɡejkʲina
киселёва,kʲisʲelʲova
василиса,vasʲilʲisa
бардина,bardʲina
алтынай,altɨnaj
асылмуратова,asɨlmuratova
кемурджиан,kʲemurd͡ʒian
баранова,baranova
зудилин,zudʲilʲin
кабо,kabo
караченцов,karat͡ɕʲent͡sov
асламбек,aslambʲek
аслаханов,aslaxanov
мамонов,mamonov
котт,kott
шанцев,ʂant͡sev
камиль,kamʲilʲ
исхаков,isxakov
селезнёва,sʲelʲeznova
элина,elʲina
быстрицкая,bɨstrʲit͡skaa
гиндин,ɡindʲin
клара,klara
румянова,rumʲanova
васильева,vasʲilʲeva
василевский,vasʲilʲevskʲij
афанасьева,afanasʲeva
махалина,maxalʲina
харатьян,xaratʲan
куравлёв,kuravlʲov
сумин,sumʲin
панин,panin
барсуков,barsukov
айнетдинов,ajnetdʲinov
бертман,bʲertman
эдуардович,eduardovʲit͡ɕʲ
шацкая,ʂat͡skaa
дюжев,dʲuʒev
маслов,maslov
серебряков,sʲerʲebrʲakov
скрипаль,skrʲipalʲ
адабашьян,adabaʂan
смольянинов,smolʲaninov
родионов,rodʲionov
батагов,bataɡov
илларионов,illarʲionov
остриков,ostrʲikov
юсов,jusov
онищенко,oniɕːenko
чурина,t͡ɕʲurʲina
абдулатипов,abdulatʲipov
бабичев,babʲit͡ɕʲev
акимова,akʲimova
бабушкина,babuʂkʲina
азаров,azarov
эдхам,edxam
акбулатов,akbulatov
венедиктов,vʲenedʲiktov
говоров,ɡovorov
аксюта,aksʲuta
акрачков,akrat͡ɕʲkov
лычёва,lɨt͡ɕʲova
мадянов,madʲanov
хазрет,xazrʲet
совмен,sovmʲen
шломо,ʂlomo
шарф,ʂarf
родригез,rodrʲiɡez
корсо,korso
грузинский,ɡruzʲinskʲij
аксёненко,aksʲonenko
смольников,smolʲnikov
коптев,koptʲev
полицеймако,polʲit͡sejmako
симонова,sʲimonova
турчинский,turt͡ɕʲinskʲij
самедов,samʲedov
газманов,ɡazmanov
санаев,sanaev
харлампович,xarlampovʲit͡ɕʲ
капанина,kapanina
ивашов,ivaʂov
гелаев,ɡelaev
дюмин,dʲumʲin
аржанникова,arʒannikova
фердман,fʲerdman
шешуков,ʂeʂukov
баженов,baʒenov
всеволод,vsʲevolod
михалкин,mʲixalkʲin
нечаев,net͡ɕʲaev
журавлёва,ʒuravlʲova
путинцева,putʲint͡seva
волочкова,volot͡ɕʲkova
балтер,baltʲer
михаэль,mʲixaelʲ
драу,drau
данила,danila
чикризова,t͡ɕʲikrʲizova
нагиев,naɡiev
алексашенко,alʲeksaʂenko
рохлин,roxlʲin
сергеевич,sʲerɡeevʲit͡ɕʲ
акулова,akulova
алентова,alʲentova
валентиновна,valʲentʲinovna
аллилуев,allʲiluev
началова,nat͡ɕʲalova
русский,russkʲij
балуев,baluev
бари,barʲi
алибасов,alʲibasov
хлестов,xlʲestov
эпифания,epʲifania
принц,prʲint͡s
друкарова,drukarova
куликовская,kulʲikovskaa
савченко,savt͡ɕʲenko
банщикова,banɕːikova
белозерцев,bʲelozʲert͡sev
сенников,sʲennikov
алпатов,alpatov
белых,bʲelɨx
георгиевич,ɡeorɡievʲit͡ɕʲ
аваков,avakov
мустафа,mustafa
батдыев,batdɨev
алфёрова,alfʲorova
белоусов,bʲelousov
алекно,alʲekno
галямин,ɡalʲamʲin
денин,dʲenin
дубов,dubov
николь,nikolʲ
госвияни,ɡosvʲiani
алёшина,alʲoʂina
барабаш,barabaʂ
джаримов,d͡ʒarʲimov
барбашина,barbaʂina
григорьев,ɡrʲiɡorʲev
белякович,bʲelʲakovʲit͡ɕʲ
альбац,alʲbat͡s
бармин,barmʲin
арсланов,arslanov
беляев,bʲelʲaev
бариев,barʲiev
голуб,ɡolub
савочкин,savot͡ɕʲkʲin
альгис,alʲɡis
арлаускас,arlauskas
кожевникова,koʒevnikova
эцио,et͡sio
гамба,ɡamba
булдакова,buldakova
наина,naina
ельцина,jelʲt͡sina
боев,boev
бурков,burkov
беспалый,bʲespalɨj
сарик,sarʲik
андреасян,andrʲeasʲan
беретта,bʲerʲetta
шалунов,ʂalunov
берг,bʲerɡ
бурковский,burkovskʲij
берсенева,bʲersʲeneva
бурляев,burlʲaev
бабурин,baburʲin
беркут,bʲerkut
ринат,rʲinat
нудельман,nudʲelʲman
долгих,dolɡix
бахнов,baxnov
дато,dato
бахтадзе,baxtadzʲe
высоцкая,vɨsot͡skaa
баширов,baʂirov
башкатов,baʂkatov
бегунова,bʲeɡunova
зиновий,zʲinovʲij
высоковский,vɨsokovskʲij
этуш,etuʂ
аннинский,anninskʲij
блондинка,blondʲinka
ксю,ksʲu
зайнаб,zajnab
биишева,bʲiiʂeva
бестаева,bʲestaeva
батт,batt
анненко,annenko
павленко,pavlʲenko
евсеев,jevsʲeev
борисович,borʲisovʲit͡ɕʲ
сабир,sabʲir
вагапов,vaɡapov
гравицкий,ɡravʲit͡skʲij
градов,ɡradov
вайсфельд,vajsfʲelʲd
боб,bob
эвелина,evʲelʲina
блёданс,blʲodans
грамматиков,ɡrammatʲikov
бурмистрова,burmʲistrova
бютукаев,bʲutukaev
анатольевич,anatolʲevʲit͡ɕʲ
антошкин,antoʂkʲin
марюс,marʲus
вайсберг,vajsbʲerɡ
воскресенская,voskrʲesʲenskaa
богачёва,boɡat͡ɕʲova
гребенщикова,ɡrʲebʲenɕːikova
гагарина,ɡaɡarʲina
варданян,vardanan
леван,lʲevan
габриадзе,ɡabrʲiadzʲe
павсекакий,pavsʲekakʲij
григорьянц,ɡrʲiɡorʲant͡s
дворников,dvornikov
болдышева,boldɨʂeva
альбертович,alʲbʲertovʲit͡ɕʲ
гайкович,ɡajkovʲit͡ɕʲ
дегтярёв,dʲeɡtʲarʲov
дементьев,dʲemʲentʲev
галин,ɡalʲin
грушин,ɡruʂin
лянка,lʲanka
грыу,ɡrɨu
громушкина,ɡromuʂkʲina
громыко,ɡromɨko
губанова,ɡubanova
большова,bolʲʂova
леонідівна,lʲeonіdіvna
груздев,ɡruzdʲev
вахитов,vaxʲitov
гулькина,ɡulʲkʲina
губерниев,ɡubʲerniev
джиган,d͡ʒiɡan
боровик,borovʲik
доброхотов,dobroxotov
антонина,antonina
ивановна,ivanovna
велихов,vʲelʲixov
бородавкин,borodavkʲin
гвоздикова,ɡvozdʲikova
гуриев,ɡurʲiev
гаркалин,ɡarkalʲin
верещагин,vʲerʲeɕːaɡin
вертков,vʲertkov
дишдишян,dʲiʂdʲiʂan
борунов,borunov
борцов,bort͡sov
бочкарёв,bot͡ɕʲkarʲov
ветлицкая,vʲetlʲit͡skaa
караханян,karaxanan
давыдов,davɨdov
каринэ,karʲine
георгиан,ɡeorɡian
геращенко,ɡeraɕːenko
фельцман,fʲelʲt͡sman
густов,ɡustov
генис,ɡenis
брук,bruk
брилёв,brʲilʲov
брашинский,braʂinskʲij
доминик,domʲinik
джокер,d͡ʒokʲer
винокур,vʲinokur
винокуров,vʲinokurov
влад,vlad
сташевский,staʂevskʲij
вирганская,vʲirɡanskaa
брюлло,brʲullo
виторган,vʲitorɡan
дахненко,daxnenko
валентинович,valʲentʲinovʲit͡ɕʲ
вихров,vʲixrov
вишневецкая,vʲiʂnevʲet͡skaa
эммануил,emmanuil
глаголева,ɡlaɡolʲeva
власова,vlasova
бузова,buzova
глушко,ɡluʂko
глинка,ɡlʲinka
глинников,ɡlʲinnikov
булгак,bulɡak
рита,rʲita
гладунко,ɡladunko
булгаков,bulɡakov
двигубская,dvʲiɡubskaa
гоголев,ɡoɡolʲev
ярослав,jaroslav
жалнин,ʒalnin
буравская,buravskaa
жарков,ʒarkov
жарова,ʒarova
булавин,bulavʲin
гобзева,ɡobzʲeva
булгакова,bulɡakova
глызин,ɡlɨzʲin
дубцова,dubt͡sova
эльмади,elʲmadʲi
жабраилов,ʒabrailov
елеазар,jelʲeazar
мелетинский,mʲelʲetʲinskʲij
дубинин,dubʲinin
дунаев,dunaev
жвачкин,ʒvat͡ɕʲkʲin
волож,voloʒ
жеребцов,ʒerʲebt͡sov
дунаевский,dunaevskʲij
жизневский,ʒiznevskʲij
дулов,dulov
игуменцева,iɡumʲent͡seva
гольдштейн,ɡolʲdʂtʲejn
дудов,dudov
дужников,duʒnikov
кира,kʲira
головко,ɡolovko
булынко,bulɨnko
ислам,islam
