angela,aŋeːlaː
wustrow,vustʁov
unterthingau,unteɐtiŋauh
ruderatshofen,ʁuːdeːʀatshoːfən
pappenheim,papənhaim
mensur,mənsuɐ
dransfeld,tʁansfelt
breuna,pʁoyhnaː
weißdorf,vaisdoɐf
großenwörden,kʁosənvøɐdən
bahrenborstel,baːʀənboɐstel
mönchsdeggingen,mønksdekɡiŋən
barenburg,baːʀənbuɐk
burgsinn,buɐksin
hainsfarth,hainsfaɐt
hamersen,haːmeɐsən
guderhandviertel,ɡuːdeɐhantfiːɐtel
stöttwang,ʃtøtvaŋk
geltendorf,ɡeltəndoɐf
sonderhofen,zondeɐhoːfən
mehlmeisel,meːlmaiesel
barnstorf,baɐnstoɐf
bischberg,biʃbeɐk
priesendorf,pʁiːsəndoɐf
lloyd,loyt
feinwerkbau,fainveɐkbauh
krolloper,kʁolopɐ
konradsreuth,konʁadsʁoyt
töpen,tøːpən
ostereistedt,osteːʀaistet
kirchenpingarten,kiɐxənpiŋaɐtən
offenau,ofeːnauh
borsig,boɐsik
finning,finiŋk
röllbach,ʁølbax
besatzungsstatut,beːsaːt͡suŋstaːtut
vilgertshofen,filɡeɐtshoːfən
birkenau,biɐkeːnauh
gnotzheim,knot͡shaim
wörnitz,vøɐnit͡s
trebgast,tʁepɡast
eußenheim,oysənhaim
stockheim,ʃtokhaim
fünfstetten,fynfstetən
halbe,halbə
pyrmont,pyʁmont
oettingen,oetiŋən
dollern,doleɐn
quernheim,kveɐnhaim
grünendeich,kʁyːnəndaix
gnarrenburg,knaɐʁənbuɐk
oederquart,oeːdeʁkvaɐt
sailauf,zaielauf
gessertshausen,ɡeseɐtshauhsən
kleinaitingen,klaiənaietiŋən
schwabsoien,ʃvapsoiːn
sommerkahl,zomeɐkaːl
langenneufnach,laŋənnoyfnax
voltlage,foltlaɡə
helvesiek,helfeːsiːk
friesenried,fʁiːsənʁiːt
bischbrunn,biʃpʁun
lengenbostel,lənɡənbostel
dickel,diːkel
dinkelscherben,diŋkelʃeɐbən
jagstzell,jaɡst͡sel
gschwend,ɡʃvənt
esselbach,eselbax
röslau,ʁøslauh
bartholomä,baɐtoːlome
aura,auhʀaː
sinngrund,zinkʁunt
rainau,ʁaiənauh
bernbeuren,beɐnboyhʀən
görisried,ɡøːʀisʁiːt
steinheimer,ʃtainhaimɐ
becken,beːkən
obergünzburg,obeɐɡynt͡sbuɐk
iggingen,ikɡiŋən
waldstetten,valdstetən
burggen,buɐkɡən
sieper,ziːpɐ
remlingen,ʁemliŋən
kupferzell,kuːp͡feɐt͡sel
heretsried,heːʀetsʁiːt
scherstetten,ʃeɐstetən
schwabbruck,ʃvabpʁuk
jengen,jənɡən
alexandersbad,aleksandeɐsbat
küps,kyps
biessenhofen,biːsənhoːfən
germaringen,ɡeɐmaːʀiŋən
antdorf,antdoɐf
lamerdingen,laːmeɐdiŋən
schneckenlohe,ʃneːkənloːə
tagmersheim,takmeɐshaim
pressig,pʁesik
schnelldorf,ʃneldoɐf
ederheim,edeɐhaim
niederfüllbach,niːdeɐfylbax
burgebrach,buɐɡepʁax
colmberg,kolmbeɐk
schnabelwaid,ʃnaːbelvait
märchenstraße,meɐxənstʁasə
forheim,foɐhaim
untersteinach,unteɐstaiənax
kirchlinteln,kiɐxlinteln
oberostendorf,obeːʀostəndoɐf
hohenfurch,hoːhənfuɐx
unterschneidheim,unteɐʃnaitaim
unterpleichfeld,unteɐplaixfelt
mauerstetten,maueɐstetən
mistelbach,mistelbax
halblech,halplex
olympia,olympiaː
press,pʁes
ruppertshofen,ʁupeɐtshoːfən
kirchen,kiɐxən
engelschoff,ənɡelʃof
wagenfeld,vaːɡənfelt
fischach,fiːʃax
rögling,ʁøkliŋk
rügland,ʁyklant
wirsberg,viɐsbeɐk
windelsbach,vindelsbax
hofstetten,hofstetən
ohrenbach,oːʀənbax
lauenbrück,lauənpʁyk
kraftisried,kʁaftisʁiːt
horgau,hoɐɡauh
fremdingen,fʁemdiŋən
drentwede,tʁəntvedə
himmelkron,himelkʁon
lembruch,lempʁux
otterndorf,oteɐndoɐf
osterzell,osteɐt͡sel
ingenried,iŋənʁiːt
isernhagen,iːseɐnhaːɡən
basdahl,basdaːl
heinbockel,hainboːkel
waldaschaff,valdaːʃaf
großostheim,kʁosostaim
erlabrunn,eɐlapʁun
hohenpeißenberg,hoːhənpaisənbeɐk
breddorf,pʁetdoɐf
münstermaifeld,mynsteɐmaiefelt
heinrichsthal,hainʁikstal
jork,joɐk
deinstedt,dainstet
bücken,byːkən
stockstadt,ʃtokstat
heigenbrücken,haieɡənpʁyːkən
mellinghausen,meliŋkhauhsən
reeßum,ʁeːsum
volkmarsen,folkmaɐsən
regnitzlosau,ʁeknit͡sloːsauh
sinzig,zint͡sik
heidenheim,haiedənhaim
gandesbergen,ɡandesbeɐɡən
hämelhausen,hemelhauhsən
raddestorf,ʁatdestoɐf
behrensdorf,beːʀənsdoɐf
angelburg,aŋelbuɐk
bergen,beɐɡən
balge,balɡə
scheden,ʃeːdən
pennigsehl,pənnikseːl
rhumspringe,ʁhumspʁiŋə
rugendorf,ʁuːɡəndoɐf
ottersberg,oteɐsbeɐk
alfstedt,alfstet
brockel,pʁoːkel
bülstedt,bylstet
langwedel,laŋkveːdel
hessisch,hesiʃ
eschau,eʃauh
tettau,tetauh
eglfing,eɡlfiŋk
raitenbuch,ʁaietənbux
ankum,aŋkum
rüdershausen,ʁyːdeɐshauhsən
helmstadt,helmstat
dittenheim,ditənhaim
höpfingen,høːp͡fiŋən
oberhaid,obeɐhait
fahrenbach,faːʀənbax
maschinenbau,maːʃiːnənbauh
elztal,elt͡stal
memmelsdorf,memelsdoɐf
möckmühl,møkmyːl
warmensteinach,vaɐmənstaiənax
hausgesetz,hausɡeːset͡s
bidingen,biːdiŋən
hollenbach,holənbax
niederschönenfeld,niːdeɐʃøːnənfelt
meinhard,mainhaɐt
maihingen,maieːiŋən
lisberg,lisbeɐk
monheim,monhaim
gehrden,ɡeːɐdən
bunde,bundə
ottenstein,otənstain
regionalbahn,ʁeːɡioːnalbaːn
marienberg,maːʀiːnbeɐk
hachenburg,haːxənbuɐk
berneck,beɐnek
sontra,zontʁaː
emmerthal,emeɐtal
lehrensteinsfeld,leːʀənstainsfelt
greding,kʁeːdiŋk
brevörde,pʁeːføɐdə
heinsen,hainsən
margetshöchheim,maɐɡetshøxhaim
weißenbrunn,vaisənpʁun
lüerdissen,lyeɐdisən
bodenfelde,boːdənfeldə
kirchbrak,kiɐxpʁak
hünstetten,hynstetən
horex,hoːʀeks
ellingen,eliŋən
gefrees,ɡefʁeːs
arnstein,aɐnstain
böbing,bøːbiŋk
rott,ʁot
eschach,eʃax
göggingen,ɡøkɡiŋən
weißenstadt,vaisənstat
huglfing,huɡlfiŋk
schlüsselfeld,ʃlyselfelt
barver,baɐfɐ
marktschorgast,maɐkt͡ʃoɐɡast
seybothenreuth,zaibotənʁoyt
kleinwallstadt,klainvalstat
kasendorf,kaːsəndoɐf
negenborn,neːɡənboɐn
holenberg,hoːlənbeɐk
pegestorf,peːɡestoɐf
weisendorf,vaiesəndoɐf
jadebusen,jaːdeːbuːsən
brockum,pʁoːkum
trendelburg,tʁəndelbuɐk
steinsfeld,ʃtainsfelt
bargstedt,baɐɡstet
ebermannstadt,ebeɐmanstat
lauter,lautɐ
staffelstein,ʃtafelstain
höchstädt,høkstet
oerel,oeːʀel
vierden,fiːɐdən
heeslingen,heːsliŋən
burweg,buɐvek
aßlar,aslaɐ
football,foːtbal
league,leaːɡuə
saarbahn,zaːɐbaːn
camberg,kambeɐk
gudensberg,ɡuːdənsbeɐk
geisenheim,ɡaiesənhaim
bebra,bepʁaː
heßheim,heshaim
vogelfluglinie,foːɡelflukliːniə
beckingen,beːkiŋən
wetschen,veːt͡ʃən
eydelstedt,aidelstet
goldbach,ɡoltbax
oberasbach,obeːʀasbax
eggenthal,ekɡəntal
baunach,bauhnax
wildsteig,vildstaik
gräfendorf,kʁefəndoɐf
reinbek,ʁainbek
diemelstadt,diːmelstat
spraitbach,ʃpʁaitbax
radolfshausen,ʁaːdolfshauhsən
alesheim,aleshaim
wieden,viːdən
nottensdorf,notənsdoɐf
soltau,zoltauh
pottenstein,potənstain
pforzen,p͡foɐt͡sən
mespelbrunn,mespelpʁun
litzendorf,liːt͡səndoɐf
wächtersbach,vexteɐsbax
homberg,hombeɐk
wattendorf,vatəndoɐf
ochsenfurt,oksənfuɐt
haiger,haiɡɐ
pfungstadt,p͡fuŋstat
wildungen,vilduŋən
michelstadt,miːxelstat
seligenstadt,zeːliːɡənstat
reclamverlag,ʁeklamfeɐlak
babenhausen,baːbənhauhsən
kappeln,kapeln
rennerod,ʁənneːʀot
roigheim,ʁoikhaim
neuenmarkt,noyənmaɐkt
wilhelmsthal,vilhelmstal
georgensgmünd,ɡeoɐɡənskmynt
thüngen,tyŋən
schechingen,ʃeːxiŋən
schwalmstadt,ʃvalmstat
baunatal,bauhnaːtal
niestetal,niːsteːtal
burgfriedenspolitik,buɐɡfʁiːdənspoːliːtik
fuchstal,fukstal
mayen,maiən
concerto,konkeɐtoː
heimbuchenthal,haimbuːxəntal
nordhalben,noɐtalbən
heinersreuth,haiəneɐsʁoyt
marktrodach,maɐktʁoːdax
rüdenau,ʁyːdeːnauh
bindlach,bintlax
obernfeld,obeɐnfelt
königsberg,køːniçsbeɐk
neuenstein,noyənstain
wiesthal,viːstal
dillenburg,dilənbuɐk
golmbach,ɡolmbax
waal,vaːl
trix,tʁiks
waldkappel,valtkapel
modautal,moːdauhtal
marine,maːʀinə
systems,systems
lathen,latən
schaafheim,ʃaːfhaim
melitta,meːlitaː
gieboldehausen,ɡiːboldeːhauhsən
göllheim,ɡølhaim
gladenbach,klaːdənbax
steffenberg,ʃtefənbeɐk
knüllwald,knylvalt
cölbe,kølbə
lehmanngroßbahn,leːmankʁosbaːn
junghans,juŋkhans
burgwald,buɐkvalt
grob,kʁop
aircraft,aiɐkʁaft
gedern,ɡeːdeɐn
nordseewerke,noɐtseːveɐkə
thüngersheim,tyŋeɐshaim
warmsen,vaɐmsən
kalefeld,kaːleːfelt
maxdorf,maksdoɐf
bundesstraße,bundestʁasə
kleistpreis,klaistpʁais
fischbachtal,fiʃbaxtal
ellhofen,elhoːfən
oedheim,oetaim
seeshaupt,zeːshaupt
rottenbuch,ʁotənbux
weißenohe,vaiseːnoːə
wittlich,vitlix
hardthausen,haɐthauhsən
weidenberg,vaiedənbeɐk
wört,vøɐt
peiting,paietiŋk
laubach,lauhbax
fürstenberg,fyɐstənbeɐk
diepenau,diːpeːnauh
linsburg,linsbuɐk
orb,oɐp
alsenz,alsənt͡s
kösen,køːsən
heiliggeistkirche,haielikɡaistkiɐxə
oberaula,obeːʀauhlaː
berkatal,beɐkaːtal
lahnau,laːnauh
niddatal,nitdaːtal
langgöns,laŋkɡøns
egelsbach,eɡelsbax
ronneburg,ʁoneːbuɐk
greifenstein,kʁaiefənstain
heuchelheim,hoyhxelhaim
hauneck,hauhnek
breitscheid,pʁaiet͡ʃait
wahlsburg,vaːlsbuɐk
mainhausen,mainhauhsən
waldems,valdems
lohfelden,loːfeldən
ortenberg,oɐtənbeɐk
echzell,ext͡sel
jako,jaːkoː
ottweiler,otvailɐ
schrecksbach,ʃʁeksbax
söhrewald,zøːʀeːvalt
heidenhain,haiedənhain
cornberg,koɐnbeɐk
usingen,uːsiŋən
hochspeyer,hokspaiɐ
dudenhofen,duːdənhoːfən
sachsenring,zaksənʁiŋk
führerhauptquartier,fyːʀeɐhauptkvaɐtiɐ
flörsheim,fløɐshaim
helsa,helsaː
waldsolms,valtsolms
springe,ʃpʁiŋə
archenholdsternwarte,aɐxənholdsteɐnvaɐtə
dipperz,dipeɐt͡s
großenlüder,kʁosənlydɐ
weilmünster,vailmynstɐ
raunheim,ʁaunhaim
elbtal,elptal
barweiler,baɐvailɐ
bischoffen,biːʃofən
siegbach,ziːkbax
brechen,pʁeːxən
hochheim,hoxhaim
salzschlirf,zalt͡ʃliɐf
mittenaar,miteːnaːɐ
friedewald,fʁiːdeːvalt
hohenroda,hoːhənʁoːdaː
minus,miːnus
flammersfeld,flameɐsfelt
neuhof,noyhhof
grävenwiesbach,kʁefənviːsbax
segherspreis,zekheɐspʁais
schnitzer,ʃnit͡sɐ
motorsport,moːtoɐspoɐt
biebertal,biːbeɐtal
schlangenbad,ʃlaŋənbat
willingshausen,viliŋshauhsən
wehretal,veːʀeːtal
edermünde,edeɐmyndə
schwarzenborn,ʃvaɐt͡sənboɐn
nüsttal,nystal
pentacon,pəntaːkon
rasdorf,ʁasdoɐf
bischofsheim,biːʃofshaim
nordleda,noɐtleːdaː
habichtswald,haːbixtsvalt
freigericht,fʁaieɡeːʀixt
montabaur,montaːbauɐ
fuldabrück,fuldapʁyk
edertal,edeɐtal
rohr,ʁoːɐ
eichwalde,aixvaldə
flieden,fliːdən
schwalmtal,ʃvalmtal
vöhl,føːl
fronhausen,fʁonhauhsən
lützelbach,lyːt͡selbax
sinntal,zintal
lollar,lolaɐ
gernsheim,ɡeɐnshaim
sehnde,zeːndə
otzberg,ot͡sbeɐk
hörden,høɐdən
fernwald,feɐnvalt
tann,tan
brombachtal,pʁombaxtal
wildeck,vildek
linsengericht,linsənɡeːʀixt
reinhardshagen,ʁainhaɐdshaːɡən
glauburg,klauhbuɐk
bromskirchen,pʁomskiɐxən
limeshain,liːmeshain
hülsede,hylsedə
ebsdorfergrund,ebsdoɐfeɐkʁunt
dornburg,doɐnbuɐk
sensbachtal,zənsbaxtal
dietzhölztal,diːt͡shølt͡stal
kriftel,kʁiftel
schöffengrund,ʃøfənkʁunt
kefenrod,keːfənʁot
gerach,ɡeːʀax
helpsen,helpsən
schenklengsfeld,ʃənklənɡsfelt
fuldatal,fuldaːtal
nentershausen,nənteɐshauhsən
selters,zelteɐs
niederaula,niːdeːʀauhlaː
hüttenberg,hytənbeɐk
lorch,loɐx
bissendorf,bisəndoɐf
nidda,nitdaː
obertshausen,obeɐtshauhsən
hattersheim,hateɐshaim
ehringshausen,eːʀiŋshauhsən
henschelwegmannzug,hənʃelvekmant͡suk
kaufungen,kauhfuŋən
kompakt,kompakt
tischtennisbundesliga,tiʃtənnisbundesliːɡaː
vellmar,felmaɐ
eschborn,eʃboɐn
hoyerhagen,hoyeɐhaːɡən
bruchköbel,pʁuxkøːbel
lahnstein,laːnstain
kirchhain,kiɐxhain
griesheim,kʁiːshaim
butzbach,but͡sbax
eichenzell,aiexənt͡sel
kronberg,kʁonbeɐk
breidenbach,pʁaiedənbax
antweiler,antvailɐ
hünfeld,hynfelt
rödermark,ʁøːdeɐmaɐk
unterleinleiter,unteɐlainlaitɐ
wollershausen,voleɐshauhsən
flörsbachtal,fløɐsbaxtal
gründau,kʁyndauh
röckingen,ʁøːkiŋən
scheuring,ʃoyhʀiŋk
bremischen,pʁeːmiːʃən
eschenburg,eʃənbuɐk
hilgermissen,hilɡeɐmisən
seelow,zeːlov
tschirn,t͡ʃiɐn
fronhofen,fʁonhoːfən
warpe,vaɐpə
schernfeld,ʃeɐnfelt
espenau,espeːnauh
großkrotzenburg,kʁoskʁoːt͡sənbuɐk
seulingen,zoyhliŋən
heidenrod,haiedənʁot
haibach,haiebax
wettenberg,vetənbeɐk
wölfersheim,vølfeɐshaim
hassel,hasel
heusenstamm,hoyhsənstam
riedstadt,ʁiːdstat
königstein,køːniçstain
pohlheim,poːlhaim
taunusstein,tauhnustain
st,ʃt
schlüchtern,ʃlyxteɐn
kiedrich,kiːtʁix
trebur,tʁeːbuɐ
wollbrandshausen,volpʁandshauhsən
wohratal,voːʀaːtal
waldrach,valtʁax
daaden,daːdən
türkiyemspor,tyɐkiyemspoɐ
allersberg,aleɐsbeɐk
wallhalben,valhalbən
rhaunen,ʁhauhnən
haunetal,hauhneːtal
beselich,beːselix
ebergötzen,ebeɐɡøːt͡sən
luhden,luːdən
greifenberg,kʁaiefənbeɐk
wirecard,viːʀeːkaɐt
breitenbach,pʁaietənbax
diemelsee,diːmelseə
freiensteinau,fʁaiənstaiənauh
walluf,valuf
hasselroth,haselʁot
pommersfelden,pomeɐsfeldən
steingaden,ʃtaiŋaːdən
ludwigsau,lutviksauh
friedrichsdorf,fʁiːtʁiksdoɐf
goarshausen,ɡoaɐshauhsən
interbau,inteɐbauh
witzenhausen,viːt͡sənhauhsən
bengel,bənɡel
roßdorf,ʁosdoɐf
belm,belm
nieste,niːstə
poggenpohl,pokɡənpoːl
nürburg,nyɐbuɐk
hesseneck,heseːnek
heringen,heːʀiŋən
wildparkstadion,viltpaɐkstaːdion
rüdesheim,ʁyːdeshaim
hornbach,hoɐnbax
flottillenadmiral,flotileːnatmiːʀal
rothenfels,ʁotənfels
bopfingen,boːp͡fiŋən
ulmen,ulmən
obernkirchen,obeɐŋkiɐxən
niedenstein,niːdənstain
dahn,daːn
florstadt,floɐstat
seggebruch,zekɡepʁux
endbach,əntbax
herrieden,heɐʁiːdən
höchst,høkst
multicar,multiekaɐ
film,film
hillesheim,hileshaim
immenhausen,imənhauhsən
karben,kaɐbən
mendig,məndik
kirtorf,kiɐtoɐf
wehrheim,veːɐhaim
gilserberg,ɡilseɐbeɐk
malsfeld,malsfelt
herleshausen,heɐleshauhsən
wallenhorst,valənhoɐst
lauenau,laueːnauh
bürgerbräukeller,byɐɡeɐpʁoyhkelɐ
büttelborn,bytelboɐn
dautphetal,dautfeːtal
grebenhain,kʁeːbənhain
hirzenhain,hiɐt͡sənhain
reichelsheim,ʁaiexelshaim
spangenberg,ʃpaŋənbeɐk
kelsterbach,kelsteɐbax
schöneck,ʃøːnek
gersfeld,ɡeɐsfelt
minichamps,miːnixamps
paumgartneraltar,paumɡaɐtneːʀaltaɐ
plateaux,plaːteauks
erzhausen,eɐt͡shauhsən
mengerskirchen,mənɡeɐskiɐxən
heiligenstadt,haieliçənstat
alheim,alhaim
zwesten,t͡svestən
fire,fiʀə
ulrichstein,ulʁikstain
hadamar,haːdamaɐ
biron,biːʀon
curland,kuɐlant
mörlenbach,møɐlənbax
auhagen,auhhaːɡən
lüdersfeld,lyːdeɐsfelt
biebesheim,biːbeshaim
ensemble,ənsemplə
modern,moːdeɐn
wetter,vetɐ
katzenelnbogen,kaːt͡seːnelnboːɡən
hilders,hildeɐs
hatzfeld,hat͡sfelt
borken,boɐkən
runkel,ʁuŋkel
feldjäger,feltjeɡɐ
staufenberg,ʃtauhfənbeɐk
grebenau,kʁeːbənauh
herbstein,heɐbstain
polch,polx
haina,haiənaː
kist,kist
rallye,ʁalyə
leun,loyn
cargotram,kaɐɡotʁam
ornbau,oɐnbauh
hettenleidelheim,hetənlaiedelhaim
poppenhausen,popənhauhsən
hainburg,hainbuɐk
igling,ikliŋk
breuberg,pʁoyhbeɐk
hasloch,haslox
bambi,bambiː
löhnberg,løːnbeɐk
waldbreitbach,valdpʁaitbax
rengsdorf,ʁənɡsdoɐf
rosdorf,ʁosdoɐf
solms,zolms
neresheim,neːʀeshaim
eimen,aiemən
hungen,huŋən
desertec,deːseɐtek
hohnhorst,hoːnhoɐst
escada,eskaːda
heuerßen,hoyeʁsən
heyen,haiən
bilshausen,bilshauhsən
ostercappeln,osteɐkapeln
untersiemau,unteɐsiːmauh
vollersode,foleɐsodə
glandorf,klandoɐf
hespe,hespə
sonnefeld,zoneːfelt
weitramsdorf,vaitʁamsdoɐf
drakenburg,tʁaːkənbuɐk
husum,huːsum
hosenfeld,hoːsənfelt
messenkamp,mesənkamp
lauenhagen,lauənhaːɡən
seßlach,zeslax
weidhausen,vaitauhsən
meeder,meːdɐ
grub,kʁup
itzgrund,it͡skʁunt
rödental,ʁøːdəntal
lautertal,lauhteɐtal
solnhofen,zolnhoːfən
tui,tuiː
waldi,valdiː
jesberg,jesbeɐk
beilngries,bailŋkʁiːs
wehrbleck,veːɐplek
games,ɡaːmes
convention,konfənt͡sion
elz,elt͡s
eppertshausen,epeɐtshauhsən
stadtallendorf,ʃtataləndoɐf
fraport,fʁaːpoɐt
lamy,lamy
weilburg,vailbuɐk
frankenberg,fʁaŋkənbeɐk
veitshöchheim,faitshøxhaim
oper,opɐ
waldschlößchenbrücke,vald͡ʒløsxənpʁykə
bundesgartenschau,bundesɡaɐtənʃauh
gleichen,klaiexən
durlangen,duɐlaŋən
weilrod,vailʁot
hirschhorn,hiɐʃhoɐn
queich,kvaix
mutlangen,mutlaŋən
leinzell,laint͡sel
lauchheim,lauxhaim
leese,leːsə
hüttlingen,hytliŋən
nortrup,noɐtʁup
asbach,asbax
obergröningen,obeɐkʁøːniŋən
kfw,kfv
richardwagnerstiftung,ʁiːxaɐtvakneɐstiftuŋk
thunder,tundɐ
mögglingen,møɡkliŋən
ellenberg,elənbeɐk
böbingen,bøːbiŋən
rems,ʁems
spreuerhofstraße,ʃpʁoyeɐhofstʁasə
zugspitzbahn,t͡suɡspit͡sbaːn
worldcon,voɐltkon
rockenberg,ʁoːkənbeɐk
gastarbeiter,ɡastaɐbaitɐ
apelern,apeːleɐn
hammersbach,hameɐsbax
uetze,uet͡sə
wulften,vulftən
herpa,heɐpaː
alfhausen,alfhauhsən
otterberg,oteɐbeɐk
materials,maːteːʀials
lich,lix
konradiner,konʁaːdinɐ
tüv,tyf
gebhardshain,ɡefaɐdshain
hagenburg,haːɡənbuɐk
guxhagen,ɡukshaːɡən
westhausen,vestauhsən
limbach,limbax
körle,køɐlə
ringgau,ʁiŋkɡauh
wabern,vaːbeɐn
bovenden,boːfəndən
hohner,hoːnɐ
ludendorffbrücke,luːdəndoɐfpʁykə
hünfelden,hynfeldən
wöllstadt,vølstat
ranstadt,ʁanstat
tennis,tənnis
kelkheim,kelkhaim
albertiner,albeɐtinɐ
niederwalddenkmal,niːdeɐvaltdənkmal
hofbieber,hofbiːbɐ
künzell,kynt͡sel
warnowtunnel,vaɐnovtunel
vennbahn,fənnbaːn
mühlheim,myːlhaim
thalfang,talfaŋk
weißenborn,vaisənboɐn
ottrau,otʁauh
villmar,filmaɐ
morschen,moɐʃən
wennigsen,vənniksən
mahle,maːlə
germanenorden,ɡeɐmaːneːnoɐdən
bärenreiterverlag,beʀənʁaieteɐfeɐlak
revierderby,ʁeːfiːɐdeɐby
rosbach,ʁosbax
ihlienworth,iːliːnvoɐt
haste,hastə
calden,kaldən
jossgrund,joskʁunt
feldatal,feldaːtal
niederdorfelden,niːdeɐdoɐfeldən
mossautal,mosauhtal
brachttal,pʁaxtal
hohenahr,hoːheːnaːɐ
stöckse,ʃtøksə
sprendlingen,ʃpʁəntliŋən
leipziger,laipt͡siçɐ
messe,mesə
tresor,tʁeːsoɐ
dasing,daːsiŋk
kochinstitut,koːxinstietut
wartenberg,vaɐtənbeɐk
würthgruppe,vyɐtkʁupə
jamaikakoalition,jaːmaiekaːkoaliːt͡sion
grundig,kʁundik
grasberg,kʁasbeɐk
brensbach,pʁənsbax
rohrsen,ʁoːɐsən
morbach,moɐbax
kärcher,keɐxɐ
tiefenthal,tiefəntal
wallmerod,valmeːʀot
drakkar,tʁakkaɐ
entertainment,ənteɐtainmənt
suthfeld,zutfelt
niederzissen,niːdeɐt͡sisən
stolzenau,ʃtolt͡seːnauh
meerbeck,meːɐbek
jägermeister,jeɡeɐmaistɐ
voigtländer,foiçtlendɐ
hohenzollernbrücke,hoːhənt͡soleɐnpʁykə
grasellenbach,kʁaːselənbax
moskauer,moskauɐ
vertrag,feɐtʁak
thomaskantor,toːmaskantoɐ
mitropa,mitʁoːpaː
auetal,aueːtal
chiemgauer,xiːmɡauɐ
altranstädt,altʁanstet
qimonda,qiːmondaː
sonor,zoːnoɐ
liebfrauenmilch,liːbfʁauənmilx
birkenstock,biɐkənstok
schwedischpommern,ʃveːdiʃpomeɐn
eggermühlen,ekɡeɐmyːlən
blombergfritschkrise,plombeɐɡfʁit͡ʃkʁisə
haus,haus
haßloch,haslox
lexisnexis,leksisneksis
delag,deːlak
wahre,vaːʀə
wartet,vaɐtet
simplicissimus,zimpliːkisiːmus
münsterland,mynsteɐlant
speicher,ʃpaixɐ
astronomische,astʁoːnomiʃə
nachrichten,naxʁixtən
pahlen,paːlən
fürstenbund,fyɐstənbunt
kriminalpolizei,kʁiːminalpoːliːt͡saie
sicherheitspolizei,ziːxeɐhaitspoːliːt͡saie
sportpark,ʃpoɐtpaɐk
ronhof,ʁonhof
powerwolf,poːveɐvolf
erlkönig,eɐlkøːnik
karmann,kaɐman
sportfreunde,ʃpoɐtfʁoyndə
solar,zoːlaɐ
fleischmann,flaiʃman
rieste,ʁiːstə
steyerberg,ʃtaieɐbeɐk
badbergen,batbeɐɡən
muspilli,muspiliː
obatzter,obat͡stɐ
hofgarten,hofɡaɐtən
kettenkamp,ketənkamp
gehrde,ɡeːɐdə
studios,ʃtuːdios
hasbergen,hasbeɐɡən
thomanerchor,toːmaːneɐxoɐ
abitur,abiːtuɐ
faguswerk,faːɡusveɐk
prora,pʁoːʀaː
rheinstadion,ʁhainstaːdion
bendorf,bəndoɐf
realschule,ʁealʃulə
dresdner,tʁestnɐ
rollei,ʁolaie
elbingerode,elbiŋeːʀodə
lifeforce,liːfeːfoɐkə
südwestrundfunk,zytvestʁuntfuŋk
sportpalast,ʃpoɐtpaːlast
bühren,byːʀən
deutschpolnischer,doyt͡ʃpolniʃɐ
grenzvertrag,kʁənt͡sfeɐtʁak
wietzen,viːt͡sən
baskets,baskets
ostseestadion,ostseːstaːdion
merzen,meɐt͡sən
lübberstedt,lypbeɐstet
schwanewede,ʃvaːneːvedə
berge,beɐɡə
landespolizei,landespoːliːt͡saie
oberwesel,obeɐveːsel
residenz,ʁeːsiːdənt͡s
parkstadion,paɐkstaːdion
focus,foːkus
bundesgerichtshof,bundesɡeːʀixtshof
vitra,fitʁaː
design,deːsiçn
museum,muːsoym
theresienwiese,teːʀesiːnviːsə
hechthausen,hextauhsən
komische,koːmiʃə
menslage,mənslaɡə
meckel,meːkel
minox,miːnoks
beckedorf,beːkedoɐf
heeßen,heːsən
nordsehl,noɐtseːl
glashütte,klashytə
original,oʀiːɡinal
gumpert,ɡumpeɐt
sportwagenmanufaktur,ʃpoɐtvaːɡənmaːnuːfaktuɐ
italia,iːtaːlia
fränkische,fʁeŋkiʃə
alb,alp
deutschebankhochhaus,doyht͡ʃeːbaŋkhoxhaus
hanhart,hanhaɐt
pohle,poːlə
hackesche,haːkeʃə
höfe,høfə
bombardier,bombaɐdiɐ
transportation,tʁanspoɐtaːt͡sion
krebeck,kʁeːbek
vossloh,fosloː
wandervogel,vandeɐfoːɡel
angriff,aŋkʁif
kempinski,kempinskiː
uvex,uːfeks
massacre,masakʁə
friedland,fʁiːtlant
dortmundemskanal,doɐtmundemskaːnal
alten,altən
försterei,føɐsteːʀaie
haßbergen,hasbeɐɡən
lustgarten,lustɡaɐtən
hohenschwangau,hoːhənʃvaŋauh
mödlareuth,møtlaːʀoyt
norisring,noːʀisʁiŋk
autostadt,auhtostat
wella,velaː
schweiz,ʃvait͡s
rosenaustadion,ʁoːseːnaustaːdion
apollo,apoloː
noise,noisə
wilkinson,vilkinson
sword,svoɐt
jusos,juːsos
leibnizpreis,laipnit͡spʁais
echo,exoː
staedtler,ʃtaetlɐ
augsburger,auɡsbuɐɡɐ
wölpinghausen,vølpiŋkhauhsən
guntersblum,ɡunteɐsplum
udonen,uːdoːnən
osthofen,ostoːfən
hauptschule,haupt͡ʃulə
heereswaffenamt,heːʀesvafeːnamt
ostereierschieben,osteːʀaieɐʃiːbən
velothon,feːloton
eumetsat,oyhmetsat
experian,ekspeːʀian
gemballa,ɡembalaː
walkenried,valkənʁiːt
fresenius,fʁeːsənius
werft,veɐft
europrop,oyhʀopʁop
heuchlingen,hoyxliŋən
königsfeld,køːniçsfelt
