andrzej,andʐɛj
kubot,kubɔt
kruczek,krut͡ʂɛk
bednarekkasza,bɛdnarɛkkaʂa
abe,abɛ
coleman,t͡sɔlɛman
olgierdówna,ɔlɡʲɛrduvna
świątek,ɕfjɔntɛk
kołodziej,kɔwɔd͡ʑɛj
kleeberg,klɛɛbɛrk
kopański,kɔpaɲskʲi
rybus,rɨbus
darski,darskʲi
kukiel,kukʲɛl
korczyc,kɔrt͡ʂɨt͡s
merwart,mɛrvart
bortnowski,bɔrtnɔfskʲi
eleonora,ɛlɛɔnɔra
dziękiewicz,d͡ʑɛŋkʲɛvit͡ʂ
deyna,dɛjna
andrzejewski,andʐɛjɛfskʲi
delfina,dɛlfina
potocka,pɔtɔt͡ska
basta,basta
rubén,rubɛ́n
wolkowyski,vɔlkɔvɨskʲi
mirek,mirɛk
halter,xaltɛr
izabela,izabɛla
bełcik,bɛwt͡ɕik
weissowa,vɛjssɔva
kłys,kwɨs
kędzierzawska,kɛnd͡ʑɛʐafska
domański,dɔmaɲskʲi
zając,zajɔnt͡s
kowalińska,kɔvaliɲska
rechnio,rɛxɲɔ
białkowski,bjawkɔfskʲi
aneta,anɛta
szczepańska,ʂt͡ʂɛpaɲska
dąbrowski,dɔmbrɔfskʲi
gabriela,ɡabrjɛla
polańska,pɔlaɲska
sadurek,sadurɛk
skowrońska,skɔvrɔɲska
klata,klata
śliwa,ɕliva
struss,struss
hope,xɔpɛ
dworaczyk,dvɔrat͡ʂɨk
pierre,pjɛrrɛ
mankowski,mankɔfskʲi
ekier,ɛkʲɛr
lewczuk,lɛft͡ʂuk
hoffman,xɔffman
kulig,kulik
pobożny,pɔbɔʐnɨ
soszyński,sɔʂɨɲskʲi
dydek,dɨdɛk
berenika,bɛrɛɲika
tomsia,tɔmɕa
wołosz,vɔwɔʂ
skorupa,skɔrupa
zaroślińskakról,zarɔɕliɲskakrul
ulam,ulam
klaudia,klavdja
kaczorowska,kat͡ʂɔrɔfska
różycka,ruʐɨt͡ska
zalewski,zalɛfskʲi
tokarska,tɔkarska
skorża,skɔʐ̇a
czajkowska,t͡ʂajkɔfska
gundlach,ɡundlax
rogowiec,rɔɡɔvjɛt͡s
icchak,it͡sxak
cukierman,t͡sukʲɛrman
edmund,ɛdmunt
orlik,ɔrlik
leonard,lɛɔnart
pietraszak,pjɛtraʂak
mączyński,mɔnt͡ʂɨɲskʲi
zatorski,zatɔrskʲi
beata,bɛata
szydło,ʂɨdwɔ
bagiński,baɡʲiɲskʲi
angelika,anɡɛlika
cichocka,t͡ɕixɔt͡ska
imich,imix
klimecki,klimɛt͡skʲi
lesser,lɛssɛr
małkowski,mawkɔfskʲi
pogány,pɔɡánɨ
wiszniewicz,viʂɲɛvit͡ʂ
sergiusz,sɛrɡʲifʂ
żymełka,ʐɨmɛwka
głogowski,ɡwɔɡɔfskʲi
cieplucha,t͡ɕɛpluxa
gajownik,ɡajɔvɲik
regina,rɛɡʲina
smendzianka,smɛnd͡ʑanka
wisłocki,viswɔt͡skʲi
kochański,kɔxaɲskʲi
nowaktrębacka,nɔvaktrɛmbat͡ska
kruszelnicki,kruʂɛlɲit͡skʲi
kolasiński,kɔlaɕiɲskʲi
wincenty,vint͡sɛntɨ
kryger,krɨɡɛr
władimir,vwadimir
agapiejew,aɡapjɛjɛf
alexandra,alɛxandra
kamieniecki,kamjɛɲɛt͡skʲi
teodorczyk,tɛɔdɔrt͡ʂɨk
klimczak,klimt͡ʂak
budner,budnɛr
bamberlaskowska,bambɛrlaskɔfska
wittek,vittɛk
romer,rɔmɛr
strugała,struɡawa
styczyńska,stɨt͡ʂɨɲska
stryja,strɨja
wierczuk,vjɛrt͡ʂuk
fonfara,fɔnfara
buchalik,buxalik
tałaj,tawaj
eitel,ɛjtɛl
jarecki,jarɛt͡skʲi
herman,xɛrman
linetty,linɛttɨ
george,ɡɛɔrɡɛ
modelski,mɔdɛlskʲi
klimaszewski,klimaʂɛfskʲi
aszkiełowicz,aʂkʲɛwɔvit͡ʂ
machulska,maxulska
onar,ɔnar
skorupski,skɔrupskʲi
wojdan,vɔjdan
wiłkomirski,viwkɔmirskʲi
głowacki,ɡwɔvat͡skʲi
pawłowski,pavwɔfskʲi
korneluk,kɔrnɛluk
olkowski,ɔlkɔfskʲi
janicki,jaɲit͡skʲi
gikiewicz,ɡʲikʲɛvit͡ʂ
radosław,radɔswaf
wójcikowski,vujt͡ɕikɔfskʲi
kuczma,kut͡ʂma
seweryn,sɛvɛrɨn
michalski,mixalskʲi
held,xɛlt
sabina,sabina
wojtala,vɔjtala
duda,duda
kędziora,kɛnd͡ʑɔra
fiedor,fjɛdɔr
marciniak,mart͡ɕiɲak
żmudziński,ʐmud͡ʑiɲskʲi
świątekżelazna,ɕfjɔntɛɡʐɛlazna
makowski,makɔfskʲi
stefańska,stɛfaɲska
reiter,rɛjtɛr
adamiak,adamjak
bogusława,bɔɡuswava
olechnowicz,ɔlɛxnɔvit͡ʂ
leśniewicz,lɛɕɲɛvit͡ʂ
trzaskowski,tʂaskɔfskʲi
donatan,dɔnatan
łomacz,wɔmat͡ʂ
osińska,ɔɕiɲska
hołownia,xɔwɔvɲa
suszko,suʂkɔ
lasocki,lasɔt͡skʲi
bednarczyk,bɛdnart͡ʂɨk
błach,bwax
niewodniczański,ɲɛvɔdɲit͡ʂaɲskʲi
reszko,rɛʂkɔ
borowicz,bɔrɔvit͡ʂ
okoń,ɔkɔɲ
szostak,ʂɔstak
waszczykowski,vaʂt͡ʂɨkɔfskʲi
rau,raf
janik,jaɲik
jasiński,jaɕiɲskʲi
maksymow,maksɨmɔf
lubomirski,lubɔmirskʲi
błachowicz,bwaxɔvit͡ʂ
różalski,ruʐalskʲi
maksymilian,maksɨmiljan
zimoląg,ʑimɔlɔŋk
kaspszyk,kaspʂɨk
hufnagel,xufnaɡɛl
rodowiczczechowska,rɔdɔvit͡ʂt͡ʂɛxɔfska
bielak,bjɛlak
starzyński,staʐɨɲskʲi
irit,irit
amiel,amjɛl
toporowski,tɔpɔrɔfskʲi
bartkowski,bartkɔfskʲi
heromiński,xɛrɔmiɲskʲi
popiwczak,pɔpift͡ʂak
starkel,starkɛl
jotko,jɔtkɔ
kaja,kaja
danczowska,dant͡ʂɔfska
budkowski,butkɔfskʲi
malwina,malvina
smarzek,smaʐɛk
frątczak,frɔntt͡ʂak
roszkowska,rɔʂkɔfska
zakościelny,zakɔɕt͡ɕɛlnɨ
radomił,radɔmiw
wiśniewski,viɕɲɛfskʲi
kaczanow,kat͡ʂanɔf
morawiecki,mɔravjɛt͡skʲi
gontowicz,ɡɔntɔvit͡ʂ
kownacki,kɔvnat͡skʲi
kowalkiewiczzaborowska,kɔvalkʲɛvit͡ʂzabɔrɔfska
bonecki,bɔnɛt͡skʲi
połeć,pɔwɛt͡ɕ
pajor,pajɔr
kaliszekwąsik,kaliʂɛkfɔ̃ɕik
jagiełło,jaɡʲɛwwɔ
helik,xɛlik
tybura,tɨbura
czerniaków,t͡ʂɛrɲakuf
dranka,dranka
sparrow,sparrɔf
bochniewicz,bɔxɲɛvit͡ʂ
monika,mɔɲika
gałkowska,ɡawkɔfska
bielik,bjɛlik
kapustka,kapustka
damian,damjan
kądzior,kɔnd͡ʑɔr
augustyniak,avɡustɨɲak
charamsa,xaramsa
walski,valskʲi
martyna,martɨna
grajbernowakowska,ɡrajbɛrnɔvakɔfska
gamrot,ɡamrɔt
śliwka,ɕlifka
buksa,buksa
dawidowicz,davidɔvit͡ʂ
masłowski,maswɔfskʲi
bartłomiej,bartwɔmjɛj
drągowski,drɔŋɡɔfskʲi
szwoch,ʂfɔx
wieteska,vjɛtɛska
piątkowska,pjɔntkɔfska
tarnowski,tarnɔfskʲi
cieślak,t͡ɕɛɕlak
sulęcki,sulɛnt͡skʲi
starr,starr
babatunde,babatundɛ
aiyegbusi,ajjɛɡbuɕi
żal,ʐal
ozdobabłach,ɔzdɔbabwax
majdan,majdan
natasha,natasxa
ogórek,ɔɡurɛk
brodnicka,brɔdɲit͡ska
cleo,t͡slɛɔ
rejment,rɛjmɛnt
maksym,maksɨm
spodyriew,spɔdɨrjɛf
wojtkowski,vɔjtkɔfskʲi
dankowski,dankɔfskʲi
hubert,xubɛrt
hurkacz,xurkat͡ʂ
fornal,fɔrnal
niezgoda,ɲɛzɡɔda
andrejczyk,andrɛjt͡ʂɨk
angielski,anɡʲɛlskʲi
bieniek,bjɛɲɛk
gąska,ɡɔ̃ska
kaczmarek,kat͡ʂmarɛk
michalina,mixalina
olszańska,ɔlʂaɲska
cyryl,t͡sɨrɨl
kozaczewski,kɔzat͡ʂɛfskʲi
reca,rɛt͡sa
jach,jax
niedźwiedź,ɲɛd͡ʑvjɛt͡ɕ
łukasik,wukaɕik
piątek,pjɔntɛk
kudła,kudwa
patryk,patrɨk
dziczek,d͡ʑit͡ʂɛk
szymiński,ʂɨmiɲskʲi
lis,lis
wlazło,vlazwɔ
zioła,ʑɔwa
jóźwiak,juʑvjak
gumny,ɡumnɨ
matty,mattɨ
cash,t͡sasx
góralski,ɡuralskʲi
klimala,klimala
semeniuk,sɛmɛɲuk
majecki,majɛt͡skʲi
szubartowicz,ʂubartɔvit͡ʂ
iga,iɡa
bielenia,bjɛlɛɲa
alina,alina
scholtz,sxɔlts
danek,danɛk
żurkowski,ʐurkɔfskʲi
pacutkłoczko,pat͡sutkwɔt͡ʂkɔ
płacheta,pwaxɛta
wierzchleyska,vjɛʂxlɛjska
kryscina,krɨst͡ɕina
cimanouska,t͡ɕimanɔfska
praszelik,praʂɛlik
ralph,ralpx
kaminski,kaminskʲi
niemczycki,ɲɛmt͡ʂɨt͡skʲi
tymoteusz,tɨmɔtɛfʂ
puchacz,puxat͡ʂ
tekla,tɛkla
juniewicz,juɲɛvit͡ʂ
stenzel,stɛnzɛl
olivia,ɔlivja
różański,ruʐaɲskʲi
moder,mɔdɛr
alagierskaszczepaniak,alaɡʲɛrskaʂt͡ʂɛpaɲak
nowicka,nɔvit͡ska
alan,alan
czerwiński,t͡ʂɛrviɲskʲi
żukowski,ʐukɔfskʲi
walukiewicz,valukʲɛvit͡ʂ
grabara,ɡrabara
jekatierina,jɛkatjɛrina
kurakowa,kurakɔva
marchwiński,marxfiɲskʲi
młyński,mwɨɲskʲi
bogusz,bɔɡuʂ
stysiak,stɨɕak
ciebień,t͡ɕɛbjɛɲ
mateo,matɛɔ
klimowicz,klimɔvit͡ʂ
skóraś,skuraɕ
izydorczyk,izɨdɔrt͡ʂɨk
milewski,milɛfskʲi
karbownik,karbɔvɲik
kiwior,kʲivjɔr
piątkowski,pjɔntkɔfskʲi
nicola,ɲit͡sɔla
serafin,sɛrafin
szota,ʂɔta
viki,vikʲi
gabor,ɡabɔr
slisz,sliʂ
szymańska,ʂɨmaɲska
białek,bjawɛk
slonina,slɔɲina
smoliński,smɔliɲskʲi
jeremy,jɛrɛmɨ
sochan,sɔxan
wenerska,vɛnɛrska
krasowska,krasɔfska
łęgowski,wɛŋɡɔfskʲi
polska,pɔlska
województwo,vɔjɛvud͡stfɔ
dolnośląskie,dɔlnɔɕlɔ̃skʲɛ
głogów,ɡwɔɡuf
iława,iwava
oświęcim,ɔɕfjɛnt͡ɕim
świętochłowice,ɕfjɛntɔxwɔvit͡sɛ
poznań,pɔznaɲ
toruń,tɔruɲ
babsk,bapsk
warszawa,varʂava
gdynia,ɡdɨɲa
śląsk,ɕlɔ̃sk
szczecin,ʂt͡ʂɛt͡ɕin
tarnobrzeg,tarnɔbʐɛk
gniezno,ɡɲɛznɔ
leszno,lɛʂnɔ
tychy,tɨxɨ
kalisz,kaliʂ
koło,kɔwɔ
katowice,katɔvit͡sɛ
rzeszów,ʐɛʂuf
ostrów,ɔstruf
wielkopolski,vjɛlkɔpɔlskʲi
ełk,ɛwk
koszalin,kɔʂalin
nowy,nɔvɨ
dwór,dvur
królewski,krulɛfskʲi
racibórz,rat͡ɕibuʂ
łódź,wut͡ɕ
gmina,ɡmina
białystok,bjawɨstɔk
sącz,sɔnt͡ʂ
olsztyn,ɔlʂtɨn
łużyce,wuʐɨt͡sɛ
kraków,krakuf
chrzanów,xʂanuf
łuków,wukuf
sopot,sɔpɔt
opole,ɔpɔlɛ
karpaty,karpatɨ
gdańsk,ɡdaɲsk
sanok,sanɔk
jeleniogórskie,jɛlɛɲɔɡurskʲɛ
słubice,swubit͡sɛ
lublin,lublin
wrocław,vrɔt͡swaf
międzyrzec,mjɛnd͡zɨʐɛt͡s
podlaski,pɔdlaskʲi
polonez,pɔlɔnɛs
kurów,kuruf
zabrze,zabʐɛ
końskowola,kɔɲskɔvɔla
police,pɔlit͡sɛ
śniardwy,ɕɲardvɨ
skierniewice,skʲɛrɲɛvit͡sɛ
wieluń,vjɛluɲ
bydgoszcz,bɨdɡɔʂt͡ʂ
świnoujście,ɕfinɔvjɕt͡ɕɛ
kielce,kʲɛlt͡sɛ
przemyśl,pʂɛmɨɕl
polesie,pɔlɛɕɛ
śrem,ɕrɛm
bytom,bɨtɔm
sokolnictwo,sɔkɔlɲit͡stfɔ
częstochowa,t͡ʂɛ̃stɔxɔva
żelazowa,ʐɛlazɔva
wola,vɔla
radom,radɔm
chorzów,xɔʐuf
łomża,wɔmʐa
słupsk,swupsk
pomorze,pɔmɔʐɛ
zgierz,zɡʲɛʂ
żory,ʐɔrɨ
żubrówka,ʐubrufka
dziecinów,d͡ʑɛt͡ɕinuf
flis,flis
elbląg,ɛlblɔŋk
zielona,ʑɛlɔna
góra,ɡura
płock,pwɔt͡sk
gorzów,ɡɔʐuf
wadowice,vadɔvit͡sɛ
brzeg,bʐɛk
gliwice,ɡlivit͡sɛ
sosnowiec,sɔsnɔvjɛt͡s
kalwaria,kalvarja
zebrzydowska,zɛbʐɨdɔfska
stargard,starɡart
legnica,lɛɡɲit͡sa
tarnów,tarnuf
terespol,tɛrɛspɔl
łowicz,wɔvit͡ʂ
ruda,ruda
kołobrzeg,kɔwɔbʐɛk
rybnik,rɨbɲik
włocławek,vwɔt͡swavɛk
dąbrowa,dɔmbrɔva
górnicza,ɡurɲit͡ʂa
wałbrzych,vawbʐɨx
targ,tark
podhale,pɔtxalɛ
chełm,xɛwm
pawiak,pavjak
suwałki,suvawkʲi
lubin,lubin
jelcz,jɛlt͡ʂ
widzew,vid͡zɛf
złoty,zwɔtɨ
grudziądz,ɡrud͡ʑɔnd͡s
piła,piwa
powiat,pɔvjat
telewizja,tɛlɛvizja
ostrołęka,ɔstrɔwɛŋka
futuryzm,futurɨzm
sochaczew,sɔxat͡ʂɛf
topfmine,tɔpfminɛ
sulechów,sulɛxuf
węgorzyno,vɛŋɡɔʐɨnɔ
powidła,pɔvidwa
wisła,viswa
trzciano,tʂt͡ɕanɔ
górnik,ɡurɲik
augustów,avɡustuf
berlinwarszawaexpress,bɛrlinvarʂavaɛxprɛss
polonia,pɔlɔɲa
wieliczka,vjɛlit͡ʂka
tczew,tt͡ʂɛf
metal,mɛtal
mind,mint
productions,prɔdut͡stjɔns
leżajsk,lɛʐajsk
łobez,wɔbɛs
pijarzy,pijaʐɨ
zagłębie,zaɡwɛmbjɛ
polityka,pɔlitɨka
knurów,knuruf
eurokorpus,ɛvrɔkɔrpus
lędziny,lɛnd͡ʑinɨ
lębork,lɛmbɔrk
zakopane,zakɔpanɛ
starogard,starɔɡart
gdański,ɡdaɲskʲi
zamość,zamɔɕt͡ɕ
malbork,malbɔrk
strzelce,stʂɛlt͡sɛ
opolskie,ɔpɔlskʲɛ
raków,rakuf
westerplatte,vɛstɛrplattɛ
polski,pɔlskʲi
fiat,fjat
zgorzelec,zɡɔʐɛlɛt͡s
jelenia,jɛlɛɲa
jasna,jasna
ruch,rux
sarbinowo,sarbinɔvɔ
sobibór,sɔbibur
getto,ɡɛttɔ
krakowskie,krakɔfskʲɛ
stębark,stɛmbark
warszawskie,varʂafskʲɛ
parowozownia,parɔvɔzɔvɲa
stolperstein,stɔlpɛrstɛjn
tour,tɔvr
de,dɛ
pologne,pɔlɔɡnɛ
kętrzyn,kɛntʂɨn
ustka,ustka
cieszyn,t͡ɕɛʂɨn
kostrzyn,kɔstʂɨn
nad,nat
odrą,ɔdrɔ̃
puławy,puwavɨ
piotrków,pjɔtrkuf
trybunalski,trɨbunalskʲi
bełchatów,bɛwxatuf
warmia,varmja
żagań,ʐaɡaɲ
jaworzno,javɔʐnɔ
siemianowice,ɕɛmjanɔvit͡sɛ
śląskie,ɕlɔ̃skʲɛ
piekary,pjɛkarɨ
brzesko,bʐɛskɔ
radomsko,radɔmskɔ
wąbrzeźno,vɔmbʐɛʑnɔ
kłobuck,kwɔbut͡sk
tarnowska,tarnɔfska
bieruń,bjɛruɲ
pajęczno,pajɛnt͡ʂnɔ
stutthof,stuttxɔf
braniewo,braɲɛvɔ
mysłowice,mɨswɔvit͡sɛ
czeladź,t͡ʂɛlat͡ɕ
goleniów,ɡɔlɛɲuf
tarnowskie,tarnɔfskʲɛ
góry,ɡurɨ
chełmno,xɛwmnɔ
morskie,mɔrskʲɛ
oko,ɔkɔ
łazy,wazɨ
łapy,wapɨ
bobrowniki,bɔbrɔvɲikʲi
stomil,stɔmil
żywiec,ʐɨvjɛt͡s
zawisza,zaviʂa
inowrocław,inɔvrɔt͡swaf
gryfici,ɡrɨfit͡ɕi
imielin,imjɛlin
mikołów,mikɔwuf
konfederacja,kɔnfɛdɛrat͡sja
polskoczechosłowacka,pɔlskɔt͡ʂɛxɔswɔvat͡ska
jagiellonia,jaɡʲɛllɔɲa
dyskobolia,dɨskɔbɔlja
grodzisk,ɡrɔd͡ʑisk
mrągowo,mrɔŋɡɔvɔ
bonifratrzy,bɔɲifratʂɨ
sandomierz,sandɔmjɛʂ
legia,lɛɡʲja
tatry,tatrɨ
nysa,nɨsa
bochnia,bɔxɲa
kunowice,kunɔvit͡sɛ
arka,arka
lubelskie,lubɛlskʲɛ
rysy,rɨsɨ
wejherowo,vɛjxɛrɔvɔ
giżycko,ɡʲiʐɨt͡skɔ
sławków,swafkuf
bar,bar
mleczny,mlɛt͡ʂnɨ
łańcuch,waɲt͡sux
alpejskohimalajski,alpɛjskɔximalajskʲi
prudnik,prudɲik
hel,xɛl
bełżec,bɛwʐɛt͡s
podpłomyk,pɔtpwɔmɨk
kłodawa,kwɔdava
miedź,mjɛt͡ɕ
padniewko,padɲɛfkɔ
nowotarski,nɔvɔtarskʲi
trzebinia,tʂɛbiɲa
aula,avla
leopoldina,lɛɔpɔldina
rzepin,ʐɛpin
gietrzwałd,ɡʲɛtʂfawt
brzezinka,bʐɛʑinka
ostróda,ɔstruda
pruszków,pruʂkuf
osinów,ɔɕinuf
dolny,dɔlnɨ
tomaszów,tɔmaʂuf
lubelski,lubɛlskʲi
orlen,ɔrlɛn
korona,kɔrɔna
myszków,mɨʂkuf
lechia,lɛxja
wołczyn,vɔwt͡ʂɨn
mikołajki,mikɔwajkʲi
tarnogórski,tarnɔɡurskʲi
wojkowice,vɔjkɔvit͡sɛ
krzemionki,kʂɛmjɔnkʲi
oliwa,ɔliva
platforma,platfɔrma
wschodnioeuropejska,fsxɔdɲɔɛvrɔpɛjska
jomsborg,jɔmsbɔrk
grunwald,ɡrunvalt
chrząchów,xʂɔnxuf
łęczna,wɛnt͡ʂna
warta,varta
skra,skra
ergo,ɛrɡɔ
arena,arɛna
spodek,spɔdɛk
centralwings,t͡sɛntralvinks
turzonowie,tuʐɔnɔvjɛ
faworki,favɔrkʲi
marka,marka
szczerbiec,ʂt͡ʂɛrbjɛt͡s
szlakiem,ʂlakʲɛm
grodów,ɡrɔduf
piastowskich,pjastɔfskʲix
bielski,bjɛlskʲi
rozewie,rɔzɛvjɛ
krzywy,kʂɨvɨ
las,las
hate,xatɛ
radomiak,radɔmjak
ekstraliga,ɛkstraliɡa
baseballowa,basɛballɔva
stal,stal
mielec,mjɛlɛt͡s
uniwersytet,uɲivɛrsɨtɛt
marii,marji
curieskłodowskiej,t͡surjɛskwɔdɔfskʲɛj
sąsiadka,sɔ̃ɕatka
rajd,rajt
gruchawka,ɡruxafka
techland,tɛxlant
plusliga,plusliɡa
niegosławice,ɲɛɡɔswavit͡sɛ
bochotnica,bɔxɔtɲit͡sa
open,ɔpɛn
żabka,ʐapka
radonica,radɔɲit͡sa
baumkuchen,bavmkuxɛn
coffeeheaven,t͡sɔffɛɛxɛavɛn
opener,ɔpɛnɛr
festival,fɛstival
bokszeosada,bɔkʂɛɔsada
sempółki,sɛmpuwkʲi
protram,prɔtram
przewodów,pʂɛvɔduf
piotrowice,pjɔtrɔvit͡sɛ
teyon,tɛjɔn
trojany,trɔjanɨ
głębowice,ɡwɛmbɔvit͡sɛ
styków,stɨkuf
płaszów,pwaʂuf
extinction,ɛxtint͡stjɔn
rebellion,rɛbɛlljɔn
grupa,ɡrupa
ładosia,wadɔɕa
european,ɛvrɔpɛan
league,lɛaɡuɛ
of,ɔf
football,fɔɔtball
camp,t͡samp
kościuszko,kɔɕt͡ɕuʂkɔ
nowacki,nɔvat͡skʲi
fleischer,flɛjsxɛr
ehrenfeucht,ɛxrɛnfɛfxt
konrad,kɔnrat
fiałkowski,fjawkɔfskʲi
linda,linda
cezary,t͡sɛzarɨ
pazura,pazura
zelnik,zɛlɲik
kuroń,kurɔɲ
langer,lanɡɛr
rutkowska,rutkɔfska
blacha,blaxa
englert,ɛnɡlɛrt
fedorowicz,fɛdɔrɔvit͡ʂ
fronczewski,frɔnt͡ʂɛfskʲi
renate,rɛnatɛ
von,vɔn
natzmer,natzmɛr
smuda,smuda
bujakiewicz,bujakʲɛvit͡ʂ
jolanta,jɔlanta
kukiz,kukʲis
ledóchowska,lɛduxɔfska
samborski,sambɔrskʲi
adametz,adamɛts
sabbat,sabbat
wojciechowski,vɔjt͡ɕɛxɔfskʲi
hilmar,xilmar
kopper,kɔppɛr
kulesza,kulɛʂa
kęstowicz,kɛ̃stɔvit͡ʂ
macharski,maxarskʲi
szeptycki,ʂɛptɨt͡skʲi
jagna,jaɡna
marczułajtiswalczak,mart͡ʂuwajtisfalt͡ʂak
hilary,xilarɨ
skarżyński,skaʐ̇ɨɲskʲi
zaleski,zalɛskʲi
malicka,malit͡ska
zyta,zɨta
gilowska,ɡʲilɔfska
gustaw,ɡustaf
gizewiusz,ɡʲizɛvifʂ
benita,bɛɲita
falkenhayn,falkɛnxajn
sopoćko,sɔpɔt͡ɕkɔ
cimoszewicz,t͡ɕimɔʂɛvit͡ʂ
hirszfeld,xirʂfɛlt
bielecki,bjɛlɛt͡skʲi
szpinalski,ʂpinalskʲi
ostrowski,ɔstrɔfskʲi
raczkiewicz,rat͡ʂkʲɛvit͡ʂ
bernard,bɛrnart
raczyński,rat͡ʂɨɲskʲi
dorn,dɔrn
klemperer,klɛmpɛrɛr
olszewski,ɔlʂɛfskʲi
pawlak,pavlak
wojtek,vɔjtɛk
sozanska,sɔzanska
graff,ɡraff
kubary,kubarɨ
gosiewski,ɡɔɕɛfskʲi
lestek,lɛstɛk
bela,bɛla
siedzikówna,ɕɛd͡ʑikuvna
przewoźnik,pʂɛvɔʑɲik
nycz,nɨt͡ʂ
piesiewicz,pjɛɕɛvit͡ʂ
rzewuski,ʐɛvuskʲi
cielecka,t͡ɕɛlɛt͡ska
elonka,ɛlɔnka
dunin,duɲin
glinka,ɡlinka
szpilka,ʂpilka
pol,pɔl
feliks,fɛliks
nowowiejski,nɔvɔvjɛjskʲi
smarzowski,smaʐɔfskʲi
ledwoń,lɛdvɔɲ
mierosławski,mjɛrɔswafskʲi
nowicki,nɔvit͡skʲi
kszczot,kʂt͡ʂɔt
holender,xɔlɛndɛr
nizioł,ɲiʑɔw
konopko,kɔnɔpkɔ
huzarski,xuzarskʲi
nawałka,navawka
sobańska,sɔbaɲska
buziak,buʑak
druszkiewicz,druʂkʲɛvit͡ʂ
promiński,prɔmiɲskʲi
weber,vɛbɛr
anzia,anʑa
yezierska,jɛʑɛrska
rutkowski,rutkɔfskʲi
baszczyński,baʂt͡ʂɨɲskʲi
kłosiński,kwɔɕiɲskʲi
modrzejewski,mɔdʐɛjɛfskʲi
gebel,ɡɛbɛl
taciak,tat͡ɕak
sosińskajanczewska,sɔɕiɲskajant͡ʂɛfska
piechowski,pjɛxɔfskʲi
kupiec,kupjɛt͡s
proksa,prɔksa
porecki,pɔrɛt͡skʲi
chruściel,xruɕt͡ɕɛl
stabrawa,stabrava
sheybal,sxɛjbal
kulawik,kulavik
dygacz,dɨɡat͡ʂ
kętrzyński,kɛntʂɨɲskʲi
wadecki,vadɛt͡skʲi
olejniczak,ɔlɛjɲit͡ʂak
gołąb,ɡɔwɔmp
szymkowiak,ʂɨmkɔvjak
świerzy,ɕfjɛʐɨ
arnold,arnɔlt
walfisz,valfiʂ
axentowicz,axɛntɔvit͡ʂ
skrzypek,skʂɨpɛk
kurowski,kurɔfskʲi
wieruszkowalski,vjɛruʂkɔvalskʲi
cichy,t͡ɕixɨ
gil,ɡʲil
vermouth,vɛrmɔftx
buk,buk
róża,ruʐa
robota,rɔbɔta
wójcik,vujt͡ɕik
simlat,ɕimlat
ziobro,ʑɔbrɔ
arciszewski,art͡ɕiʂɛfskʲi
engelking,ɛnɡɛlkʲink
dolniak,dɔlɲak
bogdan,bɔɡdan
borusewicz,bɔrusɛvit͡ʂ
palikot,palikɔt
schudrich,sxudrix
savielly,savjɛllɨ
tartakower,tartakɔvɛr
piekałkiewicz,pjɛkawkʲɛvit͡ʂ
wieniawadługoszowski,vjɛɲavadwuɡɔʂɔfskʲi
michnik,mixɲik
markus,markus
brzenska,bʐɛnska
ochab,ɔxap
łoś,wɔɕ
adolf,adɔlf
chybiński,xɨbiɲskʲi
herbert,xɛrbɛrt
kozłowskikleinman,kɔzwɔfskʲiklɛjnman
siemomysł,ɕɛmɔmɨsw
lepper,lɛppɛr
wittlin,vittlin
paterski,patɛrskʲi
petersburski,pɛtɛrsburskʲi
schetyna,sxɛtɨna
glemp,ɡlɛmp
łobodziński,wɔbɔd͡ʑiɲskʲi
kadłubek,kadwubɛk
leśmian,lɛɕmjan
kornel,kɔrnɛl
schultz,sxults
hipolit,xipɔlit
cegielski,t͡sɛɡʲɛlskʲi
żorawski,ʐɔrafskʲi
radziwiłowicz,rad͡ʑiviwɔvit͡ʂ
zaremba,zarɛmba
chałbiński,xawbiɲskʲi
bujak,bujak
lec,lɛt͡s
foremniak,fɔrɛmɲak
słonimski,swɔɲimskʲi
modzelewski,mɔd͡zɛlɛfskʲi
badora,badɔra
mięciel,mjɛnt͡ɕɛl
listkiewicz,listkʲɛvit͡ʂ
olgierd,ɔlɡʲɛrt
łukaszewicz,wukaʂɛvit͡ʂ
brandys,brandɨs
napieralski,napjɛralskʲi
wypych,vɨpɨx
zapasiewicz,zapaɕɛvit͡ʂ
vilner,vilnɛr
tuwim,tuvim
izrael,izraɛl
jehoszua,jɛxɔʂua
płoski,pwɔskʲi
stasiak,staɕak
zbyszko,zbɨʂkɔ
slowinski,slɔvinskʲi
adamski,adamskʲi
pietrzykowski,pjɛtʂɨkɔfskʲi
janus,janus
jacques,jat͡squɛs
bergier,bɛrɡʲɛr
golański,ɡɔlaɲskʲi
wilhelm,vilxɛlm
sasnal,sasnal
rakowski,rakɔfskʲi
warlikowski,varlikɔfskʲi
heller,xɛllɛr
ziober,ʑɔbɛr
religa,rɛliɡa
okulicki,ɔkulit͡skʲi
murdzia,murd͡ʑa
sobolewski,sɔbɔlɛfskʲi
giza,ɡʲiza
gancarczyk,ɡant͡sart͡ʂɨk
szahak,ʂaxak
dziewanowski,d͡ʑɛvanɔfskʲi
hula,xula
wassermann,vassɛrmann
peradze,pɛrad͡zɛ
kotoński,kɔtɔɲskʲi
błażyński,bwaʐɨɲskʲi
kołecki,kɔwɛt͡skʲi
