hebe,ヘーペ
ferraz,フェラス
leonilson,レオニウソン
manuela,マヌエラ
d'ávila,ダビラ
manu,マニュ
gavassi,ガバシー
mestre,メストリ
marçal,マルサル
duque,ドゥケ
mike,マイク
krieger,クリーガー
rosicleia,ロジクレイア
rosilette,ロシレッテ
teresa,テレサ
pietro,ピエトロ
stacy,ステイシー
perfetti,パーフェッティ
iuri,ユーリ
tião,チアゥン
carreiro,カレイロ
rolls,ホーウス
ágatha,アガタ
bednarczuk,ベドナルズク
anitta,アニッタ
vanessa,ヴァネッサ
porto,ポルト
azevêdo,アゼベド
agenor,アジェノール
detofol,デトフォウ
bárbara,バルバラ
seixas,セイシャス
nicanor,ニカノール
appelt,アペルト
ailton,アイウトン
krenak,クレナッキ
taciana,タシアナ
agostinho,アゴスティーニョ
mota,モタ
gadelha,ガデーリャ
toshiki,トシキ
pastusiak,パストゥシャク
milagres,ミラグレス
avancini,アヴァンシーニ
drysdale,ドリスデール
éderson,エデルソン
lo,ロ
wendell,ヴェンデウ
girotto,ジロット
prazeres,プラゼレス
cracco,クラッコ
vinícius,ヴィニシウス
alysson,アリソン
muotri,ムオトリ
bendini,ベンディニ
giusti,ジュスティ
worms,ウォルムス
léia,レイア
carcasci,カーカッシ
lerbach,レルバッキ
bethe,ベチ
ellen,エレン
cazuo,カズオ
matsumoto,マツモト
paese,ペイジ
leismann,レイスマン
régis,ヘギス
salmazzo,サウマッゾ
debinha,デビーニャ
leo,レオナルド
cittadini,シッタジーニ
maturano,マトゥラーノ
caboclo,カボクロ
pablo,パブロ
otávio,オタヴィオ
passos,パッソス
boschilia,ボシリア
forster,フォルステル
vanderley,ヴァンデルレイ
marinho,マリーニョ
godinho,ゴディーニョ
catole,カトーレ
chibana,チバナ
palmieri,パルミエリ
soler,ソレール
stum,ストゥン
thomas,トーマス
pagnussat,パグヌサット
tuca,トゥッカ
lívia,リヴィア
hérica,エリカ
tibúrcio,チブリシオ
dener,デネル
braz,ブラス
penalber,ペナルベル
warlley,ワーレイ
hoss,オス
marreta,サントス
gerson,ジェルソン
vitti,ヴィッティ
munhoz,ムニョス
pacheco,パチェコ
alef,アレフ
saldanha,サルダーニャ
franchescoli,フランシェスコリ
macris,マクリス
odair,オダイル
elosman,シウヴァ
euller,カヴァウカンチ
cavalcanti,エウレー
ignácio,イグナシオ
jailson,ジャイウソン
marcelino,マルセリーノ
raoni,ラオーニ
barcelos,バルセロス
sette,セッテ
hernani,エルナニ
rosamaria,ロザマリア
montibeller,モンチベレル
sakai,サカイ
andrei,アンドレイ
kalindra,カリンドラ
farinhas,ファリニャス
taffner,タフネル
yoandy,イオアンディ
kochhann,コシャン
mina,ミナ
klabin,クラビン
warchavchik,ワルチャブチク
sergio,セルジオ
moro,モロ
naiane,ナイアネ
rios,リオス
kim,キム
kataguiri,カタギリ
sergipano,ムニス
lenora,レノラ
maycon,マイコン
barberan,バルベラン
asevedo,アゼヴェード
furtado,フルタード
pabllo,パブロ
vittar,ヴィター
renê,ヘネ
melody,メロディー
reiter,ヘイテル
claus,クラウス
luque,ルケ
marília,マリリア
ariane,アリアネ
lipski,リプスキ
glaico,グライコ
haline,アリニ
scatrut,スカトルト
pantoja,パントージャ
schwengber,シヴェングベル
martello,マルテーロ
curzel,クルゼウ
domilson,ドミウソン
luiza,ルイザ
stambowsky,スタンボスキ
marcus,マルクス
trad,トラッド
delmino,デウミノ
enzo,エンツォ
drugovich,ドルゴヴィッチ
brenner,ブレネー
marlos,マルロス
varanda,ヴァランダ
ketlen,ケトレン
takabatake,タカバタケ
sinoê,シノエ
higo,イーゴ
gualberto,グアルベルト
bononi,ボノーニ
cargnin,カルグニン
rossetto,ホゼット
adalberto,アダルベルト
jardim,ジャルディン
evander,エヴァンデル
borrachinha,コスタ
richard,ヒシャルジ
abreu,アブレウ
eike,アイケ
andrew,アンドリュー
parsons,パーソンズ
lodi,ロディ
deiveson,デイブソン
hamilton,アミルトン
mourão,モウラン
jandiroba,ジャンジロバ
seyboth,ザイボチ
wild,ヴィウチ
patrick,パトリック
ezequiel,エゼキエウ
delgado,デルガド
itsuo,イツオ
takayama,タカヤマ
marielle,マリエル
richardson,ヒシャルジソン
lourenço,ロウレンソ
halter,アウテル
klauss,クラウス
rose,ローズ
volantê,ボランテ
rayssa,ライッサ
antony,アントニー
walker,ウォーカー
naum,ナウム
conrado,コンラード
lorenne,ロレンネ
alan,アラン
milka,ミルカ
marcília,マルシリア
celsa,セルサ
quaresma,クアレスマ
satoshi,サトシ
viviane,ビビアン
evanilson,エヴァニウソン
bento,ベント
krepski,クレプスキ
ribas,ヒバス
pyong,ピョン
lee,リー
tai,タイナラ
bontorin,ボントリン
júlia,ジュリア
bergmann,バーグマン
delio,デリオ
venturotti,ベントゥロッティ
mayara,マヤラ
magri,マグリ
vanderson,ヴァンデルソン
antônia,アントニア
norma,ノルマ
dumont,ドゥモン
nyeme,ニエメ
zanellato,ザネラト
fioravanti,フィオラバンチコスタ
inah,イナ
canabarro,カナバッロ
gui,グイ
eshyllen,エシイレン
giovani,ジオヴァニ
kudiess,クジュス
xanana,シャナナ
abel,アベル
sócrates,ソクラテス
manuel,マヌエル
rui,ルイ
futre,フットレ
nelly,ネリー
paciência,パシエンシア
jesualdo,ジェズアウド
maniche,マニシェ
durão,ドゥラン
barroso,バローゾ
saramago,サラマーゴ
caneira,カネイラ
calouste,カルースト
gulbenkian,グルベンキアン
teófilo,テオフィロ
antónio,アントニオ
aníbal,アニーバル
cavaco,カヴァコ
telma,テルマ
sara,サラ
nuno,ヌーノ
indi,インディ
sabrosa,サブローザ
ederzito,エデルジト
aristides,アリスティデス
silvestre,シルヴェストレ
varela,ヴァレラ
mourinho,モウリーニョ
leonor,レオノール
arriaga,アリアガ
patrício,パトリシオ
sidónio,シドニオ
pais,パイス
lázaro,ラザロ
mondlane,モンドラーネ
vitorino,ヴィトリーノ
craveiro,クラヴェイロ
jacinta,ジャシンタ
marto,マルト
bosingwa,ボシングワ
amílcar,アミルカル
rúben,ルベン
gonçalo,ゴンサロ
telles,テレス
bettencourt,ベッテンコート
romagnoli,ロマニョーリ
espírito,エスピリト
baía,バイーア
bebé,ベベ
damásio,ダマシオ
amaury,アマウリ
bischoff,ビショフ
tabucchi,タブッキ
postiga,ポスティガ
moutinho,モウティーニョ
hilário,イラーリオ
amália,アマリア
pauleta,パウレタ
samora,サモラ
machel,マシェル
meireles,メイレレス
roman,ロマン
abramovich,アブラモヴィッチ
edi,エディ
eusébio,エウゼビオ
pia,ピア
saboia,サボイア
costinha,コスチーニャ
guterres,グテーレス
cédric,セドリック
parente,パレンテ
dulce,ドゥルス
lamy,ラミー
daniela,ダニエラ
ruah,ルーア
rego,レゴ
medeiros,メデイロス
évora,エボラ
cabeçadas,カベサダス
proença,プロエンサ
das,ダス
branco,ブランコ
guilhermina,ギレルミナ
suggia,スッジア
francis,フランシス
obikwelu,オビクウェル
queiroz,ケイロス
souto,ソウト
couto,コウト
coentrão,コエントラン
joana,ジョアナ
fátima,ファティマ
pessoa,ペソア
lourdes,ルルデス
pintasilgo,ピンタシルゴ
naide,ナイデ
mísia,ミージア
susana,スザナ
feitor,フェイトル
helena,ヘレナ
magueijo,マゲイジョ
cunhal,クニャル
olegário,オレガリオ
benquerença,ベンケレンサ
valente,ヴァレンテ
cabecinha,カベシーニャ
figo,フィーゴ
dominguez,ドミンゲス
micael,ミカエル
ivo,イヴォ
gameiro,ガメイロ
boa,ボア
morte,モルテ
peixoto,ペイショット
pimparel,ピンパレル
yannick,ヤニック
djaló,ジャロ
ariza,アリザ
makukula,マククラ
trêpa,トレパ
apolónia,アポローニャ
cadete,カデテ
ileana,イリアナ
d'cruz,デクルーズ
filipe,フィリペ
oceano,オセアノ
sequeira,セケイラ
armando,アルマンド
fragoso,フラゴーソ
raphaël,ラファエル
madeira,マデイラ
couceiro,コウセイロ
steven,スティーヴン
vitória,ヴィトーリア
shéu,シェウ
han,ハン
peixe,ペイシェ
joly,ジョリ
cancelo,カンセロ
salomão,サロモン
curado,クラード
folha,フォーリャ
valter,ヴァルテル
mãe,マイン
águas,アグアス
salvador,サルヴァドール
agra,アグラ
coluna,コルナ
roderick,ロデリック
lucy,ルーシー
bronze,ブロンズ
ié,イエ
malhoa,マリョア
rebelo,レベロ
abranches,アブランシェス
kristof,クリストフ
van,ファン
hout,フート
baldaque,バルダック
jordão,ジョルダン
adulai,アドゥライ
baldé,バルデ
sílvio,シルヴィオ
secretário,セクレタリオ
paneira,パネイラ
adrien,アドリエン
fonte,フォンテ
carriço,カリーソ
humberto,ウンベルト
stanley,スタンレー
ho,ホー
dimas,ディマス
vale,ヴァーレ
vidigal,ビジガウ
vilas,ビラス
boas,ボアス
pizarro,ピサロ
emanuel,エマヌエル
gago,ガーゴ
coutinho,コウチーニョ
laginha,ラジーニャ
mario,マリオ
rondón,ロンドン
vasco,ヴァスコ
uva,ウヴァ
esgaio,エスガイオ
mané,マネ
julien,ジュリアン
bardy,バーディ
frechaut,フレシャウト
lambert,ランベール
gaspar,ガスパール
emmanuel,エマヌエル
fialho,フィアーリョ
filipa,フィリパ
cavalleri,カバレリ
carvalhal,カルヴァリャル
figueiras,フィゲイラス
podence,ポデンセ
diamantino,ディアマンティーノ
henriques,エンリケス
tobias,トビアス
ilori,イロリ
paím,パイム
simões,シモンエス
domingues,ドミンゲス
columbano,コルンバノ
bordalo,ボルダロ
pio,ピオ
aurélia,オーレリア
domingo,ドミンゴス
almami,アルマニ
pina,ピナ
rolão,ロラン
preto,プレト
hernâni,エルナニ
fortes,フォルテス
vaz,バス
mamede,マメーデ
cavaleiro,カヴァレイロ
manafá,マナファ
semedo,セメド
palhinha,パリーニャ
pena,ペナ
gelson,ジェルソン
ulisses,ウリセス
geraldes,ジェラウデス
erica,エリカ
kingsley,キングスレイ
madu,マドゥ
tomás,トマス
podstawski,ポズタウスキ
vezo,ヴェソ
sanches,サンチェス
trincão,トリンコン
custódia,クストーダ
jota,ジョタ
neemias,ニーミアス
queta,クエタ
maximiano,マキシミアーノ
yuri,ユーリ
gedson,ジェドソン
dalot,ダロト
quina,クイナ
vinagre,バイナグル
loïs,ロイス
openda,オペンダ
thierry,ティエリー
vera,ヴェラ
von,フォン
monika,モニカ
florentino,フロレンティーノ
marta,マルタ
temido,テミド
melchior,メルシオール
campinas,カンピーナス
pelotas,ペロタス
embraer,エンブラエル
osasco,オザスコ
fortaleza,フォルタレザ
caxias,カシアス
sul,スル
curitiba,クリチバ
velho,ヴェーリョ
real,レアル
natal,ナタール
noronha,ノローニャ
sarcófago,サルコファーゴ
carapicuíba,カラピクイバ
brasília,ブラジリア
tv,ヘジ
globo,グローボ
tocantins,トカンティンスシュウ
recife,レシフェ
bonde,ボンヂ
rolê,ホレ
sergipe,セルジペシュウ
amazônia,アマゾニア
florianópolis,フロリアノーポリス
grêmio,グレミオ
barueri,バルエリ
niterói,ニテロイ
palmas,パルマス
gloster,グロスター
meteor,ミーティア
vista,ヴィスタ
macapá,マカパ
sabesp,サンパウロシュウキソエイセイコウシャ
pampa,パンパ
guarulhos,グアルーリョス
petrobras,ペトロブラス
chaco,グランチャコ
maringá,マリンガ
shaman,シャーマン
blumenau,ブルメナウ
estádio,エスタジオ
olímpico,オリンピコ
nilton,ジョアン
petrópolis,ペトロポリス
paraná,パラナ
joinville,ジョインヴィレ
anápolis,アナポリス
pantanal,パンタナル
ribeirão,リベイラン
sorocaba,ソロカーバ
nova,ノヴァ
iguaçu,イグアス
ouro,オウロ
clube,クルーベ
náutico,ナウチコ
capibaribe,カピバリベ
ciclone,ハリケーン
catarina,カタリーナ
são,サン
liberdade,リベルダーデ
londrina,ロンドリーナ
taubaté,タウバテ
juiz,ジュイス
fora,フォーラ
aracaju,アラカジュ
itumbiara,イツンビアラ
capoeira,カポエイラ
teresina,テレジーナ
cachoeira,カショエイラ
mogi,モジ
cruzes,クルーゼス
uberlândia,ウベルランジア
canoas,カノアス
feira,フェイラ
cone,コーノ
sepultura,セパルトゥラ
bauru,バウル
chimarrão,マテチャ
associação,アソシアソン
portuguesa,ポルトゥゲーザ
desportos,デスポルトス
copacabana,コパカバーナ
foz,フォス
olinda,オリンダ
coronel,コロネル
fabriciano,ファブリシアーノ
maceió,マセイオ
campo,カンポ
grande,グランデ
edifício,コパン
copan,ビルディング
corumbá,コルンバ
contagem,コンタジェン
guarujá,グアルジャ
jaboatão,ジャボアタン
guararapes,グアララペス
catalão,カタラン
cuiabá,クイアバ
diamantina,ディアマンティーナ
guarapari,グァラパリ
autódromo,ネルソン
jacarepaguá,サーキット
escolápios,エスコラピオスシュウドウカイ
arena,アレーナ
braskem,ブラスケム
goiânia,ゴイアニア
congonhas,コンゴーニャス
jundiaí,ジュンジアイ
sambódromo,サンボードロモ
marquês,マルケス
sapucaí,サプカイ
lauro,ラウロ
oiapoque,オイアポケ
governador,ゴヴェルナドール
copersucar,コパスカー
sant'ana,サンタナ
livramento,リヴラメント
cruzado,クルザード
camaçari,カマサリ
arara,アララ
vogue,ヴォーグ
paraty,パラチー
rock,ロック
in,イン
metrô,メトロ
velocette,ベロセット
ipatinga,イパチンガ
taurus,トーラス
armas,アームズ
novo,ノーヴォ
hamburgo,アンブルゴ
centro,セントロ
sportivo,スポルチーヴォ
alagoano,アラゴアーノ
desportivo,デスポルチーヴォ
jovens,ユース
com,ウィズ
uma,ア
missão,ミッション
pará,パラーシュウ
piracicaba,ピラシカーバ
brusque,ブルスキ
santarém,サンタレン
chuí,シュイ
cotia,コチア
ceará,セアラーシュウ
amazonas,アマゾナスシュウ
amapá,アマパーシュウ
vila,ヴィラ
velha,ヴェーリャ
lusofonia,ルゾフォニア
alegre,アレグレ
bahia,バイーア
krisiun,クリジウン
manaus,マナウス
paulínia,パウリニア
jutaí,ジュタイー
ilhéus,イリェウス
acre,アクレシュウ
leopoldo,レオポルド
valetudo,バーリトゥード
alagoas,アラゴアスシュウ
pernambuco,ペルナンブーコシュウ
itapetininga,イタペティニンガ
votorantim,ヴォトランチン
praia,プライア
eletrobras,ブラジルデンリョク
major,マジョール
goiás,ゴイアス
billboard,ビゥボアルヂ
dunas,ドゥーナス
roraima,ロライマシュウ
maranhão,マラニョンシュウ
piauí,ピアウイシュウ
mossoró,モソロー
neo,アレーナ
química,デ
rioniterói,ニテロイキョウ
agrale,アグラレ
rondônia,ロンドニアシュウ
itu,イトゥー
plácido,プラーシド
castelo,カステロ
progressistas,シンポトウ
municipal,ムニシパル
parque,パルケ
sabiá,サビア
palestra,パレストラ
italia,イタリア
timóteo,ティモテオ
brumadinho,ブルマジーニョ
iracemápolis,イラセマポリス
cabo,カボ
frio,フリウ
liga,リーガ
nacional,ナシオナル
futsal,フットサル
belford,ベルフォード
roxo,ロッショ
betim,ベチン
aparecida,アパレシダ
itabuna,イタブーナ
valadares,バラダレス
ipanema,イパネマ
tefé,テフェー
maculelê,マクレレ
elsevier,エルゼビア
fibria,フィブリア
itaú,イタウ
unibanco,ウニバンコ
vivo,ヴィーヴォ
criciúma,クリシューマ
cachoeiro,カショエイロ
itapemirim,イタペミリン
ananindeua,アナニンデウア
senninha,セニーニャ
seguro,セグーロ
paranaguá,パラナグア
aeromóvel,ダイキアツテツドウ
catanduva,カタンドゥーヴァ
franca,フランカ
gerdau,ジェルダウ
troller,トロラー
farmasi,ジュネス
corcovado,コルコバード
gradiente,グラディエンテ
bonito,ボニート
usiminas,ウジミナス
atlético,アトレチコ
timbó,チンボー
guaraná,ガラナインリョウ
itaúsa,イタウサ
atibaia,アチバイア
bandeirantes,バンデイランテス
avianca,アビアンカ
passa,パッサ
quatro,クアトロ
itabira,イタビラ
barbacena,バルバセーナ
flamengo,フラメンゴ
caucaia,カウカイア
formosa,フォルモザ
mirandópolis,ミランドポリス
palmeira,パルメイラ
d'oeste,ドエスチ
cubatão,クバタン
bola,ボーラ
petrolina,ペトロリーナ
cariacica,カリアシカ
jandira,ジャンヂーラ
mar,マール
regatas,レガタス
jaú,ジャウー
hibria,ヒブリア
cangaço,カンガセイロ
finta,フィンタ
campinense,カンピネンセ
fundão,フンダン
pampulha,パンプーリャ
araxá,アラシャ
cinema,シネマ
grupo,グルーポ
ccr,ロドビアリア
tapioca,タピオカ
comgás,サンパウロガス
balneário,バウネアーリオ
camboriú,コンボリウー
cacique,カシケ
prêmio,プレミオ
craque,クラッキ
brasileirão,ブラジレイロン
mirim,ミリン
minas,ミナス
bradespar,ブラデスパル
ibovespa,ボベスパシスウ
triunfo,トリウンフォ
telecom,テレコム
caruaru,カルアル
arapiraca,アラピラカ
araraquara,アララクアラ
itapagipe,イタパジペ
jequié,ジェキエー
nazaré,ナザレ
brumado,ブルマード
picos,ピークス
carandaí,カランダイ
viçosa,ヴィソーザ
universo,ウニヴェルソ
online,オンライン
agremiação,アグレミアソン
sportiva,スポルチーヴァ
arapiraquense,アラピラケンセ
bumba,ブンバ
meu,メウ
boi,ボイ
banda,バンダ
black,ブラック
anchieta,アンシエタ
rede,レデカード
marcopolo,マルコポーロ
fórmula,フォーミュラ
truck,トラック
copa,コパ
campeões,カンピオンイス
bacamarte,バカマルテ
registro,レジストロ
potiguar,ポティグアル
quinta,キンタ
habib's,ハビービス
prata,プラッタ
chapecoense,シャペコエンセ
futebol,フチボウ
wta,ブラジル
remo,レモ
sociedade,ソシエダージ
unida,ウニーダ
catupiry,カトゥピリ
global,グローバル
village,ヴィレッジ
decasségui,デカセギ
shabono,シャボノ
basquete,バスケット
penalty,ペナルティ
aberto,プライム
almah,アルマー
arquivo,ナショナル
taça,タッサ
independência,インデペンデンシア
maloca,マロカ
aquático,アクアティコ
ecodiesel,エコディーゼル
audax,アウダックス
minuano,ミヌアノ
technos,テクノス
riocentro,リオセントロ
chute,シュートボクセ
boxe,アカデミー
aquidabã,アキダバン
guampa,グアンパ
judge,ジャッジ
cosan,コザン
união,ウニオン
lojas,ロジャス
renner,レナー
gafisa,ガフィーザ
rossi,ロッシ
residencial,レジデンシャル
americanas,アメリカナス
dexco,デュラテックス
dobbert,ドッベルト
ambev,アンベブ
natura,ナチュラ
azul,アズル
riachuelo,リアシュエロ
hispanoportuguesa,ポルトガルセンソウ
ipupiara,イプピアーラ
esportivo,エスポルチーヴォ
novorizontino,ノヴォリゾンチーノ
tuna,トゥナ
luso,ルーゾ
brasileira,ブラジレイラ
auto,アウト
esporte,エスポルテ
embratel,エンブラテル
allianz,アリアンツ
ferroviária,フェロヴィアリア
esportes,エスポルテス
tamandaré,タマンダーレ
janeiro,ジャネイロ
house,ハウス
catanduvense,カタンドゥヴェンセ
kaleidoscópio,カレイド
mafersa,マフェルサ
roma,ローマ
apucarana,アプカラナ
soccer,サッカー
technical,テクニカル
center,センター
ludovico,ルドヴィコ
salonpas,サロンパスカップ
cup,カップ
morro,モーホ
careca,カレッカ
golfe,ジ
recreativa,レクレアチーヴァ
trabalhadores,トラバリャドレス
huaska,フアスカ
raça,ハーサ
sagrado,サグラド
coração,コラソン
terra,テッラ
amaro,アマロ
só,ソー
sem,セイム
preconceito,プレコンスィート
caxirola,カシローラ
athleta,アスレタ
jungle,ジャングル
fight,ファイト
cenibra,セニブラ
belém,ベレン
operação,オペレーション
lava,カー
jato,ウォッシュ
leaks,リークス
gioventù,ワカサ
vôlei,ヴォレイ
tabatinga,タバチンガ
conquista,コンキスタ
extinction,エクスティンクション
rebellion,レベリオン
open,オープン
bolsonarismo,ボルソナリズム
lisboa,リスボア
francesinha,フランセジーニャ
euro,ユーロ
sporting,スポルティング
alentejo,アレンテージュ
funchal,フンシャル
algarve,アルガルヴェ
macaronésia,マカロネシア
loulé,ローレ
peniche,ペニシェ
mértola,メルトラ
serpa,セルパ
armamar,アルママール
viseu,ヴィゼウ
alandalus,アンダルス
sacavém,サカヴェン
chiado,シアード
aveiro,アヴェイロ
white,ホワイト
airways,エアウェイズ
tomar,トマール
portalegre,ポルタレグレ
alfama,アルファマ
estremoz,エストレモス
mafra,マフラ
trofa,トロファ
faro,ファロ
a,ア
panteão,サンタ
cidade,シダーデ
alcobaça,アルコバサ
bairro,バイロ
alto,アルト
merino,メリノシュ
cristãonovo,シンキリストキョウト
setúbal,セトゥーバル
supertaça,スーペルタッサ
cândido,カンディド
sesimbra,セジンブラ
amadora,アマドーラ
arroba,アローバ
primeira,プリメイラ
hispânia,ヒスパニア
angra,アングラ
heroísmo,エロイズモ
sertã,セルタン
sintra,シントラ
gaia,ガイア
nisa,ニーザ
estoril,エストリル
silves,シルヴェス
guarda,グアルダ
segunda,セグンダ
póvoa,ポヴォア
varzim,バルジン
leiria,レイリア
bispo,ビスポ
caldo,カルド
verde,ヴェルデ
marítimo,マリティモ
ponta,ポンタ
delgada,デルガダ
fantasporto,ポルトコクサイエイガサイ
beja,ベージャ
internacional,インテルナシオナル
falcoaria,タカガリ
elvas,エルヴァス
carregal,カレガル
sal,サル
barreiro,バレイロ
mosteiro,モステイロ
alfa,アルファ
pendular,ペンドゥラール
fertagus,フェルタグス
batalha,バターリャ
caldas,カルダス
rainha,ライーニャ
cascais,カスカイス
dragão,ドラゴン
estado,エスタド
volta,ヴォルタ
ao,アン
monstra,リスボン
festival,アニメーションエイガサイ
euronext,ユーロネクスト
alvalade,アルヴァラーデ
alcácer,アルカセル
palmela,パルメラ
comba,コンバ
dão,ダン
daire,ダイレ
meo,アトランティコ
gigantone,キョジントオオト
abrantes,アブランテス
almada,アルマダ
instituto,カモンイスゲンゴ
camões,コクサイキョウリョクキコウ
sines,シーネス
douro,ドウロ
tavira,タヴィラ
rali,ラリー
albufeira,アルブフェイラ
mercadona,メルカドーナ
sagres,サグレス
oriental,オリエンタル
colégio,コレジオ
militar,ミリタール
escudo,ポルトガル
português,エスクード
dobrada,ドブラーダ
cartaz,カルタス
osório,オソリオ
conde,コンデ
asas,アサス
sound,サウンド
of,オブ
kuduro,クドゥル
ibérica,イベリカ
oratory,オラトリー
luz,ルス
arco,アルコ
atp,ミレニアム
espinho,エスピーニョ
chapitô,チャピト
conímbriga,コニンブリガ
manique,マニケ
hermann,ヘルマン
ihering,イーエリング
piccolomo,ピッコローモ
skavinski,スカビンスキ
clodovil,クロードビル
hernandes,エルナンデス
pozzi,ポッズィ
ralf,ラルフ
teles,テレス
curt,クルト
nimuendajú,ニムエンダジュ
chateaubriand,シャトーブリアン
jamelli,ジャメーリ
nádson,ナジソン
hernane,エルナーネ
vidal,ヴィダウ
nilmar,ニウマール
julio,ジュリオ
cesar,セザール
baptista,バティスタ
bonner,ボナー
scolari,スコラーリ
joanna,ジョアンナ
geílson,ジェイウソン
glória,グロリア
clemens,クレメンス
holzmeister,ホルツマイスター
dirnei,ヂルネイ
florêncio,フロレンシオ
samir,サミール
cléverson,クレヴェルソン
córdova,コルドヴァ
marinaldo,マリナウド
demétrio,デメトリオ
valentini,バレンティーニ
cheuiche,シュイチ
marin,マリン
katz,カッツ
amazonino,アマゾニノ
clesly,クレズリー
zequinha,ゼクィンハ
piau,ピアウ
sa,サ
timberg,ティンバーグ
lustosa,ルストーザ
barc,ブルク
clementina,クレメンチーナ
evair,エバイール
paulino,パウリーノ
dedimar,デジマール
jobim,ジョビン
fabricio,ファブ
heurelho,エウレリョ
adib,アヂビ
jatene,ジャテーニ
putinatti,プチナッチ
aldrovani,アウドロヴァーニ
menon,メノン
jader,ジャデル
volnei,ヴォルネイ
spindler,スピンドラー
orleans,オルレアンス
viola,ヴィオラ
oswaldo,オズワルド
casemiro,カゼミーロ
lateef,ラティーフ
crowder,クラウダー
norberto,ノルベルト
murara,ムラーラ
rozeira,ホゼイラ
collor,コロール
bertrami,ベルトラミ
nina,ニナ
floriano,フロリアーノ
patápio,パタピオ
bilac,ビラック
jajá,ジャクソン
celso,セルソ
ronny,ロニー
heberson,エベルソン
zanetti,ザネッティ
lindo,リンド
caiuby,カイウビー
oncins,オンシンス
tormena,トルメナ
graciliano,グラシリアーノ
dracena,ドラセナ
robles,ロブレス
galdino,ガルディーノ
polga,ポウガ
bebel,ベベウ
bandeira,バンデイラ
edenilson,エジニウソン
kirmayr,カーマイヤー
loiola,ロヨラ
nélida,ネリダ
piñon,ピニョン
elizeu,エリゼウ
marciano,マルシアーノ
wellingsson,ウェリングソン
cintra,シントラ
osvaldo,オズヴァルド
aranha,アラニャ
alison,アリソン
wágner,ワグネル
quirino,キリノ
sete,セチ
tonon,トノン
geromel,ジェロメウ
guy,ガイ
ecker,エッカー
januária,ジャヌアリア
colasanti,コラサンティ
bidu,ビドゥ
sayão,サヤン
aleixo,アレイショ
tapajós,タパジョス
tóffoli,トッフォリ
colker,コルカー
baron,バロン
polanczyk,ポランクジック
clemerson,クレメルソン
argélico,アルジェリコ
iara,イアラ
floresta,フロレスタ
maradona,マラドーナ
dangui,ダンギ
irio,イリオ
josue,ジョズエ
xuxa,シューシャ
roditi,ロディッティ
axel,アクセル
bergstedt,ベルクシュテット
hummes,ウメス
jayme,ジャイミ
monjardim,モンジャルディン
carleto,カルレト
nicholas,ニコラス
eddy,エディ
gordo,ゴルド
oiticica,オイチシカ
cleyton,クレイトン
darci,ダルシ
emicida,エミシダ
raposo,ラポソ
dorvalino,ドルヴァリノ
lombardo,ロンバルド
tosi,トシ
isolda,イソルダ
cresta,クレスタ
decoussau,デコウサウ
gérson,ジェルソン
giovanna,ジョヴァンナ
antonelli,アントネッリ
rachel,レイチェル
keila,ケイラ
lobato,ロバート
cançado,カンサード
whitaker,ウィテカー
love,ラブ
giselle,ジゼル
itié,イティエ
kaefer,カエフェル
kita,キータ
emmanuele,エマヌエレ
del,デル
vecchio,ヴェッキオ
autran,オートラン
dourado,ドゥラード
rigotto,ヒゴット
alfredo,アルフレド
d'escragnolle,デスクラニョーレ
taunay,トネー
volpi,ヴォルピ
betty,ベティ
bibi,ビビ
ângelo,アンジェロ
moniz,モニス
belo,ベロ
camarão,カマラン
cholbi,ショルビ
menotti,メノッティ
picchia,ピッキア
eurico,エウリコ
sasckya,サスキア
cyro,シロ
charlone,シャルローン
romboli,ロンボリ
kano,カノ
prudente,プルデンテ
fratus,フラトゥス
garrastazu,ガラスタズ
médici,メディシ
epitácio,エピタシオ
carla,カルラ
camurati,カムラーチ
nóbrega,ノブレガ
hélia,エリア
florinda,フロリンダ
bolkan,ボルカン
clezar,クレザル
rudnei,フジネイ
denise,デニース
benda,ベンダ
mallet,マレー
scheidt,シャイデ
armínio,アルミニオ
tasso,タッソ
pascoe,パスコ
grenfell,グレンフェル
stronda,ストロンダ
santiago,サンティアゴ
öyvind,オイヴィント
fahlström,ファールシュトレーム
kopenawa,コペナワ
yanomami,ヤノマミ
haddad,ハダード
veiga,ヴェイガ
galeano,ガレアーノ
pelissari,ペリサリ
elpídio,エウピジオ
prates,プラテス
barnes,バーンズ
tatiana,タチアナ
minello,ミネロ
nicomedes,ニコメデス
grossi,グロッシ
maicosuel,マイコスエウ
leovegildo,レオヴェジウド
capistrano,カピストラーノ
philippe,フィリペ
ermírio,エルミリオ
lott,ロト
pimenta,ピメンタ
saraiva,サライヴァ
jhonatan,ジョナタン
curtis,クルチス
zagallo,ザガロ
golbery,ゴルベリー
imre,イムレ
simon,シモン
yamandu,ヤマンドゥ
ariano,アリアーノ
suassuna,スアスナ
sehnem,セネン
otto,オットー
tunga,トゥンガ
dirceu,ジルセウ
ilson,イルソン
castilho,カスティーリョ
chandre,シャンドレ
neeleman,ニールマン
herson,ハーソン
capri,カプリ
parra,パラ
wortmann,ウォルトマン
feijó,フェイジョ
juarez,ジュアレス
távora,タヴォラ
peters,ピーテルス
mattos,マットス
ariclenes,アリクレネス
lygia,リージア
clark,クラールキ
alkmin,アルクミン
nilo,ニロ
peçanha,ペサーニャ
tuka,トゥカ
delém,デレム
dillon,ディロン
gleiser,グライサー
sonny,ソニー
