françois,프랑수아,peurangsua
langlais,랑글레,ranggeulre
assayas,아사야스,asayaseu
tauran,토랑,torang
besson,베송,besong
lagarde,라가르드,ragareudeu
stanley,스탄레,seutanre
antoinelouis,앙투안루이,angtuanrui
barye,바리,bari
alexandra,알렉산드라,alregsandeura
stewart,스튜어트,seutyueoteu
iv,드,deu
bourbon,공작,gongjag
luxembourgsaintpol,뤽상부르생폴,rwigsangbureusaengpol
goujon,구종,gujong
kassovitz,카소비츠,kasobiceu
agathe,아가트,agateu
bonitzer,보니처,boniceo
abily,아빌리,abilri
caillaux,카요,kayo
lassana,라사나,rasana
saha,사아,saa
barr,바,ba
balmain,발망,balmang
scarron,스카롱,seukarong
roschdy,로슈디,rosyudi
zem,젬,jem
isild,이실드,isildeu
besco,베스코,beseuko
hessling,에슬랭,eseulraeng
denise,드니즈,deunijeu
darcel,다셀,dasel
deibler,데이브레르,deibeurereu
anamaria,아나마리아,anamaria
vartolomei,바르톨로메이,bareutolromei
bruant,브뤼앙,beurwiang
zoran,조란,joran
rendulić,렌둘리치,rendulrici
quinet,키네,kine
pierrelaurent,피에르,piereu
wantzel,방첼,bangcel
mouhot,무오,muo
tits,티츠,ticeu
raphaël,라파엘,rapael
varane,바란,baran
marpessa,마르페사,mareupesa
dawn,돈,don
cyrille,시릴,siril
thouvenin,투베냉,tubenaeng
l'hospital,로피탈,ropital
lilyan,릴리안,rilrian
guénon,게농,genong
bakary,바카리,bakari
sako,사코,sako
chazal,샤잘,syajal
molla,몰라,molra
wagué,와귀에,wagwie
angelo,앙젤로,angjelro
parisi,파리지,pariji
touzet,투제,tuje
mandjeck,망지크,mangjikeu
lellouche,를루슈,reulrusyu
terrail,테라유,terayu
bayard,바야르,bayareu
youssouf,유수프,yusupeu
m'changama,음창가마,eumcanggama
pasquale,파스쿠알,paseukual
marty,마르티,mareuti
romane,로만,roman
bohringer,보랭제,boraengje
frot,프로,peuro
brice,브리스,beuriseu
catroux,카트루,kateuru
quignard,키냐르,kinyareu
yared,야레드,yaredeu
fouquiertinville,탱빌,taengbil
steiner,스타이너,seutaineo
rachid,라시드,rasideu
taha,타하,taha
louboutin,루부탱,rubutaeng
goudimel,구디멜,gudimel
gaspard,가스파르,gaseupareu
ulliel,윌리엘,wilriel
rayet,레이에,reie
jeandominique,장도미니크,jangdominikeu
gouix,구익스,guigseu
lecanuet,르카뉘에,reukanwie
tsilla,실라,silra
chelton,첼튼,celteun
fautrier,포트리에,poteurie
mark,마크,makeu
baldwin,볼드윈,boldeuwin
miller,밀러,milreo
markevitch,마르케비치,mareukebici
delcassé,델카세,delkase
dalida,달리다,dalrida
gonalons,고날론,gonalron
gillet,지예,jiye
flon,플롱,peulrong
munch,뮌슈,mwinsyu
quentin,캉탱,kangtaeng
dupieux,오이조,oijo
marlet,말레,malre
jacquesnicolas,자크니콜라,jakeunikolra
billaudvarenne,비요바렌,biyobaren
musidora,무시도라,musidora
louisjoseph,루이조제프,ruijojepeu
montcalm,몽칼름,mongkalreum
mayniel,마이니엘,mainiel
magimel,마지멜,majimel
polina,폴리나,polrina
frederick,프레데릭,peurederig
worth,워스,weoseu
medhi,메드히,medeuhi
lacen,라센,rasen
amandine,아망딘,amangdin
daumas,도마,doma
colomb,콜롱,kolrong
mourou,무루,muru
caillois,카유아,kayua
taloula,탈,tal
viviani,비비아니,bibiani
barbet,바르베,bareube
schroeder,슈뢰더,syuroedeo
amanda,아만다,amanda
lear,레아,rea
boisson,보이슨,boiseun
genghini,장기니,janggini
hyppolite,이폴리트,ipolriteu
tran,트랑,teurang
josephnicolas,조제프니콜라,jojepeunikolra
delisle,드릴,deuril
martinez,마르티네즈,mareutinejeu
joli,졸리,jolri
bouhaddi,부하디,buhadi
moigno,무아뉴,muanyu
nakache,나카슈,nakasyu
hafsia,하프시아,hapeusia
herzi,헤르지,hereuji
jolliet,졸리에,jolrie
mulumbu,물룸부,mulrumbu
dénériaz,데네리아즈,deneriajeu
kenzō,다카다,dakada
takada,겐조,genjo
morgane,모르강,moreugang
dubled,뒤블레,dwibeulre
essaïdi,에사이디,esaidi
pécresse,페크레스,pekeureseu
provost,프로보스트,peuroboseuteu
lindon,랭동,raengdong
lola,롤라,rolra
naymark,네마르크,nemareukeu
kombouaré,콩부아레,kongbuare
renéjean,르네장,reunejang
vladimir,블라디미르,beulradimireu
cosma,코스마,koseuma
ionesco,이오네스코,ioneseuko
leveaux,르보,reubo
tuffèri,튀페르,twipereu
lizzy,리지,riji
descloux,데클루,dekeulru
soubeyrand,수베랑,suberang
ferrero,페레로,perero
tomi,토미,tomi
ungerer,웅거러,unggeoreo
domingo,도밍고,dominggo
casadesus,카자드쥐,kajadeujwi
honrubia,온루비아,onrubia
piotr,피오트르,pioteureu
świerczewski,시비에르체프스키,sibiereucepeuseuki
chanéac,샤네아크,syaneakeu
sonia,소니아,sonia
bompastor,봉파스토르,bongpaseutoreu
cherhal,셰랄,syeral
vivienne,비비엔느,bibienneu
chandler,챈들러,caendeulreo
manessier,마네시에,manesie
villaplane,빌라플랑,bilrapeulrang
sorhaindo,소라인도,soraindo
guillard,길라르,gilrareu
salzedo,살제도,saljedo
fulbert,퓔베르,pwilbereu
youlou,율루,yulru
ettori,에토리,etori
jocelyne,조슬린,joseulrin
haas,아스,aseu
dullin,뒬랭,dwilraeng
rigaudeau,리고도,rigodo
mangin,망쟁,mangjaeng
griezmann,그리즈만,geurijeuman
deschamps,데샹,desyang
créton,크레통,keuretong
clémentine,클레망틴,keulremangtin
célarié,셀라리에,selrarie
grunitzky,그뤼니츠키,geurwiniceuki
eddie,에디,edi
constantine,콘스탄틴,konseutantin
guénot,게노,geno
fleurot,플뢰로,peulroero
guirane,기란,giran
n'daw,은다우,eundau
lebas,르바,reuba
foïs,푸아,pua
youssef,유세프,yusepeu
elarabi,엘아라비,elarabi
valandrey,발랑드레,balrangdeure
turckheim,튀르켐,twireukem
karsenti,카르센티,kareusenti
baume,봄,bom
elli,엘리,elri
meaux,모,mo
cyril,시릴,siril
raffaelli,라파엘리,rapaelri
phœbus,페뷔스,pebwiseu
châteaupers,샤토페르,syatopereu
béroff,베로프,beropeu
polnareff,폴나레프,polnarepeu
vitaa,비타,bita
fabian,파비앙,pabiang
joannes,요아너스,yoaneoseu
stieltjes,스틸티어스,seutiltieoseu
dupleix,뒤플렉스,dwipeulregseu
canteloube,캉틀루브,kangteulrubeu
aimard,에마르,emareu
myriam,미리암,miriam
baverel,바베렐,baberel
lévis,레비,rebi
madar,마다르,madareu
brisson,브리송,beurisong
montesquiou,몽테스키우,mongteseukiu
cazeneuve,카즈뇌브,kajeunoebeu
anselme,앙셀름,angselreum
payen,파얜,payaen
boismortier,부아모르티에,buamoreutie
hémon,에몽,emong
elbaz,엘바즈,elbajeu
régnier,레니에,renie
sagat,사가,saga
monis,모니,moni
fantine,팡틴,pangtin
henrirené,앙리르네,angrireune
lenormand,르노르망,reunoreumang
steeve,스테브,seutebeu
personnaz,페르소나,pereusona
gatti,가티,gati
valerio,발레리오,balrerio
adami,아다미,adami
bergerôo,베르제로,bereujero
dahan,다앙,daang
coulais,쿨레,kulre
bouras,부라,bura
pinturault,팽튀로,paengtwiro
arcady,아카디,akadi
veretout,베레투,beretu
wolf,볼프,bolpeu
ibrahima,이브라히마,ibeurahima
brahim,브라힘,beurahim
lahlafi,라흘라피,raheulrapi
duret,뒤레,dwire
da,다,da
ash,애쉬,aeswi
crimson,크림존,keurimjon
parillaud,파리요,pariyo
chaudet,쇼데,syode
sándor,산도르,sandoreu
végh,베그,begeu
gouhier,구이예,guiye
lôme,롬,rom
l'huillier,륄리에,rwilrie
marchal,마르샬,mareusyal
grospellier,그로스펠리에,geuroseupelrie
gavroche,가브로슈,gabeurosyu
cauwelaert,코블라르트,kobeulrareuteu
padovani,파도바니,padobani
dugommier,뒤고미에,dwigomie
cluzet,클뤼제,keulrwije
cathelineau,카텔리노,katelrino
nizan,니장,nijang
lasalle,라살,rasal
joël,조엘,joel
bats,바츠,baceu
fieschi,피에쉬,pieswi
raynald,레날,renal
denoueix,드누에,deunue
gorin,고랭,goraeng
fanara,파나라,panara
verheyde,베르에이드,bereueideu
bombois,봉부아,bongbua
boly,볼리,bolri
dalger,달제,dalje
libertad,리베르타드,ribereutadeu
ghani,가니,gani
yalouz,얄루즈,yalrujeu
attal,아탈,atal
doriot,도리오,dorio
geoffrey,조프레,jopeure
kondogbia,콩도비아,kongdobia
wahl,발,bal
carlu,카를뤼,kareulrwi
sebastian,세바스티앙,sebaseutiang
roché,로셰,rosye
greggory,그레고리,geuregori
douillet,두이예,duiye
taillandier,타양디에,tayangdie
clovis,클로비스,keulrobiseu
cornillac,코르냐크,koreunyakeu
mahamat,무함마드,muhammadeu
saleh,살레,salre
haroun,아룬,arun
reynald,레날,renal
pedros,페드로스,pedeuroseu
gérald,제랄드,jeraldeu
passi,파씨,passi
janvion,장비옹,jangbiong
déodat,데오다,deoda
séverac,세베락,seberag
loret,로레,rore
brunet,브뤼네,beurwine
banner,밴너,baenneo
émerse,에메르스,emereuseu
faé,파에,pae
yago,야고,yago
cartier,카르티에,kareutie
berléand,베를레앙,bereulreang
jeanhugues,장위그,jangwigeu
anglade,앙글라드,anggeulradeu
nogaret,노가레,nogare
montel,몽텔,mongtel
vitrac,비트라크,biteurakeu
denjoy,당주아,dangjua
desplechin,데플레생,depeulresaeng
jacquot,자코,jako
costil,코스틸,koseutil
hamon,아몽,among
citti,시티,siti
abbes,아베스,abeseu
eliaquim,엘리아킴,elriakim
mangala,망갈라,manggalra
marsin,페르디낭,pereudinang
gendron,장드롱,jangdeurong
jankélévitch,장켈레비치,jangkelrebici
candeloro,캉델로로,kangdelroro
bouygues,부이그,buigeu
rollin,롤랭,rolraeng
luckner,뤼크네르,rwikeunereu
darroussin,다루생,darusaeng
bernardrené,베르나르르네,bereunareureune
launay,뢰네,roene
campan,캄팡,kampang
herbin,에르뱅,ereubaeng
lamarque,라마르크,ramareukeu
arbogast,아르보가스트,areubogaseuteu
dufilho,뒤필로,dwipilro
leone,레오네,reone
strozzi,스트로치,seuteuroci
lagarce,라가르스,ragareuseu
brunetière,브륀티에르,beurwintiereu
plantevelue,플랑타뷜리,peulrangtabwilri
madelin,매들린,maedeulrin
ferras,페라스,peraseu
taxil,탁실,tagsil
luchini,루치니,rucini
arnulf,아르눌프,areunulpeu
d'espagnat,데스파냐,deseupanya
tissier,티시에,tisie
mallerais,마예레,mayere
ido,이도,ido
hatchi,하치,haci
bellour,벨루,belru
abati,아바티,abati
ricard,리카르,rikareu
charleslouis,샤를루이,syareulrui
commissaire,쥘,jwil
maigret,메그레,megeure
bonello,보넬로,bonelro
omambiyik,오맘비크,omambikeu
diakité,디아키테,diakite
vildrac,빌드라크,bildeurakeu
ranégie,라네기에,ranegie
sagart,사가르,sagareu
musso,뮈소,mwiso
lanson,랑송,rangsong
arben,아르벤,areuben
bajraktaraj,바이락타라이,bairagtarai
labadie,라바디,rabadi
daouda,다우다,dauda
karaboué,카라부에,karabue
valentin,발랑탱,balrangtaeng
haüy,아우이,aui
halévy,알레비,alrebi
maubant,모방,mobang
hamy,아미,ami
iii,드,deu
montpensier,공작,gongjag
laruelle,라뤼엘,rarwiel
asloum,아슬룸,aseulrum
diefenthal,디팡탈,dipangtal
billetdoux,비에두,biedu
defert,드페르,deupereu
bracquemond,브라크몽,beurakeumong
gény,제니,jeni
jacoulet,자쿨레,jakulre
dj,디제이,dijei
cam,캠,kaem
berling,베를링,bereulring
chevalley,슈발레,syubalre
nicloux,니클루,nikeulru
salacrou,살라크루,salrakeuru
oudry,오드리,odeuri
eran,에란,eran
zahavi,자하비,jahabi
cabanis,카바니스,kabaniseu
chevènement,슈벤망,syubenmang
weis,바이스,baiseu
saintpreux,상프루,sangpeuru
petiot,프티오,peutio
plumenail,플뤼메나이,peulrwimenai
sernas,세르나스,sereunaseu
gili,질리,jilri
cousinmontauban,쿠쟁몽토방,kujaengmongtobang
marcantoine,마르크앙투안,mareukeuangtuan
leos,레오스,reoseu
carax,카락스,karagseu
ferreri,페레리,pereri
vastine,바스틴,baseutin
godement,고드망,godeumang
piantoni,피앙토니,piangtoni
carmet,카르메,kareume
cara,카라,kara
laurens,로랑스,rorangseu
bliard,블리아르,beulriareu
bertin,베르탱,bereutaeng
girod,지로드,jirodeu
pommerat,폼라,pomra
fillières,필리에르,pilriereu
oruma,오루마,oruma
blanche,블랑슈,beulrangsyu
monsieur,미셸,misyel
mangetout,로티토,rotito
veyne,벤,ben
zimny,짐니,jimni
tommaso,토마소,tomaso
verdier,베르디에,bereudie
jonquet,종케,jongke
boukary,부카리,bukari
dramé,드라메,deurame
audouinmamikonian,오두앵마미코니앙,oduaengmamikoniang
bakambu,바캄부,bakambu
lizzie,리지,riji
brocheré,브로슈레,beurosyure
lelord,를로르,reulroreu
stephen,스테판,seutepan
gendre,장드르,jangdeureu
templin,탕플랭,tangpeulraeng
bedos,베도스,bedoseu
guillaumefrançois,기욤프랑수아,giyompeurangsua
rouelle,루엘,ruel
bibard,비바르,bibareu
attaingnant,아테냥,atenyang
trivulce,트리불치오,teuribulcio
hechter,에스테,eseute
decottignies,드코티니,deukotini
grisel,그리셀,geurisel
girardon,지라르동,jirareudong
rust,뤼스,rwiseu
faty,파티,pati
oscar,오스카르,oseukareu
temaru,테마루,temaru
barzun,바전,bajeon
weissenberg,바이센베르크,baisenbereukeu
gens,젠스,jenseu
paray,파레,pare
odet,오데,ode
foix,푸아,pua
nikolai,니콜라이,nikolrai
kinski,킨스키,kinseuki
d'artagnan,다르타냥,dareutanyang
bonlieu,봉리외,bongrioe
guyart,기야르,giyareu
langlois,랑글루아,ranggeulrua
montanier,몽타니에,mongtanie
camp,캉,kang
vidal,비달,bidal
bozza,보자,boja
yvon,이봉,ibong
reichel,레셸,resyel
dutronc,뒤트롱,dwiteurong
carrère,카레르,karereu
edmondcharles,에드몽샤를,edeumongsyareul
genêt,주네,june
hanvi,앙비,angbi
rousselot,루슬로,ruseulro
d'éon,데옹,deong
beaumont,보몽,bomong
lacourt,라쿠르,rakureu
todd,토드,todeu
martini,마르티니,mareutini
girault,지로,jiro
sady,사디,sadi
rebbot,레보트,reboteu
maxalain,막스,magseu
gradel,그라델,geuradel
florovsky,플로롭스키,peulrorobseuki
moyse,모이즈,moijeu
estrosi,에스트로지,eseuteuroji
thoinot,투아노,tuano
arbeau,아르보,areubo
morris,모리스,moriseu
hunt,헌트,heonteu
pénaud,페노,peno
valois,펠릭스,pelrigseu
artur,아르투르,areutureu
ávila,아빌라,abilra
carine,카린,karin
roitfeld,로이펠트,roipelteu
dixmier,디미에,dimie
rudi,뤼디,rwidi
cabella,카벨라,kabelra
audel,오델,odel
joyce,조이스,joiseu
violle,비올,biol
alexandreolivier,알렉상드르,alregsangdeureu
exquemelin,엑스케멜린,egseukemelrin
crétier,크레티에,keuretie
bolling,볼링,bolring
penin,페냉,penaeng
bihan,비앙,biang
cullmann,쿨만,kulman
eyt,에이트,eiteu
mariegeorges,조르주,joreuju
picquart,피카르,pikareu
hartung,아르퉁,areutung
steeg,스테그,seutegeu
sourou,수루,suru
migan,미강,migang
apithy,아피티,apiti
jemima,제미마,jemima
west,웨스트,weseuteu
ysaora,이사오라,isaora
thibus,티뷔,tibwi
mantoux,망투,mangtu
laloux,랄루,ralru
bouin,부앵,buaeng
guédiguian,게디기앙,gedigiang
bravo,브라보,beurabo
hanin,아냉,anaeng
gaudierbrzeska,고디에브르제스카,godiebeureujeseuka
ménochet,메노셰,menosye
yacine,야신,yasin
brahimi,브라히미,beurahimi
alexander,알렉산드르,alregsandeureu
brailowsky,브라일로프스키,beurailropeuseuki
foulques,풀크,pulkeu
merle,메를,mereul
georg,게오르그,georeugeu
hackenschmidt,하켄슈미트,hakensyumiteu
marchand,마르샹,mareusyang
fortuné,포르튀네,poreutwine
boisgobey,부아고베,buagobe
corchia,코르시아,koreusia
gruner,그루너,geuruneo
benchetrit,벤체트리트,benceteuriteu
kempé,캉페,kangpe
bérulle,베륄,berwil
massadio,마사디오,masadio
haïdara,아이다라,aidara
guez,게즈,gejeu
khondji,콘쥐,konjwi
lavoine,라부안,rabuan
brunschvicg,브룅슈비크,beuroengsyubikeu
feuillet,푀이예,poeiye
hadot,아도,ado
goncourt,공쿠르,gongkureu
guilleragues,기유라그,giyurageu
dauphin,도팽,dopaeng
melki,멜키,melki
soler,솔레르,solrereu
alber,알베르,albereu
voulzy,불지,bulji
sitruk,시트뤼크,siteurwikeu
abkarian,아브카리앙,abeukariang
schneiderlin,슈네데를랭,syunedereulraeng
vilar,빌라르,bilrareu
lopez,로페,rope
samson,상송,sangsong
delvin,델뱅,delbaeng
ndinga,은딩가,eundingga
papi,파피,papi
lancelot,랑슬로,rangseulro
fournet,푸르네,pureune
tharaud,타로,taro
ishak,이샤크,isyakeu
belfodil,벨포딜,belpodil
huster,허스터,heoseuteo
rich,리치,rici
dumonceau,뒤몽소,dwimongso
barrière,바리에르,bariereu
neal,닐,nil
maupay,모페이,mopei
rosmah,로스마흐,roseumaheu
mansor,만소르,mansoreu
turpin,튀르팽,twireupaeng
fritch,프리슈,peurisyu
pourcel,푸르셀,pureusel
locard,로카르,rokareu
colin,콜린,kolrin
higgins,히긴스,higinseu
tomer,토머,tomeo
oukidja,우키자,ukija
mallet,말레,malre
alessandro,알레산드로,alresandeuro
gassmann,가스만,gaseuman
barraqué,바라케,barake
clarey,클라레,keulrare
neeskens,네스켄스,neseukenseu
kebano,케바노,kebano
merenda,메렌다,merenda
sigrid,시그리드,sigeurideu
agren,아그렌,ageuren
antoinette,마시,masi
monaco,앙투아네트,angtuaneteu
gachet,가셰,gasye
salim,샐림,saelrim
kechiouche,케치오체,kecioce
robuchon,로뷔숑,robwisyong
gennaro,젠나로,jennaro
bracigliano,브라칠리아노,beuracilriano
vaneck,바네크,banekeu
pallois,팔루아,palrua
sunu,수누,sunu
coubat,쿠바,kuba
missillier,미실리에,misilrie
bertheau,베르토,bereuto
hantaï,앙타이,angtai
berdoll,베르돌,bereudol
allen,앨런,aelreon
darmon,다르몽,dareumong
jouanneau,주아노,juano
souzay,수제,suje
ferry,페리,peri
désiréémile,데지레에밀,dejireemil
inghelbrecht,앵겔브레슈트,aenggelbeuresyuteu
rahim,라힘,rahim
akakpo,아카크포,akakeupo
blanchar,블랑샤르,beulrangsyareu
lavisse,라비스,rabiseu
mboma,음보마,eumboma
diacre,디아크르,diakeureu
pépin,페팽,pepaeng
firmin,피르맹,pireumaeng
gémier,제미에,jemie
baty,바티,bati
bell,벨,bel
harold,해럴드,haereoldeu
nézière,네지에르,nejiereu
sokratis,소크라티스,sokeuratiseu
lagoudakis,라구다키스,ragudakiseu
tusseau,튀소,twiso
bachelet,바슐레,basyulre
rouyer,루예,ruye
suffren,쉬프렌,swipeuren
wolinski,볼린스키,bolrinseuki
maffesoli,마페졸리,mapejolri
leclaire,르클레르,reukeulrereu
jaubert,조베르,jobereu
pio,피오,pio
marmaï,마르마이,mareumai
bigot,비고,bigo
fontanille,퐁타닐,pongtanil
dumont,뒤몽,dwimong
ulmer,윌메르,wilmereu
sallette,살레트,salreteu
paty,파티,pati
kahn,칸,kan
guay,게이,gei
jordy,조르디,joreudi
ponnelle,폰넬,ponnel
beauvois,보부아,bobua
ducreux,뒤크뢰,dwikeuroe
piccard,피카르,pikareu
cyprien,시프리앙,sipeuriang
katsaris,카차리스,kacariseu
japhet,자페,jape
n'doram,은도람,eundoram
kad,카드,kadeu
merad,므라드,meuradeu
fauchard,포샤르,posyareu
beneyton,베네이통,beneitong
mestrallet,메스트랄레,meseuteuralre
quivrin,퀴브린,kwibeurin
imbert,앵베르,aengbereu
gilot,질로,jilro
burdet,뷔르데,bwireude
flute,플뤼트,peulrwiteu
martial,마르시알,mareusial
solal,솔랄,solral
anneélisabeth,프랑스,peurangseu
heutte,외트,oeteu
bertranddemanes,베르트랑드만,bereuteurangdeuman
wauquiez,보키에,bokie
alessandrini,알레산드리니,alresandeurini
piketty,피케티,piketi
becque,베크,bekeu
dyens,디앙,diang
domergue,도메르게,domereuge
n'diaye,은디아예,eundiaye
ernaux,에르노,ereuno
nahon,나혼,nahon
delbonnel,델보넬,delbonel
mouloudji,물루지,mulruji
ducruet,듀크루엣,dyukeurues
ronet,로네,rone
raspail,라스파유,raseupayu
darry,다리,dari
cowl,콜,kol
jenson,장송,jangsong
maryan,마량,maryang
wisniewski,위스니에스키,wiseunieseuki
niels,닐스,nilseu
deguelt,드겔트,deugelteu
nattiez,나티에,natie
devedjian,드브지앙,deubeujiang
charvet,샤르베,syareube
melvil,멜빌,melbil
poupaud,푸포,pupo
rocque,로크,rokeu
eustache,외스타슈,oeseutasyu
cassou,카수,kasu
meurisse,뫼리스,moeriseu
lew,루,ru
kowarski,코바르스키,kobareuseuki
pelloutier,펠루티에,pelrutie
marco,마르코,mareuko
enríquezominami,엔리케스오미나미,enrikeseuominami
putzulu,푸트줄루,puteujulru
duvauchelle,뒤보셸,dwibosyel
eriq,에리크,erikeu
ebouaney,에부아네,ebuane
pitoëff,피토에프,pitoepeu
lavant,라방,rabang
naji,나지,naji
hakim,하킴,hakim
fath,파트,pateu
raël,라엘,rael
isaach,이자크,ijakeu
bankolé,방콜레,bangkolre
boladé,볼라데,bolrade
descola,데스콜라,deseukolra
duguit,뒤귀,dwigwi
fraiture,프레이처,peureiceo
hostin,오스탱,oseutaeng
chalonge,샬롱쥐,syalrongjwi
zakarya,자카야,jakaya
bergdich,베르디크,bereudikeu
oreiller,오레이에,oreie
benoist,베누아,benua
diafra,디아프라,diapeura
bourdon,부르동,bureudong
éblé,에블레,ebeulre
douis,두이,dui
larios,라리오,rario
peugeot,푀조,poejo
megaton,메가통,megatong
daveluy,다블뤼,dabeulrwi
pauline,폴린,polrin
philippine,필리핀,pilripin
leroybeaulieu,르루아볼리외,reuruabolrioe
simondon,시몽동,simongdong
lalaina,랄라이나,ralraina
nomenjanahary,노메자나하리,nomejanahari
abeid,아베이드,abeideu
torreton,토레톤,toreton
remetter,르메테르,reumetereu
siatka,시아카,siaka
châtelet,샤틀레,syateulre
galloismontbrun,갈루아몽브룅,galruamongbeuroeng
gernet,제르네,jereune
stopyra,스토피라,seutopira
leblond,르블롱,reubeulrong
olivétan,올리베탕,olribetang
lefort,르포르,reuporeu
erwann,에르완,ereuwan
péchoux,페슈,pesyu
bastienthiry,바스티앙티리,baseutiangtiri
désormière,데조르미에르,dejoreumiereu
bouzaid,부자이드,bujaideu
sintès,생테,saengte
marche,마르슈,mareusyu
florey,플로리,peulrori
amyraut,아미라우트,amirauteu
glovacki,글로바츠키,geulrobaceuki
katerine,카터린느,kateorinneu
philipon,필리퐁,pilripong
cassegrain,카스그랭,kaseugeuraeng
baratelli,바라텔리,baratelri
bathenay,바테네,batene
érick,에릭,erig
zonca,종카,jongka
raimu,라이무,raimu
gamblin,갬블랭,gaembeulraeng
calmat,칼마,kalma
merhar,메하르,mehareu
gontautbiron,공토비롱,gongtobirong
madeon,마데옹,madeong
francœur,프랑쾨르,peurangkoereu
delsarte,델사르트,delsareuteu
baptiste,바티스트,batiseuteu
giabiconi,지아비코니,jiabikoni
haby,아비,abi
niaré,니아레,niare
lincou,랭쿠,raengku
siméonfrançois,시메옹프랑수아,simeongpeurangsua
berneux,베르뇌,bereunoe
ravaisson,라베송,rabesong
salif,살리프,salripeu
amat,아마,ama
castaldi,카스탈디,kaseutaldi
bailly,바이,bai
meyssonnier,메이소니나,meisonina
gravey,그라비,geurabi
odile,오딜,odil
decq,데크,dekeu
berthault,루이,rui
challan,샬랑,syalrang
decaë,드카에,deukae
nicod,니코드,nikodeu
truguet,트뤼게,teurwige
kaelbel,카엘벨,kaelbel
guétary,게타리,getari
vuarnet,뷔아르네,bwiareune
biausser,비오세,biose
palmade,팔마데,palmade
pigneau,피뇨,pinyo
behaine,베엔,been
kaplan,캐플런,kaepeulreon
contin,콩탱,kongtaeng
louvier,루비에르,rubiereu
ayache,아야슈,ayasyu
leclercq,르클레르크,reukeulrereukeu
prévost,프레보스트,peureboseuteu
giovanni,지오바니,jiobani
sio,시오,sio
foresti,포레스티,poreseuti
chalon,샬롱,syalrong
bernac,베르낙,bereunag
aube,오브,obeu
zardi,자르디,jareudi
scherk,셰르크,syereukeu
charlesroux,샤를루,syareulru
pathé,파테,pate
patenôtre,파트노트르,pateunoteureu
léonore,레오노르,reonoreu
perrus,페뤼,perwi
hanni,한니,hanni
denarnaud,드나르노,deunareuno
hirsch,이르슈,ireusyu
lanvin,랑뱅,rangbaeng
astrid,아스트리드,aseuteurideu
maîtrejean,메트르장,meteureujang
vivin,비뱅,bibaeng
lolita,롤리타,rolrita
chammah,샤마,syama
mocky,모키,moki
quasimodo,콰지모도,kwajimodo
lamine,라민,ramin
karole,카롤,karol
chappey,샤페,syape
laurence,로랑스,rorangseu
côte,코트,koteu
dalio,달리오,dalrio
ugo,위고,wigo
nowak,노바크,nobakeu
herlin,에를랭,ereulraeng
varrault,바로,baro
mézard,메자르,mejareu
ratold,라톨두스,ratolduseu
d'italie,로타링기아이,rotaringgiai
santiago,산티아고,santiago
amigorena,아미고레나,amigorena
barbizet,바르비제,bareubije
ticky,티키,tiki
holgado,홀가도,holgado
yoka,요카,yoka
thibaudet,티보데,tibode
castaneda,카스타네다,kaseutaneda
girodias,기로디어스,girodieoseu
germot,제르모,jereumo
paillard,파이야르,paiyareu
izambard,이장바르,ijangbareu
maio,마이오,maio
batteux,바토,bato
marsac,마르사크,mareusakeu
layvin,레뱅,rebaeng
kurzawa,퀴르자와,kwireujawa
gamelon,가믈롱,gameulrong
myriel,주교,jugyo
née,네,ne
carcavi,카르카비,kareukabi
conway,콘웨이,konwei
élisa,엘리자,elrija
tovati,토바티,tobati
apollonie,아폴로니,apolroni
charbonnier,샤르보니에,syareubonie
mélusine,멜뤼진,melrwijin
mayance,마양스,mayangseu
thylane,틸란,tilran
blondeau,블롱도,beulrongdo
dorie,도리,dori
hidalgo,이달고,idalgo
divo,디보,dibo
imorou,이모루,imoru
aldo,알도,aldo
ciccolini,치콜리니,cikolrini
delyle,드릴,deuril
andy,앙디,angdi
maureen,모린,morin
nisima,니시마,nisima
malik,맬릭,maelrig
zidi,지디,jidi
nadjim,나짐,najim
dall'oglio,달롤리오,dalrolrio
delort,들로르,deulroreu
kev,케브,kebeu
adams,아담스,adamseu
macé,마세,mase
ier,드,deu
guise,공작,gongjag
gentil,장틸,jangtil
couriol,쿠리올,kuriol
lempicka,렘피카,rempika
albéric,알베릭,alberig
mariano,마리아노,mariano
chloé,클로에,keulroe
mortaud,모르토,moreuto
dambury,당뷔리,dangbwiri
curel,퀴렐,kwirel
pujadas,푸하다스,puhadaseu
yaya,야야,yaya
sanogo,사노고,sanogo
arestrup,아레스트뤼프,areseuteurwipeu
larbi,라르비,rareubi
benboudaoud,벤부다우드,benbudaudeu
gringore,그랭구아르,geuraengguareu
harel,하렐,harel
ecuele,에퀴엘르,ekwielreu
manga,망가,mangga
tcheuméo,최메오,coemeo
pierrehugues,피에르위그,piereuwigeu
herbert,에르베르,ereubereu
merilahti,메릴라흐티,merilraheuti
moreno,모레노,moreno
pincas,핑카스,pingkaseu
chartier,샤르티에,syareutie
vitez,비테즈,bitejeu
bedimo,베디모,bedimo
dubosc,뒤보스크,dwiboseukeu
xuereb,크쉬에레브,keuswierebeu
bulot,불로,bulro
obry,오브리,obeuri
bergerac,베르주라크,bereujurakeu
faouzi,파우지,pauji
ghoulam,굴람,gulram
brizé,브리제,beurije
lamoureux,라모로,ramoro
leïla,레일라,reilra
bekhti,베크티,bekeuti
echouafni,에슈아프니,esyuapeuni
dumoulin,뒤물랭,dwimulraeng
bouvet,부베,bube
