lech,레흐,reheu
gniezno,그니에즈노,geuniejeuno
babsk,밥스크,babseukeu
szczecin,슈체친,syucecin
śląsk,실레시아,silresia
małopolska,마워폴스카,maweopolseuka
tychy,티히,tihi
łódź,우치,uci
katowice,카토비체,katobice
rzeszów,제슈프,jesyupeu
gmina,그미나,geumina
białystok,비아위스토크,biawiseutokeu
konin,코닌,konin
ełk,에우크,eukeu
wronki,브론키,beuronki
leszno,레슈노,resyuno
karpaty,카르파티아산맥,kareupatiasanmaeg
koszalin,코샬린,kosyalrin
gdańsk,그단스크,geudanseukeu
wrocław,브로츠와프,beuroceuwapeu
tarnobrzeg,타르노브제크,tareunobeujekeu
olsztyn,올슈틴,olsyutin
końskowola,코인스코볼라,koinseukobolra
kraków,크라쿠프,keurakupeu
wolin,볼린,bolrin
sopot,소포트,sopoteu
opole,오폴레,opolre
łęczna,웽치나,wengcina
świdnica,시비드니차,sibideunica
uznam,우제돔섬,ujedomseom
skierniewice,스키에르니에비체,seukiereuniebice
sanok,사노크,sanokeu
chrzanów,흐샤누프,heusyanupeu
kurów,쿠루프,kurupeu
słubice,스우비체,seuubice
łużyce,루사티아,rusatia
kutno,쿠트노,kuteuno
łuków,우쿠프,ukupeu
lublin,루블린,rubeulrin
polonez,폴로네즈,polronejeu
bydgoszcz,비드고슈치,bideugosyuci
świnoujście,시비노우이시치에,sibinouisicie
ziębice,지엥비체,jiengbice
police,폴리체,polrice
przemyśl,프셰미실,peusyemisil
polesie,폴레시아,polresia
wieluń,비엘룬,bielrun
chorzów,호주프,hojupeu
zabrze,자브제,jabeuje
pomorze,포메라니아,pomerania
babia,바비아,babia
góra,구라,gura
kielce,키엘체,kielce
bytom,비톰,bitom
sokolnictwo,매사냥,maesanyang
częstochowa,쳉스토호바,cengseutohoba
wielkopolska,비엘코폴스카,bielkopolseuka
elbląg,엘블롱크,elbeulrongkeu
radom,라돔,radom
sosnowiec,소스노비에츠,soseunobieceu
słupsk,스웁스크,seuubseukeu
płock,프워츠크,peuweoceukeu
żabno,자브노,jabeuno
gliwice,글리비체,geulribice
beskidy,베스키디산맥,beseukidisanmaeg
łomża,웜자,weomja
brzeg,브제크,beujekeu
wadowice,바도비체,badobice
karkonosze,크르코노셰산맥,keureukonosyesanmaeg
trasa,유럽,yureob
europejska,고속도로,gosogdoro
stargard,스타르가르트,seutareugareuteu
legnica,레그니차,regeunica
znicz,즈니치,jeunici
pruszków,프루슈쿠프,peurusyukupeu
tarnów,타르누프,tareunupeu
żory,조리,jori
bielskobiała,비엘스코비아와,bielseukobiawa
włocławek,브워츠와베크,beuweoceuwabekeu
rybnik,리브니크,ribeunikeu
jastrzębiezdrój,야스트솅비에즈드루이,yaseuteusyengbiejeudeurui
kołobrzeg,코워브제크,koweobeujekeu
łowicz,워비치,weobici
żyrardów,지라르두프,jirareudupeu
stadion,스타디온,seutadion
śląski,경기장,gyeonggijang
wałbrzych,바우브지흐,baubeujiheu
chełm,헤움,heum
suwałki,수바우키,subauki
lubin,루빈,rubin
pustynia,브웬도프스카,beuwendopeuseuka
błędowska,사막,samag
szlak,호박의,hobagyi
bursztynowy,길,gil
widzew,비제프,bijepeu
grudziądz,그루지옹츠,geurujiongceu
wojska,폴란드,polrandeu
lądowe,육군,yuggun
telewizja,폴란드,polrandeu
złotów,즈워투프,jeuweotupeu
sochaczew,소하체프,sohacepeu
futuryzm,미래주의,miraejuyi
kędzierzynkoźle,켕지에진코질레,kengjiejinkojilre
karpacz,카르파츠,kareupaceu
buskozdrój,부스코즈드루이,buseukojeudeurui
piła,피와,piwa
górnik,구르니크,gureunikeu
wisła,비스와,biseuwa
krynicazdrój,크리니차즈드루이,keurinicajeudeurui
oleśnica,올레시니차,olresinica
w,유로비전,yurobijeon
konkursie,송,song
piosenki,콘테스트,konteseuteu
eurowizji,참가,camga
ostrołęka,오스트로웽카,oseuteurowengka
będzin,벵진,bengjin
polonia,폴로니아,polronia
czechowicedziedzice,체호비체지에지체,cehobicejiejice
zagłębie,자그웽비에,jageuwengbie
augustów,아우구스투프,auguseutupeu
płońsk,프원스크,peuweonseukeu
uniwersytet,바르샤바,bareusyaba
warszawski,대학교,daehaggyo
wieliczka,비엘리치카,bielricika
zakopane,자코파네,jakopane
knurów,크누루프,keunurupeu
tczew,트체프,teucepeu
zamość,자모시치,jamosici
malbork,말보르크,malboreukeu
polsat,폴자츠,poljaceu
zgorzelec,즈고젤레츠,jeugojelreceu
hymn,폴란드의,polrandeuyi
polski,폴란드,polrandeu
nizina,북유럽,bugyureob
środkowoeuropejska,평원,pyeongweon
katastrofa,슈체코치니,syucekocini
kolejowa,열차,yeolca
pod,충돌,cungdol
szczekocinami,사고,sago
międzyzdroje,미엥지즈드로예,miengjijeudeuroye
zawiercie,자비에르치에,jabiereucie
lubsko,룹스코,rubseuko
lębork,렝보르크,rengboreukeu
kłodzko,크워츠코,keuweoceuko
armia,폴란드,polrandeu
krajowa,국내군,gugnaegun
sudety,수데티산맥,sudetisanmaeg
raków,라쿠프,rakupeu
ruch,루흐,ruheu
park,무스카우,museukau
mużakowski,공원,gongweon
puck,푸츠크,puceukeu
bolesławiec,볼레스와비에츠,bolreseuwabieceu
korytarz,폴란드,polrandeu
platforma,시민,simin
obywatelska,연단,yeondan
szczekociny,슈체코치니,syucekocini
westerplatte,전투,jeontu
bełchatów,베우하투프,beuhatupeu
jaworzno,야보주노,yabojuno
żagań,자간,jagan
radomsko,라돔스코,radomseuko
wrocławski,대학교,daehaggyo
obrona,베스테르플라테,beseutereupeulrate
kętrzyn,켕트신,kengteusin
siedlce,시에들체,siedeulce
order,폴란드,polrandeu
odrodzenia,재건국,jaegeongug
mysłowice,미스워비체,miseuweobice
ustka,우스트카,useuteuka
cieszyn,치에신,ciesin
dzień,철도의,ceoldoyi
kolejarza,날,nal
chełmno,헤움노,heumno
limanowa,리마노바,rimanoba
kłobuck,크워부츠크,keuweobuceukeu
brzeziny,브셰지니,beusyejini
łęczyca,웽치차,wengcica
rusyfikacja,러시아화,reosiahwa
słupca,스우프차,seuupeuca
kwidzyn,크비진,keubijin
kępno,켕프노,kengpeuno
mazowsze,마조프셰,majopeusye
zawisza,자비샤,jabisya
łańcut,완추트,wancuteu
godło,폴란드의,polrandeuyi
gdańsku,그단스크,geudanseukeu
polskoniemiecki,독일폴란드,dogilpolrandeu
traktat,국경,guggyeong
graniczny,조약,joyag
szklarska,슈클라르스카,syukeulrareuseuka
poręba,포렝바,porengba
lechia,레히아,rehia
akademia,과학,gwahag
nauk,아카데미,akademi
jagielloński,대학교,daehaggyo
nauczyciela,날,nal
jagiellonia,야기엘로니아,yagielronia
żywiec,지비에츠,jibieceu
puszcza,비아워비에자,biaweobieja
białowieska,숲,sup
tatry,타트리산맥,tateurisanmaeg
legia,레기아,regia
chojnice,호이니체,hoinice
inowrocław,이노브로츠와프,inobeuroceuwapeu
polityka,폴란드의,polrandeuyi
zagraniczna,대외,daeoe
gryfici,그리프가,geuripeuga
łobez,워베스,weobeseu
okrągły,폴란드,polrandeu
stół,원탁회의,weontaghoeyi
mielec,미엘레츠,mielreceu
ciechanów,치에하누프,ciehanupeu
sieradz,시에라츠,sieraceu
mrągowo,므롱고보,meuronggobo
wołomin,보워민,boweomin
mława,므와바,meuwaba
alwernia,알베르니아,albereunia
bochnia,보흐니아,boheunia
oblężenie,브레슬라우,beureseulrau
wrocławia,전투,jeontu
nysa,니사,nisa
bitwa,바르샤바,bareusyaba
warszawska,전투,jeontu
krosno,크로스노,keuroseuno
sejny,세이니,seini
arka,아르카,areuka
chojnic,전투,jeontu
kuchnia,폴란드,polrandeu
wałcz,바우치,bauci
piast,피아스트,piaseuteu
lubliniec,루블리니에츠,rubeulrinieceu
podbeskidzie,포드베스키지에,podeubeseukijie
pogoń,포곤,pogon
łańcuch,알프스히말라야,alpeuseuhimalraya
alpejskohimalajski,조산대,josandae
virtuti,밀리타이,milritai
militari,훈장,hunjang
giżycko,기지츠코,gijiceuko
jasło,야스워,yaseuweo
hel,헬,hel
szczecinek,슈체치네크,syucecinekeu
rogoźno,로고지노,rogojino
drewniane,남부,nambu
kościoły,리틀폴란드의,riteulpolrandeuyi
południowej,목조,mogjo
małopolski,교회,gyohoe
gorlice,고를리체,goreulrice
padniewko,파드니에브코,padeuniebeuko
biblioteka,폴란드,polrandeu
narodowa,국립도서관,gugribdoseogwan
opoczno,오포치노,opocino
dolny,돌니,dolni
chojna,호이나,hoina
literatura,폴란드,polrandeu
dzierżoniów,지에르조니우프,jiereujoniupeu
krzywy,크시비,keusibi
domek,도메크,domekeu
szczawnica,슈차브니차,syucabeunica
ustroń,우스트론,useuteuron
operacja,타넨베르크,tanenbereukeu
tannenberg,작전,jagjeon
trzebnica,트셰브니차,teusyebeunica
rabkazdrój,라브카즈드루이,rabeukajeudeurui
gospodarka,폴란드의,polrandeuyi
karaimi,카라임족,karaimjog
narodowe,국민부활을,gugminbuhwaleul
odrodzenie,위한,wihan
polskie,폴란드,polrandeu
radio,라디오,radio
motor,모토르,motoreu
prusy,프로이센,peuroisen
korona,코로나,korona
oberek,오페레크,operekeu
redzikowo,레드지코보,redeujikobo
suwerenna,통합,tonghab
wiadomości,비아도모시치,biadomosici
marki,마르키,mareuki
socjaldemokracja,폴란드,polrandeu
rzeczypospolitej,공화국,gonghwagug
polskiej,사회민주당,sahoeminjudang
lubinie,루빈,rubin
muszyna,무쉬나,muswina
port,바르샤바,bareusyaba
lotniczy,모들린,modeulrin
warszawamodlin,공항,gonghang
herb,바르샤바의,bareusyabayi
warszawy,문장,munjang
brukbet,브루크베트,beurukeubeteu
termalica,테르말리차,tereumalrica
nieciecza,니에치에차,niecieca
oliwa,올리바,olriba
zwoleń,즈볼렌,jeubolren
stocznia,그단스크,geudanseukeu
gdańska,조선소,joseonso
piwnicznazdrój,피브니츠나즈드루이,pibeuniceunajeudeurui
bielany,비엘라니,bielrani
wrocławskie,브로츠와프스키에,beuroceuwapeuseukie
wielka,비엘카,bielka
bochotnica,보호트니차,bohoteunica
biskupice,비스쿠피체,biseukupice
podgórne,포드구르네,podeugureune
komitet,올림픽,olrimpig
olimpijski,위원회,wiweonhoe
baumkuchen,바움쿠헨,baumkuhen
południk,바르샤바,bareusyaba
graniczna,전투,jeontu
bieglów,비글로,bigeulro
garin,아리네라,arinera
obóz,위대한,widaehan
wielkiej,폴란드,polrandeu
afera,오케치에,okecie
na,공항,gonghang
okęciu,사건,sageon
stosunki,영국폴란드,yeonggugpolrandeu
polskobrytyjskie,관계,gwangye
polskorumuńskie,관계,gwangye
polskoukraińskie,관계,gwangye
piotrowice,피어트로우비츠,pieoteuroubiceu
trojany,트로야니,teuroyani
twój,너의,neoyi
rosół,로수,rosu
nowoczesna,현대당,hyeondaedang
lewica,레비차,rebica
razem,라젬,rajem
przesmyk,수바우키,subauki
suwalski,간격,gangyeog
michalski,미할스키,mihalseuki
porozumienie,동맹당,dongmaengdang
centralny,중앙,jungang
komunikacyjny,공항,gonghang
polskokenijskie,관계,gwangye
extinction,멸종에의,myeoljongeyi
rebellion,반란,banran
polskopołudniowokoreańskie,관계,gwangye
wiosna,비오스나,bioseuna
fleischer,플라이셔,peulraisyeo
fronczewski,프론체프스키,peuroncepeuseuki
krakowska,크라코프스카,keurakopeuseuka
parys,파리스,pariseu
chojnacka,호이나츠카,hoinaceuka
wierzbicka,비에주비츠카,biejubiceuka
englert,엔글레르트,engeulrereuteu
bigus,비구스,biguseu
jankowski,얀코프스키,yankopeuseuki
macharski,마하르스키,mahareuseuki
polaczek,폴라체크,polracekeu
maksymilian,막시밀리안,magsimilrian
więcek,비엥체크,biengcekeu
feldman,펠드만,peldeuman
arłukowicz,아르우코비치,areuukobici
brugger,브루거,beurugeo
janina,야니나,yanina
ochojska,오호이스카,ohoiseuka
albert,알베르트,albereuteu
battel,바텔,batel
mroczkiewicz,므로치키에비치,meurocikiebici
bernard,베르나르트,bereunareuteu
chrzanowski,흐샤노프스키,heusyanopeuseuki
majka,마이카,maika
jeżowska,예조프스카,yejopeuseuka
jagna,야그나,yageuna
marczułajtiswalczak,마르추와이티스,mareucuwaitiseu
paulina,파울리나,paulrina
ligocka,리고츠카,rigoceuka
rynkowski,린코프스키,rinkopeuseuki
santor,산토르,santoreu
błazinski,블라친스키,beulracinseuki
balcerowicz,발체로비치,balcerobici
hebda,헤브다,hebeuda
twardowski,트바르도프스키,teubareudopeuseuki
woronin,보로닌,boronin
szurkowski,슈르코프스키,syureukopeuseuki
harry,해리,haeri
warner,워너,weoneo
janowicz,야노비치,yanobici
sypytkowski,시피트코프스키,sipiteukopeuseuki
giertych,기에르티흐,giereutiheu
weissbergcybulski,바이스베르크치불스키,baiseubereukeucibulseuki
wojtek,보이테크,boitekeu
mann,맨,maen
szpilka,슈필카,syupilka
nycz,니치,nici
konopko,코놉코,konobko
sipińska,시핀스카,sipinseuka
magnuski,마그누스키,mageunuseuki
ludwik,루드비크,rudeubikeu
mierosławski,미에로스와프스키,mieroseuwapeuseuki
kucharzewski,쿠하제프스키,kuhajepeuseuki
rzewuski,제부스키,jebuseuki
hanuszkiewicz,하누슈키에비치,hanusyukiebici
śląska,실롱스카,silrongseuka
karczewski,카르체프스키,kareucepeuseuki
huzarski,후자르스키,hujareuseuki
kryszak,크리샤크,keurisyakeu
gulbinowicz,굴비노비치,gulbinobici
cuch,추흐,cuheu
baszczyński,바슈친스키,basyucinseuki
ślusarski,실루사르스키,silrusareuseuki
wiłkomirski,비우코미르스키,biukomireuseuki
rakoczy,라코치,rakoci
kornel,코르넬,koreunel
filipowicz,필리포비치,pilripobici
wójcik,부이치크,buicikeu
antoni,안토니,antoni
chruściel,흐루시치엘,heurusiciel
cejrowski,체이로프스키,ceiropeuseuki
iwaszkiewicz,이바슈키에비치,ibasyukiebici
sławoj,스와보이,seuwaboi
głódź,구치,guci
boromeusz,보로메우시,boromeusi
hoffman,호프만,hopeuman
wincenty,빈첸티,bincenti
gocłowski,고츠워프스키,goceuweopeuseuki
rakowski,라코프스키,rakopeuseuki
badora,바도라,badora
dziwisz,지비츠,jibiceu
lampe,람페,rampe
konstanty,콘스탄티,konseutanti
czartoryski,차르토리스키,careutoriseuki
kołakowski,코와코프스키,kowakopeuseuki
ziobro,지오브로,jiobeuro
pilipiuk,필리피우크,pilripiukeu
bogdan,보그단,bogeudan
borusewicz,보루세비치,borusebici
araszkiewicz,아라슈키에비치,arasyukiebici
cezary,체자리,cejari
zamana,자마나,jamana
korycki,코리츠키,koriceuki
paterski,파테르스키,patereuseuki
michnik,미흐니크,miheunikeu
leśmian,레시미안,resimian
woytowicz,보이토비치,boitobici
dygant,디간트,diganteu
szczerba,슈체르바,syucereuba
fyrstenberg,피르스텐베르크,pireuseutenbereukeu
peradze,페라제,peraje
barańczak,바란차크,barancakeu
wandzik,반지크,banjikeu
kryger,크리게르,keurigereu
hemar,헤마르,hemareu
witkowski,비트코프스키,biteukopeuseuki
modzelewski,모젤레프스키,mojelrepeuseuki
jaremski,야렘스키,yaremseuki
karkowski,카르코프스키,kareukopeuseuki
trzeciak,트셰치아크,teusyeciakeu
slowinski,슬로윈스키,seulrowinseuki
małkowski,마우코프스키,maukopeuseuki
namysłowski,나미스워프스키,namiseuweopeuseuki
winawer,비나베르,binabereu
benedykt,베네딕트,benedigteu
dybowski,디보프스키,dibopeuseuki
ściborrylski,시치보르릴스키,siciboreurilseuki
goliński,골린스키,golrinseuki
siudek,시우데크,siudekeu
joachim,요아힘,yoahim
brudziński,브루진스키,beurujinseuki
mrowiec,므로비에츠,meurobieceu
kotorowski,코토로프스키,kotoropeuseuki
michałowski,미하워프스키,mihaweopeuseuki
zakrzewski,작셰프스키,jagsyepeuseuki
ziober,지오베르,jiobereu
julian,율리안,yulrian
tuwim,투빔,tubim
maklakiewicz,마클라키에비치,makeulrakiebici
krzyszkowiak,크시슈코비아크,keusisyukobiakeu
możdżer,모주제르,mojujereu
żebrowska,제브로프스카,jebeuropeuseuka
huelle,후엘레,huelre
bartoszewski,바르토셰프스키,bareutosyepeuseuki
światło,시비아트워,sibiateuweo
ławrynowicz,라우리노비치,raurinobici
allan,알란,alran
starski,스타르스키,seutareuseuki
macierewicz,마치에레비치,macierebici
nosowska,노소프스카,nosopeuseuka
brodecki,브로데츠키,beurodeceuki
makarczyk,마카르치크,makareucikeu
czapski,찹스키,cabseuki
hilary,힐러리,hilreori
koprowski,코프로프스키,kopeuropeuseuki
szymanowski,시마노프스키,simanopeuseuki
zenon,제논,jenon
jaskuła,야스쿠와,yaseukuwa
grocholewski,그로홀레프스키,geuroholrepeuseuki
rylik,릴리크,rilrikeu
wojtaszek,보이타셰크,boitasyekeu
nazım,나짐,najim
gołębiewski,고웽비에프스키,gowengbiepeuseuki
jarzębowski,야젱보프스키,yajengbopeuseuki
zubel,주벨,jubel
melcerszczawiński,멜체르슈차빈스키,melcereusyucabinseuki
kliszko,클리슈코,keulrisyuko
pomaska,포마스카,pomaseuka
moe,모,mo
drabowsky,드러바우스키,deureobauseuki
hanka,한카,hanka
bielicka,비엘리츠카,bielriceuka
eugeniusz,에우게니우시,eugeniusi
algirdas,알기르다스,algireudaseu
paleckis,팔레츠키스,palreceukiseu
orkan,오르칸,oreukan
przysiężny,프시시엥주니,peusisiengjuni
arctowski,아르츠토프스키,areuceutopeuseuki
nitras,니트라스,niteuraseu
okoński,오콘스키,okonseuki
piotrowski,피오트로프스키,pioteuropeuseuki
stattler,스타틀레르,seutateulrereu
jurgiel,유르기엘,yureugiel
łukacijewska,우카치예프스카,ukaciyepeuseuka
edelman,에델만,edelman
zabłocki,자브워츠키,jabeuweoceuki
skrzydlewska,스크시들레프스카,seukeusideulrepeuseuka
dorota,도로타,dorota
nałkowska,나우코프스카,naukopeuseuka
kossakszczucka,코사크슈추츠카,kosakeusyucuceuka
joseph,조지프,jojipeu
pierzchała,피에슈하와,piesyuhawa
radziszewska,라지셰프스카,rajisyepeuseuka
antoniak,안토니아크,antoniakeu
szatkowska,샤트코프스카,syateukopeuseuka
bielczyk,비엘치크,bielcikeu
buncol,분촐,buncol
pomykała,포미카와,pomikawa
kowalczyktekieli,코발치크,kobalcikeu
cyrankiewicz,치란키에비치,cirankiebici
george,조지,joji
adamski,아담스키,adamseuki
eugenia,에우게니아,eugenia
umińska,우민스카,uminseuka
filipkiewicz,필립키에비치,pilribkiebici
langerkałek,란게르카웨크,rangereukawekeu
sobota,소보타,sobota
sandra,산드라,sandeura
zaniewska,자니에프스카,janiepeuseuka
kuba,쿠바,kuba
wojewódzki,보예부츠키,boyebuceuki
jarosława,야로스와바,yaroseuwaba
jóźwiakowska,유지비아코프스카,yujibiakopeuseuka
rogowska,로고프스카,rogopeuseuka
domachowska,도마호프스카,domahopeuseuka
owsiak,오프시아크,opeusiakeu
wojaczek,보야체크,boyacekeu
jabłczyńska,야부친스카,yabucinseuka
maculewicz,마출레비치,maculrebici
wierzchowski,비에슈호프스키,biesyuhopeuseuki
wasiewicz,바시에비치,basiebici
krzesińska,크셰신스카,keusyesinseuka
kazik,카지크,kajikeu
staszewski,스타셰프스키,seutasyepeuseuki
walentynowicz,발렌티노비치,balrentinobici
klaudia,클라우디아,keulraudia
jansignacik,얀스이그나치크,yanseuigeunacikeu
dąbrowska,동브로프스카,dongbeuropeuseuka
leonard,레오나르트,reonareuteu
buczkowski,부치코프스키,bucikopeuseuki
michalczewski,미할체프스키,mihalcepeuseuki
hanusik,하누시크,hanusikeu
rasiak,라시아크,rasiakeu
kurylewicz,쿠릴레비치,kurilrebici
grodzka,그로츠카,geuroceuka
szozda,쇼즈다,syojeuda
stablinski,스타블랭스키,seutabeulraengseuki
krauze,크라우제,keurauje
mytnik,미트니크,miteunikeu
poświatowska,포시비아토프스카,posibiatopeuseuka
kaja,카야,kaya
paschalska,파스할스카,paseuhalseuka
ostrowskakrólikowska,오스트로프스카크룰리코프스카,oseuteuropeuseukakeurulrikopeuseuka
teofil,테오필,teopil
buczek,부체크,bucekeu
ponitka,포니트카,poniteuka
korowicka,코로비츠카,korobiceuka
pankowski,판코프스키,pankopeuseuki
reyman,레이만,reiman
ćwiek,치비에크,cibiekeu
młynarski,밀스키스키,milseukiseuki
siemoniak,시에모니아크,siemoniakeu
wiesław,비에스와프,bieseuwapeu
maniak,마니아크,maniakeu
jakubiak,야쿠비아크,yakubiakeu
wszoła,프쇼와,peusyowa
korczyńska,코르친스카,koreucinseuka
manuela,마누엘라,manuelra
gretkowska,그레트코프스카,geureteukopeuseuka
wiłkomirska,비우코미르스카,biukomireuseuka
lipska,립스카,ribseuka
szymanowska,시마노프스카,simanopeuseuka
cichopek,치호페크,cihopekeu
kaczorowski,카초로프스키,kacoropeuseuki
kajdanowicz,카이다노비치,kaidanobici
kulenty,쿨렌티,kulrenti
kraszewski,크라셰프스키,keurasyepeuseuki
szmielew,슈미엘레프,syumielrepeu
kuczok,쿠초크,kucokeu
furtok,푸르토크,pureutokeu
czyżewska,치제프스카,cijepeuseuka
jaruganowacka,야루가노바츠카,yaruganobaceuka
halupczok,할루프초크,halrupeucokeu
teresa,테레사,teresa
piotrowska,피오트로프스카,pioteuropeuseuka
ciepły,치에프위,ciepeuwi
kozidrak,코지드라크,kojideurakeu
dukaj,두카이,dukai
uri,우리,uri
orlev,올레브,olrebeu
feliks,펠릭스,pelrigseu
dobrzyński,도브진스키,dobeujinseuki
jantar,얀타르,yantareu
wajsówna,바이스,baiseu
henryka,헨리카,henrika
krzywonos,크시보노스,keusibonoseu
kazimiera,카지미에라,kajimiera
iłłakowiczówna,이와코비추브나,iwakobicubeuna
niemen,니에멘,niemen
kolski,콜스키,kolseuki
konwicki,콘비츠키,konbiceuki
starewicz,스타레비치,seutarebici
zajdel,자이델,jaidel
spychalski,스피할스키,seupihalseuki
ordon,오르돈,oreudon
janion,야니온,yanion
bieńkowska,비엔코프스카,bienkopeuseuka
gronkiewiczwaltz,그론키에비치,geuronkiebici
brylska,브릴스카,beurilseuka
mielcarz,미엘카르츠,mielkareuceu
chwistek,흐비스테크,heubiseutekeu
tarasiewicz,타라시에비치,tarasiebici
seniukmałecka,세니우크,seniukeu
abraham,아브라함,abeuraham
trojanowska,트로야노프스카,teuroyanopeuseuka
kiepura,키에푸라,kiepura
rabsztyn,랍슈틴,rabsyutin
socha,소하,soha
paula,파울라,paulra
kaniachoduń,카니아호둔,kaniahodun
masłowska,마스워프스카,maseuweopeuseuka
środa,시로다,siroda
pieńkowski,피엔코프스키,pienkopeuseuki
frykowski,프리코프스키,peurikopeuseuki
mróz,므루스,meuruseu
passent,파센트,pasenteu
senyszyn,세니신,senisin
édouard,에두아르,eduareu
stako,스타코,seutako
laszczkowski,라슈치코프스키,rasyucikopeuseuki
maryla,마릴라,marilra
rodowicz,로도비치,rodobici
saleta,살레타,salreta
snoppek,스노페크,seunopekeu
marczyński,마르친스키,mareucinseuki
jonasz,요나시,yonasi
kofta,코프타,kopeuta
czochralski,초흐랄스키,coheuralseuki
szolem,숄렘,syolrem
mandelbrojt,만델브로이트,mandelbeuroiteu
antczak,안트차크,anteucakeu
izuagbe,이주,iju
ugonoh,우고노,ugono
osiecka,오시에츠카,osieceuka
żuraw,주라프,jurapeu
orzeł,오제우,ojeu
saramonowicz,사라모노비치,saramonobici
brzozowski,브조조프스키,beujojopeuseuki
baranowski,바라노프스키,baranopeuseuki
żakowski,자코프스키,jakopeuseuki
bołądź,보웡치,boweongci
kręglicka,크렝글리츠카,keurenggeulriceuka
żabiński,자빈스키,jabinseuki
geppert,게페르트,gepereuteu
chwin,흐빈,heubin
michal,미하우,mihau
martychowiec,마르티호비에츠,mareutihobieceu
chajdecki,하이데츠키,haideceuki
kossak,코사크,kosakeu
bursa,부르사,bureusa
anselmo,안세우무,anseumu
vendrechovski,벤드레초프스키,bendeurecopeuseuki
júnior,주니오르,junioreu
górecki,구레츠키,gureceuki
paradowska,파라도프스카,paradopeuseuka
farfał,파르파우,pareupau
kondratiuk,콘드라티우크,kondeuratiukeu
batorłukasiewicz,바토르,batoreu
lucjan,루찬,rucan
lis,리스,riseu
lelewel,렐레벨,relrebel
nowakowski,노바코프스키,nobakopeuseuki
brzechwa,브제흐바,beujeheuba
kozakiewicz,코자키에비치,kojakiebici
każyński,카진스키,kajinseuki
karłowicz,카르워비치,kareuweobici
rydzyk,리지크,rijikeu
frasyniuk,프라시니우크,peurasiniukeu
banaszak,바나샤크,banasyakeu
lenartowicz,레나르토비치,renareutobici
maksymiuk,막시미우크,magsimiukeu
alicja,알리차,alrica
majewska,마예프스카,mayepeuseuka
browicz,브로비치,beurobici
dembowski,뎀보프스키,dembopeuseuki
święcicki,슈비엥치츠키,syubiengciceuki
chwalba,흐발바,heubalba
jaroszewicz,야로셰비치,yarosyebici
nowicka,노비츠카,nobiceuka
tomczyk,톰치크,tomcikeu
szczygieł,슈치기에우,syucigieu
kilar,킬라르,kilrareu
jezierski,예지에르스키,yejiereuseuki
popowazydroń,포포바지드론,popobajideuron
turnau,투르나우,tureunau
juskowiak,유스코비아크,yuseukobiakeu
herkules,에르콜레,ereukolre
jędraszewski,옝드라셰프스키,yengdeurasyepeuseuki
wars,바르스,bareuseu
czechowicz,체호비치,cehobici
piaseczny,피아세치니,piasecini
majdan,마이단,maidan
stasiuk,스타시우크,seutasiukeu
ciechowski,치에호프스키,ciehopeuseuki
kmiecik,크미에치크,keumiecikeu
romuald,로무알트,romualteu
ziemiański,지에미안스키,jiemianseuki
łapicki,와피츠키,wapiceuki
wróblewski,브루블레프스키,beurubeulrepeuseuki
bloch,블로흐,beulroheu
wach,바흐,baheu
gajos,가조스,gajoseu
matuszkiewicz,마투슈키에비치,matusyukiebici
gliwa,글리바,geulriba
lipnicka,리프니츠카,ripeuniceuka
moszumańskanazar,모슈만스카나자르,mosyumanseukanajareu
mehoffer,메호페르,mehopereu
fałat,파와트,pawateu
szukalski,슈칼스키,syukalseuki
ulatowski,울라토프스키,ulratopeuseuki
zachwatowicz,자흐바토비치,jaheubatobici
wielopolski,비엘로폴스키,bielropolseuki
ludomir,루도미르,rudomireu
różycki,루지츠키,rujiceuki
błaszczak,브와슈차크,beuwasyucakeu
stanisławska,스타니스와프스카,seutaniseuwapeuseuka
eric,에릭,erig
piatkowski,파이엇카우스키,paieoskauseuki
jarocka,야로츠카,yaroceuka
skoczylas,스코칠라스,seukocilraseu
rolażymierski,롤라지미에르스키,rolrajimiereuseuki
stefania,스테파니아,seutepania
chruściński,흐루시친스키,heurusicinseuki
rydygier,리디기에르,ridigiereu
krynicki,크리니츠키,keuriniceuki
perkowski,페르코프스키,pereukopeuseuki
piotrkowicz,피오트르코비치,pioteureukobici
nahorny,나호르니,nahoreuni
myśliwski,미실리프스키,misilripeuseuki
nowinakonopka,노비나코놉카,nobinakonobka
bińczycki,빈치츠키,binciceuki
gosia,고시아,gosia
andrzejewicz,안제예비치,anjeyebici
korcz,코르치,koreuci
peczynski,페친스키,pecinseuki
wlastimil,블라스티밀,beulraseutimil
hofman,호프만,hopeuman
bodzek,보제크,bojekeu
zaucha,자우하,jauha
szewczyk,셰프치크,syepeucikeu
rajmund,라이문트,raimunteu
kanelba,카넬바,kanelba
rybicka,리비츠카,ribiceuka
xawery,크사베리,keusaberi
szlachetko,슐라헤트코,syulraheteuko
towiański,토비안스키,tobianseuki
skirmunt,스키르문트,seukireumunteu
grzybowski,그지보프스키,geujibopeuseuki
sarah,사라,sara
pitkowski,피트코프스키말코르,piteukopeuseukimalkoreu
lipowska,리포프스카,ripopeuseuka
barczyk,바르치크,bareucikeu
siudmak,시우드마크,siudeumakeu
kostrzewski,코스트셰프스키,koseuteusyepeuseuki
hańcza,한차,hanca
cywka,치프카,cipeuka
pomian,포미안,pomian
stanislas,스타니슬라스,seutaniseulraseu
