lionel,リオネル
rossano,ロッサーノ
brazzi,ブラッツィ
brega,ブレガ
parise,パリーゼ
rava,ラヴァ
margaglio,マルガリオ
concini,コンチーニ
guazzoni,ガッツォーニ
intra,イントラ
ferretti,フェレッティ
garrone,ガローネ
aymonino,アイモニーノ
terranova,テッラノーヴァ
agnoli,アニョーリ
severino,セヴェリーノ
gazzelloni,ガッゼローニ
ravanelli,ラバネッリ
scirea,シレア
pierre,ピエール
cardin,カルダン
chiti,キティ
sanzogno,サンツォーニョ
mazzanti,マッツァンティ
piccini,ピッチーニ
bruson,ブルゾン
böhm,ベーム
rustichelli,ルスティケッリ
rovelli,ロヴェッリ
salerno,サレルノ
vantaggiato,ヴァンタッジャート
parrella,パッレッラ
padelli,パデッリ
libetta,リベッタ
chioccioli,キオッチョーリ
abdon,アブドン
pamich,パミッチ
antonini,アントニーニ
negri,ネグリ
palmiro,パルミーロ
togliatti,トリアッティ
masetti,マゼッティ
boni,ボーニ
miles,マイルズ
spalletti,スパレッティ
palombo,パロンボ
hübner,ヒュブナー
pistone,ピストーネ
diouf,ディウフ
miconi,ミコーニ
frua,フルア
legrottaglie,レグロッターリエ
aloisi,アロイージ
ubbiali,ウビアリ
cortellesi,コルテッレージ
brocchi,ブロッキ
agamben,アガンベン
marchese,マルケーゼ
silenzi,シレンツィ
traverso,トラヴェルソ
cacciapaglia,カッチャパーリア
germani,ジェルマーニ
abetti,アベッティ
scimone,シモーネ
simonetta,シモネッタ
virginio,バージニオ
rotunno,ロトゥンノ
stella,ステラ
ungaretti,ウンガレッティ
joel,ジョエル
mchale,マクヘイル
viganò,ヴィガノ
interlenghi,インテルレンギ
pasqualino,パスクァリーノ
vasi,ヴァシ
santini,サンティーニ
festa,フェスタ
casale,カザーレ
petrella,ペトレッラ
gentile,ジェンティーレ
borsellino,ボルセリーノ
maxi,マクシミリアーノ
riina,リイナ
navarra,ナヴァーラ
mastandrea,マスタンドレア
parolo,パローロ
caldirola,カルディローラ
fabritiis,ファブリティース
armiliato,アルミリアート
previtali,プレヴィターリ
nibali,ニバリ
tinto,ティント
brass,ブラス
bresciano,ブレシャーノ
adamo,アダモ
pinola,ピノラ
vanzetta,ヴァンツェッタ
gamberini,ガンベリーニ
ammannati,アンマナーティ
rosso,ロッソ
petacchi,ペタッキ
tardelli,タルデッリ
cinquanta,チンクアンタ
nini,ニニ
giacosa,ジャコーザ
guarnieri,グァルニエーリ
colantuono,コラントゥオーノ
gatti,ガッティ
ratto,ラット
vargas,ヴァルガス
curzio,クルツィオ
malaparte,マラパルテ
ogbonna,オグボンナ
milani,ミラーニ
tuia,トゥーイア
giorgetti,ジョルゲッティ
tassotti,タソッティ
bearzot,ベアルツォット
zanetti,ザネッティ
gimondi,ジモンディ
pagliuca,パリュウカ
kevin,ケヴィン
ceccon,チェッコン
zappalà,ザッパラ
ferrara,フェラーラ
cobolli,コボッリ
favero,ファヴェーロ
nervi,ネルヴィ
ivanoe,イヴァノエ
bonomi,ボノーミ
biagio,ビアージョ
corelli,コレッリ
d'alessandro,ダレッサンドロ
brusati,ブルザーティ
chili,キリ
boaro,ボアロ
pirovano,ピロバーノ
carapellese,カラペッレーゼ
amidei,アミデイ
lanotte,ラノッテ
stroppa,ストロッパ
durante,ドゥランテ
molinaro,モリナーロ
ranocchia,ラノッキア
rodríguez,ロドリゲス
bugatti,ブガッティ
bocchetti,ボッケッティ
manlio,マンリオ
brosio,ブロジオ
antibo,アンティボ
tesio,テシオ
devis,デーヴィス
mangia,マンジャ
mariella,マリエッラ
devia,デヴィーア
cardini,カルディーニ
cimolai,チモライ
malesani,マレザーニ
lucchini,ルッキーニ
julián,フリアン
leal,レアル
pasinetti,パシネッティ
zingaretti,ジンガレッティ
mariano,マリアーノ
piccoli,ピッコリ
rizzoli,リッツォーリ
abbagnano,アバニャーノ
bolelli,ボレッリ
schiavio,スキアビオ
bisio,ビジオ
francini,フランチーニ
felline,フェリーネ
juan,ファン
eranio,エラーニオ
beghetto,ベゲット
fëdor,フェオドール
fëdorovič,シャリアピン
šaljapin,ジュニア
florenzi,フロレンツィ
bargnani,バルニャーニ
ciriaco,チリアーコ
mita,ミータ
ceglie,チェリエ
giorgetto,ジョルジェット
giugiaro,ジウジアーロ
fiori,フィオーリ
ledesma,レデスマ
rumor,ルモール
provenzano,プロベンツァーノ
barocci,バロッチ
zaccheroni,ザッケローニ
donadel,ドナデル
stratos,ストラトス
erede,エレーデ
vanni,ヴァンニ
federzoni,フェデルツォーニ
pileri,ピレリ
eva,エヴァ
lechner,レヒナー
ghella,ゲッラ
codol,コドル
pete,ピート
rugolo,ルゴロ
piacentini,ピアチェンティーニ
gresini,グレシーニ
marcel,マルセル
bich,ビック
capuano,カプアーノ
carbone,カルボーネ
caprari,カプラーリ
cappioli,カッピオーリ
cappello,カッペッロ
franca,フランカ
squarciapino,スカルシャピノ
lega,レガ
bastianini,バスティアニーニ
crestani,クレスターニ
bechi,ベーキ
roland,ローランド
alan,アラン
sorrenti,ソレンティ
sivero,シベロ
morini,モリーニ
píriz,ピリス
giunchi,ジュンキ
griminelli,グリミネッリ
bosetti,ボゼッティ
tamberi,タンベリ
marotta,マロッタ
raiola,ライオラ
mei,メーイ
greggio,グレッジオ
alberoni,アルベローニ
bonisolli,ボニゾッリ
bortolazzi,ボルトラッツィ
vallebona,ヴァッレボーナ
carnasciali,カルラッシャーリ
zerbi,ゼルビ
grifo,グリフォ
pereyra,ペレイラ
fabri,ファブリ
fibra,フィブラ
raphaela,ラファエラ
folie,フォリエ
liddi,リッディ
paul,ポール
bonifacio,ボニファーチョ
parkinson,パーキンソン
sante,サンテ
gaiardoni,ガイアルドーニ
lucisano,ルチザーノ
givone,ジヴォーネ
delli,デリ
colli,コッリ
bobbi,ボッビ
ambrosio,アンブロジオ
carmignola,カルミニョーラ
regge,レッジェ
marin,マリン
michela,ミケーラ
cerruti,セルッティ
muzzi,ムッツィ
romitelli,ロミテッリ
baldassarre,バルダッサーレ
negroni,ネグローニ
castagnetti,カスタニェッティ
cacciatore,カッチャトーレ
denis,デニス
godeas,ゴデアス
rozzi,ロッツィ
gueglio,ゲグリオ
caldarelli,カルダレッリ
scattini,スカッティーニ
matías,マティアス
vecino,ベシーノ
fornara,フォルナーラ
campanile,カンパニーレ
marangoni,マランゴーニ
loik,ロイク
innocenti,インノチェンティ
kanizsa,カニッツァ
emmanuel,エンマヌエル
cascione,カッショーネ
mencherini,メンケリーニ
gavino,ガヴィーノ
ledda,レッダ
ferroni,フェローニ
cagni,カーニ
benussi,ベヌッシ
beatrice,ベアトリーチェ
adelizzi,アデリッツィ
moris,モリス
carrozzieri,カロッツィエーリ
musacci,ムサッチ
corradini,コッラディーニ
calori,カローリ
romolo,ロモロ
freccia,フレッチャ
edi,エディ
orioli,オリオリ
bertolacci,ベルトラッチ
valcareggi,ヴァルカレッジ
pavoni,パボーニ
verde,ヴェルデ
castellini,カステッリーニ
loretto,ロレット
petrucci,ペトルッチ
pin,ピン
turrini,トゥッリーニ
bettarini,ベッタリーニ
bertotto,ヴェルトット
ceravolo,チェラヴォロ
chiappa,キアッパ
cervone,チェルボーネ
matteoli,マッテオーリ
pelucchi,ペルッキ
palumbo,パルンボ
tovoli,トヴォリ
losi,ロージ
alejandro,アレハンドロ
giammattei,ジャマテイ
giuranna,ジュランナ
ferrio,フェッリオ
colonnese,コロンネーゼ
chavarría,チャバリア
alonso,アロンソ
rodeghiero,ロデギエーロ
comotto,コモット
anfossi,アンフォッシ
conca,コンカ
consigli,コンシーリ
gaspare,ガスパーレ
puppo,プポー
fosco,フォスコ
secolo,セーコロ
fidanza,フィダンツァ
bilivert,ビリヴェルティ
cordaz,コルダツ
emanuela,エマヌエラ
pierantozzi,ピエラントッツィ
russell,ラッセル
teibert,タイバート
bianconi,ビアンコニ
taliani,タリアーニ
marchio,マルキオ
zingales,ジンガレス
adami,アダミ
belluzzo,ベッルッツォ
capuana,カプアーナ
ronconi,ロンコーニ
brienza,ブリエンツァ
pierina,ピエリーナ
gilli,ジリ
papadopulo,パパドプーロ
nicolò,ニコロ
melli,メリ
tonelli,トネッリ
tomassini,トマシーニ
balducci,バルドゥッチ
biagianti,ビアジャンティ
yellow,イエロー
almirante,アルミランテ
gravina,グラヴィーナ
pippi,ピッピ
rosanna,ロザンナ
ruotolo,ルオートロ
bodini,ボディーニ
leggeri,レッジェーリ
maya,マヤ
sansa,サンサ
guana,グアーナ
ondřej,オンドレイ
hotárek,ホタレック
galia,ガリア
stellone,ステッローネ
tofanelli,トファネッリ
paganin,パガニン
camporese,カンポレーゼ
jack,ジャック
dragna,ドラグナ
zanchi,ザンキ
padovano,パドヴァーノ
gardini,ガルディーニ
notari,ノタリ
angelelli,アンジェレッリ
alessia,アレッシア
gennari,ジェンナーリ
zanni,ザンニ
america,アメリカ
olivo,オリーヴォ
bracci,ブラッチ
belicchi,ベリッキ
cabrerizo,カブレリーゾ
succi,スッチ
lupoli,ルポリ
komissarževskij,コミサルジェフスキー
jeff,ジュヴァニ
cameron,スカリチオフォーロ
sassoli,サッソリ
dolfini,ドルフィーニ
morettini,モレッティーニ
staffan,スタファン
mistura,ミストゥラ
battaini,バッタイーニ
bontate,ボンターデ
carpi,カルピ
scalia,スカリア
ferronetti,フェロネッティ
ignacio,イグナシオ
scocco,スコッコ
padt,パット
simona,シモーナ
gioli,ジョーリ
hildgartner,ヒルドガートナー
zacchiroli,ザッキローリ
pazzagli,パッツァーリ
rinieri,リニエーリ
giuliani,ジュリアーニ
lunardini,ルナルディーニ
lanna,ランナ
ascanio,アスカニオ
celestini,チェレスティーニ
russotto,ルッソット
marmorini,マルモリーニ
forciniti,フォルチニティ
gordini,ゴルディーニ
annalisa,アンナリーザ
saponara,サポナーラ
benvenuto,ベンヴェヌート
branco,ブランコ
siligardi,シリガルディ
fanna,ファンナ
pratali,プラターリ
montali,モンターリ
colciago,コルチアゴ
paggi,パッジ
benedicta,ベネディクタ
boccoli,ボッコーリ
giandonato,ジャンドナート
d'este,デステ
taglialatela,タリアラテーラ
barbucci,バルブッチ
cagnacci,カニャッチ
ciani,チアーニ
procacci,プロカッチ
rambaudi,ランヴァウディ
carrisi,カッリージ
baldisserri,バルディッセリ
mondonico,モンドニコ
grante,グランテ
allevi,アレヴィ
cellini,チェリーニ
gramigni,グラミーニ
vitali,ヴィターリ
dellafiore,デッラフィオーレ
acutis,アクティス
peretti,ペレッティ
eleonora,エレオノーラ
abbagnato,アバニャート
enrica,エンリカ
merlo,メルロ
gastaldello,ガスタルデッロ
marzorati,マルツォラッティ
hristo,フリスト
zlatanov,ズラタノフ
pizzini,ピッツィーニ
carlotta,カルロッタ
zambelli,ザンベリ
migliaccio,ミリアッチョ
bice,ビーチェ
bonitta,ボニッタ
vencislav,ベンツィスラフ
simeonov,シメオノフ
polenta,ポレンタ
bogianckino,ボジャンキーノ
martinuccio,マルティヌシオ
galvano,ガルバノ
colnago,コルナゴ
vignelli,ヴィネッリ
corsano,コルサーノ
cozzi,コッツィ
dennis,デニス
urbano,ウルバーノ
barberini,バルベリーニ
gamba,ガンバ
reja,レヤ
karel,カレル
zelenka,ゼレンカ
prestia,プレスティーア
gracis,グラチス
lotito,ロティート
rossitto,ロッシート
falco,ファルコ
mari,マーリ
prasca,プラスカ
natali,ナターリ
duran,デュラン
roman,ロマン
vlad,ヴラド
alfaro,アルファロ
fiorin,フィオリン
samuel,サムエル
sanavia,サナビア
barcellini,バルチェリーニ
floriana,フロリアーナ
signorile,シニョリーレ
hernández,エルナンデス
ghirotti,ギロッティ
moscardelli,モスカルデッリ
flachi,フラーキ
nelo,ネロ
lanzillo,ランツィッロ
frattali,フラッターリ
stanzani,スタンツァーニ
inconis,インコニス
doriano,ドリアーノ
romboni,ロンボニ
omar,オマール
milanetto,ミラネット
lazzari,ラッツァーリ
elmi,エルミ
marcon,マルコン
frédéric,フレデリック
françois,フランソワ
scianna,スキアンナ
statuto,スタトゥート
paci,パーチ
orlandi,オルランディ
gastón,ガストン
taismary,タイスマリー
agüero,アゲロ
modesto,モデスト
costagrande,コスタグランデ
gimignani,ジミニャーニ
mendicino,メンディチーノ
ubaldo,ウバルド
soddu,ソッドゥ
tuzzio,トゥッシオ
giudici,ギューディッチ
rizzo,リッツォ
volpato,ヴォルパト
roberti,ロベルティ
rose,ローズ
almondo,アルモンド
aguiar,アギアル
sangiuliano,サンジュリアーノ
pariani,パリアーニ
wilma,ウィルマ
goich,ゴイク
bonacossa,ボナコッサ
sartoretti,サルトレッティ
leonardi,レオナルディ
carteri,カルテリ
musumarra,ムスマッラ
iolanda,ヨランダ
tredozi,トレドッツィ
firicano,フィリカーノ
bosca,ボスカ
farri,ファッリ
cristhian,クリスティアン
stuani,ストゥアーニ
sansonna,サンソンナ
barcellona,バルチェローナ
epifani,エピファーニ
comparetti,コンパレッティ
mangani,マンガニ
tajo,ターヨ
indre,インドレ
sorokaite,ソロカイテ
ilaria,イラリア
garzaro,ガルツァロ
alceo,アルチェオ
galliera,ガッリエーラ
trotter,トロッター
canino,カニーノ
corazza,コラッツァ
barberi,バルベリ
cuozzo,クオッツォ
noseda,ノセダ
igiaba,イジャーバ
scego,シェーゴ
iacopo,ヤーコポ
pessina,ペッシーナ
lovotti,ロボッティ
portera,ポルテラ
carbonare,カルボナーレ
fei,フェイ
micheletto,ミケレット
bettoni,ベットーニ
cazzago,カッツァーゴ
dell'acqua,デラクア
moresco,モレスコ
jo,ジョー
zamparini,ザンパリーニ
telser,テルセール
marras,マラス
manicone,マニコーネ
figalli,フィガリ
todde,トッデ
crescenzi,クレシェンツィ
osmany,オスマニー
juantorena,ユアントレーナ
carminati,カルミナティ
linda,リンダ
veras,ヴェラス
crisanti,クリザンティ
rieti,リエティ
damerini,ダメリーニ
ortiz,オルティス
zárate,ザラテ
vázquez,バスケス
tirozzi,ティロッツィ
ghiraldini,ギラルディーニ
straneo,ストラーネオ
sebastián,セバスティアン
cristóforo,クリストフォロ
forese,フォレーゼ
girolamo,ジローラモ
giovinazzo,ジオビナッツォ
beni,ベニ
montresor,モントレゾール
maiello,マイエッロ
nardiello,ナルディエッロ
venusti,ヴェヌスティ
cravero,クラヴェーロ
rubin,ルビン
pelliccia,ペリッチャ
tofoli,トフォリ
giani,ジャーニ
jenny,ジェニー
barazza,バラッツァ
peppino,ペピーノ
gagliardi,ガリアルディ
adriana,アドリアーナ
cavarero,カヴァレーロ
delfino,デルフィーノ
borroni,ボローニ
travis,トラビス
diener,ディーナー
cerletti,チェルレッティ
selen,セレン
sammarco,サンマルコ
marchei,マルケイ
anzanello,アンツァネッロ
fabbrini,ファッブリーニ
nadia,ナディア
centoni,チェントーニ
matej,マテイ
černič,チェルニック
signorini,シニョリーニ
borromeo,ボロメオ
pinsoglio,ピンソーリョ
ghezzi,ゲッツィ
nervo,ネルヴォ
lucas,ルーカス
viatri,ビアトリ
toso,トソ
antonietta,アントニエッタ
cristaldi,クリスタルディ
dessì,デッシー
ceccato,チェッカート
morico,モリコ
bebe,ベアトリーチェ
vio,ビオ
sini,シーニ
vermiglio,ベルミリオ
maddaloni,マッダローニ
scarpini,スカルピーニ
pagotto,パゴット
bonansea,ボナンセーア
boris,ボリス
rachewiltz,ラケヴィルツ
coralina,コラリーナ
cataldi,カタルディ
tassoni,タッソーニ
aprea,アプレア
bartoletti,バルトレッティ
delfo,デルフォ
abdoulaye,アブドゥライ
bamba,バンバ
lievi,リエヴィ
boschiero,ボスキエロ
campanella,カンパネッラ
bryan,ブライアン
nesbitt,ネスビット
corazzari,コーラザリ
eloisa,エロイーザ
cianni,チアンニ
mendogni,メンドーニ
domitilla,ドミティッラ
marsili,マルシーリ
sepe,セーペ
d'ambrosio,ダンブロージオ
patti,パッティ
desiderio,デジデリオ
cillario,チラーリオ
nordio,ノルディオ
morano,モラーノ
testa,テスタ
baistrocchi,バイストロッチ
caffè,カッフェ
voltolini,ヴォルトリーニ
pesce,ペッシェ
desderi,デズデーリ
riccio,リッチョ
marcolin,マルコリン
darina,ダリーナ
mifkova,ミフコーバ
mariani,マリアーニ
cupolo,クポロ
renzetti,レンゼッティ
mainetti,マイネッティ
malvezzi,マルヴェッツィ
scicchitano,シッキターノ
munzi,ムンズィ
magnanelli,マニャネッリ
mander,マンデル
tovaglieri,トヴァリエーリ
lanza,ランツァ
flaviano,フラヴィアーノ
labò,ラボー
caracciolo,カラッチョロ
petrachi,ペトラーキ
fantasia,ファンタシア
pisacane,ピサカーネ
petruzzi,ペトルッツィ
gifuni,ジフーニ
tamponi,タンポーニ
bruyere,ブルエレ
bissolotti,ビッソロッティ
girolomoni,ジロロモーニ
saltamerenda,サルタマレンダ
batta,バッタ
morassi,モラッシ
furio,フリオ
meniconi,メニコーニ
vernizzi,ヴェルニッツィ
padovan,パドバン
taccani,タッカーニ
ranchi,ランキ
peris,ペリス
amitrano,アミトラーノ
cigliano,チリアーノ
samonà,サモナ
panzetta,ジローラモ
astengo,アステンゴ
hal,ハル
yamanouchi,ヤマノウチ
giuliana,ジュリアーナ
stramigioli,ストラミジョーリ
vinella,ヴィネラ
venturin,ヴェントゥーリン
llewelyn,ルウェリン
lloyd,ロイド
preparata,プレパラータ
ferrero,フェレロ
delrio,デルリオ
spoletini,スポレティーニ
pacetti,パチェッティ
carrillo,カリージョ
palazzani,パラッツァーニ
cullin,カリン
buscalioni,ブスカリオーニ
james,ジェームス
rivière,リヴィエレ
bigazzi,ビガッツィ
quarantotto,クアラントット
lucini,ルチーニ
serianni,セリアンニ
alvini,アルヴィーニ
zauli,ザウリ
lando,ランド
marinelli,マリネッリ
morisi,モリシ
mancinelli,マンチネッリ
ferraris,フェッラーリス
lago,ラーゴ
ielpo,イエルポ
marega,マレガ
sabatelli,サバテッリ
mancosu,マンコース
rosada,ロサーダ
piccinato,ピッチナート
sarri,サッリ
martinale,マルティナーレ
puccianti,プッチアンティ
rizzi,リッツィ
irrati,イッラーティ
nazzareno,ナッツァレーノ
mazzotti,マゾッティ
malika,マリカ
ayane,アヤン
abbondanza,アボンダンツァ
alto,アルト
mila,ミラ
marianna,マリアンナ
madia,マディーア
gazzola,ガッツォーラ
milanese,ミラネーゼ
barbolini,バルボリーニ
popolizio,ポポリツィオ
oliver,オリバー
brunello,ブルネッロ
chiarini,キアリーニ
pagot,パゴー
bernart,ベルナール
schön,ショーン
scozzarella,スコッツァレッラ
rovere,ロヴェーレ
guarnaccia,グアルナッチャ
miriam,ミリアム
giovanelli,ジョヴァネッリ
sermonti,セルモンティ
riondino,リオンディーノ
cressoni,クレッソーニ
jemma,イェンマ
padalino,パダリーノ
rina,リナ
liguoro,リグオロ
tramezzani,トラメッツァーニ
valeri,ヴァレーリ
valdifiori,ヴァルディフィオーリ
ziino,ジーノ
rino,リノ
foschi,フォスキ
cognetti,コニェッティ
bianchessi,ビアンケッシ
camerino,カメリーノ
matrecano,マトレカーノ
tassinari,タシナーリ
plinio,プリニオ
marconi,マルコーニ
leydi,レイディ
tolói,トロイ
prosseda,プロッセダ
policano,ポリカーノ
mattarella,マッタレッラ
tovalieri,トヴァリエーリ
cervellati,チェルヴェッラーティ
rulli,ルッリ
jahier,ヤイエル
capitani,キャピタニ
olive,オリーヴェ
perticaroli,ペルティカローリ
red,レッド
pellini,ペッリーニ
cairo,カイロ
clementelli,クレメンテッリ
travaglia,トラヴァーリャ
sonego,ソネゴ
cresti,クレスティ
rossella,ロッセーラ
falk,フォーク
galassi,ガラッシ
iacoponi,イアコポーニ
missiroli,ミッシローリ
zaza,ザザ
fasano,ファサーノ
tiziana,ティツィアーナ
fabbricini,ファブリチーニ
regini,レジーニ
donnarumma,ドンナルンマ
viviana,ヴィヴィアナ
buonassisi,ブオナッシージ
zerocalcare,ゼロカルカーレ
galano,ガラーノ
willy,ウィリー
bianchini,ビアンキーニ
molino,モリーノ
vinicio,ヴィニーチョ
marchioni,マルキオーニ
liverziani,リベルジャーニ
baselli,バゼッリ
guarise,グアリーゼ
torrente,トレンテ
rustioni,ルスティオーニ
domiziano,ドミツィアーノ
righini,リギーニ
cristante,クリスタンテ
dezi,デーツィ
zappacosta,ザッパコスタ
cocco,コッコ
poltronieri,ポルトロニエリ
verdi,ヴェルディ
bariti,バリーティ
terracciano,テラッチアーノ
pena,ペナ
fabro,ファブロ
rodrigo,ロドリゴ
pianelli,ピアネリ
marzadori,マルツァドーリ
luisa,ルイーザ
piccarreta,ピッカレータ
falcinelli,ファルチネッリ
tacchio,タッキオ
fioretti,フィオレッティ
fumia,フミア
licata,リカータ
marcone,マルコーネ
buffarini,ブッファリーニ
ferraresi,フェラレージ
günther,ギュンター
steiner,シュタイナー
andreazzoli,アンドレアッツォーリ
campoli,カンポリ
spinazzola,スピナッツォーラ
ceppitelli,チェッピテッリ
panerati,パネラッティ
longhi,ロンギ
barba,バルバ
cleva,クレヴァ
murru,ムッル
giovinazzi,ジョヴィナッツィ
tiago,チアゴ
belotti,ベロッティ
cascioli,カシオーリ
lapadula,ラパドゥラ
apollo,アポロ
granforte,グランフォルテ
sportiello,スポルティエッロ
inglese,イングレーゼ
pavoletti,パヴォレッティ
cerri,チェッリ
milano,ミラノ
reno,レーノ
bertoia,ベルトイア
girelli,ジレッリ
pigoli,ピゴリ
mihai,ミハイ
bobocica,ボボチーカ
bianchetti,ビアンケッティ
politano,ポリターノ
gaia,ガイア
romanini,ロマニーニ
pavel,パヴェル
berman,ベルマン
cimara,チマーラ
pio,ピオ
d'emilia,デミリア
bufalino,ブファリーノ
sprocati,スプロカティ
zamperla,ザンペルラ
desimoni,デシモーニ
ceccherini,チェッケリーニ
charlène,シャルレーヌ
guignard,ギニャール
calegari,カレガーリ
forlivesi,フォルリヴェジ
piana,ピアーナ
azzoni,アッツォーニ
maludrottu,マルドロット
cecchinato,チェッキナート
jeremy,ジェリー
mbakogu,ムバコグ
laxalt,ラクサール
sandra,サンドラ
brugnera,ブルニェーラ
dylan,ディラン
sprouse,スプラウス
patucchi,パトゥッキ
vaglio,ヴァーリオ
hachim,ハキム
mastour,マストゥール
scuffet,スクフェット
bruna,ブルーナ
rasa,ラーザ
giorgian,ジョルジアン
arrascaeta,アラスカエタ
cragno,クラーニョ
sturaro,ストゥラーロ
valon,ヴァロン
ahmedi,アフメディ
dego,デゴ
rugani,ルガーニ
ryan,ライアン
arcidiacono,アーチディアコノ
padoan,パドアン
ferragni,フェラーニ
fuoco,フォコ
formolo,フォルモロ
camardese,カマルデーゼ
ricca,リッカ
boschilia,ボシリア
ascani,アスカーニ
pucciarelli,プッチャレッリ
paolino,パオリノ
ambrosino,アンブロッシモ
bettiol,ベッティオル
novellis,ノベリス
decaro,デカロ
carolis,カロリス
chirichella,キリケッラ
mattiello,マッティエッロ
pelagotti,ペラゴッティ
gagliolo,ガリョーロ
bagnaia,バニャイア
enea,エネア
gomis,ゴミス
achraf,アシュラフ
lazaar,ラザール
gagliardini,ガリアルディーニ
bertagnon,ベルタニョン
mazzieri,マッツィエーリ
izzo,イッツォ
catena,カテーナ
helena,ヘレナ
janeczek,ヤネチェック
vettori,ベットーリ
nappi,ナッピ
galmarini,ガルマリーニ
lilia,リリア
d'albore,ダルボーレ
gonzalo,ゴンサロ
escalante,エスカランテ
allan,アラン
ulisse,ウリッセ
matheus,マテウス
simonete,シモネーテ
bressaneli,ブレッサネッリ
bernardeschi,ベルナルデスキ
giannelli,ジャネッリ
restani,レスターニ
campagnaro,カンパニャーロ
jonathan,ジョナタン
calleri,カレリ
boschi,ボスキ
myriam,ミリアム
sylla,シッラ
zanasi,ザナージ
toma,トーマ
emil,エミル
audero,アウデロ
secchi,セッキ
mattiacci,マティアッチ
gelmini,ジェルミーニ
alunni,アルニ
bravi,ブラビ
parrocchiale,パロッキアーレ
faragò,ファラゴ
mandragora,マンドラゴラ
degradi,デグラディ
scuccia,スクッチャ
lezzerini,レッツェリーニ
macrì,マクリ
pizzo,ピッツォ
serraiocco,セッラヨッコ
caldara,カルダーラ
sydney,シドニー
sibilia,シビリア
balaso,バラーゾ
rana,ラナ
macii,マチー
goldaniga,ゴルダニガ
giungi,ジュンジ
cuomo,クオモ
colla,コッラ
bisegni,ビゼーニ
lasagna,ラザーニャ
wanda,ワンダ
luzzato,ルッザート
biotti,ビオッティ
quadarella,クァダレッラ
malvestiti,マルヴェスティティ
vismara,ビスマラ
saidy,セイディー
janko,ヤンコ
novelli,ノヴェッリ
arrivabene,アリバベーネ
battistoni,バッティストーニ
bertelli,ベルテッリ
grado,グラード
barreca,バッレーカ
provedel,プロヴェデル
giannalberto,ジャンアルベルト
bendazzi,ベンダッツィ
martín,マルティン
moscon,モスコン
fabiani,ファビアーニ
mariarosa,マリアローザ
gollini,ゴッリーニ
grassi,グラッシ
pasquali,パスクアーリ
bazzi,バッツィ
stano,スタノ
manzi,マンツィ
borghi,ボルギ
patricio,パトリシオ
garino,ガリーノ
ciccone,チッコーネ
mora,モラ
gumina,グミーナ
giovani,ジオヴァニ
sisi,シシィ
deiola,デイオーラ
danesi,ダネージ
egonu,エゴヌ
binotto,ビノット
rotelli,ロテッリ
vicari,ヴィカーリ
wladimiro,ヴラディミーロ
tumminello,トゥミネッロ
cesar,セザル
jardim,ジャルディム
odette,オデッテ
giuffrida,ジュフリーダ
montipò,モンティポ
giannantonio,ジャンナントニオ
ferracane,フェッラカーネ
tortora,トルトラ
scaglia,スカーリャ
orro,オッロ
bulega,ブレガ
luperto,ルペルト
sensi,センシ
barella,バレッラ
favilli,ファヴィッリ
scamacca,スカマッカ
virginia,バージニア
valentín,バレンティン
vada,バダ
bezzecchi,ベッツェッキ
dimarco,ディマルコ
meret,メレト
boselli,ボセリ
bosisio,ボシシオ
pezzella,ペッツェッラ
ciciretti,チチレッティ
biraschi,ビラスキ
zanimacchia,ザニマッキア
ghiglione,ギッリョーネ
padovani,パドヴァーニ
maxime,マクシム
mbanda,ムバンダ
ofelia,オフェーリア
malinov,マリノブ
aisling,アシュリン
franciosi,フランシオーシ
lenoci,レノーチ
barrile,バリーレ
canna,カンナ
martinotti,マルティノッティ
ceccarelli,チェッカレリ
luiz,ルイス
felipe,フェリペ
ramos,ラモス
bortoli,ボルトリ
claud,クラウド
adjapong,アジャポン
camilla,カミラ
mingardi,ミンガルディ
pinamonti,ピナモンティ
marcell,マルセル
jacobs,ジェイコブス
carpignano,カルピニャーノ
pellegri,ペッレグリ
tichatscheck,ティカツケーク
cambi,カンビ
tale,テイル
of,オブ
us,アス
pradella,プラデッラ
vladan,ヴラダン
radovic,ラドヴィッチ
fabius,ファビウス
constable,コンスタブル
zaccagni,ザッカーニ
bonifazi,ボニファーツィ
depaoli,デパーオリ
plizzari,プリッツァーリ
lisa,リザ
tortu,トルトゥ
vido,ヴィド
cima,チーマ
grassl,グラスル
angeli,アンジェリ
fiorella,フィオレラ
rebecca,レベッカ
ghilardi,ギラルディ
masnada,マスナーダ
romagna,ロマーニャ
barbieri,バルビエリ
fiordilino,フィオルディリーノ
murgia,ムルジャ
zaniolo,ザニオーロ
maggiore,マッジョーレ
patrick,パトリック
cutrone,クトローネ
bandinelli,バンディネッリ
furbatto,フルバット
ruzza,ルッツァー
landini,ランディーニ
terry,テリー
enweonwu,エンウェオンウ
bertolazzi,ベルトラッツィ
galmanini,ガルマニニ
drugovich,ドルゴヴィッチ
mariotti,マリオッティ
bastoni,バストーニ
matilda,マティルダ
canotto,カノット
orsolini,オルソリーニ
marconcini,マルコンチーニ
ndoj,ンドイ
melegoni,メレゴーニ
moise,モイーズ
kean,キーン
antonucci,アントヌッチ
jake,ジェイク
polledri,ポッレードリ
odogwu,オドグウ
vignali,ヴィニャーリ
cassata,カッサータ
agustín,アグスティン
rogel,ロヘル
marvin,マーヴィン
berrettini,ベレッティーニ
kára,カーラ
