제임스,ジェームズ
일탄선,ニチスミセン
광명성절,コウミョウボシブシ
임남댐,ニンミナミダム
리과대학,ヒラジロリカダイガク
평양철도대학,ピョンヤンテツドウダイガク
광명성,コウミョウボシ
고건원선,コイヌイゲンセン
려행증,リョコウショウ
고원탄광선,コウゲンタンコウセン
강계선,コウカイセン
백마선,ハクバセン
금골선,クムゴルセン
신흥선,シンコウセン
강덕선,ヤスノリセン
의주비행장,ヨシシュウヒコウジョウ
은률선,インクリセン
배천선,シラカワセン
황해청년선,コウカイセイネンセン
옹진선,ウツセン
평덕선,タイライサオセン
무산선,シゲヤマセン
회령탄광선,カイヤスシタンコウセン
백무선,ハクシゲルセン
회암선,ハイイワセン
안골선,アンゴルセン
철산선,テツザンセン
박연폭포,ボクフカシバクフ
금강산청년선,コンゴウサンセイネンセン
만덕선,マントクセン
덕산비행장,トクヤマヒコウジョウ
갑산파,コウザンハ
김정일정치군사대학,キムジョンイルセイジグンジダイガク
김책제철련합기업소,キンサクセイテツショ
인민위원회,ジンミンイインカイ
김일성방송대학,キムイルソンホウソウダイガク
소련파,ソレンハ
한국어족,チョウセンゴゾク
평양원산관광도로,ピョンヤンモトヤマカンコウドウロ
은산선,インサンセン
운산선,クモヤマセン
로농적위군,ロウノウアカマモルグン
조선소년단,チョウセンショウネンダン
대안선,タイアンセン
태왕,フトシオウ
납북자,キタチョウセンニヨルカンコクジンラチモンダイ
서산축구경기장,ニシヤマサッカーキョウギジョウ
룡강선,タツオカセン
평북선,ヒラキタセン
부포선,ガマウラセン
박천선,ヒロシガワセン
북미정상회담,ベイチョウシュノウカイダン
덕흥리고분,トクキョウサトコフン
주체농법,シュタイノウホウ
조선문학예술총동맹,チョウセンブンガクゲイジュツソウドウメイ
득장선,トクショウセン
비날론선,ビナロンセン
장상선,チョウジョウセン
구봉산선,カメオオトリサンセン
남양국경선,ナンヨウコッキョウセン
춘두선,チュンドゥセン
천내선,センダイセン
보위국,チョウセンジンミングンヤスエシレイブ
관하선,カンカセン
수풍선,ミズユタカセン
청진항선,キヨシツコウセン
자력갱생,ジリキコウセイ
성평선,シロツボセン
대각선,オオスミセン
대중율동체조,リツドウタイソウ
덕남선,トクミナミセン
락랑선,ラクナミセン
평양방어사령부,ピョンヤンボウギョシレイブ
창흥선,アキラキョウセン
명당선,メイドウセン
조선불교도련맹,チョウセンフツキョウトレンメイ
동포선,ヒガシウラセン
성진제강련합기업소,シロツセイコウショ
사회과학원,チョウセンシャカイカガクイン
재동선,アズサホラセン
직동탄광선,チョクホラタンコウセン
문천항선,ブンガワミナトセン
서호선,サイコセン
금야선,コンノセン
청년전위,セイネンゼンエイ
룡암선,リュウイワセン
룡문탄광선,リュウモンタンコウセン
제로코비드,ゼロコロナセイサク
김군옥영웅함,キムクンダマエイユウカン
평해튼,ピョンハッタン
김일성고급당학교,キムイルソンコウキュウトウガッコウ
신분당선,アラボントウセン
삼성전자,サムスンデンシ
고창군,コウタカシグン
고흥군,コウオキグン
곡성군,タニグスクグン
자유한국당,ジユウカンコクトウ
달성군,イタルグスクグン
금산군,ニシキヤマグン
기장군,キチョウグン
단양군,タンヨウグン
괴산군,サイカチサングン
구례군,モトメレイグン
군위군,グンイグン
무안군,ツトムヤスグン
서울메트로,ソウルメトロ
삼성그룹,サムスングループ
성주군,ホシシュウグン
강화군,コウハナグン
거창군,キョアキラグン
고령군,コウレイグン
경인선,キョウヒトシセン
경기도,ケイキドウ
가평군,カヘイグン
강진군,カンツグン
무주군,シゲルシュグン
보은군,ホウオングン
보성군,タカラグスクグン
산청군,ヤマキヨシグン
봉화군,タテマツカグン
순창군,アツシアキラグン
양양군,ジョウヒグン
신안군,シンヤスグン
연천군,サザナミカワグン
분당선,ボントウセン
남해군,ナンガイグン
하동군,カトウグン
서울평화상,ソウルヘイワショウ
이어도,ソガンショウ
예산군,レイサングン
영암군,レイイワグン
영월군,ヤスシコシグン
영동군,エイドウグン
영양군,エイヒグン
영덕군,ミツルトクグン
기아,キアジドウシャ
중앙선,チュウオウセン
금강산선,コンゴウサンデンキテツドウ
청송군,アオマツグン
청도군,キヨミチグン
청양군,アオヨウグン
태안군,タイヤスグン
청원군,キヨハラグン
칠곡군,ウルシタニグン
해남군,カイナングン
홍성군,ヒロシグスクグン
수인선,ミズジンセン
경부선,キョウカマセン
화순군,カズジュングン
홍천군,コウセングン
장성군,チョウジョウグン
한국철도공사,カンコクテツドウコウシャ
경춘선,キョウハルセン
훈민정음,クンミンセイオト
싸이월드,サイワールド
현대,ヒュンダイ
대우자동차판매,ダイウジドウシャハンバイ
정석비행장,セイセキヒコウジョウ
완도군,フトイシマグン
울진군,ウルジングン
완주군,カンシュウグン
음성군,カゲグスクグン
의령군,ムベヤスシグン
임실군,ニンミノルグン
의성군,ヨシグスクグン
증평군,ソツボグン
창녕군,アキラヤスシグン
진도군,チンシマグン
장수군,チョウミズグン
장흥군,チョウオキグン
서울대학교,ソウルダイガッコウ
연세대학교,エンセイダイガッコウ
고려대학교,コウウララダイガッコウ
한양대학교,カンヒダイガッコウ
포항공과대학교,ホコウコウカダイガッコウ
충청북도,タダキヨホクドウ
충청남도,タダキヨミナミドウ
화천군,ハナカワグン
횡성군,ヨコギグン
호남선,コナンセン
부산대학교,プサンダイガッコウ
성균관대학교,ナルヒトシカンダイガッコウ
강원특별자치도,エバラトクベツジチドウ
경상남도,ケイショウナンドウ
이화여자대학교,リカジョシダイガッコウ
경상북도,ケイショウホクドウ
병점기지선,モチテンキチセン
고등과학원,コウトウカガクイン
마로니에공원,マロニエコウエン
봉정사,オオトリトマテラ
군산화물선,グンヤマカモツセン
현대자동차,ゲンダイジドウシャ
전라남도,ゼンラナンドウ
전북특별자치도,ゼンキタトクベツジチドウ
동덕여자대학교,ドウトクジョシダイガッコウ
현대캐피탈,テンヤスゲンダイキャピタル
스카이워커스,スカイウォーカーズ
한국항공우주산업,カンコクコウクウウチュウサンギョウ
천주교정의구현전국사제단,テンシュキョウセイギグゲンゼンコクシサイダン
광주대학교,コウシュウダイガッコウ
조계사,ソウケイジ
광주방송,コウシュウホウソウ
부산과학기술대학교,プサンカガクギジュツダイガッコウ
제주특별자치도,サイシュウトクベツジチドウ
마포대교,アサウラオオキョウ
대전대학교,オオタダイガッコウ
서경대학교,ニシギョウダイガッコウ
서울특별시경찰청,ソウルチホウケイサツチョウ
국가철도공단,コッカテツドウコウダン
무안광주고속도로,ツトムヤスコウシュウコウソクドウロ
소양강댐,アキラヒコウダム
마곡사,アサヤテラ
가톨릭대학교,カトリックダイガッコウ
중앙대학교,チュウオウダイガッコウ
건국대학교,ケンコクダイガッコウ
현대자동차그룹,ゲンダイジドウシャグループ
조선대학교,チョウセンダイガッコウ
서울특별시장,ソウルトクベツシチョウ
영남대학교,ミネミナミオオガッコウ
가천대학교,ヨシミイズミダイガッコウ
국회의사당,コッカイギジドウ
투니버스,トゥーニバース
한국교육방송공사,カンコクキョウイクホウソウコウシャ
서울시립대학교,ソウルシリツダイガッコウ
광양축구전용구장,コウヨウサッカーセンヨウキュウジョウ
테헤란로,テヘランロ
광역철도,コウイキデンテツ
올림픽대로,オリンピックオオジ
인사동,ヒトシテラボラ
안양대학교,アンヨウダイガッコウ
건국훈장,ケンコククンショウ
남조선로동당,ミナミチョウセンロウドウトウ
민주주의민족전선,ミンシュシュギミンゾクセンセン
한국노동조합총연맹,カンコクロウドウクミアイソウレンメイ
서대문형무소,ニシオオモンケイムショ
한국디지털미디어고등학교,カンコクデジタルメディアコウトウガッコウ
한서대학교,カンミズホダイガッコウ
안양외국어고등학교,アンヨウガイコクゴコウトウガッコウ
세계일보,セカイニッポウ
포석정,アワビセキテイ
서울고속버스터미널,ソウルコウソクバスターミナル
동서울종합터미널,ヒガシソウルソウゴウバスターミナル
동해중부선,ケイヒガシセン
동의대학교,アズマヨシダイガッコウ
서면,ニシメン
동화사,キリハナテラ
대흥사,ダイコウジ
동중국해,ヒガシシナカイ
전북대학교,ゼンホクダイガッコウ
한강철교,カンコウテッキョウ
한강대교,カンコウオオハシ
서울특별시청사,ソウルトクベツシチョウ
한국전자통신연구원,カンコクデンシツウシンケンキュウイン
국립목포해양대학교,キウラカイヨウダイガッコウ
국립금오공과대학교,キムカラスコウカダイガッコウ
한국관광대학교,カンコクカンコウダイガク
숭실대학교,タカシジツダイガッコウ
한국도로공사,カンコクドウロコウシャ
성수대교,セイスイオオハシ
한국일보,カンコクニッポウ
서경주신호소,ニシケイシュウシンゴウショ
국립서울현충원,コクリツソウルアキラチュウイン
인하대학교,ジンニダイガッコウ
초록정치연대,クサミドリセイジレンタイ
서원,ショイン
무궁화대훈장,ムキュウハナダイクンショウ
엑스포과학공원,エキスポカガクコウエン
고운사,コクモデラ
지산,ジサン
월드,バレー
락,ロック
페스티벌,フェスティバル
잠실대교,サンシツオオハシ
남해,ナンカイ
한신대학교,カンシンダイガッコウ
경기방송,ケイキホウソウ
경기만,ケイキワン
네이버,ネイバー
서산영덕고속도로,カラツミツルトクコウソクドウロ
부전선,カマタセン
경남신문,ケイミナミシンブン
한일전,ニチカンセン
한화그룹,ハンファグループ
민주정의당,ミンシュセイギトウ
금호아시아나그룹,ニシキコアシアナグループ
디지털미디어시티,デジタルメディアシティ
선운사,ゼンクモデラ
경부고속철도,キョウカマコウソクセン
이스타항공,イースターコウクウ
대구선,タイキュウセン
교외선,ソウルコウガイセン
문화일보,ブンカニッポウ
선린인터넷고등학교,ゼンリンインターネットコウトウガッコウ
남해대교,ナンカイオオハシ
한양여자대학교,カンヒジョシダイガッコウ
삼성중공업,サムスンジュウコウギョウ
동대문운동장,トウダイモンウンドウジョウ
광주대구고속도로,コウシュウタイキュウコウソクドウロ
남해고속도로,ナンカイコウソクドウロ
열린우리당,ウリトウ
무궁화호,ムグンファゴウ
국민중심당,コクミンチュウシントウ
충남대학교,チュウナンダイガクコウ
우송대학교,マタマツダイガッコウ
직지사,チョクユビテラ
추풍령,アキカゼミネ
성남아트센터,ジョウナンアートセンター
매일경제신문,マイニチケイザイシンブン
상지대학교,ヒサシダイガッコウ
육군특수전사령부,トクシュセンシレイブ
한국국민당,カンコクコクミントウ
용인서울고속도로,リュウヒトシソウルコウソクドウロ
부천국제판타스틱영화제,トミカワコクサイファンタスティックエイガサイ
동해남부선,トウカイナンブセン
당산철교,ドウヤマテッキョウ
금산사,キンザンジ
대전한화생명이글스파크,オオタハンバッウンドウジョウヤキュウジョウ
대구대학교,タイキュウダイガッコウ
교보문고,キョウホブンコ
국립국악원,カンコクコクリツコクラクイン
한국예술종합학교,カンコクゲイジュツソウゴウガッコウ
중부고속도로,チュウブコウソクドウロ
넷마블,ネットマーブル
해인사,ウミシルシテラ
한남대교,カンミナミオオハシ
한국국제협력단,カンコクコクサイキョウリョクダン
서울일본인학교,ソウルニッポンジンガッコウ
신경주대학교,ケイシュウダイガッコウ
개똥녀,イヌクソオンナ
올림픽대교,オリンピックオオハシ
서울고등학교,ソウルコウトウガッコウ
행주대교,サイワイシュウオオハシ
오뚜기,オットギ
청주야구장,キヨスソウゴウウンドウジョウヤキュウジョウ
인크루트,インクルト
공항철도,クウコウテツドウ
한화,ハンファ
이글스,イーグルス
북제주군,キタサイシュウグン
아카데미과학,アカデミーカガク
석굴암,セックツアン
전국민주노동조합총연맹,ゼンコクミンシュロウドウクミアイソウレンメイ
국가기록원,コッカキロクイン
백석대학교,シライシダイガッコウ
대구가톨릭대학교,タイキュウカトリックダイガッコウ
동부산대학교,ヒガシプサンダイガク
청주대학교,キヨスダイガッコウ
전남과학대학교,ゼンミナミカガクダイガッコウ
사직야구장,シャショクヤキュウジョウ
아모레퍼시픽,アモーレパシフィック
키움,キウム
히어로즈,ヒーローズ
목동야구장,キホラヤキュウジョウ
슈퍼컵,カンコクスーパーカップ
호서대학교,コサイダイガッコウ
창조한국당,ソウゾウカンコクトウ
신민당,シンミントウ
오산화성고속도로,カラスヤマハナジョウコウソクドウロ
봉은사,タテマツオンテラ
안동댐,アンドウダム
안산와스타디움,ヤスサンワースタジアム
서울주교좌성당,キヨシコウカイソウルシュキョウザセイドウ
한국폴리텍대학,カンコクポリテクダイガク
만민중앙교회,バンミンチュウオウキョウカイ
금란교회,キムランキョウカイ
인천문학경기장,ニガワブンツルキョウギジョウ
건양대학교,タテヨウダイガッコウ
쇼박스,ショーボックス
구몬교육연구회,コウブンキョウイクケンキュウカイ
이마트,イーマート
국립중앙극장,カンコクコクリツゲキジョウ
삼성,サムスン
라이온즈,ライオンズ
국가재건최고회의,コッカサイケンサイコウカイギ
송광사,マツヒロテラ
농업협동조합,ノウギョウキョウドウクミアイ
가톨릭관동대학교,カトリックカントウダイガッコウ
대우건설,ダイウケンセツ
한국학중앙연구원,カンコクガクチュウオウケンキュウイン
종묘,ソウビョウ
대한예수교장로회,タイカンイエスキョウチョウロウカイ
신라대학교,シンラダイガッコウ
민족문제연구소,ミンゾクモンダイケンキュウジョ
쌍방울,サンバンウル
레이더스,レイダース
난중일기,ランチュウニチキ
무공훈장,ブコウクンショウ
새마을호,セマウルゴウ
일성록,ニチショウロク
한국개발연구원,カンコクカイハツケンキュウイン
경기고등학교,ケイキコウトウガッコウ
체육훈장,タイイククンショウ
부산항대교,プサンコウオオハシ
백석문화대학교,シライシブンカダイガッコウ
전주이씨대동종약원,ゼンシュウリシダイドウムネヤクイン
한국고속철도,カンコクコウソクテツドウ
아리랑국제방송,アリランコクサイホウソウ
장항선,チョウコウセン
용산전자상가,タツヤマデンシショウガイ
국방과학연구소,コクボウカガクケンキュウジョ
오마이뉴스,オーマイニュース
서울월드컵경기장,ソウルワールドカップキョウギジョウ
태종대,フトシムネダイ
문화훈장,ブンカクンショウ
동아대학교,トウアダイガッコウ
서해대교,ニシウミオオハシ
맥심커피배,マキシムコーヒーハイニュウシンレンショウサイキョウセン
평창군,タイラアキラグン
니트족,ニート
딘타이펑,カナエヤスシユタカ
한국외국어대학교,カンコクガイコクゴダイガッコウ
국립한국해양대학교,カンコクカイヨウダイガッコウ
자갈치시장,チャガルチシジョウ
남제주군,ミナミサイシュウグン
사직동,シャショクホラ
한복,カンフク
공항동,クウコウホラ
부천종합운동장,トミカワソウゴウウンドウジョウ
매사냥,タカガリ
아시아나항공,アシアナコウクウ
광운대학교,ヒカリウンダイガッコウ
노량진수산시장,サギヤナツミヅサンシジョウ
효자동,タカコホラ
청담동,セイタンホラ
청운동,キヨシウントウ
성남중앙공원,ボントウチュウオウコウエン
한국정보통신대학교,カンコクジョウホウツウシンダイガッコウ
라이따이한,ライダイハン
아주대학교,アシュウダイガッコウ
종로,カネロ
대한항공,ダイカンコウクウ
단국대학교,マユミコクダイガッコウ
강릉공항,コウリョウヒコウジョウ
화엄사,ケゴンテラ
경부고속도로,キョウカマコウソクドウロ
대한독립촉성노동총연맹,タイカンドクリツソクセイゼンコクロウドウソウドウメイ
이화동,リカホラ
가회동,ヨシミカイホラ
수도기계화보병사단,シュトキカイカホヘイシダン
부산불꽃축제,プサンコクサイハナビマツリ
세븐일레븐,セブンイレブン
고려사,コウライシ
충북대학교,タダシホクダイガッコウ
울산대학교,ウルサンダイガッコウ
세종대학교,ヨソウダイガッコウ
중림동,ナカバヤシホラ
한국방송통신대학교,カンコクホウソウツウシンダイガッコウ
경주국립공원,ケイシュウコクリツコウエン
윷놀이,ユンノリ
교남동,ハシミナミホラ
수덕사,シュウトクテラ
대경대학교,ダイケイダイガッコウ
홍익대학교,ヒロエキダイガッコウ
통도사,ツウドテラ
한국가스공사,カンコクガスコウシャ
혜화동,メグミカホラ
부암동,ツケイワホラ
평창동,ヒラクラホラ
소공동,ショウオオヤケホラ
동서대학교,トウザイダイガッコウ
창신동,マサノブホラ
대한독립촉성국민회,タイカンドクリツソクセイコクミンカイ
춘사영화제,ハルシタイショウエイガサイ
반포대교,バンウラオオキョウ
청주방송,キヨスホウソウ
대우그룹,ダイウザイバツ
소목장,サシモノ
롯데마트,ロッテマート
연합뉴스,レンゴウニュース
필동,フデホラ
금정고등학교,カナイコウトウガッコウ
회현동,カイケンホラ
장충동,ススムチュウホラ
화천댐,ハナカワダム
신당동,シンドウホラ
포스코인터내셔널,ポスコインターナショナル
속초공항,タバクサヒコウジョウ
국군체육부대,コクグンタイイクブタイ
손오공,ソノコン
대한야구소프트볼협회,タイカンヤキュウソフトボールキョウカイ
광주무등경기장,コウシュウムトウソウゴウキョウギジョウ
두산에너빌리티,トサンジュウコウギョウ
온돌,オンドル
대한성공회,ダイカンキヨシコウカイ
인천축구전용경기장,ニガワサッカーキョウギジョウ
대한체육회,タイカンタイイクカイ
택견,テッキョン
경동시장,キョウトイチバ
씨름,シルム
창원축구센터,アキラゲンサッカーセンター
동서울대학교,ヒガシソウルダイガク
서울올림픽주경기장,ソウルオリンピックヌシキョウギジョウ
서강대학교,ニシコウダイガッコウ
르노코리아자동차,ルノーコリアジドウシャ
동의보감,ヒガシイホウカン
황해도,コウカイドウ
여행경보,キケンジョウホウ
청와대,セイガダイ
한미연합군사령부,ベイカンレンゴウシレイブ
한일공동선언,ニチカンキョウドウセンゲン
가산동,カヤマホラ
중양절,チョウヨウ
숭례문,タカシレイモン
광주월드컵경기장,コウシュウワールドカップキョウギジョウ
수원월드컵경기장,ミズハラワールドカップキョウギジョウ
티웨이항공,ティーウェイコウクウ
안랩,アンラボ
한국항공우주연구원,カンコクコウクウウチュウケンキュウイン
한진해운,カンシンカイウン
롯데월드타워,ロッテワールドタワー
한국야구위원회,カンコクヤキュウイインカイ
에버랜드,エバーランド
전남대학교,ゼンミナミオオガッコウ
남대문시장,ナンダイモンシジョウ
롯데월드,ロッテワールド
금성사,キンボシシャ
대림대학교,オオバヤシダイガッコウ
대전과학고등학교,オオタカガクコウトウガッコウ
대관령,オオゼキミネ
직지심체요절,チョクユビシンタイヨウフシ
국립안동대학교,アンドウダイガッコウ
전국한자교육추진총연합회,ゼンコクカンジキョウイクスイシンソウレンゴウカイ
조선왕릉,チョウセンオウリョウ
나로우주센터,ラロウウチュウセンター
교동면,タカシキリメン
호남고속철도,コナンコウソクセン
아침고요수목원,アチムゴヨジュモクエン
성결대학교,ヒジリキヨシダイガッコウ
수서평택고속선,ミズニシヒラサワコウソクセン
쿠쿠전자,ククデンシ
불국사,ブッコクデラ
롯데,ロッテ
자이언츠,ジャイアンツ
한국증권거래소,カンコクショウケントリヒキショ
롯데하이마트,ロッテハイマート
창덕궁,マサノリミヤ
국제대학교,コクサイダイガッコウ
국군기무사령부,コクグンキツトムシレイブ
시사저널,ジジジャーナル
혜민서,メグミミンショ
서원대학교,ニシハラダイガッコウ
무예제보,ブゲイショフ
대구스타디움,タイキュウスタジアム
단성사,ダンシゲルシャ
재벌,ザイバツ
경복궁,ケイフクミヤ
한국거래소,カンコクトリヒキショ
국립국어원,コクリツコクゴイン
광안리해수욕장,ヒロヤスサト
휠라,フィラ
서울대공원,ソウルタイコウエン
아산만,キバヤマワン
한국켄트외국인학교,ケントガイコクジンガッコウ
가사,ウタジ
작은형제회,チイサキキョウダイカイ
부석사,ウキイシテラ
국립군산대학교,グンヤマダイガッコウ
서울과학기술대학교,ソウルカガクギジュツダイガッコウ
경남과학기술대학교,ケイミナミカガクギジュツダイガッコウ
국립목포대학교,キウラダイガッコウ
국립강릉원주대학교,コウリョウハラノシュウダイガッコウ
용인대학교,リュウヒトシダイガッコウ
한국철도대학,カンコクテツドウダイガク
국립공주대학교,オオヤケシュウダイガッコウ
인제대학교,ジンスミダイガッコウ
청주교육대학교,キヨスキョウイクダイガッコウ
총신대학교,ソウシンダイガッコウ
국립한밭대학교,ハンバッダイガッコウ
경인교육대학교,キョウヒトシキョウイクダイガッコウ
공군사관학교,クウグンシカンガッコウ
육군사관학교,リクグンシカンガッコウ
서울예술대학교,ソウルゲイジュツダイガッコウ
한울원자력발전소,ハヌルゲンシリョクハツデンショ
한빛원자력발전소,ハンビッゲンシリョクハツデンショ
부산아시아드주경기장,プサンアジアドヌシキョウギジョウ
제주월드컵경기장,サイシュウワールドカップキョウギジョウ
문화방송,ブンカホウソウ
울산문수축구경기장,ウルサンモンジュサッカーキョウギジョウ
대전월드컵경기장,オオタワールドカップキョウギジョウ
제주,サイシュウラブ
러브랜드,ランド
대한축구협회,タイカンサッカーキョウカイ
바다열차,ウミレッシャ
대곡소사선,オオヤモトスナセン
제주항공,チェジュコウクウ
부산국제영화제,プサンコクサイエイガサイ
부산동부경찰서,プサントウブケイサツショ
부산북부경찰서,プサンホクブケイサツショ
부산사상경찰서,プサンイサゴジョウケイサツショ
한국바둑리그,カンコクイゴリーグ
부산서부경찰서,プサンセイブケイサツショ
부산중부경찰서,プサンチュウブケイサツショ
부산강서경찰서,プサンエニシケイサツショ
부산사하경찰서,プサンイサゴカケイサツショ
부산광역시경찰청,プサンチホウケイサツチョウ
해녀,アマ
이태원,ナシタイイン
대외경제정책연구원,タイガイケイザイセイサクケンキュウイン
덕수궁,トクジュミヤ
신화,シンワ
영종대교,エイタカシオオハシ
청룡영화상,セイリュウエイガショウ
서울중앙성원,ソウルチュウオウモスク
위니아전자,ウィニデンシジャパン
서해안고속도로,ニシカイガンコウソクドウロ
경제정의실천시민연합,ケイザイセイギジッセンシミンレンゴウ
서울신문,ソウルシンブン
전주대학교,ゼンシュウダイガッコウ
서울광장,ソウルヒロバ
숙명여자대학교,ヨシアキラジョシダイガッコウ
한성대학교,カンジョウダイガッコウ
경성대학교,ケイボシダイガッコウ
수원대학교,ミズハラダイガッコウ
고신대학교,コウシンダイガッコウ
칼빈대학교,カルビンダイガッコウ
국립부경대학교,カマケイダイガッコウ
서울외국어고등학교,ソウルガイコクゴコウトウガッコウ
논산천안고속도로,ロンヤマテンヤスコウソクドウロ
상명대학교,サチメイダイガッコウ
롯데그룹,ロッテグループ
창경궁,アキラケイミヤ
극동대학교,ゴクトウダイガッコウ
인천연수경찰서,ニガワエンジュケイサツショ
부산기장경찰서,プサンキチョウケイサツショ
김해중부경찰서,キムカイチュウブケイサツショ
김해서부경찰서,キムウミセイブケイサツショ
양산경찰서,ヤナサンケイサツショ
부산남부경찰서,プサンナンブケイサツショ
부산연제경찰서,プサンハチスツツミケイサツショ
부산금정경찰서,プサンカナイケイサツショ
부산해운대경찰서,プサンカイウンダイケイサツショ
밀양경찰서,ミツヒケイサツショ
국가보안법,コッカホアンホウ
호남고속도로,コナンコウソクドウロ
부산교육대학교,プサンキョウイクダイガッコウ
흥인지문,キョウヒトシモン
대구교육대학교,タイキュウキョウイクダイガッコウ
한림대학교,カンリンダイガッコウ
성공회대학교,キヨシコウカイダイガッコウ
자유민주연합,ジユウミンシュレンゴウ
전주교육대학교,ゼンシュウキョウイクダイガッコウ
제헌절,セイケンブシ
진주교육대학교,ススムシュウキョウイクダイガッコウ
한경국립대학교,カンミヤココクリツダイガッコウ
대종상,オオガネショウ
우포늪,ウシウラヌマ
리그컵,カンコクリーグカップ
칠성사이다,チルソンサイダー
빼빼로,ペペロ
용산선,タツヤマセン
한화오션,ハンファオーシャン
경원선,キョウモトセン
용두산공원,リュウズヤマコウエン
내셔널리그,ナショナルリーグ
충북선,チュウキタセン
평택제천고속도로,ヒラサワツツミカワコウソクドウロ
동해고속도로,トウカイコウソクドウロ
충무로,タダタケロ
경인고속도로,キョウヒトシコウソクドウロ
수원케이티위즈파크,ミズハラソウゴウウンドウジョウヤキュウジョウ
대전선,オオタセン
인천아시아드주경기장,ニガワアシアドヌシキョウギジョウ
인천대학교,ニガワダイガッコウ
영동선,ミネヒガシセン
현대모비스,ゲンダイモービス
대전남부순환고속도로,オオタナンブジュンカンコウソクドウロ
명지대학교,メイチダイガッコウ
농심,ノウシン
경북선,ケイキタセン
부산교통공사,プサンコウツウコウシャ
중앙고속도로,チュウオウコウソクドウロ
인천국제공항고속도로,ニガワコクサイクウコウコウソクドウロ
영동고속도로,ミネヒガシコウソクドウロ
국립순천대학교,ジュンテンダイガッコウ
전라선,ゼンラセン
울산고속도로,ウルサンコウソクドウロ
판소리,パンソリ
현대해상화재보험,ゲンダイカイジョウカサイホケン
탄천종합운동장,スミガワソウゴウウンドウジョウ
경향신문,キョウサトシンブン
강원대학교,エバラダイガッコウ
독립문,ドクリツモン
이순신대교,リシュンシンオオハシ
남사당놀이,オトコテラトウ
한국대중음악상,カンコクタイシュウオンガクショウ
승정원일기,ウケタマワセイインニッキ
강릉실내종합체육관,コウリョウカーリングセンター
강릉종합경기장,コウリョウソウゴウキョウギジョウ
용주사,リュウタマテラ
전국교직원노동조합,ゼンコクキョウショクインロウドウクミアイ
한국민주당,カンコクミンシュトウ
민주공화당,ミンシュキョウワトウ
경전선,ケイゼンセン
경기대학교,ケイキダイガッコウ
소백산맥,ショウシロサンミャク
송원고등학교,マツゲンコウトウガッコウ
국토지리정보원,コクドチリジョウホウイン
센텀시티,センタムシティ
자유당,ジユウトウ
한국방송공사,カンコクホウソウコウシャ
타타대우상용차,タタダイウ
호미곶면,トラオクシメン
김포선,コノウラセン
평창알펜시아리조트,アルペンシアリゾート
캠프,キャンプ
보니파스,ボニファス
대한장기협회,タイカンチャンギキョウカイ
용강신호소,タツオカシンゴウショ
금강대학교,キムツヨシダイガッコウ
금관총,キンカンツカ
윤도,フウスイラバン
광주문화방송,コウシュウブンカホウソウ
부산문화방송,プサンブンカホウソウ
대전문화방송,オオタブンカホウソウ
대구문화방송,タイキュウブンカホウソウ
하나회,ハナフェ
우정사업본부,ユウセイジギョウホンブ
한진그룹,カンシングループ
광화문광장,ヒカリカモンヒロバ
광주기아챔피언스필드,コウシュウキアチャンピオンズフィールド
대학로,ダイガクロ
탑골공원,タプコルコウエン
해군사관학교,カイグンシカンガッコウ
안산선,ヤスヤマセン
국사편찬위원회,コクシヘンサンイインカイ
신흥사,シンゴウジ
계명대학교,ケイメイダイガッコウ
통합진보당,トウゴウシンポトウ
희원엔터테인먼트,ヒウォンエンタテインメント
한국공항공사,カンコククウコウコウシャ
횡성소방서,ヨコギショウボウショ
송탄,マツスミ
호남고속도로지선,コナンコウソクドウロシセン
미래희망연대,ミライキボウレンタイ
한국체육대학교,カンコクタイイクダイガッコウ
중부내륙선,チュウブナイリクセン
국립창원대학교,アキラハラダイガッコウ
태백선,タイハクセン
반제민족민주전선,ハンミカドミンゾクミンシュセンセン
치앙마이,チェンマイ
이니셔티브,イニシアティブ
프로토자동차,プロトジドウシャ
횡성경찰서,ヨコギケイサツショ
정안알밤휴게소,マサヤスサービスエリア
수원남부경찰서,ミズハラナンブケイサツショ
포항북부경찰서,ホコウホクブケイサツショ
칠곡경찰서,ウルシヤケイサツショ
수원서부경찰서,ミズハラセイブケイサツショ
영동경찰서,エイドウケイサツショ
진도경찰서,チントウケイサツショ
예산경찰서,レイヤマケイサツショ
민주국민당,ミンシュコクミントウ
영천경찰서,エイカワケイサツショ
해남소방서,カイナンショウボウショ
홍천경찰서,コウセンケイサツショ
청도경찰서,キヨシドウケイサッショ
영덕경찰서,ミツルトクケイサツショ
서산경찰서,ミズヤマケイサツショ
하동소방서,カワトウショウボウショ
청주청원경찰서,キヨスキヨハラケイサツショ
연천소방서,サザナミガワショウボウショ
연천경찰서,サザナミガワケイサツショ
분당경찰서,ボントウケイサツショ
홍성경찰서,ヒロシジョウケイサツショ
포항남부경찰서,ホコウナンブケイサツショ
해남경찰서,カイナンケイサツショ
청주상당경찰서,キヨスジョウトウケイサツショ
청주흥덕경찰서,キヨスオキトクケイサツショ
아산경찰서,キバヤマケイサツショ
면,メン
코스피,カンコクソウゴウカブカシスウ
펜타시큐리티,ペンタセキュリティ
서울랜드,ソウルランド
원광대학교,エンコウダイガッコウ
전주월드컵경기장,ゼンシュウワールドカップキョウギジョウ
창원종합운동장,アキラゲンソウゴウウンドウジョウ
펜타포트,ニガワペンタポート
