álvaro,阿尔瓦罗
altea,阿尔特阿
altorricón,阿尔托里孔
almendral,阿尔门德拉尔
arafo,阿拉福
vallromanes,巴尔罗马内斯
tagamanent,塔加马嫩特
vallgorguina,巴尔戈吉纳
amboto,安博托山
ambite,安维特
capolat,卡波拉特
espunyola,埃斯普尼奥拉
serchs,塞尔奇斯
aviá,阿维亚
mogán,莫甘
montmajor,蒙特马霍尔
montclar,蒙克拉
puigreig,普奇雷奇
amieva,阿米耶瓦
olván,奥尔万
sarria,萨里亚
sagás,萨加斯
bugarra,布加拉
ricote,里科特
lezuza,莱苏萨
henche,恩切
manzanilla,曼萨尼利亚
liétor,列托尔
lubrín,卢夫林
gironella,希罗内利亚
fígols,菲戈尔斯
almadén,阿尔马登
astorga,阿斯托加
gisclareny,希斯克拉雷尼
gósol,戈索尔
oyón,奥永
repsol,西班牙国家石油公司
arnedillo,阿尔内迪略
castielfabib,卡斯铁尔法维布
capela,阿卡佩拉
garcillán,加尔西良
mendaro,门达罗
vilada,比拉达
verín,贝林
arbo,阿尔沃
valmala,巴尔马拉
navalonguilla,纳瓦隆吉利亚
saldes,萨尔德斯
vallcebre,巴尔塞夫雷
sitges,锡切斯
caltojar,卡尔托哈尔
algete,阿尔赫特
olivella,奥利韦利亚
canyellas,卡涅利亚斯
cubellas,库韦利亚斯
grañón,格拉尼翁
naturgy,天然气公司
amorebietaechano,阿莫雷维耶塔埃查诺
cunit,库尼特
lentegí,伦特希
lújar,卢哈尔
madrigueras,马德里格拉斯
lobras,洛夫拉斯
lanjarón,兰哈龙
ibiza,伊维萨
begas,贝加斯
abrera,阿夫雷拉
nulles,努列斯
castelldefels,卡斯特尔德费尔斯
cervelló,塞尔韦略
collbató,科尔瓦托
esparraguera,埃斯帕拉格拉
letur,莱图尔
minaya,米奈阿
golmés,戈尔梅斯
albendiego,阿尔文迭戈
azpeitia,阿斯佩蒂亚
mamá,妈妈
gilgarcía,希尔加尔西亚
maracena,马拉塞纳
uncastillo,温卡斯蒂略
gavá,加瓦
tordellego,托尔德列戈
cucalón,库卡隆
archena,阿尔切纳
lumbier,伦别尔
tulebras,图莱夫拉斯
amposta,安波斯塔
sariñena,萨里涅纳
pallejá,帕列哈
arbancón,阿尔万孔
arévalo,阿雷瓦洛
sahún,萨温
odieta,奥迭塔
villaflores,比利亚弗洛雷斯
amurrio,阿穆里奥
aliud,阿柳德
cuatretonda,夸特雷通达
macarena,马卡雷纳
cantavieja,坎塔维耶哈
sollana,索利亚纳
sada,萨达
argecilla,阿尔赫西利亚
vallirana,巴利拉纳
baraona,巴劳纳
orbita,奥尔维塔
medinaceli,梅迪纳塞利
armallones,阿尔马略内斯
albeta,阿尔韦塔
aranzueque,阿兰苏埃克
angón,安贡
llubí,柳维
marbella,马贝拉
láchar,拉查尔
arceniega,阿尔塞涅加
casla,卡斯拉
navamorcuende,纳瓦莫尔昆德
onil,奥尼尔
almadrones,阿尔马德罗内斯
aranjuez,阿兰胡埃斯
reus,雷乌斯
yanguas,伊安瓜斯
candelaria,坎德拉里亚
alcobendas,阿尔科文达斯
orihuela,奥里韦拉
alocén,阿洛森
viladecans,比拉德坎斯
vallehermoso,巴列埃尔莫索
badajoz,巴达霍斯
suellacabras,苏埃利亚卡夫拉斯
ferrol,费罗尔
jaén,哈恩
baracaldo,巴拉卡尔多
guadalmez,瓜达尔梅斯
valdastillas,巴尔达斯蒂利亚斯
cáceres,卡塞雷斯
hispania,西班牙
benicasim,贝尼卡西姆
triacastela,特里亚卡斯特拉
tinajo,蒂纳霍
benidorm,贝尼多姆
seat,西亚特
olivenza,奥利文萨
iberia,西班牙国家航空
cádiz,加的斯
móstoles,莫斯托莱斯
bronchales,布龙查莱斯
masanella,马萨内利亚峰
mondariz,蒙达里斯
peseta,比塞塔
benalmádena,贝纳尔马德纳
comares,科马雷斯
tribaldos,特里瓦尔多斯
parrillas,帕里利亚斯
bot,博特
tarazona,塔拉索纳
baza,巴萨
calviá,卡尔维亚
mondragón,蒙德拉贡
guecho,格乔
fuenterrabía,丰特拉维亚
berja,贝尔哈
almendralejo,阿尔门德拉莱霍
andorra,安多拉
fuengirola,丰希罗拉
torremolinos,托雷莫利诺斯
bufali,布法利
loporzano,洛波尔萨诺
ribadesella,里瓦德塞利亚
aldealengua,阿尔德亚伦瓜
alburquerque,阿尔武尔克尔克
estepona,埃斯特波纳
andrach,安德拉奇
langreo,兰格雷奥
incio,奥因西奥
arbeteta,阿尔韦特塔
alcoy,阿尔科伊
torrelavega,托雷拉韦加
ayerbe,阿耶韦
rute,鲁特
vélezmálaga,贝莱斯马拉加
cachorrilla,卡乔里利亚
mijas,米哈斯
peralejos,佩拉莱霍斯
cañizal,卡尼萨尔
rota,罗塔
argensola,阿尔亨斯索拉
montejícar,蒙特希卡尔
bellprat,贝利普拉特
bruch,埃尔布鲁克
capellades,卡佩利亚德斯
calaf,卡拉夫
castellolí,卡斯特略利
jorba,霍尔瓦
igualada,伊瓜拉达
éibar,埃瓦尔
calatayud,卡拉塔尤德
oñate,奥尼亚蒂
nerpio,内尔皮奥
tierzo,铁尔索
monachil,莫纳奇尔
boal,博阿尔
copóns,科蓬斯
villada,比利亚达
ódena,奥德纳
villalobón,比利亚洛翁
montmaneu,蒙特马内乌
masquefa,马斯克法
mojácar,莫哈卡尔
moclín,莫克林
murtas,穆尔塔斯
montillana,蒙蒂利亚纳
montefrío,蒙特弗里奥
morelábor,莫雷拉沃尔
vivero,比韦罗
molinicos,莫利尼科斯
almuñécar,阿尔穆涅卡尔
tolosa,托洛萨
padrón,帕德龙
castrourdiales,卡斯特罗乌尔迪亚莱斯
lepe,莱佩
motilleja,莫蒂列哈
gallipienzo,加利皮恩索
vierlas,别尔拉斯
calahorra,卡拉奥拉
baztán,巴斯坦
orpí,奥尔皮
piera,彼拉
pujalt,普哈尔特
rubió,鲁维奥
salavinera,萨拉维内拉
vallbona,巴尔沃纳
ceberio,塞韦里奥
arnedo,阿尔内多
cebreros,塞夫雷罗斯
veciana,贝西亚纳
jerez,雪利酒
sotorribas,索托里瓦斯
sisante,西桑特
irún,伊伦
barbastro,巴尔瓦斯特罗
villena,比列纳
catllar,埃尔卡特利亚尔
artés,阿尔特斯
avinyó,阿维尼奥
callús,卡柳斯
balsareny,巴尔萨雷尼
calders,卡尔德尔斯
villasdardo,比利亚斯达尔多
torija,托里哈
llanes,利亚内斯
ababuj,阿瓦武赫
yémeda,耶梅达
fonollosa,福诺略萨
estany,埃斯塔尼
lalueza,拉卢埃萨
manresa,曼雷萨
gayá,加亚
bergondo,贝尔贡多
navás,纳瓦斯
rajadell,拉哈德尔
muro,穆罗
ondárroa,翁达罗阿
güeñes,圭涅斯
pallaresos,埃尔斯帕利亚雷索斯
barcheta,巴尔克塞塔
marganell,马加内尔
navarclés,纳瓦尔克莱斯
capsanes,卡普斯萨内斯
mura,穆拉
cantimpalos,坎廷帕洛斯
manzanera,曼萨内拉
valdepiélago,巴尔德彼拉戈
tivenys,蒂韦尼斯
vilaseca,比拉塞卡
alaminos,阿拉米诺斯
valgañón,巴尔加尼翁
solsona,索尔索纳
chiprana,奇普拉纳
masoteras,马索特雷斯
marañón,马拉尼翁
capafons,卡帕丰特斯
reíllo,雷略
rivasvaciamadrid,里瓦斯巴西亚马德里德
longás,隆加斯
milagro,米拉格罗
ruente,伦特
sobrado,索夫拉多
sampedor,桑佩多尔
spanair,西班牙航空
villalpardo,比利亚尔帕尔多
metrovalencia,瓦伦西亚轨道交通
villanova,比利亚诺瓦
cirauqui,锡劳基
biota,比奥塔
ares,阿雷斯
fiscal,菲斯卡尔
dévanos,德瓦诺斯
meñaca,梅尼亚卡
arrecife,阿雷西费
vilabella,比拉韦利亚
cañamaque,卡尼亚马克
buendía,本迪亚
talamanca,塔拉曼卡
suria,苏里亚
becedas,贝塞达斯
mugía,穆希亚
ejulve,埃胡尔韦
estella,埃斯特利亚
motril,莫特里尔
cetrería,鹰猎
cosuenda,科孙达
fuenteálamo,丰特阿拉莫
lozoya,洛索亚
vallada,巴利亚达
echevarría,埃切瓦里亚
juslapeña,胡斯拉佩尼亚
campillossierra,坎皮略斯谢拉
biscarrués,比斯卡鲁埃斯
puertollano,普埃尔托利亚诺
coca,科卡
mulhacén,穆拉森山
batasuna,团结
serós,塞罗斯
llimiana,利米亚纳
baides,拜德斯
pollensa,波连萨
aísa,艾萨
millanes,米利亚内斯
benetúser,贝内图塞尔
puzol,普斯索尔
paterna,帕特尔纳
talarn,塔拉尔恩
senterada,森特拉达
frúniz,弗鲁尼斯
tremp,特伦普
cazurra,卡苏拉
castuera,卡斯图埃拉
villava,比利亚瓦
zorraquín,索拉金
requejo,雷克霍
ceutí,塞乌蒂
rubiana,鲁维亚
alquiza,阿尔基萨
ibieca,伊维耶卡
navaleno,纳瓦莱诺
toques,托克斯
guadarrama,瓜达拉马
arzúa,阿尔苏阿
carral,卡拉尔
frumales,弗鲁马莱斯
cualedro,夸莱德罗
llombay,利翁瓦伊
macastre,马卡斯特雷
liria,利里亚
yátova,亚托瓦
pedralba,佩德拉尔瓦
utebo,乌特沃
algarra,阿尔加拉
entrena,恩特雷纳
torrevieja,托雷维耶哈
castilforte,卡斯蒂尔福尔特
villamediana,比利亚梅迪亚纳
torrejoncillo,托雷洪西略
cañizo,卡尼索
lloréns,略伦斯斯德尔佩内德斯
búger,布赫尔
umbrete,温夫雷特
morcín,莫尔辛
socovos,索科沃斯
foncea,丰塞亚
vilarrodona,比拉罗多纳
portezuelo,波特苏埃洛
adiós,阿迪奥斯
bárig,巴尔斯
alcublas,阿尔库夫拉斯
monserrat,蒙塞拉特
barbens,巴尔文斯
arcaya,阿尔凯亚
marquinajeméin,马尔基纳赫门
ardón,阿尔东
tarifa,塔里法
teulada,特乌拉达
castrillón,卡斯特里利翁
blancafort,布兰卡福尔特
membrillera,门夫里列拉
magaña,马加纳
zuheros,苏埃罗斯
zuya,苏亚
fasnia,法斯尼亚
zumaya,苏马亚
almanza,阿尔曼萨
zubizuri,祖毕祖里桥
zufre,苏夫雷
acebedo,阿塞韦多
algadefe,阿尔加德费
ariañy,阿里亚尼
valcarlos,巴尔卡洛斯
torrico,托里科
povedilla,波韦迪利亚
pampaneira,潘潘埃拉
ansoáin,安索艾恩
arico,阿里科
sopelana,索佩拉纳
brazuelo,布拉苏埃洛
itálica,意大利迦
grañén,格拉年
burón,布龙
boñar,博尼亚尔
deyá,德亚
valdilecha,巴尔迪莱查
nevada,内瓦达
ogíjares,奥希哈雷斯
pungín,蓬欣
tibidabo,蒂比达博山
oimbra,奥因布拉
orduña,奥尔杜尼亚
fanlo,凡洛
ibdes,伊夫德斯
nogueruelas,诺格鲁埃拉斯
mandayona,曼代奥纳
ramiranes,拉米拉斯
liñola,利尼奥拉
pozolorente,波索洛伦特
pozuelo,波苏埃洛
riópar,里奥帕尔
pétrola,彼得罗拉
magaluf,马加鲁夫
coirós,科伊罗斯
udías,乌迪亚斯
gemuño,赫穆尼奥
padul,埃尔帕杜尔
sumbilla,孙比利亚
mendata,门达塔
pájara,帕哈拉
guadix,瓜迪斯
tudela,图德拉
salou,萨洛
cotobad,科托瓦德
azofra,阿索夫拉
beceite,贝塞特
vitigudino,比蒂古迪诺
bujaraloz,布哈拉洛斯
cobeña,科韦尼亚
dima,迪马
torrehermosa,托雷埃尔莫萨
irijo,伊里霍
ciurana,休拉纳
ikurriña,巴斯克旗帜
otívar,奥蒂瓦尔
nívar,尼瓦尔
orce,奥尔塞
cózar,科萨尔
águilas,阿吉拉斯
álora,阿洛拉
mirandilla,米兰迪利亚
bularros,布拉罗斯
hontanaya,翁塔奈阿
samboal,桑沃阿尔
abajas,阿瓦哈斯
nigüelas,尼圭拉斯
campotéjar,坎波特哈尔
lejona,莱霍纳
rojales,罗哈莱斯
valdelarco,巴尔德拉尔科
carabaña,卡拉瓦尼亚
sotillo,索蒂略
camponaraya,坎波纳拉亚
masó,马索
maspujols,马斯普霍尔斯
llíber,利韦尔
peñafiel,佩尼亚菲耶尔
castañeda,卡斯塔尼达
pedernales,佩德纳莱斯
gandía,甘迪亚
sotés,索特斯
canals,卡纳尔斯
arellano,阿雷利亚诺
elda,埃尔达
masroig,埃尔马斯罗伊格
meis,梅斯
duruelo,杜鲁埃洛
barcarrota,巴尔卡罗塔
senant,塞南
castrojeriz,卡斯特罗赫里斯
ibi,伊维
foyos,福伊奥斯
yurreta,尤雷塔
donamaría,唐娜玛丽亚
jete,赫特
perafort,佩拉福特
benisanet,贝尼萨内特
musques,穆斯克斯
firgas,菲尔加斯
millares,米利亚雷斯
ayora,艾奥拉
quesa,克萨
bienvenida,比恩贝尼达
mocejón,莫塞洪
belorado,贝洛拉多
irura,伊鲁拉
benafarces,贝纳法尔塞斯
zabalza,萨瓦尔萨
aller,阿列尔
falset,法尔塞特
dosaiguas,杜埃赛格斯
grisel,格里塞尔
valacloche,巴拉克洛切
urueña,乌鲁埃尼亚
fines,菲内斯
navia,纳维亚
limpias,林皮亚斯
medellín,麦德林
rodoñá,罗多尼亚
tramacastiel,特拉马卡斯铁尔
teide,泰德峰
cenia,拉塞尼亚
valdecasa,巴尔德卡萨
pitillas,皮蒂利亚斯
lebrija,莱夫里哈
vallclara,巴利克拉拉
peligros,佩利格罗斯
vianos,比亚诺斯
villamalea,比利亚马莱亚
dosbarrios,多斯瓦里奥斯
arancón,阿兰孔
pomer,波梅尔
pórtugos,波尔图戈斯
bidegoyan,比德戈扬
betelu,贝特卢
arrancudiaga,阿兰库迪亚加
petín,佩廷
talarrubias,塔拉鲁维亚斯
ágreda,阿格雷达
codorníu,考迪葡萄酒厂
écija,埃西哈
milá,米拉
atajate,阿塔哈特
fuendejalón,丰德哈隆
izagre,伊萨格雷
topas,托帕斯
artenara,阿尔特纳拉
artieda,阿尔铁达
matillas,马蒂利亚斯
as,阿斯报
villabona,比利亚沃纳
vertavillo,贝尔塔维略
torrelodones,托雷洛多内斯
almoster,阿尔莫斯特
piqueras,皮克拉斯
sopeira,索佩拉
reinosa,雷诺萨
calpe,卡尔佩
arén,阿伦
artá,阿尔塔
arucas,阿鲁卡斯
betanzos,贝坦索斯
fombuena,丰武埃纳
marinaleda,马里纳莱达
villalazán,比利亚拉桑
aínsasobrarbe,阿因萨索夫拉尔韦
aldealseñor,阿尔德亚尔塞尼奥尔
aldealpozo,阿尔德亚尔波索
ascó,阿斯科
covaleda,科瓦莱达
casarejos,卡萨雷霍斯
cerbón,塞尔翁
sanfermines,圣费尔明节
calatañazor,卡拉塔尼亚索尔
alpanseque,阿尔潘塞克
cidones,锡多内斯
almazul,阿尔马苏尔
montehermoso,蒙特埃尔莫索
izquierdaezkerra,左翼
letux,莱图斯
vicién,比先
irurzun,伊鲁尔孙
bicorp,比科尔普
erro,埃罗
beratón,贝拉通
espejo,埃斯佩霍
valdearenas,巴尔德亚雷纳斯
oliete,奥列特
tabuenca,塔文卡
mollerusa,莫列鲁萨
valdeverdeja,巴尔德韦尔德哈
maján,马汉
villablanca,比利亚布兰卡
llodio,略迪奥
altarejos,阿尔塔雷霍斯
vidayanes,比代阿内斯
igüeña,伊格尼亚
molinaseca,莫利纳塞卡
castropodame,卡斯特罗波达梅
congosto,孔戈斯托
campisábalos,坎皮萨瓦洛斯
arcentales,阿尔森塔莱斯
coscurita,科斯库里塔
barcones,巴尔科内斯
barbará,巴巴拉
toreno,托雷诺
sancedo,桑塞多
riudoms,留多姆斯
cerdido,塞尔迪多
maruri,马鲁里
robledollano,罗夫莱多利亚诺
castilruiz,卡斯蒂尔鲁伊斯
vinuesa,比努埃萨
cigudosa,锡古多萨
candilichera,坎迪利切拉
tíjola,蒂霍拉
albí,拉尔维
cardeñosa,卡尔德尼奥萨
zafrilla,萨夫里利亚
lupiñénortilla,卢皮年奥尔蒂利亚
valtajeros,巴尔塔赫罗斯
corgo,奥科尔戈
pollos,波略斯
bráfim,布拉菲姆
tirgo,蒂尔戈
nepas,内帕斯
arrigorriaga,阿里戈里亚加
sigüenza,锡古恩萨
carlismo,卡洛斯主义
forúa,福鲁阿
carabantes,卡拉万特斯
betancuria,贝坦库里亚
soliedra,索列德拉
taroda,塔罗达
sagunto,萨贡托
viver,比韦尔
abc,阿贝赛报
tordesillas,托德西利亚斯
villasayas,比利亚萨亚斯
oteiza,奥泰萨
finisterre,菲尼斯特雷
pozalmuro,波萨尔穆罗
minglanilla,明拉尼利亚
íllora,伊略拉
izurza,伊苏尔萨
periana,佩里亚纳
cubilla,库维利亚
villanázar,比利亚纳萨尔
vistabella,比斯塔韦利亚
torrescárcela,托雷斯卡尔塞拉
ondara,翁达拉
rentería,伦特里亚
sinarcas,西纳尔卡斯
buberos,布韦罗斯
oncala,翁卡拉
vilches,比尔切斯
brihuega,布里韦加
jaca,哈卡
manacor,马纳科尔
bermellar,贝尔梅利亚尔
ítrabo,伊特拉沃
colldejóu,科利德霍
chalamera,查拉梅拉
morella,莫雷利亚
burlada,布尔拉达
borobia,博罗维亚
bliecos,布列科斯
adra,阿德拉
mahón,马翁
órgiva,奥尔希瓦
cantillana,坎蒂利亚纳
ginestar,希内斯塔尔
gátova,加托瓦
cenicientos,塞尼先托斯
monesterio,莫内斯特里奥
urdúliz,乌尔杜利斯
fuentecambrón,丰特坎夫龙
ciria,锡里亚
vadillo,巴迪略
llerena,列雷纳
ochandiano,奥钱迪亚诺
rtve,西班牙广播电视公司
valdeganga,巴尔德甘加
mahora,马奥拉
alique,阿利克
recas,雷卡斯
monasterio,莫纳斯特里奥
villardompardo,比利亚尔东帕尔多
mediona,梅迪奥纳
goizueta,戈伊苏埃塔
talveila,塔尔韦拉
laguardia,拉瓜尔迪亚
abadín,阿瓦丁
boiro,博伊罗
ulzama,乌尔萨马
buitrago,布伊特拉戈
palenzuela,帕伦苏埃拉
buciegas,布希耶加斯
oleiros,奥莱罗斯
fuenlabrada,丰拉夫拉达
elanchove,埃兰乔韦
ahín,阿因
tardelcuende,塔尔德尔昆德
fuentearmegil,丰特亚尔梅希尔
polentinos,波伦蒂诺斯
ayamonte,艾阿蒙特
munilla,穆尼利亚
almonte,阿尔蒙特
salduero,萨尔杜埃罗
almócita,阿尔莫西塔
teverga,特韦尔加
benegida,贝内克西达
boimorto,博伊莫尔托
campillosparavientos,坎皮略斯帕拉维恩托斯
allande,阿良德
candamo,坎达莫
rollamienta,罗利亚缅塔
abejuela,阿韦胡埃拉
calanda,卡兰达
fuentelmonge,丰特尔蒙赫
carreño,卡雷尼奥
chóvar,乔瓦尔
cacabelos,卡卡韦洛斯
covelo,科韦洛
abarán,阿瓦兰
arnés,阿尔内斯
béjar,贝哈尔
coaña,科阿尼亚
bermeo,贝尔梅奥
martos,马尔托斯
bailén,拜伦
cambados,坎瓦多斯
albarracín,阿尔瓦拉辛
stolpersteine,绊脚石
ponga,蓬加
degaña,德加尼亚
teguise,特吉塞
valldemosa,巴尔德莫萨
grazalema,格拉萨莱马
sóller,索列尔
redondela,雷东德拉
navalafuente,纳瓦拉丰特
fuentecantos,丰特坎托斯
torlengua,托尔伦瓜
bechí,贝特克西
blacos,布拉科斯
borjabad,博尔哈瓦德
narros,纳罗斯
valdeprado,巴尔德普拉多
abertis,阿伯蒂斯基建公司
abengoa,阿苯哥
abegondo,阿韦贡多
momblona,蒙夫洛纳
valdegeña,巴尔德赫尼亚
salem,萨莱姆
huécija,韦西哈
játiva,哈蒂瓦
bustarviejo,布斯塔尔维耶霍
galdames,加尔达梅斯
ujados,乌哈多斯
burjasot,布尔哈索特
gilet,希莱特
telde,特尔德
balaguer,巴拉格尔
ablitas,阿夫利塔斯
valdehorna,巴尔德奥尔纳
abla,阿夫拉
noviercas,诺维耶尔卡斯
giralda,吉拉达
tajueco,塔胡埃科
valdenebro,巴尔德内夫罗
villaciervos,比利亚希耶尔沃斯
yelo,耶洛
reyero,雷耶罗
trujillo,特鲁希略
almorox,阿尔莫罗斯
valderrodilla,巴尔德罗迪利亚
espejón,埃斯佩洪
liceras,利塞拉斯
loja,洛哈
ucero,乌塞罗
aldearrodrigo,阿尔德亚罗德里戈
matalebreras,马塔莱夫雷拉斯
úbeda,乌韦达
cabrales,卡夫拉莱斯
arona,阿罗纳
arrieta,阿列塔
chipiona,奇皮奥纳
arahal,阿拉阿尔
tocina,托西纳
labuerda,拉武埃尔达
benaocaz,贝瑙卡斯
vallanca,巴良卡
almudévar,阿尔穆德瓦尔
quiñonería,基尼奥内里亚
estadilla,埃斯塔迪利亚
cártama,卡尔塔马
piñor,皮尼奥尔
riudecols,留德科尔斯
totana,托塔纳
burbáguena,布尔瓦格纳
lecrín,莱克林
acciona,阿驰奥纳
ulldemolins,乌利德莫林斯
tolox,托洛斯
nolay,诺莱
báguena,巴格纳
lemóniz,莱莫尼斯
reznos,雷斯诺斯
caspe,卡斯佩
valdarachas,巴尔达拉查斯
gormaz,戈尔马斯
miguelitos,米糕莱托
villajoyosa,比利亚霍约萨
fuentetójar,丰特托哈尔
taravilla,塔拉维利亚
nogueras,诺格拉斯
felanich,费拉尼奇
vilasantar,比拉桑塔尔
valdáliga,巴尔达利加
trabazos,特拉瓦索斯
caracena,卡拉塞纳
fuentepelayo,丰特佩莱奥
llanera,利亚内拉
peque,佩克
siero,谢罗
outes,欧特斯
fuentestrún,丰特斯特伦
rianjo,里安霍
leganés,莱加内斯
fermoselle,费尔莫塞列
abadiano,阿瓦迪亚诺
montreal,蒙特拉尔
torroja,托罗哈德尔普里奥拉特
torrebaja,托雷瓦哈
bolbaite,博尔瓦伊特
graus,格劳斯
iberismo,伊比利亚主义
orcajo,奥尔卡霍
pauls,保尔斯
adeje,阿德赫
valdemaluque,巴尔德马卢克
renieblas,雷涅夫拉斯
álava,阿拉瓦省
cherta,克塞尔塔
manzaneda,曼萨内达
ademuz,阿德穆斯
redueña,雷杜埃尼亚
mequinenza,梅基嫩萨
sumacárcel,苏马卡尔塞尔
tarancón,塔兰孔
caspueñas,卡斯普埃尼亚斯
valdemora,巴尔德莫拉
capdesaso,卡普德萨索
oropesa,奥罗佩萨
villarrobledo,比利亚罗夫莱多
bérriz,贝里斯
jijona,希霍纳
cirueña,西鲁埃尼亚
valleseco,巴列塞科
tejeda,特赫达
cogolludo,科戈柳多
fuentelsaz,丰特尔萨斯
tardajos,塔尔达霍斯
gádor,加多尔
isuerre,伊苏埃雷
cornago,科尔纳戈
vilaplana,比拉普拉纳
tegueste,特格斯特
tejado,特哈多
bullas,布利亚斯
bétera,贝特拉
cascante,卡斯坎特
alpuente,阿尔蓬特
deza,德萨
real,雷阿尔
tordoya,托尔多亚
munera,穆内拉
aljucén,阿尔胡森
olite,奥利特
buñola,布尼奥拉
binisalem,比尼萨莱姆
sondica,松迪卡
amézqueta,阿梅斯克塔
torreblacos,托雷夫拉科斯
albalatillo,阿尔瓦拉蒂略
riocabado,里奥卡瓦多
vizmanos,比斯马诺斯
montejo,蒙特霍
castillonroy,卡斯蒂利翁罗伊
fago,法戈
alcanar,阿尔卡纳尔
chía,恰村
villamarchante,比拉马尔克桑特
castigaleu,卡斯蒂加莱乌
sesa,塞萨
moratalla,莫拉塔拉
tercio,西班牙大方阵
bonansa,博南萨
cifuentes,西丰特斯
simancas,西曼卡斯
cullera,库列拉
valverdón,巴尔韦尔东
rueda,鲁埃达
tragacete,特拉加塞特
malaguilla,马拉吉利亚
recuerda,雷库埃尔达
bonete,博内特
tajahuerce,塔哈韦尔塞
huélamo,韦拉莫
hurones,乌罗内斯
sangarrén,桑加伦
seira,塞拉
huerto,韦尔托
pinedas,皮内达斯
robres,罗夫雷斯
torreorgaz,托雷奥尔加斯
sotragero,索特拉赫罗
segorbe,塞戈尔韦
ujué,乌胡埃
toén,托恩
alboraya,阿尔沃拉亚
sancellas,桑塞利亚斯
torrefarrera,托雷法雷拉
plan,普兰
alcabón,阿尔卡翁
echarri,埃查里
iborra,伊沃拉
sinéu,锡内乌
samaniego,萨马涅戈
campillos,坎皮略斯
guadalcanal,瓜达尔卡纳尔
frómista,弗罗米斯塔
inca,因卡
estellenchs,埃斯特连克斯
cee,塞埃
villanúa,比利亚努阿
camas,卡马斯
fuentepinilla,丰特皮尼利亚
golmayo,戈尔马约
muñogalindo,穆尼奥加林多
gómara,戈马拉
gaucín,高辛
frigiliana,夫里希利亚纳
tacoronte,塔科龙特
ojén,奥亨
azután,阿苏坦
pegalajar,佩加拉哈尔
cornudella,科尔努德利亚德蒙特桑特
montizón,蒙蒂松
vicedo,奥维塞多
solórzano,索洛尔萨诺
atapuerca,阿塔普埃尔卡
vizcaya,比斯开省
pulgar,普尔加尔
lezama,莱萨马
zarratón,萨拉通
ulldecona,乌利德科纳
torredembarra,托雷登瓦拉
arteijo,阿尔泰霍
utrera,乌特雷拉
sangenjo,桑亨霍
onís,奥尼斯
alange,阿兰赫
fuenmayor,丰马约尔
librilla,利夫里利亚
moncada,蒙卡达
museros,穆塞罗斯
valdemoro,巴尔德莫罗
mondoñedo,蒙多涅多
negreira,内格雷拉
castildelgado,卡斯蒂尔德尔加多
cihuela,锡韦拉
garcihernández,加尔西埃尔南德斯
mondéjar,蒙德哈尔
campello,埃尔坎佩略
montejaque,蒙特哈克
sangüesa,桑圭萨
paradas,帕拉达斯
ribadedeva,里瓦德德瓦
montblanch,蒙布朗
tineo,蒂内奥
sorbas,索尔瓦斯
hellín,埃林
villaviciosa,比利亚维西奥萨
somiedo,索米耶多
enix,埃尼斯
carcabuey,卡尔卡武埃
faura,福拉
trabadelo,特拉瓦德洛
taramundi,塔拉蒙迪
cieza,谢萨
fiñana,菲尼亚纳
bembibre,本维夫雷
pulpí,普尔皮
gotarrendura,戈塔伦杜拉
labastida,拉瓦斯蒂达
colmenar,科尔梅纳尔
castronuño,卡斯特罗努尼奥
ifni,伊夫尼
camarena,卡马雷纳
josa,霍萨
górliz,戈尔利斯
gélida,赫利达
nebreda,内夫雷达
boecillo,博埃西略
bellpuig,贝尔普奇
santovenia,桑托韦尼亚
pratdip,普拉特迪普
piedrahíta,彼德拉伊塔
sacecorbo,萨塞科尔沃
mingorría,明戈里亚
puentedeume,蓬特德乌梅
moros,莫罗斯
romanzado,罗曼萨多
palanques,帕兰克斯
roquetas,罗克特斯
constantina,孔斯坦蒂纳
arredondo,阿雷东多
arboleas,阿尔沃莱亚斯
íllar,伊利亚尔
macael,马凯尔
benitagla,贝尼塔格拉
serranillos,塞拉尼略斯
arañuel,阿拉纽埃尔
ricla,里克拉
elduayen,埃尔杜阿延
clavijo,克拉维霍
masdenverge,马斯登韦尔赫
alpedrete,阿尔佩德雷特
aliseda,阿利塞达
somosierra,索莫谢拉
benahadux,贝纳阿杜斯
bacares,巴卡雷斯
canjáyar,坎海阿尔
cheles,切莱斯
creixell,克雷克塞利
beranuy,贝拉克鲁斯
fortuna,福尔图纳
basauri,巴绍里
navárniz,纳瓦尔尼斯
escañuela,埃斯卡纽埃拉
torrepacheco,托雷帕切科
tolva,托尔瓦
sena,塞纳
capella,卡佩利亚
calamonte,卡拉蒙特
señera,塞涅拉
escorca,埃斯科尔卡
marrachí,马拉奇
peñíscola,佩尼伊斯科拉
consell,孔塞利
fornaluch,福纳卢奇
canredondo,坎雷东多
zumárraga,苏马拉加
riola,里奥拉
santed,桑特德
valderas,巴尔德拉斯
arano,阿拉诺
montanuy,蒙塔努伊
barañáin,巴拉尼艾恩
villatorres,比利亚托雷斯
gradefes,格拉德费斯
sediles,塞迪莱斯
uña,乌尼亚
cartaya,卡尔泰阿
cervera,塞尔韦拉
pasajes,帕萨赫斯
pradejón,普拉德洪
caixabank,凯克萨银行
caravia,卡拉维亚
beasáin,贝阿萨因
llorach,略拉克
galbarros,加尔瓦罗斯
esporlas,埃斯波尔莱斯
lloseta,略塞塔
juviles,胡维莱斯
alayor,阿拉约尔
