нюша,뉴샤,nyusha,nyusya
сольвычегодск,솔비체고츠크,solvychegodsk,solbicegoceukeu
сорск,소르스크,sorsk,soreuseukeu
сортавала,소르타발라,sortavala,soreutabalra
авось,아우오스섬,avos,auoseuseom
сосенский,소센스키,sosenskiy,sosenseuki
спасдеменск,스파스데멘스크,spasdemensk,seupaseudemenseukeu
спасклепики,스파스클레피키,spasklepiki,seupaseukeulrepiki
спасскдальний,스파스크달니,spasskdalniy,seupaseukeudalni
спасскрязанский,스파스크랴잔스키,spasskryazanskiy,seupaseukeuryajanseuki
среднеколымск,스레드네콜림스크,srednekolymsk,seuredeunekolrimseukeu
северокрымский,북크림,severokrymskiy,bugkeurim
петропавловский,페트로파블롭스크,petropavlovskiy,peteuropabeulrobseukeu
старица,스타리차,starica,seutarica
воробьёвы,참새,vorobyovy,camsae
горы,언덕,gory,eondeog
сахалинский,사할린,sahalinskiy,sahalrin
тоннель,터널,tonnel,teoneol
сокольники,소콜니키,sokolniki,sokolniki
стародуб,스타로두프,starodub,seutarodupeu
стерлитамак,스테를리타마크,sterlitamak,seutereulritamakeu
струнино,스트루니노,strunino,seuteurunino
судогда,수도그다,sudogda,sudogeuda
суворов,수보로프,suvorov,suboropeu
сусуман,수수만,susuman,susuman
сухиничи,수히니치,suhinichi,suhinici
балтика,발티카,baltika,baltika
черноморскокаспийская,폰토스카스피,chernomorskokaspiyskaya,pontoseukaseupi
тура,투라,tura,tura
щёлкино,숄키네,shchyolkino,syolkine
ушишир,우시시르섬,ushishir,usisireuseom
распутица,라스푸티차,rasputica,raseuputica
чернышевский,체르니솁스키,chernyshevskiy,cereunisyebseuki
сычёвка,시촙카,sychyovka,sicobka
тайшет,타이셰트,tayshet,taisyeteu
тайга,타이가,tayga,taiga
южнокурильск,유즈노쿠릴스크,yuzhnokurilsk,yujeunokurilseukeu
балаклава,발라클라바,balaklava,balrakeulraba
башнефть,바쉬네프트,bashneft,baswinepeuteu
туапсе,투압세,tuapse,tuabse
трубчевск,트룹쳅스크,trubchevsk,teurubcebseukeu
власиха,블라시하,vlasiha,beulrasiha
палех,팔레흐,paleh,palreheu
эхо,모스크바,eho,moseukeuba
москвы,공감,moskvy,gonggam
ясная,야스나야,yasnaya,yaseunaya
поляна,폴랴나,polyana,polryana
фенноскандия,페노스칸디아,fennoskandiya,penoseukandia
трёхгорный,트료흐고르니,tryohgornyy,teuryoheugoreuni
томари,토마리,tomari,tomari
томмот,톰모트,tommot,tommoteu
торжок,토르조크,torzhok,toreujokeu
бельковский,벨콥스키섬,belkovskiy,belkobseukiseom
таруса,타루사,tarusa,tarusa
парамушир,파라무시르섬,paramushir,paramusireuseom
международный,국제,mezhdunarodnyy,gugje
кинофестиваль,영화제,kinofestival,yeonghwaje
расшуа,라스슈아섬,rasshua,raseusyuaseom
екатеринбургский,예카테린부르크,ekaterinburgskiy,yekaterinbureukeu
капустин,카푸스틴,kapustin,kapuseutin
яр,야르,yar,yareu
котлин,코틀린섬,kotlin,koteulrinseom
канин,카닌반도,kanin,kaninbando
углегорск,우글레고르스크,uglegorsk,ugeulregoreuseukeu
удачный,우다치니,udachnyy,udacini
углич,우글리치,uglich,ugeulrici
удомля,우도믈랴,udomlya,udomeulrya
интеркосмос,인터코스모스,interkosmos,inteokoseumoseu
унеча,우네차,unecha,uneca
узловая,우즐로바야,uzlovaya,ujeulrobaya
урусмартан,우루스마르탄,urusmartan,uruseumareutan
усмань,우스만,usman,useuman
провидения,프로비데니야,provideniya,peurobideniya
уссурийск,우수리스크,ussuriysk,usuriseukeu
известия,이즈베스티야,izvestiya,ijeubeseutiya
туран,투란,turan,turan
тында,틴다,tynda,tinda
тутаев,투타예프,tutaev,tutayepeu
бутырская,부티르카,butyrskaya,butireuka
тюрьма,감옥,tyurma,gamog
риа,리아,ria,ria
новости,노보스티,novosti,noboseuti
волгодонской,볼가돈,volgodonskoy,bolgadon
карачай,카라차이호,karachay,karacaiho
устьилимск,우스티일림스크,ustilimsk,useutiilrimseukeu
ухта,우흐타,uhta,uheuta
устькут,우스티쿠트,ustkut,useutikuteu
ссср,루블,sssr,rubeul
юкос,유코스,yukos,yukoseu
фокино,포키노,fokino,pokino
фурманов,푸르마노프,furmanov,pureumanopeu
фрязино,프랴지노,fryazino,peuryajino
большая,볼샤야,bolshaya,bolsyaya
кольцевая,콜체바야,kolcevaya,kolcebaya
линия,선,liniya,seon
ломо,로모,lomo,romo
челюскин,첼류스킨곶,chelyuskin,celryuseukingoj
гражданская,시민,grazhdanskaya,simin
платформа,연단,platforma,yeondan
хвалынск,흐발린스크,hvalynsk,heubalrinseukeu
холм,홀름,holm,holreum
шумшу,슘슈섬,shumshu,syumsyuseom
холмск,홀름스크,holmsk,holreumseukeu
пушкинский,푸시킨,pushkinskiy,pusikin
дом,하우스,dom,hauseu
чапаевск,차파옙스크,chapaevsk,capayebseukeu
сигнальный,시그날니섬,signalnyy,sigeunalniseom
цаганхаг,차간하크호,caganhag,caganhakeuho
уссурийский,우수리,ussuriyskiy,usuri
край,지방,kray,jibang
автово,압토보,avtovo,abtobo
тымовское,티몹스코예,tymovskoe,timobseukoye
чадан,차단,chadan,cadan
дружбы,우호,druzhby,uho
народов,대학교,narodov,daehaggyo
ольхон,올혼섬,olhon,olhonseom
чекалин,체칼린,chekalin,cekalrin
черемхово,체렘호보,cheremhovo,ceremhobo
чехов,체호프,chehov,cehopeu
чистополь,치스토폴,chistopol,ciseutopol
халхамонголы,할하부,halhamongoly,halhabu
московское,모스크바,moskovskoe,moseukeuba
время,시간,vremya,sigan
роствертол,로스트베르톨,rostvertol,roseuteubereutol
чухлома,추흘로마,chuhloma,cuheulroma
чулым,출림,chulym,culrim
чудово,추도보,chudovo,cudobo
чкаловск,치칼롭스크,chkalovsk,cikalrobseukeu
шадринск,샤드린스크,shadrinsk,syadeurinseukeu
шахтёрск,샤흐툐르스크,shahtyorsk,syaheutyoreuseukeu
шатура,샤투라,shatura,syatura
шарья,샤리야,sharya,syariya
шахты,샤흐티,shahty,syaheuti
город,고로드,gorod,gorodeu
столиц,스톨리츠,stolic,seutolriceu
пулковская,풀코보,pulkovskaya,pulkobo
обсерватория,천문대,observatoriya,ceonmundae
уруп,우루프섬,urup,urupeuseom
шиханы,시하니,shihany,sihani
российскосеверокорейская,러시아조선민주주의인민공화국,rossiyskoseverokoreyskaya,reosiajoseonminjujuyiinmingonghwagug
граница,국경,granica,guggyeong
шумерля,슈메를랴,shumerlya,syumereulrya
щёлково,숄코보,shchyolkovo,syolkobo
шуя,슈야,shuya,syuya
щёкино,쇼키노,shchyokino,syokino
кунашир,쿠나시르섬,kunashir,kunasireuseom
патриарх,모스크바,patriarh,moseukeuba
и,전,i,jeon
всея,루스,vseya,ruseu
руси,총대주교,rusi,congdaejugyo
комсомольская,콤소몰스카야,komsomolskaya,komsomolseukaya
шикотан,시코탄섬,shikotan,sikotanseom
онекотан,오네코탄섬,onekotan,onekotanseom
электрогорск,옐렉트로고르스크,elektrogorsk,yelregteurogoreuseukeu
электросталь,옐렉트로스탈,elektrostal,yelregteuroseutal
электроугли,옐렉트로우글리,elektrougli,yelregteurougeulri
северсталь,세베르스탈,severstal,sebereuseutal
мемориал,메모리알,memorial,memorial
головнино,골로브니노,golovnino,golrobeunino
руёбэцу,루요베쓰촌,ruyobecu,ruyobesseucon
энгельс,옌겔스,engels,yengelseu
выставка,국민,vystavka,gugmin
достижений,경제,dostizheniy,gyeongje
народного,달성,narodnogo,dalseong
хозяйства,박람회,hozyaystva,bagramhoe
юрга,유르가,yurga,yureuga
юрьевпольский,유리예프폴스키,yurevpolskiy,yuriyepeupolseuki
ачхоймартан,아치호이마르탄,achhoymartan,acihoimareutan
ярцево,야르체보,yarcevo,yareucebo
ясногорск,야스노고르스크,yasnogorsk,yaseunogoreuseukeu
юхнов,유흐노프,yuhnov,yuheunopeu
ротмистр,기병대위,rotmistr,gibyeongdaewi
боголюбово,보골류보보,bogolyubovo,bogolryubobo
новосибирские,노보시비르스크,novosibirskie,nobosibireuseukeu
уэлен,웰렌,uelen,welren
забайкалье,자바이칼,zabaykale,jabaikal
ханка,한카호,hanka,hankaho
фаддеевский,파데옙스키섬,faddeevskiy,padeyebseukiseom
гогланд,고글란트섬,gogland,gogeulranteuseom
пограничный,포그라니치니,pogranichnyy,pogeuranicini
котельный,코텔니섬,kotelnyy,kotelniseom
охотск,오호츠크,ohotsk,ohoceukeu
диомида,제도,diomida,jedo
кижи,키지섬,kizhi,kijiseom
саяны,사얀산맥,sayany,sayansanmaeg
ильмень,일멘호,ilmen,ilmenho
большевик,볼셰비크섬,bolshevik,bolsyebikeuseom
соловецкие,솔로베츠키,soloveckie,solrobeceuki
мариинский,마린스키,mariinskiy,marinseuki
вайгач,바이가치섬,vaygach,baigaciseom
зеленоград,젤레노그라드,zelenograd,jelrenogeuradeu
новодевичье,노보데비치,novodeviche,nobodebici
кладбище,묘지,kladbishche,myoji
лаперуза,해협,laperuza,haehyeob
командорские,코만도르스키예,komandorskie,komandoreuseukiye
карельский,카렐리야,karelskiy,karelriya
перешеек,지협,peresheek,jihyeob
полесье,폴레시아,polese,polresia
корицкий,코리츠키곶,korickiy,koriceukigoj
русский,러시아,russkiy,reosia
мост,다리,most,dari
золотой,졸로토이,zolotoy,jolrotoi
сибур,시부르,sibur,sibureu
лингвистический,외국어,lingvisticheskiy,oegugeo
амурскозейское,아무르스코제이스카야,amurskozeyskoe,amureuseukojeiseukaya
плато,평원,plato,pyeongweon
уралкалий,우랄칼리,uralkaliy,uralkalri
колывань,콜리반,kolyvan,kolriban
зелёный,젤레니섬,zelyonyy,jelreniseom
парголово,파르골로보,pargolovo,pareugolrobo
харимкотан,하림코탄섬,harimkotan,harimkotanseom
система,러시아,sistema,reosia
футбольных,축구,futbolnyh,cuggu
лиг,리그,lig,rigeu
камаринская,카마린스카야,kamarinskaya,kamarinseukaya
шелковская,셸콥스카야,shelkovskaya,syelkobseukaya
лабынкыр,라빈키르호,labynkyr,rabinkireuho
биробиджанер,비로비자너,birobidzhaner,birobijaneo
штерн,슈테른,shtern,syutereun
куйтун,쿠이툰,kuytun,kuitun
тмутаракань,티무타라칸,tmutarakan,timutarakan
голос,러시아의,golos,reosiayi
маточкин,마토치킨,matochkin,matocikin
шар,해협,shar,haehyeob
колпина,콜피노섬,kolpina,kolpinoseom
бурятский,부랴트,buryatskiy,buryateu
ляховские,랴홉스키,lyahovskie,ryahobseuki
бурея,부레야,bureya,bureya
масленица,마슬레니차,maslenica,maseulrenica
спас,피의,spas,piyi
крови,사원,krovi,saweon
итуруп,이투루프섬,iturup,iturupeuseom
колгуев,콜구예프섬,kolguev,kolguyepeuseom
телецкое,텔레츠코예호,teleckoe,telreceukoyeho
тасс,타스,tass,taseu
шатой,샤토이,shatoy,syatoi
крымская,크림,krymskaya,keurim
астрофизическая,천체물리,astrofizicheskaya,ceoncemulri
рокский,로키,rokskiy,roki
кабан,카반호,kaban,kabanho
магнит,마그닛,magnit,mageunis
вулканы,캄차카,vulkany,kamcaka
камчатки,화산군,kamchatki,hwasangun
краскино,크라스키노,kraskino,keuraseukino
калиновка,칼리놉카,kalinovka,kalrinobka
устьордынский,우스티오르딘스키,ustordynskiy,useutioreudinseuki
столбовой,스톨보보이섬,stolbovoy,seutolboboiseom
крайний,크라이니,krayniy,keuraini
север,세베르,sever,sebereu
экарма,예카르마섬,ekarma,yekareumaseom
рыбачий,리바치반도,rybachiy,ribacibando
зарубино,자루비노,zarubino,jarubino
тарутинский,타루티노,tarutinskiy,tarutino
бой,전투,boy,jeontu
гимн,러시아의,gimn,reosiayi
авиа,항공,avia,hanggong
росбанк,로스은행,rosbank,roseueunhaeng
одноклассники,오드노클라스니키,odnoklassniki,odeunokeulraseuniki
сайменский,사이마,saymenskiy,saima
шиашкотан,시아시코탄섬,shiashkotan,siasikotanseom
грибоедова,운하,griboedova,unha
управления,경영대학교,upravleniya,gyeongyeongdaehaggyo
изборск,이즈보르스크,izborsk,ijeuboreuseukeu
кинематограф,러시아,kinematograf,reosia
тузла,투즐라섬,tuzla,tujeulraseom
роснефть,로스네프트,rosneft,roseunepeuteu
норникель,노르니켈,nornikel,noreunikel
чумикан,추미칸,chumikan,cumikan
горнозаводск,고르노자보츠크,gornozavodsk,goreunojaboceukeu
хрустальный,크리스탈,hrustalnyy,keuriseutal
останкино,오스탄키노궁,ostankino,oseutankinogung
духоборы,두호보르파,duhobory,duhoboreupa
удэгейцы,우데게족,udegeycy,udegejog
крымский,크림반도의,krymskiy,keurimbandoyi
троллейбус,트롤리버스,trolleybus,teurolribeoseu
тубалары,투발라르족,tubalary,tubalrareujog
симушир,시무시르섬,simushir,simusireuseom
знаменское,즈나멘스코예,znamenskoe,jeunamenseukoye
ленинградский,레닌그라드,leningradskiy,reningeuradeu
зоопарк,동물원,zoopark,dongmulweon
лефортовский,레포르토보,lefortovskiy,reporeutobo
танаис,타나이스,tanais,tanaiseu
матуа,마투아섬,matua,matuaseom
никольское,니콜스코예,nikolskoe,nikolseukoye
евразийство,유라시아주의,evraziystvo,yurasiajuyi
минеральные,미네랄니예보디,mineralnye,mineralniyebodi
воды,공항,vody,gonghang
оркестр,오케스트라,orkestr,okeseuteura
марьяновка,마리야노프카,maryanovka,mariyanopeuka
алмазантей,알마즈안테이,almazantey,almajeuantei
мечел,메첼,mechel,mecel
семёновский,세묘놉스키섬,semyonovskiy,semyonobseukiseom
российскояпонские,러시아일본,rossiyskoyaponskie,reosiailbon
газпромбанк,가스프롬방크,gazprombank,gaseupeurombangkeu
александринский,알렉산드린스키,aleksandrinskiy,alregsandeurinseuki
сойоты,소요트족,soyoty,soyoteujog
кунаширский,쿠나시르,kunashirskiy,kunasireu
полиция,러시아,policiya,reosia
кыштымская,키시팀,kyshtymskaya,kisitim
авария,사고,avariya,sago
чиринкотан,치링코탄섬,chirinkotan,ciringkotanseom
нефть,네프트,neft,nepeuteu
александровский,알렉산드롭스키,aleksandrovskiy,alregsandeurobseuki
сад,정원,sad,jeongweon
вепсская,벱스카야,vepsskaya,bebseukaya
национальная,나치오날나야,nacionalnaya,nacionalnaya
волость,볼로스티,volost,bolroseuti
марсово,마르스,marsovo,mareuseu
поле,광장,pole,gwangjang
букер,부커상,buker,bukeosang
рособоронэкспорт,로소보로넥스포르트,rosoboroneksport,rosoboronegseuporeuteu
райкоке,라이코케섬,raykoke,raikokeseom
технический,기술,tehnicheskiy,gisul
бросно,브로스노호,brosno,beuroseunoho
банковский,반콥스키,bankovskiy,bankobseuki
единства,날,edinstva,nal
труд,트루드,trud,teurudeu
силовик,실로비크,silovik,silrobikeu
лопатка,로팟카곶,lopatka,ropaskagoj
татарстана,국가,tatarstana,gugga
саратовские,사라토프,saratovskie,saratopeu
космические,러시아,kosmicheskie,reosia
войска,우주군,voyska,ujugun
в,반대,v,bandae
будённовске,인질극,budyonnovske,injilgeug
малый,말리,malyy,malri
кидекша,키덱샤,kideksha,kidegsya
ракета,라케타,raketa,raketa
малокурильское,말로쿠릴스코예,malokurilskoe,malrokurilseukoye
славянка,슬라뱐카,slavyanka,seulrabyanka
корф,코르프,korf,koreupeu
путин,푸틴,putin,putin
должен,떠나야,dolzhen,ddeonaya
уйти,한다,uyti,handa
ключи,클류치,klyuchi,keulryuci
почта,러시아,pochta,reosia
теленгиты,텔렝기트족,telengity,telrenggiteujog
русское,러시아인의,russkoe,reosiainyi
имя,성명,imya,seongmyeong
мегафон,메가폰,megafon,megapon
климов,크리모프,klimov,keurimopeu
тв,테베,tv,tebe
центр,첸트르,centr,centeureu
трансмашхолдинг,트랜스마시홀딩,transmashholding,teuraenseumasiholding
посьет,포시예트,poset,posiyeteu
эсперантистов,연방,esperantistov,yeonbang
валдгейм,발트게임,valdgeym,balteugeim
ираэро,이르아에로,iraero,ireuaero
русгидро,루스기드로,rusgidro,ruseugideuro
всмпоависма,브슴포아비스마,vsmpoavisma,beuseumpoabiseuma
столичная,스톨리치나야,stolichnaya,seutolricinaya
оймяконское,오이먀콘,oymyakonskoe,oimyakon
плоскогорье,고원,ploskogore,goweon
латышские,라트비아,latyshskie,rateubia
стрелки,소총병,strelki,socongbyeong
нефти,석유,nefti,seogyu
газа,대학교,gaza,daehaggyo
баня,바냐,banya,banya
уралвагонзавод,우랄바곤자보드,uralvagonzavod,uralbagonjabodeu
манежная,마네즈나야,manezhnaya,manejeunaya
группа,노볼리페츠크,gruppa,nobolripeceukeu
нлмк,스틸,nlmk,seutil
российскобелорусские,러시아벨라루스,rossiyskobelorusskie,reosiabelraruseu
культура,러시아의,kultura,reosiayi
порбажын,포르바진,porbazhyn,poreubajin
техснабэкспорт,테넥스,tehsnabeksport,tenegseu
сириус,아들레르,sirius,adeulrereu
коммерсантъ,콤메르산트,kommersant,kommereusanteu
адмиралтейские,아드미랄티,admiralteyskie,adeumiralti
верфи,조선소,verfi,joseonso
ушканьи,우시칸,ushkani,usikan
царское,차르스코예,carskoe,careuseukoye
село,셀로,selo,selro
косоворотка,루바슈카,kosovorotka,rubasyuka
татнефть,타트네프트,tatneft,tateunepeuteu
кубок,러시아,kubok,reosia
премьерлиги,프리미어리그컵,premerligi,peurimieorigeukeob
курчатовский,쿠르차토프,kurchatovskiy,kureucatopeu
институт,연구소,institut,yeonguso
спб,상트페테르부르크,spb,sangteupetereubureukeu
биржа,증권거래소,birzha,jeunggweongeoraeso
крестьянский,농민,krestyanskiy,nongmin
интернационал,인터내셔널,internacional,inteonaesyeoneol
российскоукраинские,러시아우크라이나,rossiyskoukrainskie,reosiaukeuraina
сабантуй,사반투이,sabantuy,sabantui
циолковский,치올콥스키,ciolkovskiy,ciolkobseuki
победа,포베다,pobeda,pobeda
полюс,폴리우스,polyus,polriuseu
омонимичные,도메인,omonimichnye,domein
домены,핵,domeny,haeg
национализм,국민주의,nacionalizm,gugminjuyi
ростех,로스텍,rosteh,roseuteg
монорельс,모노레일,monorels,monoreil
ленинский,러시아,leninskiy,reosia
коммунистический,연방,kommunisticheskiy,yeonbang
молодёжи,청년,molodyozhi,ceongnyeon
российской,공산주의자,rossiyskoy,gongsanjuyija
федерации,동맹,federacii,dongmaeng
транснефть,트랜스네프트,transneft,teuraenseunepeuteu
тазы,타즈족,tazy,tajeujog
владивостокский,블라디보스토크,vladivostokskiy,beulradiboseutokeu
трамвай,트램,tramvay,teuraem
ловушки,로브스키섬,lovushki,robeuseukiseom
музыка,러시아,muzyka,reosia
московская,모스크바,moskovskaya,moseukeuba
чечень,체첸섬,chechen,cecenseom
юрий,유리,yuriy,yuri
таватуй,타바투이호,tavatuy,tabatuiho
шелонская,셸론강,shelonskaya,syelrongang
всероссийская,전러시아,vserossiyskaya,jeonreosia
государственная,국립,gosudarstvennaya,gugrib
телевизионная,텔레비전,televizionnaya,telrebijeon
радиовещательная,라디오,radioveshchatelnaya,radio
компания,회사,kompaniya,hoesa
сенатская,원로원,senatskaya,weonroweon
бурханизм,부르칸교,burhanizm,bureukangyo
новгородский,노브고로드,novgorodskiy,nobeugorodeu
погром,학살,pogrom,hagsal
саха,국가,saha,gugga
восточносибирская,동시베리아,vostochnosibirskaya,dongsiberia
кумоманычский,쿠마마니치,kumomanychskiy,kumamanici
койлуото,코일루오토섬,koyluoto,koilruotoseom
аймак,아이막,aymak,aimag
российскобелорусская,러시아벨라루스,rossiyskobelorusskaya,reosiabelraruseu
правительство,모스크바의,pravitelstvo,moseukeubayi
российскосеверокорейские,러시아조선민주주의인민공화국,rossiyskoseverokoreyskie,reosiajoseonminjujuyiinmingonghwagug
сила,시베리아의,sila,siberiayi
сибири,힘,sibiri,him
лазурная,라주르나야만,lazurnaya,rajureunayaman
воздушнокосмической,항공우주,vozdushnokosmicheskoy,hanggonguju
обороны,방위군,oborony,bangwigun
русскоязычные,러시아어권,russkoyazychnye,reosiaeogweon
лаврентьевская,로렌시아,lavrentevskaya,rorensia
летопись,연대기,letopis,yeondaegi
осколки,오스콜키섬,oskolki,oseukolkiseom
москворецкий,모스크보레츠키,moskvoreckiy,moseukeuboreceuki
вертолёты,러시안,vertolyoty,reosian
горное,고르나에,gornoe,goreunae
екатеринбурга,문장,ekaterinburga,munjang
перми,문장,permi,munjang
демиховский,데미호보,demihovskiy,demihobo
машиностроительный,차량,mashinostroitelnyy,caryang
мосфильмовской,모스필무브스카야,mosfilmovskoy,moseupilmubeuseukaya
кашкулакская,카시쿨락스카야,kashkulakskaya,kasikulragseukaya
пещера,동굴,peshchera,donggul
коммунисты,러시아의,kommunisty,reosiayi
кочкильдино,코치킬디노,kochkildino,kocikildino
мексиканороссийские,러시아멕시코,meksikanorossiyskie,reosiamegsiko
новикомбанк,노비콤은행,novikombank,nobikomeunhaeng
новый,노비,novyy,nobi
диск,디스크,disk,diseukeu
ночные,밤의,nochnye,bamyi
волки,늑대들,volki,neugdaedeul
орловская,오를롭스카야,orlovskaya,oreulrobseukaya
осетинская,오세티야,osetinskaya,osetiya
отрада,오트라다,otrada,oteurada
паралимпийский,러시아,paralimpiyskiy,reosia
ягляярви,애글래호,yaglyayarvi,aegeulraeho
толвоярви,톨바호,tolvoyarvi,tolbaho
перевальное,페레발노예,perevalnoe,perebalnoye
перемышль,페레미실,peremyshl,peremisil
росгосстрах,로스고스스트라흐,rosgosstrah,roseugoseuseuteuraheu
социальный,사회,socialnyy,sahoe
российскоузбекистанские,러시아우즈베키스탄,rossiyskouzbekistanskie,reosiaujeubekiseutan
рейдово,레이다바,reydovo,reidaba
путина,궁전,putina,gungjeon
российское,러시아,rossiyskoe,reosia
социалистическое,사회주의,socialisticheskoe,sahoejuyi
движение,운동,dvizhenie,undong
российскоюжнокорейские,한러,rossiyskoyuzhnokoreyskie,hanreo
раздольное,라즈돌노예,razdolnoe,rajeudolnoye
музей,사진,muzey,sajin
фотографии,박물관,fotografii,bagmulgwan
крест,크로스,krest,keuroseu
славное,시베토로촌,slavnoe,sibetorocon
нижний,니즈니노브고로드,nizhniy,nijeuninobeugorodeu
новгород,스타디움,novgorod,seutadium
фрунзенская,프룬젠스카야,frunzenskaya,peurunjenseukaya
набережная,강변도로,naberezhnaya,gangbyeondoro
россети,로세티,rosseti,roseti
чёрный,흑돌고래,chyornyy,heugdolgorae
дельфин,교도소,delfin,gyodoso
мордовия,모르도비야,mordoviya,moreudobiya
орловскобрянская,브랸스크,orlovskobryanskaya,beuryanseukeu
постоянные,유엔,postoyannye,yuen
члены,안전,chleny,anjeon
совета,보장,soveta,bojang
безопасности,이사회,bezopasnosti,isahoe
оон,상임이사국,oon,sangimisagug
краскинское,크라스키노,kraskinskoe,keuraseukino
городище,토성,gorodishche,toseong
звезда,즈베즈다,zvezda,jeubejeuda
российскотаджикистанские,러시아타지키스탄,rossiyskotadzhikistanskie,reosiatajikiseutan
ютэйр,유테이르,yuteyr,yuteireu
карго,카고,kargo,kago
аврора,오로라,avrora,orora
сегодня,시보드냐,segodnya,sibodeunya
ирредентизм,민족통일주의,irredentizm,minjogtongiljuyi
российскоукраинская,러시아우크라이나,rossiyskoukrainskaya,reosiaukeuraina
война,전쟁,voyna,jeonjaeng
оккупация,크림반도,okkupaciya,keurimbando
крыма,점령,kryma,jeomryeong
ахмат,아크맛,ahmat,akeumas
тауэр,타워,tauer,taweo
челябинска,문장,chelyabinska,munjang
гайдаровский,가이다르,gaydarovskiy,gaidareu
форум,포럼,forum,poreom
центральное,중앙,centralnoe,jungang
кольцо,순환선,kolco,sunhwanseon
преследование,체첸의,presledovanie,cecenyi
лгбт,동성애자,lgbt,dongseongaeja
чечне,숙청,chechne,sugceong
эвенкийская,에벤크,evenkiyskaya,ebenkeu
мифология,신화,mifologiya,sinhwa
алиса,알리사,alisa,alrisa
новые,새로운,novye,saeroun
люди,사람들,lyudi,saramdeul
мужское,남자의,muzhskoe,namjayi
государство,국가,gosudarstvo,gugga
григорий,그리고리,grigoriy,geurigori
перельман,페렐만,perelman,perelman
фёдор,표도르,fyodor,pyodoreu
достоевский,도스토옙스키,dostoevskiy,doseutoyebseuki
андрей,안드레이,andrey,andeurei
звягинцев,즈뱌긴체프,zvyagincev,jeubyagincepeu
валерий,발레리,valeriy,balreri
быковский,비콥스키,bykovskiy,bikobseuki
сергей,세르게이,sergey,sereugei
кирдяпкин,키르댭킨,kirdyapkin,kireudyabkin
иван,이반,ivan,iban
ухов,우호프,uhov,uhopeu
павел,파벨,pavel,pabel
попович,포포비치,popovich,popobici
мандреко,만드레코,mandreko,mandeureko
святослав,스뱌토슬라프,svyatoslav,seubyatoseulrapeu
рихтер,리흐테르,rihter,riheutereu
расул,라술,rasul,rasul
гамзатов,감자토프,gamzatov,gamjatopeu
светлана,스베틀라나,svetlana,seubeteulrana
болдыкова,볼디코바,boldykova,boldikoba
борис,보리스,boris,boriseu
ельцин,옐친,elcin,yelcin
гергиев,게르기예프,gergiev,gereugiyepeu
родион,로디온,rodion,rodion
щедрин,슈체드린,shchedrin,syucedeurin
наталья,나탈리야,natalya,natalriya
антюх,안티유흐,antyuh,antiyuheu
леонтьев,레온티에프,leontev,reontiepeu
лебедев,레베데프,lebedev,rebedepeu
виктор,빅토르,viktor,bigtoreu
ан,안,an,an
евгений,예브게니,evgeniy,yebeugeni
касперский,카스퍼스키,kasperskiy,kaseupeoseuki
герасимов,게라시모프,gerasimov,gerasimopeu
анна,안나,anna,anna
нетребко,네트렙코,netrebko,neteurebko
стивен,스티븐,stiven,seutibeun
сигал,시걸,sigal,sigeol
эльвира,옐비라,elvira,yelbira
набиуллина,나비울리나,nabiullina,nabiulrina
михаил,미하일,mihail,mihail
ботвинов,보트비노프,botvinov,boteubinopeu
даниэль,다니엘,daniel,daniel
фридман,프리드만,fridman,peurideuman
александр,알렉산드르,aleksandr,alregsandeureu
кокорин,코코린,kokorin,kokorin
белоглазов,벨로글라조프,beloglazov,belrogeulrajopeu
солженицын,솔제니친,solzhenicyn,soljenicin
николай,니콜라이,nikolay,nikolrai
басов,바소프,basov,basopeu
алла,알라,alla,alra
пугачёва,푸가초바,pugachyova,pugacoba
владимир,블라디미르,vladimir,beulradimireu
крамник,크람니크,kramnik,keuramnikeu
акунин,아쿠닌,akunin,akunin
галина,갈리나,galina,galrina
зыбина,지비나,zybina,jibina
дарья,다리야,darya,dariya
пищальникова,피샬니코바,pishchalnikova,pisyalnikoba
елена,옐레나,elena,yelrena
исинбаева,이신바예바,isinbaeva,isinbayeba
чикатило,치카틸로,chikatilo,cikatilro
татьяна,타티야나,tatyana,tatiyana
лысенко,리센코,lysenko,risenko
валентина,발렌티나,valentina,balrentina
терешкова,테레시코바,tereshkova,teresikoba
политковская,폴릿콥스카야,politkovskaya,polriskobseukaya
олег,올레크,oleg,olrekeu
попов,포포프,popov,popopeu
илья,일리야,ilya,ilriya
брызгалов,브리즈갈로프,bryzgalov,beurijeugalropeu
дмитрий,드미트리,dmitriy,deumiteuri
пучков,푸치코프,puchkov,pucikopeu
пархоменко,파르호멘코,parhomenko,pareuhomenko
дементьева,데멘티에바,dementeva,dementieba
евгения,예브게니야,evgeniya,yebeugeniya
манюкова,마뉴코바,manyukova,manyukoba
ишаев,이샤예프,ishaev,isyayepeu
бабиков,바비코프,babikov,babikopeu
мария,마리야,mariya,mariya
шарапова,샤라포바,sharapova,syarapoba
егор,예고르,egor,yegoreu
гайдар,가이다르,gaydar,gaidareu
дима,디마,dima,dima
билан,빌란,bilan,bilran
ксения,크세니야,kseniya,keuseniya
раппопорт,라포포트,rappoport,rapopoteu
каниськина,카니시키나,kaniskina,kanisikina
чернова,체르노바,chernova,cereunoba
алексей,알렉세이,aleksey,alregsei
муравлёв,무라블료프,muravlyov,murabeulryopeu
дыбо,디보,dybo,dibo
виталий,비탈리,vitaliy,bitalri
гинзбург,긴즈부르크,ginzburg,ginjeubureukeu
