マツモトユキヒロ,松本行弘,matsumotoyukihiro
サヤコウ,沙弥香,sayakou
ユリア,由里亚,yuria
ヒロイエ,广家,hiroie
スガヌマ,菅沼,suganuma
イエサト,家达,iesato
ヨネザワ,米泽,yonezawa
シツキ,诗月,shitsuki
マサトミ,昌福,masatomi
ヨワラ,榎原,yowara
オクダ,奥田,okuda
ミンセイ,民生,minsei
ナルフ,成步,narufu
クマキ,熊木,kumaki
アンリ,杏里,anri
クニ,久迩,kuni
ミヤクニヒコオウ,宫邦彦王,miyakunihikoou
ロハン,露伴,rohan
タダスケ,忠相,tadasuke
ウエマツ,上松,uematsu
ハンヤスシ,范康,hanyasushi
ナルサダ,成贞,narusada
オシビ,押尾,oshibi
コータロー,光太郎,kōtarō
ツグトモ,继友,tsugutomo
キトモコ,木伦子,kitomoko
タニガキ,谷垣,tanigaki
セトナ,雪可奈,setona
フジサワ,藤泽,fujisawa
カワミヤタルヒトシンノウ,川宫炽仁亲王,kawamiyataruhitoshinnou
トクガキ,德垣,tokugaki
スエヒロ,末广,suehiro
チョクシゲル,直茂,chokushigeru
オオモリ,大森,oomori
ミナミトモ,南朋,minamitomo
ジュンヤ,纯矢,junya
セイムネ,政宗,seimune
チョウケイ,长庆,choukei
アキシノ,秋筿,akishino
ミヤブンジンシンノウ,宫文仁亲王,miyabunjinshinnou
ノフジミツギ,之富士贡,nofujimitsugi
ニンコウ,仁孝,ninkou
クニナカ,国仲,kuninaka
ノアキコ,野晶子,noakiko
ユリコ,由里子,yuriko
ハルノ,春野,haruno
コトブキミレイ,寿美礼,kotobukimirei
アイブ,相武,aibu
シャキ,纱季,shaki
センダイ,仙台,sendai
イズミマサシ,泉政,izumimasashi
ホンミョウ,本名,honmyou
イエミ,井映见,iemi
ワタルテル,亘辉,wataruteru
カタセ,片濑,katase
キクコ,喜久子,kikuko
ツウ,通,tsuu
メグミリカ,惠梨香,megumirika
クスシ,药师,kusushi
マルヒロコ,丸博子,maruhiroko
イタノ,板野,itano
ミヤサダアイシンノウ,宫贞爱亲王,miyasadaaishinnou
ヨシアキラ,义诠,yoshiakira
ヨシモチ,义持,yoshimochi
ミナミダイラ,南平,minamidaira
マタヨシ,又吉,matayoshi
イエス,耶稣,iesu
シャサカエ,纱荣,shasakae
セイダイ,正大,seidai
モリノ,森野,morino
イケワキ,池脇,ikewaki
コウネン,光年,kounen
アラシダイスケ,岚大介,arashidaisuke
タイチ,大知,taichi
ノカオル,野馨,nokaoru
ウジナオ,氏直,ujinao
ダイドウ,大道,daidou
ニシキオリ,锦织,nishikiori
キマレ,木希,kimare
ハクマコト,白真,hakumakoto
リミ,里美,rimi
ヒガミ,樋上,higami
イタル,至,itaru
テルマ,黛玛,teruma
イワサカ,岩坂,iwasaka
タニトモカイ,谷友介,tanitomokai
コクブ,国分,kokubu
キリイ,桐井,kirii
チエコ,智荣子,chieko
コトエ,琴绘,kotoe
ウジイエ,氏家,ujiie
ヒロヒコ,裕彦,hirohiko
モトナリ,元就,motonari
ヤスナガ,安永,yasunaga
サトタロウ,聪太郎,satotarou
キタザワ,北泽,kitazawa
トシミ,俊美,toshimi
スゲノヤ,菅谷,sugenoya
ナシイサゴ,梨沙子,nashiisago
ハルケイ,春佳,harukei
タカモト,高本,takamoto
イコマ,生驹,ikoma
シンタダシ,亲正,shintadashi
チョウサカリ,长盛,chousakari
オオハラ,大原,oohara
マエノ,前野,maeno
チョウヤスシ,长康,chouyasushi
ユメワレ,梦吾,yumeware
タゾウ,太藏,tazou
アホ,阿保,aho
フキコシ,吹越,fukikoshi
ヨシナガ,吉永,yoshinaga
イナモト,稻本,inamoto
コウイクコ,香生子,kouikuko
オオシオ,大盐,ooshio
エミフク,笑福,emifuku
チンツルビン,亭鹤瓶,chintsurubin
ハラミキ,原干,haramiki
ホウライ,宝来,hourai
ヒラシマ,平嶋,hirashima
コイデ,小出,koide
メグミカイ,惠介,megumikai
ハクドオリ,博通,hakudoori
リョータ,良田,ryōta
コヤス,子安,koyasu
カツラ,桂,katsura
マツユキ,松雪,matsuyuki
キヨヤス,清康,kiyoyasu
シンボク,神木,shinboku
タカユキカイ,隆之介,takayukikai
ミヤマエ,宫前,miyamae
カゴ,加护,kago
アヨ,亚依,ayo
イチキ,市来,ichiki
ミツヒロ,光弘,mitsuhiro
エンジュヤナギ,槐柳,enjuyanagi
キタオカ,北冈,kitaoka
ヤナダ,梁田,yanada
ササヌマ,笹沼,sasanuma
ジツキュウ,义贤,jitsukyuu
オモシカ,重然,omoshika
タチバナヨシミ,橘嘉,tachibanayoshimi
タサキ,田崎,tasaki
マサズミ,正纯,masazumi
ユウイサゴ,有沙,yuuisago
ソラジョウ,空条,sorajou
ウケタマワタロウ,承太郎,uketamawatarou
フユヤスシ,冬康,fuyuyasushi
サキタイラ,咲平,sakitaira
ジツカタ,实方,jitsukata
イケマツ,池松,ikematsu
タケシアキラ,壮亮,takeshiakira
アシナ,芦名,ashina
サカエクラ,荣仓,sakaekura
ヒロノブ,博信,hironobu
サワダン,泽男,sawadan
マキブン,槙文,makibun
コウレイ,孝灵,kourei
タカヤス,孝安,takayasu
フクブ,副武,fukubu
クロヤナギ,黑柳,kuroyanagi
テツコ,彻子,tetsuko
シュ,朱,shu
シドウ,狮童,shidou
フクニシ,福西,fukunishi
ヤマオカ,山冈,yamaoka
テッシュウ,铁舟,tesshuu
セキネ,关根,sekine
ハラマユ,原茉由,haramayu
メイチ,明智,meichi
ミツヒデ,光秀,mitsuhide
ツキオカ,月冈,tsukioka
タチバナイツ,橘逸,tachibanaitsu
ゼイ,势,zei
ジュンヨシ,纯义,junyoshi
ガヒガシ,贺东,gahigashi
ミチコウ,道孝,michikou
アンネイ,安宁,annei
アカオ,赤尾,akao
キビ,吉备,kibi
マビ,真备,mabi
テンアキラ,天璋,tenakira
シグレ,时雨,shigure
アキラジュ,晃树,akiraju
マツザワ,松泽,matsuzawa
ニントク,仁德,nintoku
トヨカズ,丰和,toyokazu
ヒカリカク,光格,hikarikaku
キノヌキ,纪贯,kinonuki
ノギ,乃木,nogi
マレスケ,希典,maresuke
ノガミ,野上,nogami
ヤヨコ,弥生子,yayoko
シンノウヒノブコ,亲王妃信子,shinnouhinobuko
タクボク,啄木,takuboku
リン,伦,rin
ツルミ,鹤见,tsurumi
タダカツ,忠胜,tadakatsu
クニサダ,国贞,kunisada
モモゾノ,桃园,momozono
ノブヒト,宣仁,nobuhito
シンノウヒキクコ,亲王妃喜久子,shinnouhikikuko
ナンリ,南里,nanri
ユウカ,侑香,yuuka
カキノ,垣野,kakino
ウチナリビ,内成美,uchinaribi
カンスケ,勘助,kansuke
トミサク,富作,tomisaku
トクラ,户仓,tokura
ミクリヤ,御厨,mikuriya
ケイタマ,启珠,keitama
キミヨシ,公义,kimiyoshi
デーモン,小暮,dēmon
カッカ,阁下,kakka
イエミツ,家光,iemitsu
テンジ,天智,tenji
ヒデタダ,秀忠,hidetada
サクラマチ,樱町,sakuramachi
コウモモ,后桃,koumomo
ツヨシアキラ,刚昌,tsuyoshiakira
ナヅカ,名冢,nadzuka
ヒカミ,冰上,hikami
イズミキョウ,泉镜,izumikyou
チュウオ,中御,chuuo
トウコク,透谷,toukoku
トモヒサ,智久,tomohisa
ヒデヨリ,秀赖,hideyori
ヨシシゲ,宗麟,yoshishige
エバラ,江原,ebara
サルヒ,猿飞,saruhi
サスケ,佐助,sasuke
ヒカリタスク,光祐,hikaritasuku
ゼンヒサ,前久,zenhisa
チュウツネ,忠恒,chuutsune
スケマサ,亮政,sukemasa
ツナヨシ,纲吉,tsunayoshi
カズオット,加寿夫,kazuotto
ハシダ,桥田,hashida
コトブキカコ,寿贺子,kotobukikako
ノノ,野野,nono
ムラヨシカズ,村芳和,murayoshikazu
マサアキ,昌明,masaaki
ホリタカシ,堀孝,horitakashi
フクナガ,福永,fukunaga
シデヒトシ,垂仁,shidehitoshi
カンム,桓武,kanmu
シンヤスシ,伸康,shinyasushi
ミチヤスシ,道泰,michiyasushi
ヒロチュウ,广忠,hirochuu
ブリョウキチ,部亮吉,buryoukichi
タケザキ,竹崎,takezaki
キチョウ,季长,kichou
リオ,莉绪,rio
タダヨ,忠世,tadayo
ミツオカ,光冈,mitsuoka
タスクケイ,佑圭,tasukukei
マサオカ,正冈,masaoka
シキ,子规,shiki
ゼンコウ,善幸,zenkou
コイソ,小矶,koiso
クニアキ,国昭,kuniaki
アサザトヤスシ,麻里安,asazatoyasushi
マコトヤ,真矢,makotoya
コトブキヒロシ,寿洋,kotobukihiroshi
ハタワ,将和,hatawa
サキガケエビス,魁夷,sakigakeebisu
キシマコト,岸诚,kishimakoto
ニシモト,西本,nishimoto
ヤスマゴ,安孙,yasumago
ロカ,芦花,roka
モトケイ,基经,motokei
キヤマ,木山,kiyama
タキタ,田北,takita
オキ,雄气,oki
トモトウト,友贵,tomotouto
ダイラ,大良,daira
ミナミコ,美波子,minamiko
ダイヨコ,大横,daiyoko
タツトム,田勉,tatsutomu
ヨシミヨウ,嘉洋,yoshimiyou
サルマル,猿丸,sarumaru
タイフ,大夫,taifu
ヨシア,美亚,yoshia
カンザキ,神崎,kanzaki
ハタシン,将臣,hatashin
マルフジ,丸藤,marufuji
セイドウ,正道,seidou
カイフ,海部,kaifu
トシキ,俊树,toshiki
コウアキラ,高明,kouakira
ソウタスク,宗佑,soutasuku
キシシン,岸信,kishishin
オオヒラ,大平,oohira
フミマロ,文麿,fumimaro
ニシヶタニ,西谷,nishiヶtani
ナカエ,中江,nakae
トウジュ,藤树,touju
ヒジリヤマ,圣山,hijiriyama
マドカリョウ,圆了,madokaryou
オクノ,奥野,okuno
ミチフウ,道风,michifuu
アシダ,芦田,ashida
コレキヨ,是清,korekiyo
タキホン,泷本,takihon
フジコ,富士子,fujiko
ハクシュウ,白秋,hakushuu
イワノ,磐之,iwano
ヒメイノチ,媛命,himeinochi
ロミオ,罗密欧,romio
ケイミヤツコ,启造,keimiyatsuko
ホリベ,堀部,horibe
タケイサオ,武庸,takeisao
アキラキョウ,晃教,akirakyou
スネオット,小夫,suneotto
カツナリ,胜成,katsunari
アカソ,赤祖,akaso
サトヤ,里谷,satoya
タエ,多英,tae
ナルセイ,成政,narusei
キヤス,喜安,kiyasu
トシナガ,利长,toshinaga
タツノ,辰野,tatsuno
キンゴ,金吾,kingo
サクゾウ,作造,sakuzou
カツラシゲル,桂秀,katsurashigeru
イソヤマ,矶山,isoyama
トクロウ,得郎,tokurou
テルエツ,辉悦,teruetsu
アツ,笃,atsu
スグエモン,直右卫门,suguemon
タニザキ,谷崎,tanizaki
ナルツトム,成务,narutsutomu
コウタイラ,航平,koutaira
コウトリ,后鸟,koutori
ハネテンノウ,羽天皇,hanetennou
コレワタル,之弥,korewataru
サトタチ,敏达,satotachi
アントク,安德,antoku
サガ,嵯峨,saga
ヤスシトキ,泰时,yasushitoki
クラキチ,库吉,kurakichi
シモツキ,霜月,shimotsuki
マツカゼ,松风,matsukaze
ハナサイ,花菜,hanasai
ヒデノブ,秀信,hidenobu
ジュントモ,纯友,juntomo
チノ,茅野,chino
アイコロモ,爱衣,aikoromo
コウアン,洪庵,kouan
イソザキ,矶崎,isozaki
ボウベンケイ,坊辨庆,boubenkei
カズツキ,和月,kazutsuki
シゲタダ,重忠,shigetada
ヨネ,与子,yone
クロイ,黑井,kuroi
ユウヘイ,雄平,yuuhei
リュウコ,龙子,ryuuko
シラキ,素木,shiraki
アシヘイ,苇平,ashihei
コウミズ,后水,koumizu
オテンノウ,尾天皇,otennou
タイホウ,大鹏,taihou
ビスイ,美水,bisui
カガミ,镜,kagami
ヨシタカシ,吉宗,yoshitakashi
ダザイ,太宰,dazai
クニヨシ,国芳,kuniyoshi
ユウフトシ,祐太,yuufutoshi
サワグチ,泽口,sawaguchi
ヤスキヨ,保清,yasukiyo
イワダレ,岩垂,iwadare
ムラモト,村本,muramoto
センモモ,仙桃,senmomo
アリミチ,有道,arimichi
アカヒコ,赤彦,akahiko
キリタニ,桐谷,kiritani
ミレイ,美玲,mirei
マツナカ,松中,matsunaka
ノブヒコ,信彦,nobuhiko
エキ,益,eki
ジョウマ,钦可,jouma
セイユタカ,圣,seiyutaka
ヨシシン,由伸,yoshishin
オリド,折户,orido
ヒサヤ,久弥,hisaya
キヨマサ,清正,kiyomasa
タニシン,谷真,tanishin
カタギリ,片桐,katagiri
アイザワ,相泽,aizawa
イワマツ,松信,iwamatsu
オウシン,应神,oushin
コウシロ,后白,koushiro
ガブモトチカ,我部元亲,gabumotochika
シモダ,下田,shimoda
シシド,宍户,shishido
ハラミチダイ,原道大,haramichidai
イソオ,矶雄,isoo
シンゼン,神前,shinzen
アカツキ,晓,akatsuki
キヨシキ,清木,kiyoshiki
バシュンスケ,场俊介,bashunsuke
エビハラ,蛯原,ebihara
ユウリ,友里,yuuri
オクシン,奥真,okushin
ナミ,奈美,nami
オオヤケニン,公任,ooyakenin
サトシハナ,智花,satoshihana
タカヤナギ,高柳,takayanagi
ヒデタカ,秀隆,hidetaka
ヤナギラク,柳乐,yanagiraku
ユウワタル,优弥,yuuwataru
ノツ,野津,notsu
ミチツラ,道贯,michitsura
ミブ,壬生,mibu
タケチアサリョ,武智麻吕,takechiasaryo
マサクニ,昌邦,masakuni
ジンナイ,阵内,jinnai
デワ,出羽,dewa
シゲトオ,重远,shigetoo
タカシヒトシ,崇仁,takashihitoshi
ヒラキョウ,平教,hirakyou
ユウミ,夕实,yuumi
イシバ,石破,ishiba
オトシ,尾慧,otoshi
シンヤ,慎也,shinya
タニケイ,谷佳,tanikei
ビミョウ,美妙,bimyou
ナオシゲル,尚成,naoshigeru
チバナ,知花,chibana
アサシン,朝信,asashin
ソウシゲル,宗茂,soushigeru
イケザワ,池泽,ikezawa
ヒデナガ,秀长,hidenaga
ラン,兰,ran
マゴ,马子,mago
トシ,慧,toshi
カゲトラ,景虎,kagetora
ヨネナガ,米长,yonenaga
ヨコミゾ,横沟,yokomizo
オオヤケ,公,ooyake
タンバ,丹波,tanba
タケソウ,武双,takesou
ヤマセイシ,山正士,yamaseishi
シュミ,朱未,shumi
ユザキ,汤崎,yuzaki
イエツナ,家纲,ietsuna
カ,可,ka
ホチュウサ,保忠佐,hochuusa
カワカツ,川胜,kawakatsu
ヘイタ,平太,heita
サトシハテ,谕果,satoshihate
モトノブ,元信,motonobu
テツザン,铁山,tetsuzan
ニトウ,仁藤,nitou
モエノ,萌乃,moeno
ユウワレ,优吾,yuuware
オオモト,大本,oomoto
ハナミキシ,花干士,hanamikishi
テイギ,定义,teigi
ダイシ,大士,daishi
サンヤミギエモン,山谷右卫门,sanyamigiemon
スギウチ,杉内,sugiuchi
トチヒガシ,栃东,tochihigashi
ダイヒロシ,大裕,daihiroshi
キタオ,双羽,kitao
ブセイライ,部生来,buseirai
トヤマ,外山,toyama
イワアキラ,岩明,iwaakira
クワガイ,桑谷,kuwagai
ナツコ,夏子,natsuko
ヒロハシ,广桥,hirohashi
チュウコウ,中孝,chuukou
ヨシザキ,吉崎,yoshizaki
カンノン,观音,kannon
ヒダ,飞田,hida
テンオトコ,展男,tenotoko
シガノスケ,志贺之助,shiganosuke
フタバ,双叶,futaba
ヤマサダツギ,山定次,yamasadatsugi
タニカゼ,谷风,tanikaze
カジノスケ,梶之助,kajinosuke
サキガケドウ,魁道,sakigakedou
イエシゲ,家重,ieshige
セイハル,正春,seiharu
ケンフトシサエモン,权太左卫门,kenfutoshisaemon
ヒロシサン,广山,hiroshisan
モチ,望,mochi
テンジク,天竺,tenjiku
トクベエ,德兵卫,tokubee
ツルタ,鹤田,tsuruta
ユウヨシコ,悠美子,yuuyoshiko
クニエ,邦卫,kunie
ショウゾウ,章造,shouzou
リュウユキ,龙雪,ryuuyuki
アズミ,杏美,azumi
スクネ,宿祢,sukune
スオウ,周防,suou
キンサクラ,琴樱,kinsakura
ナカウチ,中内,nakauchi
ガカセイ,贺家政,gakasei
チカマツ,近松,chikamatsu
モンザエモン,门左卫门,monzaemon
ノブトラ,信虎,nobutora
ヤサク,矢作,yasaku
シャユウリ,纱友里,shayuuri
ゲヤ,下野,geya
アカツキツカサ,晓司,akatsukitsukasa
ワキサカ,脇坂,wakisaka
ハルノリ,治宪,harunori
ミツクニ,光圀,mitsukuni
サワカタ,泽潟,sawakata
フシ,节,fushi
シュンシュウ,俊秀,shunshuu
イシガミ,石神,ishigami
リョウクン,良训,ryoukun
ジュンニン,淳仁,junnin
ハンタダシ,反正,hantadashi
メイテンスメラギ,明天皇,meitensumeragi
マキグチ,牧口,makiguchi
トモリナ,友理奈,tomorina
ストウ,须藤,sutou
マサイサオ,雅功,masaisao
シマキヨシ,岛清,shimakiyoshi
アキラシ,瑛士,akirashi
セイソク,正则,seisoku
ジョウキヨシ,城圣,joukiyoshi
カワヨシミチ,川好道,kawayoshimichi
ヤマナシ,山梨,yamanashi
ハンミヤツコ,半造,hanmiyatsuko
ジョウアキラ,城彰,jouakira
サトエイ,里英,satoei
ジョンマン,约翰万,jonman
タケノ,竹野,takeno
ウチユタカ,内丰,uchiyutaka
ノリヒロ,纪洋,norihiro
ジッソウ,实相,jissou
テラアキオ,寺昭雄,teraakio
ローサ,罗莎,rōsa
オクハナ,奥华,okuhana
ミズヤマ,半平太,mizuyama
ショウヒサ,小久,shouhisa
ホユウキ,保裕纪,hoyuuki
マワレ,真吾,maware
ヒサセイ,久政,hisasei
セキザワ,关泽,sekizawa
ヨウジ,洋治,youji
クロサキ,黑崎,kurosaki
マオト,真音,maoto
ホウシャク,宝积,houshaku
モリススム,森进,morisusumu
ジョー,山,jō
セン,潜,sen
サンセイ,山西,sansei
トウトヒロシ,尊裕,toutohiroshi
ケンツヨシ,宪刚,kentsuyoshi
イサムイツキ,勇树,isamuitsuki
コウゲン,高原,kougen
チョクヤスシ,直泰,chokuyasushi
マツクラ,松仓,matsukura
シグチ,市口,shiguchi
マモリタカシ,守隆,mamoritakashi
ムロウ,室生,murou
サイセイ,犀星,saisei
フ,步,fu
ナツノゾミ,夏希,natsunozomi
ハンタロウ,半太郎,hantarou
トタニ,户谷,totani
ミンヤス,民安,minyasu
ベツヤク,别役,betsuyaku
カワジュンタイラ,川纯平,kawajuntaira
キンノワカ,初代琴之若,kinnowaka
ツジイ,辻井,tsujii
ヒロシショウ,裕翔,hiroshishou
テイメイ,贞明,teimei
ロフウ,露风,rofuu
ヒカリキョウ,光教,hikarikyou
ミツヨシ,光由,mitsuyoshi
オニガシラ,鬼头,onigashira
チャノ,茶野,chano
クリモト,栗本,kurimoto
アキサクラコ,秋樱子,akisakurako
ツヅリショク,缀色,tsudzurishoku
ヤマデラ,山寺,yamadera
ハラシャ,原纱,harasha
エイキ,荣喜,eiki
ノチャコ,野茶子,nochako
リョウタロウ,辽太郎,ryoutarou
リョウイサム,料勇,ryouisamu
トシハル,利春,toshiharu
タカシシン,崇神,takashishin
ワガマゴ,我孙,wagamago
コトモミ,子智美,kotomomi
モリトキ,守时,moritoki
マツドノ,松殿,matsudono
モトボウ,基房,motobou
サダアキラ,贞显,sadaakira
シュウゲツ,秋月,shuugetsu
タネチョウ,种长,tanechou
タコウ,高向,takou
ゲンリ,玄理,genri
イヌワラベ,犬童,inuwarabe
タヤマ,田山,tayama
カタイ,花袋,katai
オキアユ,置鲇,okiayu
カワキョウコ,川京子,kawakyouko
セキシュン,关俊,sekishun
ワタルココロザシ,信行,watarukokorozashi
フヒサ,谱久,fuhisa
ムラキヨシ,村圣,murakiyoshi
サヤシ,鞘师,sayashi
サトホ,里保,satoho
コウオン,香音,kouon
モコミチ,直道,mokomichi
ガショウショウ,贺正胜,gashoushou
ヨシオコシ,吉起,yoshiokoshi
フクマン,福万,fukuman
イジュ,伊集,iju
インマツジ,院松治,inmatsuji
ナチ,那智,nachi
ハルタロウ,春太郎,harutarou
セイツヨシ,正刚,seitsuyoshi
ミズウミツキ,湖月,mizuumitsuki
タマダ,玉田,tamada
イエサンマ,家秋刀鱼,iesanma
ジュンノスケ,淳之介,junnosuke
ウミニ,海荷,umini
テラタカノブ,寺隆信,teratakanobu
カラサワ,唐泽,karasawa
コトブキアキラ,寿明,kotobukiakira
サワラ,早良,sawara
ヨシセ,吉濑,yoshise
ジュウイ,佐大夫,juui
エビ,海老,ebi
カワカネタケ,川兼武,kawakanetake
イタルヒサシ,达央,itaruhisashi
トキコ,登纪子,tokiko
アキラヘイ,晃兵,akirahei
クニトモ,国友,kunitomo
イワサ,岩佐,iwasa
スミトモ,住友,sumitomo
セイユウ,政友,seiyuu
タネザネ,种实,tanezane
ノブカネ,信包,nobukane
ムタ,牟田,muta
トモカ,智香,tomoka
トシイエ,利家,toshiie
トミオ,豊雄,tomio
ケイオヤ,敬亲,keioya
キートン,山田,kīton
コウマレ,孝希,koumare
ウミエラ,海伟,umiera
マス,升,masu
タケザイ,竹财,takezai
テルユキスケ,辉之助,teruyukisuke
イクタ,生田,ikuta
コロモリナ,衣梨奈,koromorina
シダ,志田,shida
ミライ,未来,mirai
ヒロシタカ,宽贵,hiroshitaka
ケンユウ,贤雄,kenyuu
ナカグマ,中熊,nakaguma
ナオマサ,直正,naomasa
ヒライケ,平池,hiraike
カワユウ,川悠,kawayuu
セキタカ,关贵,sekitaka
ヒロシコウ,纩孝,hiroshikou
トキオカ,时冈,tokioka
クニヒコ,邦彦,kunihiko
マサチカ,正亲,masachika
イシノ,石野,ishino
サイカ,才加,saika
リョソウ,吕宋,ryosou
スケザエモン,助左卫门,sukezaemon
シノブシゲル,忍成,shinobushigeru
シュウゴ,修吾,shuugo
リユ,梨由,riyu
ヤブヒロシ,薮宏,yabuhiroshi
ホミヤツコ,保造,homiyatsuko
ミゾハタ,沟端,mizohata
ジュンタイラ,淳平,juntaira
ツキノ,月野,tsukino
アオエ,青江,aoe
クボタ,洼田,kubota
ホタル,萤,hotaru
マユコ,麻由子,mayuko
ヌサハラ,币原,nusahara
キジュウロウ,喜重郎,kijuurou
イワナミ,岩波,iwanami
フクオカ,福冈,fukuoka
ワカツキ,若槻,wakatsuki
テンム,天武,tenmu
ナカゴメ,中込,nakagome
ナガヤ,长屋,nagaya
ワカノ,若之,wakano
サトニン,里忍,satonin
ツネノハナ,常乃花,tsunenohana
カツアキ,胜昭,katsuaki
コニシキ,小锦,konishiki
クニヤス,国康,kuniyasu
タケレツ,武烈,takeretsu
チュウネガイ,中愿,chuunegai
テラユウキチ,寺雄吉,terayuukichi
クロイシ,黑石,kuroishi
ヒラシゲ,平繁,hirashige
キミコ,贵美子,kimiko
アブツ,阿佛,abutsu
アマ,尼,ama
カンタロウ,贯太郎,kantarou
イエサダ,家定,iesada
タカマサ,隆正,takamasa
コトバシ,词史,kotobashi
マロアカ,麿赤,maroaka
テルヒコ,辉彦,teruhiko
ヒラモト,平本,hiramoto
シュンフトシ,俊太,shunfutoshi
セヌマ,濑沼,senuma
トモヨ,朋世,tomoyo
トモダ,友田,tomoda
ムロイ,室井,muroi
ケイエツ,庆越,keietsu
シマオ,岛尾,shimao
ウジノリ,氏规,ujinori
フジキ,藤木,fujiki
アサユウコ,麻佑子,asayuuko
ハナコ,花子,hanako
シマアデミール,洲,shimaademīru
イイオ,饭尾,iio
ヒカリケイ,光启,hikarikei
タカシココロザシ,充志,takashikokorozashi
セイヒロシ,正纮,seihiroshi
ヤマキョウ,山桥,yamakyou
アク,阿久,aku
リキヤ,力也,rikiya
タケタチ,竹达,taketachi
イソダ,𥐟,isoda
ヨシワ,田由和,yoshiwa
タキザワ,泷泽,takizawa
イナダ,稻田,inada
ノテッカン,野铁干,notekkan
ユユコ,悠由子,yuyuko
ヒデミ,秀实,hidemi
ブンキチ,文吉,bunkichi
ハヤシイタル,林达,hayashiitaru
オギジョウ,荻上,ogijou
リョウセイ,辽生,ryousei
タカミツ,贵光,takamitsu
オオイワ,大岩,ooiwa
トキサダトモ,斋贞友,tokisadatomo
トラシゲル,信友,torashigeru
コケグチ,苔口,kokeguchi
キタジマ,北嶋,kitajima
オンナコウ,女光,onnakou
リョウチ,令治,ryouchi
タジ,田儿,taji
ミカコ,未可子,mikako
ツルリュウ,鹤龙,tsururyuu
ヒサ,久,hisa
シュンペイ,俊平,shunpei
シゲヨシ,重良,shigeyoshi
カジノ,梶野,kajino
マスオ,满寿夫,masuo
エリサイ,惠里菜,erisai
ガクガ,额贺,gakuga
フクシロウ,福志郎,fukushirou
フジタカ,藤孝,fujitaka
アヤセ,绫濑,ayase
チカオ,周夫,chikao
ミルク,牛奶,miruku
アキラモリ,昌盛,akiramori
ヤマリュウタ,山龙太,yamaryuuta
イサムノボル,勇登,isamunoboru
サカオ,荣男,sakao
タイラススム,平将,tairasusumu
モン,门,mon
リ,理,ri
ナバ,名波,naba
キノトモ,纪友,kinotomo
ノリ,则,nori
モウチ,马内,mouchi
サムライ,侍,samurai
ヤマガ,山鹿,yamaga
キタヅメ,北爪,kitadzume
モリサキ,森咲,morisaki
ヒロミチ,宽道,hiromichi
キョウモト,京本,kyoumoto
ジンゴ,仁后,jingo
マヤコ,真耶子,mayako
キョウジ,恭治,kyouji
キンコウ,琴光,kinkou
キケイジ,喜启司,kikeiji
ヒサコウ,久孝,hisakou
コウウララ,高丽,kouurara
ヤスマ,保马,yasuma
タクミコ,匠子,takumiko
ショウシキ,小式,shoushiki
ブナイシ,部内侍,bunaishi
オオセ,大濑,oose
チエ,智惠,chie
オカカズ,冈和,okakazu
ユグチ,汤口,yuguchi
エイゾウ,荣藏,eizou
オキウラ,冲浦,okiura
オキタカシ,冲宗,okitakashi
トモジ,友时,tomoji
ナンキチ,南吉,nankichi
ラクノ,乐之,rakuno
リョヒ,吕比,ryohi
ウザワ,宇泽,uzawa
ディーン,狄恩,dīn
アツリョウ,笃良,atsuryou
シンレン,信廉,shinren
マサマサル,昌浩,masamasaru
テラワキ,寺脇,terawaki
ヤスフミ,康文,yasufumi
シノザキ,筿崎,shinozaki
チカラ,力,chikara
ツネ,常,tsune
アガツマ,上妻,agatsuma
イキチ,伊吉,ikichi
バンジョウ,万丈,banjou
ケンコウジ,坚幸司,kenkouji
ヤマワキ,山脇,yamawaki
アサヤスシ,朝康,asayasushi
カジヤ,梶谷,kajiya
ムナカタ,栋方,munakata
シコウ,志功,shikou
モリスエ,森末,morisue
リンサトシ,伦敏,rinsatoshi
カブラキ,镝木,kaburaki
キヨカタ,清方,kiyokata
ジャクエモン,雀右卫门,jakuemon
ウメジ,梅次,umeji
フジシロ,藤代,fujishiro
シンヨ,伸世,shinyo
シュンタロウ,舜太郎,shuntarou
キショウ,木翔,kishou
エイロウ,英朗,eirou
ハナブサ,花房,hanabusa
ヒノデココロザシ,日出志,hinodekokorozashi
ナオホン,犹本,naohon
ハラヒロユキ,原博幸,harahiroyuki
シュンエイ,俊英,shunei
ハヤシトシナリ,林俊成,hayashitoshinari
イチロウ,伊智朗,ichirou
タカトキ,高时,takatoki
カニエ,蟹江,kanie
チュウケイ,忠敬,chuukei
ジャクチュウ,若冲,jakuchuu
トミザワ,富泽,tomizawa
クサキ,草木,kusaki
カタノ,片野,katano
サカトモヒロ,坂知宏,sakatomohiro
ブシゲトシ,部茂利,bushigetoshi
ヒロツ,广津,hirotsu
リュウロウ,柳浪,ryuurou
タンソウ,淡窗,tansou
ナガハマ,长滨,nagahama
ミズイ,水井,mizui
ヒロダカ,弘高,hirodaka
トヨヒト,丰仁,toyohito
アトシコ,亚季子,atoshiko
イエユミ,家弓,ieyumi
モノベ,物部,monobe
クマダ,熊田,kumada
キタショウ,北胜,kitashou
ウミノブヨシ,海信芳,uminobuyoshi
ツカダ,冢田,tsukada
セイアキラ,正昭,seiakira
クマタロウ,熊太郎,kumatarou
スギノ,杉野,sugino
タジマ,田嶋,tajima
フサキチ,房吉,fusakichi
