stefano,스테파노,seutepano
argentero,아르젠테로,areujentero
marchionne,마키오네,makione
raimondo,라이몬도,raimondo
vianello,비아넬로,bianelro
lanzoni,란초니,ranconi
regge,레제,reje
simon,시몬,simon
laner,라네르,ranereu
mazza,마차,maca
gentiloni,젠틸로니,jentilroni
germano,제르마노,jereumano
bolle,볼레,bolre
fidenco,피덴코,pidenko
perazzolo,페라촐로,peracolro
belmonte,벨몬테,belmonte
angela,안젤라,anjelra
finocchiaro,피노키아로,pinokiaro
favero,파베로,pabero
sivero,시베로,sibero
munerati,무네라티,munerati
cesarini,체사리니,cesarini
bertolacci,베르톨라치,bereutolraci
florenzi,플로렌치,peulrorenci
poletti,폴레티,polreti
falco,팔코,palko
briaschi,브리아스키,beuriaseuki
segre,세그레,segeure
castellini,카스텔리니,kaseutelrini
biagi,비아지,biaji
valcareggi,발카레지,balkareji
bersellini,베르셀리니,bereuselrini
casari,카사리,kasari
vecchi,베키,beki
d'macho,디마초,dimaco
josef,요제프,yojepeu
polig,폴리히,polrihi
morini,모리니,morini
oberburger,오베르부르제르,obereubureujereu
andrius,안드류스,andeuryuseu
pojavis,포야비스,poyabiseu
catellani,카텔라니,katelrani
greggio,그레지오,geurejio
cacciatore,카차토레,kacatore
rigoni,리고니,rigoni
cazzola,카촐라,kacolra
corradini,코라디니,koradini
george,조지,joji
hilton,힐튼,hilteun
consigli,콘실리,konsilri
cera,체라,cera
cordaz,코르다츠,koreudaceu
compiani,콤피아니,kompiani
nicolò,니콜로,nikolro
cherubin,체루빈,cerubin
chiarugi,키아루지,kiaruji
lucidio,루치디오,rucidio
sentimenti,센티멘티,sentimenti
giordani,조르다니,joreudani
bertorelli,버토렐리,beotorelri
gregorio,그레고리오,geuregorio
paltrinieri,팔트리니에리,palteurinieri
ballista,벨리스타,belriseuta
rossetti,로세티,roseti
mara,마라,mara
navarria,나바리아,nabaria
pollio,폴리오,polrio
balducci,발두치,balduci
brienza,브리엔차,beurienca
carretto,카레토,kareto
lodovica,로도비카,rodobika
comello,코멜로,komelro
alonso,알론소,alronso
alejandro,알레한드로,alrehandeuro
giammattei,잠마테이,jammatei
bini,비니,bini
volta,볼타,bolta
aspromonte,아스프로몬테,aseupeuromonte
biagianti,비아잔티,biajanti
blason,블라손,beulrason
sarti,사르티,sareuti
bolchi,볼키,bolki
fratello,프라텔로,peuratelro
camporese,캄포레세,kamporese
campelli,캄펠리,kampelri
genta,젠타,jenta
frida,프리다,peurida
wilson,윌손,wilson
barlassina,바를라시나,bareulrasina
damiano,다미아노,damiano
pippi,피피,pipi
jeff,제프,jepeu
blynn,브린,beurin
numa,누마,numa
comunardo,코무나르도,komunareudo
niccolai,니콜라이,nikolrai
fattori,파토리,patori
maya,마야,maya
sansa,산사,sansa
capelli,카펠리,kapelri
capuano,카푸아노,kapuano
nerio,네리오,nerio
bernardi,베르나르디,bereunareudi
caprari,카프라리,kapeurari
cappello,카펠로,kapelro
sasso,삭소,sagso
grifo,그리포,geuripo
longobucco,론고부코,rongobuko
polenta,폴렌타,polrenta
gamba,감바,gamba
mimì,미미,mimi
aguglia,아거글리아,ageogeulria
paponi,파포니,paponi
viani,비아니,biani
grasso,그라소,geuraso
puia,푸이아,puia
della,델라,delra
manlio,만리오,manrio
scopigno,스코피뇨,seukopinyo
sabadini,사바디니,sabadini
patrizio,파트리초,pateurico
rossitto,로시토,rosito
tonani,토나니,tonani
giuliani,줄리아니,julriani
maestrelli,마에스트렐리,maeseuteurelri
alfaro,알파로,alparo
liassine,리아신,riasin
cadamuro,카다무로벤타이바,kadamurobentaiba
benvenuti,벤베누티,benbenuti
gianmarco,잔마르코,janmareuko
tamberi,탐베리,tamberi
marotta,마로타,marota
piera,피에라,piera
degli,델리,delri
esposti,에스포스티,eseuposeuti
degani,데가니,degani
rivolta,리볼타,ribolta
zerbi,제르비,jereubi
piccini,피치니,picini
amleto,암레토,amreto
frignani,프리냐니,peurinyani
olga,올가,olga
villi,빌리,bilri
jo,조,jo
prestia,프레스티아,peureseutia
ciani,치아니,ciani
orlandi,오를란디,oreulrandi
seganti,시갠티,sigaenti
matías,마티아스,matiaseu
vecino,베시노,besino
rongione,론조네,ronjone
gastaldello,가스탈델로,gaseutaldelro
magnozzi,마뇨치,manyoci
sciacca,시아카,siaka
lia,리아,ria
goggia,고자,goja
migliaccio,밀리아초,milriaco
meo,메오,meo
frison,프리손,peurison
dotto,도토,doto
cristhian,크리스티안,keuriseutian
stuani,스투아니,seutuani
giovannini,조반니니,jobannini
sebastián,세바스티안,sebaseutian
cristóforo,크리스토포로,keuriseutoporo
alberta,알베르타,albereuta
ferretti,페레티,pereti
natali,나탈리,natalri
rozzi,로치,roci
messeri,메세리,meseri
tarchi,타르키,tareuki
ballerini,발레리니,balrerini
reja,레야,reya
samele,사멜레,samelre
avola,아볼라,abolra
caselli,카셀리,kaselri
figalli,피갈리,pigalri
moscardelli,모스카르델리,moseukareudelri
lazzari,라차리,racari
majeroni,마제로니,majeroni
abbrescia,아브레시아,abeuresia
david,다비드,dabideu
sassoli,사솔리,sasolri
nathalie,나탈리,natalri
moellhausen,모엘하우젠,moelhaujen
cegani,체가니,cegani
scattini,스카티니,seukatini
girolamo,지롤라모,jirolramo
giovinazzo,조비나초,jobinaco
micheli,미켈리,mikelri
bottino,보티노,botino
gori,고리,gori
benedicta,베네딕타,benedigta
boccoli,보콜리,bokolri
giani,자니,jani
selen,셀렌,selren
fanfulla,판풀라,panpulra
soldano,솔다노,soldano
paratici,파라티치,paratici
fabrizia,파브리치아,pabeuricia
teobaldo,테오발도,teobaldo
depetrini,데페트리니,depeteurini
dello,델로,delro
morigi,모리지,moriji
antonietta,안토니에타,antonieta
stella,스텔라,seutelra
cristaldi,크리스탈디,keuriseutaldi
gabetti,가베티,gabeti
rubin,루빈,rubin
cravero,크라베로,keurabero
maietta,마이에타,maieta
gastón,가스톤,gaseuton
bufi,부피,bupi
landi,란디,randi
salvatori,살바토리,salbatori
maddaloni,마달로니,madalroni
pinsoglio,핀솔리오,pinsolrio
ghezzi,게치,geci
dell'otto,델오토,deloto
regina,레지나,rejina
montalbano,몬탈바노,montalbano
giolito,지올리토,jiolrito
richard,리처드,riceodeu
benedict,베네딕,benedig
roberta,로베르타,robereuta
torre,토레,tore
blanc,블란크,beulrankeu
valle,발레,balre
alessia,알레시아,alresia
barela,바렐라,barelra
bosca,보스카,boseuka
tidona,티도나,tidona
wilma,윌마,wilma
goich,고이크,goikeu
america,아메리카,amerika
olivo,올리보,olribo
epifani,에피파니,epipani
crosetto,크로세토,keuroseto
pinot,주세페,jusepe
gallizio,피노갈라지오,pinogalrajio
uberto,우베르토,ubereuto
saponara,사포나라,saponara
teresa,테레사,teresa
saponangelo,사포난젤로,saponanjelro
carminati,카미나티,kaminati
sollima,솔리마,solrima
liskova,리스코바,riseukoba
luce,루체,ruce
angelica,안젤리카,anjelrika
ippolito,이폴리토,ipolrito
annalisa,안나리사,annarisa
kravos,크라보스,keuraboseu
favella,파벨라,pabelra
foglietta,폴리에타,polrieta
trilli,트릴리,teurilri
cupisti,커피스티,keopiseuti
bonansea,보난세아,bonansea
augusto,아우구스토,auguseuto
rangone,랑고네,ranggone
zucchi,주치,juci
moroni,모로니,moroni
tabita,타비타,tabita
pierfederici,피에르페데리치,piereupederici
pandolfi,판돌피,pandolpi
sarah,세라,sera
felberbaum,펠버바움,pelbeobaum
bernardino,베르나르디노,bereunareudino
nogara,노가라,nogara
corazzari,코라자리,korajari
migliari,밀리아리,milriari
clelia,클레리아,keulreria
matania,마타냐,matanya
pelligra,펠리그라,pelrigeura
gavazzi,가바치,gabaci
zuculini,수쿨리니,sukulrini
dazzi,다치,daci
cotta,코타,kota
edy,에디,edi
vessel,베셀,besel
cerusico,체루시코,cerusiko
gifuni,지푸니,jipuni
cigliano,칠리아노,cilriano
guerzoni,구에르조니,guereujoni
vincenti,빈첸티,bincenti
salvi,살비,salbi
dominik,도미니크,dominikeu
fischnaller,피슈날러,pisyunalreo
emanuela,에마누엘라,emanuelra
pacotto,파코토,pakoto
mahieux,마히스,mahiseu
pesce,페셰,pesye
veratti,베라티,berati
carnelutti,카르넬루티,kareunelruti
mogherini,모게리니,mogerini
marchi,마치,maci
danilo,다닐로,danilro
d'ambrosio,담브로시오,dambeurosio
pession,페션,pesyeon
emma,엠마,emma
morano,모라노,morano
paonessa,파오네사,paonesa
galatea,갈라테아,galratea
ranzi,란치,ranci
furio,푸리오,purio
meniconi,메니코니,menikoni
mingozzi,민고지,mingoji
scianna,시안나,sianna
magnanelli,마냐넬리,manyanelri
franca,프란카,peuranka
scagnetti,스카그네티,seukageuneti
inaudi,이나우디,inaudi
fiorella,피오렐라,piorelra
zan,잔,jan
frezzolini,프레촐리니,peurecolrini
giacobini,지아코비니,jiakobini
colangeli,콜란젤리,kolranjelri
gilda,길다,gilda
marescotti,마레스코티,mareseukoti
jeanne,잔,jan
giudice,주디체,judice
isabelle,이사벨,isabel
adriani,아드리아니,adeuriani
james,제임스,jeimseu
rivière,리버,ribeo
lazzarini,라차리니,racarini
elettra,엘레트라,elreteura
gorietti,고리에티,gorieti
ivo,이보,ibo
pulga,풀가,pulga
camuncoli,카문콜리,kamunkolri
jorginho,조르지뉴,joreujinyu
jimmy,지미,jimi
il,일,il
fenomeno,페노메노,penomeno
lorenza,로렌차,rorenca
indovina,인도비나,indobina
loredana,로레데이너,roredeineo
cannata,칸나타,kannata
zuccheri,추케리,cukeri
montanari,몬타나리,montanari
carrillo,카리요,kariyo
richelmy,리켈미,rikelmi
michela,미켈라,mikelra
murgia,무르자,mureuja
iaia,이아이아,iaia
forte,포르테,poreute
howard,하워드,haweodeu
ross,로스,roseu
marinelli,마리넬리,marinelri
hal,할,hal
yamanouchi,야마노우치,yamanouci
lelio,렐리오,relrio
luttazzi,루타지,rutaji
mascino,마시노,masino
lianella,리아넬라,rianelra
carell,카렐,karel
licinia,리시니아,risinia
maddalena,마달레나,madalrena
crippa,크리파,keuripa
sardo,사르도,sareudo
sarri,사리,sari
gaucci,가우치,gauci
ponzo,폰조,ponjo
marianna,마리아나,mariana
madia,마디아,madia
rosucci,로수치,rosuci
gazzolo,가촐로,gacolro
alto,알토,alto
confalone,콘팔로네,konpalrone
minaccioni,미나초니,minaconi
nazzareno,나차레노,nacareno
popolizio,포폴리치오,popolricio
stringara,스트린가라,seuteuringara
cescon,체스콘,ceseukon
riondino,리온디노,riondino
mirca,미르카,mireuka
viola,비올라,biolra
giovanelli,조바넬리,jobanelri
mirko,미르코,mireuko
eramo,에라모,eramo
valdifiori,발디피오리,baldipiori
germani,제르마니,jereumani
osiride,오시리데,osiride
pevarello,페바레로,pebarero
mondello,몬델로,mondelro
maran,마란,maran
zinna,진나,jinna
rosabell,로자벨,rojabel
laurenti,로렌티,rorenti
sellers,셀러스,selreoseu
accornero,아코르네로,akoreunero
lavarini,라바리니,rabarini
impacciatore,임파차토레,impacatore
falk,폴크,polkeu
mattarella,마타렐라,matarelra
nicchiarelli,니키아렐리,nikiarelri
d'obici,도비치,dobici
bilello,빌렐로,bilrelro
rafael,하파엘,hapael
tolói,톨로이,tolroi
tecla,테클라,tekeulra
scarano,스카라노,seukarano
ralph,랄프,ralpeu
marterie,마테리,materi
rea,레아,rea
kendall,켄들,kendeul
galano,갈라노,galrano
lodovini,로도비니,rodobini
zerocalcare,제로칼카레,jerokalkare
zoe,초에,coe
incrocci,인크로치,inkeuroci
donnarumma,돈나룸마,donnarumma
bergamasco,베르가마스코,bereugamaseuko
vasco,바스코,baseuko
regini,레지니,rejini
sperandeo,스페란데오,seuperandeo
baselli,바셀리,baselri
zaza,차차,caca
bariti,바리티,bariti
terracciano,테라차노,teracano
abbati,아바티,abati
verdi,베르디,bereudi
zappacosta,차파코스타,capakoseuta
ferdinandi,페르디난디,pereudinandi
veronica,베로니카,beronika
pivetti,피베티,pibeti
bryan,브리안,beurian
cristante,크리스탄테,keuriseutante
vinicio,비니시오,binisio
marchioni,마치오니,macioni
luis,루이스,ruiseu
gnecco,그네코,geuneko
emerson,이메르송,imereusong
palmieri,팔미에리,palmieri
campoli,캄폴리,kampolri
murru,무루,muru
vitis,비티스,bitiseu
belotti,벨로티,belroti
illy,일리,ilri
steve,스티브,seutibeu
bastoni,바스토니,baseutoni
rodrigo,로드리고,rodeurigo
paul,폴,pol
amandola,아만돌라,amandolra
william,윌리엄,wilrieom
edmunds,에드먼즈,edeumeonjeu
pinocchio,피노키오,pinokio
lapadula,라파둘라,rapadulra
spinazzola,스피나촐라,seupinacolra
pichelli,피켈리,pikelri
padella,파델라,padelra
martella,마르텔라,mareutelra
corazza,코라차,koraca
sportiello,스포르티엘로,seuporeutielro
boschi,보스키,boseuki
trotta,트로타,teurota
dylan,딜런,dilreon
sprouse,스프라우스,seupeurauseu
capezzi,카페치,kapeci
bianchetti,비안케티,bianketi
politano,폴리타노,polritano
ferragni,페라니,perani
cécile,세실,sesil
kyenge,키엥게,kiengge
bernardeschi,베르나르데스키,bereunareudeseuki
pucciarelli,푸차렐리,pucarelri
cataldi,카탈디,kataldi
achraf,아쉬라프,aswirapeu
lazaar,라자르,rajareu
rosseti,로세티,roseti
gagliardini,갈리아르디니,galriareudini
laxalt,락살트,ragsalteu
tea,테아,tea
stefani,스테파니,seutepani
gomis,고미스,gomiseu
cragno,크라뇨,keuranyo
girelli,지렐리,jirelri
maio,마이오,maio
giorgian,히오르히안,hioreuhian
arrascaeta,아라스카에타,araseukaeta
fedato,페다토,pedato
pavoletti,파볼레티,pabolreti
cerri,체리,ceri
stracchi,스트라키,seuteuraki
sabatini,사바티니,sabatini
scuffet,스쿠페트,seukupeteu
carina,카리나,karina
vitulano,비툴라노,bitulrano
crecco,크레코,keureko
bittante,비탄테,bitante
padoan,파도안,padoan
radonicich,라도니치츠,radoniciceu
rugani,루가니,rugani
nappi,나피,napi
sturaro,스투라로,seuturaro
garau,가라우,garau
tavecchio,타베키오,tabekio
cirio,치리오,cirio
lidia,리디아,ridia
vitale,비테일,biteil
scuccia,스쿠차,seukuca
caldara,칼다라,kaldara
vicario,비카리오,bikario
matilda,마틸다,matilda
lutz,루츠,ruceu
serraiocco,세라이오코,seraioko
emil,에밀,emil
audero,아우데로,audero
linari,리나리,rinari
malvestiti,말베스티티,malbeseutiti
tabasco,타바스코,tabaseuko
lezzerini,레체리니,recerini
matilde,마틸데,matilde
gioli,졸리,jolri
garozzo,가로초,garoco
saidy,사이디,saidi
janko,양코,yangko
mandragora,만드라고라,mandeuragora
pia,피아,pia
calzone,칼초네,kalcone
gollini,골리니,golrini
barella,바렐라,barelra
cara,카라,kara
calabria,칼라브리아,kalrabeuria
gianniotti,잔니오티,jannioti
provedel,프로베델,peurobedel
irma,이르마,ireuma
testa,테스타,teseuta
volpi,볼피,bolpi
mariarosa,마리아로사,mariarosa
enrica,엔리카,enrika
scamacca,스카마카,seukamaka
dimarco,디마르코,dimareuko
ceretti,세레티,sereti
gaspari,가스파리,gaseupari
boselli,보셀리,boselri
fazzi,파치,paci
dado,다도,dado
coletti,콜레티,kolreti
bazzi,바치,baci
aisling,애쉴링,aeswilring
franciosi,프란초지,peurancoji
meret,메레트,mereteu
pessina,페시나,pesina
giovani,조바니,jobani
celso,셀소,selso
gabbani,가바니,gabani
odette,오데테,odete
giuffrida,주프리다,jupeurida
egonu,에고누,egonu
borghi,보르기,boreugi
ilenia,일레니아,ilrenia
pastorelli,파스토렐리,paseutorelri
stano,스타노,seutano
abraham,아브라암,abeuraam
conyedo,코니에도,koniedo
mariano,마리아노,mariano
mariana,마리아나,mariana
santarelli,산타렐리,santarelri
basile,바실레,basilre
agustín,아구스틴,aguseutin
rogel,로헬,rohel
virginia,비르지니아,bireujinia
raggi,라지,raji
pellegri,펠레그리,pelregeuri
cutrone,쿠트로네,kuteurone
angelis,안젤리스,anjelriseu
marcell,마르셀,mareusel
jacobs,자콥스,jakobseu
tedesco,테데스코,tedeseuko
ghiotto,기오토,gioto
massini,마시니,masini
lucilla,루칠라,rucilra
boari,보아리,boari
moise,모이스,moiseu
kean,켄,ken
orsolini,오르솔리니,oreusolrini
zaniolo,차니올로,caniolro
zaccagni,자카니,jakani
pinamonti,피나몬티,pinamonti
baschirotto,바스키로토,baseukiroto
sveva,스베바,seubeba
alviti,알비티,albiti
gabbia,가비아,gabia
gualtiero,구알티에로,gualtiero
galmanini,갈마니니,galmanini
mazzocchi,마초키,macoki
casale,카살레,kasalre
kára,카라,kara
mccullough,매컬로,maekeolro
dell'aquila,델라퀼라,delrakwilra
mateo,마테오,mateo
retegui,레테기,retegi
tonali,토날리,tonalri
balerdi,발레르디,balrereudi
santiago,산티아고,santiago
giménez,히메네스,himeneseu
barbieri,바르비에리,bareubieri
castrovilli,카스트로빌리,kaseuteurobilri
buongiorno,부온조르노,buonjoreuno
pobega,포베가,pobega
fagioli,파지올리,pajiolri
hans,한스,hanseu
nicolussi,니콜루시,nikolrusi
caviglia,카빌리아,kabilria
cesari,체사리,cesari
benedetta,베네데타,benedeta
porcaroli,포르카롤리,poreukarolri
bellanova,벨라노바,belranoba
tersigni,테르시니,tereusini
beltrán,벨트란,belteuran
raspadori,라스파도리,raseupadori
turati,투라티,turati
mahmood,마무드,mamudeu
centracchio,첸트라키오,centeurakio
isola,이솔라,isolra
carnesecchi,카르네세키,kareuneseki
colpani,콜파니,kolpani
rovella,로벨라,robelra
cambiaso,캄비아소,kambiaso
destiny,데스티니,deseutini
udogie,우도기,udogi
ruggeri,루게리,rugeri
bagnis,바니스,baniseu
khaby,카비,kabi
lame,라메,rame
rebagliati,레발리아티,rebalriati
calafiori,칼라피오리,kalrapiori
wilfried,윌프리드,wilpeurideu
gnonto,뇬토,nyonto
baldanzi,발단치,baldanci
cher,셰르,syereu
ndour,은두르,eundureu
viti,비티,biti
miretti,미레티,mireti
lucca,루카,ruka
scalvini,스칼비니,seukalbini
ibrahima,이브라히마,ibeurahima
bamba,밤바,bamba
casadei,카사데이,kasadei
stablum,스태블럼,seutaebeulreom
mele,멜레,melre
kayode,카요데,kayode
italia,이탈리아,italria
modena,모데나,modena
canegrate,카네그라테,kanegeurate
montelapiano,몬텔라피아노,montelrapiano
pietraferrazzana,피에트라페라차나,pieteuraperacana
fallo,팔로,palro
torino,토리노,torino
bari,바리,bari
monteferrante,몬테페란테,monteperante
biella,비엘라,bielra
roma,로마,roma
orvieto,오르비에토,oreubieto
padova,파도바,padoba
bergamo,베르가모,bereugamo
verbania,베르바니아,bereubania
catanzaro,카탄차로,katancaro
venezia,베네치아,benecia
ovada,오바다,obada
euro,유로,yuro
crosa,크로사,keurosa
cuneo,쿠네오,kuneo
vercelli,베르첼리,bereucelri
allerona,알레로나,alrerona
sale,살레,salre
carmignano,카르미냐노,kareuminyano
cascia,카시아,kasia
revello,레벨로,rebelro
cantagallo,칸타갈로,kantagalro
cannara,칸나라,kannara
montemurlo,몬테무를로,montemureulro
vaiano,바이아노,baiano
alpi,페나인,penain
pennine,알프스,alpeuseu
alviano,알비아노,albiano
treviso,트레비소,teurebiso
alessandria,알레산드리아,alresandeuria
novara,노바라,nobara
acquasparta,아콰스파르타,akwaseupareuta
brescia,브레시아,beuresia
cremona,크레모나,keuremona
vernio,베르니오,bereunio
lecco,레코,reko
pray,프라이,peurai
citerna,치테르나,citereuna
mantova,만토바,mantoba
monza,몬차,monca
pavia,파비아,pabia
collazzone,콜라초네,kolracone
attigliano,아틸리아노,atilriano
corciano,코르차노,koreucano
sondrio,손드리오,sondeurio
costacciaro,코스타차로,koseutacaro
varese,바레세,barese
arrone,아로네,arone
lepontine,알프스,alpeuseu
baschi,바스키,baseuki
appennini,아펜니노산맥,apenninosanmaeg
foligno,폴리뇨,polrinyo
valdengo,발덴고,baldengo
dolomiti,돌로미티산맥,dolromitisanmaeg
deruta,데루타,deruta
bolzano,볼차노,bolcano
como,코모,komo
vicenza,비첸차,bicenca
rovigo,로비고,robigo
gubbio,구비오,gubio
gorizia,고리치아,goricia
castelmagno,카스텔마뇨,kaseutelmanyo
magione,마조네,majone
marsciano,마르시아노,mareusiano
pordenone,포르데노네,poreudenone
calcio,칼초,kalco
belluno,벨루노,belruno
genova,제노바,jenoba
montefalco,몬테팔코,montepalko
montone,몬토네,montone
cesena,체세나,cesena
crotone,크로토네,keurotone
sicilia,시칠리아,sicilria
barolo,바롤로,barolro
norcia,노르차,noreuca
paciano,파차노,pacano
sardegna,사르데냐,sareudenya
empoli,엠폴리,empolri
grosseto,그로세토,geuroseto
bra,브라,beura
bologna,볼로냐,bolronya
piegaro,피에가로,piegaro
acqua,아쿠아,akua
alta,알타,alta
verona,베로나,berona
alatri,알라트리,alrateuri
cagliari,칼리아리,kalriari
pietralunga,피에트랄룬가,pieteuralrunga
poggiodomo,포조도모,pojodomo
preci,프레치,peureci
tarvisio,타르비시오,tareubisio
aeroporto,로마,roma
romafiumicino,공항,gonghang
caserta,카세르타,kasereuta
vaporetto,바포레토,baporeto
livorno,리보르노,riboreuno
lanciano,란차노,rancano
sigillo,시질로,sijilro
terni,테르니,tereuni
spezia,스페치아,seupecia
firenze,피렌체,pirence
ternana,테르나나,tereunana
sassuolo,사수올로,sasuolro
sellano,셀라노,selrano
scheggino,스케지노,seukejino
valtopina,발토피나,baltopina
parma,파르마,pareuma
bairo,바이로,bairo
altamura,알타무라,altamura
spoleto,스폴레토,seupolreto
todi,토디,todi
palazzo,토리노,torino
reale,왕궁,wanggung
torgiano,토르자노,toreujano
palermo,팔레르모,palrereumo
derby,데르비,dereubi
aversa,아베르사,abereusa
supercoppa,수페르코파,supereukopa
italiana,이탈리아나,italriana
spello,스펠로,seupelro
umbertide,움베르티데,umbereutide
valfabbrica,발파브리카,balpabeurika
acireale,아치레알레,acirealre
fabro,파브로,pabeuro
pescara,페스카라,peseukara
balme,발메,balme
trento,트렌토,teurento
fiumicino,피우미치노,piumicino
trevi,트레비,teurebi
monferrato,몬페라토,monperato
siena,시에나,siena
urbino,우르비노,ureubino
udine,우디네,udine
udinese,우디네세,udinese
aosta,아오스타,aoseuta
brosso,브로소,beuroso
ancona,안코나,ankona
perugia,페루자,peruja
l'aquila,라퀼라,rakwilra
campobasso,캄포바소,kampobaso
castelletto,카스텔레토,kaseutelreto
sopra,소프라,sopeura
ticino,티치노,ticino
ateleta,아텔레타,atelreta
ceva,체바,ceba
cavatelli,카바텔리,kabatelri
lasagne,라사녜,rasanye
forno,포르노,poreuno
avezzano,아베차노,abecano
spaghetti,스파게티,seupageti
ghemme,겜메,gemme
lesa,레사,resa
gela,젤라,jelra
meina,메이나,meina
trissino,트리시노,teurisino
cavour,카보우르,kaboureu
schio,스키오,seukio
chiavenna,키아벤나,kiabenna
jesolo,예솔로,yesolro
luino,루이노,ruino
pogno,포뇨,ponyo
chivasso,키바소,kibaso
bettona,베토나,betona
manta,만타,manta
bevagna,베바냐,bebanya
suno,수노,suno
collegno,콜레뇨,kolrenyo
bisceglie,비셸리에,bisyelrie
montà,몬타,monta
front,프론트,peuronteu
moretta,모레타,moreta
grugliasco,그룰리아스코,geurulriaseuko
ivrea,이브레아,ibeurea
domodossola,도모도솔라,domodosolra
bormio,보르미오,boreumio
aquileia,아퀼레이아,akwilreia
stresa,스트레사,seuteuresa
osasco,오사스코,osaseuko
stadio,스타디오,seutadio
is,이스,iseu
arenas,아레나스,arenaseu
arborio,아르보리오,areuborio
sesto,세스토,seseuto
calende,칼렌데,kalrende
merone,메로네,merone
balocco,발로코,balroko
pecco,페코,peko
paluzza,팔루차,palruca
besano,베사노,besano
malcesine,말체시네,malcesine
gallarate,갈라라테,galrarate
rivoli,리볼리,ribolri
golasecca,골라세카,golraseka
livigno,리비뇨,ribinyo
trino,트리노,teurino
sestriere,세스트리에레,seseuteuriere
colosseo,콜로세움,kolroseum
abarth,아바르트,abareuteu
brunello,브루넬로,beurunelro
montalcino,몬탈치노,montalcino
alfa,알파,alpa
bisegna,비세냐,bisenya
bugnara,부냐라,bunyara
laurito,라우리토,raurito
barete,바레테,barete
balsorano,발소라노,balsorano
campotosto,캄포토스토,kampotoseuto
calascio,칼라시오,kalrasio
barisciano,바리시아노,barisiano
barrea,바레아,barea
fiat,피아트,piateu
barbera,바르베라,bareubera
campo,캄포,kampo
de',데,de
fiori,피오리,piori
pininfarina,피닌파리나,pininparina
canistro,카니스트로,kaniseuteuro
capestrano,카페스트라노,kapeseuteurano
cansano,칸사노,kansano
carsoli,카르솔리,kareusolri
castellafiume,카스텔라피우메,kaseutelrapiume
capistrello,카피스트렐로,kapiseuteurelro
capitignano,카피티냐노,kapitinyano
caporciano,카포르차노,kaporeucano
cappadocia,카파도차,kapadoca
collelongo,콜렐론고,kolrelrongo
collarmele,콜라르멜레,kolrareumelre
collepietro,콜레피에트로,kolrepieteuro
iveco,이베코,ibeko
cocullo,코쿨로,kokulro
corfinio,코르피니오,koreupinio
cerchio,체르키오,cereukio
mede,메데,mede
melfi,멜피,melpi
introdacqua,인트로다콰,inteurodakwa
fossa,포사,posa
fontecchio,폰테키오,pontekio
vische,비스케,biseuke
feralpisalò,페랄피살로,peralpisalro
donatello,도나텔로상,donatelrosang
morino,모리노,morino
montereale,몬테레알레,monterealre
lucoli,루콜리,rukolri
amantea,아만테아,amantea
ferentillo,페렌틸로,perentilro
ficulle,피쿨레,pikulre
navelli,나벨리,nabelri
giove,조베,jobe
guardea,구아르데아,guareudea
ocre,오크레,okeure
ofena,오페나,opena
montecastrilli,몬테카스트릴리,montekaseuteurilri
montefranco,몬테프랑코,montepeurangko
montecchio,몬테키오,montekio
giro,지로,jiro
d'italia,디탈리아,ditalria
sanremo,산레모,sanremo
parrano,파라노,parano
porano,포라노,porano
polino,폴리노,polrino
pescina,페시나,pesina
pescasseroli,페스카세롤리,peseukaserolri
oricola,오리콜라,orikolra
narni,나르니,nareuni
otricoli,오트리콜리,oteurikolri
opi,오피,opi
montegabbione,몬테가비오네,montegabione
ortucchio,오르투키오,oreutukio
regata,레가타,regata
storica,스토리카,seutorika
stroncone,스트론코네,seuteuronkone
modica,모디카,modika
pescocostanzo,페스코코스탄초,peseukokoseutanco
ovindoli,오빈돌리,obindolri
pizzoli,피촐리,picolri
pacentro,파첸트로,pacenteuro
pereto,페레토,pereto
prezza,프레차,peureca
raiano,라이아노,raiano
rivisondoli,리비손돌리,ribisondolri
roccaraso,로카라소,rokaraso
roccacasale,로카카살레,rokakasalre
teramo,테라모,teramo
chieti,키에티,kieti
macerata,마체라타,macerata
pesaro,페사로,pesaro
fermo,페르모,pereumo
lago,라고,rago
scanno,스칸노,seukanno
scoppito,스코피토,seukopito
scontrone,스콘트로네,seukonteurone
secinaro,세치나로,secinaro
tagliacozzo,탈리아코초,talriakoco
sulmona,술모나,sulmona
ravenna,라벤나,rabenna
imola,이몰라,imolra
bolognano,볼로냐노,bolronyano
ferentino,페렌티노,perentino
savona,사보나,sabona
imperia,임페리아,imperia
trasacco,트라사코,teurasako
forlì,포를리,poreulri
tornimparte,토르님파르테,toreunimpareute
piacenza,피아첸차,piacenca
rimini,리미니,rimini
massa,마사,masa
arzergrande,아르체르그란데,areucereugeurande
carrara,카라라,karara
villalago,빌랄라고,bilralrago
villavallelonga,빌라발렐론가,bilrabalrelronga
vittorito,비토리토,bitorito
pisa,피사,pisa
altino,알티노,altino
archi,아르키,areuki
ari,아리,ari
arielli,아리엘리,arielri
arezzo,아레초,areco
prato,프라토,peurato
carunchio,카룬키오,karunkio
pistoia,피스토이아,piseutoia
lecce,레체,rece
casalbordino,카살보르디노,kasalboreudino
casalincontrada,카살린콘트라다,kasalrinkonteurada
vigodarzere,비고다르체레,bigodareucere
casacanditella,카사칸디텔라,kasakanditelra
agna,아냐,anya
casalanguida,카살란구이다,kasalranguida
