andrzej,アンジェイ
rodowiczczechowska,ロドヴィッチ
bielak,ビエラク
starzyński,スタジンスキ
irit,イリット
amiel,アミエル
toporowski,トポロフスキ
bartkowski,バルトコフスキ
heromiński,ヘロミンスキー
popiwczak,ポピフチャク
starkel,スターケル
jotko,ヨトゥコ
kaja,カヤ
danczowska,ダンチョフスカ
budkowski,ブドコウスキー
malwina,マルヴィナ
smarzek,スマジェク
frątczak,フラトチャク
roszkowska,ロシュコフスカ
zakościelny,ザコシェルニー
radomił,ラドミル
wiśniewski,ヴィシニェフスキ
kaczanow,ロキータ
morawiecki,モラヴィエツキ
gontowicz,ゴントビッチ
kownacki,コフナツキ
kowalkiewiczzaborowska,コバケビッチ
bonecki,ボネツキ
połeć,ポウェチ
pajor,パヨル
kaliszekwąsik,カリシェク
jagiełło,ヤギェウォ
helik,ヘリク
tybura,ティブラ
czerniaków,チェルニャクフ
dranka,ドランカ
sparrow,スパロウ
bochniewicz,ボフニェヴィチ
monika,モニカ
gałkowska,ガウコフスカ
bielik,ビエリク
kapustka,カプストゥカ
damian,ダミアン
kądzior,コンジョル
augustyniak,アウグスティニアク
charamsa,ハラムサ
walski,ヴァルスキ
martyna,マルティナ
grajbernowakowska,グライベル
gamrot,ガムロット
śliwka,シリフカ
buksa,ブクサ
dawidowicz,ダヴィドヴィチ
masłowski,マスウォフスキ
bartłomiej,バルトウォミェイ
drągowski,ドロンゴフスキ
szwoch,シュヴォフ
wieteska,ヴィテスカ
piątkowska,ピアットコフスカ
tarnowski,タルノフスキ
cieślak,チェスラック
sulęcki,スレッキ
starr,スター
babatunde,ババテュンデ
aiyegbusi,アエグブシ
żal,ジャル
ozdobabłach,オズドバ
majdan,マイダン
natasha,ナターシャ
ogórek,オグレク
brodnicka,ブロドニッカ
cleo,クレオ
rejment,レイメント
maksym,マクシム
spodyriew,スポディレフ
wojtkowski,ヴォイトコフスキ
dankowski,ダンコフスキ
hubert,フベルト
hurkacz,フルカチュ
fornal,フォルナル
niezgoda,ニェズゴダ
andrejczyk,アンドレイチク
angielski,アンギェルスキ
bieniek,ビエニエク
gąska,ゴンスカ
kaczmarek,カチュマレク
michalina,ミハリーナ
olszańska,オルシャンスカ
cyryl,ツィリル
kozaczewski,コザチェフスキ
reca,レツァ
jach,ヤッハ
niedźwiedź,ニエズビッチ
łukasik,ウカシク
piątek,ピョンテク
kudła,クドワ
patryk,パトリック
dziczek,ジチェク
szymiński,シミンスキ
lis,リス
wlazło,ヴラズウォ
zioła,ジオワ
jóźwiak,ヨズヴィアク
gumny,グムニー
matty,マティ
cash,キャッシュ
góralski,グラルスキ
klimala,クリマラ
semeniuk,セメニュク
majecki,マイェツキ
szubartowicz,スズバルトヴィチ
iga,イガ
bielenia,ビィエレニア
alina,アリナ
scholtz,ショルツ
danek,ダネク
żurkowski,ジュルコフスキ
pacutkłoczko,パツト
płacheta,プワヘタ
wierzchleyska,ヴィエルツクレイスカ
kryscina,クリスツィナ
cimanouska,ツィマノウスカヤ
praszelik,プラスゼリク
ralph,ラルフ
kaminski,カミンスキ
niemczycki,ニェムチツキ
tymoteusz,ティモテウシュ
puchacz,プハチ
tekla,テクラ
juniewicz,ユニェヴィチ
stenzel,ステンゼル
olivia,オリビア
różański,ロジャンスキ
moder,モデル
alagierskaszczepaniak,アラギェルスカ
nowicka,ノビツカ
alan,アラン
czerwiński,チェルヴィンスキ
żukowski,ジュコフスキ
walukiewicz,ヴァルキエヴィツ
grabara,グラバラ
jekatierina,エカテリーナ
kurakowa,クラコワ
marchwiński,マルチヴィニスキ
młyński,ムウィニスキ
bogusz,ボグシュ
stysiak,スティシャク
ciebień,チェベン
mateo,マテオ
klimowicz,クリモヴィッツ
skóraś,スコラシュ
izydorczyk,イズィドルチク
milewski,ミレフスキ
karbownik,カルボニック
kiwior,キヴィオル
piątkowski,ピョンツコフスキ
nicola,ニコラ
serafin,セラフィン
szota,ショタ
viki,ヴィキ
gabor,ガボール
slisz,スリシュ
szymańska,シマンスカ
białek,ビャウェク
slonina,スロニナ
smoliński,スモリンスキ
jeremy,ジェレミー
sochan,ソーハン
wenerska,ベネルスカ
krasowska,クラソフスカ
łęgowski,ウェンゴフスキ
polska,ポーランド
województwo,ドルヌィ
dolnośląskie,シロンスクケン
głogów,グウォグフ
iława,イワヴァ
oświęcim,オシフィエンチム
świętochłowice,シフィエントフウォヴィツェ
poznań,ポズナン
toruń,トルン
babsk,バプスク
warszawa,ワルシャワ
gdynia,グディニャ
śląsk,シレジア
szczecin,シュチェチン
tarnobrzeg,タルノブジェク
gniezno,グニェズノ
leszno,レシュノ
tychy,ティヒ
kalisz,カリシュ
koło,コウォ
katowice,カトヴィツェ
rzeszów,ジェシュフ
ostrów,オストルフ
wielkopolski,ヴィエルコポルスキ
ełk,エウク
koszalin,コシャリン
nowy,ノヴィ
dwór,ドヴォル
królewski,クルレフスキ
racibórz,ラチブシュ
łódź,ウッチ
gmina,キソジチタイ
białystok,ビャウィストク
sącz,ソンチ
olsztyn,オルシュティン
łużyce,ラウジッツ
kraków,クラクフ
chrzanów,フシャヌフ
łuków,ウクフ
sopot,ソポト
opole,オポーレ
karpaty,カルパティアサンミャク
gdańsk,グダニスク
sanok,サノク
jeleniogórskie,グラケン
słubice,スウビツェ
lublin,ルブリン
wrocław,ヴロツワフ
międzyrzec,ミェンヅィジェツ
podlaski,ポドラスキ
polonez,ポロネーズ
kurów,クルフ
zabrze,ザブジェ
końskowola,コィンスコヴォラ
police,ポリツェ
śniardwy,シニャルドヴィコ
skierniewice,スキェルニェヴィツェ
wieluń,ヴィエルニ
bydgoszcz,ブィドゴシュチュ
świnoujście,シフィノウイシチェ
kielce,キェルツェ
przemyśl,プシェムィシル
polesie,ポリーシャ
śrem,シレーム
bytom,ビトム
sokolnictwo,タカガリ
częstochowa,チェンストホヴァ
żelazowa,ジェラゾヴァ
wola,ヴォラ
radom,ラドム
chorzów,ホジュフ
łomża,ウォムジャ
słupsk,スウプスク
pomorze,ポメラニア
zgierz,ズギェシ
żory,ジョルィ
żubrówka,ズブロッカ
dziecinów,ヂェチヌフ
flis,モクザイリュウオク
elbląg,エルブロンク
zielona,ジェロナ
góra,グラ
płock,プウォツク
gorzów,ゴジュフ
wadowice,ヴァドヴィツェ
brzeg,ブジェク
gliwice,グリヴィツェ
sosnowiec,ソスノヴィエツ
kalwaria,カルヴァリア
zebrzydowska,ゼブジドフスカ
stargard,スタルガルト
legnica,レグニツァ
tarnów,タルヌフ
terespol,テレスポル
łowicz,ウォヴィチ
ruda,ルダ
kołobrzeg,コウォブジェク
rybnik,リブニク
włocławek,ヴウォツワヴェク
dąbrowa,ドンブロヴァ
górnicza,グルニチャ
wałbrzych,ヴァウブジフ
targ,タルク
podhale,ポドハレ
chełm,ヘウム
pawiak,パヴィアクケイムショ
suwałki,スヴァウキ
lubin,ルビン
jelcz,イェルチ
widzew,ヴィジェフ
złoty,ズウォティ
grudziądz,グルジョンツ
piła,ピワ
powiat,ノヴィ
telewizja,ポーランド
ostrołęka,オストロウェンカ
futuryzm,ミライハ
sochaczew,ソハチェフ
topfmine,トプフミーネ
sulechów,スレフフ
węgorzyno,ヴェンゴジーノ
powidła,ポヴィドル
wisła,ヴィスワ
trzciano,トシチャノ
górnik,グールニク
augustów,アウグストゥフ
berlinwarszawaexpress,ベルリンワルシャワエクスプレス
polonia,ポロニア
wieliczka,ヴィエリチカ
tczew,トチェフ
metal,メタル
mind,マインド
productions,プロダクションズ
leżajsk,レジャイスク
łobez,ウォベス
pijarzy,エスコラピオスシュウドウカイ
zagłębie,ザグウェンビェ
polityka,ポリティカ
knurów,クヌルフ
eurokorpus,オウシュウゴウドウグン
lędziny,レンジニ
lębork,レンボルク
zakopane,ザコパネ
starogard,スタロガルド
gdański,グダニスキ
zamość,ザモシチ
malbork,マルボルク
strzelce,ストシェルツェ
opolskie,オポルスキエ
raków,ラクフ
westerplatte,ヴェステルプラッテ
polski,ポルスキ
fiat,フィアット
zgorzelec,ズゴジェレツ
jelenia,イェレニャ
jasna,ヤスナ
ruch,ルフ
sarbinowo,サルビノヴォ
sobibór,ソビブル
getto,クラクフ
krakowskie,ゲットー
stębark,ステンバルク
warszawskie,ゲットー
parowozownia,ピールスカ
stolperstein,ストルパーシュタイン
tour,ツール
de,ド
pologne,ポローニュ
kętrzyn,ケントシン
ustka,ウストカ
cieszyn,チェシン
kostrzyn,コストシン
nad,ナド
odrą,オドロン
puławy,プワヴィ
piotrków,ピョートルクフ
trybunalski,トルィブナルスキ
bełchatów,ベウハトゥフ
warmia,ヴァルミア
żagań,ジャガン
jaworzno,ヤヴォジュノ
siemianowice,シェミャノヴィツェ
śląskie,シロンスキェ
piekary,ピェカルィ
brzesko,ブジェスコ
radomsko,ラドムスコ
wąbrzeźno,ヴォンブジェジノ
kłobuck,クウォブツク
tarnowska,タルノフスカ
bieruń,ビェルニ
pajęczno,パイェンチュノ
stutthof,シュトゥットホーフキョウセイシュウヨウショ
braniewo,ブラニェヴォ
mysłowice,ムィスウォヴィツェ
czeladź,チェラチ
goleniów,ゴレニュフ
tarnowskie,タルノフスキェ
góry,グルィ
chełmno,ヘウムノ
morskie,モルスキェ
oko,オコ
łazy,ワジ
łapy,ワピ
bobrowniki,ボブロヴニキ
stomil,ストミール
żywiec,ジヴィエツ
zawisza,ザヴィシャ
inowrocław,イノヴロツワフ
gryfici,ポメラニアカ
imielin,イミェリン
mikołów,ミコウフ
konfederacja,ポーランド
polskoczechosłowacka,チェコスロバキアレンゴウ
jagiellonia,ヤギエロニア
dyskobolia,ディスコボリア
grodzisk,グロジスク
mrągowo,ムロンゴヴォ
bonifratrzy,ヒジリヨハネビョウインシュウドウカイ
sandomierz,サンドミエシュ
legia,レギア
tatry,タトラサンミャク
nysa,ニサ
bochnia,ボフニャ
kunowice,クーネルスドルフ
arka,アルカ
lubelskie,ゲットー
rysy,リスィサン
wejherowo,ヴェイヘロヴォ
giżycko,ギジツコ
sławków,スワフクフ
bar,バル
mleczny,ムレチュニィ
łańcuch,アルプス
alpejskohimalajski,ヒマラヤツクリヤマタイ
prudnik,プルドニク
hel,ヘル
bełżec,ベウジェツ
podpłomyk,ポドプウォムィク
kłodawa,クウォダヴァ
miedź,ミエジュ
padniewko,パドニェフコ
nowotarski,タルクグン
trzebinia,トシェビニャ
aula,アウラ
leopoldina,レオポルディナ
rzepin,ジェピン
gietrzwałd,ギエトシュヴァウト
brzezinka,ブジェジンカ
ostróda,オストルダ
pruszków,プルシュクフ
osinów,オシヌフ
dolny,ドルニ
tomaszów,トマシュフ
lubelski,ルベルスキ
orlen,オーレン
korona,コロナ
myszków,ムィシュクフ
lechia,レヒア
wołczyn,ヴォウチン
mikołajki,ミコワイキ
tarnogórski,グルィグン
wojkowice,ヴォイコヴィツェ
krzemionki,クシェミオンキ
oliwa,オリバ
platforma,ヒガシヨーロッパ
wschodnioeuropejska,クラトン
jomsborg,ヨムスボルグ
grunwald,グルンヴァルト
chrząchów,フションフフ
łęczna,ウェンチュナ
warta,ヴァルタ
skra,スクラ
ergo,エルゴ
arena,アリーナ
spodek,スポデク
centralwings,セントラルウィングス
turzonowie,トゥルゾーカ
faworki,ファボルキ
marka,ポーランド
szczerbiec,シュチェルビェツ
szlakiem,シュラキエム
grodów,グロドゥフ
piastowskich,ピャストフスキフ
bielski,ビャワグン
rozewie,ロゼヴィアミサキ
krzywy,クシュヴィ
las,ラス
hate,ヘイト
radomiak,ラドミアク
ekstraliga,ポーランド
baseballowa,エクストラリーガ
stal,スタル
mielec,ミエレツ
uniwersytet,マリー
marii,キュリー
curieskłodowskiej,スクウォドフスカダイガク
sąsiadka,ステイスク
rajd,ラリー
gruchawka,ラットル
techland,テックランド
plusliga,ポーランドダンシバレーボールリーグ
niegosławice,ニェゴスワヴィツェ
bochotnica,ボホトニツァ
open,オープン
żabka,ジャプカ
radonica,ラドニツァ
baumkuchen,バウムクーヘン
coffeeheaven,コーヒーヘブン
opener,オープナー
festival,フェスティバル
bokszeosada,ボクシェ
sempółki,センプウキ
protram,プロトラム
przewodów,プシェヴォドゥフ
piotrowice,ピョトロヴィツェ
teyon,テヨン
trojany,トロヤニ
głębowice,グウェンボビツェ
styków,スティクフ
płaszów,プワシュフ
extinction,エクスティンクション
rebellion,レベリオン
grupa,ワドシ
ładosia,グループ
european,ヨーロピアン
league,リーグ
of,オブ
football,フットボール
camp,キャンプ
kościuszko,コシチュシュコ
nowacki,ノヴァツキ
fleischer,フライシャー
ehrenfeucht,エーレンフォイヒト
konrad,コンラッド
fiałkowski,フィアウコフスキ
linda,リンダ
cezary,ツェザーリ
pazura,パズーラ
zelnik,ゼルニク
kuroń,クーロン
langer,ランガー
rutkowska,ルトコフスカ
blacha,ブラッハ
englert,エングレルト
fedorowicz,フェドローヴィッチ
fronczewski,フロンチェウスキー
renate,レナータ
von,フォン
natzmer,ナッツメル
smuda,スムダ
bujakiewicz,ブジャキエヴィチ
jolanta,ヨランタ
kukiz,クキズ
ledóchowska,レドゥホフスカ
samborski,サンボルスキ
adametz,アダメッツ
sabbat,サバト
wojciechowski,ヴォイチェホフスキ
hilmar,ヒルマー
kopper,コッパー
kulesza,クレシャ
kęstowicz,ケンストヴィチ
macharski,マカルスキー
szeptycki,シェプティツキー
jagna,ヤグナ
marczułajtiswalczak,マルチュワイティス
hilary,ヒラリ
skarżyński,スカシニスキ
zaleski,ザレスキ
malicka,マリツカ
zyta,ジタ
gilowska,ギロフスカ
gustaw,グスタフ
gizewiusz,ギゼヴィウシュ
benita,ベニータ
falkenhayn,ファルケンハイン
sopoćko,ソボチコ
cimoszewicz,チモシェヴィチ
hirszfeld,ヒルシュフェルト
bielecki,ビェレツキ
szpinalski,シュピナルスキ
ostrowski,オストロフスキ
raczkiewicz,ラチュキェヴィチ
bernard,ベルナルド
raczyński,ラチンスキ
dorn,ドルン
klemperer,クレンペラー
olszewski,オルシェフスキ
pawlak,パヴラク
wojtek,ボイチェフ
sozanska,ゾツァンスカ
graff,グラフ
kubary,クバリー
gosiewski,ゴシェフスキ
lestek,レステク
bela,ベラ
siedzikówna,シェジクナ
przewoźnik,プシェヴォジニク
nycz,ニクズ
piesiewicz,ピエシェヴィッチ
rzewuski,ジェヴスキ
cielecka,チェレツカ
elonka,イロンカ
dunin,デューニン
glinka,グリンカ
szpilka,スピルカ
pol,ポル
feliks,フェリクス
nowowiejski,ノヴォヴィエイスキ
smarzowski,ヴィエンツキェヴィチ
ledwoń,レドヴォン
mierosławski,ミエロスワフスキ
nowicki,ノヴィツキ
kszczot,クチョット
holender,ホールダー
nizioł,ニジョウ
konopko,コノプコ
huzarski,フザルスキ
nawałka,ナヴァウカ
sobańska,ソバンスカ
buziak,ブジアク
druszkiewicz,ドゥルシュキエビチ
promiński,プロミンスキー
weber,ウェーバー
anzia,アンジア
yezierska,イージアスカ
rutkowski,ルトコヴスキ
baszczyński,バシュチンスキ
kłosiński,クウォシンスキ
modrzejewski,モジェスキー
gebel,ガベル
taciak,タチアク
sosińskajanczewska,ソシンスカ
piechowski,ピエホフスキー
kupiec,クピエック
proksa,プロクサ
porecki,ポレツキー
chruściel,フルスチェル
stabrawa,シュタブラーヴァ
sheybal,シェイバル
kulawik,クラヴィク
dygacz,ディガチュ
kętrzyński,ケントシンスキ
wadecki,ワデッキ
olejniczak,オレイニチャク
gołąb,ゴウォンブ
szymkowiak,シムコビアク
świerzy,シヴェジ
arnold,アーノルド
walfisz,ウォルフィッツ
axentowicz,アクセントヴィチ
skrzypek,スクシペク
kurowski,クロフスキ
wieruszkowalski,コワルスキー
cichy,チヒ
gil,ギル
vermouth,ヴェルムート
buk,ブク
róża,ロージャ
robota,ロボタ
wójcik,ヴォイチック
simlat,シムラト
ziobro,ジョブロ
arciszewski,アルチシェフスキ
engelking,エンゲルキング
dolniak,ドルニャク
bogdan,ボグダン
borusewicz,ボルセヴィチ
palikot,パリコト
schudrich,シュドリッチ
savielly,サベリ
tartakower,タルタコワ
piekałkiewicz,ピカルキヴィッツ
wieniawadługoszowski,ラチュキェヴィチ
michnik,ミフニク
markus,マルクス
brzenska,ブルツェンスカ
ochab,オハブ
łoś,ウォジ
adolf,アドルフ
chybiński,フビヌスキ
herbert,ヘルベルト
kozłowskikleinman,コツロフスキ
siemomysł,シェモムィスウ
lepper,レッペル
wittlin,ヴィットリン
paterski,パテルスキ
petersburski,ペテルスブルスキ
schetyna,スヘティナ
glemp,グレムプ
łobodziński,ロボジンスキ
kadłubek,カドゥウベック
leśmian,レシミャン
kornel,コルネル
schultz,シュルツ
hipolit,ヒポリト
cegielski,ツェギェルスキ
żorawski,ゾラフスキ
radziwiłowicz,ラジヴィオヴィッチ
zaremba,ザレンバ
chałbiński,ハルビンスキ
bujak,ブヤク
lec,レック
foremniak,フォレムニャク
słonimski,スウォニムスキ
modzelewski,モゼレフスキ
badora,バドラ
mięciel,ミェンチェル
listkiewicz,リストキエヴィチ
olgierd,オルギエルド
łukaszewicz,フカシェヴィチ
brandys,ブランディス
napieralski,ナピェラルスキ
wypych,ヴィプィフ
zapasiewicz,ザパシエヴィッツ
vilner,ヴィルナー
tuwim,トゥヴィム
izrael,イズラエル
jehoszua,ジョシュア
płoski,プウォスキ
stasiak,スタシャク
zbyszko,スタニスラウス
slowinski,スロウィンスキー
adamski,アダムスキ
pietrzykowski,ピトロシュコスキー
janus,ヤヌス
jacques,ジャック
bergier,ベルジェ
golański,グラインスキ
wilhelm,ヴィルヘルム
sasnal,サスナル
rakowski,ラコフスキ
warlikowski,ワリコフスキ
heller,ヘラー
ziober,ジオベール
religa,レリガ
okulicki,オクリツキ
murdzia,ムルヂャ
sobolewski,ソボレフスキ
giza,ギザ
gancarczyk,ガンチャルチク
szahak,シャハク
dziewanowski,ジエヴァノフスキ
hula,フラ
wassermann,ヴァセルマン
peradze,ペラッツェ
kotoński,コトンスキ
błażyński,ブラシンスキ
kołecki,コレツキ
zyndram,ジンダム
z,ス
maszkowic,マシュコヴィツ
krzyszkowiak,クシシュコヴィアク
jachimecki,ヤヒメツキ
rawicz,ラウイッツ
szajna,シャイナ
kosma,コスマ
złotowski,ズロトフスキー
biedroń,ビェドロニュ
mykoła,ミコラ
pławiuk,プラヴィク
borys,ボリス
allan,アラン
starski,スタルスキ
brasse,ブラッセ
goliński,ゴーリンスキ
bajor,バヨル
potasiński,ポタジンスキ
górski,グルスキー
bronko,ブロンコ
nagurski,ナグルスキー
morris,モーリス
hirshfield,ハーシュフィールド
dzięga,ジェンガ
handzlik,ハンズリク
wróbel,ウロベル
nosowska,ノソフスカ
nalepa,ナレパ
frankiewicz,フランキエヴィッツ
kwiecień,クヴィエチェン
žydrūnas,ズルーネス
savickas,ザビッカス
weigl,ヴァイグル
czapski,チャプスキ
kolberger,コルベルゲル
aga,アガ
mikolaj,ミコライ
kinga,キンガ
ilgner,イルグナー
żaneta,ザネータ
glanc,グランツ
jonatan,ヨーナタン
eibeschütz,アイベシュッツ
grocholewski,グロコルゥスキー
kuchciński,クフチンスキ
jasieński,ヤシェンスキ
rylik,リリック
napoleon,ナポレオン
grochowska,グロホウスカ
rydel,リーデル
anton,アントン
grot,グロット
graffosser,グラフ
rumianek,ルミャネク
wilhelmina,ヴィルヘルミナ
iwanowska,イヴァノフスカ
nazım,ナーズム
drzymała,ドゥジマワ
rymsza,リムサ
staniek,スタニエク
kobylański,コビランスキ
epstein,エプスタイン
brzęczek,ブジェンチェク
fotyga,フォティガ
rybicki,リビツキ
kolberg,コルベルク
rabczewska,ラプチェフスカ
starowieyski,スタロヴィエイスキ
mikołaj,ミコワイ
bugajski,ブガージスキー
macierewicz,マチェレヴィチ
wyczółkowski,ヴィチュウコフスキ
orkan,オルカン
gerard,ゲラルド
cieślik,チェスリク
fajans,ファヤンス
kayah,カヤー
gołota,ゴロタ
fernández,フェルナンデス
tom,トム
pustelnik,プステルニク
nitras,ニトラス
szulkin,シュルキン
banachiewicz,バナヒェヴィッチ
stelmachowski,ステルマホフスキ
pieczka,ピェチカ
dziekanowski,ジェカノフスキ
zygmund,ジグムント
łomnicki,ウォムニツキ
raginis,ラギニス
piotrowski,ピョトロフスキ
szymanowski,シマノフスキ
sadkowska,サドコウスカ
cyrankiewicz,シランキエウィッツ
florian,フロリアン
znaniecki,ズナニェツキ
woźniak,ヴォジニャク
grupiński,グルピニスキ
piątas,ピョンタス
violetta,ヴィオレッタ
villas,ヴィーラス
joseph,ジョセフ
nałkowska,ナウコフスカ
posmysz,ポスミシュ
tymińska,ティミンスカ
baziak,バジャク
staff,スタッフ
stryjkowski,ストリーコフスキ
mykietyn,ムィキェティン
michalczuk,ミカルチェク
brzyski,ブジスキ
lew,レフ
rywin,ルィヴィン
thiago,チアゴ
cionek,チョネク
janina,ヤニナ
fetlińska,フェトリンスカ
wiśniewska,ヴィスニエフスカ
gorbaniewska,ゴルバネフスカヤ
prucnal,プリュクナル
łuszczkiewicz,ウシュチキェヴィチ
wydra,ヴィドラ
bruzdowicztittel,ブルズドヴィチ
podolec,ポドレッツ
frank,フランク
piasecki,パイアセッキ
fidusiewicz,フィドゥシェヴィチ
gowin,ゴヴィン
kasprowicz,カスプロヴィチ
małachowski,マラチョフスキ
woda,ヴォダ
demarczyk,デマルチク
gross,グロス
buczkowski,ブチコフスキ
gottlieb,ゴットリープ
więckiewicz,ヴィエツキーヴィッチ
podleś,ポドレシ
janiszewska,ヤニシェフスカ
marika,マリカ
domińczyk,ドミンチク
kowalczyktekieli,コヴァルチック
niedźwiedzki,ニエジビエズキ
justek,ユステク
zborowski,ズボロフスキ
narcyza,ナルツィザ
żmichowska,ジミホフスカ
pyrek,ピレク
krzaklewski,クシャクレフスキ
preis,プレイス
walentynowicz,ヴァレンティノヴィチ
apollo,アポロ
bartel,バルテル
korowicka,コロウィッカ
zgliński,ズグリンスキー
lisek,リセク
surzyński,スジニスキ
krauze,クラウゼ
alicja,アリツィア
bachledacuruś,バックレーダ
jeszke,ジェク
malaquais,マラケ
sandra,サンドラ
zaniewska,ザニエウスカ
itzhak,イツァーク
nikodem,ニコデム
caro,カロー
waliszewski,ヴァリシェフスキー
pankowski,パンコフスキ
ujejski,ウイェイスキ
zajączkowska,ザヤンチュコウスカ
michalik,ミハリク
karolak,カロラク
nechama,ネハマ
tec,テク
gruszka,グルツカ
robak,ロバク
modrzejewska,モジェスカ
mycielski,ミチェルスキ
pasikowski,パシコフスキ
fiodorow,フョドロフ
skibniewska,スキブニェフスカ
wosz,ボッシュ
poźniak,ポズニアック
opałka,オパルカ
czyżewska,チジェフスカ
mazurkiewicz,マズルキエヴィチ
płażyński,プワジンスキ
diana,ディアナ
karenne,カレン
kulenty,クルエンティ
lindeman,リンデマン
ivo,イヴォ
pękalski,ペカルスキ
merta,メルタ
kondrat,コンドラト
borowski,ボロフスキ
saul,サウル
wahl,ヴァール
silberstein,シルバーシュタイン
fogg,フォグ
kiszczak,キシチャク
urbanski,ウルバンスキ
rokita,ロキタ
jurek,ユレク
rossi,ロッシ
joachim,ヨアヒム
halupczok,ハルプチョフ
gawrońska,ガウロンスカ
haft,ハフト
tamara,タマラ
gee,ジー
ludwika,ルドウィカ
zachwatowicz,ザフファトヴィチ
barańska,バランスカ
putra,プトラ
lenica,レニツァ
wujek,ヴイェク
kupcewicz,クプチェヴィチ
kazimiera,カジミール
iłłakowiczówna,イワコヴィチュヴナ
niemen,ニエメン
skubiszewski,スクビシェフスキ
dzikowska,ジロースカ
pinchas,ピンハス
lawon,ラボン
sawidor,サヴィドール
kowalska,コヴァルスカ
gągor,ゴンゴル
kaczor,カチョル
stomma,ストンマ
bocheński,ボヘンスキー
kraszewski,クラシェフスキ
hayden,エダン
siemoniak,シェモニャク
thurzo,ヤーノシュ
bruno,ブルーノ
rodzik,ロジック
podolska,ポドルスカ
pankiewicz,パンキエヴィッチ
steve,スティーブ
gęsicka,ゲンシツカ
makuszyński,マクシンスキ
chamique,チャミーク
holdsclaw,ホールドスクロー
charles,シャルル
denner,デネル
erin,エリン
mielzynski,ミールジンスキ
franz,フランツ
jakubowski,ジャクボウスキー
smolarz,スモラシ
palester,パレスター
udalski,ウダルスキ
kątski,コンツキ
liliana,リリアナ
komorowska,コモロウスカ
marcelina,マルツェリーナ
sembrichkochańska,ゼンブリヒ
wolszczak,ヴォルスチャク
dobrzyński,ドブジンスキー
trojanowska,トローロフスカ
schiller,シレル
oswald,オスファルト
balzer,バルツェル
kwiatkowskalass,ラス
rabsztyn,ラブシチン
borski,ボルスキ
rowecki,ロヴェツキ
zajdel,ザイデル
boryczka,ボリチカ
minc,ミンク
szmajdziński,シュマイジンスキ
apolinary,アポリナリ
szeluto,シェルト
mielcarz,ミエルカーツ
janda,ヤンダ
sara,サラ
frenkel,フレンケル
wodzińska,ヴォジンスカ
hans,ハンス
ziglarski,ツィクラルスキ
manfred,マンフレート
sakel,ザーケル
szumowska,シュモウスカ
lachs,ラクス
borsuk,ボルサック
dagmara,ダグマラ
wozniak,ウォズニアック
stachowski,スタホフスキ
łuszczewska,ウシュチェヴスカ
stefański,ステファンスキ
cyprian,ツィプリアン
godebski,ゴデプスキ
cieślewicz,シエスレヴィチ
candice,キャンディス
dupree,デュプリー
kantor,カンター
orlev,オルレブ
ledóchowski,レドゥホフスキ
kowalewski,コヴァレフスキ
peszek,ペシェク
janikowski,ジャニコースキー
celińska,チェリンスカ
morawski,モラフスキ
lim,イム
dongmin,ドンミン
kacenelson,カッツェネルソン
wolny,ボルニー
brzozowski,ブジョゾフスキ
ronczewski,ロンチェフスキ
nowosielski,ノヴォシェルスキ
wierzbowski,ヴィエジュボフスキ
milgrom,ミルグロム
woyda,ヴォイダ
heinrich,ハインリヒ
klemens,ムランカ
murańka,クレメンス
muszyński,ムシンスキ
spychalski,スピカルスキ
braunek,ブラウネック
steczkowska,ステチュコフスカ
gebirtig,ゲビルティグ
john,ジョン
kosmina,コスミナ
kolski,コルスキ
blanik,ブラニク
wojdat,ヴォイダット
iwona,イウォナ
guzowska,グゾフスカ
janas,ヤナス
chwistek,フヴィステク
stenka,ステンカ
tewje,トゥヴィア
leśniak,レスニャク
koman,コーマン
horst,ホルスト
szymaniak,シマニアク
schinzel,シンツェル
lemkin,レムキン
templin,テンプリン
styka,スティカ
wioletta,ビオレッタ
zawada,ザヴァダ
izuagbe,イズ
ugonoh,ウゴノー
dembiński,デンビニスキ
szyk,ジーク
kobro,コブロ
halszka,ハルツカ
osmólska,オスモルスカ
malawski,マラフスキ
jędrzejewicz,イェドルゼイェヴィチ
foik,フォイク
anczyc,アンチツ
szapołowska,サポロフスカ
nurowski,ヌロフスキ
berman,ベルマン
olech,オレク
brzechwa,ブジェフファ
kiepura,キェプラ
białostocki,ビアウォストツキ
wieszczekkordus,ヴィエスチェク
retinger,レティンガー
ochman,オフマン
gilewicz,ギレヴィチュ
górecki,グレツキ
zawacka,ザヴァツカ
morajko,モライコ
szalonek,シャロネック
ekert,エカート
celiński,ツェリンスキ
schatten,シャッテン
skarbek,スカーベック
antczak,アントチャク
sandberg,サンドベルク
badeński,バデンスキ
bart,バルト
błasik,ブワシク
giedroyc,ギェドロイツ
tad,タッド
danielewski,ダニエレブスキー
chyra,ヒラ
grabowski,グラボウスキ
hołowczyc,ホロウィツィック
tischner,ティシュナー
kosedowski,コセドウスキ
alter,アルテル
kacyzne,カチズネ
skutnik,スクトニク
narzyński,ナジンスキ
juskowiak,ユスコヴィアク
otton,オットー
nikodym,ニコディム
kurto,クルト
onyszkiewicz,オニシキェヴィチ
grubba,グルッバ
wodiczko,ヴォディチコ
milczanowski,ミルチャノフスキ
olechowski,オレホフスキ
kremer,クレメル
lothe,ローテ
bołądź,ボラズ
engel,エンゲル
akiba,アキバ
stasiuk,スタシュク
tarkowski,タルコフスキー
