krzysztof,克日什托夫
staniszewski,斯坦尼谢夫斯基
stachiewicz,斯塔切维奇
skibniewski,斯基布涅夫斯基
cieśla,切希拉
jałocha,亚沃哈
koszarek,科斯萨里科
nina,尼娜
andrycz,安德雷奇
hartman,哈特曼
porzecnowak,波热茨
jagaciak,雅克
salamon,萨拉蒙
hrycaniuk,海简尼克
łapeta,拉佩塔
waczyński,华钦斯基
bernatajtys,贝尔纳塔伊蒂斯
rańda,兰达
bosak,博萨克
daniela,达妮埃拉
walkowiak,瓦尔科维亚克皮莱茨卡
świrszczyńska,希维尔什琴斯卡
frąckowiak,弗莱克维亚
izaak,伊扎克
grünbaum,格伦鲍姆
biernacki,比尔奈基
smelczyński,斯梅尔琴斯基
czopek,乔佩克
wódke,武德凯
jędraszko,延德拉什科
dardan,达尔丹
berisha,贝里沙
kraska,克拉斯卡
marx,马克思
ostafiński,奥斯塔芬斯基
kałuziński,卡武津斯基
gonsior,贡肖尔
george,乔治
modelski,莫德尔斯基
aaron,阿隆
cel,塞尔
bednarz,比纳斯
gronowicz,格罗诺维奇
aszkiełowicz,阿什凯沃维奇沃伊诺
linetty,利内蒂
stellak,斯泰拉克
kotowicz,科托维奇
cziura,丘拉
bek,贝克
wiśniewski,维希涅夫斯基
tomasiak,托马夏克
skrzypulec,斯克日普莱茨
izabela,伊莎贝拉
dylewska,迪莱夫斯卡
bonk,邦克
wasick,瓦西克
brook,布鲁克
billings,比林斯
rajchman,莱赫曼
kopczuk,科普丘克
markoksiążek,克西翁热克
streich,斯特雷赫
abisiak,鲁特科夫斯卡
szczepańska,什切潘斯卡
radziwiłł,拉齐维乌
fafiński,法芬斯基
mijal,米雅尔
ostromęcka,奥斯特罗门茨卡
krupa,克鲁帕
kobylańska,科比兰斯卡
jakubowska,雅库博夫斯卡
rakoczy,拉科奇
wojczak,沃伊恰克
brzozowski,布若佐夫斯基
klimecki,克里梅茨基
iga,伊加
baumgartwitan,鲍姆加特维坦
kelleskrauz,凯勒斯克劳斯
lidia,利迪娅
chmielnickażmuda,赫梅尔尼茨卡日穆达
gajos,加诺斯
szydło,席多
franciszka,弗朗切斯卡
mann,曼恩
witkowski,维特科夫斯基
busz,布什
opara,奥帕拉
golimowska,戈利莫夫斯卡
liberkowski,利贝尔科夫斯基
przybylski,普日比尔斯基
wiatr,维亚特尔
zuzanna,苏珊娜
bijoch,碧约
freimut,弗雷穆特
trojanowski,特罗扬诺夫斯基
tałaj,塔瓦伊
romuald,罗穆亚尔德
muklewicz,穆克列维奇
śliwka,希利夫卡
hentka,莱什琴斯卡
stadniuk,斯塔德纽克
zachara,扎恰拉
dłużewska,德乌热夫斯卡
książkiewicz,克西翁日凯维奇
szpakowski,什帕科夫斯基
bosek,博塞克
wróblewski,弗鲁布莱夫斯基
trenkwald,特伦克瓦尔德
kustroń,库斯特龙
kajetan,卡耶坦
broniewski,布罗涅夫斯基
maliszewska,马利谢夫斯卡
karp,卡普
cieślak,切希拉克
cofalik,措法利克
rzepkowski,热普科夫斯基
kikolski,基科尔斯基
kapłaniak,卡普瓦尼亚克
szlaszewski,施拉舍夫斯基
jankowski,扬科夫斯基
kurpiewski,库尔皮耶夫斯基
kobuszawojska,科布斯扎沃伊斯卡
wiechawanot,维哈
gawlikowski,加夫利科夫斯基
marciniak,马齐尼亚克
dobek,多贝克
patrycja,帕特里夏
wyciszkiewiczzawadzka,维齐什凯维奇
olkowski,奥尔科夫斯基
brus,布鲁斯
stefański,斯特凡斯基
korneluk,科尔内卢克
duda,杜达
szuszkiewicz,舒什凯维奇
karaś,卡拉希
lubiejewski,卢别耶夫斯基
kędziora,科奇奥拉
janicki,雅尼基
zarzycki,扎日茨基
skorupski,斯科鲁普斯基
tomiak,托米亚克
alfons,阿尔方斯
omielan,奥米兰
jemielniak,耶米尔尼阿克
dryja,德里亚
molczyk,莫尔奇克
jędrychowski,英德里霍夫斯基
stachow,斯塔霍夫
konarski,康纳尔斯基
durska,杜尔斯卡
fabian,法比安
drzyzga,德尔奇佳
trzaskowski,特扎斯科夫斯基
romać,罗马奇
hołownia,霍洛尼亚
łomacz,沃马奇
reger,雷格
waszczykowski,瓦什奇科夫斯基
szczepkowski,什切普科夫斯基
olszowski,奥尔绍夫斯基
tom,多利安
swoon,多马夏克
fręch,弗雷希
tymoteusz,蒂蒙图斯
karpowicz,卡波维兹
ferens,费伦斯
rau,拉乌
perłowski,佩罗夫斯基
dorota,多罗塔
horzonekjokiel,霍尔佐内克约凯尔
wrona,弗罗纳
gerard,杰洛
mach,马克
starzyński,斯塔辛斯基
mika,米卡
ślizowska,希利佐夫斯卡
zalasiewicz,扎拉谢维奇
szymański,希曼斯基
świętyersetic,希温蒂埃尔塞蒂茨
baryła,巴里瓦
greszkiewicz,格雷什凯维奇
linkiewicz,林凯维奇
siemion,谢米翁
jolanta,约兰塔
ogarhill,奥加尔希尔
szczerbińska,什切尔宾斯卡
karbarz,卡尔巴日
krajewski,克拉耶夫斯基
wilusz,威卢斯
szyba,希巴
wertenstein,佩韦尔滕斯泰恩
paulina,宝琳娜
guba,古巴
malwina,玛尔维娜
kopron,科普龙
maryna,玛琳娜
gąsienicadaniel,贡谢尼察达涅尔
michalski,米哈尔斯基
smarzek,斯马泽克
bernatowicz,伯奈托维斯兹
morawiecki,莫拉维茨基
buszek,布斯泽克
omelko,奥梅尔科
milena,米莱娜
olszewska,奥尔谢夫斯卡
hołubkowalik,霍武布科瓦利克
karnowski,卡诺夫斯基
lisek,里萨科
swoboda,斯沃博达
bukowiecki,布科维茨基
daszek,达谢克
krukowski,库克沃斯基
masłowski,马斯沃夫斯基
czerniaków,塞尼亚科夫
kotwala,科特
jaroszyński,雅罗辛斯基
kowalski,科瓦尔斯基
sofia,索菲亚
ennaoui,恩纳奥伊
starr,斯塔尔
majchrzak,迈赫扎克
kędzierski,克孜尔斯基
niewiadoma,涅维亚多马
dawidowicz,达维多维茨
kapustka,卡佩斯卡
lićwinko,利奇温科
kawa,卡瓦
kownacki,考纳茨基
matylda,玛蒂尔达
damięcka,达明茨卡
aleksandra,亚历山德拉
wieteska,维特斯卡
drągowski,德隆哥夫斯基
oktawia,奥克塔维亚
nowacka,诺瓦茨卡
knapikmiazga,克纳皮克米亚兹加
bielik,别利克
sajdak,萨伊达克
bednorz,贝德诺尔兹
bednarek,贝德纳雷克
dziółko,齐奥尔科
wichłacz,威拉奇
fornal,福纳尔
gruszecki,格鲁茨基
hurkacz,胡尔卡奇
duszyński,杜辛斯基
haratyk,哈拉蒂克
kus,库斯
andrejczyk,安德雷奇克
niezgoda,涅哥达
bieniek,比尼克
gierak,盖拉克
matty,马蒂
cash,卡什
jurkowskakowalska,尤科斯卡克瓦尔斯卡
świtkowski,斯威特科夫斯基
świderski,希维德尔斯基
borkowski,博尔科夫斯基
biskup,比斯库普
dubowski,杜博夫斯基
piątek,皮亚特克
wojdak,沃伊达克
igor,伊戈尔
miecik,梅奇克
pikulik,皮库利克
alina,阿林娜
scholtz,绍尔茨
śmiłowski,斯梅洛夫斯基
świerczyńska,斯维尔琴斯卡
semeniuk,塞梅纽克
ziętarski,津塔尔斯基
wilangowski,维兰戈夫斯基
wierzbowska,维日博夫斯卡
mikołajczewski,米科瓦伊切夫斯基
jach,雅赫
sajnok,萨伊诺克
rudyk,鲁德克
gumny,古姆尼
świątek,斯维亚特克
przyłębska,普兹列布斯卡
zillmann,齐尔曼
martyna,马蒂娜
łukasik,武卡西克
puławska,普瓦夫斯卡
płacheta,普瓦赫塔
rudziński,鲁津斯基
prądziński,帕拉津斯基
chwalińska,赫瓦林斯卡
iskrzycka,伊斯克日茨卡
gaworska,加沃尔斯卡
huber,胡贝尔
jarecka,亚雷茨卡
żurkowski,茹尔科夫斯基
zdziebło,兹杰布沃
andżelika,安杰莉卡
wójcik,武伊齐克
pia,皮娅
skrzyszowska,斯克日绍夫斯卡
michałkiewicz,米哈乌凯维奇
dittmann,迪特曼
wieliczko,维利奇科
bosiek,博谢克
kaja,卡娅
ziomek,焦梅克
kryscina,克里斯蒂娜
cimanouska,齐马努斯卡娅
moder,莫达
kowalczuk,科瓦尔丘克
adamkiewicz,亚当凯维奇
kuczyński,库琴斯基
hołub,霍武布
tekla,泰克拉
juniewicz,朱尼维茨
jekatierina,叶卡捷琳娜
kurakowa,库拉科娃
wiśniewska,维希涅夫斯卡
grabara,格拉巴拉
kiwior,基维奥尔
roksana,罗沙娜
węgiel,维奇尔
chabel,哈贝尔
skóraś,斯库拉希
kowaluk,科瓦卢克
hermelniemczyk,涅姆奇克
stysiak,斯蒂夏克
viki,薇琪
gabor,加博尔
mateo,马特奥
klimowicz,克里莫维奇
blanka,布兰卡
lipińska,利平斯卡
zyzańska,齐扎尼斯卡
nicola,尼科拉
adrianna,阿德里安娜
sułek,苏韦克
kosewicz,科塞维奇
kacper,卡茨佩尔
żuk,祖克
gabriel,加比尔
slonina,史隆连拿
annamaria,安娜玛丽亚
sieklucka,西克鲁卡
chmielewski,赫梅莱夫斯基
majerski,马耶尔斯基
żurek,茹雷克
niewiński,涅温斯基
kinga,金加
gacka,加茨卡
ksawery,克萨韦里
masiuk,马休克
polska,波兰
auschwitzbirkenau,奥斯威辛集中营
poznań,波兹南
głogów,格沃古夫
babsk,巴布斯克
gdynia,格丁尼亚
warszawa,华沙
rumia,鲁米亚
szczebrzeszyn,什切布热申
szczecin,什切青
wąchock,翁霍茨克
mosina,莫西纳
luboń,卢邦
oświęcim,奥斯威辛
iława,伊瓦瓦
świętochłowice,希维托赫洛维采
toruń,托伦
śląsk,西里西亚
gniezno,格涅兹诺
szamotuły,沙莫图维
kórnik,库尔尼克
swarzędz,斯瓦任兹
pobiedziska,波别济斯卡
gmina,乡
białystok,比亚韦斯托克
puszczykowo,普什奇科沃
katowice,卡托维兹
leszno,莱什诺
gołańcz,戈万奇
czempiń,琴平
pułtusk,普乌图斯克
łódź,罗兹
jarocin,亚罗钦
kościan,科希强
małopolska,小波兰
obrzycko,奥布日茨科
tychy,蒂黑
czarnków,恰恩库夫
chodzież,霍杰日
koszalin,科沙林
pniewy,普涅维
ełk,埃乌克
olsztyn,奥尔什丁
rzeszów,热舒夫
manufaktura,曼菲萝
kalisz,卡利什
konin,科宁
koło,科沃
kostrzyn,科斯琴
września,弗热希尼亚
wronki,弗龙基
rawicz,拉维奇
opole,奥波莱
chrzanów,赫扎努夫
sopot,索波特
racibórz,拉齐布日
zielonka,杰隆卡
jastrowie,亚斯特罗维
osieczna,奥谢奇纳
słubice,斯武比采
biskupiec,比斯库佩茨
opalenica,奥帕莱尼察
sanok,萨诺克
kutno,库特诺
łuków,武库夫
karpaty,喀尔巴阡山脉
tarnobrzeg,塔尔诺布热格
polonez,波兰舞曲
łęczna,文奇纳
gdańsk,格但斯克
wrocław,弗罗茨瓦夫
kraków,克拉科夫
ścinawa,希齐纳瓦
pieszyce,佩希采
wolbórz,沃尔博日
końskowola,孔斯科沃拉
łużyce,卢萨蒂亚
kurów,库鲁夫
wieluń,维隆
polesie,波利西亚
ślesin,希莱辛
wolin,沃林
świebodzin,希维博津
ziębice,津比采
przemyśl,普热梅希尔
police,波利采
świdnik,斯维德尼克
świdnica,希维德尼察
ślęża,斯莱扎山
śmigiel,希米盖尔
świebodzice,希维博济采
świdwin,希维德温
śrem,希雷姆
częstochowa,琴斯托霍瓦
zabrze,扎布热
chorzów,霍茹夫
zgierz,兹盖日
pomorze,波美拉尼亚
elbląg,埃尔布隆格
brzeg,布热格
karkonosze,克尔科诺谢山
beskidy,贝斯基德山
łomża,沃姆扎
płock,普沃茨克
wadowice,瓦多维采
kielce,凯尔采
bytom,比托姆
myszyniec,梅希涅茨
sokolnictwo,鹰猎
wielkopolska,大波兰
świecie,希维切
świeradówzdrój,希维拉杜夫兹德鲁伊
skierniewice,斯凯尔涅维采
lublin,卢布林
legnica,莱格尼察
bielskobiała,别尔斯科比亚瓦
tarnów,塔尔努夫
włocławek,弗沃茨瓦韦克
radom,拉多姆
słupsk,斯武普斯克
siemiatycze,谢米亚蒂切
pyrzyce,佩日采
terespol,泰雷斯波尔
grójec,格鲁耶茨
gliwice,格利维采
sosnowiec,索斯诺维茨
rybnik,雷布尼克
jastrzębiezdrój,亚斯琴别兹德鲁伊
łowicz,沃维奇
niemcza,涅姆恰
osiek,奥谢克
chełm,海乌姆
suwałki,苏瓦乌基
żabno,扎布诺
bydgoszcz,比得哥什
żarów,扎鲁夫
kołobrzeg,科沃布热格
lubin,卢宾
żelechów,热莱胡夫
świnoujście,希维诺乌伊希切
strzegom,斯切戈姆
polkowice,波尔科维采
żerków,热尔库夫
żmigród,日米格鲁德
żychlin,日赫林
żyrardów,日拉尔杜夫
żory,若雷
żuromin,茹罗明
żubrówka,野牛草伏特加
stryków,斯特雷库夫
lubań,卢班
wałbrzych,瓦乌布日赫
powiat,县
biała,比亚瓦普鲁德尼茨卡
polanicazdrój,波兰尼卡兹德鲁伊
koluszki,科卢什基
ząbki,宗布基
tuszyn,图申
dziecinów,尼奇诺夫
błażowa,布瓦若瓦
złocieniec,兹沃切涅茨
złoczew,兹沃切夫
sochaczew,索哈契夫
złoty,波兰兹罗提
bogatynia,博加蒂尼亚
grudziądz,格鲁琼兹
bieszczady,别什恰迪山脉
złotów,兹沃图夫
jędrzejów,延杰尤夫
milanówek,米拉努韦克
woźniki,沃伊尼基
gostyń,戈斯滕
futuryzm,未来主义
miastko,米亚斯特科
koziegłowy,科杰格沃维
pilica,比利卡
rychwał,雷赫瓦乌
powidła,波维多尔
buskozdrój,布斯科兹德鲁伊
wisła,维斯瓦
dobra,多布拉
krynicazdrój,克雷尼察兹德鲁伊
kędzierzynkoźle,肯杰任科兹莱
czechowicedziedzice,切霍维采杰济采
karpacz,卡尔帕奇
oleśnica,奥莱希尼察
morąg,莫龙格
błonie,布沃涅
wyśmierzyce,维希梅日采
skępe,斯肯佩
brańsk,布兰斯克
zagórów,扎古鲁夫
polityka,政治周刊
piła,皮瓦
pleszew,普莱谢夫
ujście,乌伊希切
wysoka,维索卡
knurów,克努鲁夫
lesko,莱斯科
sulechów,苏莱胡夫
zamość,扎莫希奇
krzeszowice,克热绍维采
zambrów,赞布鲁夫
ostrołęka,奥斯特罗文卡
krobia,克罗比亚
biecz,别奇
koronowo,科罗诺沃
włoszczowa,弗沃什乔瓦
zakroczym,扎克罗奇姆
kożuchów,科茹胡夫
pińczów,平丘夫
opatów,奥帕图夫
zakopane,扎科帕内
lędziny,伦济内
warka,瓦尔卡
hajnówka,哈伊努夫卡
międzychód,缅济胡德
płońsk,普翁斯克
radzymin,拉济明
kargowa,卡尔戈瓦
jedwabne,耶德瓦布内
leżajsk,莱扎伊斯克
skoki,斯科基
wieliczka,维利奇卡
augustów,奥古斯图夫
berlinwarszawaexpress,柏林华沙快车
będzin,本津
lubsko,卢布斯科
poręba,波伦巴
kaszuby,卡舒比亚
zgorzelec,兹戈热莱茨
kłodzko,克沃兹科
międzyzdroje,缅济兹德罗耶
zawiercie,扎维尔切
płaska,普瓦斯卡乡
nowinka,诺温卡乡
żary,扎雷
lubartów,卢巴尔图夫
raciąż,拉琼日
żarki,札基
krynki,克伦基
sudety,苏台德山脉
chojnów,霍伊努夫
województwo,波兰各省列表
tczew,特切夫
mszczonów,姆什乔努夫
rucianenida,鲁恰内尼达
ryn,雷恩
olszyna,奥尔希纳
resko,雷斯科
trzcińskozdrój,奇钦斯科兹德鲁伊
andrzejki,圣安德鲁日
opołonek,奥波洛涅克山
śnieżka,斯涅日卡山
lipiany,利皮亚内
skawina,斯卡维纳
jastarnia,亚斯塔尔尼亚
darłowo,达尔沃沃
bolesławiec,博莱斯瓦维茨
szczekociny,什切科齐内
gniew,格涅夫
krasnystaw,克拉斯内斯塔夫
sztabin,什塔宾乡
uniejów,乌涅尤夫
płoty,普沃蒂
gubin,古宾
bełchatów,贝乌哈图夫
stolperstein,绊脚石
bisztynek,比什蒂内克
bobolice,博博利采
wyszogród,维绍格鲁德
praszka,普拉什卡
serock,塞罗茨克
soldau,索尔达乌集中营
annopol,安诺波尔
jordanów,约尔达努夫
trzciel,奇切尔
siedlce,谢德尔采
puławy,普瓦维
biłgoraj,比乌戈拉伊
kętrzyn,肯琴
pabianice,帕比亚尼采
stębark,斯泰巴克
suchowola,苏霍沃拉
radomsko,拉多姆斯科
jaworzno,亚沃日诺
żagań,萨根
łęknica,文克尼察
nidzica,尼济察
ozorków,奥佐尔库夫
puck,普茨克
ustka,乌斯特卡
cieszyn,切申
działoszyce,贾沃希采
großrosen,格罗斯罗森集中营
radziejów,拉杰尤夫
warmia,瓦尔米亚
braniewo,布拉涅沃
proszowice,普罗绍维采
wieruszów,维鲁舒夫
łask,瓦斯克
poddębice,波德登比采
plaszow,普瓦舒夫集中营
brzeziny,布札希尼
wąbrzeźno,翁布热伊诺
brzesko,布热斯科
staszów,斯塔舒夫
czeladź,切拉季
mysłowice,梅斯沃维采
leśna,莱希纳
złotoryja,兹沃托雷亚
żukowo,茹科夫
kłobuck,克沃布茨克
żnin,日宁
limanowa,利马诺瓦
lipno,利普诺
iłowa,伊沃瓦
miechów,梅胡夫
bieruń,别伦
golubdobrzyń,戈卢布多布任
rypin,雷平
myślenice,梅希莱尼采
pieńsk,片斯克
sławno,斯瓦夫诺
białogard,比亚沃加德
chełmno,海乌姆诺
dzierzgoń,杰日贡
pajęczno,帕延奇诺
mogilno,莫吉尔诺
tuchola,图霍拉
łęczyca,文奇察
trzebiatów,切比亚图夫
bytów,贝图夫
stutthof,施图特霍夫集中营
nowe,诺韦
kwidzyn,克维曾
kleszczele,克莱什切莱
stęszew,斯滕谢夫
oborniki,奥博尔尼基
słupca,斯武普察
międzyrzecz,缅济热奇
dębno,登布诺
kartuzy,卡尔图济
choszczno,霍什奇诺
człuchów,奇武胡夫
sztum,什图姆
myślibórz,梅希利布日
szprotawa,什普罗塔瓦
węgliniec,文格利涅茨
szczyrk,什切尔克
ostrzeszów,奥斯切舒夫
kruszwica,克鲁什维察
goleniów,戈莱纽夫
kępno,肯普诺
radymno,拉迪姆诺
grajewo,格拉耶沃
dukla,杜克拉
ropczyce,罗普奇采
ćmielów,奇梅卢夫
radzionków,拉济翁科夫
garwolin,加尔沃林
mazowsze,马佐夫舍
wągrowiec,翁格罗维茨
łeba,韦巴
łazy,瓦济
łańcut,万楚特
łobżenica,沃布热尼察
łochów,沃胡夫
łapy,瓦佩
łasin,瓦辛
łabiszyn,瓦比申
prusice,普鲁西采
skarżyskokamienna,斯卡日斯科卡缅纳
gryfice,格雷菲采
zawadzkie,扎瓦兹凯
zawidów,扎维杜夫
rzgów,日古夫
zbąszynek,兹邦希内克
golczewo,戈尔切夫
baborów,巴博鲁夫
małogoszcz,马沃戈什奇
zduny,兹杜内
zbąszyń,兹邦申
żywiec,日维茨
sieniawa,谢尼亚瓦
przedbórz,普热德布日
bolków,博尔库夫
inowrocław,伊诺弗罗茨瓦夫
imielin,伊梅林
kańczuga,坎丘加
brzozów,布若祖夫
krajenka,克拉延卡
piaseczno,皮亚塞奇诺
dzierżoniów,杰尔若纽夫
czerwieńsk,切尔维延斯克
cieszanów,切沙努夫
tarnogród,塔尔诺格鲁德
mońki,蒙基
gubałówka,古巴洛瓦卡山
gryfino,格雷菲诺
iwoniczzdrój,伊沃尼奇兹德鲁伊
jedlicze,耶德利切
piastów,皮亚斯图夫
chojnice,霍伊尼采
brzostek,布若斯泰克
wawel,瓦维尔山
szadek,沙代克
końskie,孔斯凯
dynów,迪努夫
wyszków,维什库夫
gryfici,格里芬家族
ciechanów,切哈努夫
otwock,奥特沃茨克
sieradz,谢拉兹
mielec,梅莱茨
janikowo,亚尼科沃
mrągowo,姆龙戈沃
mikołów,米科武夫
zelów,泽卢夫
odolanów,奥多拉努夫
góra,古拉
tatry,塔特拉山脉
sandomierz,桑多梅日
prusy,普鲁士
buk,布克
knyszyn,克内申
brzeszcze,布热什切
babimost,巴比莫斯特
węgorzewo,文戈热沃
starachowice,斯塔拉霍维采
włodawa,弗沃达瓦
rysy,莱希山
wejherowo,韦伊海罗沃
łobez,沃贝兹
przasnysz,普扎斯内什
barlinek,巴尔利内克
barwice,巴尔维采
bartoszyce,巴尔托希采
barczewo,巴尔切沃
bardo,巴尔多
nysa,尼斯
mazury,马祖里亚
bochnia,博赫尼亚
sokółka,索库乌卡
oberek,奥贝雷克
mrocza,姆罗恰
oława,奥瓦瓦
choroszcz,霍罗什奇
pieniny,皮耶尼内山脉
hrubieszów,赫鲁别舒夫
krzanowice,克扎诺维采
turek,图雷克
brok,布罗克
kuźnica,库兹尼察
olkusz,奥尔库什
głuchołazy,格武霍瓦济
czaplinek,恰普利内克
radlin,拉德林
strzyżów,斯奇茹夫
nieszawa,涅沙瓦
pieniężno,佩尼恩日诺
kujawy,库亚维
władysławowo,弗瓦迪斯瓦沃沃
drezdenko,德雷兹登科
krosno,克罗斯诺
sejny,塞伊内
sierpc,谢尔普茨
wołomin,沃沃明
szydłowiec,希德沃维茨
brodnica,布罗德尼察
trzebinia,切比尼亚
drohiczyn,德罗希琴
giżycko,吉日茨科
sławków,斯瓦夫库夫
padniewko,帕德纽克
lubniewice,卢布涅维采
warschau,华沙集中营
jasło,亚斯沃
hel,海尔
lubaczów,卢巴丘夫
szczecinek,什切齐内克
trzcianka,奇强卡
chełmża,海乌姆扎
wolsztyn,沃尔什滕
wałcz,瓦乌奇
połczynzdrój,波乌琴兹德鲁伊
bełżyce,贝乌日采
głuszyca,格武希察
działdowo,贾乌多沃
kraśnik,克拉希尼克
białobrzegi,比亚沃布热吉
kościerzyna,科希切日纳
krapkowice,克拉普科维采
dęblin,登布林
wołów,沃武夫
olesno,奥莱斯诺
wschowa,弗斯霍瓦
milicz,米利奇
namysłów,纳梅斯武夫
sulęcin,苏伦钦
głubczyce,格武布奇采
trzebnica,切布尼察
ulanów,乌兰努夫
strzelin,斯切林
pruszków,普鲁斯科夫
kęty,肯蒂
alwernia,阿尔韦尼亚
bielawa,别拉瓦
bierutów,别鲁图夫
bieżuń,别容
reda,雷达
siekierki,谢凯尔基
piaski,皮亚斯基
oleszyce,奥莱希采
głowno,格沃夫诺
mława,姆瓦瓦
gostynin,戈斯蒂宁
przeworsk,普热沃斯克
sępopol,森波波尔
nisko,尼斯科
tykocin,蒂科钦
czarne,恰尔内
skarszewy,斯卡尔谢维
działoszyn,贾沃申
grodków,格罗德库夫
mikołajki,米科瓦伊基
korsze,科尔谢
czersk,切尔斯克
krotoszyn,克罗托申
zakliczyn,扎克利琴
legionowo,莱吉奥诺沃
myszków,梅什库夫
jawor,亚沃尔
boguchwała,博古赫瓦瓦
andrychów,安德雷胡夫
chociwel,霍齐韦尔
okonek,奥科内克
górzno,古日诺
dębica,登比察
bodzentyn,博曾滕
gołdap,戈乌达普
gorlice,戈尔利采
boguszówgorce,博古舒夫戈尔采
pisz,皮什
miłosław,米沃斯瓦夫
kunów,库努夫
pszczyna,普什奇纳
orneta,奥尔内塔
rydułtowy,雷杜乌托维
wilamowice,维拉莫维采
józefów,约瑟夫乌
lubliniec,卢布利涅茨
goniądz,戈尼翁兹
węgrów,文格鲁夫
szczytno,什奇特诺
kobyłka,科贝乌卡
ostróda,奥斯特鲁达
olecko,奥莱茨科
przysucha,普日苏哈
wojkowice,沃伊科维采
brwinów,布尔维努夫
ciechocinek,切霍齐内克
kowary,科瓦雷
chełmek,海乌梅克
konstancinjeziorna,康斯坦钦耶焦尔纳
gozdnica,戈兹德尼察
pelplin,佩尔普林
bukowno,布科夫诺
frampol,弗兰波尔
pilzno,皮尔兹诺
martynów,马尔蒂努夫
chocianów,霍恰努夫
skórcz,斯库尔奇
kudowazdrój,库多瓦兹德鲁伊
cedynia,采迪尼亚
chojna,霍伊纳
głogówek,格沃古韦克
skała,斯卡瓦
piwnicznazdrój,皮夫尼奇纳兹德鲁伊
witkowo,维特科沃
mikstat,米克斯塔特
szczucin,什丘钦
radłów,拉德武夫
ryglice,雷格利采
bojanowo,博亚诺沃
prudnik,普鲁德尼克
rogoźno,罗戈伊诺
kałuszyn,卡武申
lubawa,卢巴瓦
szczuczyn,什丘琴
ciężkowice,钱日科维采
reszel,雷谢尔
poniatowa,波尼亚托瓦
przedecz,普热代奇
nowogard,诺沃加德
maszewo,马谢沃
błaszki,布瓦什基
pełczyce,佩乌奇采
niepołomice,涅波沃米采
recz,雷奇
kisielice,基谢利采
skoczów,斯科丘夫
jedlinazdrój,耶德利纳兹德鲁伊
wojcieszów,沃伊切舒夫
chodecz,霍代奇
prochowice,普罗霍维采
glinojeck,格利诺耶茨克
krzywiń,克日温
rakoniewice,拉科涅维采
nasielsk,纳谢尔斯克
dobrodzień,多布罗津
sieraków,谢拉库夫
prabuty,普拉布蒂
piechowice,佩霍维采
paczków,帕奇库夫
pasłęk,帕斯文克
połaniec,波瓦涅茨
kłodawa,克沃达瓦
drawno,德拉夫诺
dobrzany,多布扎内
mieszkowice,梅什科维采
ińsko,因斯科
wyrzysk,维日斯克
sianów,夏努夫
karlino,卡尔利诺
moryń,莫伦
wieleń,维伦
kępice,肯皮采
polanów,波拉努夫
dobiegniew,多别格涅夫
mirosławiec,米罗斯瓦维茨
witnica,维特尼察
orzysz,奥日什
tolkmicko,托尔克米茨科
siewierz,谢维日
tuczno,图奇诺
kobylin,科贝林
rzepin,热平
gąbin,贡宾
raszków,拉什库夫
gniewkowo,格涅夫科沃
dolsk,多尔斯克
pogorzela,波戈热拉
pyzdry,佩兹德雷
grybów,格雷布夫
kozienice,科杰尼采
margonin,马尔戈宁
byczyna,贝奇纳
debrzno,代布日诺
dziwnów,济夫努夫
człopa,奇沃帕
kolbuszowa,科尔布绍瓦
halinów,哈利努夫
chęciny,亨齐内
libiąż,利比翁日
sobótka,索布特卡
karczew,卡尔切夫
chmielnik,赫梅尔尼克
chorzele,霍热莱
mirsk,米尔斯克
kock,科茨克
kamieńsk,卡缅斯克
szlichtyngowa,什利赫滕戈瓦
skaryszew,斯卡雷谢夫
kolno,科尔诺
marki,马尔基
lipsk,利普斯克
ciechanowiec,切哈诺维茨
kłecko,克韦茨科
opoczno,奥波奇诺
brusy,布鲁瑟
skwierzyna,斯克维日纳
różan,罗赞
torzym,托日姆
brzezinka,布热津卡
bychawa,贝哈瓦
iłża,伊乌扎
kleczew,克莱切夫
szczawnica,什恰夫尼察
toszek,托谢克
gogolin,戈戈林
ustroń,乌斯特龙
nowogrodziec,诺沃格罗杰茨
syców,瑟楚夫
jeziorany,耶焦拉内
pyskowice,佩斯科维采
muszyna,穆希纳
cybinka,齐宾卡
małomice,马沃米采
międzylesie,缅济莱谢
radków,拉德库夫
szamocin,沙莫钦
czerniejewo,切尔涅耶沃
rydzyna,雷济纳
mieroszów,梅罗舒夫
lądekzdrój,隆代克兹德鲁伊
miłomłyn,米沃姆温
prószków,普鲁什库夫
dusznikizdrój,杜什尼基兹德鲁伊
węgorzyno,文戈日诺
kalety,卡莱蒂
pszów,普舒夫
koniecpol,科涅茨波尔
czchów,奇胡夫
międzybórz,缅济布日
kcynia,克齐尼亚
dobczyce,多布奇采
kietrz,凯奇
poniec,波涅茨
wielichowo,维利霍沃
trzemeszno,切梅什诺
stawiszyn,斯塔维申
olsztynek,奥尔什蒂内克
sędziszów,森济舒夫
wiązów,维翁祖夫
szubin,舒宾
sompolno,松波尔诺
zalewo,扎莱沃
przemków,普热姆库夫
dąbie,栋别
otmuchów,奥特穆胡夫
twardogóra,特瓦尔多古拉
lidzbark,利兹巴克
warta,瓦尔塔
kolonowskie,科洛诺夫斯凯
niemodlin,涅莫德林
pasym,帕瑟姆
korfantów,科尔凡图夫
krzepice,克热皮采
sława,斯瓦瓦
krośniewice,克罗希涅维采
pakość,帕科希奇
krasnobród,克拉斯诺布鲁德
