陈定,チンサダ
灵岩寺,レイイワオテラ
乌恰县,ウルグチャトケン
法门寺,ホウモンテラ
北盘江,キタバンコウ
北汽福田,フクダキシャ
庭州,ビシュバリク
保安族,バオアンゾク
东方红,トウホウベニ
澳门甲组足球联赛,マカオサッカーリーグファーストディビジョン
中华人民共和国政府,チュウカジンミンキョウワコクセイフ
新浪,シンナミ
涟水县,サザナミスイケン
香港榄球代表队,ラグビーホンコンダイヒョウ
甘丹寺,ガンデンテラ
西吉县,ニシヨシケン
巴丹吉林沙漠,バダインジャランサバク
夏县,ナツケン
茂县,シゲケン
福贡县,フクミツグケン
安义县,アンヨシケン
安新县,アンシンケン
安乡县,ヤスゴウケン
安溪县,アンケイケン
安阳县,アンヨウケン
龙游县,リュウユウケン
和田县,ホータンケン
安远县,ヤストオケン
安泽县,ヤスザワケン
中国堕胎,チュウカジンミンキョウワコクニオケルニンシンチュウゼツ
凉城县,リョウグスクケン
龙门县,リュウモンケン
拜城县,バイケン
冈仁波齐峰,カイラスサン
西安清真大寺,シーアンダイキヨザネテラ
红卫兵,コウエイヘイ
结古寺,ジェグテラ
江永县,エナガケン
羊卓雍错,ヤムドクコ
麻阳苗族自治县,アサヒミャオゾクジチケン
松桃苗族自治县,マツモモミャオゾクジチケン
永修县,エイオサムケン
江孜县,ギャンツェケン
香山公园,カヤマコウエン
柳城县,ヤナシロケン
康马县,カンマルケン
陵水黎族自治县,リョウスイリーゾクジチケン
墨江哈尼族自治县,スミエハニゾクジチケン
丘北县,オカキタケン
香港高尔夫球公开赛,ホンコンオープン
容城县,ヨウグスクケン
左云县,ヒダリクモケン
左权县,ヒダリケンケン
色拉寺,セラテラ
阿克赛钦,アクサイチン
少林寺,スセショウリンジ
全国公安工作信息化工程,キムタテ
地坛,チダン
察哈尔右翼中旗,チャハルウヨクチュウハタ
苏州国际金融中心,ソシュウコクサイキンユウチュウシン
玛旁雍错,マーナサローワルコ
平乐县,ヘイラクケン
外滩,ソトナダ
天坛,テンダン
都江堰,トコウセキ
平遥县,タイラハルカケン
牡丹江,ボタンコウ
先行者,センコウシャ
台湾海峡,タイワンカイキョウ
中华人民共和国司法部,チュウカジンミンキョウワコクシホウブ
中国人民解放军驻香港部队,ジンミンカイホウグンチュウホンコンブタイ
中华人民共和国财政部,チュウカジンミンキョウワコクザイセイブ
中华人民共和国交通运输部,チュウカジンミンキョウワコクコウツウウンユブ
建始县,タテハジメケン
孔林,アナリン
巴颜喀拉山脉,バヤンカラサンミャク
奔腾,ホントウ
天池,アマイケ
灵渠,レイミゾ
环球时报,タマキダマジホウ
中国新闻社,チュウゴクシンブンシャ
靖边县,ヤスシアタリケン
玉佛寺,タマブツジ
桐柏县,キリカシワケン
紫金山,ムラサキカナヤマ
知识青年,チシキセイネン
景宁畲族自治县,ケイヤスシシェゾクジチケン
东山县,ヒガシヤマケン
富平县,トミヒラケン
北京地铁,ペキンチカテツ
饶阳县,ニョウヒケン
宁晋县,ヤスシススムケン
南京条约,ナンキンジョウヤク
嵩明县,カサミアキラケン
陕甘宁盆地,オルドスコウゲン
城头山遗址,シロツムリヤマイセキ
唐古拉山脉,タンラサンミャク
复旦大学上海医学院,シャンハイイカダイガク
中华人民共和国法律,チュウカジンミンキョウワコクホウ
中华人民共和国国家标准,チュウカジンミンキョウワコクコッカヒョウジュン
自治旗,ジチハタ
丹凤县,ニオオトリケン
沙田至中环线,イサゴタイタリチュウタマキセン
秀茂坪,シュウシゲツボ
狮子山,シシサン
株洲电视塔,カブシュウテレビトウ
商朝,イン
香港足球代表队,サッカーホンコンダイヒョウ
龙塔,リュウトウ
哲蚌寺,デプンテラ
霞浦县,カスミウラケン
庐山,イオリヤマ
阿鲁科尔沁旗,アルホルチンハタ
伊吾县,アラトゥルクケン
嘉乐庇总督大桥,ヨシミラクヒサシソウトクオオハシ
南京夫子庙,フウシビョウ
慈云山,ジウンサン
拉昂错,ラークシャスタールコ
库姆塔格沙漠,クムタグサバク
香港体育馆,ホンコンコロシアム
国务委员,コクムイイン
黄南藏族自治州,キミナミチベットゾクジチシュウ
广州足球俱乐部,コウシュウアシダマクラブ
国家游泳中心,ペキンコッカスイエイセンター
西安事变,シーアンジケン
泽库县,サワクラケン
慕士塔格峰,ムスタグアタサン
金鹏航空,キムホウコウクウ
哈巴河县,カバケン
刚察县,ツヨシサッケン
北海公园,ホッカイコウエン
沙洋县,イサゴヨウケン
塔克拉玛干沙漠,タクラマカンサバク
中国中铁,チュウゴクチュウテツ
板约瀑布,トクテンバクフ
华强北,ハナツヨシキタ
隆子县,ルンツェケン
隆中,タカシナカ
中国国家足球队,サッカーチュウカジンミンキョウワコクダイヒョウ
陆良县,リクリョウケン
皇仁书院,スメラギジンショイン
荐福寺,ダイコモフクテラ
台湾居民来往大陆通行证,タイワンキョミンライオウタイリクツウコウショウ
领展房地产投资信托基金,リンクフドウサントウシシンタクキキン
中央美术学院,チュウオウビジュツガクイン
香港终审法院,ホンコンシュウシンホウイン
港铁巴士,ミナトテツバス
望夫石,モチオットセキ
江苏巨马队,コウソヒュージホース
国家知识产权局,コッカチシキサンケンキョク
中华人民共和国国家旅游局,チュウカジンミンキョウワコクコッカカンコウキョク
珠江城大厦,タマエタワー
峨眉山,ガビサン
香港特别行政区财政司司长,ホンコントクベツギョウセイクザイセイツカサツカサチョウ
光孝寺,ミツタカテラ
议事亭前地,セナドヒロバ
双林寺,ソウハヤシジ
中华人民共和国澳门特别行政区基本法,マカオトクベツギョウセイクキホンホウ
西藏惠通陆华足球俱乐部,フフホトクロバアシダマクラブ
街道办事处,カイドウベンゴトショ
大觉寺,ダイカクジ
北京橙丰足球俱乐部,ペキンジンワアシダマクラブ
奶酒,アルヒ
大西客运专线,オオニシリョカクセンヨウセン
杭锦旗,ハンギンハタ
牛头角,ウシトウカク
中国女子篮球联赛,チュウゴクジョシバスケットボールリーグ
玉田县,タマダケン
合福客运专线,ゴウフクリョカクセンヨウセン
中国人民解放军北部战区海军,ホッカイカンタイ
大宁县,ダイヤスシケン
北京电影学院,ペキンデンカゲガクイン
尼木县,ニェモケン
永新县,エイシンケン
东辽县,アズマリョウケン
盘山县,バンヤマガタ
平昌县,タイラアキラケン
且末县,チャルチャンケン
大悟县,タイゴケン
桐庐县,キリイオリケン
藏历,チベットレキ
信和中心,シンワチュウシン
香港丙组联赛,ホンコンサードディビジョンリーグ
鸡东县,ニワトリヒガシケン
威县,イケン
尚义县,ヒサヨシケン
武汉绿地中心,ブカングリーンランドセンター
台湾海峡通道,タイワンカイキョウトンネル
龙门石窟,リュウモンセックツ
拜泉县,ハイイズミケン
明溪县,アキラケイケン
海峡石,カイキョウセキ
摩罗街,マラガイ
赞皇县,サンスメラギケン
札达县,ツァンダケン
杂多县,ザッタケン
沈阳地铁,シンヨウチカテツ
公格尔峰,コングールサン
中芯国际,チュウシンコクサイシュウセイデンロセイゾウユウゲンコウシ
宁南县,ヤスシミナミケン
武城县,タケグスクケン
洛南县,ラクミナミケン
虎牢关,トラロウセキ
同仁堂,ドウジンドウ
迪士尼线,ススムシアマセン
马鞍山线,マグラサンセン
港岛线,ミナトジマセン
白族,ペーゾク
林士石,ハヤシシセキ
鸭洲,カモシュウ
满族,マンシュウミンゾク
济水,スミスイ
香港高级组银牌,ホンコンシニアシールド
中华人民共和国科学技术部,チュウカジンミンキョウワコクカガクギジュツブ
大足石刻,オオアシセッコク
石武客运专线,イシブリョカクセンヨウセン
纳木错,ナムツォ
罗汉寺,ラカンジ
阿尼玛卿山,アムネマチン
黑沙海滩,ハクサビーチ
中华人民共和国主席,チュウカジンミンキョウワコクシュセキ
傣族,タイゾク
门巴族,メンパゾク
京石客运专线,キョウイシリョカクセンヨウセン
中国人民解放军大将,タイショウ
中车株洲电力机车,チュウゴクチュウシャカブシュウデンリョクキシャ
宋王台花园,ソウオウダイ
坚尼地道,ケンアマジミチ
东突厥斯坦,ヒガシトルキスタン
南日岛战役,ミナミビトウセンエキ
上海美术电影制片厂,シャンハイビジュツエイガセイサクショ
中国人民解放军总参谋部,チュウゴクジンミンカイホウグンソウサンボウブ
国家最高科学技术奖,コッカサイコウカガクギジュツショウ
上海中山公园,ナカヤマコウエン
上海广播电视台,シャンハイメディアグループ
中国地震局,チュウゴクジシンキョク
悦达起亚,コウソエツタチキアキシャ
喀尔喀蒙古族,ハルハ
关帝庙,セキテイビョウ
佤族,ワゾク
卧虎藏龙,ガトラゾウリュウ
美捷香港商用飞机,メトロジェット
中国大陆电影,チュウゴクエイガ
南京中山植物园,ナカヤマショクブツエン
东铁线,ヒガシテツセン
西铁线,ニシテツセン
广宁县,ヒロヤスシケン
昌吉回族自治州,ショウキチカイゾクジチシュウ
额济纳旗,エジンハタ
上海电气,シャンハイデンキ
仁布县,リンプンケン
托克托县,トクトケン
太康县,フトヤスシケン
广州地铁,コウシュウチカテツ
新疆北部,ジュンガリア
梧桐山,アオギリヤマ
法库县,ホウコケン
西乡县,サイゴウケン
贺龙体育文化中心,ガリュウタイイクチュウシン
盐津县,シオヅケン
景县,ケイケン
南昌县,ミナミアキラケン
襄垣县,ジョウカキケン
广州国际女子网球公开赛,コウシュウコクサイジョシオープン
枣强县,ナツメツヨシケン
厦门航空,アモイコウクウ
阳山县,ヒヤマガタ
新兴县,シンコウケン
曲阳县,キョクヒケン
红河哈尼族彝族自治州,ベニカワハニゾクイゾクジチシュウ
德宏傣族景颇族自治州,トクヒロシタイゾクチンポーゾクジチシュウ
榆社县,ニレシャケン
太行山,タイユキサンミャク
文山壮族苗族自治州,ブンヤマチワンゾクミャオゾクジチシュウ
大理白族自治州,ダイリペーゾクジチシュウ
东江,アガリエ
东京街,トウキョウガイ
宁波轨道交通,ヤスシナミキドウコウツウ
楚雄彝族自治州,スワエユウイゾクジチシュウ
凤凰县,ホウオウケン
南京外国语学校,ナンキンガイコクゴガッコウ
凉山彝族自治州,リョウヤマイゾクジチシュウ
虞城县,オソレグスクケン
新平彝族傣族自治县,ニッペイイゾクタイゾクジチケン
热振寺,レティンテラ
温泉县,オンセンケン
布依族,プイゾク
长江商学院,ナガエショウガクイン
姜汁撞奶,ショウガギュウニュウプリン
香港电影评论学会大奖,ホンコンデンカゲヒョウロンガッカイダイススム
中国科学院国家天文台,チュウゴクカガクインコッカテンモンダイ
中国工程院,チュウゴクコウテイイン
台江县,タイエケン
曲松县,チュスムケン
平江县,ヒラエケン
山西航空,サンセイコウクウ
翼城县,ツバサグスクケン
华北平原,カホクヘイゲン
台安县,タイヤスケン
尉氏县,ジョウシケン
乌鲁木齐地铁,ウルムチチカテツ
新巴尔虎右旗,シンバルグミギハタ
中国南方航空,チュウゴクナンポウコウクウ
苏公塔,ソコウトウ
明斯克号航空母舰,ミンスク
大唐国际发电,ダイトウコクサイハツデン
吊钟洲,ツカネシュウ
盟,アイマク
义勇军进行曲,ギユウグンシンコウキョク
阳谷县,ヒコクケン
奈曼旗,ナイマンハタ
中国人民解放军驻香港部队大厦,チュウゴクジンミンカイホウグンチュウホンコンブタイビル
中央人民政府驻香港特别行政区联络办公室,チュウオウセイフチュウホンコンレンラクベンオオヤケシツ
杭福深客运专线,クイフクフカリョカクセンヨウセン
望都县,モチトケン
米易县,ベイエキケン
赤城县,アカギケン
大兴安岭,ダイキョウヤスミネサンミャク
海南航空,カイナンコウクウ
黄土高原,オウドコウゲン
山阴县,サンインケン
华为,ファーウェイ
中国东方航空,チュウゴクトウホウコウクウ
郑徐客运专线,テイジョリョカクセンヨウセン
西宝客运专线,サイホウリョカクセンヨウセン
北庭大都护府,キタニワダイミヤコマモルフ
帕米尔高原,パミールコウゲン
阿坝县,アバケン
改则县,ゲルツェケン
首都航空,ペキンシュトコウクウ
清东陵,セイトウリョウ
东乌珠穆沁旗,ヒガシウジムチンハタ
月坛,ツキダン
北京地铁首都机场线,ペキンチカテツシュトキジョウセン
律商联讯,レクシスネクシス
阿尔金山脉,アルチンサンミャク
彝良县,ツネリョウケン
连平县,レンタイラケン
黎族,リーゾク
阿巴嘎旗,アバグハタ
察隅县,ザユルケン
青岛啤酒,チンタオビール
上海隔都,シャンハイゲットー
澳门回归,マカオヘンカン
柳江,ヤナギコウ
中朝友谊桥,チュウチョウユウギキョウ
中华人民共和国最高人民法院,サイコウジンミンホウイン
察哈尔右翼后旗,チャハルウヨクゴハタ
东平洲,ヒガシダイラシュウ
函谷关,ハコタニセキ
中车长春轨道客车,チュウゴクチュウシャチョウシュンキドウキャクシャ
领报修院,リョウホウシンガッコウ
静海寺,シズミテラ
永嘉县,エイヨシミケン
平义线,タイラヨシセン
苍南县,アオイミナミケン
平阳县,タイラヨウケン
文成县,フミナリケン
泰顺县,タイジュンケン
长白朝鲜族自治县,チョウシロチョウセンゾクジチケン
好太王碑,コウフトシオウヒ
汪清县,ヒロシシンケン
鼎泰丰,カナエヤスシユタカ
中国共产党中央委员会总书记,チュウゴクキョウサントウチュウオウイインカイソウショキ
长江集团中心,ナガエセンター
广州塔,コウシュウトウ
土族,トゥゾク
武广客运专线,タケヒロリョカクセンヨウセン
中国南方喀斯特,チュウゴクナンポウカルスト
古宁头战役,コヤスシアタマセンエキ
杭州湾跨海大桥,コウシュウワンカイジョウオオハシ
国家航天局,チュウゴクコッカコウテンキョク
中华人民共和国工业和信息化部,チュウカジンミンキョウワコクコウギョウジョウホウカブ
中华人民共和国人力资源和社会保障部,チュウカジンミンキョウワコクジンリキシゲンシャカイホショウブ
郑州地铁,テイシュウチカテツ
托木尔峰,ポベーダヤマ
乌鲁木齐县,ウルムチケン
撒拉族,サラールゾク
塔门,トウモンシュウ
东海大桥,トウカイダイキョウ
金川县,カナガワケン
普兰县,プランケン
方城县,ホウジョウケン
曲阜孔庙,アナビョウ
昆明公交车爆炸案,コンアキラバスバクハジケン
王府井大街,ワンフウチン
北京青年报,ペキンセイネンホウ
海南藏族自治州,カイナンチベットゾクジチシュウ
金鸡奖,キンケイススム
横断山脉,オウダンサンミャク
富春山居图,トミハルサンキョズ
大小磨刀,ダイショウミガクガタナ
广东猎豹队,カントンレパーズ
沙田,イサゴタ
香港国际机场旅客捷运系统,ホンコンコクサイクウコウシンコウツウシステム
林村谷,ハヤシムラタニ
东华门街道,ヒガシハナモンカイドウ
河南吉象队,カナンエレファンツ
上海金鹰队,シャンハイレッドイーグルス
石井街道,イシイカイドウ
洛子峰,ローツェ
马卡鲁峰,マカルー
罗布泊,ロプノール
中国酒泉卫星发射中心,サケイズミエイセイハッシャセンター
高县,コウケン
天灯,テントウ
甘南藏族自治州,アマミナミチベットゾクジチシュウ
巴马瑶族自治县,トモエバヤオゾクジチケン
水丰水库,ミズユタカダム
大陈岛撤退,ダイチントウテッタイサクセン
渤海国上京龙泉府遗址,カミギョウリュウセンフ
本溪湖煤矿,モトケイコタンコウ
北京街礼拜堂,ペキンガイレイハイドウ
长江企业控股,ナガエジツギョウ
中条山会战,ナカハラカイセン
北回归线,キタカイキセン
莎车县,ヤルカンドケン
中国探月工程,ジョウガケイカク
国家大剧院,チュウゴクコッカダイゲキイン
汤阴县,ユカゲケン
腾讯,テンセント
中国教育电视台,チュウゴクキョウイクデンシダイ
万科,マンカキギョウ
固始县,カタハジメケン
静乐县,シズラクケン
南皮县,ミナミガワケン
上海证券交易所综合股价指数,シャンハイソウゴウシスウ
呼图壁县,フトビケン
庐山会议,イオリサンカイギ
铜雀台,ドウスズメダイ
北斗卫星导航系统,ホクトエイセイシルベコウケイトウ
天涯海角,テンガイウミカク
法王寺,ホウオウテラ
士大夫,シタイフ
和合石,ワゴウセキ
珠江新城旅客自动输送系统,タマエシンジョウシンコウツウシステムセン
府谷县,フノタニケン
青藏高原,チベットコウゲン
繁体字,シゲルタイジ
佛冈县,フツオカケン
佛坪县,ホトケツボケン
布尔津县,ブルチンケン
福海县,ブルルトカイケン
开心网,ヒラキシンモウ
比如县,ビルケン
圆通寺,エンツウジ
上海迪士尼乐园,シャンハイディズニーランド
北京奥神职业篮球俱乐部,ペキンオリンピアンズ
大鸦洲,ダイカラスシュウ
库拉岗日峰,クーラカンリ
中国国家男子篮球队,バスケットボールチュウカジンミンキョウワコクダイヒョウ
罗布林卡,ノルブリンカ
中国人民解放军海军大连舰艇学院,タイレンカンテイガクイン
屯门体育会足球队,タムロモンタイイクカイアシダマタイ
阿荣旗,アロンハタ
中国银联,チュウゴクギンレン
福建土楼,フッケンドロウ
清明节,セイメイブシ
福州地铁,フクシュウチカテツ
定安县,テイヤスケン
屯昌县,タムロアキラケン
英吉沙县,イェンギサールケン
延边朝鲜族自治州,ノベアタリチョウセンゾクジチシュウ
中国科学院紫金山天文台,ムラサキカナヤマテンモンダイ
秦岭,ハタミネサンミャク
回族,カイゾク
上海航空,シャンハイコウクウ
瑶族,ヤオゾク
凤凰卫视,ホウオウエイシ
中华人民共和国审计署,チュウカジンミンキョウワコクシンケイショ
佛历,ブツメツキゲン
曲水县,チュシュルケン
滨海县,ハマウミケン
中共中央台湾工作办公室,コクムインタイワンジムベンオオヤケシツ
崇启大桥,タカシケイオオハシ
泽普县,ポスカムケン
奇台县,キダイケン
海西蒙古族藏族自治州,ウミニシモンゴルゾクチベットゾクジチシュウ
额敏县,ドルビルジンケン
富蕴县,コクトカイケン
尉犁县,ロプノールケン
永和县,エイワケン
隆安县,リュウヤスシケン
连山壮族瑶族自治县,レンザンチワンゾクヤオゾクジチケン
马山县,マヤマケン
扎赉特旗,ジャライドハタ
共和县,キョウワケン
科尔沁右翼中旗,ホルチンウヨクチュウハタ
中国粮油控股,チュウゴクショクヒン
包头钢铁,ツツミアタマコウテツ
若羌县,チャルクリクケン
轮台县,ブグルケン
裕民县,チャガントカイケン
叶城县,カルギリクケン
鄯善县,ピチャンケン
和静县,カズシズケン
申扎县,シェンザケン
嘉黎县,ラリケン
鼓浪屿,コロウショ
和硕县,ホショードケン
上海申花足球俱乐部,シャンハイサルハナアシダマクラブ
龙里县,リュウサトケン
汉江,カンコウ
亚太空间合作组织,アジアタイヘイヨウウチュウキョウリョクキコウ
阿育王寺,オモネイクオウジ
亚洲电视,アシュウデンシ
类乌齐县,リウォチェケン
索县,ソクケン
定日县,ティンリケン
民勤县,ミンツトムケン
中国国际广播电台,チュウゴクコクサイホウソウ
亚洲公路网,アジアハイウェイ
顺义奥林匹克水上公园,ジュンギオリンピックスイジョウコウエン
上海大师赛,シャンハイマスターズ
崇信县,タカシシンケン
博罗县,ヒロシラケン
中秋节,チュウシュウブシ
兰西县,ランニシケン
黑水县,クロミズケン
广化寺,ヒロカテラ
中国西昌卫星发射中心,ニシアキラエイセイハッシャセンター
洛川县,ラクカワケン
丁青县,テンチェンケン
东北航空,トウホクコウクウ
玄中寺,ゲンナカテラ
兴和县,コウワケン
景山公园,カゲヤマコウエン
江达县,ジョムダケン
聂荣县,ニェンロンケン
洛隆县,ロロンケン
昂仁县,ガムリンケン
紫峰大厦,シホウタワー
普宁寺,ヒロシヤスシテラ
泥河湾遗址,ドロカワワンイセキ
宜章县,ムベアキラケン
藏族,チベットミンゾク
达拉特旗,ダラトハタ
昆仑山脉,コンロンザンミャク
沙雅县,シャヤールケン
巴楚县,マラルベシケン
青河县,チンギルケン
玛纳斯县,マナスケン
温宿县,オンスーケン
和平饭店,ワヘイハンテン
托里县,トリケン
伽师县,ペイズィワトケン
奉天会战,ホウテンカイセン
本溪水洞,モトケイミズホラ
贵南县,キミナミケン
滑县,ナメラケン
广东电视塔,カントンテレビトウ
西成客运专线,ニシナリリョカクセンヨウセン
丰县,ユタカケン
来凤县,ライオオトリケン
香港短途锦标,ホンコンスプリント
香港电车,ホンコントラム
大昭寺,トゥルナンテラ
德江县,トクエケン
桦川县,カバガワケン
巴青县,バチェンケン
扎什伦布寺,タシルンポテラ
浦江饭店,ウラエハンテン
噶尔县,ガルケン
岗巴县,ガムパケン
尼玛县,ニマケン
南木林县,ナムリンケン
贡觉县,ゴンジョケン
工布江达县,コンボギャムダケン
夏河县,ナツカワケン
诺门罕战役,ノモンハンジケン
林周县,ルンドゥプケン
玉光街礼拜堂,タマコウガイレイハイドウ
香港瓶,ホンコンヴァーズ
韩江,カンコウ
丰都县,ユタカトケン
雅戈泰,アガルタ
平罗县,ヒララケン
上海证券交易所,シャンハイショウケントリヒキショ
通河县,ツウカワケン
社会民主连线,シャカイミンシュレンセン
新昌县,シンアキラケン
依兰县,ヨアララギケン
伊尔克什坦口岸,イルケシュタムトウゲ
中原,ナカハラ
鄂温克族,エヴェンキ
中共中央党校,チュウゴクキョウサントウチュウオウトウコウ
渭河平原,セキナカ
顺平县,ジュンペイケン
中国移动,チュウゴクイドウツウシン
固阳县,カタヒケン
萨嘎县,サガケン
浪卡子县,ナンカルツェケン
岳普湖县,ヨプルガケン
泗水县,シスイケン
洞口县,ホラグチケン
钓鱼台列屿主权问题,センカクショトウモンダイ
阿斯塔那古墓群,アスターナコハカグン
爱思唯尔,エルゼビア
胶济客运专线,ニカワスミリョカクセンヨウセン
阳城县,ヒグスクケン
东乡族,ドンシャンゾク
广胜寺,ヒロカツテラ
上海华普汽车,シャンハイハナヒロシキシャ
水灯,アカリカゴナガシ
西林县,ニシバヤシケン
德昂族,トーアンゾク
昌江黎族自治县,マサエリーゾクジチケン
乐东黎族自治县,ラクヒガシリーゾクジチケン
延寿县,エンジュケン
康平县,コウヘイケン
博白县,ヒロシシロケン
博爱县,ハクアイケン
博湖县,バグラシュケン
木兰县,キアララギケン
炎陵县,ホノオリョウケン
广东奥林匹克体育中心,カントンオリンピックスタジアム
广州大学城体育中心,コウシュウダイガクジョウタイイクチュウシン
河北足球俱乐部,カワキタアシダマクラブ
静安寺,シズアテラ
博野县,ヒロシノケン
博兴县,ヒロシオキケン
皮山县,グマケン
中国人民解放军海军,チュウゴクジンミンカイホウグンカイグン
波密县,ポメケン
墨脱县,メトクケン
亚东县,ドモケン
日土县,ルトクケン
聂拉木县,ニャラムケン
网易,アミエキ
东龙洲,アズマリュウシュウ
香港邮政,ホンコンユウセイ
察雅县,ダクヤプケン
泽州县,サワシュウケン
中国美术史,チュウゴクビジュツ
彰武县,アキラタケケン
长子县,チョウシケン
澳门航空,マカオコウクウ
白鹿洞书院,シロシカホラショイン
机场快线,キジョウカイセン
博格达峰,ボゴダホウ
中华人民共和国铁道部,チュウカジンミンキョウワコクテツドウブ
香港航空,ホンコンコウクウ
车师,クルマシ
东亚共同体,ヒガシアジアキョウドウタイ
金沙江,キムシャコウ
石太客运专线,イシフトシリョカクセンヨウセン
融水苗族自治县,トオルミズミャオゾクジチケン
中国地震烈度表,チュウゴクシンドカイキュウ
阿拉善右旗,アルシャーミギハタ
麦盖提县,マルキトケン
乳源瑶族自治县,チチゲンヤオゾクジチケン
河西走廊,カサイカイロウ
册亨县,サツトオルケン
扎囊县,ダナンケン
张北县,チョウキタケン
中华人民共和国水利部,チュウカジンミンキョウワコクスイリブ
中华人民共和国民政部,チュウカジンミンキョウワコクミンセイブ
中国网,チュウゴクモウ
晋江,ススムコウ
班公错,パンゴンコ
同人游戏,ドウジンゲーム
青城山,アオシロヤマ
上海国际金融中心,シャンハイコクサイキンユウチュウシン
兰陵县,ランリョウケン
苍溪县,アオイケイケン
苍梧县,ソウゴケン
张家川回族自治县,チョウカガワカイゾクジチケン
昭觉寺,アキラカクジ
昭觉县,アキラサトシケン
昭平县,ショウヘイケン
昭苏县,モンゴルキュレケン
唐昭陵,アキラリョウ
会泽县,アイサワケン
双湖县,ソウミズウミケン
江城哈尼族彝族自治县,コウシロハニゾクイゾクジチケン
中国铁路高速列车,チュウゴクテツロコウソク
海原县,カイワラケン
阿合奇县,アクチケン
中国国家女子排球队,バレーボールチュウカジンミンキョウワコクジョシダイヒョウ
辽西省,リョウニシショウ
诏安县,ミコトノリヤスケン
赵县,チョウケン
长沙地铁,チョウイサゴチカテツ
随县,ズイケン
阿克陶县,アクトケン
怒江傈僳族自治州,イカコウリスゾクジチシュウ
吉县,ヨシケン
肇州县,ハジメシュウケン
肇源县,ハジメミナモトケン
当雄县,ダムシュンケン
上海磁浮示范运营线,シャンハイトランスラピッド
梅江,ウメコウ
辽东省,リャオトンショウ
北京猛虎队,ペキンタイガース
天津雄狮队,テンシンライオンズ
中华人民共和国教育部,チュウカジンミンキョウワコクキョウイクブ
广州国际金融中心,コウシュウコクサイキンユウセンター
中华世纪坛,チュウカセイキダン
中共中央办公厅,チュウゴクキョウサントウチュウオウベンオオヤケチョウ
海淀堂,ウミヨドドウ
京西国际学校,ペキンキョウニシガッコウ
南昌地铁,ミナミアキラチカテツ
镇雄县,シズオケン
正阳县,セイヒケン
正阳门,セイヒモン
望江县,モチエケン
长安街,ナガヤスガイ
大连实德足球俱乐部,タイレンジツトクアシダマクラブ
长安航空,ナガヤスコウクウ
长岛县,ナガシマケン
长丰县,チョウユタカケン
正安县,マサヤスケン
政和县,セイワケン
正定县,セイテイケン
正宁县,セイヤスシケン
郑国渠,テイコクミゾ
正蓝旗,セイアイハタ
卢沟桥,ロコウキョウ
稻城亚丁,イナギアヒノト
中国人民解放军海军陆战队,チュウゴクジンミンカイホウグンカイグンリクセンタイ
大雁塔,ダイカリトウ
贞丰县,サダユタカケン
喀喇沁旗,カラチンキ
梅赛德斯奔驰文化中心,メルセデスベンツアリーナ
赤柱,アカバシラ
砚山县,スズリヤマガタ
嘉陵江,ヨシミリョウコウ
锡伯族,シベゾク
北角,キタズミ
山东泰山足球俱乐部,サントウタイザンアシダマクラブ
中华人民共和国监察部,チュウカジンミンキョウワコクカンサツブ
鄂伦春族,オロチョンゾク
茶陵县,チャリョウケン
治多县,チタケン
志丹县,ココロザシニケン
本溪满族自治县,モトケイマンゾクジチケン
萨吾尔山,サウルサンミャク
南京地铁,ナンキンチカテツ
辽宁足球俱乐部,リョウネイヒロシウンアシダマクラブ
安岳县,ヤスタケケン
山海关,サンカイセキ
长沙县,チョウイサゴケン
庆云县,ケイクモケン
昌宁县,アキラヤスシケン
汉长陵,チョウリョウ
长岭县,ナガミネケン
长宁县,チョウヤスシケン
便宜坊,ベンギボウ
家庭联产承包责任制,セイサンセキニンセイ
南迦巴瓦峰,ナムチャバルワ
昌黎县,アキラハジムケン
长海县,ナガミケン
昌乐县,アキララクケン
织金县,オキンケン
中方县,ナカホウケン
仲巴县,ドンパケン
忠县,タダケン
支提华严寺,ケゴンテラ
中国尊,チュウゴクミコト
中江县,ナカエケン
中华书局有限公司,チュウカショキョク
易县,エキケン
东方红人造卫星系列,トウホウベニ
阿拉善盟,アルシャーメイ
中国铝业,チュウゴクアルミニウム
北京古观象台,ペキンイニシエカンゾウダイ
陈巴尔虎旗,チンバルグハタ
灵丘县,レイオカケン
建宁县,タテヤスシケン
终南山,オワリナンザン
清丰县,セイユタカケン
长汀县,チョウテイケン
长顺县,チョウジュンケン
藏北高原,チャンタンコウゲン
常山县,ツネヤマケン
黎城县,ハジムグスクケン
壶关县,ツボセキケン
长武县,ナガタケケン
长兴县,チョウオキケン
昌图县,アキラズケン
长阳土家族自治县,チョウヨウトゥチャゾクジチケン
中宁县,ナカヤスシケン
上海地铁,シャンハイキドウコウツウ
唐山大地震,カラヤマジシン
彝族,イゾク
安多县,アムドケン
响水县,ヒビキスイケン
人人网,ヒトビトモウ
郑西客运专线,テイニシリョカクセンヨウセン
茅盾文学奖,カヤタテブンガクショウ
中阳县,チュウヨウケン
喀喇昆仑山口,カラコルムトウゲ
白朗县,パナムケン
神池县,カミイケケン
灵石县,レイセキケン
怀来县,フトコロライケン
中日韩领导人会议,ニチチュウカンシュノウカイダン
西伯利亚高压,シベリアコウキアツ
民航空运公司,ミンコウソラウンコウシ
中国龙队,チャイナドラゴン
朝阳县,アサヒケン
中国人民志愿军,チュウゴクジンミンシガングン
元上都,ウエト
长春亚泰足球俱乐部,チョウシュンアタイアシダマクラブ
