セッシュウ,셋슈,sesshuu,sessyu
イエジュウ,야나카,iejuu,yanaka
ソラ,소라,sora,sora
スイデン,미즈타,suiden,mijeuta
ワサビ,와사비,wasabi,wasabi
サカイトシ,사카이,sakaitoshi,sakai
ホソガイ,호소가이,hosogai,hosogai
モエ,하지메,moe,hajime
ヨシノブ,요시노부,yoshinobu,yosinobu
タカクス,다카쿠스,takakusu,dakakuseu
ジュンジロウ,준지로,junjirou,junjiro
ワミズウミ,와코,wamizuumi,wako
コウカメ,고카메야마,koukame,gokameyama
ヤマテンスメラギ,천황,yamatensumeragi,ceonhwang
ナリヒラ,나리히라,narihira,narihira
コウハナ,고하나조노,kouhana,gohanajono
エンテンノウ,천황,entennou,ceonhwang
カツラタダシ,카츠라,katsuratadashi,kaceura
ウメハラ,우메하라,umehara,umehara
ダイワレ,다이고,daiware,daigo
イサゴナエ,사나에,isagonae,sanae
ノウミ,노미,noumi,nomi
タカツカサ,다카쓰카사,takatsukasa,dakasseukasa
ヒラドオリ,도시미치,hiradoori,dosimici
タクアン,다쿠안,takuan,dakuan
ソウホウ,소호,souhou,soho
カワモリ,카와모리,kawamori,kawamori
ムネノリ,무네노리,munenori,munenori
シノブ,노부오,shinobu,nobuo
テラオ,테라오,terao,terao
サト,아키라,sato,akira
ショウフジ,고토,shoufuji,goto
ブンジロウ,분지로,bunjirou,bunjiro
マサヨ,마사요,masayo,masayo
モクホン,키모토,mokuhon,kimoto
ユウヤ,유야,yuuya,yuya
エイアキラ,에이쇼,eiakira,eisyo
ダンミガク,단,danmigaku,dan
ミガク,다쿠마,migaku,dakuma
ヘイゾウ,헤이조,heizou,heijo
タカミネ,타카미네,takamine,takamine
フジイ,후지이,fujii,hujii
ヒロヒサ,히로히사,hirohisa,hirohisa
ミツハル,미쓰하루,mitsuharu,misseuharu
ミヤコ,미야코,miyako,miyako
カヤノ,가야노,kayano,gayano
タカシテン,다카노리,takashiten,dakanori
ミヤベ,미야베,miyabe,miyabe
アシタサイ,아스나,ashitasai,aseuna
イナダ,이나다,inada,inada
エツコ,에쓰코,etsuko,esseuko
セキツトム,세키,sekitsutomu,seki
ホウダ,타카라다,houda,takarada
ツナシゲ,쓰나시게,tsunashige,sseunasige
カワノ,가와노,kawano,gawano
ジュンジ,준지,junji,junji
オサムト,슈토,osamuto,syuto
ヒダリノスケ,사노스케,hidarinosuke,sanoseuke
サカキバラ,사카키바라,sakakibara,sakakibara
ワキヤ,와키야,wakiya,wakiya
アサオ,아사오,asao,asao
ノミ,노미,nomi,nomi
オニニワ,오니니와,oniniwa,oniniwa
ツナモト,쓰나모토,tsunamoto,sseunamoto
イヌシン,이누가미,inushin,inugami
ヒノ,히노,hino,hino
ユリカ,유리카,yurika,yurika
カナコ,카나코,kanako,kanako
ハラアリサ,아리사,haraarisa,arisa
ウミホリ,가이호리,umihori,gaihori
アイミ,메구미,aimi,megumi
ユメホ,미즈호,yumeho,mijeuho
シンワ,신와,shinwa,sinwa
サダカツ,사다카쓰,sadakatsu,sadakasseu
キタシロ,기타시라카와,kitashiro,gitasirakawa
カワブサコ,후사코,kawabusako,husako
ヒトシキョウ,나리오키,hitoshikyou,narioki
ヨシカツ,요시카쓰,yoshikatsu,yosikasseu
フジヤマ,후지야마,fujiyama,hujiyama
タイガ,오가,taiga,oga
フジノ,후지노,fujino,hujino
カホル,카오루,kahoru,kaoru
オブチ,오부치,obuchi,obuci
ハクオット,하쿠오,hakuotto,hakuo
ジンサイ,진사이,jinsai,jinsai
タジリ,다지리,tajiri,dajiri
タヒロシロウ,히로,tahiroshirou,hiro
ニシザキ,니시자키,nishizaki,nisijaki
ギテン,요시노부,giten,yosinobu
ホリキタ,호리키타,horikita,horikita
ヤブメグミ,야부,yabumegumi,yabu
タチバナケイ,다치바나,tachibanakei,dacibana
トヨグチ,토요구치,toyoguchi,toyoguci
ナグモ,나구모,nagumo,nagumo
タカツカ,타카츠카,takatsuka,takaceuka
マサヤ,마사야,masaya,masaya
ヌマタ,누마타,numata,numata
ウサギツカ,우사츠카,usagitsuka,usaceuka
タカイワ,타카이와,takaiwa,takaiwa
タカラヒサシ,호키,takarahisashi,hoki
カツコトブキ,가쓰히사,katsukotobuki,gasseuhisa
ミエイコ,미에코,mieiko,mieko
タクミバ,다쿠마,takumiba,dakuma
アリサワ,아리사와,arisawa,arisawa
マミズ,마미즈,mamizu,mamijeu
サトシタカシ,도모타카,satoshitakashi,domotaka
サイキョウ,나오,saikyou,nao
ショウナン,쇼난,shounan,syonan
フクサカリ,후쿠모리,fukusakari,hukumori
ヒガシヤマ,토야마,higashiyama,toyama
アズマヒサ,히가시쿠니,azumahisa,higasikuni
ミヤノブヒトシンノウ,노부히토,miyanobuhitoshinnou,nobuhito
ヨシトキ,요시토키,yoshitoki,yositoki
セト,세토,seto,seto
アツコ,아츠코,atsuko,aceuko
クサフトシ,소타,kusafutoshi,sota
カズヒサシ,와오,kazuhisashi,wao
ヨウカ,요우카,youka,youka
ボウジロウ,후사지로,boujirou,husajiro
チョクアキラ,나오아키,chokuakira,naoaki
ツブセワタル,다쿠야,tsubusewataru,dakuya
イワシタ,이와시타,iwashita,iwasita
タカウジ,다카우지,takauji,dakauji
チュウドウ,다다미치,chuudou,dadamici
ニシゾノ,사이온지,nishizono,saionji
テラキンモチ,긴모치,terakinmochi,ginmoci
ヤマガタ,야마가타,yamagata,yamagata
アリトモ,아리토모,aritomo,aritomo
カクエイ,가쿠에이,kakuei,gakuei
スマコ,수마코,sumako,sumako
ソリダタカシ,미쓰루,soridatakashi,misseuru
ナカマチ,나카마치,nakamachi,nakamaci
オオヤケユウ,고스케,ooyakeyuu,goseuke
アドユメ,아토무,adoyume,atomu
イクラ,이쿠라,ikura,ikura
スイタク,미즈사와,suitaku,mijeusawa
フミエ,후미에,fumie,humie
ヒョウドウ,효도,hyoudou,hyodo
マキツヨシ,신고,makitsuyoshi,singo
クサノ,구사노,kusano,gusano
アルメ,아리메,arume,arime
カネク,가네히사,kaneku,ganehisa
ヒロシユウ,고스케,hiroshiyuu,goseuke
ヨシオカ,요시오카,yoshioka,yosioka
オオタケ,오타케,ootake,otake
ハタケヤマ,하타케야마,hatakeyama,hatakeyama
ウラノ,우라노,urano,urano
ケンシン,켄신,kenshin,kensin
カツオ,가쓰오,katsuo,gasseuo
ツネキョウ,쓰네오키,tsunekyou,sseuneoki
カセ,카세,kase,kase
サキヤマ,마에야마다,sakiyama,maeyamada
スギウラ,스기우라,sugiura,seugiura
タイヨウ,타이요,taiyou,taiyo
イチサトシ,이치무라,ichisatoshi,icimura
ムラショウシン,오마,murashoushin,oma
ヒダリナイ,사나이,hidarinai,sanai
ヤマヨウコ,요코,yamayouko,yoko
イタガキ,이타가키,itagaki,itagaki
タイスケ,다이스케,taisuke,daiseuke
ビジュン,미유키,bijun,miyuki
シジ,시지,shiji,siji
イイクラ,이이쿠라,iikura,iikura
キノモト,키노모토,kinomoto,kinomoto
ミネヒロシ,미네히로,minehiroshi,minehiro
フジタニ,후지타니,fujitani,hujitani
シマ,시마,shima,sima
キヨヒデ,기요히데,kiyohide,giyohide
ゴゼン,고젠,gozen,gojen
モリアンズ,모리,morianzu,mori
マリコ,마리코,mariko,mariko
ツチタ,쓰치다,tsuchita,sseucida
マリヤ,마리야,mariya,mariya
ナカマタ,나카마타,nakamata,nakamata
シオサト,시오리,shiosato,siori
ウメダ,우메다,umeda,umeda
スズラン,스즈란,suzuran,seujeuran
リンコウ,도모카,rinkou,domoka
マサトミ,마사토미,masatomi,masatomi
シャ,야시로,sha,yasiro
ナルフ,나루호도,narufu,naruhodo
ウガキ,우가키,ugaki,ugaki
ヒデナリ,히데나리,hidenari,hidenari
アリス,아리스,arisu,ariseu
アイナ,아이나,aina,aina
ジツエコ,미에코,jitsueko,mieko
ゴウリキ,고리키,gouriki,goriki
アヤメ,아야메,ayame,ayame
テタバ,데즈카,tetaba,dejeuka
マチコ,마치코,machiko,maciko
オキツ,오키츠,okitsu,okiceu
ムラヤマ,무라야마,murayama,murayama
ウメモト,우메모토,umemoto,umemoto
マドカ,마도카,madoka,madoka
キドウホマレ,도요,kidouhomare,doyo
キタバタケ,기타바타케,kitabatake,gitabatake
アキイエ,아키이에,akiie,akiie
モリカ,모리,morika,mori
キョウセン,오키노리,kyousen,okinori
タダシ,모로나오,tadashi,moronao
オノエ,오노에,onoe,onoe
マツノスケ,마츠노스케,matsunosuke,maceunoseuke
イデグチ,데구치,ideguchi,deguci
タケシ,소,takeshi,so
シツキ,우타쓰키,shitsuki,utasseuki
バンザン,반잔,banzan,banjan
オクダ,오쿠다,okuda,okuda
ミンセイ,다미오,minsei,damio
オオホリ,오호리,oohori,ohori
キュウ,리큐,kyuu,rikyu
サカマサヤ,마사야,sakamasaya,masaya
ツジタニ,츠지타니,tsujitani,ceujitani
ゴロウ,고로,gorou,goro
タケヒコ,다케히코,takehiko,dakehiko
オサムヒロシ,노부히로,osamuhiroshi,nobuhiro
ヤナイ,야나이,yanai,yanai
クロベ,구로베,kurobe,gurobe
ミツアキ,데루아키,mitsuaki,deruaki
ツギタニ,쓰기타니,tsugitani,sseugitani
アキモト,아키모토,akimoto,akimoto
オグリ,오구리,oguri,oguri
スギモリ,스기모리,sugimori,seugimori
グシ,구시켄,gushi,gusiken
ケンヨウダカ,요코,kenyoudaka,yoko
ミン,민,min,min
カザマ,카자마,kazama,kajama
ドモン,도몬,domon,domon
イヅツ,이즈쓰,idzutsu,ijeusseu
アワ,아와노,awa,awano
ノヒデユキ,히데유키,nohideyuki,hideyuki
ナガヤマ,나가야마,nagayama,nagayama
アヤト,켄토,ayato,kento
ワカナ,와카나,wakana,wakana
コウリョウ,코라,kouryou,kora
ケンゴ,켄고,kengo,kengo
ヒカリムネ,미츠무네,hikarimune,miceumune
タニシノブ,시노부,tanishinobu,sinobu
ホタダヨ,다다요,hotadayo,dadayo
カシワミユキ,카시와,kashiwamiyuki,kasiwa
マツユキ,마츠유키,matsuyuki,maceuyuki
アイブ,아이부,aibu,aibu
シャキ,사키,shaki,saki
センダイ,센다이,sendai,sendai
ハクドオリ,히로미치,hakudoori,hiromici
ナガテ,나가테,nagate,nagate
コイデ,코이데,koide,koide
メグミカイ,케이스케,megumikai,keiseuke
イウラ,이우라,iura,iura
ヨシトモヒコ,미치히코,yoshitomohiko,micihiko
トモアキラ,도모아키,tomoakira,domoaki
タマモリ,타마모리,tamamori,tamamori
エレナ,에레나,erena,erena
ヨネザワ,요네자와,yonezawa,yonejawa
キミ,노조미,kimi,nojomi
シンモト,노부모토,shinmoto,nobumoto
サクラ,사쿠라,sakura,sakura
アヤオン,아야네,ayaon,ayane
クマキ,쿠마키,kumaki,kumaki
ジョウツカサ,조지,joutsukasa,joji
キノボウ,노리후사,kinobou,norihusa
ロハン,로한,rohan,rohan
カジュン,카스미,kajun,kaseumi
チョクシゲル,나오시게,chokushigeru,naosige
クニ,구니노미야,kuni,guninomiya
マツシゲ,마츠시게,matsushige,maceusige
フブキ,후부키,fubuki,hubuki
アサオカ,아사오카,asaoka,asaoka
ルリコ,루리코,ruriko,ruriko
ジュモク,키키,jumoku,kiki
キリン,키린,kirin,kirin
ミナミダイラ,난페이,minamidaira,nanpei
イエス,미쓰오,iesu,misseuo
セイダイ,마사히로,seidai,masahiro
モリノ,모리노,morino,morino
イケワキ,이케와키,ikewaki,ikewaki
ホンミョウ,혼나,honmyou,honna
シマブクロ,시마부쿠로,shimabukuro,simabukuro
アオモリ,아오모리,aomori,aomori
ヒサミツ,히사미쓰,hisamitsu,hisamisseu
クニナカ,쿠니나카,kuninaka,kuninaka
ユリコ,유리코,yuriko,yuriko
ハルノ,하루노,haruno,haruno
コトブキミレイ,스미레,kotobukimirei,seumire
セイカ,세이카,seika,seika
コウブンヨ,후미요,koubunyo,humiyo
カシワバラ,카시와바라,kashiwabara,kasiwabara
キシベ,키시베,kishibe,kisibe
ワタリアキラ,와타리,watariakira,watari
カンガオ,완얀,kangao,wanyan
オモネホネダ,아구다,omonehoneda,aguda
トヨハラ,토요하라,toyohara,toyohara
コウスケ,코스케,kousuke,koseuke
モリグチ,모리구치,moriguchi,moriguci
カワサキ,가와사키,kawasaki,gawasaki
ナシシャ,리사,nashisha,risa
ハクオウ,하쿠오,hakuou,hakuo
サエキ,사에키,saeki,saeki
ソメヤ,소메타니,someya,sometani
ショウタ,쇼타,shouta,syota
ナオタカ,나오타카,naotaka,naotaka
キヨヤス,기요야스,kiyoyasu,giyoyaseu
カワミヤイジンシンノウ,다케히토,kawamiyaijinshinnou,dakehito
フク,후쿠,fuku,huku
カミサカ,우에사카,kamisaka,uesaka
キサカ,기사카,kisaka,gisaka
イソガイ,이소가이,isogai,isogai
カドカイ,렌스케,kadokai,renseuke
ミナミサワ,미나미사와,minamisawa,minamisawa
ツブセアツシ,타쿠마,tsubuseatsushi,takuma
シンノスケ,신노스케,shinnosuke,sinnoseuke
オシビ,오시오,oshibi,osio
ガク,마나부,gaku,manabu
アンジュ,안즈,anju,anjeu
ユキトシ,유키토키,yukitoshi,yukitoki
オウミ,오미,oumi,omi
チナガ,토모에,chinaga,tomoe
ウチヤマ,우치야마,uchiyama,uciyama
ミヤマエ,미야마에,miyamae,miyamae
オオイズミ,오오이즈미,ooizumi,ooijeumi
ヨウ,요,you,yo
イマワノ,이마와노,imawano,imawano
キヨシロウ,키요시로,kiyoshirou,kiyosiro
シンボク,카미키,shinboku,kamiki
タカユキカイ,류노스케,takayukikai,ryunoseuke
リュウセイ,다카모리,ryuusei,dakamori
コマノ,고마노,komano,gomano
モリモト,모리모토,morimoto,morimoto
コウシルベオンナ,딸,koushirubeonna,ddal
ススムジロウ,신지로,susumujirou,sinjiro
ウリュウ,우류,uryuu,uryu
ソトキチ,소토키치,sotokichi,sotokici
カツヨリ,가쓰요리,katsuyori,gasseuyori
タナオイエ,나오이에,tanaoie,naoie
スザキ,스자키,suzaki,seujaki
トシカツ,도시카쓰,toshikatsu,dosikasseu
セイオウ,기요타카,seiou,giyotaka
ワカオ,와카오,wakao,wakao
エナツ,에나쓰,enatsu,enasseu
ニシマタ,니시마타,nishimata,nisimata
リュウヘイ,류헤이,ryuuhei,ryuhei
ホリアヤ,호리,horiaya,hori
ユギ,유기,yugi,yugi
トモヒサ,토모히사,tomohisa,tomohisa
ジツニッシ,미카코,jitsunisshi,mikako
ジドウレンゾクサツガイジケン,스즈카,jidourenzokusatsugaijiken,seujeuka
ハチスホトケ,렌부츠,hachisuhotoke,renbuceu
ミサコ,미사코,misako,misako
カキサワ,가키자와,kakisawa,gakijawa
アラシリョウタ,료타,arashiryouta,ryota
マキツカサ,신지,makitsukasa,sinji
シゲヨシ,주키치,shigeyoshi,jukici
タルユカ,다루토코,taruyuka,darutoko
ブナウシ,조규,bunaushi,jogyu
ダイブツ,오사라기,daibutsu,osaragi
サトサイコ,리나코,satosaiko,rinako
モトタダ,모토타다,mototada,mototada
トラヒコ,도라히코,torahiko,dorahiko
ツツミヤスシ,쓰쓰미,tsutsumiyasushi,sseusseumi
ムラエイナシ,에리,muraeinashi,eri
ニシヅカ,니시즈카,nishidzuka,nisijeuka
ヤスミ,야스토미,yasumi,yaseutomi
ヒガシクマ,도쿠마,higashikuma,dokuma
クロセ,쿠로세,kurose,kurose
マナミ,마나미,manami,manami
モロツカ,모로즈카,morotsuka,morojeuka
コウナミ,카나미,kounami,kanami
ハラユカリ,하라,harayukari,hara
ヒロシキ,히로키,hiroshiki,hiroki
ジョウユウ,조유,jouyuu,joyu
フミヒロ,후미히로,fumihiro,humihiro
カワアキコ,아키코,kawaakiko,akiko
ツネヒサ,쓰네히사,tsunehisa,sseunehisa
トシヒコ,도시히코,toshihiko,dosihiko
キオモヒロ,가즈히로,kiomohiro,gajeuhiro
ヨリノブ,요리노부,yorinobu,yorinobu
ソウオサム,무네하루,souosamu,muneharu
ミツサダ,미쓰사다,mitsusada,misseusada
クサカベ,구사카베노,kusakabe,gusakabeno
ツブテ,레키,tsubute,reki
アイヒツジ,마나미,aihitsuji,manami
タニザワ,야자와,tanizawa,yajawa
エグチ,에구치,eguchi,eguci
ウトク,우토쿠,utoku,utoku
アキシノ,아키시노노미야,akishino,akisinonomiya
ミヤブンジンシンノウ,후미히토,miyabunjinshinnou,humihito
イナモト,이나모토,inamoto,inamoto
セイムネ,마사무네,seimune,masamune
ニシキオリ,니시코리,nishikiori,nisikori
タニガキ,다니가키,tanigaki,danigaki
セトナ,세토나,setona,setona
チョウケイ,조케이,choukei,jokei
カワミヤタルヒトシンノウ,다루히토,kawamiyataruhitoshinnou,daruhito
ツネマツ,츠네마츠,tsunematsu,ceunemaceu
アイラ,아이라,aira,aira
チイ,치이,chii,cii
ホルミ,루미,horumi,rumi
タカシナ,다카시나노,takashina,dakasinano
ミチミヤビ,미치마사,michimiyabi,micimasa
フトアキラ,다이스케,futoakira,daiseuke
マユミシン,단,mayumishin,dan
イハ,이하,iha,iha
ホタルユキ,호타루,hotaruyuki,hotaru
ハナタ,하나다,hanata,hanada
キョウタロウ,교타로,kyoutarou,gyotaro
リョウタイラ,료헤이,ryoutaira,ryohei
イズミヤ,이즈미야,izumiya,ijeumiya
ヨシキヨ,요시키요,yoshikiyo,yosikiyo
アサハラ,아사하라,asahara,asahara
ウエマツ,우에마쓰,uematsu,uemasseu
ニンコウ,닌코,ninkou,ninko
ホリカワ,호리카와,horikawa,horikawa
ノアキコ,아키코,noakiko,akiko
コヤス,코야스,koyasu,koyaseu
カツラ,가쓰라,katsura,gasseura
スエヒロ,스에히로,suehiro,seuehiro
イエサト,이에사토,iesato,iesato
ノブツナ,노부쓰나,nobutsuna,nobusseuna
タツミ,다쓰미,tatsumi,dasseumi
オオセ,오세,oose,ose
ナカジマ,나카지마,nakajima,nakajima
シラタマ,시라타마,shiratama,siratama
シオノ,시오노,shiono,siono
カワナカ,카와나카,kawanaka,kawanaka
ヤスシイサム,타이,yasushiisamu,tai
ヤナギタカシ,야나기,yanagitakashi,yanagi
コガタ,오가타,kogata,ogata
ミツル,미츠루,mitsuru,miceuru
ヨシカズ,요시카즈,yoshikazu,yosikajeu
マリシゲル,마리모,marishigeru,marimo
アイリ,아이리,airi,airi
オオトリ,오토리,ootori,otori
ヒロノブ,히로노부,hironobu,hironobu
サワダン,사와오,sawadan,sawao
ヒロイエ,히로이에,hiroie,hiroie
ヘキル,헤키루,hekiru,hekiru
スガヌマ,스가누마,suganuma,seuganuma
マキブン,마키,makibun,maki
コウレイ,고레이,kourei,gorei
タカヤス,고안,takayasu,goan
ニントク,닌토쿠,nintoku,nintoku
テルマ,텔마,teruma,telma
ヒガミ,히노우에,higami,hinoue
イタル,이타루,itaru,itaru
リミ,리미,rimi,rimi
ムカイダ,무코다,mukaida,mukoda
クニコ,구니코,kuniko,guniko
ヨシズミ,요시즈미,yoshizumi,yosijeumi
ヨシモチ,요시모치,yoshimochi,yosimoci
アキラクン,아키노리,akirakun,akinori
ミヤサダアイシンノウ,사다나루,miyasadaaishinnou,sadanaru
キマレ,노조미,kimare,nojomi
ハクマコト,하쿠,hakumakoto,haku
オモシカ,시게나리,omoshika,sigenari
イケマツ,이케마츠,ikematsu,ikemaceu
タケシアキラ,소스케,takeshiakira,soseuke
マサズミ,마사즈미,masazumi,masajeumi
キノシタ,키노시타,kinoshita,kinosita
アカオリ,아카리,akaori,akari
チュウタ,주타,chuuta,juta
クワバラ,구와바라,kuwabara,guwabara
ムラサキカイサト,시호리,murasakikaisato,sihori
スエマツ,스에마쓰,suematsu,seuemasseu
ケンチョウ,겐초,kenchou,genco
ミオリ,미오리,miori,miori
タサキ,타자키,tasaki,tajaki
ユウイサゴ,아리사,yuuisago,arisa
ソラジョウ,쿠죠,sorajou,kujyo
ウケタマワタロウ,죠타로,uketamawatarou,jyotaro
メイチ,아케치,meichi,akeci
ミツヒデ,미쓰히데,mitsuhide,misseuhide
アンネイ,안네이,annei,annei
ヒデヨリ,히데요리,hideyori,hideyori
クロヤナギ,쿠로야나기,kuroyanagi,kuroyanagi
テツコ,테츠코,tetsuko,teceuko
フクブ,소에무,fukubu,soemu
アキラフトシ,에이타,akirafutoshi,eita
ショウジサネアツ,사네아쓰,shoujisaneatsu,saneasseu
アサエダ,마에다,asaeda,maeda
キタハラ,키타하라,kitahara,kitahara
サヤコウ,사야카,sayakou,sayaka
チカフサ,지카후사,chikafusa,jikahusa
オギ,오기소,ogi,ogiso
モリタカ,모리타카,moritaka,moritaka
ジツカタ,사네카타,jitsukata,sanekata
アキラミ,아키자네,akirami,akijane
ユリア,유리아,yuria,yuria
イコマ,이코마,ikoma,ikoma
シンタダシ,지카마사,shintadashi,jikamasa
マエノ,마에노,maeno,maeno
チョウヤスシ,나가야스,chouyasushi,nagayaseu
ユメワレ,유고,yumeware,yugo
タカモト,타카모토,takamoto,takamoto
メイ,메이,mei,mei
チョウサカリ,나가모리,chousakari,nagamori
サキタイラ,사쿠헤이,sakitaira,sakuhei
アシナ,아시나,ashina,asina
ホシ,세이,hoshi,sei
レイモト,레이겐,reimoto,reigen
ヒカリカク,고카쿠,hikarikaku,gokaku
モモゾノ,모모조노,momozono,momojono
サクラマチ,사쿠라마치,sakuramachi,sakuramaci
アキラジュ,고키,akiraju,goki
ツヨシアキラ,고쇼,tsuyoshiakira,gosyo
シライシ,하쿠세키,shiraishi,hakuseki
ノブヒト,노부히토,nobuhito,nobuhito
シンノウヒキクコ,친왕비,shinnouhikikuko,cinwangbi
タダカツ,다다카쓰,tadakatsu,dadakasseu
タイサク,다이사쿠,taisaku,daisaku
ワタルウミ,아마네,wataruumi,amane
スナ,미사,suna,misa
カンム,간무,kanmu,ganmu
シデヒトシ,스이닌,shidehitoshi,seuinin
サクラバ,사쿠라바,sakuraba,sakuraba
ナナミ,나나미,nanami,nanami
タリシン,토시노부,tarishin,tosinobu
カワヨシユキ,요시유키,kawayoshiyuki,yosiyuki
キゾウノカイ,쿠라노스케,kizounokai,kuranoseuke
ジュンヤ,준야,junya,junya
タカノブ,다카노부,takanobu,dakanobu
ブユウ,유,buyuu,yu
キノヌキ,기노,kinonuki,gino
ノギ,노기,nogi,nogi
マレスケ,마레스케,maresuke,mareseuke
ノガミ,노가미,nogami,nogami
ヤヨコ,야에코,yayoko,yaeko
キド,기도,kido,gido
ツグミチ,주도,tsugumichi,judo
ホテイ,호테이,hotei,hotei
トモヤス,토모야스,tomoyasu,tomoyaseu
ハヤオツ,사오토메,hayaotsu,saotome
ジョランバ,란마,joranba,ranma
ヨシキチ,가키치,yoshikichi,gakici
ノナカ,노나카,nonaka,nonaka
ヒロム,히로무,hiromu,hiromu
ヒガシシ,아즈마,higashishi,ajeuma
ブリョウキチ,료키치,buryoukichi,ryokici
アサザトヤスシ,마리아,asazatoyasushi,maria
イズミキョウ,이즈미,izumikyou,ijeumi
トウコク,도코쿠,toukoku,dokoku
コータロー,고타로,kōtarō,gotaro
オオモリ,오오모리,oomori,oomori
ミナミトモ,나오,minamitomo,nao
ツグトモ,쓰구토모,tsugutomo,sseugutomo
タケオカ,다케오카,takeoka,dakeoka
ノナミ,노나미,nonami,nonami
マホ,마호,maho,maho
アカオ,아카오,akao,akao
クスシ,야쿠시마루,kusushi,yakusimaru
マルヒロコ,히로코,maruhiroko,hiroko
ミワコ,미와코,miwako,miwako
オオオカ,오오카,oooka,ooka
タダスケ,다다스케,tadasuke,dadaseuke
イズミマサシ,이즈미,izumimasashi,ijeumi
ナルサダ,나리사다,narusada,narisada
ナヅカ,나즈카,nadzuka,najeuka
キビ,기비노,kibi,gibino
マビ,마키비,mabi,makibi
ヒカミ,히카미,hikami,hikami
チチブ,지치부노미야,chichibu,jicibunomiya
ミヤヤスヒトシンノウ,야스히토,miyayasuhitoshinnou,yaseuhito
カツミ,가쓰,katsumi,gasseu
フネ,가이슈,fune,gaisyu
タカスギ,다카스기,takasugi,dakaseugi
シンサク,신사쿠,shinsaku,sinsaku
トドロキユウ,토도로키,todorokiyuu,todoroki
マコトサトル,신고,makotosatoru,singo
ノブタカ,노부타카,nobutaka,nobutaka
タモン,다몬,tamon,damon
イサワ,이자와,isawa,ijawa
タキオ,다키오,takio,dakio
タニヒサシ,다니,tanihisashi,dani
オット,히사오,otto,hisao
イエミ,에미,iemi,emi
ワタルテル,노부테루,wataruteru,nobuteru
カンヨウ,야스하루,kanyou,yaseuharu
シュ,아케미,shu,akemi
シドウ,시도,shidou,sido
オカキヨシ,오카,okakiyoshi,oka
カメダ,카메다,kameda,kameda
ガヒガシ,카토,gahigashi,kato
ミチコウ,미치타카,michikou,micitaka
シグレ,시구사와,shigure,sigusawa
マサオカ,마사오카,masaoka,masaoka
シキ,시키,shiki,siki
ゼンコウ,젠코,zenkou,jenko
コイソ,고이소,koiso,goiso
クニアキ,구니아키,kuniaki,guniaki
コウモモ,고모모조노,koumomo,gomomojono
ヒデタダ,히데타다,hidetada,hidetada
カンスケ,간스케,kansuke,ganseuke
イエミツ,이에미쓰,iemitsu,iemisseu
チュウオ,나카미카도,chuuo,nakamikado
テンジ,덴지,tenji,denji
コクブ,고쿠분,kokubu,gokubun
タニトモカイ,유스케,tanitomokai,yuseuke
キリイ,키리이,kirii,kirii
チエコ,치에코,chieko,cieko
シンノウヒノブコ,친왕비,shinnouhinobuko,cinwangbi
タクボク,다쿠보쿠,takuboku,dakuboku
ナンリ,난리,nanri,nanri
ユウカ,유카,yuuka,yuka
タケシタ,다케시타,takeshita,dakesita
トウ,노보루,tou,noboru
コウアキラ,다카아키,kouakira,dakaaki
オオヒラ,오히라,oohira,ohira
カイフ,가이후,kaifu,gaihu
トシキ,도시키,toshiki,dosiki
ミヤノヒトシシンノウ,고토히토,miyanohitoshishinnou,gotohito
ヨシナガ,요시나가,yoshinaga,yosinaga
タカヒサ,다카히사,takahisa,dakahisa
ヒラシマ,히라지마,hirashima,hirajima
エミフク,쇼후쿠테이,emifuku,syohukutei
チンツルビン,츠루베,chintsurubin,ceurube
オオシオ,오시오,ooshio,osio
ハラミキ,하라,haramiki,hara
タスクケイ,유카,tasukukei,yuka
ヒロチュウ,히로타다,hirochuu,hirotada
リオ,리오,rio,rio
タダヨ,다다요,tadayo,dadayo
イケザワ,이케자와,ikezawa,ikejawa
イワアキラ,이와아키,iwaakira,iwaaki
シュミ,아케미,shumi,akemi
フジサキ,후지사키,fujisaki,hujisaki
ハクシュウ,하쿠슈,hakushuu,hakusyu
ナカエ,나카에,nakae,nakae
サユリ,사유리,sayuri,sayuri
ラン,란,ran,ran
フミマロ,후미마로,fumimaro,humimaro
ソウタスク,소스케,soutasuku,soseuke
アシダ,아시다,ashida,asida
コレキヨ,고레키요,korekiyo,gorekiyo
コレワタル,유키야,korewataru,yukiya
ナガクラ,나가쿠라,nagakura,nagakura
シゲタロウ,시게타로,shigetarou,sigetaro
オワ,오와다,owa,owada
クスノセ,구스노세,kusunose,guseunose
サチヒコ,유키히코,sachihiko,yukihiko
タネオミ,다네오미,taneomi,daneomi
ト,켄토,to,kento
ソウツクル,소사쿠,soutsukuru,sosaku
タキホン,타키모토,takihon,takimoto
フジコ,후지코,fujiko,hujiko
タチバナヨシミ,다치바나노,tachibanayoshimi,dacibanano
イチキ,이치키,ichiki,iciki
ミツヒロ,미츠히로,mitsuhiro,miceuhiro
ヤナダ,야나다,yanada,yanada
イワノ,이와노,iwano,iwano
ヒメイノチ,히메노,himeinochi,himeno
ソウミ,소우미,soumi,soumi
ノブトラ,노부토라,nobutora,nobutora
チュウコウ,아타리,chuukou,atari
フジエ,후지에,fujie,hujie
ヨシザキ,요시자키,yoshizaki,yosijaki
カンノン,미네,kannon,mine
ゲヤ,시모노,geya,simono
クワガイ,쿠와타니,kuwagai,kuwatani
トヤマ,토야마,toyama,toyama
ジュリ,주리,juri,juri
