глюкоза,グリュコーザ,glyukoza
чайка,チャイカ,chayka
харыялах,ハリヤラフ,haryyalah
ябедино,ヤベジノ,yabedino
ороки,ウィルタ,oroki
звёздочка,ズビョズドチュカ,zvyozdochka
кубань,クバーニ,kuban
чугуевка,チュグエフカ,chuguevka
свободное,アタマジョウミズウミ,svobodnoe
юг,ユークダイタイ,yug
артык,アルティク,artyk
универсальный,ユニバーサル,universalnyy
ракетный,ロケット,raketnyy
модуль,モジュール,modul
усты,ウストィ,usty
григорьевка,グリゴリエフカ,grigorevka
черемшаны,チェレムシャニ,cheremshany
исады,イサドィ,isady
вежливые,リトル,vezhlivye
люди,グリーンメン,lyudi
городок,ゴロドク,gorodok
тауэр,タワー,tauer
детский,ジェーツキー,detskiy
кустур,クストゥル,kustur
добролёт,ドブロリョート,dobrolyot
ой,オイ,oy
джаргалах,ジャルガラフ,dzhargalah
сыаганнах,シアガンナフ,syagannah
сутуруоха,ストゥルオハ,suturuoha
фрунзе,フルンゼ,frunze
победа,ポベーダ,pobeda
панаевск,パナエフスク,panaevsk
верхние,ヴェルフニエ,verhnie
лихоборы,リホボルィ,lihobory
ратта,ラッタ,ratta
нижние,ニジニエ,nizhnie
красуха,クラスハ,krasuha
янтарь,ヤンターゾウセンショ,yantar
стриж,ストリージ,strizh
таврово,タブロヴォ,tavrovo
сабетта,サベッタ,sabetta
заслон,ザスローンブタイ,zaslon
хвалисекое,ノウヒトシコ,hvalisekoe
росгвардия,ロシアコッカシンエイタイ,rosgvardiya
юрий,ユーリ,yuriy
юнармия,セイショウネングン,yunarmiya
терют,テリュート,teryut
медиазона,メディアゾナ,mediazona
мост,チョウセン,most
дружбы,ロシアユウジョウキョウ,druzhby
периптавето,ペリプタヴェトコ,periptaveto
тамбей,タムベイ,tambey
моррасале,モルラサレ,morrasale
мордыяха,モルディヤハ,mordyyaha
таркосале,タルコサレ,tarkosale
дровяной,ドロヴャノイ,drovyanoy
верхнепышминский,ヴェルフナヤ,verhnepyshminskiy
мишустина,ミシュスティンナイカク,mishustina
чижик,チジク,chizhik
проект,プロエクト,proekt
российскоукраинский,ロシア,rossiyskoukrainskiy
кризис,ウクライナキキ,krizis
гром,グロム,grom
тыр,トィル,tyr
григорий,グリゴリー,grigoriy
перельман,ペレルマン,perelman
фёдор,フョードル,fyodor
достоевский,ドストエフスキー,dostoevskiy
трофимов,トロフィモフ,trofimov
евгений,エフゲニー,evgeniy
хелимский,ヘリムスキ,helimskiy
вадим,ヴァディム,vadim
бровцев,ブロフツェフ,brovcev
владимир,ウラジーミル,vladimir
карпец,カルペツ,karpec
алексей,アレクセイ,aleksey
дмитрик,ドミトリク,dmitrik
андрей,アンドレイ,andrey
звягинцев,ズビャギンツェフ,zvyagincev
анна,アンナ,anna
нетребко,ネトレプコ,netrebko
михаил,ミハイル,mihail
шишкин,シーシキン,shishkin
даниэль,ダニエル,daniel
фридман,フリドマン,fridman
сергей,セルゲイ,sergey
литвинов,リトヴィノフ,litvinov
мария,マリア,mariya
савинова,サビノワ,savinova
юлия,ユリア,yuliya
зарипова,ザルドネワ,zaripova
наталья,ナタリア,natalya
антюх,アントユフ,antyuh
эльвира,エリヴィラ,elvira
набиуллина,ナビウリナ,nabiullina
искандар,イスカンダル,iskandar
махмудов,マフムドフ,mahmudov
святослав,スヴャトスラフ,svyatoslav
рихтер,リヒテル,rihter
анатолий,アナトリー,anatoliy
фоменко,フォメンコ,fomenko
валерий,ヴァレリー,valeriy
быковский,ブィコフスキー,bykovskiy
ельцин,エリツィン,elcin
дарья,ダリア,darya
пищальникова,ピシャルニコワ,pishchalnikova
касперский,カスペルスキー,kasperskiy
елена,エレーナ,elena
исинбаева,イシンバエワ,isinbaeva
татьяна,タチアナ,tatyana
чернова,チェルノワ,chernova
лашманова,ラシュマノワ,lashmanova
каниськина,カニスキナ,kaniskina
кирдяпкин,キルジャプキン,kirdyapkin
ухов,ウーホフ,uhov
никольский,ニコルスキー,nikolskiy
софия,ソフィア,sofiya
губайдулина,グバイドゥーリナ,gubaydulina
гергиев,ゲルギエフ,gergiev
родион,ロディオン,rodion
щедрин,シチェドリン,shchedrin
леонтьев,レオンティエフ,leontev
лебедев,レベデフ,lebedev
карен,カレン,karen
шахназаров,シャフナザーロフ,shahnazarov
ксения,クセニヤ,kseniya
раппопорт,ラパポルト,rappoport
галина,ガリーナ,galina
зыбина,ジビナ,zybina
герасимов,ゲラシモフ,gerasimov
расул,ラスール,rasul
гамзатов,ガムザートフ,gamzatov
екатерина,エカテリーナ,ekaterina
юрьева,ユーリエワ,yureva
курёхин,クリョーヒン,kuryohin
павел,パーヴェル,pavel
попович,ポポーヴィチ,popovich
эдита,エディタ,edita
пьеха,ピエーハ,peha
черняев,チェルニャーエフ,chernyaev
стивен,スティーヴン,stiven
сигал,セガール,sigal
крамник,クラムニク,kramnik
николай,ニコライ,nikolay
апаликов,アパリコフ,apalikov
солженицын,ソルジェニーツィン,solzhenicyn
дементьева,デメンチェワ,dementeva
евгения,エフゲニア,evgeniya
манюкова,マニオコワ,manyukova
светлана,スヴェトラーナ,svetlana
пархоменко,パルホメンコ,parhomenko
елизавета,エリザヴェータ,elizaveta
боярская,ボヤルスカヤ,boyarskaya
винников,ヴィンニコフ,vinnikov
алла,アラ,alla
пугачёва,プガチョワ,pugachyova
курникова,クルニコワ,kurnikova
кириленко,キリレンコ,kirilenko
надежда,ナディア,nadezhda
петрова,ペトロワ,petrova
лысенко,ルイセンコ,lysenko
нина,ニーナ,nina
андреева,アンドレーエワ,andreeva
калашников,カラシニコフ,kalashnikov
морозов,モロゾフ,morozov
роман,ロマン,roman
абрамович,アブラモヴィッチ,abramovich
путин,プーチン,putin
кокорин,ココリン,kokorin
белоглазов,ベログラゾフ,beloglazov
губин,グビン,gubin
стадлер,スタドレル,stadler
осипов,オシポフ,osipov
басов,バソフ,basov
прохоров,プロホロフ,prohorov
дружинин,ドルジーニン,druzhinin
лукас,ルーカス,lukas
генюшас,ゲニューシャス,genyushas
карпов,カルポフ,karpov
марат,マラト,marat
сафин,サフィン,safin
олег,オレグ,oleg
попов,ポポフ,popov
виктор,ヴィクトル,viktor
ишаев,イシャエフ,ishaev
бабиков,バビコフ,babikov
политковская,ポリトコフスカヤ,politkovskaya
козлов,コズロフ,kozlov
дима,ジーマ,dima
билан,ビラーン,bilan
егор,エゴール,egor
гайдар,ガイダル,gaydar
виталий,ヴィタリー,vitaliy
петров,ペトロフ,petrov
литвиненко,リトビネンコ,litvinenko
чикатило,チカチーロ,chikatilo
ботвинник,ボトヴィニク,botvinnik
валентина,ヴァレンティナ,valentina
терешкова,テレシコワ,tereshkova
дмитрий,ドミトリー,dmitriy
язов,ヤゾフ,yazov
куликов,クリコフ,kulikov
огарков,オガルコフ,ogarkov
пажитнов,パジトノフ,pazhitnov
разборов,ラズボロフ,razborov
соколов,ソコロフ,sokolov
василий,ヴァシリー,vasiliy
иванович,イヴァーノヴィチ,ivanovich
мильнер,ミルナー,milner
никита,ニキータ,nikita
михалков,ミハルコフ,mihalkov
учитель,ウチーチェリ,uchitel
бондарчук,ボンダルチューク,bondarchuk
жерар,ジェラール,zherar
депардьё,ドパルデュー,depardyo
лариса,ラリサ,larisa
латынина,ラチニナ,latynina
елизаренкова,エリザレンコヴァ,elizarenkova
борчин,ボルチン,borchin
денис,デニス,denis
нижегородов,ニジェゴロドフ,nizhegorodov
сильнов,シルノフ,silnov
рытхэу,ルィトヘウ,rytheu
валерьевна,ペトロワ,valerevna
архипова,アルヒポワ,arhipova
пучков,プチコフ,puchkov
лев,レフ,lev
гумилёв,グミリョフ,gumilyov
бирюков,ビリュコフ,biryukov
власов,ウラソフ,vlasov
саитов,サイトフ,saitov
капица,カピッツァ,kapica
георгий,ゲオルギー,georgiy
сандерс,サンデルス,sanders
захар,ザハール,zahar
брон,ブロン,bron
дуров,デューロフ,durov
фрадков,フラトコフ,fradkov
кончаловский,コンチャロフスキー,konchalovskiy
зубков,ズブコフ,zubkov
халифман,カリフマン,halifman
аршавин,アルシャヴィン,arshavin
гинзбург,ギンツブルク,ginzburg
коллонтай,コロンタイ,kollontay
константин,コンスタンチン,konstantin
новосёлов,ノボセロフ,novosyolov
шарапова,シャラポワ,sharapova
тимати,ティマティ,timati
спасский,スパスキー,spasskiy
магомед,マゴメド,magomed
оздоев,オズドエフ,ozdoev
молчанова,モルチャノワ,molchanova
вероника,ベロニカ,veronika
дударова,ドゥダロワ,dudarova
охлобыстин,オクロロビンスティン,ohlobystin
алан,アラン,alan
дзагоев,ジャゴエフ,dzagoev
лукьяненко,ルキヤネンコ,lukyanenko
станислав,スタニスラフ,stanislav
парыгин,ボリス,parygin
сокуров,ソクーロフ,sokurov
медведев,メドヴェージェフ,medvedev
морилов,モリロフ,morilov
алёна,アレナ,alyona
сидько,シドコ,sidko
пашинин,パシニン,pashinin
лавров,ラブロフ,lavrov
пускепалис,パスケパリス,puskepalis
геннадий,ゲンナジー,gennadiy
янаев,ヤナーエフ,yanaev
коростелёва,コロステロワ,korostelyova
ренат,レナト,renat
янбаев,ヤンバエフ,yanbaev
башмет,バシュメット,bashmet
арнольд,アーノルド,arnold
мстислав,ムスティスラフ,mstislav
ростропович,ロストロポーヴィチ,rostropovich
герман,ゲルマン,german
титов,チトフ,titov
коротаев,コレターエフ,korotaev
колосс,コロッサス,koloss
арсен,アルセン,arsen
галстян,ガルスチャン,galstyan
стругацкий,ストルガツキー,strugackiy
белов,ベローフ,belov
ходорковский,ホドルコフスキー,hodorkovskiy
ашкенази,アシュケナージ,ashkenazi
альфред,アルフレット,alfred
шнитке,シュニトケ,shnitke
матвиенко,マトヴィエンコ,matvienko
кириченко,キリチェンコ,kirichenko
игорь,イーゴリ,igor
сысоев,シソエフ,sysoev
эдуард,エドゥアルド,eduard
успенский,ウスペンスキー,uspenskiy
ковалёв,コヴァリョフ,kovalyov
савицкая,サビツカヤ,savickaya
нойштедтер,ノイシュテッター,noyshtedter
касьянов,カシヤノフ,kasyanov
гаус,ガウス,gaus
зобнин,ゾブニン,zobnin
чумичева,チュニチェヴァ,chumicheva
фазиль,ファジリ,fazil
искандер,イスカンデル,iskander
лидия,リージャ,lidiya
чуковская,チュコフスカヤ,chukovskaya
марис,マリス,maris
янсонс,ヤンソンス,yansons
воронин,ヴォローニン,voronin
бородина,ボロディナ,borodina
леонов,レオーノフ,leonov
грызлов,グルイズロフ,gryzlov
жорес,ジョレス,zhores
алфёров,アルフョーロフ,alfyorov
абрикосов,アブリコソフ,abrikosov
доку,ドク,doku
умаров,ウマロフ,umarov
людмила,リュドミラ,lyudmila
петрушевская,ペトルシェフスカヤ,petrushevskaya
галкина,ガールキナ,galkina
ирина,イリーナ,irina
лобачёва,ロバチェワ,lobachyova
шевчук,シェフチュク,shevchuk
анюков,アニュコフ,anyukov
навальный,ナヴァーリヌイ,navalnyy
романцев,ロマンツェフ,romancev
зюганов,ジュガーノフ,zyuganov
манин,マニン,manin
петрович,フォン,petrovich
гельмерсен,ヘルメルゼン,gelmersen
черномырдин,チェルノムイルジン,chernomyrdin
давыденко,ダビデンコ,davydenko
теодор,テオドール,teodor
курентзис,クルレンツィス,kurentzis
денисов,デニソフ,denisov
зырянов,ジリャノフ,zyryanov
жирков,ジルコフ,zhirkov
уланова,ウラノワ,ulanova
иванов,イワノフ,ivanov
гарри,ガルリ,garri
каспаров,カスパロフ,kasparov
заурбек,ザウルベック,zaurbek
байсангуров,バイサングロフ,baysangurov
озеров,オゼロフ,ozerov
гурченко,グルチェンコ,gurchenko
березовский,ベレゾフスキー,berezovskiy
лужков,ルシコフ,luzhkov
илья,イリヤ,ilya
олейников,オレイニコフ,oleynikov
динияр,ディニャル,diniyar
билялетдинов,ビリャレトディノフ,bilyaletdinov
чубайс,チュバイス,chubays
владимировна,ウラジーミロヴナ,vladimirovna
романова,ロマノヴァ,romanova
бахтиёр,バフティヤル,bahtiyor
худойназаров,フドイナザーロフ,hudoynazarov
злобин,ズロービン,zlobin
рыбников,リブニコフ,rybnikov
кузнецова,クズネツォワ,kuznecova
шаповалов,シャポヴァロフ,shapovalov
марлен,マルレン,marlen
хуциев,フツィエフ,huciev
ходченкова,コドチェンコワ,hodchenkova
элла,エラ,ella
диль,ディール,dil
донцова,ドンツォヴァ,doncova
карелин,カレリン,karelin
изабелла,イザベッラ,izabella
пригов,プリゴフ,prigov
руслан,ルスラン,ruslan
хасбулатов,ハズブラートフ,hasbulatov
жириновский,ジリノフスキー,zhirinovskiy
гречко,グレチコ,grechko
шонин,ショーニン,shonin
шойгу,ショイグ,shoygu
тарасова,タラソワ,tarasova
станишев,スタニシェフ,stanishev
баликоева,ベルチェノワ,balikoeva
горбачёв,ゴルバチョフ,gorbachyov
рыбкин,ルイプキン,rybkin
чиркунов,チルクノフ,chirkunov
басков,バスコフ,baskov
штейнберг,スタインベルグ,shteynberg
анастасия,アナスタシア,anastasiya
мыскина,ミスキナ,myskina
добронравов,ドブロンラヴォフ,dobronravov
хакамада,ハカマダ,hakamada
шуфутинский,シュフティンスキー,shufutinskiy
керим,ケリム,kerim
керимов,ケリモフ,kerimov
лончаков,ロンチャコフ,lonchakov
костомаров,コストマロフ,kostomarov
аушев,アウシェフ,aushev
рем,レム,rem
вяхирев,ヴャヒレフ,vyahirev
кирилл,キリル,kirill
рауш,ラウシュ,raush
бондарев,ボンダレフ,bondarev
тимур,ティムール,timur
дибиров,ディビロフ,dibirov
авербах,アヴェルバッハ,averbah
ковальчук,コワルチュク,kovalchuk
людвиг,ルドウィッグ,lyudvig
фаддеев,ファーデフ,faddeev
галустян,ガルスティアン,galustyan
наташа,ナターシャ,natasha
королёва,コロレワ,korolyova
акинфеев,アキンフェエフ,akinfeev
боярский,ボヤルスキー,boyarskiy
домрачева,ドムラチェワ,domracheva
рене,ルネ,rene
фазель,ファゼル,fazel
майя,マイア,mayya
усова,ウソワ,usova
ганнушкина,ガヌシュキナ,gannushkina
митрохин,ミトロヒン,mitrohin
залётин,ザリョーチン,zalyotin
соловьёв,ソロフィエフ,solovyov
широков,シロコフ,shirokov
вячеслав,ヴャチェスラフ,vyacheslav
малафеев,マラフェエフ,malafeev
гребенщиков,グレベンシコフ,grebenshchikov
авет,アーヴェト,avet
тертерян,テルテリャーン,terteryan
аниш,アニッシュ,anish
гири,ギリ,giri
емельяненко,ヒョードル,emelyanenko
ковтун,コフトゥン,kovtun
павлова,パヴロワ,pavlova
дугин,ドゥーギン,dugin
аристов,アリストフ,aristov
арсенов,アルセノフ,arsenov
шаинский,シャインスキー,shainskiy
рождественский,ロジェストヴェンスキー,rozhdestvenskiy
демидова,デミドワ,demidova
ася,アッシア,asya
норис,ノリス,noris
голубева,ゴルベワ,golubeva
ивашко,イワシコ,ivashko
остер,オステル,oster
белоусова,ベルソワ,belousova
леонид,レオニード,leonid
потапов,ポタポフ,potapov
рыжков,ルイシコフ,ryzhkov
хаджимурат,ハジムラト,hadzhimurat
гацалов,ガツァロフ,gacalov
валентин,バレンティン,valentin
павлов,パヴロフ,pavlov
ингеборга,インゲボルガ,ingeborga
дапкунайте,ダクネイト,dapkunayte
овчаренко,オフチャレンコ,ovcharenko
ибрагим,イブラギム,ibragim
гасанбеков,ガサンベコフ,gasanbekov
крайнев,クライネフ,kraynev
аркадий,アルカジー,arkadiy
бабченко,バブチェンコ,babchenko
кержаков,ケルジャコフ,kerzhakov
кафельников,カフェルニコフ,kafelnikov
назаров,ナザロフ,nazarov
анненков,アンネンコフ,annenkov
котельников,コテルニコフ,kotelnikov
логунов,ログノフ,logunov
березуцкий,ベレズツキー,berezuckiy
фетисов,フェティソフ,fetisov
стародубцев,スタロドゥプツェフ,starodubcev
рамзан,ラムザン,ramzan
кадыров,カディロフ,kadyrov
валерия,ヴァレリヤ,valeriya
савиных,サビニク,savinyh
богомолов,ボゴモロフ,bogomolov
рашид,ラシド,rashid
рахимов,ラヒモフ,rahimov
черчесов,チェルチェソフ,cherchesov
гордеева,ゴルデーワ,gordeeva
калоев,カロエフ,kaloev
явлинский,ヤブリンスキー,yavlinskiy
кристина,クリスティーナ,kristina
асмус,アスマス,asmus
овечкина,オビチキナ,ovechkina
харин,ハーリン,harin
федосеев,フェドセーエフ,fedoseev
фадзаев,ファザエフ,fadzaev
вексельберг,ヴェクセリベルク,vekselberg
пятигорский,ピアティゴルスキー,pyatigorskiy
цымбаларь,ツィンバラル,cymbalar
владислав,ウラジスラフ,vladislav
сурков,スルコフ,surkov
буре,ブレ,bure
андрианов,アンドリアノフ,andrianov
адамов,アダモフ,adamov
игнашевич,イグナシェヴィッチ,ignashevich
бодюл,ボディウル,bodyul
комарова,コマロワ,komarova
гидаспов,ギダスポフ,gidaspov
сёмин,ショミン,syomin
старостин,スタロスティン,starostin
максим,マクシム,maksim
шостакович,ショスタコーヴィチ,shostakovich
виктория,ヴィクトリア,viktoriya
брежнева,ブレジネワ,brezhneva
рахим,ラヒム,rahim
чакхиев,チャムキエフ,chakhiev
коротышкин,コロチシュキン,korotyshkin
коваленко,コヴァレンコ,kovalenko
машков,マシコフ,mashkov
макеев,マケエフ,makeev
чернецкий,チェルネツキー,cherneckiy
джикия,ジキヤ,dzhikiya
светикова,スヴェティコワ,svetikova
аллилуева,アリルーエワ,allilueva
восленский,ヴォスレンスキー,voslenskiy
алдонин,アルドニン,aldonin
ефимкин,エフィムキン,efimkin
евстафьев,エフスタフィフ,evstafev
гессен,ゲッセン,gessen
галимзянов,ガリムジャノフ,galimzyanov
арсений,アルセニー,arseniy
байдуков,バイドゥコーフ,baydukov
нигматуллин,ニグマトゥーリン,nigmatullin
вицин,ヴィツィン,vicin
карякин,カヤキン,karyakin
строев,ストローエフ,stroev
оганесян,オガネシアン,oganesyan
алексеев,アレクセーエフ,alekseev
хабенский,ハベンスキー,habenskiy
балабанов,バラバノフ,balabanov
алиса,アリサ,alisa
клейбанова,クレイバノワ,kleybanova
викторенко,ヴィクトレンコ,viktorenko
кристиан,クリスティアン,kristian
рамирес,ラミレス,ramires
ургант,ウルガント,urgant
бруно,ブルーノ,bruno
фрейндлих,フレインドリフ,freyndlih
жук,ジュク,zhuk
копелев,コペレフ,kopelev
афиногенов,アフィノゲノフ,afinogenov
артемьев,アルテミエフ,artemev
лигачёв,リガチョフ,ligachyov
васильев,ヴァシリエフ,vasilev
волкова,ヴォルコワ,volkova
ярослава,ヤロスラワ,yaroslava
шведова,シュウェドワ,shvedova
баянова,バヤノワ,bayanova
брутт,ブルット,brutt
катина,カーチナ,katina
северянин,セヴェリャーニン,severyanin
чакветадзе,チャクベタゼ,chakvetadze
вишневская,ヴィシネフスカヤ,vishnevskaya
кузенкова,クゼンコワ,kuzenkova
волков,ヴォルコフ,volkov
марков,マルコフ,markov
матиясевич,マチャセビッチ,matiyasevich
антонович,アントノヴィッチ,antonovich
доллежаль,ドレジャリ,dollezhal
кресс,クレス,kress
полещук,ポレシチューク,poleshchuk
лихачёв,リハチョフ,lihachyov
конышев,コニシェフ,konyshev
устинов,ウスチノフ,ustinov
бугаев,ブガエフ,bugaev
цукановакотт,ツカノワ,cukanovakott
хуснуллин,フスヌリン,husnullin
нагибин,ナギビン,nagibin
казанкина,カザンキナ,kazankina
афанасьев,アファナシエフ,afanasev
корзун,コルズン,korzun
варенников,ヴァレンニコフ,varennikov
феофанова,フェオファノワ,feofanova
слуцкая,スルツカヤ,sluckaya
тонков,トンコフ,tonkov
марина,マリーナ,marina
черкасова,チェルカソワ,cherkasova
магомедсалам,マゴメドサラム,magomedsalam
магомедов,マゴメドフ,magomedov
муху,ムフ,muhu
алиев,アリエフ,aliev
шалимов,シャリモフ,shalimov
муслим,ムスリム,muslim
магомаев,マゴマーイェフ,magomaev
глеб,グレプ,gleb
дмитриевич,ドミトリービッチ,dmitrievich
кузнецов,クズネツォフ,kuznecov
лебедева,レベデワ,lebedeva
раиса,ライサ,raisa
горбачёва,ゴルバチョワ,gorbachyova
мавлет,マブレット,mavlet
батиров,バチロフ,batirov
боос,ボース,boos
онуфриенко,オヌフリエンコ,onufrienko
шабалин,シャバリン,shabalin
наталия,ナタリア,nataliya
орейро,オレイロ,oreyro
наумов,ナウモフ,naumov
чистякова,チスチャコワ,chistyakova
медведева,メドベージェワ,medvedeva
сухинова,スヒノワ,suhinova
чапман,チャップマン,chapman
черенков,チェレンコフ,cherenkov
удальцов,ウダルツォフ,udalcov
клишина,クリシナ,klishina
лиховцева,リホフツェワ,lihovceva
дзюба,ジューバ,dzyuba
водянова,ヴォディアノヴァ,vodyanova
соколова,ソコロワ,sokolova
боннэр,ボンネル,bonner
балакшин,バラクシン,balakshin
галкин,ガルキン,galkin
патрушев,パトルシェフ,patrushev
ансов,アンゾフ,ansov
симонян,シモニャン,simonyan
талгат,タルガット,talgat
мусабаев,ムサバイエフ,musabaev
роднина,ロドニナ,rodnina
хоркина,ホルキナ,horkina
юлий,ユーリ,yuliy
воронцов,ウォロンツォフ,voroncov
волчкова,ボルチコワ,volchkova
спиваков,スピヴァコフ,spivakov
сулейман,スレイマン,suleyman
майкл,マイケル,maykl
россель,ロッセリ,rossel
мастеркова,マステルコワ,masterkova
штыров,シュティロフ,shtyrov
айги,アイギ,aygi
олеся,オレーシャ,olesya
рулин,ルーリン,rulin
влада,ヴラダ,vlada
рослякова,ロスリャコヴァ,roslyakova
первак,ペルバク,pervak
абакумова,アバクモワ,abakumova
инна,インナ,inna
чурикова,チュリコワ,churikova
дьяконов,ディアコノフ,dyakonov
ролан,ロラン,rolan
симеон,シメオン,simeon
полоцкий,ポロツキー,polockiy
харитон,ハリトン,hariton
обертас,オベルタス,obertas
гидзенко,ギジェンコ,gidzenko
волынов,ヴォリノフ,volynov
очеретная,プーチナ,ocheretnaya
бовина,ボビナ,bovina
меньшиков,メンシコフ,menshikov
рыжиков,リジコフ,ryzhikov
нелли,ネリー,nelli
ким,キム,kim
воскобоева,ボスコボワ,voskoboeva
сулим,スリム,sulim
ямадаев,ヤマダエフ,yamadaev
силаев,シラーエフ,silaev
воевода,ヴォエヴォダ,voevoda
черных,チェルヌイフ,chernyh
бондаренко,ボンダレンコ,bondarenko
альберт,アリベルト,albert
демченко,デムチェンコ,demchenko
тарасенко,タラセンコ,tarasenko
каряка,カリヤカ,karyaka
тактаров,タクタロフ,taktarov
артур,アルトゥル,artur
акоев,アコエフ,akoev
шустов,シュストフ,shustov
тамара,タマラ,tamara
смирнова,スミルノワ,smirnova
антон,アントン,anton
силуанов,シルアノフ,siluanov
шейк,シェイク,sheyk
маринин,マリニン,marinin
волкогонов,ヴォルコゴーノフ,volkogonov
лепс,レプス,leps
ворганов,ヴォルガノフ,vorganov
качанов,カチャーノフ,kachanov
валова,ワロワ,valova
крючков,クリューチコフ,kryuchkov
овчинников,オフチニコフ,ovchinnikov
сагид,サギド,sagid
муртазалиев,ムルタザリエフ,murtazaliev
букреева,ブクレーエワ,bukreeva
зиновьев,ジノビエフ,zinovev
зайцева,ザイツェワ,zayceva
барсук,バルソウク,barsuk
семёнова,セミョーノワ,semyonova
оксана,オクサナ,oksana
акиньшина,アキンシナ,akinshina
деревянко,デレヴャンコ,derevyanko
винницкая,ヴィニツカヤ,vinnickaya
эстемирова,エステミロワ,estemirova
тотьмянина,トトミアニナ,totmyanina
вяльбе,ヴェルベ,vyalbe
вагит,ヴァギト,vagit
алекперов,アレクペロフ,alekperov
воробьёва,ボロベワ,vorobyova
юмашева,ディアチェンコ,yumasheva
антоненко,アントネンコ,antonenko
лазутина,ラズチナ,lazutina
диана,ダイアナ,diana
гурцкая,グルツカーヤ,gurckaya
чулпан,チュルパン,chulpan
хаматова,ハマートヴァ,hamatova
булат,ブラート,bulat
окуджава,オクジャワ,okudzhava
врубель,ヴルーベリ,vrubel
вознесенский,ヴォズネセンスキー,voznesenskiy
полянский,ポリャンスキー,polyanskiy
чермошанская,チェルモシャンスカヤ,chermoshanskaya
грачёв,グラチョフ,grachyov
энквист,エンクイスト,enkvist
красильникова,クラシルニコワ,krasilnikova
боброва,ボブロワ,bobrova
катарина,カタリナ,katarina
гербольдт,ゲルボルト,gerboldt
решетихин,レシェーツキン,reshetihin
домнина,ドムニナ,domnina
котова,コトワ,kotova
антошина,アントシナ,antoshina
войнович,ヴォイノヴィッチ,voynovich
козончук,コゾンチュク,kozonchuk
ильиных,イリニフ,ilinyh
нелюбин,ネリュビン,nelyubin
ласковый,ラスコヴィイ,laskovyy
май,マイ,may
чепалова,チェパロワ,chepalova
рамазан,ラマザン,ramazan
шахин,シャヒン,shahin
волчков,ヴォルチコフ,volchkov
безматерных,ベズマテルニフ,bezmaternyh
бобрин,ボブリン,bobrin
коморников,コモルニコフ,komornikov
каноков,カノコフ,kanokov
сихарулидзе,シハルリドゼ,siharulidze
анфиса,アンフィサ,anfisa
резцова,レスツォワ,rezcova
топоров,トポロフ,toporov
кондратьев,コンドラチェフ,kondratev
лазарчук,ラザルチューク,lazarchuk
циблиев,ツィブリエフ,cibliev
микаэл,ミカエル,mikael
таривердиев,タリヴェルディエフ,tariverdiev
юлиан,ユリアン,yulian
семёнов,セミョーノフ,semyonov
антонова,アントノワ,antonova
любовь,リュボフ,lyubov
егорова,エゴロワ,egorova
кондратьева,コンドラチェワ,kondrateva
анисина,アニシナ,anisina
авдеев,アヴデエフ,avdeev
гризодубова,グリゾドゥボワ,grizodubova
инга,インガ,inga
абитова,アビトワ,abitova
пономарёва,ロマシェコワ,ponomaryova
пименов,ピメノフ,pimenov
квачков,クバチコフ,kvachkov
хитрук,ヒートルーク,hitruk
сидорова,シードロヴァ,sidorova
амбако,アンバコ,ambako
вачадзе,バチャーゼ,vachadze
вайнер,ワイネル,vayner
меньшов,メニショフ,menshov
ласицкене,クチナ,lasickene
боголюбов,ボゴリュボフ,bogolyubov
зарема,ザレマ,zarema
садулаева,サドゥラエワ,sadulaeva
давид,ダビド,david
айрапетян,アイラペチャン,ayrapetyan
трещёв,トレシェフ,treshchyov
изабель,イザベル,izabel
душ,ドス,dush
сантуш,サントス,santush
кох,コフ,koh
нонна,ノンナ,nonna
мордюкова,モルジュコーワ,mordyukova
радченко,ラドチェンコ,radchenko
жулин,ズーリン,zhulin
энтони,アンソニー,entoni
дженкинсон,ジェンキンソン,dzhenkinson
астаповский,アスタポフスキー,astapovskiy
полевщикова,ポーリー,polevshchikova
рой,ロイ,roy
веденин,ボデーニン,vedenin
голубев,ゴルベウ,golubev
смольский,スモールスキ,smolskiy
леонидович,レオニドヴィッチ,leonidovich
зайцев,ザイツェフ,zaycev
зоя,ソージャ,zoya
руднова,ルドノワ,rudnova
чугайнов,チュガイノフ,chugaynov
ерохин,アレクサンドル,erohin
юрьевич,エロヒン,yurevich
шаргин,シャーギン,shargin
салижан,サリザン,salizhan
шарипов,シャリポフ,sharipov
пуговкин,プーゴフキン,pugovkin
жанна,ジャンナ,zhanna
фриске,フリスケ,friske
пучкова,プチコワ,puchkova
бекки,ベッキー,bekki
хэммон,ハモン,hemmon
навка,ナフカ,navka
слуцкий,スルツキー,sluckiy
олейник,オレイニク,oleynik
аслан,アスラン,aslan
тхакушинов,トハクシノフ,thakushinov
ильюшин,イリューシン,ilyushin
черышев,チェリシェフ,cheryshev
любшин,リュブシン,lyubshin
ростоцкий,ロストツキー,rostockiy
дядюн,ディアドゥン,dyadyun
тихонов,チーホノフ,tihonov
рязанова,リャザーノワ,ryazanova
абдулхалим,アブドル,abdulhalim
садулаев,ハリム,sadulaev
никифоров,ニキフォロフ,nikiforov
ларин,ラリン,larin
масленников,マスレニコフ,maslennikov
кукушкин,ククシュキン,kukushkin
лазуткин,ラズトキン,lazutkin
кайдановский,カイダノフスキー,kaydanovskiy
венгеров,ヴェンゲロフ,vengerov
хабиб,カビブ,habib
аллахвердиев,アーラフベルディエフ,allahverdiev
