김일,金日
국기훈장,国旗勋章
해방탑,解放塔
보현사,普贤寺
룡성선,龙城线
서해리선,西海里线
할하부,喀尔喀蒙古族
천내군,川内郡
세포군,洗浦郡
법동군,法洞郡
장진군,长津郡
남북정상회담,朝韩首脑会晤
판교군,板桥郡
우시군,雩时郡
청년호텔,青年饭店
국가보위성,国家保卫省
대성산혁명렬사릉,大城山革命烈士陵
고려링크,高丽电信
북부내륙선,北部内陆线
무산군,茂山郡
청년이천선,青年伊川线
대한해협,朝鲜海峡
룡연군,龙渊郡
상원군,祥原郡
중화군,中和郡
안악군,安岳郡
백암군,白岩郡
만수대텔레비죤,万寿台电视台
룡남산텔레비죤,龙南山电视台
안변군,安边郡
평부선,平釜线
옹진군,瓮津郡
김화군,金化郡
평화자동차,平和自动车
회양군,淮阳郡
철원군,铁原郡
황해북도,黄海北道
대홍단군,大红湍郡
온천군,温泉郡
개마고원,盖马高原
고원군,高原郡
함북선,咸北线
평의선,平义线
평남선,平南线
남흥선,南兴线
만수대창작사,万寿台创作社
성불사,成佛寺
덕성선,德城线
신계사,神溪寺
모란봉,牡丹峰
경원군,庆源郡
경성군,镜城郡
운흥군,云兴郡
송화군,松禾郡
신천군,信川郡
만포선,满浦线
평안북도,平安北道
광복절,光复节
장충성당,将忠天主教堂
기쁨조,欢乐组
수안군,遂安郡
평양텔레비죤탑,平壤电视塔
만경대,万景台
함경북도,咸镜北道
함경남도,咸镜南道
꽃제비,小燕子
평안남도,平安南道
랑림산맥,狼林山脉
기정동,机井洞
조선녀성,朝鲜女性
안협군,安峡郡
옥류교,玉流桥
만수대,万寿台
릉라교,绫罗桥
주체사상,主体思想
판문점,板门店
조선혁명박물관,朝鲜革命博物馆
만수대대기념비,万寿台大纪念碑
운봉선,云峰线
정백사원,平壤贞柏寺院
송도원선,松涛园线
시정선,柴井线
리원선,利原线
토해선,土海线
황해선,黄海线
당창건사적관,党创建事迹馆
우의탑,友谊塔
조선그리스도교련맹,朝鲜基督教联盟
김일성훈장,金日成勋章
남북전,南北韩足球打吡
공화국영웅,共和国英雄
두만강선,豆满江线
강안선,江岸线
신천박물관,信川博物馆
조선우표박물관,朝鲜邮票博物馆
평양시간,平壤时间
개천탄광선,价川煤矿线
조선대성은행,大成银行
대동문영화관,大同门映画馆
길주군,吉州郡
평라선,平罗线
보천군,普天郡
어랑군,渔郎郡
김형권군,金亨权郡
풍서군,丰西郡
서흥군,瑞兴郡
은률군,殷栗郡
대동군,大同郡
강남군,江南郡
김형직군,金亨稷郡
사회주의애국청년동맹,社会主义爱国青年同盟
이천군,伊川郡
당창건기념탑,党创建纪念塔
조국해방전쟁승리기념탑,祖国解放战争胜利纪念塔
대동신용은행,大同信用银行
남동선,南洞线
압록강선,鸭绿江线
정도선,鼎岛线
조선외국문도서출판사,朝鲜外文出版社
허천선,虚川线
영생탑,永生塔
안주탄광선,安州煤矿线
자유독립훈장,自由独立勋章
송림선,松林线
보천선,普天线
관음사,观音寺
서산호텔,西山饭店
호위사령부,护卫司令部
조선직업총동맹,朝鲜职业总同盟
광법사,广法寺
과학기술전당,科学技术殿堂
괘궁정,挂弓亭
미래과학자거리,未来科学家大街
주체연호,主体历
인풍루,仁风楼
통군정,统军亭
숭인전,崇仁殿
조선사회주의녀성동맹,朝鲜社会主义女性同盟
조선농업근로자동맹,朝鲜农业劳动者同盟
부용당,芙蓉堂
애국렬사릉,爱国烈士陵
국제김일성상,国际金日成奖
김일성가,金日成家族
개선청년공원,凯旋青年公园
평양산원,平壤产科医院
세검정,洗剑亭
양시선,杨市线
선군절,先军节
멸악산맥,灭恶山脉
약산동대,药山东台
금성청년출판사,金星青年出版社
장진선,长津线
조선중앙력사박물관,朝鲜中央历史博物馆
장연선,长渊线
개심사,开心寺
녕변군,宁边郡
유점사,榆岾寺
영명사,永明寺
신압록강대교,中朝鸭绿江界河公路大桥
만경대혁명학원,万景台革命学院
부벽루,浮碧楼
표훈사,表训寺
도문국경대교,图们国境大桥
두만강대교,图们江大桥
기자릉,箕子陵
장혜국제대교,长惠国际大桥
인민상,共和国人民奖
현무문,玄武门
정일봉,正日峰
백마선,白马线
신흥선,新兴线
금골선,金沟线
개천선,价川线
강덕선,康德线
덕현선,德岘线
은률선,殷栗线
배천선,白川线
황해청년선,黄海青年线
강계선,江界线
만월대,满月台
선죽교,善竹桥
옹진선,瓮津线
평덕선,平德线
풍계리,丰溪里
무산선,茂山线
회령탄광선,会宁煤矿线
백무선,白茂线
회암선,灰岩线
룡강선,龙冈线
릉라인민유원지,绫罗人民游园地
평북선,平北线
평양체육관,平壤体育馆
부포선,釜浦线
박천선,博川线
로동자신문,劳动者新闻
현지지도,现场指导
광명성,光明星
고건원선,古干原线
고려박물관,高丽博物馆
무산광산선,茂山矿山线
일탄선,日炭线
조선미술박물관,朝鲜美术博物馆
고원탄광선,高原煤矿线
법흥사,法兴寺
박연폭포,朴渊瀑布
동림폭포,东林瀑布
금강산청년선,金刚山青年线
만덕선,满德线
정양사,正阳寺
보천읍,普天邑
보천보전투승리기념탑,普天堡战斗胜利纪念塔
평양문화전시관,平壤文化展示馆
최승대,最胜台
금광사,朝鲜金光寺
조선기자동맹,朝鲜记者同盟
송도원,松涛园
안골선,安沟线
철산선,铁山线
국가항공우주기술총국,朝鲜民主主义人民共和国国家航空航天技术总局
광명성절,光明星节
을밀대,乙密台
납북자,拉北
다사도선,多狮岛线
대안선,大安线
현릉,王建王陵
서해갑문선,西海闸门线
태왕,太王
은산선,殷山线
운산선,云山线
로농적위군,劳农赤卫军
김책제철련합기업소,金策制铁联合企业所
갑산파,甲山派事件
붉은청년근위대,红色青年近卫队
공민증,公民证
목란비데오,木兰影片
기상수문국,气象水文局
법운암,法云庵
용곡서원,龙谷书院
한국어족,朝鲜语系
소련파,苏联派
주체농법,主体农法
조선문학예술총동맹,朝鲜文学艺术总同盟
득장선,得将线
고참탄광선,古站煤矿线
비날론선,维尼纶线
장상선,长上线
남양국경선,南阳国境线
구봉산선,龟凤山线
대건선,戴建线
춘두선,春斗线
천내선,川内线
관하선,官下线
성평선,城坪线
대각선,大角线
덕남선,德南线
평양방어사령부,平壤防御司令部
문천항선,文川港线
국제김정일상,国际金正日奖
금야선,金野线
수풍선,水丰线
청진항선,清津港线
청년전위,青年前卫
룡암선,龙岩线
락랑선,乐浪线
창흥선,昌兴线
명당선,明堂线
조선불교도련맹,朝鲜佛教徒联盟
동포선,东浦线
사회과학원,朝鲜社会科学院
재동선,梓洞线
직동탄광선,直洞煤矿线
조국해방전쟁승리기념관,祖国解放战争胜利博物馆
서호선,西湖线
검은모루동굴유적,黑隅里遗址
마식령,马息岭
룡문탄광선,龙门煤矿线
모학선,慕鹤线
평양속도,平壤速度
김일성고급당학교,金日成高级党学校
목란관,木兰馆
판문각,板门阁
김군옥영웅함,金君玉英雄号潜艇
신분당선,新盆唐线
서울메트로,首尔地铁
가평군,加平郡
강진군,康津郡
강화군,江华郡
거창군,居昌郡
고령군,高灵郡
무주군,茂朱郡
봉화군,奉化郡
부안군,扶安郡
보은군,报恩郡
보성군,宝城郡
산청군,山清郡
서천군,舒川郡
부여군,扶余郡
성주군,星州郡
괴산군,槐山郡
고창군,高敞郡
고흥군,高兴郡
구례군,求礼郡
곡성군,谷城郡
금산군,锦山郡
군위군,军威郡
기장군,机张郡
담양군,潭阳郡
달성군,达城郡
단양군,丹阳郡
무안군,务安郡
분당선,盆唐线
경기도,京畿道
순창군,淳昌郡
신안군,新安郡
한국철도공사,韩国铁道公社
양양군,襄阳郡
양구군,杨口郡
이어도,苏岩礁
훈민정음,训民正音
옥천군,沃川郡
예천군,醴泉郡
양평군,杨平郡
연천군,涟川郡
영동군,永同郡
영덕군,盈德郡
영암군,灵岩郡
영월군,宁越郡
예산군,礼山郡
영양군,英阳郡
서수로,釜山海峡
임실군,任实郡
장성군,长城郡
한려해상국립공원,闲丽海上国立公园
경춘선,京春线
진천군,镇川郡
창녕군,昌宁郡
청도군,清道郡
진안군,镇安郡
증평군,曾坪郡
정선군,旌善郡
장흥군,长兴郡
진도군,珍岛郡
장수군,长水郡
함안군,咸安郡
태안군,泰安郡
칠곡군,漆谷郡
수인선,水仁线
경부선,京釜线
해남군,海南郡
합천군,陜川郡
함평군,咸平郡
함양군,咸阳郡
홍성군,洪城郡
경인선,京仁线
서울평화상,首尔和平奖
완도군,莞岛郡
울진군,蔚珍郡
울주군,蔚州郡
완주군,完州郡
화순군,和顺郡
홍천군,洪川郡
음성군,阴城郡
의령군,宜宁郡
의성군,义城郡
인제군,麟蹄郡
남해군,南海郡
하동군,河东郡
청송군,青松郡
청원군,清原郡
청양군,青阳郡
현대자동차,现代汽车
송광사,松广寺
국회의사당,国会议事堂
농업협동조합,农业协同组合
이마트,易买得
기아,起亚汽车
중앙선,中央线
금강산선,金刚山线
충청북도,忠清北道
충청남도,忠清南道
한국과학기술연구원,韩国科学技术研究院
서울특별시장,首尔特别市长
한국과학기술원,韩国科学技术院
한국노동조합총연맹,韩国劳动组合总联盟
서대문형무소,西大门刑务所
인사동,仁寺洞
태안해안국립공원,泰安海岸国立公园
화천군,华川郡
횡성군,横城郡
호남선,湖南线
병점기지선,饼店基地线
한국항공우주산업,韩国航空宇宙产业
강원특별자치도,江原特别自治道
경상남도,庆尚南道
경상북도,庆尚北道
조계사,曹溪寺
한국교육방송공사,韩国教育广播公司
국가재건최고회의,国家重建最高会议
새마을호,新村号
국립서울현충원,国立首尔显忠院
종묘,宗庙
전북특별자치도,全北特别自治道
전라남도,全罗南道
제주특별자치도,济州特别自治道
민주주의민족전선,民主主义民族战线
연산군묘,燕山君墓
태종대,太宗台
압구정동,狎鸥亭洞
예술의전당,艺术殿堂
국군간호사관학교,国军看护士官学校
경부고속철도,京釜高速线
이스타항공,易斯达航空
거가대교,巨加大桥
정선선,旌善线
한국도로공사,韩国道路公社
성수대교,圣水大桥
한국일보,韩国日报
매일경제신문,每日经济新闻
육군특수전사령부,韩国陆军特战司令部
여의도공원,汝矣岛公园
세브란스병원,世福兰斯医院
선정릉,宣靖陵
한국조폐공사,韩国造币公社
동해남부선,东海南部线
금산사,金山寺
무궁화호,无穷花号
당산철교,堂山铁桥
임진각국민관광지,临津阁
남제주군,南济州郡
청담대교,清潭大桥
대구선,大邱线
넷마블,网石游戏
청해진,莞岛清海镇遗址
아모레퍼시픽,爱茉莉太平洋
분황사,芬皇寺
북제주군,北济州郡
라이따이한,越战韩越混血儿
동래온천,东莱温泉
동관왕묘,东关王庙
일성록,日省录
서경주신호소,西庆州信号所
교보문고,教保文库
해인사,海印寺
한남대교,汉南大桥
전주국제영화제,全州国际电影节
전쟁기념관,战争纪念馆
국립국악원,国立国乐院
부천국제판타스틱영화제,富川国际奇幻电影节
한국예술종합학교,韩国艺术综合学校
개똥녀,狗屎女事件
올림픽대교,奥林匹克大桥
성덕대왕신종,圣德大王神钟
오뚜기,奥多吉
한국배구연맹,韩国排球联盟
정방폭포,正房瀑布
서울주교좌성당,首尔圣公会座堂
화엄사,华严寺
호암미술관,湖岩美术馆
해운대해수욕장,海云台海滩
행주대교,幸州大桥
징비록,惩毖录
이화여자외국어고등학교,梨花女子外国语高等学校
성산대교,城山大桥
석굴암,石窟庵
전국민주노동조합총연맹,全国民主劳动组合总联盟
동해중부선,庆东线
경주국립공원,庆州国立公园
국방과학연구소,国防科学研究所
민족문제연구소,民族问题研究所
한국개발연구원,韩国开发研究院
봉원사,奉元寺
국립부여박물관,国立扶余博物馆
난중일기,乱中日记
서해대교,西海大桥
병점차량사업소,饼店车辆基地
대우건설,大宇建设
영동대교,永东大桥
한국학중앙연구원,韩国学中央研究院
공항철도,机场铁道
노동자연대,劳动者团结
코스닥,科斯达克
통도사,通度寺
한국가스공사,韩国石油公社
성산일출봉,城山日出峰
한화생명보험,韩华生命保险
명량해협,鸣梁海峡
봉은사,奉恩寺
국립해양박물관,国立海洋博物馆
양재동,良才洞
중림동,中林洞
회현동,会贤洞
광희동,光熙洞
니트족,尼特族
필동,笔洞
장충동,奖忠洞
신당동,新堂洞
딘타이펑,鼎泰丰
화천댐,华川水坝
국군체육부대,国军体育部队
한복,韩服
전주이씨대동종약원,全州李氏大同宗约院
백둔봉,柏屯峰
박달봉,朴达峰
구몬교육연구회,公文式
양남면,阳南面
보광동,普光洞
무공훈장,武功勋章
부일영화상,釜日电影奖
대한불교조계종,大韩佛教曹溪宗
신인왕전,韩国新人王战
부산항대교,釜山港大桥
소공동,小公洞
팬택,泛泰
운주사,云住寺
소쇄원,潇洒园
외동읍,外东邑
롯데월드타워,乐天世界塔
춘사영화제,春史电影奖
공항동,空港洞
한진해운,韩进海运
신사동,新沙洞
아리랑국제방송,阿里郎国际放送
장항선,长项线
미스코리아,韩国小姐
르노코리아자동차,雷诺韩国汽车
한글날,韩文日
우리은행,友利银行
동의보감,东医宝鉴
직지심체요절,直指心体要节
해동용궁사,海东龙宫寺
포스코타워송도,东北亚贸易大厦
국립중앙박물관,国立中央博物馆
윷놀이,柶戏
죽도,竹屿
내남면,内南面
청와대,青瓦台
용유차량기지,龙游车辆基地
고려사,高丽史
수도기계화보병사단,韩国首都机械化步兵师
창의문,彰义门
대방동,大方洞
청파동,青坡洞
청주방송,清州广播
평창군,平昌郡
연기군,燕岐郡
한국민속촌,韩国民俗村
에버랜드,爱宝乐园
롯데월드,乐天世界
티웨이항공,德威航空
택견,跆跟
조선은행,朝鲜银行
규장각,奎章阁
씨름,韩式摔跤
지리산국립공원,智异山国立公园
능동,陵洞
매사냥,鹰猎
한국항공우주연구원,韩国航空宇宙研究院
조선왕릉,朝鲜王陵
용산동,龙山洞
대치동,大峙洞
청담동,清潭洞
가양동,加阳洞
한미연합군사령부,韩美联合军司令部
국립중앙도서관,国立中央图书馆
한국증권거래소,韩国证券交易所
한국거래소,韩国交易所
광안리해수욕장,广安里海滩
아시아나항공,韩亚航空
국립국어원,国立国语院
한국기원,韩国棋院
대한항공,大韩航空
서울대공원,首尔大公园
대화면,大和面
연남동,延南洞
쌍문동,双门洞
대구광역시립중앙도서관,大邱广域市立中央图书馆
국방정보본부,国防情报本部
대구경북,大邱庆北
금동미륵보살반가사유상,金铜弥勒半跏思惟像
나로우주센터,罗老宇宙中心
대원외국어고등학교,大元外国语高等学校
가사,歌辞
노량진동,鹭梁津洞
반포대교,盘浦大桥
강동면,江东面
이태원,梨泰院
환구단,圜丘坛
해녀,海女
리그컵,韩国联赛杯
바다열차,海列车
도산안창호기념관,安昌浩纪念馆
한울원자력발전소,韩蔚核能发电厂
방배동,方背洞
국군기무사령부,国军机务司令部
내곡동,内谷洞
서초동,瑞草洞
국립고궁박물관,国立古宫博物馆
온돌,温突
한화오션,大宇造船海洋
롯데마트,乐天玛特
연합뉴스,韩国联合通讯社
우포늪,牛浦沼
세종문화회관,世宗文化会馆
청룡영화상,青龙电影奖
가거초,日向礁
장충체육관,奖忠体育馆
호남고속철도,湖南高速线
수서평택고속선,水西平泽高速线
대종상,大钟奖
간송미술관,涧松美术馆
영종대교,永宗大桥
서울중앙성원,首尔中央圣院
한국바둑리그,韩国围棋联赛
황해도,黄海道
여행경보,旅游警示
전동성당,殿洞主教座堂
금융감독원,金融监督院
부산해운대경찰서,釜山海云台警察署
영동선,岭东线
현대모비스,现代摩比斯
한양도성,首尔城墙
부산교통공사,釜山交通公社
스타제국,明星帝国娱乐
국립경주박물관,国立庆州博物馆
안랩,安博士
수도권,首都圈
불국사,佛国寺
중양절,重阳节
숭례문,崇礼门
용산선,龙山线
조선왕조의궤,朝鲜王室仪轨
독립문,独立门
어버이날,全球父母节
한국지엠,韩国通用汽车
경향신문,京乡新闻
건천읍,干川邑
새남터,沙南基
김포선,金浦线
뚜레쥬르,多乐之日
금관총,金冠冢
골굴사,骨窟寺
부석사,浮石寺
처용무,处容舞
평창알펜시아리조트,阿尔卑西亚度假村
광희문,光熙门
소백산맥,小白山脉
서울,首尔足球俱乐部
한국방송공사,韩国广播公司
타타대우상용차,塔塔大宇商用车
강강술래,强羌水越来
경주향교,庆州乡校
한남동,汉南洞
한원미술관,翰园美术馆
하나회,新军部
황남동,皇南洞
황오동,皇吾洞
한강로동,汉江路洞
남영동,南营洞
후암동,厚岩洞
광주문화방송,光州文化广播
부산문화방송,釜山文化广播
한라산국립공원,汉拏山国立公园
윤도,罗庚
대전문화방송,大田文化广播
대구문화방송,大邱文化广播
재벌,韩国财阀
휠라,斐乐
코스피,韩国综合股价指数
육군사관학교,陆军士官学校
공군사관학교,空军士官学校
무주덕유산리조트,茂朱渡假村
이대,梨大
한국산업은행,韩国产业银行
홍대,弘大
호남고속도로지선,湖南高速公路支线
서울대학교병원,首尔大学医院
문화방송,文化广播公司
신화,神话
제주항공,济州航空
부산국제영화제,釜山国际电影节
대전선,大田线
한국불교태고종,太古宗
한국선물거래소,韩国期货交易所
국가보안법,国家保安法
흥인지문,兴仁之门
자유민주연합,自由民主联合
제헌절,制宪节
반제민족민주전선,反帝民族民主战线
시화호조력발전소,始华湖潮汐电厂
가야선,伽倻线
서울특별시청,首尔特别市厅
서울신문,首尔新闻
서울외국어고등학교,首尔外国语高等学校
운부군옥,韵府群玉
무령왕릉,武宁王陵
한국콘텐츠진흥원,韩国文化产业振兴院
카투사,美国陆军附编韩军
첨성대,瞻星台
코리아헤럴드,韩国先驱报
롯데그룹,乐天
대한민국,大韩民国纪年
서울숲,首尔森林
농심,农心
부산일보,釜山日报
판소리,盘索里
전라선,全罗线
현대해상화재보험,现代海上火灾保险公司
대전방송,大田广播
석전대제,释奠礼
한강철교,汉江铁桥
서울특별시청사,首尔特别市厅舍
동호대교,东湖大桥
수려선,水骊线
봉정사,凤停寺
군산화물선,群山货物线
계성고등학교,启圣高等学校
환기미술관,焕基美术馆
전주방송,全州广播
제주국제자유도시개발센터,济州国际自由城市开发中心
조선호텔앤리조트,威斯汀朝鲜酒店
제주방송,济州广播
국립제주박물관,国立济州博物馆
한국천문연구원,韩国天文研究院
광역철도,广域电铁
유성온천,儒城温泉
건국훈장,建国勋章
감포읍,甘浦邑
마곡사,麻谷寺
민족사관고등학교,民族史观高等学校
김포대교,金浦大桥
목포대교,木浦大桥
주월한국군사령부,驻越韩国军司令部
양화진외국인선교사묘원,杨花津外国人墓园
울산화력발전소,蔚山火力发电所
양화대교,杨花大桥
경북선,庆北线
엔씨소프트,恩希软件
블랙이글스,黑鹰飞行表演队
경원선,京元线
용주사,龙珠寺
전국교직원노동조합,全国教职员劳动组合
용두산공원,龙头山公园
경전선,庆全线
충북선,忠北线
서대문독립공원,西大门独立公园
안강읍,安康邑
백양사,白羊寺
전남일보,全南日报
환벽당,环碧堂
승정원일기,承政院日记
한국대중음악상,韩国大众音乐奖
운중동,云中洞
운문사,云门寺
대흥사,大兴寺
한국인터넷진흥원,韩国互联网振兴院
울산방송,蔚山广播
한강대교,汉江大桥
용비어천가,龙飞御天歌
가양대교,加阳大桥
한국전자통신연구원,韩国电子通信研究院
중부내륙고속도로지선,中部内陆高速公路支线
면,面
용문동,龙门洞
우정사업본부,韩国邮政
탑골공원,塔谷公园
서울특별시경찰청,首尔地方警察厅
안산선,安山线
식목일,植木日
태릉국가대표선수촌,泰陵国家代表选手村
동작대교,铜雀大桥
한국생명공학연구원,韩国生命工学研究院
중부내륙선,中部内陆线
태백선,太白线
대전관저고등학교,大田关雎高等学校
광주방송,光州广播
숙정문,肃靖门
마포대교,麻浦大桥
광진교,广津桥
더페이스샵,菲诗小舖
무궁화대훈장,无穷花大勋章
중소기업은행,中小企业银行
인천교통공사,仁川交通公社
중앙일보,中央日报
돈의문,敦义门
문화일보,文化日报
남해대교,南海大桥
언론통폐합,言论统废合
광주광역시장,光州广域市长
제중원,济众院
법주사,法住寺
광화문,光化门
광주과학기술원,光州科学技术院
신안산선,新安山线
월정사,月精寺
서강대교,西江大桥
통근열차,通勤列车
태강릉,泰康陵
문산차량사업소,文山车辆基地
진도대교,珍岛大桥
척화비,斥和碑
경인방송,京仁放送
장릉,朝鲜庄陵
기장읍,机张邑
법정동,法定洞
홍유릉,洪裕陵
승탑,浮图
광주선,光州线
괴동선,槐东线
광양항선,光阳港线
고척스카이돔,高尺天空巨蛋
광양제철선,光阳制铁线
전북일보,全北日报
칠장,漆工
방화대교,傍花大桥
미래희망연대,未来希望连带
설날,朝鲜新年
정독도서관,正读图书馆
강동대교,江东大桥
용강동,龙江洞
대학수학능력시험,大学修学能力试验
부전선,釜田线
잠실대교,蚕室大桥
경기도지사,京畿道知事
과천선,果川线
한국관광공사,韩国观光公社
도라전망대,都罗展望台
명동,明洞
강남순환로,江南绕城高速
원효대교,元晓大桥
잠실철교,蚕室铁桥
장로회신학대학교,长老会神学大学校
정관읍,鼎冠邑
장안읍,长安邑
코리아컵,韩国足协杯
강원,江原足球俱乐部
조선일보,朝鲜日报
매일방송,每日放送
포스코,浦项钢铁
하나은행,韩亚银行
인천대교,仁川大桥
국립현대미술관,国立现代美术馆
울산과학기술원,蔚山科学技术院
다도해해상국립공원,多岛海海上国立公园
현충일,显忠日
교외선,郊外线
황성동,隍城洞
중부동,中部洞
월성동,月城洞
산내면,山内面
선도동,仙桃洞
미사대교,渼沙大桥
임신서기석,壬申誓记石
시흥군,始兴郡
계산성당,桂山主教座堂
남부화물기지선,南部货物基地线
근정전,勤政殿
남포선,蓝浦线
남포동,南浦洞
강원특별자치도지사,江原特别自治道知事
울릉군,郁陵郡
개천절,开天节
도산공원,岛山公园
월성원자력발전소,月城核电厂
가은선,加恩线
강경선,江景线
차령산맥,车岭山脉
롯데웰푸드,乐天健康食品
국립과학수사연구원,国立科学搜查研究院
국무회의,韩国国务会议
월미바다열차,月尾海洋列车
코엑스,国际会议暨展示中心
보덕동,普德洞
한일기본조약,日韩基本条约
한국전력공사,韩国电力公社
고리원자력발전소,古里核电厂
반민족행위처벌법,反民族行为处罚法
민주헌법쟁취국민운동본부,民主宪法争取国民运动本部
코리아타임스,韩国时报
부산신항선,釜山新港线
부산근대역사관,釜山近代历史馆
부민관,京城府民馆
북전주선,北全州线
북평선,北坪线
천북면,川北面
현곡면,见谷面
성건동,城干洞
문무대왕면,文武大王面
동아일보,东亚日报
부산아쿠아리움,釜山水族馆
한겨레,韩民族日报
동해선,东海线
덕산선,德山线
미전선,美田线
묵호항선,墨湖港线
경상북도지사,庆尚北道知事
경상남도지사,庆尚南道知事
그리메상,画梅奖
헌인릉,献仁陵
동천동,东川洞
광안대교,广安大桥
불국동,佛国洞
용평리조트,龙平度假村
곤여만국전도,坤舆万国全图
한국은행,韩国银行
서면,西面
김선영,金善英
양산화물선,梁山货物线
신광양항선,新光阳港线
옥구선,沃沟线
온산선,温山线
망우선,忘忧线
우암선,牛岩线
문경선,闻庆线
진해선,镇海线
보국훈장,保国勋章
서울전차,首尔有轨电车
새정치국민회의,新政治国民会议
고석정,孤石亭
고시원,考试院
국립민속박물관,国立民俗博物馆
올림픽공원,奥林匹克公园
장성화물선,长城货物线
장항화물선,长项货物线
원효로동,元晓路洞
울산항선,蔚山港线
장생포선,长生浦线
파랑초,丁岩礁
국립중앙과학관,国立中央科学馆
명동성당,明洞主教座堂
구청장,区长
행신동,幸信洞
정부서울청사,政府首尔厅舍
성균관,成均馆
대한국민항공,大韩国民航空
신한은행,新韩银行
대구교통공사,大邱交通公社
전세권,传贳
함백선,咸白线
특별자치도,特别自治道
수도방위사령부,陆军首都防卫司令部
성동고등학교,城东高等学校
현대문학상,现代文学奖
참의원,参议院
서빙고동,西冰库洞
세종연구소,世宗研究所
보신각,普信阁
단원고등학교,檀园高等学校
한국농수산식품유통공사,韩国农水产食品流通公社
여천선,丽川线
비변사등록,备边司誊录
노량해협,露梁海峡
뉴시스,纽西斯
에어인천,仁川航空
효창동,孝昌洞
혜화문,惠化门
제주해협,济州海峡
마창대교,马昌大桥
인천국제공항철도,仁川国际机场铁道
범어사,梵鱼寺
선암사,仙岩寺
서천화력선,舒川火力线
산본동,山本洞
대아고속해운,大亚高速海运
아시아인스티튜트,亚洲研究所
학도의용군,学徒义勇军
반촌,泮村
서울도서관,首尔图书馆
답동성당,沓洞主教座堂
대구경북과학기술원,大邱庆北科学技术院
공군작전사령부,韩国空军作战司令部
대불선,大佛线
쌍용동,双龙洞
서울구치소,首尔看守所
을지로동,乙支路洞
대구광역시장,大邱广域市长
양주군,杨州郡
대한불교미륵종,大韩佛教弥勒宗
부산항여객터미널,釜山港国际客运码头
서울종합예술실용학교,首尔综合艺术实用学校
산굼부리,山君不离
전라남도지사,全罗南道知事
진해군항제,镇海军港节
세종특별자치시장,世宗特别自治市长
한국토지주택공사,韩国土地住宅公社
한림연예예술고등학교,韩林演艺艺术高等学校
제주특별자치도지사,济州特别自治道知事
제주향교,济州乡校
영주댐,荣州水库
영훈국제중학교,泳熏国际中学校
정선읍,旌善邑
한국우주전파관측망,韩国宇宙电波观测网
청도고등학교,清道高等学校
청담고등학교,清潭高等学校
서울퀴어문화축제,首尔酷儿文化节
쿠팡,酷澎
월드컵대교,世界杯大桥
김대중도서관,金大中图书馆
하동화력발전소,河东火力发电所
의정부경전철,议政府轻电铁
광주교통공사,光州广域市都市铁道公社
매헌시민의숲,良才市民森林
우진산전,宇进产电
부산시민공원,釜山市民公园
영화의전당,电影殿堂
대한민국학술원,大韩民国学术院
재한유엔기념공원,联合国纪念墓园
거금대교,居金大桥
브랭섬홀아시아,布兰克森霍尔亚洲分校
파리크라상,巴黎贝甜
강화성당,大韩圣公会江华圣堂
육군훈련소,韩国陆军训练所
하나원,北韩离脱住民定著支援事务所
동성고등학교,东星高等学校
해안분지,亥安盆地
약현성당,药岘圣堂
보탑사,宝塔寺
외암마을,外岩村
국립어린이청소년도서관,国立儿童青少年图书馆
국립소록도병원,国立小鹿岛病院
한강공원,汉江公园
서울남부구치소,首尔南部看守所
중앙고속도로지선,中央高速公路支线
건원릉,健元陵
효원고등학교,孝园高等学校
서울공연예술고등학교,首尔公演艺术高等学校
대원여자고등학교,大元女子高等学校
서울중앙지방법원,首尔中央地方法院
서울상암초등학교,首尔上岩初等学校
서울선린초등학교,首尔善邻初等学校
간성군,杆城郡
묘도대교,猫岛大桥
국민교육헌장,国民教育宪章
울산광역시장,蔚山广域市长
세종학당재단,世宗学堂
서울화력발전소,首尔火力发电所
성희여자고등학교,圣喜女子高等学校
서울동부구치소,首尔东部看守所
국방부군사편찬연구소,国防部军史编纂研究所
국민건강보험,韩国国民健康保险
한국인삼공사,正官庄
한국영화평론가협회상,韩国电影评论家协会奖
대전광역시장,大田广域市长
아산정책연구원,峨山政策研究院
청해진해운,清海镇海运
인천광역시장,仁川广域市长
영주동,瀛州洞
부평동,富平洞
충청북도지사,忠清北道知事
전북특별자치도지사,全北特别自治道知事
신촌,新村
혜화동성당,惠化圣堂
옥계면,玉溪面
불닭볶음면,火鸡面
평화열차,和平列车
충무동,忠武洞
충청남도지사,忠清南道知事
양덕성당,阳德主教座堂
별내선,别内线
진접선,榛接线
완도대교,莞岛大桥
형제복지원,釜山兄弟之家福利院事件
둔촌중학교,遁村中学校
군사경찰,韩国军事警察
해녀박물관,海女博物馆
의정부성당,议政府主教座堂
대흥동성당,大兴洞主教座堂
청도중학교,清道中学校
감천문화마을,甘川文化村
국립대전현충원,国立大田显忠院
자유북한운동연합,自由北韩运动联合
동백섬,冬柏公园
부울경,釜蔚庆
해군잠수함사령부,韩国海军潜艇司令部
전곡선사박물관,全谷史前博物馆
임시수도기념관,临时首都纪念馆
치안총감,治安总监
율현터널,栗岘隧道
이태원동,梨泰院洞
하남선,河南线
화태대교,禾太大桥
중앙성당,圣母无原罪主教座堂
군산항선,群山港线
우이신설경전철,牛耳新设轻电铁
제네시스,捷尼赛斯
에어서울,首尔航空
강릉올림픽파크,江陵奥林匹克公园
