热比娅,레비야,rebiya
端升,돤성,dwanseong
维,유,yu
学圻,쉐치,sweci
奕迅,이쉰,iswin
渤,보,bo
大卫,다웨이,dawei
更新,겅신,geongsin
永健,융젠,yungjen
南,남,nam
兆铭,자오밍,jaoming
海英,하이잉,haiing
洪才,훙차이,hungcai
尧,오야오,oyao
晗,한,han
义夫,이푸,ipu
彬彬,빈빈,binbin
牟,모,mo
敦芾,돈불,donbul
小奇,샤오치,syaoci
法拉,파라,para
希同,시통,sitong
腾飞,안텅페이,anteongpei
清泉,칭취안,cingcwian
大伟,다웨이,dawei
南起,남기,namgi
佳军,자쥔,jajwin
源,위안,wian
家义,자이,jai
宝顺,바오순,baosun
力子,오리쯔,orijjeu
鼎新,딩신,dingsin
易祥,이샹,isyang
雪健,쉐젠,swejen
诗诗,스스,seuseu
思诚,쓰청,sseuceong
实秋,스추,seucu
从诫,충제,cungje
企孙,치쑨,cissun
惠敏,혜민,hyemin
晟铭,성밍,seongming
少秋,사오추,saocu
成军,청쥔,ceongjwin
瑞环,루이환,ruihwan
任穷,런충,reoncung
镇宇,전위,jeonwi
琳芃,린펑,rinpeong
又侠,유샤,yusya
哮波,샤오보,syaobo
亚平,야핑,yaping
胜俊,성쥔,seongjwin
文卓,오원줘,oweonjweo
汶泽,문택,muntaeg
英,잉,ing
若诚,뤄청,rweoceong
圣依,성이,seongi
冲,충,cung
香琴,샹친,syangcin
宗泽,쭝쩌,jjungjjeo
惠,후,hu
英红,이잉훙,iinghung
孟达,맹달,maengdal
丕显,비셴,bisyen
讷,너,neo
华华,화화,hwahwa
妙可,먀오커,myaokeo
青云,칭윈,cingwin
莎,사,sa
亦武,오이우,oiu
康之,캉즈,kangjeu
大雷,다레이,darei
咏琪,영기,yeonggi
嘉玲,자링,jaring
坤,쿤,kun
家良,가량,garyang
震云,전윈,jeonwin
寅初,인추,incu
国坤,궈쿤,gweokun
光潜,광첸,gwangcen
巍,웨,we
子,이쯔,ijjeu
国文,우궉만,ugweogman
詹,잔,jan
福瑞,푸루이,purui
佩琦,페이치,peici
宜智,이즈,ijeu
坤明,쿤밍,kunming
铎,둬,dweo
长江,창장,cangjang
丰毅,펑이,peongi
耀武,야오우,yaou
和,허,heo
肇钧,자오쥔,jaojwin
家军,안자쥔,anjajwin
学军,쉐쥔,swejwin
国清,궈칭,gweocing
永丽,이융리,iyungri
稀哲,시저,sijeo
宝生,바오성,baoseong
立峰,리펑,ripeong
景,징,jing
甜,톈,tyen
馨予,신위,sinwi
文靖,원징,weonjing
爽,솽,swang
克华,우커화,ukeohwa
泰峰,타이펑,taipeong
家毫,자하오,jahao
薛祥,쉐샹,swesyang
小林,샤오린,syaorin
岚,란,ran
振宇,오전위,ojeonwi
兴瑞,싱루이,singrui
泰延,타이옌,taiyen
蓝,란,ran
燕,옌,yen
伍,오,o
允龙,윤룡,yunryong
窦,더,deo
骁,우샤오,usyao
松韵,쑹윈,ssungwin
振辉,전후이,jeonhui
珞丹,뤄단,rweodan
鹤,허,heo
巧巧,차오차오,caocao
亚男,야난,yanan
香凝,샹닝,syangning
沁,친,cin
简,간,gan
慧真,혜진,hyejin
力群,리췬,ricwin
依依,이이,ii
歆艺,신이,sini
常培,창페이,cangpei
本顺,우번순,ubeonsun
文东,원둥,weondung
俊乐,쥔러,jwinreo
文清,원칭,weoncing
洪达,훙다,hungda
晓彤,오샤오퉁,osyaotung
蓉,룽,rung
斓,란,ran
萃雯,취문,cwimun
亚芳,야팡,yapang
山,샨,syan
春丽,춘리,cunri
子维,자유,jayu
伯礼,보리,bori
凯丽,카이리,kairi
恩哥,언거,eongeo
娇倩,이자오첸,ijaocen
家佳,자자,jaja
嘉丽,자리,jari
桐,퉁,tung
丽娅,리야,riya
锦棠,금당,geumdang
世平,이스핑,iseuping
建斌,젠빈,jenbin
艺伟,이웨이,iwei
瑶,야오,yao
家炳,자빙,jabing
家超,가초,gaco
宗万,이쭝완,ijjungwan
鸥,어우,eou
传君,전군,jeongun
健次,젠츠,jenceu
厉,리,ri
以宁,이닝,ining
理群,리췬,ricwin
容儿,룽얼,rungeol
京飞,경비,gyeongbi
数,슈,syu
迟,츠,ceu
子建,쯔젠,jjeujen
穗,쑤이,ssui
美英,메이잉,meiing
佳宁,자닝,janing
檬,멍,meong
业良,예량,yeryang
艺洲,이저우,ijeou
宏伟,훙웨이,hungwei
嫣,옌,yen
维维,웨이웨이,weiwei
韵,우윈,uwin
佳容,자룽,jarung
君毅,쥔이,jwini
包,바,ba
贝尔,오베이얼,obeieol
越,웨,we
文广,원광,weongwang
柁,퉈,tweo
段,돤,dwan
奕宏,이훙,ihung
晨星,천싱,ceonsing
远征,위안정,wianjeong
学兵,쉐빙,swebing
克安,극안,geugan
维廉,웨이롄,weiryen
嘉男,자난,janan
嘉恒,카항,kahang
南光,남광,namgwang
宝强,바오창,baocang
宾,빈,bin
学鹏,쉐펑,swepeong
金生,진성,jinseong
嘉益,자이,jai
世佳,세가,sega
居,쥐,jwi
文沛,원페이,weonpei
铠同,카이퉁,kaitung
炅,중,jung
纪霖,지린,jirin
进军,진쥔,jinjwin
雨露,위루,wiru
童舒,퉁수,tungsu
晟,성,seong
易峰,이펑,ipeong
阚,칸,kan
清子,칭쯔,cingjjeu
乃瑾,나이진,naijin
飞鸿,페이훙,peihung
儿,얼,eol
玲玉,링위,ringwi
滨,빈,bin
庭延,팅옌,tingyen
建伟,젠웨이,jenwei
粤明,웨밍,weming
左,쭤,jjweo
小青,샤오칭,syaocing
翰笙,한성,hanseong
桃,타오,tao
和伟,허웨이,heowei
丽坤,리쿤,rikun
自健,쯔젠,jjeujen
峻宁,준닝,junning
春荣,이춘룽,icunrung
保田,바오톈,baotyen
戎,융,yung
敏涛,민타오,mintao
国中,궈중,gweojung
世振,스전,seujeon
韦星,웨이싱,weising
钰莹,위잉,wiing
紫,쯔,jjeu
晓渡,샤오두,syaodu
强东,창둥,cangdung
芸,윈,win
丙燕,빙옌,bingyen
文轩,오원쉬엔,oweonswien
垚,야오,yao
永淳,융춘,yungcun
萌,멍,meong
祖,쭈,jju
连,롄,ryen
笑,샤오,syao
幼斌,유빈,yubin
恺,카이,kai
子枫,쯔펑,jjeupeong
伯慧,보후이,bohui
祥明,샹밍,syangming
嘉倪,자니,jani
梓淇,오쯔치,ojjeuci
棣怀,디화이,dihwai
鑫森,신썬,sinsseon
立,리,ri
雨申,위선,wiseon
海琼,하이충,haicung
泰龄,타이링,tairing
大宏,다훙,dahung
赋魁,푸쿠이,pukui
梦婕,멍제,meongje
欣,신,sin
金铭,진밍,jinming
依晓,이샤오,isyao
奎松,쿠이쑹,kuissung
芈,미,mi
昱廷,위팅,witing
汀阳,오팅양,otingyang
永浩,영호,yeongho
均波,쥔보,jwinbo
任梁,오런량,oreonryang
志坚,즈젠,jeujen
晓婷,샤오팅,syaoting
发,발,bal
吉宁,지닝,jining
毅飞,이페이,ipei
殿座,뎬쭤,dyenjjweo
虞,위,wi
梦,멍,meong
仁德,인덕,indeog
腾宇,텅위,teongwi
海璐,하이루,hairu
艺昕,이신,isin
丽颖,오리잉,oriing
金黄,우진황,ujinhwang
铉佑,쉬안유,swianyu
艺潇,우이샤오,uisyao
蒲,푸,pu
巴甲,바자,baja
淞笙,쑹성,ssungseong
文藻,원짜오,weonjjao
伊琍,이리,iri
笃弼,독필,dogpil
养初,찬양,canyang
晓,샤오,syao
学诚,에청,eceong
雪迎,쉐잉,sweing
星彤,오싱퉁,osingtung
卓灵,안척링,anceogring
昂,앙,ang
晟晖,오윈샹,owinsyang
艺兴,이,i
西林,시린,sirin
之莹,즈잉,jeuing
文凝,원닝,weonning
子韬,쯔타오,jjeutao
初梨,추리,curi
鹰,응,eung
用彤,융퉁,yungtung
昕然,오신란,osinran
上源,상위안,sangwian
雅同,이야퉁,iyatung
耀廷,이야오팅,iyaoting
蓝心,란신,ransin
楚楚,우추추,ucucu
岱孙,다이쑨,daissun
元豪,위안하오,wianhao
书磊,수레이,surei
新,신,sin
益唐,이탕,itang
子文,쯔원,jjeuweon
原春,위안춘,wiancun
乃器,나이치,naici
宏声,훙성,hungseong
冠武,관무,gwanmu
樊,판,pan
振东,전둥,jeondung
子威,쯔웨이,jjeuwei
军宏,군홍,gunhong
南多,르난지뉴,reunanjinyu
之辉,즈후이,jeuhui
祥瑞,샹루이,syangrui
云嵩,윈쑹,winssung
蕴若,윈뤄,winrweo
志希,지희,jihyi
轩豪,쉬안하오,swianhao
欣然,오신란,osinran
柏青,바이칭,baicing
立峣,리야오,riyao
嘉尔,슨,seun
冰娇,빙자오,bingjao
牛,뉴,nyu
雨田,위톈,wityen
孔廉,오쿵롄,okungryen
文熊,원슝,weonsyung
谌,천,ceon
利军,리쥔,rijwin
碧云,이비윈,ibiwin
轩,쉬안,swian
奇奇,우치치,ucici
霜,솽,swang
麟,린,rin
准翼,오준이,ojuni
干杰,간제,ganje
永永,융융,yungyung
雅繁,야판,yapan
国宏,이궈훙,igweohung
大靖,다징,dajing
健吾,젠우,jenu
观慧,관훼이,gwanhwei
过,궈,gweo
惕生,티성,tiseong
莫愁,모처우,moceou
国洪,궈훙,gweohung
天苗,톈먀오,tyenmyao
美儿,미아,mia
昊洋,하오양,haoyang
宇琪,위치,wici
国华,궈화,gweohwa
晨琨,천쿤,ceonkun
池,츠,ceu
贝娜,오베이나,obeina
奕名,이밍,iming
晨宇,천위,ceonwi
泽涛,쩌타오,jjeotao
婧琳,징린,jingrin
雪儿,쉐얼,sweeol
欣怡,신이,sini
易榕,이룽,irung
世豪,이스하오,iseuhao
朱濠,주하오,juhao
瑶光,야오광,yaogwang
朦胧,멍룽,meongrung
律,률,ryul
旻憓,민후이,minhui
家朗,자랑,jarang
忻,우신,usin
童生,퉁성,tungseong
晨浩,천하오,ceonhao
慧雯,후이원,huiweon
嘉敏,오쟈민,ojyamin
车,처,ceo
永莉,융리,yungri
桂辛,구이신,guisin
允,윈,win
湘,샹,syang
疏影,수잉,suing
宾基,빈지,binji
溪芮,시루이,sirui
妍,옌,yen
钦诚,친청,cinceong
玉宁,위닝,wining
睿龙,오루이룽,oruirung
宝玉,바오위,baowi
小苒,샤오란,syaoran
亚青,야칭,yacing
艺彤,이퉁,itung
玉安,위안,wian
东君,둥쥔,dungjwin
荣浩,롱하오,ronghao
云熙,운희,unhyi
群飞,우췬페이,ucwinpei
碧莲,벽련,byeogryeon
思纯,쓰춘,sseucun
之臻,즈전,jeujeon
泽佳,쩌자,jjeoja
乐观,러관,reogwan
林林,오린린,orinrin
科律,커뤼,keorwi
皓晴,하오칭,haocing
明浩,에잇,eis
冰卿,빙칭,bingcing
都灵,두링,during
雨菲,위페이,wipei
倩,첸,cen
立铭,리밍,riming
佳琪,자치,jaci
大勋,이다쉰,idaswin
语格,위거,wigeo
意涵,이한,ihan
沁源,이친위엔,icinwien
俊艳,오쥔옌,ojwinyen
凯琹,카이친,kaicin
嘉佳,자자,jaja
雨彤,우위퉁,uwitung
婉婷,완팅,wanting
颂,쑹,ssung
冠宇,우관위,ugwanwi
海威,하이웨이,haiwei
梦成,멍청,meongceong
嘉炀,자양,jayang
斯柏,스퍼,seupeo
轶,이,i
昊然,하오란,haoran
伯箫,보샤오,bosyao
芸桦,윈화,winhwa
魏洲,웨이저우,weijeou
楷文,카이원,kaiweon
潇,소,so
冬旭,둥쉬,dungswi
竞,이징,ijing
宏杰,이왕킷,iwangkis
俊凯,쥔카이,jwinkai
些宁,셰닝,syening
天爱,톈아이,tyenai
沛然,페이란,peiran
景瑜,징위,jingwi
泓余,우훙위,uhungwi
语涵,위한,wihan
敏全,민취안,mincwian
敬亭,이징팅,ijingting
小洪,샤오훙,syaohung
祖尚,조상,josang
思聪,스총,seucong
俊辰,준진,junjin
其润,치룬,cirun
元赫,오위안허,owianheo
科,커,keo
嘉阳,자양,jayang
贤,셴,syen
泽锦,쩌진,jjeojin
悦欣,웨신,wesin
跃峰,웨펑,wepeong
行文,오싱원,osingweon
付,푸,pu
宇征,위정,wijeong
思阳,쓰양,sseuyang
在明,짜이밍,jjaiming
逸超,이차오,icao
铭,밍,ming
翔宇,샹위,syangwi
维清,웨이칭,weicing
伊,이,i
凌涛,링타오,ringtao
潇阳,오샤오양,osyaoyang
梓健,쯔젠,jjeujen
灿,이찬,ican
佳欣,자신,jasin
谨言,진옌,jinyen
亭宇,오팅위,otingwi
少昂,사오앙,saoang
春雨,춘위,cunwi
思意,스이,seui
海乔,하이차오,haicao
梓豪,쯔하오,jjeuhao
易昺,이빙,ibing
宇翱,위아오,wiao
冠聪,관충,gwancung
梦莹,멍잉,meonging
训钊,쉰자오,swinjao
文静,이원징,iweonjing
卫东,웨이둥,weidung
冲及,충지,cungji
薪朵,신둬,sindweo
冰妍,안빙옌,anbingyen
婧祎,징이,jingi
粤,오웨,owe
奴,누,nu
世铭,스밍,seuming
立瑜,리위,riwi
美岐,기,gi
发彬,파빈,pabin
伦,룬,run
洁琼,결경,gyeolgyeong
尔豪,얼하오,eolhao
亚明,야밍,yaming
景芳,오징팡,ojingpang
威龙,웨이롱,weirong
新成,신청,sinceong
珍妮,전니,jeonni
蕾蕾,레이레이,reirei
高远,가오위안,gaowian
艳芬,옌펀,yenpeon
曼棋,만치,manci
颖莎,잉사,ingsa
闻潮,원차오,weoncao
现,셴,syen
妍霏,연비,yeonbi
宣仪,의,yi
茹,루,ru
子楠,쯔난,jjeunan
丽娜,리나,rina
幸同,싱퉁,singtung
曼昱,만위,manwi
晓光,샤오광,syaogwang
昕冉,신란,sinran
希泽,시쩌,sijjeo
柏嘉,보자,boja
艺璇,안이쉬엔,aniswien
徐坤,이쉬쿤,iswikun
绪丹,쉬단,swidan
今麦,오진마이,ojinmai
孝埈,샤오쥔,syaojwin
明昊,우밍하오,uminghao
月,웨,we
谅,양,yang
辅,보,bo
辰,천,ceon
正丽,정리,jeongri
涂,투,tu
们,먼,meon
鹤棣,허디,heodi
铭谦,밍첸,mingcen
建俊,젠쥔,jenjwin
露思,오루쓰,orusseu
经,징,jing
钰琪,위치,wici
龄月,링웨,ringwe
铱,이,i
泽锋,쩌펑,jjeopeong
提莫,티모,timo
明叶,밍예,mingye
战,오잔,ojan
超越,차오웨,caowe
子柒,쯔치,jjeuci
仁,런,reon
辰杰,천제,ceonje
奚若,시뤄,sirweo
楚然,초연,coyeon
学斌,쉐빈,swebin
昀,윈,win
意旋,의선,yiseon
海明,하이밍,haiming
桉,안,an
雨琦,기,gi
晞临,시린,sirin
奥轩,오현,ohyeon
书欣,수신,susin
艺洋,이양,iyang
少聪,사오충,saocung
小纭,샤오윈,syaowin
采钰,차이위,caiwi
爱凌,아이링,airing
覃,친,cin
海洋,하이양,haiyang
安宇,안위,anwi
继先,지셴,jisyen
秋实,추스,cuseu
靖康,징캉,jingkang
建奎,젠쿠이,jenkui
晚舟,완저우,wanjeou
志慧,우즈후이,ujeuhui
楚萧,추샤오,cusyao
继扬,지양,jiyang
墨,모,mo
咏,융,yung
文亮,원량,weonryang
文龙,원룽,weonrung
菁菁,징징,jingjing
亦航,이항,ihang
云秀,윈슈,winsyu
宇恒,위헝,wiheong
菲儿,페이얼,peieol
斯沉,쓰천,sseuceon
子涵,쯔한,jjeuhan
丽梦,리멍,rimeong
哲远,철원,ceolweon
星昊,싱하오,singhao
肸子,시쯔,sijjeu
玲玲,링링,ringring
崎,치,ci
雨昕,위신,wisin
楚桐,추퉁,cutung
浩菲,하오페이,haopei
达菲,다페이,dapei
学义,쉐이,swei
晓宇,샤오위,syaowi
卓璇,줘쉬안,jweoswian
梦儿,멍얼,meongeol
艺瑾,이진,ijin
贞羽,쩐위,jjeonwi
艺凡,이판,ipan
冠今,관진,gwanjin
志民,즈민,jeumin
兴阳,씽양,ssingyang
依铭,이밍,iming
唯嘉,오웨이자,oweija
知恩,즈언,jeueon
苓,링,ring
念,녠,nyen
艺卓,닝,ning
宇,위,wi
朋飞,펑페이,peongpei
望星,왕씽,wangssing
雨婷,위팅,witing
小婷,오팅,oting
宏宇,이홍위,ihongwi
浩宇,이하오위,ihaowi
全,취,cwi
红婵,안훙찬,anhungcan
常鸿,창훙,canghung
美含,메이한,meihan
泉锐,키,ki
展乐,잔러,janreo
致逸,위펑,wipeong
翊鸣,이밍,iming
宏村,홍춘,hongcun
西递村,시디춘,sidicun
龙华寺,롱화쓰,ronghwasseu
颐和园,이화원,ihwaweon
福建省,푸젠성,pujenseong
人民日报,인민일보,inminilbo
武陵源,무릉원,mureungweon
江苏省,장쑤성,jangssuseong
廉政公署,염정공서,yeomjeonggongseo
浙江省,저장성,jeojangseong
天山山脉,톈산산맥,tyensansanmaeg
喜马拉雅山脉,히말라야산맥,himalrayasanmaeg
海南省,하이난성,hainanseong
富裕县,푸위현,puwihyeon
阳朔县,양숴현,yangsweohyeon
甘肃省,간쑤성,ganssuseong
沭阳县,수양현,suyanghyeon
喀喇昆仑山脉,카라코람산맥,karakoramsanmaeg
阿尔泰山脉,알타이산맥,altaisanmaeg
江西省,장시성,jangsiseong
黑龙江省,헤이룽장성,heirungjangseong
台湾省,타이완성,taiwanseong
克什米尔,카슈미르,kasyumireu
山东省,산둥성,sandungseong
中国人民政治协商会议,중국인민정치협상회의,jungguginminjeongcihyeobsanghoeyi
云南省,윈난성,winnanseong
莫高窟,막고굴,maggogul
河北省,허베이성,heobeiseong
裕固族,위구족,wigujog
民主建港协进联盟,민주건항협진연맹,minjugeonhanghyeobjinyeonmaeng
河南省,허난성,heonanseong
文化大革命,문화대혁명,munhwadaehyeogmyeong
国际饭店,궈지판뎬,gweojipandyen
香港仔,헝공자이,heonggongjai
吉林省,지린성,jirinseong
辽宁省,랴오닝성,ryaoningseong
凤阳县,펑양현,peongyanghyeon
佛光寺,포광사,pogwangsa
浠水县,시수이현,sisuihyeon
中国建设银行,중국건설은행,jungguggeonseoleunhaeng
中国农业银行,중국농업은행,junggugnongeobeunhaeng
察哈尔部,차하르부,cahareubu
湖南省,후난성,hunanseong
官话,관화,gwanhwa
青海省,칭하이성,cinghaiseong
中国工商银行,중국공상은행,jungguggongsangeunhaeng
东亚,동아시아,dongasia
维吾尔族,위구르족,wigureujog
山塘街,샨탕제,syantangje
湖北省,후베이성,hubeiseong
中亚,중앙아시아,jungangasia
东北亚,동북아시아,dongbugasia
贵州省,구이저우성,guijeouseong
山西省,산시성,sansiseong
明孝陵,효릉,hyoreung
秦始皇兵马俑,병마용,byeongmayong
陕西省,산시성,sansiseong
东南亚,동남아시아,dongnamasia
宁明县,닝밍현,ningminghyeon
龙州县,룽저우현,rungjeouhyeon
大名县,다밍현,daminghyeon
蓬安县,펑안현,peonganhyeon
人民币,런민비,reonminbi
中国国际航空,중국국제항공,jungguggugjehanggong
天等县,톈덩현,tyendeonghyeon
安徽省,안후이성,anhuiseong
大新县,다신현,dasinhyeon
宁南县,닝난현,ningnanhyeon
平昌县,핑창현,pingcanghyeon
且末县,체모현,cemohyeon
赫章县,허장현,heojanghyeon
大悟县,다우현,dauhyeon
温泉县,원취안현,weoncwianhyeon
贺兰山,허란산맥,heoransanmaeg
云阳县,윈양현,winyanghyeon
批林批孔运动,비림비공운동,birimbigongundong
中环,중완,jungwan
盘山县,판산현,pansanhyeon
明溪县,밍시현,mingsihyeon
泗阳县,쓰양현,sseuyanghyeon
望都县,왕두현,wangduhyeon
山阴县,산인현,saninhyeon
布依族,부이족,buijog
米易县,미이현,miihyeon
苏公塔,소공탑,sogongtab
尖沙咀,짐사저이,jimsajeoi
浑源县,훈위안현,hunwianhyeon
尚义县,샹이현,syangihyeon
白族,바이족,baijog
威县,웨이현,weihyeon
律商联讯,렉시스,regsiseu
盐津县,옌진현,yenjinhyeon
景县,징현,jinghyeon
拜泉县,바이취안현,baicwianhyeon
南昌县,난창현,nancanghyeon
普济禅院,관음당,gwaneumdang
湾仔,완자이,wanjai
西乡县,시샹현,sisyanghyeon
纳木错,남초호,namcoho
澳门,마카오,makao
翼城县,이청현,iceonghyeon
赤城县,츠청현,ceuceonghyeon
那坡县,나포현,napohyeon
南丹县,난단현,nandanhyeon
天峨县,톈어현,tyeneohyeon
凤山县,펑산현,peongsanhyeon
曲松县,취쑹현,cwissunghyeon
托克托县,퉈커퉈현,tweokeotweohyeon
高县,가오현,gaohyeon
天灯,풍등,pungdeung
汇业银行,방코델타아시아,bangkodeltaasia
东突厥斯坦,동튀르키스탄,dongtwireukiseutan
广东省,광둥성,gwangdungseong
中国工程院,중국공정원,jungguggongjeongweon
平江县,핑장현,pingjanghyeon
台江县,타이장현,taijanghyeon
法库县,파쿠현,pakuhyeon
新疆北部,중가리아,junggaria
榆社县,위서현,wiseohyeon
太行山,타이항산맥,taihangsanmaeg
仁布县,런부현,reonbuhyeon
云霄县,윈샤오현,winsyaohyeon
泗洪县,쓰훙현,sseuhunghyeon
渭源县,웨이위안현,weiwianhyeon
傣族,다이족,daijog
济水,지수이,jisui
鲤鱼门,레이위문,reiwimun
武陵山脉,우링산맥,uringsanmaeg
东兰县,둥란현,dungranhyeon
阳山县,양산현,yangsanhyeon
新兴县,신싱현,sinsinghyeon
太康县,타이캉현,taikanghyeon
汪清县,왕칭현,wangcinghyeon
鼎泰丰,딘타이펑,dintaipeong
同仁堂,동인당,dongindang
中国人民抗日战争纪念馆,중국인민항일전쟁기념관,jungguginminhangiljeonjaengginyeomgwan
虎牢关,호뢰관,horoegwan
人民大会堂,인민대회당,inmindaehoedang
盟,맹,maeng
阳谷县,양구현,yangguhyeon
凤凰县,펑황현,peonghwanghyeon
好太王碑,광개토대왕릉비,gwanggaetodaewangreungbi
平阳县,핑양현,pingyanghyeon
文成县,원청현,weonceonghyeon
泰顺县,타이순현,taisunhyeon
中国地震局,중국지진국,junggugjijingug
喀尔喀蒙古族,할하부,halhabu
中国东方航空,중국동방항공,junggugdongbanghanggong
中国南方航空,중국남방항공,junggugnambanghanggong
大兴安岭,다싱안링산맥,dasinganringsanmaeg
黄土高原,황투고원,hwangtugoweon
郁南县,위난현,winanhyeon
虞城县,위청현,wiceonghyeon
苍南县,창난현,cangnanhyeon
永嘉县,융자현,yungjahyeon
平义线,평의선,pyeongyiseon
关帝庙,관제묘,gwanjemyo
鸦洲,아자우섬,ajauseom
阿坝县,아바현,abahyeon
清东陵,청동릉,ceongdongreung
士大夫,사대부,sadaebu
佤族,와족,wajog
美捷香港商用飞机,메트로제트,meteurojeteu
黎族,리족,rijog
跑马地,해피밸리,haepibaelri
水丰水库,수풍댐,supungdaem
长江企业控股,청쿵그룹,ceongkunggeurub
浙江职业足球俱乐部,저장,jeojang
鸭脷洲,압레이차우,abreicau
中朝友谊桥,조중우의교,jojunguyigyo
实利银行,실리은행,silrieunhaeng
姜汁撞奶,겅잡종나이,geongjabjongnai
天安门,천안문,ceonanmun
滇池,뎬츠호,dyenceuho
鄄城县,쥐안청현,jwianceonghyeon
迪士尼线,디즈니선,dijeuniseon
港岛线,공도선,gongdoseon
罗布泊,로프노르,ropeunoreu
东铁线,둥팃선,dungtisseon
东涌线,둥충선,dungcungseon
西铁线,사이팃선,saitisseon
将军澳线,정관오선,jeonggwanoseon
天池,천지,ceonji
泸西县,루시현,rusihyeon
挹娄,읍루,eubru
广宁县,광닝현,gwangninghyeon
襄垣县,샹위안현,syangwianhyeon
落马洲,록마차우,rogmacau
汤原县,탕위안현,tangwianhyeon
乌鲁木齐县,우루무치현,urumucihyeon
撒拉族,사라족,sarajog
金川县,진촨현,jincwanhyeon
北庭大都护府,북정도호부,bugjeongdohobu
曲阳县,취양현,cwiyanghyeon
通江县,퉁장현,tungjanghyeon
屏山县,핑산현,pingsanhyeon
石阡县,스첸현,seucenhyeon
曲阜孔庙,공묘,gongmyo
中国银联,유니온페이,yunionpei
清明节,청명절,ceongmyeongjeol
新港乡,신강향,singanghyang
天坛,천단,ceondan
外滩,와이탄,waitan
曲麻莱县,취마라이현,cwimaraihyeon
方城县,팡청현,pangceonghyeon
钓鱼台,우오쓰리섬,uosseuriseom
元朗,윈롱,winrong
土族,투족,tujog
麻栗坡县,마리포현,maripohyeon
兴和县,싱허현,singheohyeon
广州足球俱乐部,광저우,gwangjeou
富平县,푸핑현,pupinghyeon
饶阳县,라오양현,raoyanghyeon
佛历,불멸기원,bulmyeolgiweon
曲水县,취수이현,cwisuihyeon
岷山,민산산맥,minsansanmaeg
崇信县,충신현,cungsinhyeon
博罗县,보뤄현,borweohyeon
王府井大街,왕푸징,wangpujing
商朝,상나라,sangnara
瑶族,야오족,yaojog
永和县,융허현,yungheohyeon
洛川县,뤄촨현,rweocwanhyeon
丁青县,딩칭현,dingcinghyeon
中国国家图书馆,중국국가도서관,junggugguggadoseogwan
潼关县,퉁관현,tunggwanhyeon
沙田,사틴,satin
普兰县,푸란현,puranhyeon
隆子县,룽쯔현,rungjjeuhyeon
涞水县,라이수이현,raisuihyeon
临邑县,린이현,rinihyeon
龙里县,룽리현,rungrihyeon
民勤县,민친현,mincinhyeon
中国国际广播电台,중국국제방송,jungguggugjebangsong
兰西县,란시현,ransihyeon
和平饭店,화평반점,hwapyeongbanjeom
德江县,더장현,deojanghyeon
丰都县,펑두현,peongduhyeon
平罗县,핑뤄현,pingrweohyeon
桦川县,화촨현,hwacwanhyeon
观塘线,군통선,guntongseon
黑水县,헤이수이현,heisuihyeon
铜雀台,동작대,dongjagdae
啄啄糖,덕덕통,deogdeogtong
北斗卫星导航系统,베이더우,beideou
沙洋县,사양현,sayanghyeon
中秋节,중추절,jungcujeol
沧县,창현,canghyeon
贵南县,구이난현,guinanhyeon
丰县,펑현,peonghyeon
临泉县,린취안현,rincwianhyeon
固阳县,구양현,guyanghyeon
洞口县,둥커우현,dungkeouhyeon
莎车县,야르칸드현,yareukandeuhyeon
滑县,화현,hwahyeon
咸丰县,셴펑현,syenpeonghyeon
中国移动,중국이동통신,junggugidongtongsin
顺平县,순핑현,sunpinghyeon
中环至半山自动扶手电梯系统,중환지반산자동부제,junghwanjibansanjadongbuje
国家大剧院,국가대극원,guggadaegeugweon
巴塘县,바탕현,batanghyeon
来凤县,라이펑현,raipeonghyeon
确山县,췌산현,cwesanhyeon
长洲,청차우섬,ceongcauseom
大宁县,다닝현,daninghyeon
尼木县,니무현,nimuhyeon
萨嘎县,싸가현,ssagahyeon
浪卡子县,랑카쯔현,rangkajjeuhyeon
泗水县,쓰수이현,sseusuihyeon
岳普湖县,웨푸후현,wepuhuhyeon
林周县,린저우현,rinjeouhyeon
腾讯,텐센트,tensenteu
汶川县,원촨현,weoncwanhyeon
万科,반케,banke
理塘县,리탕현,ritanghyeon
杂多县,짜둬현,jjadweohyeon
雅戈泰,아가르타,agareuta
西林县,시린현,sirinhyeon
阳城县,양청현,yangceonghyeon
宾县,빈현,binhyeon
东乡族,둥샹족,dungsyangjog
宾川县,빈촨현,bincwanhyeon
秦岭,친링산맥,cinringsanmaeg
宾阳县,빈양현,binyanghyeon
滨海县,빈하이현,binhaihyeon
固始县,구스현,guseuhyeon
布尔津县,부얼진현,bueoljinhyeon
福海县,푸하이현,puhaihyeon
鸡东县,지둥현,jidunghyeon
满族,만주족,manjujog
河北足球俱乐部,허베이,heobei
静安寺,징안쓰,jingansseu
赞皇县,잔황현,janhwanghyeon
札达县,자다현,jadahyeon
壤塘县,랑탕현,rangtanghyeon
比如县,비루현,biruhyeon
枣强县,짜오창현,jjaocanghyeon
布拖县,부퉈현,butweohyeon
香港海事博物馆,홍콩해사박물관,hongkonghaesabagmulgwan
定安县,딩안현,dinganhyeon
罗布林卡,노블링카,nobeulringka
中共中央台湾工作办公室,국무원대만사무판공실,gugmuweondaemansamupangongsil
台安县,타이안현,taianhyeon
尉氏县,웨이스현,weiseuhyeon
上海国际金融中心,상하이국제금융센터,sanghaigugjegeumyungsenteo
