leandro,레안드루,reandeuru
jailson,자이우송,jaiusong
marcelino,마르셀리누,mareuselrinu
gorito,고리토,gorito
montibeller,몬치벨레르,moncibelrereu
marco,마르쿠,mareuku
richarlison,히샤를리송,hisyareulrisong
viana,비아나,biana
sales,살레스,salreseu
moro,모루,moru
márdila,마르질라,mareujilra
tanque,탕키,tangki
neres,네리스,neriseu
melody,멜로디,melrodi
pabllo,파블루,pabeulru
vittar,비타르,bitareu
igor,이고르,igoreu
julio,줄리우,julriu
osman,오즈망,ojeumang
hamú,아무,amu
gloria,글로리아,geulroria
groove,그루브,geurubeu
zaga,자가,jaga
marquinhos,마르키뉴스,mareukinyuseu
trad,트라드,teuradeu
karine,카리네,karine
teles,텔레스,telreseu
rodrygo,호드리구,hodeurigu
goes,고이스,goiseu
valentina,발렌티나,balrentina
vinícius,비니시우스,binisiuseu
jessica,제시카,jesika
hamilton,아미우통,amiutong
mourão,모랑,morang
iza,이자,ija
gadiol,가디올,gadiol
cunha,쿠냐,kunya
sonza,손자,sonja
andrew,안드레우,andeureu
eric,에리크,erikeu
cargnin,카르그닝,kareugeuning
militão,밀리탕,milritang
paquetá,파케타,paketa
gleison,글레이송,geulreisong
bremer,브레메르,beuremereu
naomi,무나카타,munakata
munakata,나오미,naomi
eike,아이케,aike
ibañez,이바녜스,ibanyeseu
becão,베캉,bekang
pepê,페페,pepe
lodi,로지,roji
royal,로얄,royal
ortiz,오르티즈,oreutijeu
kaio,카이우,kaiu
martinelli,마르티넬리,mareutinelri
tetê,테테,tete
bela,벨라,belra
rayssa,하이사,haisa
parisot,패리소,paeriso
couto,코투,kotu
giulia,지울리아,jiulria
be,비,bi
paixão,파이샹,paisyang
veron,베론,beron
kelvin,케우빙,keubing
hoefler,호플레르,hopeulrereu
hebert,에베르트,ebereuteu
ângelo,안젤루,anjelru
andrey,안드레이,andeurei
tobias,토비아스,tobiaseu
riedel,히에데우,hiedeu
beraldo,베라우두,beraudu
vanderlan,반데를랑,bandereulrang
luis,루이스,ruiseu
pablo,파블로,pabeulro
estevão,에스테반,eseuteban
xanana,샤나나,syanana
gusmão,구스망,guseumang
abel,아벨,abel
sócrates,소크라트스,sokeurateuseu
assunção,아순상,asunsang
cristas,크리스타스,keuriseutaseu
sacramento,사크라멘토,sakeuramento
nuno,누누,nunu
padrão,파드라오,padeurao
silvestre,실베스트르,silbeseuteureu
varela,바렐라,barelra
ederzito,에데르지투,edereujitu
antónio,안토니우,antoniu
vitorino,비토리누,bitorinu
mondlane,몬들라느,mondeulraneu
indi,인디,indi
vieirinha,비에이리냐,bieirinya
quaresma,쿠아레즈마,kuarejeuma
soledad,솔레다드,solredadeu
lúcia,루시아,rusia
moniz,모니스,moniseu
egas,에가스,egaseu
lobo,로부,robu
rita,리타,rita
torga,토르가,toreuga
aníbal,아니발,anibal
cavaco,카바쿠,kabaku
leonor,레오노어,reonoeo
rui,후이,hui
patrício,파트리시우,pateurisiu
petit,프티,peuti
ramalho,하말류,hamalryu
eanes,이아느스,ianeuseu
simão,시망,simang
sabrosa,사브로자,sabeuroja
manuel,마누엘,manuel
zita,지타,jita
seabra,세아브라,seabeura
sara,사라,sara
mariza,마리자,marija
filipa,필리파,pilripa
vânia,바니아,bania
mourinho,무리뉴,murinyu
vítor,비토르,bitoreu
baía,바이아,baia
rolando,홀란두,holrandu
bebé,베베,bebe
meira,메이라,meira
évora,에보라,ebora
futre,푸트레,puteure
villasboas,빌라스보아스,bilraseuboaseu
amílcar,아밀카르,amilkareu
nelly,넬리,nelri
furtado,퍼타도,peotado
bosingwa,보싱와,bosingwa
rúben,후벵,hubeng
bettencourt,베텐코트,betenkoteu
galrinho,갈리뉴,galrinyu
damásio,다마지오,damajio
marcello,마르셀루,mareuselru
caetano,카에타누,kaetanu
costinha,코스티냐,koseutinya
guterres,구테흐스,guteheuseu
espírito,이스피리투,iseupiritu
hilário,일라리우,ilrariu
postiga,포스티가,poseutiga
amália,아말리아,amalria
olegário,올레가리우,olregariu
benquerença,벵케렌사,bengkerensa
valente,발렌트,balrenteu
soraia,소라이아,soraia
cédric,세드리크,sedeurikeu
salazar,살라자르,salrajareu
mota,모타,mota
moutinho,모티뉴,motinyu
samora,사모라,samora
machel,마셸,masyel
agustina,오거스티나,ogeoseutina
bessaluís,루이스,ruiseu
cintra,신트라,sinteura
nani,나니,nani
eusébio,에우제비우,eujebiu
gameiro,가메이로,gameiro
roman,로만,roman
abramovich,아브라모비치,abeuramobici
coentrão,코엔트랑,koenteurang
dulce,둘스,dulseu
pontes,폰트스,ponteuseu
medeiros,메데이루스,medeiruseu
ruah,루아,rua
micael,미카엘,mikael
pessoa,페소아,pesoa
isabel,이사벨,isabel
azevedo,아제베두,ajebedu
teresa,테레사,teresa
madruga,마드루가,madeuruga
trêpa,트리파,teuripa
afonso,아폰수,aponsu
apolónia,아폴로니아,apolronia
raul,하울,haul
meireles,메이렐르스,meirelreuseu
baldaque,발다쿼,baldakweo
álvaro,알바루,albaru
siza,시자,sija
nené,네네,nene
raphaël,하파엘,hapael
lucy,루시,rusi
bronze,브론즈,beuronjeu
shéu,셰우,syeu
han,한,han
barroso,바로소,baroso
jardim,자르딩,jareuding
viriato,비리아투,biriatu
egídio,에지디우,ejidiu
leitão,레이타웅,reitaung
pereirinha,페레이리냐,pereirinya
tasha,타샤,tasya
catarina,카타리나,katarina
pizzi,피찌,pijji
rebelo,헤벨루,hebelru
adrien,아드리엥,adeurieng
fonte,폰트,ponteu
rony,호니,honi
róró,호호,hoho
dimas,디마스,dimaseu
humberto,움베르투,umbereutu
stanley,스탠리,seutaenri
ho,호,ho
cabrita,카브리타,kabeurita
ferro,페후,pehu
dalila,달릴라,dalrilra
carmo,카르무,kareumu
carriço,카히수,kahisu
deslandes,데즐란드스,dejeulrandeuseu
mané,마네,mane
rio,리오,rio
podence,포덴스,podenseu
ilori,일로리,ilrori
mario,마리오,mario
rondón,론돈,rondon
merche,메르시,mereusi
romero,호메루,homeru
pichardo,피샤르두,pisyareudu
michael,미샤엘,misyael
elvis,에우비스,eubiseu
águas,아구아스,aguaseu
steven,스테벵,seutebeng
vitória,비토리아,bitoria
margarida,마르가리다,mareugarida
cordeiro,코르데이루,koreudeiru
janeiro,자네이루,janeiru
luz,루스,ruseu
joana,조아나,joana
verona,베로나,berona
nicolau,니콜라우,nikolrau
breyner,브레이네르,beureinereu
pio,피우,piu
bragança,브라간사,beuragansa
botelho,보텔류,botelryu
ileana,일레나,ilrena
d'cruz,디크루즈,dikeurujeu
domingos,도밍구스,domingguseu
raposo,라포소,raposo
ivo,이보,ibo
canelas,카넬라스,kanelraseu
cancelo,칸셀루,kanselru
sá,사,sa
anthony,안토니,antoni
cid,시드,sideu
victoria,빅토리아,bigtoria
delgado,델가두,delgadu
jerónimo,제로니무,jeronimu
salaviza,살라비자,salrabija
ella,레오노르,reonoreu
nor,안드라드,andeuradeu
joel,조엘,joel
gonçalo,곤살루,gonsalru
jota,조타,jota
centeno,센테노,senteno
gedson,제드송,jedeusong
dalot,달로,dalro
félix,펠릭스,pelrigseu
semedo,세메두,semedu
paciência,파시엔시아,pasiensia
ulisses,울리세스,ulriseseu
gelson,젤송,jelsong
vinagre,비나그르,binageureu
palhinha,팔리냐,palrinya
sanches,산시스,sansiseu
florentino,플로렌티누,peulrorentinu
trincão,트링캉,teuringkang
bárbara,바르바라,bareubara
bandeira,반데이라,bandeira
vitinha,비티냐,bitinya
loïs,로이스,roiseu
openda,오펜다,openda
alba,알바,alba
melchior,멜시오르,melsioreu
salvador,사우바도르,saubadoreu
sobral,소브랄,sobeural
von,본,bon
monika,모니카,monika
custódia,쿠스토디아,kuseutodia
lage,라즈,rajeu
machete,마체테,macete
brasil,브라질,beurajil
osasco,오자스쿠,ojaseuku
campinas,캄피나스,kampinaseu
fortaleza,포르탈레자,poreutalreja
embraer,엠브라에르,embeuraereu
pelotas,펠로타스,pelrotaseu
curitiba,쿠리치바,kuriciba
brasília,브라질리아,beurajilria
recife,헤시피,hesipi
carapicuíba,카라피쿠이바,karapikuiba
noronha,노로냐,noronya
bagé,바제,baje
niterói,니테로이,niteroi
palmas,파우마스,paumaseu
natal,나타우,natau
macapá,마카파,makapa
chaco,그란차코,geurancako
maringá,마링가,maringga
petrobras,페트로브라스,peteurobeuraseu
florianópolis,플로리아노폴리스,peulrorianopolriseu
grêmio,그레미우,geuremiu
barueri,바루에리,barueri
parque,이비라푸에라,ibirapuera
ibirapuera,공원,gongweon
estádio,이스타디우,iseutadiu
olímpico,올림피쿠,olrimpiku
nilton,니우통,niutong
pampa,팜파스,pampaseu
anápolis,아나폴리스,anapolriseu
ciclone,사이클론,saikeulron
guarulhos,구아룰류스,guarulryuseu
cruzeiro,크루제이루,keurujeiru
esporte,이스포르치,iseuporeuci
clube,클루비,keulrubi
cone,코노,kono
sul,술,sul
sepultura,세풀투라,sepultura
olinda,올린다,olrinda
cristo,구세주,guseju
redentor,그리스도상,geuriseudosang
petrópolis,페트로폴리스,peteuropolriseu
sorocaba,소로카바,sorokaba
bauru,바우루,bauru
e,이,i
martim,바스,baseu
vaz,군도,gundo
blumenau,블루메나우,beulrumenau
operação,콘도르,kondoreu
condor,작전,jagjeon
liberdade,리베르다지,ribereudaji
uberlândia,우베를란지아,ubereulranjia
capoeira,카포에이라,kapoeira
canoas,카노아스,kanoaseu
joinville,조인빌리,joinbilri
londrina,론드리나,rondeurina
diamantina,지아만치나,jiamancina
catalão,카탈랑,katalrang
pantanal,판타나우,pantanau
itumbiara,이툼비아라,itumbiara
goiânia,고이아니아,goiania
teresina,테레지나,terejina
guarapari,구아라파리,guarapari
arara,아라라,arara
maceió,마세이오,maseio
edifício,아우치누,aucinu
altino,아란치스,aranciseu
arantes,빌딩,bilding
taubaté,타우바테,taubate
corumbá,코룸바,korumba
chimarrão,마테,mate
copacabana,코파카바나,kopakabana
copan,코판,kopan
contagem,콘타젱,kontajeng
itália,빌딩,bilding
cuiabá,쿠이아바,kuiaba
associação,아소시아상,asosiasang
portuguesa,포르투게자,poreutugeja
desportos,데스포르투스,deseuporeutuseu
guarujá,구아루자,guaruja
rodovia,팬아메리칸,paenamerikan
panamericana,하이웨이,haiwei
congonhas,콩고냐스,konggonyaseu
jundiaí,준지아이,junjiai
adidas,아디다스,adidaseu
brazuca,브라주카,beurajuka
rock,락,rag
in,인,in
camaçari,카마사리,kamasari
instituto,히우,hiu
branco,외교원,oegyoweon
manaus,마나우스,manauseu
resende,헤젠지,hejenji
arena,아레나,arena
paulínia,파울리니아,paulrinia
rei,레이,rei
momo,모모,momo
avenida,파울리스타,paulriseuta
mirante,미란치,miranci
vale,발리,balri
vogue,보그,bogeu
taurus,타우루스,tauruseu
armas,인터내셔널,inteonaesyeoneol
democratas,민주당,minjudang
ipatinga,이파칭가,ipacingga
colombo,콜롬부,kolrombu
lusofonia,포르투갈어권,poreutugaleogweon
itaú,이타우,itau
unibanco,우니방코,unibangko
centro,센트루,senteuru
sportivo,스포르치부,seuporeucibu
alagoano,알라고아누,alragoanu
piracicaba,피라시카바,pirasikaba
os,오스,oseu
mutantes,무탄치스,mutanciseu
panambi,파남비,panambi
santarém,산타렝,santareng
das,다스,daseu
dunas,두나스,dunaseu
klabin,클라빈,keulrabin
ilhéus,일례우스,ilryeuseu
cotia,코치아,kocia
oi,오이,oi
ponte,리우니테로이,riuniteroi
rioniterói,교,gyo
itaúsa,이타우사,itausa
itapetininga,이타페치닝가,itapeciningga
votorantim,보토란칭,botorancing
jaguarão,자구아랑,jaguarang
hospital,알베르트,albereuteu
israelita,아인슈타인,ainsyutain
einstein,병원,byeongweon
atibaia,아치바이아,acibaia
acãs,아칸족,akanjog
goiás,고이아스,goiaseu
mirandópolis,미란도폴리스,mirandopolriseu
jandira,잔지라,janjira
mossoró,모소로,mosoro
itabuna,이타부나,itabuna
americana,아메리카나,amerikana
ipanema,이파네마,ipanema
marginal,마르지나우,mareujinau
tietê,티에치,tieci
ananindeua,아나닌데우아,ananindeua
itu,이투,itu
viamão,비아망,biamang
progressistas,진보당,jinbodang
timóteo,치모테우,cimoteu
paranaguá,파라나구아,paranagua
franca,프랑카,peurangka
corcovado,코르코바두,koreukobadu
marabá,마라바,maraba
betim,베칭,becing
suzano,수자누,sujanu
hispanofonia,스페인어권,seupeineogweon
o,우,u
globo,글로부,geulrobu
ciclo,아마존,amajon
borracha,붐,bum
nilópolis,닐로폴리스,nilropolriseu
eldorado,엘도라도,eldorado
business,비즈니스,bijeuniseu
tower,타워,taweo
guajarámirim,구아자라미링,guajaramiring
lins,링스,ringseu
tacacá,타카카,takaka
bolsa,보우사,bousa
família,파밀리아,pamilria
fome,포미,pomi
zero,제루,jeru
mangaratiba,망가라치바,manggaraciba
avianca,아비앙카,abiangka
viçosa,비소자,bisoja
bandeirantes,반데이란치,bandeiranci
barbacena,바르바세나,bareubasena
bradesco,브라데스쿠,beuradeseuku
fundão,푼당,pundang
chapecó,샤페코,syapeko
cubatão,쿠바탕,kubatang
tepui,테푸이,tepui
bola,볼라,bolra
ouro,오우루,ouru
formosa,포르모자,poreumoja
paraná,파라나,parana
balneário,발네아리오,balneario
camboriú,캄보류,kamboryu
prêmio,프레미우,peuremiu
craque,크라키,keuraki
brasileirão,브라질레이랑,beurajilreirang
valença,발렌사,balrensa
caso,이자벨라,ijabelra
nardoni,사건,sageon
serrinha,세리냐,serinya
mapinguari,마핑과리,mapinggwari
vespasiano,베스파지아누,beseupajianu
estrada,이스트라다,iseuteurada
real,헤아우,heau
regatas,헤가타스,hegataseu
grupo,그루포,geurupo
campinense,캄피넨시,kampinensi
beirario,베이라히우,beirahiu
teresópolis,테레조폴리스,terejopolriseu
caruaru,카루아루,karuaru
uruguaiana,우루구아이아나,uruguaiana
happy,행복의,haengbogyi
science,과학,gwahag
correntina,코헨치나,kohencina
araraquara,아라라쿠아라,ararakuara
arapiraca,아라피라카,arapiraka
jaguarari,자구아라리,jaguarari
frias,지,ji
tapioca,타피오카,tapioka
jequié,제키에,jekie
brahma,브라흐마,beuraheuma
itapagipe,이타파지피,itapajipi
vídeo,비디오,bidio
brinquedo,브린쿠에도,beurinkuedo
ambev,암베브,ambebeu
pardos,파르두,pareudu
hypera,이페라,ipera
pharma,파르마,pareuma
derby,데르비,dereubi
natura,나투라,natura
audax,아우다스,audaseu
moto,모투,motu
club,클루브,keulrubeu
rede,헤지,heji
upaonaçu,상루이스섬,sangruiseuseom
catupiry,카투피리,katupiri
américa,아메리카,amerika
futebol,푸치보우,pucibou
atlético,아틀레티코,ateulretiko
acreano,아크레아누,akeureanu
rebeldes,헤베우지스,hebeujiseu
brumado,브루마두,beurumadu
chapecoense,샤페코엔시,syapekoensi
remo,헤무,hemu
picos,피쿠스,pikuseu
esportivo,이스포르치부,iseuporeucibu
novorizontino,노보리존치누,noborijoncinu
hailé,다,da
ferroviária,페호비아리아,pehobiaria
esportes,이스포르치스,iseuporeuciseu
londrinense,론드리넨스,rondeurinenseu
allianz,알리안츠,alrianceu
campo,캄푸,kampu
golfe,지,ji
maniçoba,마니소바,manisoba
bife,비프,bipeu
a,아,a
cavalo,카발루,kabalru
bragantino,브라간치누,beuragancinu
pará,파라,para
roma,로마,roma
apucarana,아푸카라나,apukarana
nacional,나시오날,nasional
kleber,클레베르,keulrebereu
juqueí,주케이,jukei
nova,노바,noba
união,우니앙,uniang
recreativa,헤크레아치바,hekeureaciba
trabalhadores,트라발랴도리스,teurabalryadoriseu
lulismo,룰라주의,rulrajuyi
linguiça,링구이사,ringguisa
calabresa,칼라브레자,kalrabeureja
pavê,파베,pabe
pirão,피랑,pirang
caxirola,카시롤라,kasirolra
belém,벨렝,belreng
una,우나,una
extinction,멸종에의,myeoljongeyi
rebellion,반란,banran
cuca,쿠카,kuka
francesinha,프란세지냐,peuransejinya
porto,포르투,poreutu
euro,유로,yuro
funchal,푼샬,punsyal
euronext,유로넥스트,yuronegseuteu
matosinhos,마토지뉴스,matojinyuseu
estradas,유럽,yureob
europeias,고속도로,gosogdoro
macaronésia,마카로네시아,makaronesia
municipal,무니시팔,munisipal
covilhã,코빌량,kobilryang
ilhas,셀바젱스,selbajengseu
selvagens,제도,jedo
taça,타사,tasa
desertas,제도,jedo
viseu,비제우,bijeu
aeroporto,프란시스쿠,peuransiseuku
carneiro,카르네이루,kareuneiru
portimão,포르티망,poreutimang
alandalus,알안달루스,alandalruseu
sacavém,사카벵,sakabeng
vinhais,비냐이스,binyaiseu
corvo,코르부섬,koreubuseom
arouca,아로카,aroka
armada,드레이크노리스,deureikeunoriseu
inglesa,원정,weonjeong
liga,리가,riga
pombal,폼발,pombal
esposende,이스포젠드,iseupojendeu
vizela,비젤라,bijelra
aveiro,아베이루,abeiru
cuba,쿠바,kuba
loures,로르스,roreuseu
benavente,베나벤트,benabenteu
armamar,아르마마르,areumamareu
nordeste,노르데스트,noreudeseuteu
lagoa,라고아,ragoa
sátão,사탕,satang
povoação,포보아상,poboasang
ansião,안시앙,ansiang
oeiras,오에이라스,oeiraseu
salpicão,살피캉,salpikang
faro,파루,paru
penafiel,페나피엘,penapiel
gondomar,곤도마르,gondomareu
loulé,롤레,rolre
alenquer,알렝케르,alrengkereu
tábua,타부아,tabua
trofa,트로파,teuropa
cidade,시다드,sidadeu
vinho,비뉴,binyu
verde,베르드,bereudeu
alfama,알파마,alpama
alcanena,알카네나,alkanena
mafra,마프라,mapeura
portel,포르텔,poreutel
graciosa,그라시오자섬,geurasiojaseom
redondo,헤돈두,hedondu
setúbal,세투발,setubal
supertaça,수페르타사,supereutasa
hino,아소르스,asoreuseu
açores,국가,gugga
mora,모라,mora
alcochete,알코셰트,alkosyeteu
madalena,마달레나,madalrena
colonial,식민지,sigminji
sesimbra,세짐브라,sejimbeura
hispânia,히스파니아,hiseupania
sintra,신트라,sinteura
amadora,아마도라,amadora
white,화이트,hwaiteu
airways,항공,hanggong
velas,벨라스,belraseu
fátima,파티마,patima
portalegre,포르탈레그르,poreutalregeureu
estoril,이스토릴,iseutoril
sertã,세르탕,sereutang
estremoz,이스트레모스,iseuteuremoseu
paredes,파레드스,paredeuseu
deolinda,데올린다,deolrinda
nisa,니자,nija
desaparecimento,매들린,maedeulrin
madeleine,실종,siljong
mccann,사건,sageon
calheta,칼례타,kalryeta
algarve,알가르브,algareubeu
império,포르투갈,poreutugal
português,제국,jegug
merino,메리노,merino
alcobaça,알코바사,alkobasa
torre,바스쿠,baseuku
vasco,다,da
falcoaria,매사냥,maesanyang
fantasporto,판타스포르투,pantaseuporeutu
jogos,루소포니아,rusoponia
barcelos,바르셀루스,bareuselruseu
beja,베자,beja
nelas,넬라스,nelraseu
barreiro,바헤이루,baheiru
alfa,알파,alpa
pendular,펜둘라르,pendulrareu
machico,마시쿠,masiku
alandroal,알란드로알,alrandeuroal
elvas,엘바스,elbaseu
lagos,라구스,raguseu
águeda,아게다,ageda
olhão,올량,olryang
silves,실베스,silbeseu
doula,둘라,dulra
cascais,카스카이스,kaseukaiseu
guarda,구아르다,guareuda
óbidos,오비두스,obiduseu
valpaços,발파수스,balpasuseu
alvalade,알발라드,albalradeu
ílhavo,일랴부,ilryabu
caldo,칼두,kaldu
abrantes,아브란트스,abeuranteuseu
almada,알마다,almada
província,프로빈시아,peurobinsia
ultramarina,우트라마리누,uteuramarinu
camões,문화원,munhwaweon
hanno,한노,hanno
avis,아비스,abiseu
tavira,타비라,tabira
sines,시네스,sineseu
albufeira,알부페이라,albupeira
novo,노부,nobu
cinema,시네마,sinema
tondela,톤델라,tondelra
anadia,아나디아,anadia
arganil,아르가닐,areuganil
cantanhede,칸타녜드,kantanyedeu
lusotropicalismo,루소트로피칼리즘,rusoteuropikalrijeum
escudo,포르투갈,poreutugal
nazaré,나자레,najare
colégio,포르투갈,poreutugal
militar,육군군사참모대학교,yuggungunsacammodaehaggyo
iii,테르세이라,tereuseira
divisão,디비장,dibijang
cimeiras,이베리아,iberia
ibéricas,정상회담,jeongsanghoedam
museu,포르투갈,poreutugal
ferroviário,철도박물관,ceoldobagmulgwan
azores,아조레스,ajoreseu
airlines,항공,hanggong
academia,포르투갈,poreutugal
espinho,이스피뉴,iseupinyu
bacalhau,바칼랴우,bakalryau
freitas,프레이타스,peureitaseu
erwin,에르빈,ereubin
kräutler,크로이틀러,keuroiteulreo
lúcio,루시우,rusiu
nádson,나드송,nadeusong
adilson,아디우송,adiusong
cesar,세자르,sejareu
kochweser,코흐베저,koheubejeo
bamba,밤바,bamba
monica,모니카,monika
iozzi,이오지,ioji
aoás,아오아스,aoaseu
liédson,리에드송,riedeusong
leite,레이치,reici
ribas,히바스,hibaseu
scolari,스콜라리,seukolrari
teliana,텔리아나,telriana
evair,이바이르,ibaireu
aparecido,아파레시두,aparesidu
paulino,파울리누,paulrinu
calcanhotto,카우카뇨투,kaukanyotu
aron,아롱,arong
simis,시미스,simiseu
timberg,팀버그,timbeogeu
glauber,글라우베르,geulraubereu
marisa,마리자,marija
monte,몬치,monci
collor,콜로르,kolroreu
deus,지우스,jiuseu
rincón,힝콩,hingkong
marta,마르타,mareuta
norberto,노르베르투,noreubereutu
murara,무라라,murara
thomas,토마스,tomaseu
behrend,베렌트,berenteu
jobim,조빙,jobing
fabricio,팹,paeb
bethânia,베타니아,betania
orani,오라니,orani
tempesta,템페스타,tempeseuta
juary,주아리,juari
lafer,라페르,rapereu
itaperuna,이타페루나,itaperuna
tenório,테노리우,tenoriu
aliste,알리스치,alriseuci
roditi,호지치,hojici
clodovis,클로도비스,keulrodobiseu
siqueira,시케이라,sikeira
guido,기두,gidu
alceu,아우세우,auseu
camille,카미유,kamiyu
eumir,이우미르,iumireu
deodato,데오다투,deodatu
eller,일레르,ilrereu
hummes,우메스,umeseu
margareth,마르가레트,mareugareteu
édson,에드송,edeusong
edmundo,에지문도,ejimundo
sussumu,수쑤무,sussumu
fujita,후지타,hujita
vik,빅,big
muniz,뮤니즈,myunijeu
emicida,이미시다,imisida
cançado,칸사두,kansadu
eurico,이우리쿠,iuriku
dutra,두트라,duteura
wenceslau,웬세즐라우,wensejeulrau
fratus,프라투스,peuratuseu
nachtergaele,나츠테르가엘,naceutereugael
max,맥스,maegseu
cavalera,카발레라,kabalrera
francinilson,프랜시닐손,peuraensinilson
prado,프라도,peurado
guiaro,기아루,giaru
leovegildo,레오베지우두,reobejiudu
izídio,지지디우,jijidiu
zagallo,자갈루,jagalru
casagrande,카사그랜드,kasageuraendeu
clezar,클레자르,keulrejareu
germano,제르마누,jereumanu
sette,세치,seci
mecking,메킹,meking
maíra,마이라,maira
moedim,무에딤,muedim
rafinha,하피냐,hapinya
linhares,리냐리스,rinyariseu
leonel,레오네우,reoneu
brizola,브리졸라,beurijolra
nereu,네레우,nereu
arnaldo,아르나우두,areunaudu
cezar,세자르,sejareu
semler,세믈러,semeulreo
kasmirski,카즈미르스키,kajeumireuseuki
autuori,아우투오리,autuori
konder,콘데르,kondereu
lacerda,라세르다,rasereuda
lenine,레니니,renini
ávila,아빌라,abilra
hélton,에우통,eutong
davi,다비,dabi
huertas,우에르타스,uereutaseu
jádson,자드송,jadeusong
brait,브라이트,beuraiteu
gonzalo,곤살로,gonsalro
sorondo,소론도,sorondo
alecsandro,알렉산드루,alregsandeuru
moreno,모레노,moreno
palmeira,파우메이라,paumeira
negueba,네게바,negeba
serginho,세르지뉴,sereujinyu
chulapa,슐라파,syulrapa
nívea,니베아,nibea
albuquerque,아우부케르키,aubukereuki
osmar,오즈마르,ojeumareu
rosinei,호지네이,hojinei
adolfo,아도우푸,adoupu
gonzaguinha,곤자기냐,gonjaginya
cavalcante,카바우칸치,kabaukanci
geremias,제레미아스,jeremiaseu
magda,마그다,mageuda
tagliaferro,탈리아페후,talriapehu
lêdo,레두,redu
sthefany,스테파니,seutepani
alcione,아우시오니,ausioni
adriane,아드리안,adeurian
galisteu,갈리스테우,galriseuteu
lincoln,린코웅,rinkoung
abdias,아브지아스,abeujiaseu
zen,진,jin
baiano,바이아누,baianu
blairo,블라이루,beulrairu
dondé,돈데,donde
edenilson,이데니우송,ideniusong
bardini,바르지니,bareujini
bressan,브레상,beuresang
netinho,네치뉴,necinyu
cintia,신티아,sintia
dicker,작은거래,jageungeorae
miúcha,미우샤,miusya
baltazar,바우타사르,bautasareu
requião,헤키앙,hekiang
richarlyson,히샤를리송,hisyareulrisong
wanderlei,반데를레이,bandereulrei
marshall,마셜,masyeol
brickman,브리크먼,beurikeumeon
montezine,몬테지니,montejini
gleisi,글레이지,geulreiji
hoffmann,오프망,opeumang
abdenur,아브데누르,abeudenureu
cleber,클레베르,keulrebereu
sonda,손다,sonda
gadú,가두,gadu
aécio,아에시우,aesiu
guinga,깅가,gingga
cortes,코르치스,koreuciseu
gilson,질송,jilsong
negão,네그랑,negeurang
valentim,발렌칭,balrencing
djavan,자방,jabang
baleiro,발레이루,balreiru
beto,베투,betu
richa,히샤,hisya
nara,나라,nara
dudu,두두,dudu
cearense,체아렌세,cearense
ísis,이지스,ijiseu
chiquinha,시키냐,sikinya
argélico,아르제우,areujeu
euclides,유클리드,yukeulrideu
clemerson,클레메르송,keulremereusong
castroneves,카스트루네베스,kaseuteurunebeseu
amora,아모라,amora
mautner,마우트네르,mauteunereu
eddy,에디,edi
gordo,골드,goldeu
blanka,블랑카,beulrangka
cleo,클레우,keulreu
clodoaldo,클로도아우두,keulrodoaudu
danielle,다니엘리,danielri
winits,위니츠,winiceu
anysio,아니지우,anijiu
honório,오노리우,onoriu
elon,일롱,ilrong
lages,라지스,rajiseu
leivinha,레이비냐,reibinya
tássio,타시우,tasiu
alexandro,알레산드루,alresandeuru
hericles,마리아,maria
wando,완두,wandu
ronieli,호니엘리,honielri
jacob,자코브,jakobeu
palis,팔리스,palriseu
olivio,올리비우,olribiu
caíque,카이키,kaiki
espinosa,이스피노자,iseupinoja
mika,소메야,someya
someya,미카,mika
reynaldo,헤이나우두,heinaudu
gianecchini,지아네시니,jianesini
avelar,아벨라르,abelrareu
reges,헤제스,hejeseu
daniele,다니엘리,danielri
nicolelis,니코렐리스,nikorelriseu
totia,토치아,tocia
julia,줄리아,julria
bacha,바챠,bacya
leme,레미,remi
patrícia,파트리시아,pateurisia
levir,레비르,rebireu
culpi,쿠우피,kuupi
roriz,호리스,horiseu
serrão,세항,sehang
elizabeth,일리자베트,ilrijabeteu
savalla,사발라,sabalra
lori,로리,rori
sandri,산드리,sandeuri
péricles,페리클리스,perikeulriseu
chamusca,샤무스카,syamuseuka
raymundo,하이문두,haimundu
damasceno,다마세누,damasenu
rangel,한제우,hanjeu
alessandro,알레산드루,alresandeuru
zezé,제제,jeje
polessa,폴레사,polresa
dominguinhos,도밍기뉴스,domingginyuseu
vianna,비아나,biana
barboza,바르보자,bareuboja
terra,테하,teha
lya,랴,rya
luft,루프트,rupeuteu
thaila,타일라,tailra
ayala,아얄라,ayalra
héctor,헥터,hegteo
babenco,바벤코,babenko
laurentino,라우렌치누,raurencinu
daúde,다우지,dauji
alexandré,알렉산드레,alregsandeure
refosco,헤포스쿠,heposeuku
barrows,배로스,baeroseu
malvino,마우비누,maubinu
philipe,펠리피,pelripi
valmir,바우미르,baumireu
louruz,로루스,roruseu
puccinelli,푸치넬리,pucinelri
eraldo,이라우두,iraudu
anício,아니시우,anisiu
kempes,켐페스,kempeseu
pepeu,페페우,pepeu
adão,아당,adang
babi,바비,babi
fágner,파그네르,pageunereu
bemvindo,벰빈두,bembindu
sequeira,세케이라,sekeira
thomás,토마스,tomaseu
bedinelli,베디넬리,bedinelri
sílvio,시우비우,siubiu
borba,보르바,boreuba
micheline,미셸리니,misyelrini
bill,빌,bil
hudson,허드슨,heodeuseun
monique,모니키,moniki
alfradique,아우프라지키,aupeurajiki
linzmeyer,린즈메예르,rinjeumeyereu
