hebe,ɛbɛ
moacir,mowɐziɾ
hércules,eɾkulɛʃ
paquetá,pɐkʷɛta
kac,kɐk
vanzolini,vɐnzolini
lanes,lɐnɛʃ
ohtake,otɐkɛ
tulio,tulio
sussumu,suʃsumu
fujita,fuʒitɐ
eva,ɛvɐ
wilma,wilmɐ
escorel,ɛʃkoɾɛl
gesiel,ʒɛziɛl
lea,lɛɐ
t,t
edino,ɛdino
ary,ɐɾj
ávila,avilɐ
adalto,ɐdɐlto
vik,vik
muniz,muniʒ
rinaldo,ʁinɐldo
atala,ɐtɐlɐ
sóbis,sɔbiʃ
moscovis,moʃkoviʃ
arado,ɐɾɐdo
adhemar,ɐdɛmɐɾ
iriney,iɾinɛj
kasmirski,kɐʃmiɾski
efromovich,ɛfʁomovik
nagamura,nɐɡɐmuɾɐ
waldo,wɐldo
lenine,lɛninɛ
science,siɛnsɛ
nang,nɐnɡ
arrascaneta,ɐʁɐʃkɐnɛtɐ
cajueiro,kɐʒuɛjɾo
pagliarini,pɐɡliɐɾini
jadel,ʒɐdɛl
wright,wɾiɡt
boratto,boɾɐtto
aluísio,ɐluj́zio
galatto,ɡɐlɐtto
mert,mɛɾt
vilmar,vilmɐɾ
carlinhos,kɐɾlinoʃ
luíz,luj́ʒ
floris,floɾiʃ
takens,tɐkɛnʃ
zezé,zɛze
kassab,kɐʃsɐb
mattar,mɐttɐɾ
hélton,eltõ
arruda,ɐʁudɐ
mesquita,mɛʃkʷitɐ
servílio,sɛɾvilio
aurora,awɾoɾɐ
nílson,nilsõ
esídio,ɛzidio
mora,moɾɐ
padrão,pɐdʁɐ̃w̃
samuel,sɐmuɛl
surfistinha,suɾfiʃtinɐ
prestes,pɾɛʃtɛʃ
joseph,ʒozɛp
safra,sɐfʁɐ
cazuza,kɐzuzɐ
levy,lɛvj
sunye,sunjɛ
marílson,mɐɾilsõ
leminski,lɛminski
rené,ʁɛne
packer,pɐkkɛɾ
edimo,ɛdimo
quércia,kʷeɾsiɐ
guido,ɡʷido
mantega,mɐntɛɡɐ
mônica,monikɐ
polo,polo
nero,nɛɾo
marcolino,mɐɾkolino
candau,kɐndaw
sidnei,sidnɛj
rechel,ʁɛkɛl
tomé,tome
drummond,dɾummond
louzada,lowuzɐdɐ
erdos,ɛɾdoʃ
rebecca,ʁɛbɛkkɐ
bernstein,bɛɾnstɛj̃
ney,nɛj
matogrosso,mɐtoɡʁoʃso
cuca,kukɐ
osmar,oʃmɐɾ
donizete,donizɛtɛ
ciro,siɾo
ceccon,sɛkkõ
eugen,ewʒɛ̃
szenkar,szɛnkɐɾ
karim,kɐɾĩ
aïnouz,aj̈nowuʒ
brennand,bɾɛnnɐnd
ferretti,fɛʁɛtti
denis,dɛniʃ
affonso,ɐffonso
beato,bɛɐto
morelli,moɾɛlli
francielle,fɾɐnsiɛllɛ
martinho,mɐɾtino
jaques,ʒɐkʷɛʃ
morelenbaum,moɾɛlɛnbaw̃
adílson,ɐdilsõ
warken,wɐɾkɛ̃
mojica,moʒikɐ
marins,mɐɾinʃ
mena,mɛnɐ
scherer,skɛɾɛɾ
arílson,ɐɾilsõ
eugénio,ewʒenio
tom,tõ
gonzaguinha,ɡonzɐɡʷinɐ
amarildo,ɐmɐɾildo
aggro,ɐɡɡɾo
nepomuceno,nɛpomuzɛno
herbert,ɛɾbɛɾt
richers,ʁikɛɾʃ
silvio,silvio
salgueiro,sɐlɡʷɛjɾo
streit,stɾɛjt
rojas,ʁoʒɐʃ
hermoza,ɛɾmozɐ
aymoré,ɐjmoɾe
walewska,wɐlɛwskɐ
luigi,lujʒi
ohana,oɐnɐ
magno,mɐɡno
mocelin,mozɛlĩ
adurens,ɐduɾɛnʃ
boal,bowɐl
elza,ɛlzɐ
fortuna,foɾtunɐ
angela,ɐnʒɛlɐ
park,pɐɾk
blat,blɐt
markus,mɐɾkuʃ
cássia,kaʃsiɐ
kis,kiʃ
morales,moɾɐlɛʃ
maysa,mɐjzɐ
gláucio,ɡlawzio
darcy,dɐɾsj
nildo,nildo
szidon,szidõ
helô,ɛlo
jenílson,ʒɛnilsõ
ná,na
ozzetti,oʒzɛtti
alcione,ɐlsionɛ
tarciso,tɐɾsizo
harison,ɐɾizõ
warwick,wɐɾwikk
estevam,ɛʃtɛvɐ̃
kerr,kɛʁ
claiton,klajtõ
fontoura,fontowuɾɐ
francismar,fɾɐnsiʃmɐɾ
valdeci,vɐldɛzi
basílio,bɐzilio
ivanildo,ivɐnildo
aldyr,ɐldjɾ
schlee,sklɛɛ
bacinello,bɐzinɛllo
rinaldi,ʁinɐldi
rogerio,ʁoʒɛɾio
calijuri,kɐliʒuɾi
govinho,ɡovino
jonílson,ʒonilsõ
clovis,kloviʃ
breves,bɾɛvɛʃ
denni,dɛnni
luciana,luziɐnɐ
gimenez,ʒimɛnɛʒ
cintia,sintiɐ
dicker,dikkɛɾ
tardelli,tɐɾdɛlli
miúcha,miẃkɐ
jonatas,ʒonɐtɐʃ
custódio,kuʃtɔdio
feola,fɛolɐ
arão,ɐɾɐ̃w̃
warley,wɐɾlɛj
shelda,sɛldɐ
bede,bɛdɛ
gonzález,ɡonzalɛʒ
hermito,ɛɾmito
zampier,zɐmpiɛɾ
vissotto,viʃsotto
santin,sɐntĩ
benes,bɛnɛʃ
haroldo,ɐɾoldo
luka,lukɐ
zanella,zɐnɛllɐ
resende,ʁɛzɛndɛ
kieza,kiɛzɐ
baltazar,bɐltɐzɐɾ
breno,bɾɛno
talita,tɐlitɐ
bobô,bobo
bumbel,bumbɛl
bengell,bɛnʒɛll
theotonio,tɛotonio
fagner,fɐɡnɛɾ
conserva,konsɛɾvɐ
modesto,modɛʃto
bonfá,bonfa
nilze,nilzɛ
montezine,montɛzinɛ
mozer,mozɛɾ
falco,fɐlko
gleisi,ɡlɛjzi
jacqueline,ʒɐkkʷɛlinɛ
esperidião,ɛʃpɛɾidiɐ̃w̃
amin,ɐmĩ
serejo,sɛɾɛʒo
valdo,vɐldo
mozart,mozɐɾt
natailton,nɐtajltõ
marshall,mɐɾsɐll
brickman,bɾikkmɐ̃
villar,villɐɾ
alcides,ɐlsidɛʃ
iarley,iɐɾlɛj
gadú,ɡɐdu
cristiana,kɾiʃtiɐnɐ
reali,ʁɛɐli
pitty,pittj
corveloni,koɾvɛloni
dagoberto,dɐɡobɛɾto
pelentier,pɛlɛntiɛɾ
dercy,dɛɾsj
rosângela,ʁozanʒɛlɐ
bertagnoli,bɛɾtɐɡnoli
edimar,ɛdimɐɾ
erasmo,ɛɾɐʃmo
willians,williɐnʃ
cairo,kajɾo
isabel,izɐbɛl
klebber,klɛbbɛɾ
toledo,tolɛdo
mercury,mɛɾkuɾj
pontello,pontɛllo
afrânio,ɐfʁanio
bardini,bɐɾdini
bressan,bɾɛʃsɐ̃
alceu,ɐlsew
simoni,simoni
priscila,pɾiʃsilɐ
jaílson,ʒaj́lsõ
negrini,nɛɡʁini
ankito,ɐnkito
cascudo,kɐʃkudo
pêra,peɾɐ
benício,bɛnizio
fagundes,fɐɡndɛʃ
vergilio,vɛɾʒilio
maría,mɐɾiɐ
alvear,ɐlvɛɐɾ
tarsila,tɐɾsilɐ
vertello,vɛɾtɛllo
euclides,ewklidɛʃ
gilda,ʒildɐ
rubem,ʁubɛ̃
danrlei,dɐnʁlɛj
deus,dewʃ
hinterholz,intɛɾolʒ
válter,valtɛɾ
netinho,nɛtino
sacco,sɐkko
quintanilha,kʷintɐnilɐ
válber,valbɛɾ
roel,ʁowɛl
rossato,ʁoʃsɐto
damares,dɐmɐɾɛʃ
gottardo,ɡottɐɾdo
valberto,vɐlbɛɾto
gualter,ɡɐltɛɾ
diegues,diɛɡʷɛʃ
rondon,ʁondõ
simplício,simplizio
charlie,kɐɾliɛ
byrd,bjɾd
ramez,ʁɐmɛʒ
tebet,tɛbɛt
avelar,ɐvɛlɐɾ
palis,pɐliʃ
fogo,foɡo
ariel,ɐɾiɛl
reges,ʁɛʒɛʃ
valdenir,vɐldɛniɾ
vitalino,vitɐlino
demoliner,dɛmolinɛɾ
saretta,sɐɾɛttɐ
apolônio,ɐpolonio
takai,tɐkaj
nana,nɐnɐ
olivio,olivio
renaldo,ʁɛnɐldo
caíque,kaj́kʷɛ
aécio,ɐezio
fidélis,fideliʃ
segall,sɛɡɐll
eller,ɛllɛɾ
daniele,dɐniɛlɛ
alba,ɐlbɐ
zaluar,zɐluɐɾ
clodoaldo,klodowɐldo
ronieli,ʁoniɛli
lewgoy,lɛwɡowj
mansur,mɐnsuɾ
nicolelis,nikolɛliʃ
cerutti,sɛɾutti
benjamin,bɛnʒɐmĩ
insfran,insfɾɐ̃
banana,bɐnɐnɐ
leme,lɛmɛ
bassini,bɐʃsini
wélton,weltõ
letícia,lɛtiziɐ
julião,ʒuliɐ̃w̃
ísis,iziʃ
valverde,vɐlvɛɾdɛ
mayana,mɐjɐnɐ
zatz,zɐtʒ
negrão,nɛɡʁɐ̃w̃
fantin,fɐntĩ
claudia,klawdiɐ
leitte,lɛjttɛ
arduíno,ɐɾduj́no
colassanti,kolɐʃsɐnti
selton,sɛltõ
alonso,ɐlonso
pérez,peɾɛʒ
macia,mɐziɐ
domitília,domitiliɐ
venâncio,vɛnansio
dumas,dumɐʃ
loalwa,lowɐlwɐ
danny,dɐnnj
baidek,bajdɛk
bizu,bizu
aryon,ɐɾjõ
fatima,fɐtimɐ
sylvia,sjlviɐ
dick,dikk
farney,fɐɾnɛj
heberty,ɛbɛɾtj
cassius,kɐʃsiwʃ
duran,duɾɐ̃
suzana,suzɐnɐ
julia,ʒuliɐ
bacha,bɐkɐ
cauê,kawe
cecilio,sɛzilio
herval,ɛɾvɐl
khouri,kowuɾi
beto,bɛto
edimílson,ɛdimilsõ
drey,dɾɛj
franciscatti,fɾɐnsiʃkɐtti
valadão,vɐlɐdɐ̃w̃
roseli,ʁozɛli
ramon,ʁɐmõ
lopez,lopɛʒ
queirós,kʷɛjɾɔʃ
mel,mɛl
botelho,botɛlo
léa,leɐ
eliomar,ɛliomɐɾ
vander,vɐndɛɾ
groisman,ɡɾowiʃmɐ̃
duília,duj́liɐ
elsie,ɛlsiɛ
houston,owuʃtõ
rosana,ʁozɐnɐ
formigoni,foɾmiɡoni
egídio,ɛʒidio
edílson,ɛdilsõ
bráulio,bɾawlio
mantovani,mɐntovɐni
feghali,fɛɡɐli
thaila,tajlɐ
ayala,ɐjɐlɐ
sivuca,sivukɐ
maluf,mɐluf
ceschiatti,sɛʃkiɐtti
flávia,flaviɐ
gildeixon,ʒildɛjksõ
clemente,klɛmɛntɛ
natanael,nɐtɐnɐɛl
carina,kɐɾinɐ
gélson,ʒelsõ
baresi,bɐɾɛzi
labatut,lɐbɐtut
pape,pɐpɛ
estela,ɛʃtɛlɐ
lya,ljɐ
luft,luft
elisbão,ɛliʃbɐ̃w̃
alf,ɐlf
dhalia,dɐliɐ
heraldo,ɛɾɐldo
romano,ʁomɐno
sant'anna,sɐntʼɐnnɐ
eydison,ɛjdizõ
teofilo,tɛofilo
karla,kɐɾlɐ
flor,floɾ
grazi,ɡɾɐzi
massafera,mɐʃsɐfɛɾɐ
dylon,djlõ
maitê,majte
paolla,pɐollɐ
hudson,udsõ
nabuco,nɐbuko
akihiro,ɐkiiɾo
texeira,tɛksɛjɾɐ
januário,ʒɐnuaɾio
ledo,lɛdo
cassio,kɐʃsio
werneck,wɛɾnɛkk
zito,zito
araujo,ɐɾawʒo
merquior,mɛɾkʷioɾ
aldir,ɐldiɾ
blanc,blɐnk
folgosi,folɡozi
lindell,lindɛll
paloma,pɐlomɐ
martin,mɐɾtĩ
mutante,mutɐntɛ
franciela,fɾɐnsiɛlɐ
krasucki,kɾɐzukki
cilinho,silino
slon,slõ
lago,lɐɡo
zeferino,zɛfɛɾino
joênia,ʒoweniɐ
wapichana,wɐpikɐnɐ
leon,lɛõ
hirszman,iɾsʒmɐ̃
chiaretti,kiɐɾɛtti
cossenzo,koʃsɛnzo
criolo,kɾiolo
aline,ɐlinɛ
pellegrino,pɛllɛɡʁino
guineto,ɡʷinɛto
massaranduba,mɐʃsɐɾɐndubɐ
alexandré,ɐlɛksɐndɾe
fabíula,fɐbiulɐ
poggi,poɡʒi
villela,villɛlɐ
weber,wɛbɛɾ
bertante,bɛɾtɐntɛ
pretti,pɾɛtti
evaldo,ɛvɐldo
nicola,nikolɐ
siri,siɾi
mautner,mawtnɛɾ
rey,ʁɛj
elison,ɛlizõ
geovane,ʒɛovɐnɛ
nathan,nɐtɐ̃
otacílio,otɐzilio
vladimir,vlɐdimiɾ
caldato,kɐldɐto
jr,ʒɾ
thereza,tɛɾɛzɐ
geronimo,ʒɛɾonimo
ananias,ɐnɐniɐʃ
elói,ɛlõj̃
sarafian,sɐɾɐfiɐ̃
acácio,ɐkazio
andressa,ɐndɾɛʃsɐ
novais,novajʃ
neitzke,nɛjtʒkɛ
andrucha,ɐndɾukɐ
waddington,wɐddinɡtõ
dida,didɐ
kleina,klɛjnɐ
danton,dɐntõ
giselli,ʒizɛlli
edinaldo,ɛdinɐldo
kempes,kɛmpɛʃ
kleber,klɛbɛɾ
romero,ʁomɛɾo
zarif,zɐɾif
refosco,ʁɛfoʃko
lenny,lɛnnj
mattheus,mɐttewʃ
antoninho,ɐntonino
gabus,ɡɐbuʃ
vernes,vɛɾnɛʃ
bôscoli,boʃkoli
glauce,ɡlawzɛ
glaydson,ɡlɐjdsõ
fraldinha,fɾɐldinɐ
rosado,ʁozɐdo
josualdo,ʒozuɐldo
fágner,faɡnɛɾ
guto,ɡto
mata,mɐtɐ
erling,ɛɾlinɡ
lorentzen,loɾɛntzɛ̃
clayton,klɐjtõ
luri,luɾi
nilson,nilsõ
hal,ɐl
thirlaway,tiɾlɐwɐj
domício,domizio
dori,doɾi
tales,tɐlɛʃ
tlaija,tlajʒɐ
arancam,ɐɾɐnkɐ̃
nanda,nɐndɐ
sclebin,sklɛbĩ
tato,tɐto
sulzbach,sulʒbɐk
hannette,ɐnnɛttɛ
staack,stɐɐkk
octávio,oktavio
scheinkman,skɛjnkmɐ̃
niege,niɛʒɛ
werley,wɛɾlɛj
dyanfres,djɐnfɾɛʃ
kucinski,kuzinski
boris,boɾiʃ
vassilievich,vɐʃsiliɛvik
skvortsov,skvoɾtsov
zíbia,zibiɐ
gasparetto,ɡɐʃpɐɾɛtto
tombini,tombini
wilde,wildɛ
kátya,katjɐ
chamma,kɐmmɐ
merlino,mɛɾlino
ben,bɛ̃
goertzel,ɡowɛɾtzɛl
betti,bɛtti
kaio,kɐjo
patrícia,pɐtʁiziɐ
medrado,mɛdʁɐdo
joéliton,ʒowelitõ
bianca,biɐnkɐ
bin,bĩ
lais,lajʃ
laudir,lawdiɾ
faustino,fawʃtino
othon,otõ
alexandra,ɐlɛksɐndɾɐ
aikhenvald,ajkɛnvɐld
assumpção,ɐʃsumpsɐ̃w̃
léo,leo
gandelman,ɡɐndɛlmɐ̃
goldman,ɡoldmɐ̃
lidi,lidi
eli,ɛli
eliana,ɛliɐnɐ
pittman,pittmɐ̃
gabrielli,ɡɐbʁiɛlli
elisa,ɛlizɐ
volpatto,volpɐtto
jan,ʒɐ̃
antonín,ɐntonĩ
baťa,bɐťɐ
claudionor,klawdionoɾ
leny,lɛnj
eleílson,ɛlɛj́lsõ
gerchman,ʒɛɾkmɐ̃
liliu,liliw
rosaly,ʁozɐlj
jamelão,ʒɐmɛlɐ̃w̃
emmerson,ɛmmɛɾsõ
odete,odɛtɛ
odilon,odilõ
rossana,ʁoʃsɐnɐ
ghessa,ɡɛʃsɐ
mossa,moʃsɐ
érica,eɾikɐ
awano,ɐwɐno
erik,ɛɾik
lino,lino
facioli,fɐzioli
lisalla,lizɐllɐ
erenice,ɛɾɛnizɛ
lepri,lɛpʁi
pakorn,pɐkoɾ
prempak,pɾɛmpɐk
louis,lowujʃ
chirillo,kiɾillo
theodoro,tɛodoɾo
peckolt,pɛkkolt
foxxx,fokskss
uri,uɾi
tatá,tɐta
stefano,stɛfɐno
cugurra,kuɡʁɐ
drica,dɾikɐ
waldick,wɐldikk
soriano,soɾiɐno
mutarelli,mutɐɾɛlli
jairo,ʒajɾo
blumer,blumɛɾ
katzor,kɐtzoɾ
cantuária,kɐntuaɾiɐ
aleksandar,ɐlɛksɐndɐɾ
mandic,mɐndik
cini,sini
wanderléa,wɐndɛɾleɐ
frossard,fɾoʃsɐɾd
pierre,piɛʁɛ
deodato,dɛodɐto
weverton,wɛvɛɾtõ
yoya,jowjɐ
wursch,wuɾsk
jaílton,ʒaj́ltõ
paiakã,pɐjɐkɐ̃
luke,lukɛ
ross,ʁosʃ
magali,mɐɡɐli
addison,ɐddizõ
arcangelo,ɐɾkɐnʒɛlo
ianelli,iɐnɛlli
joe,ʒowɛ
bennett,bɛnnɛtt
muylaert,mujlɐɛɾt
alexandrino,ɐlɛksɐndɾino
johnath,ʒonɐt
marlone,mɐɾlonɛ
pessalli,pɛʃsɐlli
jordan,ʒoɾdɐ̃
phelipe,pɛlipɛ
phil,pil
preta,pɾɛtɐ
johil,ʒojl
petra,pɛtʁɐ
ralek,ʁɐlɛk
pâmella,pamɛllɐ
lomba,lombɐ
cirino,siɾino
fan,fɐ̃
tas,tɐʃ
alvarez,ɐlvɐɾɛʒ
aloysio,ɐlowjzio
dornelles,doɾnɛllɛʃ
mion,miõ
baffa,bɐffɐ
mizoguchi,mizoɡki
graça,ɡɾɐsɐ
bnegão,bnɛɡɐ̃w̃
viotti,viotti
rheda,ʁɛdɐ
mariene,mɐɾiɛnɛ
marllon,mɐɾllõ
alê,ɐle
lewandowski,lɛwɐndowski
rigan,ʁiɡɐ̃
tabalipa,tɐbɐlipɐ
wéslei,weʃlɛj
campelo,kɐmpɛlo
divila,divilɐ
ricupero,ʁikupɛɾo
milhem,milɛ̃
cortaz,koɾtɐʒ
garolli,ɡɐɾolli
surita,suɾitɐ
valete,vɐlɛtɛ
galo,ɡɐlo
hardy,ɐɾdj
máximo,maksimo
goldschmidt,ɡoldskmidt
amarante,ɐmɐɾɐntɛ
duprat,dupʁɐt
bruce,bɾuzɛ
gomlevsky,ɡomlɛvskj
romulo,ʁomulo
barral,bɐʁɐl
narubodin,nɐɾubodĩ
weerawatnodom,wɛɛɾɐwɐtnodõ
fonteles,fontɛlɛʃ
covas,kovɐʃ
darlan,dɐɾlɐ̃
romani,ʁomɐni
santanna,sɐntɐnnɐ
bivar,bivɐɾ
nildeson,nildɛzõ
cadu,kɐdu
paschoal,pɐʃkowɐl
sheslon,sɛʃlõ
silas,silɐʃ
rondeau,ʁondɛaw
fuente,fuɛntɛ
gullane,ɡllɐnɛ
mossy,moʃsj
spoladore,spolɐdoɾɛ
paz,pɐʒ
tammy,tɐmmj
calafiori,kɐlɐfioɾi
tarsis,tɐɾsiʃ
humphreys,umpɾɛjʃ
thaís,taj́ʃ
ranzolin,ʁɐnzolĩ
catia,kɐtiɐ
acyr,ɐzjɾ
ada,ɐdɐ
chaseliov,kɐzɛliov
acleisson,ɐklɛjʃsõ
scaion,skɐjõ
ticão,tikɐ̃w̃
dado,dɐdo
tizuka,tizukɐ
yamasaki,jɐmɐzɐki
dalva,dɐlvɐ
ubiratan,ubiɾɐtɐ̃
uendel,uɛndɛl
ugo,uɡo
marotta,mɐɾottɐ
aragoney,ɐɾɐɡonɛj
cals,kɐlʃ
ganjaman,ɡɐnʒɐmɐ̃
munduruku,munduɾuku
weksler,wɛkslɛɾ
valesca,vɐlɛʃkɐ
popozuda,popozudɐ
vanusa,vɐnuzɐ
vilson,vilsõ
átila,atilɐ
ravagniani,ʁɐvɐɡniɐni
negrete,nɛɡʁɛtɛ
herzog,ɛɾzoɡ
tinti,tinti
young,jowunɡ
geddel,ʒɛddɛl
anitelli,ɐnitɛlli
edla,ɛdlɐ
steen,stɛɛ̃
castrinho,kɐʃtɾino
celino,sɛlino
cerri,sɛʁi
marchiori,mɐɾkioɾi
lavagnoli,lɐvɐɡnoli
gerardo,ʒɛɾɐɾdo
juraci,ʒuɾɐzi
michaelsen,mikɐɛlsɛ̃
pozzo,poʒzo
eliezer,ɛliɛzɛɾ
engelmann,ɛnʒɛlmɐn
brayner,bɾɐjnɛɾ
shiró,siɾɔ
hylka,jlkɐ
ilka,ilkɐ
dona,donɐ
zica,zikɐ
doratioto,doɾɐtioto
gladson,ɡlɐdsõ
cameli,kɐmɛli
ione,ionɛ
emília,ɛmiliɐ
duvivier,duviviɛɾ
emilio,ɛmilio
huet,uɛt
duca,dukɐ
leindecker,lɛjndɛkkɛɾ
pelizzari,pɛliʒzɐɾi
déa,deɐ
selva,sɛlvɐ
inês,ineʃ
enrico,ɛnʁiko
vio,vio
diá,dia
loup,lowup
schülle,sküllɛ
jakson,ʒɐksõ
follmann,follmɐn
ivana,ivɐnɐ
jinkings,ʒinkinɡʃ
ulhoa,ulowɐ
doo,dowo
jorginho,ʒoɾʒino
joseval,ʒozɛvɐl
palomanes,pɐlomɐnɛʃ
porchat,poɾkɐt
henri,ɛnʁi
pagnoncelli,pɐɡnonsɛlli
jeferson,ʒɛfɛɾsõ
heriberto,ɛɾibɛɾto
migliori,miɡlioɾi
henan,ɛnɐ̃
salimeni,sɐlimɛni
julinho,ʒulino
rildo,ʁildo
felicissimo,fɛliziʃsimo
wu,wu
cazarré,kɐzɐʁe
filgueiras,filɡʷɛjɾɐʃ
altberg,ɐltbɛɾɡ
chachá,kɐka
kate,kɐtɛ
gregori,ɡɾɛɡoɾi
segadas,sɛɡɐdɐʃ
vinhas,vinɐʃ
jovair,ʒovajɾ
arantes,ɐɾɐntɛʃ
laura,lawɾɐ
dória,dɔɾiɐ
laudo,lawdo
natel,nɐtɛl
joffily,ʒoffilj
acaiabe,ɐkɐjɐbɛ
pedroso,pɛdʁozo
mamma,mɐmmɐ
bruschetta,bɾuʃkɛttɐ
marcela,mɐɾsɛlɐ
laíla,laj́lɐ
doria,doɾiɐ
feffer,fɛffɛɾ
leoni,lɛoni
manfredo,mɐnfɾɛdo
pareja,pɐɾɛʒɐ
bufoni,bufoni
vilar,vilɐɾ
fidelix,fidɛlis
lia,liɐ
itamaracá,itɐmɐɾɐka
maiquel,majkʷɛl
itaqui,itɐkʷi
bonequini,bonɛkʷini
lillian,lilliɐ̃
fibe,fibɛ
liliane,liliɐnɛ
maestrini,mɐɛʃtɾini
britto,bɾitto
propício,pɾopizio
mionzinho,mionzino
felizardo,fɛlizɐɾdo
miltinho,miltino
lu,lu
martan,mɐɾtɐ̃
pitombo,pitombo
milionário,milionaɾio
luana,luɐnɐ
tanaka,tɐnɐkɐ
moacyr,mowɐzjɾ
deriquém,dɛɾikʷẽ
miriam,miɾiɐ̃
gardenberg,ɡɐɾdɛnbɛɾɡ
olney,olnɛj
sandroni,sɐndɾoni
older,oldɛɾ
tomaselli,tomɐzɛlli
juca,ʒukɐ
osvaldinho,oʃvɐldino
cuíca,kuj́kɐ
luisa,lujzɐ
fernandez,fɛɾnɐndɛʒ
cazorla,kɐzoɾlɐ
perivaldo,pɛɾivɐldo
peter,pɛtɛɾ
siemsen,siɛmsɛ̃
gonzalez,ɡonzɐlɛʒ
tejera,tɛʒɛɾɐ
lisbôa,liʃboɐ
meola,mɛolɐ
poli,poli
massaini,mɐʃsajni
mary,mɐɾj
sheyla,sɛjlɐ
tarquínio,tɐɾkʷinio
massao,mɐʃsɐo
ohno,ono
nabi,nɐbi
abi,ɐbi
chedid,kɛdid
gushiken,ɡʃikɛ̃
tocci,toksi
pamela,pɐmɛlɐ
nei,nɛj
dejesus,dɛʒɛzuʃ
mazola,mɐzolɐ
maíra,maj́ɾɐ
góes,ɡɔɛʃ
sargento,sɐɾʒɛnto
braun,bɾaw̃
sodré,sodʁe
sabrit,sɐbʁit
latorraca,lɐtoʁɐkɐ
salustti,sɐluʃtti
nicolas,nikolɐʃ
trevijano,tɾɛviʒɐno
suzane,suzɐnɛ
rebeca,ʁɛbɛkɐ
miyake,mijɐkɛ
foiani,fowjɐni
caiado,kɐjɐdo
leitão,lɛjtɐ̃w̃
azambuja,ɐzɐmbuʒɐ
rosane,ʁozɐnɛ
marchetti,mɐɾkɛtti
vainfas,vajnfɐʃ
sílvia,silviɐ
goiabeira,ɡowjɐbɛjɾɐ
novelli,novɛlli
russo,ʁuʃso
eutrópio,ewtʁɔpio
guindane,ɡʷindɐnɛ
mae,mɐɛ
tallyta,tɐlljtɐ
kanji,kɐnʒi
teo,tɛo
calmon,kɐlmõ
rovai,ʁovaj
kanthack,kɐntɐkk
vílson,vilsõ
taddei,tɐddɛj
saturnino,sɐtuɾnino
pan,pɐ̃
chacon,kɐkõ
selma,sɛlmɐ
jucilene,ʒuzilɛnɛ
tino,tino
ticiana,tiziɐnɐ
villas,villɐʃ
cavalo,kɐvɐlo
sibá,siba
troncoso,tɾonkozo
wescley,wɛʃklɛj
takara,tɐkɐɾɐ
pottker,pottkɛɾ
ubirajara,ubiɾɐʒɐɾɐ
nise,nizɛ
obino,obino
bindilatti,bindilɐtti
velasco,vɛlɐʃko
sombrinha,sombɾinɐ
yaçanã,jɐsɐnɐ̃
nicolini,nikolini
sueli,suɛli
cola,kolɐ
nakamura,nɐkɐmuɾɐ
segretto,sɛɡʁɛtto
cecil,sɛzil
thiré,tiɾe
portiolli,poɾtiolli
russomanno,ʁuʃsomɐnno
cassiano,kɐʃsiɐno
bressane,bɾɛʃsɐnɛ
vanja,vɐnʒɐ
orico,oɾiko
teodoro,tɛodoɾo
christina,kɾiʃtinɐ
zélia,zeliɐ
pedreira,pɛdʁɛjɾɐ
zanyor,zɐnjoɾ
ângela,anʒɛlɐ
vida,vidɐ
dip,dip
higor,iɡoɾ
occhi,okki
kenedy,kɛnɛdj
janot,ʒɐnot
ryder,ʁjdɛɾ
jakelyne,ʒɐkɛljnɛ
jackeline,ʒɐkkɛlinɛ
olivier,oliviɛɾ
protásio,pɾotazio
ramiro,ʁɐmiɾo
moschen,moʃkɛ̃
benetti,bɛnɛtti
caiçara,kajsɐɾɐ
sakamoto,sɐkɐmoto
ademar,ɐdɛmɐɾ
oziel,oziɛl
nozaki,nozɐki
kupper,kuppɛɾ
hungaro,unɡɐɾo
casadevall,kɐzɐdɛvɐll
sprotte,spɾottɛ
filogiônio,filoʒionio
gaetti,ɡɐɛtti
adauto,ɐdawto
masson,mɐʃsõ
natividade,nɐtividɐdɛ
salustiano,sɐluʃtiɐno
ilsi,ilsi
iob,iob
boldrini,boldɾini
cortez,koɾtɛʒ
gobetti,ɡobɛtti
urach,uɾɐk
pocah,pokɐ
grigio,ɡɾiʒio
thalles,tɐllɛʃ
penha,pɛnɐ
moccelin,moksɛlĩ
januario,ʒɐnuɐɾio
pinho,pino
lemes,lɛmɛʃ
codá,koda
cleber,klɛbɛɾ
janderson,ʒɐndɛɾsõ
andrea,ɐndɾɛɐ
heins,ɛjnʃ
ale,ɐlɛ
mchaddo,mkɐddo
elane,ɛlɐnɛ
ewandro,ɛwɐndɾo
armindo,ɐɾmindo
saccomani,sɐkkomɐni
guimaro,ɡʷimɐɾo
rudinei,ʁudinɛj
furlan,fuɾlɐ̃
altineu,ɐltinew
aluízio,ɐluj́zio
baldini,bɐldini
majella,mɐʒɛllɐ
bira,biɾɐ
presidente,pɾɛzidɛntɛ
kruel,kɾuɛl
o'maihlan,oʼmajlɐ̃
becker,bɛkkɛɾ
canindé,kɐninde
aly,ɐlj
muritiba,muɾitibɐ
cinthya,sintjɐ
sabino,sɐbino
caike,kajkɛ
elmano,ɛlmɐno
berna,bɛɾnɐ
ceppas,sɛppɐʃ
petros,pɛtʁoʃ
isac,izɐk
pirani,piɾɐni
solberg,solbɛɾɡ
surian,suɾiɐ̃
hermano,ɛɾmɐno
vianna,viɐnnɐ
guta,ɡtɐ
ruiz,ʁujʒ
