kārlis,kɑːrlĭs
sareika,sɑre͜ikɑ̆
mamikins,mɑmikins
bondars,bɔndɑrs
roze,rɔzĕ
stiebra,sti͜ebrɑ̆
konstantinovs,kɔnstɑntinɔ͜us
linards,linɑrt͡s
tauns,tɑ͜uns
nevarauska,nevɑrɑ͜uskɑ̆
vipers,vipers
sproģis,sprɔɟĭs
reinis,re͜inĭs
ingus,iňɡŭs
vizulis,vizulĭs
zeļģis,zeʎɟĭs
voits,vɔit͡s
ilga,ilɡɑ̆
šuplinska,ʃuplinskɑ̆
kamilla,kɑmilːɑ̆
bartone,bɑrtɔnĕ
juhansone,ʝuxɑnsɔnĕ
pizāne,pizɑːnĕ
daniela,dɑni͜elɑ̆
vismane,vismɑnĕ
ijabs,iʝɑps
eiropas,e͜irɔpɑ̆s
autoceļš,ɑ͜utɔt͡seʎʃ
somi,sɔmĭ
himna,ximnɑ̆
lestene,lestenĕ
fertovs,færtɔ͜us
mareks,mɑreks
mejeris,meʝerĭs
šics,ʃit͡ss
pujats,puʝɑt͡s
dzidra,d͡zidrɑ̆
ritenberga,ritenbærɡɑ̆
voss,vɔsː
šabalovs,ʃɑbɑlɔ͜us
janičenoks,ʝɑnit͡ʃænɔks
rumba,rumbɑ̆
kauls,kɑ͜uls
birks,birks
helmuts,xælmut͡s
štegmanis,ʃtæɡmɑnĭs
melbārdis,mælbɑːrdĭs
ikauniece,ikɑ͜uni͜et͡sĕ
gurecka,ɡuræt͡skɑ̆
kols,kɔls
vinters,vinters
blūms,bluːms
georgs,ɡeɔrks
pelēcis,peleːt͡sĭs
meiers,me͜iers
freimanis,fre͜imɑnĭs
vucāns,vut͡sɑːns
gunta,ɡuntɑ̆
vaičule,vɑ͜it͡ʃulĕ
vecvagars,væt͡svɑɡɑrs
lazdiņš,lɑzdiɲʃ
strēlnieks,streːlni͜eks
peiners,pe͜iners
rebeka,rebækɑ̆
ibrahima,ibrɑximɑ̆
timma,timːɑ̆
bels,bels
vagris,vɑɡrĭs
samoilova,sɑmɔilɔvɑ̆
agnis,ɑɡnĭs
čavars,t͡ʃɑvɑrs
rašmane,rɑʃmɑnĕ
ritvars,ritvɑrs
suharevs,suxɑre͜us
viļāni,viʎɑːnĭ
sabile,sɑbilĕ
viesīte,vi͜esiːtĕ
brocēni,brɔt͡sæːnĭ
pulvertornis,pulværtɔrnĭs
aloja,ɑlɔʝɑ̆
pāvilosta,pɑːvilɔstɑ̆
staicele,stɑ͜it͡selĕ
lubāna,lubɑːnɑ̆
valdemārpils,vɑldæmɑːrpils
viļaka,viʎɑkɑ̆
cesvaine,t͡sæsvɑ͜inĕ
dagda,dɑɡdɑ̆
baloži,bɑlɔʑĭ
vangaži,vɑňɡɑʑĭ
strenči,strent͡ʃĭ
līgatne,liːɡɑtnĕ
pļaviņas,pʎɑviɲɑ̆s
seda,sædɑ̆
subate,subɑtĕ
auce,ɑ͜ut͡sĕ
ape,ɑpːĕ
stende,stendĕ
skrīveri,skriːverĭ
rucava,rut͡sɑvɑ̆
rfs,rfs
priekuļi,pri͜ekuʎĭ
vaivari,vɑ͜ivɑrĭ
kolkasrags,kɔlkɑsrɑks
lielupe,li͜elupĕ
jaundubulti,ʝɑ͜undubultĭ
dzintari,d͡zintɑrĭ
lašupe,lɑʃupĕ
kolka,kɔlkɑ̆
vārnukrogs,vɑːrnukrɔks
namiķi,nɑmicĭ
lutriņi,lutriɲĭ
zīlāni,ziːlɑːnĭ
dubulti,dubultĭ
kūdra,kuːdrɑ̆
latavio,lɑtɑviɔ
vendi,vendĭ
skulte,skultĕ
asari,ɑsɑrĭ
sloka,slɔkɑ̆
ķemeri,cemerĭ
žolnerovičs,ʑɔlnærɔvit͡ʃs
višņaks,viʃɲɑks
bertolds,bærtɔlt͡s
piebalgs,pi͜ebɑlks
aivars,ɑ͜ivɑrs
lembergs,lemberks
ritus,ritːŭs
krjauklis,krʝɑ͜uklĭs
upīts,upiːt͡s
bartolomejs,bɑrtɔlɔme͜is
hēneke,xeːnekĕ
kampenhauzens,kɑmpenxɑ͜uzens
zbigņevs,zbiɡɲe͜us
stankevičs,stɑňkevit͡ʃs
lija,liʝɑ̆
mara,mɑrɑ̆
sandra,sɑndrɑ̆
kalniete,kɑlni͜etĕ
meierovics,me͜iærɔvit͡ss
ambainis,ɑmbɑ͜inĭs
samoilovs,sɑmɔilɔ͜us
aspazija,ɑspɑziʝɑ̆
upatnieks,upɑtni͜eks
boriss,bɔrisː
teterevs,tetere͜us
biruta,birutɑ̆
baumane,bɑ͜umɑnĕ
dārziņš,dɑːrziɲʃ
rausis,rɑ͜usĭs
ozoliņa,ɔzɔliɲɑ̆
skudra,skudrɑ̆
lelde,leldĕ
gasūna,ɡɑsuːnɑ̆
paškēvičs,pɑʃkeːvit͡ʃs
tambijevs,tɑmbiʝe͜us
šefere,ʃeferĕ
fēlikss,feːliksː
cielēns,t͡si͜elæːns
džemma,d͡ʒæmːɑ̆
skulme,skulmĕ
eihe,e͜ixĕ
babičevs,bɑbit͡ʃe͜us
ansis,ɑnsĭs
cīrulis,t͡siːrulĭs
stradiņš,strɑdiɲʃ
frumins,frumins
tetereva,teterævɑ̆
rolfs,rɔlfs
kāns,kɑːns
jarāns,ʝɑrɑːns
arveds,ɑrvet͡s
švābe,ʃvɑːbĕ
prohorenkovs,prɔxɔræňkɔ͜us
dravnieks,drɑ͜uni͜eks
grebis,ɡrebĭs
doveika,dɔve͜ikɑ̆
daudze,dɑ͜ud͡zĕ
štokenbergs,ʃtɔkenberks
purvītis,purviːtĭs
žigajevs,ʑiɡɑʝe͜us
putniņš,putniɲʃ
pope,pɔpĕ
dmitrijs,dmitriʝs
miļkevičs,miʎkevit͡ʃs
laila,lɑ͜ilɑ̆
pakalniņa,pɑkɑlniɲɑ̆
igo,iɡu͜o
markus,mɑrkŭs
riva,rivɑ̆
strenga,stræňɡɑ̆
rēzija,reːziʝɑ̆
kalniņa,kɑlniɲɑ̆
vazdiks,vɑzdiks
dumpis,dumpĭs
lejnieks,le͜ini͜eks
laimute,lɑ͜imutĕ
balode,bɑlɔdĕ
šturms,ʃturms
ojārs,ɔʝɑːrs
siliņš,siliɲʃ
miķelis,micelĭs
dancis,dɑnt͡sĭs
pāvels,pɑːvels
šteinbors,ʃte͜inbɔrs
hermanis,xærmɑnĭs
albats,ɑlbɑt͡s
gobziņš,ɡɔbziɲʃ
signe,siɡnĕ
ronalds,rɔnɑlt͡s
zaķis,zɑcːĭs
koziols,kɔziɔls
belokoņs,bælɔku͜oɲs
žoržs,ʑɔrʃ
tikmers,tikmers
petkēvičs,petkeːvit͡ʃs
semanis,sæmɑnĭs
gaudiņš,ɡɑ͜udiɲʃ
salnais,sɑlnɑ͜is
radzevičs,rɑd͡zevit͡ʃs
jurašs,ʝurɑʃ
staķis,stɑcːĭs
didzis,did͡zĭs
šmits,ʃmit͡s
monika,mɔnikɑ̆
radovska,rɑdɔ͜uskɑ̆
lībietis,liːbi͜etĭs
koha,kɔxɑ̆
adris,ɑdrĭs
plūksna,pluːksnɑ̆
freidenfelds,fre͜idenfelt͡s
bumbērs,bumbeːrs
lasmanis,lɑsmɑnĭs
šubrovskis,ʃubrɔ͜uskĭs
darja,dɑrʝɑ̆
semeņistaja,semeɲistɑʝɑ̆
vaska,vɑskɑ̆
sprindžuks,sprind͡ʒuks
daniels,dɑni͜els
ontužāns,ɔntuʑɑːns
graudiņa,ɡrɑ͜udiɲɑ̆
kravčenoka,krɑ͜ut͡ʃænɔkɑ̆
feldbergs,feldberks
grēviņš,ɡreːviɲʃ
una,unɑ̆
celma,t͡sælmɑ̆
zane,zɑnĕ
daudziņa,dɑ͜ud͡ziɲɑ̆
daiga,dɑ͜iɡɑ̆
mieriņa,mi͜eriɲɑ̆
meņģelsone,meɲɟælsɔnĕ
zeļģe,zeʎɟĕ
vazdika,vɑzdikɑ̆
zvejnieks,zve͜ini͜eks
kolmane,kɔlmɑnĕ
jurģis,ʝurɟĭs
krāsons,krɑːsɔns
aleksandrovaeklone,ɑlæksɑndrɔvɑæklɔnĕ
tobers,tɔbers
aivita,ɑ͜ivitɑ̆
putniņa,putniɲɑ̆
vilma,vilmɑ̆
lasmane,lɑsmɑnĕ
kalnaellis,kɑlnɑelːĭs
nauris,nɑ͜urĭs
miezis,mi͜ezĭs
alsunga,ɑlsuňɡɑ̆
ikšķile,ikʃcilĕ
biksti,bikstĭ
ērgļi,eːrɡʎĭ
ķīpsala,ciːpsɑlɑ̆
dundaga,dundɑɡɑ̆
līksna,liːksnɑ̆
mērsrags,meːrsrɑks
smārde,smɑːrdĕ
kalnciems,kɑlnt͡si͜ems
vecpiebalga,vet͡spi͜ebɑlɡɑ̆
bērze,beːrzĕ
cena,t͡sænɑ̆
ozolnieki,ɔzɔlni͜ekĭ
roja,rɔʝɑ̆
delfi,delfĭ
jaunolaine,ʝɑ͜unɔlɑ͜inĕ
dalbe,dɑlbĕ
vabole,vɑbɔlĕ
gardene,ɡɑrdenĕ
melluži,mælːuʑĭ
iecava,i͜et͡sɑvɑ̆
zvejnieki,zve͜ini͜ekĭ
dzērbene,d͡zeːrbenĕ
jumprava,ʝumprɑvɑ̆
pārdaugava,pɑːrdɑ͜uɡɑvɑ̆
līvbērze,liːvbeːrzĕ
pumpuri,pumpurĭ
milzkalne,milskɑlnĕ
miķeļbāka,miceʎbɑːkɑ̆
nīcgale,niːd͡zɡɑlĕ
saulkalne,sɑ͜ulkɑlnĕ
terehova,terexɔvɑ̆
tiņģere,tiɲɟerĕ
leta,lætːɑ̆
lilaste,lilɑstĕ
rīdzene,riːd͡zenĕ
rītausmas,riːtɑ͜usmɑ̆s
priedaine,pri͜edɑ͜inĕ
imanta,imɑntɑ̆
vecmīlgrāvis,vet͡smiːlɡrɑːvĭs
zasulauks,zɑsulɑ͜uks
bulduri,buldurĭ
spāre,spɑːrĕ
zvejniekciems,zve͜ini͜ekt͡si͜ems
zālīte,zɑːliːtĕ
svētciems,sveːtt͡si͜ems
per,per
melnsils,melnsils
saunags,sɑ͜unɑks
kazdanga,kɑzdɑňɡɑ̆
stūnīši,stuːniːʃĭ
ēdole,eːdɔlĕ
vaide,vɑ͜idĕ
baltezers,bɑltezers
atgāzene,ɑdɡɑːzenĕ
reverta,reværtɑ̆
pārolaine,pɑːrɔlɑ͜inĕ
latgalieši,lɑdɡɑli͜eʃĭ
košrags,kɔʃrɑks
torņakalns,tɔrɲɑkɑlns
glūda,ɡluːdɑ̆
melnbārži,melnbɑːrʑĭ
pitrags,pitrɑks
toce,tɔt͡sĕ
bērstele,beːrstelĕ
omega,ɔmæɡɑ̆
zaķusala,zɑcusɑlɑ̆
mazirbe,mɑzirbĕ
sīkrags,siːkrɑks
gaujiena,ɡɑ͜uʝi͜enɑ̆
vilksala,vilksɑlɑ̆
uši,uʃːĭ
dižilmāja,diʑilmɑːʝɑ̆
mazilmāja,mɑzilmɑːʝɑ̆
līgciems,liːkt͡si͜ems
