douglas,dʌɡləs
pitney,pɪtni
kilby,kɪlbi
eagleburger,iɡəlbɹ̩ɡɹ̩
amaury,æmɔɹi
nolasco,nowlɑskow
poehler,powlɹ̩
theismann,θajsmən
weisberger,wajsbɹ̩ɡɹ̩
darlington,dɑɹlɪŋtən
perez,pɛɹɛz
camacho,kəmɑt͡ʃow
pee,pi
wee,wi
mircea,mɹ̩siə
eliade,əliɑdi
monique,mɑnək
nye,naj
plaza,plɑzə
muni,mjuni
misty,mɪsti
maytreanor,mejtɹinɹ̩
nellie,nɛli
bly,blaj
katee,kæti
sackhoff,sækhɔf
righetti,ɹiɡɛti
benz,bɛnz
hamill,hæməl
raver,ɹejvɹ̩
milian,mɪliən
rajskub,ɹæskəb
hendricks,hɛndɹɪks
mies,majz
der,dɹ̩
rohe,ɹow
hannibal,hænɪbəl
lecter,lɛktɹ̩
chopin,ʃowpæn
tucker,tʌkɹ̩
aguilera,ɑɡwilɛɹə
eleniak,ɛləniæk
keener,kinɹ̩
gillies,ɡɪliz
krakowski,kɹəkɔfski
bethany,bɛθəni
lenz,lɛnz
bareilles,bæɹlz
madeline,mædəlɪn
zima,zimə
brooklyn,bɹʊklən
decker,dɛkɹ̩
cioffi,t͡ʃiowfi
atle,ætəl
selberg,sɛlbɹ̩ɡ
mcgowan,məɡawən
jaco,jɑkow
pastorius,pæstɔɹiɪs
burstyn,bɹ̩stɪn
liotta,liowtə
olmos,owlmowz
juliette,d͡ʒuliɛt
diller,dɪlɹ̩
tsvaygenbaum,tsvejd͡ʒənbawm
ivins,ɪvɪnz
etta,ɛtə
adelbert,ədɛlbɹ̩t
doisy,dojzi
fran,fɹæn
drescher,dɹɛʃɹ̩
dillard,dɪlɹ̩d
iggy,ɪɡɡi
pop,pɑp
forest,fɔɹəst
lendl,lɛndəl
mahre,mɑɹ
mac,mæk
leary,lɪɹi
mccullers,məkʌlɹ̩z
lea,li
benson,bɛnsən
clayburgh,klejbɹ̩ɡ
roderick,ɹɑdɹɪk
mackinnon,məkɪnən
seberg,sɛbɹ̩ɡ
shiri,ʃɪɹi
colfer,kowlfɹ̩
shahi,ʃɑhi
gwathmey,ɡwæðmi
dolson,dowlsən
audubon,ɔdəbɑn
rickards,ɹɪkɹ̩dz
flory,flɔɹi
spano,spɑnow
denzel,dɛnzəl
parks,pɑɹks
hubble,hʌbəl
daína,dɑínɑ
chaviano,t͡ʃejviɑnow
axel,æksəl
petrucci,pɛtɹut͡ʃi
betancourt,bɛtənkɔɹt
puzo,puzow
cote,kowt
dibiase,dibiɑsi
gorshin,ɡɔɹʃɪn
dershowitz,dɹ̩ʃəwɪts
channing,t͡ʃænɪŋ
mira,mɪɹə
sorvino,sɔɹvinow
bynes,bajnz
couric,kɹɪk
carnegie,kɑɹnəɡi
ebert,ɛbɹ̩t
dianne,dajæn
feinstein,fajnstajn
dro,dɹow
hayworth,hejwɹ̩θ
bancroft,bæŋkɹɔft
giuliani,d͡ʒuliɑni
colleen,kɑlin
haywood,hejwʊd
newt,nut
gingrich,ɡɪŋɡɹɪt͡ʃ
wess,wɛs
moncrief,mɑnkɹif
rubinstein,ɹubɪnstin
colt,kowlt
sikorsky,sɪkɔɹski
annabeth,ænəbɛθ
chyler,t͡ʃajlɹ̩
venturi,vɛntʊɹi
granderson,ɡɹændɹ̩sən
diablo,dajæblow
blonsky,blɑnski
vin,vɪn
diesel,disəl
melissa,məlɪsə
pinker,pɪŋkɹ̩
soni,sowni
dustin,dʌstɪn
biondi,biɑndi
sanborn,sænbɔɹn
karski,kɑɹski
gia,d͡ʒə
carangi,kɑɹænd͡ʒi
jordana,jɔɹdænə
mcclain,məklejn
coretta,kɔɹɛtə
o'rourke,ɑɹɔɹk
dania,dɑniə
shailene,ʃejlin
woodley,wʊdli
jayma,d͡ʒejmə
colvin,kowlvɪn
abbey,æbi
tamblyn,tæmblɪn
hu,hu
bacharach,bækɹ̩æk
novak,nowvæk
jett,d͡ʒɛt
colbert,kowlbɹ̩t
celeste,səlɛst
mayim,mɑim
bialik,biɑlɪk
morena,mɔɹejnə
baccarin,bɑkɑɹ̩ɪn
ricci,ɹit͡ʃi
meledandri,mɛlədɑndɹi
timberlake,tɪmbɹ̩lejk
langmuir,læŋmuɪɹ
vollmer,vɑlmɹ̩
aimee,ejmi
tilton,tɪltən
rinna,ɹɪnə
dole,dowl
kimmie,kɪmi
meissner,majsnɹ̩
steinem,stajnəm
torrie,tɔɹi
pressly,pɹɛsli
wettig,wɛtɪɡ
pleshette,plɛʃɛt
emmylou,ɛməlu
khloé,klowé
kardashian,kɑdəʃejn
jagan,d͡ʒejɡən
sitting,sɪtɪŋ
polykarp,pɑlɪkɑɹp
kusch,kʌʃ
zeena,zinə
parkins,pɑɹkɪnz
ringwald,ɹɪŋwɔld
dina,dinə
annabella,ænəbɛlə
sciorra,siɹə
bernadette,bɹ̩nədɛt
nora,nɔɹə
marlee,mɑɹli
matlin,mætlɪn
trujillo,tɹuhiow
rumsfeld,ɹʌmzfɛld
bocanegra,bɑkənɛɡɹə
zvi,zvi
griliches,ɡɹajlɪt͡ʃɪz
wiig,wɪɪɡ
stockton,stɑktən
stroup,stɹup
vickie,vɪki
guerrero,ɡɹ̩ɛɹow
estefan,ɛstɛfæn
waits,wejts
licia,lɪʃə
albanese,ɑlbɑnejzi
cassandra,kəsændɹə
revere,ɹɪvɪɹ
heckart,hɛkɹ̩t
sebold,sɛbowld
tuesday,tuzdi
weld,wɛld
walken,wɔkən
electra,ɪlɛktɹə
melroy,mɛlɹoj
fincher,fɪnt͡ʃɹ̩
belladonna,bɛlədownə
union,junjən
tori,tɔɹi
wassily,wɑsəli
leontief,lɛntif
haze,hejz
dru,dɹu
daddario,dɑdɑɹiow
evigan,ɛvɪɡən
witherspoon,wɪðɹ̩spun
alba,ælbə
roberta,ɹəbɹ̩tə
margarita,mɑɹɡɹ̩itə
levieva,lɛvivə
natwick,nætwɪk
bunche,bʌnt͡ʃ
danica,dænɪkə
cosby,kɔzbi
upton,ʌptən
ashlee,æʃli
flo,flow
rida,ɹidə
steuben,stjubɪn
dragila,dɹæd͡ʒɪlə
kerrigan,kɛɹɪɡən
farley,fɑɹli
serkin,sɹ̩kɪn
nana,nænə
visitor,vɪzətɹ̩
marcil,mɑɹsɪl
odette,owdɛt
annable,ænəbəl
charisma,kɹ̩ɪzmə
sytch,sɪt͡ʃ
groening,ɡɹɑənɪŋ
artist,ɑɹtəst
jericho,d͡ʒɛɹɪkow
ransone,ɹænsən
bayer,bejɹ̩
abdul,æbdul
bautista,bɔtistə
evanovich,ɛvɑnəvɪt͡ʃ
leven,livən
rambin,ɹæmbɪn
shechtman,ʃɛktmən
macalpine,məkælpajn
bridgit,bɹɪd͡ʒɪt
mendler,mɛndlɹ̩
berenice,bɛɹ̩ɛnajs
alchian,ælt͡ʃən
sofía,sɔfíə
vergara,vɹ̩ɡɑɹə
arielle,ɛɹiɛl
kebbel,kɛbəl
amitai,æmɪtaj
etzioni,ɛtsiowni
minkowski,mɪŋkɔfski
mankiw,mæŋkəw
brockovich,bɹɑkəvɪt͡ʃ
larue,lɹ̩u
kendra,kɛndɹə
ottmar,ɑtmɑɹ
mergenthaler,mɹ̩d͡ʒənθəlɹ̩
mcgurn,məɡɹ̩n
laqueur,lɑkjuɹ̩
dennings,dɛnɪŋz
riskin,ɹɪskɪn
selleck,sɛlɪk
foss,fɑs
santigold,sæntiɡowld
genesis,d͡ʒɛnəsəs
undertaker,ʌndɹ̩tejkɹ̩
mancini,mɑnt͡ʃini
moriz,mɹ̩ɪz
rosenthal,ɹowzənθɔl
rosenberg,ɹowzənbɹ̩ɡ
babe,bejb
dio,dajow
taurasi,tɔʊɹ̩ɑsi
moe,mow
nyberg,najbɹ̩ɡ
whaley,wejli
raul,ɹɔl
hilberg,hɪlbɹ̩ɡ
litvak,lɪtvək
lingle,lɪŋɡəl
hailee,hejli
steinfeld,stajnfɛld
grimmie,ɡɹɪmi
ole,owl
jendrick,d͡ʒɛndɹɪk
vaccaro,vəkɑɹow
hulk,hʌlk
cold,kowld
rossi,ɹɔsi
miz,mɪz
show,ʃow
hammon,hæmən
fukuyama,fukujɑmə
wedge,wɛd͡ʒ
wertheimer,wɹ̩thajmɹ̩
köhler,kejöhlɹ̩
chenoweth,t͡ʃɛnawɛθ
perrette,pɹ̩ɹɛt
velazquez,vɛlæskɛz
taymor,tejmɹ̩
deal,dil
borden,bɔɹdən
swizz,swɪz
beatz,biæts
jeane,d͡ʒin
kirkpatrick,kɹ̩kpætɹɪk
mama,mɑmə
cena,sinə
szymon,ʃɪmən
diaz,diɑs
jasika,d͡ʒɑsɪkə
bolger,bowld͡ʒɹ̩
renata,ɹənɑtə
scotto,skowtow
josie,d͡ʒowzi
maran,mɑɹɑn
zinner,zɪnɹ̩
julieta,julitə
venegas,vɛnɪɡəz
roemer,ɹowmɹ̩
kasdan,kæsdən
tracie,tɹejsi
thoms,θɑmz
mayo,mejow
battle,bætəl
jessye,d͡ʒɛsi
rivers,ɹɪvɹ̩z
jacinda,d͡ʒəsɪndə
farrar,fɹ̩ɑɹ
lera,lɛɹə
annise,ænajz
earles,ɹ̩lz
riperton,ɹajpɹ̩tən
sudol,sudəl
flair,flɛɹ
schwinger,ʃwɪŋɹ̩
foreman,fɔɹmən
wolpe,wowlpi
castellaneta,kɑstɛlənɛtə
roseanne,ɹowzæn
conchata,kɑnkɑtə
ferrell,fɛɹɪl
selman,sɛlmən
waksman,wæksmən
dworkin,dwɔɹkɪn
angle,æŋɡəl
dashiell,dæʃil
hammett,hæmɪt
jacky,d͡ʒæki
terrasson,tɹ̩ɑsən
metheny,mɛθɪni
steinberg,stajnbɹ̩ɡ
friedel,fɹidəl
earp,ɹ̩p
dam,dæm
crystal,kɹɪstəl
riccardo,ɹɪkɑɹdow
giacconi,d͡ʒɑkowni
eduard,ɛdwɹ̩d
steuermann,stojɹ̩mən
lauryn,lɔɹɪn
easton,istən
moynahan,mojnəhæn
edie,ɛdi
biehn,bin
keiko,kejkow
agena,ejd͡ʒejnə
tipper,tɪpɹ̩
parnell,pɑɹnəl
montel,mɑntɛl
vontavious,vɑntejviəs
kinsey,kɪnzi
neugebauer,nuɡəbawɹ̩
meyerowitz,majɹ̩əwɪts
kolisch,kowlɪʃ
shannyn,ʃænɪn
sossamon,sowsɑmɔn
makkena,mæɛnə
foray,fɔɹej
spungen,spʌnən
martika,mɑɹtɪkə
borland,bɔɹlənd
zawinul,zɔvɪnʌl
durst,dɹ̩st
howlin',hawlɪn
chavo,t͡ʃɑvow
hickok,hɪkək
leblanc,ləblæŋk
berne,bɹ̩n
gunther,ɡʌnθɹ̩
hillel,hɪlɛl
slovak,slowvæk
layfield,lejfild
chafee,t͡ʃæfi
frederik,fɹɛdɹ̩ɪk
prausnitz,pɹɔsnəts
gayheart,ɡejhɑɹt
noyce,nojs
peary,piɹi
tania,tɑnjə
raymonde,ɹejmɑnd
ani,ɑni
difranco,dɪfɹɑnkow
kirchheimer,kɹ̩khajmɹ̩
akers,ejkɹ̩z
legend,lɛd͡ʒənd
lohan,lowhæn
hardcore,hɑɹdkɔɹ
joosten,jusən
brenneman,bɹɛnmən
straight,stɹejt
ayaan,ajɑn
hirsi,hɹ̩si
craybas,kɹejbəz
bonet,bownt
bailee,bejli
kertész,kɹ̩téʃ
auster,ɔstɹ̩
carradine,kɑɹejdin
ephron,ɛfɹən
miyoshi,mɪjowʃi
umeki,jumɛki
sanaa,sənɑ
lathan,læθən
aisha,ʃə
belote,bɛlowti
ethelda,ɪθɛldə
bleibtrey,blajbtɹi
ladd,læd
benben,bɛnbən
zac,zæk
efron,ɛfɹən
bijou,bajd͡ʒu
peffer,pɛfɹ̩
lemon,lɛmən
lowie,lowi
doc,dɑk
zelda,zɛldə
zemeckis,zɛmkɪs
archuleta,ɑɹkulɛtə
koko,kowkow
grandin,ɡɹændɪn
brann,bɹæn
dailor,dejlɹ̩
herrington,hɛɹɪŋtən
mustaine,mʌstejn
eakins,ikɪnz
dewan,duən
abravanel,əbɹəvɑnəl
principal,pɹɪnsəpəl
majel,məd͡ʒəl
chabert,ʃæbɹ̩t
odesnik,owdɛsnɪk
nast,næst
engelmann,ɛŋɡəlmən
orman,ɔɹmən
quine,kwajn
jascha,d͡ʒæʃə
horenstein,hɔɹənstajn
belafonte,bɛləfɑnti
featherston,fɛθɹ̩stən
silbermann,sɪlbɹ̩mən
handler,hændlɹ̩
kerri,kɛɹɹi
minka,mɪŋkə
mattsson,mætsən
mckayla,məklə
maroney,mɹ̩owni
dziena,d͡ʒinə
effa,ɛfə
aron,ɛɹən
gurwitsch,ɡɹ̩wɪt͡ʃ
ruehl,ɹʊl
lahti,lɑti
myerson,majɹsən
parrilla,pɑɹɪlə
guillemin,ɡɪlɛmɪn
mandy,mændi
drea,dɹiə
matteo,mɑtejow
bebe,bibi
neuwirth,nuwɹ̩θ
balch,bælt͡ʃ
woll,wɑl
ronda,ɹɑndə
rousey,ɹawsi
hochul,hɑt͡ʃʌl
strongbow,stɹɔŋbaw
breathitt,bɹɛθɪt
czesław,t͡ʃɪzl̴ɔ
miłosz,mil̴ɑs
dennett,dɛnɪt
rorty,ɹɔɹti
lipinski,lɪpɪnski
mccaffrey,məkæfɹi
sunrise,sʌnɹajz
newsom,nuzəm
mimi,mimi
maskin,mæskɪn
hyland,hajlənd
carano,kɑɹɑnow
maura,mɔɹə
weis,wajs
wescott,wɛskɑt
nolte,nowlt
pitbull,pitbəl
mathew,mæθju
jojo,d͡ʒowd͡ʒow
langston,læŋstən
pons,pɑnz
janel,d͡ʒænəl
parrish,pɛɹɪʃ
ivana,ɪvɑnə
aldridge,ɔldɹɪd͡ʒ
bobbi,bɑbi
tory,tɔɹi
akira,əkiɹə
gauge,ɡejd͡ʒ
abby,æbi
wambach,wɔmbɑk
candace,kændəs
shonda,ʃɑndə
rhimes,ɹajmz
traci,tɹɑt͡ʃi
lords,lɔɹdz
kagney,kæɡni
linn,lɪn
karter,kɑɹtɹ̩
yang,jæŋ
jordin,d͡ʒɔɹdɪn
sparks,spɑɹks
portia,pɔɹʃə
i,aj
pei,pej
alexei,əlɛksej
abrikosov,əbɹikəsɑv
benoist,binowɪst
kevorkian,kəvɔɹkiən
goldie,ɡowldi
hawn,hɔn
nate,nejt
hofmann,hɑfmən
malick,mælɪk
applegate,æpəlɡejt
hesse,hɛs
theiler,θajlɹ̩
custer,kʌstɹ̩
grabeel,ɡɹæbil
mosse,mɔs
jena,d͡ʒinə
seinfeld,sajnfɛld
federline,fɛdɹ̩lajn
emilie,ɛməli
ravin,ɹævɪn
underwood,ʌndɹ̩wʊd
patton,pætən
keyshia,kiʃiə
stormy,stɔɹmi
olga,owlɡə
fikotová,fɪkowtɑfá
stiller,stɪlɹ̩
mcconaughey,məkɑnəɡej
mccormick,məkɔɹmɪk
douglass,dawʌɡlæs
capecchi,kɑpɛki
osment,ɑsmənt
caryn,kɑɹɪn
kadavy,kædəvi
pompeo,powmpiow
orbison,ɔɹbɪsən
joaquim,wɑkim
malese,məliz
jow,d͡ʒaw
buffett,bʌfɪt
tagle,tejɡəl
gonzalo,ɡɑnzɑlow
ainsworth,ejnswɹ̩θ
condoleezza,kɑndəlizə
tila,tilə
tequila,təkilə
shawnee,ʃɔni
bikel,bɪkəl
padalecki,pɑdəlɛki
amerie,əmɪɹi
arianna,ɑɹiænə
huffington,hʌfɪŋtən
remarque,ɹɪmɹk
broflovski,bɹɑflɑvski
cartman,kɑɹtmən
dafoe,dæfow
schwimmer,ʃwɪmɹ̩
rachelle,ɹəʃɛl
lefevre,ləfejvɹ̩
gigi,ɡɪd͡ʒi
clea,kliə
thirlby,θɹ̩lbi
zabriskie,zæbɹɪski
mamie,mejmi
gummer,ɡʌmɹ̩
heschel,hɛʃəl
sheryl,ʃɛɹəl
stonewall,stownwɔl
florianus,flɔɹiənəs
bluemner,blʊmnɹ̩
jaromír,jɛɹəmíɑɹ
weinberger,wajnbɹ̩ɡɹ̩
weitling,wajtəlɪŋ
paris,pɛɹɪs
itzhak,ɪtsɑk
charlaine,t͡ʃɑɹlejn
bridgewater,bɹɪd͡ʒwɔtɹ̩
dyken,dajkən
khandi,kændi
novik,nowvɪk
marta,mɑɹtə
eggerth,ɛɡɹ̩θ
xzibit,zzɪbət
melora,məlɔɹə
reyes,ɹejɪs
churchland,t͡ʃɹ̩t͡ʃlənd
frusciante,fɹʌst͡ʃænti
zellig,zɛllɪɡ
alyssa,əlɪsə
milano,milɑnow
naima,nejmə
mora,mɔɹə
salomon,sæləmən
bochner,bɑknɹ̩
eastman,istmən
seyfried,sejfɹ̩id
astin,əstɪn
lebrock,lɛbɹək
blondell,blɑndəl
stritch,stɹɪt͡ʃ
zeisel,zajsəl
dolley,dɑli
cavallari,kævælɑɹi
scarwid,skɑɹwɪd
marano,mɑɹɑnow
carell,kɛɹɛl
krystal,kɹajstəl
anka,æŋkə
scheider,ʃajdɹ̩
amore,ɑmɔɹ
eisenhower,ajzənhawɹ̩
waldo,wɑldow
hellman,hɛlmən
leontyne,lɛntajn
bergman,bɹ̩ɡmən
mckellar,məkɛlɹ̩
gere,d͡ʒɪɹ
friml,fɹɪməl
jóhannsson,d͡ʒejóhænsən
zendaya,zɛndajə
missi,mɪsi
lucci,lut͡ʃi
faith,fejθ
kare,kɛɹ
carla,kɑɹlə
bley,blej
ushkowitz,ʌʃkəwɪts
mya,majɑ
ferlito,fɹ̩litow
debney,dɛbni
pauling,pɔlɪŋ
zenna,zɛnə
hutcherson,hʌt͡ʃɹ̩sən
grier,ɡɹajɹ̩
gale,ɡejl
sondergaard,sɑndɹ̩ɡɑɹd
snipes,snajps
schwartz,ʃwɔɹts
levin,lɛvɪn
donen,dɑnən
goffin,ɡɑfɪn
lucid,lusəd
fairuza,fɛɹuzə
balk,bɔk
brecker,bɹɛkɹ̩
demme,dɛm
bruckheimer,bɹʌkhajmɹ̩
card,kɑɹd
garr,ɡæɹ
conroy,kɔnɹoj
palma,pɑlmə
jeffery,d͡ʒɛfɹ̩i
marcia,mɑɹʃə
heigl,hajɡəl
jimmie,d͡ʒɪmi
letterman,lɛtɹ̩mən
swayze,swejz
nicolaas,nɪkəlɑz
bloembergen,blowmbɹ̩ɡən
kristi,kɹɪsti
terzian,tɹ̩ziən
gaye,ɡej
furay,fɹ
sunny,sʌni
baekeland,bɛkɪlənd
heifetz,hajfɪts
erlanger,ɛɹlæŋɹ̩
stigler,stɪɡlɹ̩
whoopi,wupi
ish,ɪʃ
rodat,ɹowdət
hedy,hidi
lamarr,lɑmɑɹ
wouk,wuk
esposito,ɛspəzitow
temin,tɛmɪn
derulo,dɛɹulow
dillinger,dɪlɪŋɹ̩
kesey,kɪsi
devers,dɛvɹ̩z
kahneman,kɑnmən
severo,sɛvɛɹow
ochoa,ɑt͡ʃowə
dita,dɪtə
teese,tiz
vonnegut,vɑnəɡət
iverson,ajvɹ̩sən
saldaña,sɑldəñə
night,najt
wynette,wajnɛt
rhea,ɹiə
nathalia,nəθæliə
ramos,ɹɑmows
shapley,ʃæpli
seeger,siɡɹ̩
panetta,pənɛtə
tombaugh,tɑmbɔ
gilpin,ɡɪlpɪn
faust,fawst
barbera,bɑɹbɛɹə
oates,owts
joker,d͡ʒowkɹ̩
rosie,ɹowzi
wiest,wajɪst
kukoč,kukowč
styron,stjɹɔn
mondale,mɑndejl
marlyn,mɑɹlɪn
meltzer,mɛltsɹ̩
resnik,ɹɛsnɪk
ride,ɹajd
libby,lɪbi
huffman,hʌfmən
tenley,tɛnli
cardellini,kɑɹdɛlini
lyonne,lajən
mullally,mʌləli
vos,vɑs
savant,səvɑnt
chlumsky,klʌmski
lessig,lɛsɪɡ
becki,bɛki
melinda,məlɪndə
boucher,buʃə
priscilla,pɹɪsɪlə
banaszak,bənɑʃək
mersereau,mɹ̩sɹ̩ow
bening,bɛnɪŋ
bremer,bɹimɹ̩
mariel,mɛɹiəl
curtin,kɹ̩tɪn
leno,lɛnow
henson,hɛnsən
stanisław,stænɪsl̴ɔ
ulam,julæm
groban,ɡɹowbən
bozzio,bɑziow
lalo,lɑlow
schifrin,ʃifɹɪn
brea,bɹi
amurri,æmɹi
bartz,bɑɹts
severance,sɛvɹ̩əns
sprague,spɹejɡ
grayden,ɡɹejdən
alvan,ælvən
macy,mejsi
dacosta,dɑkowstə
zoey,zowi
deutch,dojt͡ʃ
anjelica,ənjɛlɪkə
sissy,sɪsi
spacek,spɑt͡ʃɛk
cedar,sidɹ̩
lucretia,lukɹiʃə
majorino,mejd͡ʒɹinow
tanning,tænɪŋ
cecily,sɪsəli
ziegesar,ziɡsɹ̩
dominique,dɔmɪnik
swain,swejn
felicia,fəliʃə
america,əmɛɹəkə
midler,mɪdlɹ̩
dian,dajən
fossey,fɑsi
san,sæn
giacomo,d͡ʒɑkəmow
zener,zɛnɹ̩
meir,mɪɹ
kahane,kəhɑnej
dukas,dəkəz
boggs,bɔɡz
shelly,ʃɛli
manne,mæn
theodosius,θiədəsiəs
dobzhansky,dɑbzhænski
ponselle,pɑnsəl
olson,owlsən
skin,skɪn
schramm,ʃɹæm
hornswoggle,hɔɹnzwɑɡəl
schedeen,ʃkədin
asaro,ɑsɑɹow
ruby,ɹubi
rebbie,ɹɛbi
griswold,ɡɹɪswowld
nourse,nɔɹs
tishler,tɪʃlɹ̩
embeth,ɪmbɛθ
davidtz,dejvits
nan,næn
goldin,ɡowldɪn
leick,lik
tura,tʊɹə
satana,sejtænə
lowell,lowəl
whitt,wɪt
dell,dɛl
janelle,ʒənɛl
monáe,mownái
calichman,kəlɪkmən
daniella,dæniɛlə
alonso,əlɑnsow
huebler,hjubəlɹ̩
kilmer,kɪlmɹ̩
bierce,bɪɹs
sapir,sæpɹ
lederberg,lɛdɹ̩bɹ̩ɡ
keitel,kajtəl
hinkle,hɪŋkəl
prendergast,pɹɛndɹ̩ɡæst
marquardt,mɑɹkwɑɹt
jodi,d͡ʒowdi
picoult,pɪkowlt
pickler,pɪkəlɹ̩
roddenberry,ɹɑdənbɛɹi
zooey,zui
nelly,nɛli
lichaj,lɪt͡ʃajd͡ʒ
cheryl,ʃɛɹəl
guzan,ɡjuzɑn
hobb,hɑb
louella,lawɛlə
jeanna,d͡ʒinə
annabel,ænəbɛl
chong,t͡ʃɔŋ
dyanna,dajənə
albee,əlbi
kinberg,kɪnbɹ̩ɡ
camryn,kæmɹɪn
manheim,mænhajm
blish,blɪʃ
jules,d͡ʒulz
dassin,dæsɪn
tammi,tæmi
terrell,tɛɹəl
clare,klɛɹ
blakely,blejkli
kościuszko,kowśsuʃkow
rosalynn,ɹowzəlɪn
kidder,kɪdɹ̩
rapinoe,ɹejpɪnow
jarmusch,d͡ʒɑɹmʌʃ
ferrera,fɛɹɛɹə
regina,ɹɪd͡ʒinə
leone,liown
beverly,bɛvɹ̩li
d'angelo,dejŋɡɛlow
brickell,bɹɪkəl
grandma,ɡɹæmɑ
talmadge,tælmæd͡ʒ
tomei,tɑmaj
reines,ɹejnz
klinghoffer,klɪŋhɔfɹ̩
levine,ləvin
eisenberg,ajzənbɹ̩ɡ
alyson,ælɪsən
bianca,biɑŋkə
christensen,kɹɪstənsən
flannery,flænɹ̩i
margulis,mɑɹɡəlɪs
friedan,fɹidən
pettis,pɛtɪs
raitt,ɹejt
heche,hɛt͡ʃ
arbus,ɑɹbəs
bara,bɑɹə
lori,lɔɹi
loughlin,lɔflɪn
baruj,bɹ̩ə
benacerraf,bɛnəsɛɹ̩əf
dionne,diɑn
djuna,unə
suzi,suzi
quatro,kwætɹow
alla,ɑlə
nazimova,nɑtsɪmowvə
olsen,owlsən
bow,baw
sandberg,sændbɹ̩ɡ
mcdougal,məkduɡəl
tamiia,tæmiiə
surya,sɹ̩jə
bonaly,bownəli
meselson,mɛzəlsən
hennagan,hɛnəɡæn
kelli,kɛli
palade,pɑləd
zero,zɪɹow
mostel,mɑstəl
elbridge,ɛlbɹɪd͡ʒ
jaar,d͡ʒɑɹ
nyro,najɹow
grafton,ɡɹæftən
davalos,dɑvɑlowz
petty,pɛti
bjorlin,bjɔɹlɪn
facinelli,fɑsinɛli
hollerith,hɑlɹ̩ɪθ
yoyo,jojow
ma,mɑ
tiptree,tɪptɹi
baltimore,bɔltəmɔɹ
samaire,sɑmɛɹ
bomback,bɑmbæk
vine,vajn
deloria,dɛlɔɹiə
roxanne,ɹɑksɪn
seeman,simən
eilbacher,ajlbɑkɹ̩
wolfowitz,wʊlfəwɪts
bundy,bʌndi
torri,tɔɹi
dratch,dɹɑt͡ʃ
landry,lændɹi
muse,mjuz
schneider,ʃnajdɹ̩
sacramone,sækɹɑmown
zora,zɔɹə
neale,nil
hurston,hɹ̩stən
copland,kɑplənd
ticotin,tikɑtɪn
lin,lɪn
wainwright,wejnɹajt
navi,nɑvi
rawat,ɹɑwæt
sedaris,sɛdɛɹ̩ɪs
rogen,ɹowd͡ʒən
sheppard,ʃɛpɹ̩d
steinbrenner,stajnbɹɛnɹ̩
loftus,lɔftəs
donner,dɑnɹ̩
waylon,wejlən
borge,bɔɹd͡ʒ
boam,bowm
westinghouse,wɛstɪŋhaws
lida,lidə
kuznets,kʌznɛts
bedelia,bɪdiliə
granholm,ɡɹænhowlm
rave,ɹejv
simply,sɪmpli
luscious,lʌʃəs
volstad,vowlstəd
leehom,lihəm
aycox,ejkɑks
peña,piñə
adrianne,ɑdɹiæn
palicki,pəlɪki
kruger,kɹuɡɹ̩
hogsheadmakar,hɑɡzhɛdmɔkɹ
mckagan,məkæɡən
furbush,fɹ̩bʊʃ
anaïs,ɑnəïɛs
nin,nɪn
chick,t͡ʃɪk
corea,kɔɹiə
mraz,mɹæz
fichtner,fɪktnɹ̩
mishkutionok,mɪʃkuʃənɑk
mädchen,ɛmädkən
amick,æmɪk
bunker,bʌŋkɹ̩
arrow,æɹow
farmer,fɑɹmɹ̩
moffo,mɔfow
brock,bɹɑk
lesnar,lɛsnɑɹ̩
kozlowski,kəzlɔfski
chanel,ʃənɛl
iman,ajmən
winningham,wɪnɪŋhæm
muddy,mʌdi
eckhart,ɛkhɑɹt
grassle,ɡɹæsəl
merna,mɛɹnə
breslin,bɹɛslɪn
link,lɪŋk
wray,ɹej
rich,ɹɪt͡ʃ
spellings,spɛlɪŋz
eydie,ejdi
gormé,ɡɔɹmé
bilson,bɪlsən
estevez,ejstejvɛz
dern,dɹ̩n
ivar,ɪvɹ̩
giaever,d͡ʒejɛvɹ̩
benatar,bɛnətɹ̩
kwan,kwɑn
frankenthaler,fɹæŋkənθəlɹ̩
poul,pul
mcveigh,məkvej
bledel,blɛdəl
wadlow,wɑdlow
mastrantonio,mæstɹæntowniow
frankenheimer,fɹæŋkənhajmɹ̩
cree,kɹi
summer,sʌmɹ̩
kath,kæθ
soucie,sowki
hornsby,hɔɹnzbi
alissa,əlɪsə
czisny,t͡ʃɪsni
kuiper,kupɹ̩
jaclyn,d͡ʒæklɪn
eszterhas,ɛstɹ̩həz
romano,ɹowmɑnow
floyd,flojd
aronofsky,ɛɹ̩ənɔfski
sothern,sʌðɹ̩n
oxenberg,ɑksɪnbɹ̩ɡ
mcclurg,məklɹ̩ɡ
fleischer,flajʃɹ̩
madigan,mædɪɡən
kaczmarek,kət͡ʃmɑɹɛk
carrera,kɑɹɛɹə
kara,kɛɹə
monaco,mɑnəkow
seann,sin
cleef,klif
elfman,ɛlfmən
edna,ɛdnə
purviance,pʊɹviəns
ferrara,fɹ̩ɑɹə
sellecca,sɛlɛkə
taryn,tɛɹɪn
strout,stɹawt
blocker,blɑkɹ̩
azura,əzʊɹə
vai,vaj
vélez,viélɛz
shenae,ʃɛn
urich,jɹ̩ɪk
margaux,mɑɹɡow
rosalyn,ɹɑzəlɪn
