イチロー,it͡ɕiɾoː
タイミギ,taimʲiɡʲi
ユウセイ,jɯːseː
ウメハチ,ɯmehat͡ɕi
キシュウ,kʲiɕɯː
キチ,kʲit͡ɕi
ユウボシ,jɯːboɕi
マエサワ,maesaɰa
トモサク,tomosakɯ
タカシヒロシ,takaɕiçiɾoɕi
セイテン,seːteŋ
シンカサ,ɕiŋkasa
カジモト,kaʑimoto
タダアツ,tadaːt͡sɯ
ナガドミ,naɡadomʲi
シュウサトル,ɕɯːsatoɾɯ
ツルタモツ,t͡sɯɾɯtamot͡sɯ
ウシノ,ɯɕino
オウギ,oɯɡʲi
タケサトシ,takesatoɕi
トクマツ,tokɯmat͡sɯ
カツキヨシ,kat͡sɯkʲijoɕi
ツナエダ,t͡sɯnaeda
ヨリユキジュン,joɾʲijɯkʲiʑɯɴ
ジングウ,d͡ʑiŋɡɯː
ツカサヤヨイ,t͡sɯkasajajoi
ヒロシラ,çiɾoɕiɾa
アミノ,amʲino
イケノボウ,ikenoboɯ
ハタミヤ,hatamʲija
チョウサチ,t͡ɕoɯsat͡ɕi
マモリシン,mamoɾʲiɕiŋ
ユウタロウ,jɯːtaɾoɯ
キミヅカ,kʲimʲizɯka
イワカミ,iɰakamʲi
フナツ,ɸɯnat͡sɯ
モリカミ,moɾʲikamʲi
カズノリ,kazɯnoɾʲi
メイセイ,meːseː
ギャル,ɡʲaɾɯ
ナリカツ,naɾʲikat͡sɯ
ツナノリ,t͡sɯnanoɾʲi
ネンジ,nend͡ʑi
ハラサイ,haɾasai
ハルサダ,haɾɯsada
ナリユキ,naɾʲijɯkʲi
ソウタダシ,soɯtadaɕi
ツルマツ,t͡sɯɾɯmat͡sɯ
ヨコオ,jokoː
コマタニ,komataɲi
ナンバラ,nambaɾa
オリイ,oɾʲiː
ショウモエビ,ɕoɯmoebʲi
ミズサワ,mʲizɯsaɰa
キクオカ,kʲikɯoka
タタクヤ,tatakɯja
ミガクヤ,mʲiɡakɯja
カツベ,kat͡sɯbe
テンノベコウ,tennobekoɯ
クワノ,kɯɰano
キヨモト,kʲijomoto
タクオノレ,takɯonoɾe
タクミガク,takɯmʲiɡakɯ
ミガクブン,mʲiɡakɯbɯɴ
ハカイ,hakai
シバミユキ,ɕibamʲijɯkʲi
シロカン,ɕiɾokaɴ
ハラナガシゲ,haɾanaɡaɕiɡe
ハラタダザネ,haɾatadazane
ギカ,ɡʲika
サトシマナブ,satoɕimanabɯ
ハタケナカ,hatakenaka
ヨリユキコトブキ,joɾʲijɯkʲikotobɯkʲi
チュウオッシャ,t͡ɕɯːoɕɕa
ヨネヒコ,joneçiko
ツカサヨウ,t͡sɯkasajoɯ
ジツシン,d͡ʑit͡sɯɕiŋ
ホタダチカ,hotadat͡ɕika
マスタニ,masɯtaɲi
シゲゾウ,ɕiɡezoɯ
キリモト,kʲiɾʲimoto
ホリシゲル,hoɾʲiɕiɡeɾɯ
ホチュウレイ,hot͡ɕɯːɾeː
スケハル,sɯkehaɾɯ
ホチュウアサ,hot͡ɕɯːasa
ハルナガ,haɾɯnaɡa
シムネ,ɕimɯne
ウチリュウ,ɯt͡ɕiɾʲɯː
テラタツヤ,teɾatat͡sɯja
ケイコトブキ,keːkotobɯkʲi
エツダイ,et͡sɯdai
タダシヒサ,tadaɕiçisa
セイイエ,seːːe
チョウコン,t͡ɕoɯkoɴ
シュウムネ,ɕɯːmɯne
タニツ,taɲit͡sɯ
キタサキ,kʲitasakʲi
クサカリ,kɯsakaɾʲi
タミヨ,tamʲijo
ルリカ,ɖɯɾʲika
キノエ,kʲinoe
マスジ,masɯʑi
ツバス,t͡sɯbasɯ
エンサチ,eẽsat͡ɕi
タカサワ,takasaɰa
カンニング,kaɲɲiŋɡɯ
イタルオノレ,itaɾɯonoɾe
リュウヤ,ɖʲɯːja
カシワヨシミ,kaɕiɰajoɕimʲi
トリンドル,toɾʲindoɾɯ
サクタ,sakɯta
ユウツカサ,jɯːt͡sɯkasa
ゲンミヤビ,ɡemmʲijabʲi
ユメサキ,jɯmesakʲi
ソトキ,sotokʲi
バヨシオ,bajoɕio
オオスミ,oːsɯmʲi
ケイテン,keːteŋ
ジュンケイ,d͡ʑɯŋkeː
シゲマサ,ɕiɡemasa
アンズビ,and͡zɯbʲi
ウメゾノ,ɯmezono
セイジョウ,seːʑoɯ
セイカン,seːkaɴ
ヨネツ,jonet͡sɯ
セイリン,seːɾʲiŋ
セイイン,seːːɴ
マサナガ,masanaɡa
セイジュン,seːʑɯɴ
カツイタル,kat͡sɯitaɾɯ
タネキョウ,tanekʲoɯ
マコトタネ,makototane
セイツネ,seːt͡sɯne
ヒロシダイ,çiɾoɕidai
テラハラ,teɾahaɾa
ミヤジ,mʲijaʑi
ヒロシリ,çiɾoɕiɾʲi
カモココロザシ,kamokokoɾozaɕi
ユウブ,jɯːbɯ
ユウフジ,jɯːɸɯʑi
エイタスク,eːtasɯkɯ
キミシマ,kʲimʲiɕima
イヌキ,inɯkʲi
モリエ,moɾʲie
ナシケイ,naɕikeː
トマシノ,tomaɕino
ジツコレ,d͡ʑit͡sɯkoɾe
ホウタロウ,hoɯtaɾoɯ
テンドウ,tendoɯ
テンクウ,teŋkɯː
ココロユウ,kokoɾojɯː
ココロザシアサコ,kokoɾozaɕiasako
ナガコレ,naɡakoɾe
カツサキ,kat͡sɯsakʲi
アネショウ,aneɕoɯ
ミチサダコ,mʲit͡ɕisadako
ブー,bɯː
マゴヤスシ,maɡojasɯɕi
クラ,kɯɾa
ミヒサ,mʲiçisa
ヨコノ,jokono
ジュンタカ,d͡ʑɯntaka
リュウカミナリ,ɖʲɯːkamʲinaɾʲi
ハギヤ,haɡʲija
トシサトル,toɕisatoɾɯ
ハナキララ,hanakʲiɾaɾa
メグミワ,meɡɯmʲiɰa
コタケマル,kotakemaɾɯ
ソラビ,soɾabʲi
シュモン,ɕɯmoɴ
キクエ,kʲikɯe
ナツコイ,nat͡sɯkoi
エリナ,eɾʲina
カミサキ,kamʲisakʲi
マレサキ,maɾesakʲi
アイリサ,aiɾʲisa
カワハツノリ,kaɰahat͡sɯnoɾʲi
ハザマサトル,hazamasatoɾɯ
セイナエ,seːnae
エンヒデミ,eẽçidemʲi
オキヤスシ,okʲijasɯɕi
コヅル,kozɯɾɯ
セイトオル,seːtoːɾɯ
アキミツ,akʲimʲit͡sɯ
チュウイ,t͡ɕɯːi
ジュウヒサシ,d͡ʑɯːçisaɕi
チュウヒサシ,t͡ɕɯːçisaɕi
チュウニン,t͡ɕɯːɲiŋ
チュウトモ,t͡ɕɯːtomo
ヤスシタカシ,jasɯɕitakaɕi
カンシゲル,kaãɕiɡeɾɯ
カンサダ,kaãsada
トミトコロ,tomʲitokoɾo
カンモリ,kammoɾʲi
ハジト,haʑito
ココロビ,kokoɾobʲi
アイオン,aioɴ
マヒロ,maçiɾo
ナガキ,naɡakʲi
セイジロウ,seːʑiɾoɯ
オカネ,okane
コマイ,komai
オサフネ,osaɸɯne
タシュウヘイ,taɕɯːheː
レイダイ,ɖeːdai
ユメミ,jɯmemʲi
ジンコ,d͡ʑiŋko
バロン,baɾoɴ
バンタイラ,bantaiɾa
ツキミ,t͡sɯkʲimʲi
ヒビキ,çibʲikʲi
マスナ,masɯna
カケヌノ,kakenɯno
ハガネタロウ,haɡanetaɾoɯ
シンクラ,ɕiŋkɯɾa
エノキミヤ,enokʲimʲija
カミハラ,kamʲihaɾa
セイヤ,seːja
モトヒロ,motoçiɾo
ツギフトシ,t͡sɯɡʲiɸɯtoɕi
ミギテラ,mʲiɡʲiteɾa
エイススム,eːsɯsɯmɯ
セキタ,sekʲita
ケイトウト,keːtoɯto
カンサワ,kaãsaɰa
ユイコウ,jɯikoɯ
ヒサシジュ,çisaɕiʑɯ
リウララ,ɖʲiɯɾaɾa
ユキエ,jɯkʲie
アヤミ,ajamʲi
ノユイ,nojɯi
ママレ,mamaɾe
リカコ,ɖʲikako
サワヤマ,saɰajama
サワチ,saɰat͡ɕi
チョウチ,t͡ɕoɯt͡ɕi
クシゲ,kɯɕiɡe
モリタキ,moɾʲitakʲi
モリトオル,moɾʲitoːɾɯ
メリーキ,meɾʲiːkʲi
モリレン,moɾʲiɾeŋ
メガ,meɡa
タタネタロウ,tatanetaɾoɯ
モリナツ,moɾʲinat͡sɯ
ミツナガ,mʲit͡sɯnaɡa
スギシタ,sɯɡʲiɕita
キヅカ,kʲizɯka
チュウスケ,t͡ɕɯːsɯke
ケンボシ,kemboɕi
スイゲツ,sɯiɡet͡sɯ
シジョウ,ɕiʑoɯ
ウララハテ,ɯɾaɾahate
カメタロウ,kametaɾoɯ
ミヤノリヒトシンノウ,mʲijanoɾʲiçitoɕinnoɯ
カクカワ,kakɯkaɰa
フトオオトリ,ɸɯtoːotoɾʲi
タクシ,takɯɕi
サカエト,sakaeto
フチガミ,ɸɯt͡ɕiɡamʲi
ウエガキ,ɯeɡakʲi
カネミツ,kanemʲit͡sɯ
イシモエカ,iɕimoeka
ワガリュウ,ɰaɡaɾʲɯː
クサバ,kɯsaba
ミチテル,mʲit͡ɕiteɾɯ
キナミ,kʲinamʲi
ハレナツ,haɾenat͡sɯ
キヨミヤ,kʲijomʲija
ショウタキ,ɕoɯtakʲi
ゴサトシ,ɡosatoɕi
クリリョウ,kɯɾʲiɾʲoɯ
ヤマサトシハヤ,jamasatoɕihaja
コザエモン,kozaemoɴ
ゴルゴロ,ɡoɾɯɡoɾo
コウコトブキ,koɯkotobɯkʲi
タツキ,tat͡sɯkʲi
シュンサク,ɕɯɯ̃sakɯ
キリハタ,kʲiɾʲihata
クラシナ,kɯɾaɕina
タユウライ,tajɯːɾai
シオミ,ɕiomʲi
シゲルショウ,ɕiɡeɾɯɕoɯ
タイミヤツコ,taimʲijat͡sɯko
シロネコ,ɕiɾoneko
サンボウ,samboɯ
シマハジメ,ɕimahaʑime
チュウモト,t͡ɕɯːmoto
チュウモリ,t͡ɕɯːmoɾʲi
ヨハヤシ,johajaɕi
モモヤマ,momojama
ヒナセ,çinase
チツヨシ,t͡ɕit͡sɯjoɕi
タスクバ,tasɯkɯba
シロカヤ,ɕiɾokaja
キアツシ,kʲiat͡sɯɕi
サギサワ,saɡʲisaɰa
メグム,meɡɯmɯ
キヒロフミ,kʲiçiɾoɸɯmʲi
ネリョウキチ,neɾʲoɯkʲit͡ɕi
キコウ,kʲikoɯ
フシジンシンノウ,ɸɯɕiʑiĩɕinnoɯ
モリヒトシシンノウ,moɾʲiçitoɕiɕinnoɯ
ホシン,hoɕiŋ
ハラチョウエン,haɾat͡ɕoɯeŋ
シュウツバサ,ɕɯːt͡sɯbasa
ケンハレ,keẽhaɾe
サトシモト,satoɕimoto
ソウイサオ,soɯisao
カジツカ,kaʑit͡sɯka
カンベ,kambe
トシオトコ,toɕiotoko
ヒワレ,çiɰaɾe
オオトリノ,oːtoɾʲino
ジュンモト,d͡ʑɯmmoto
タミキチ,tamʲikʲit͡ɕi
ソウマル,soɯmaɾɯ
ゴウタ,ɡoɯta
リョウケ,ɖʲoɯke
ギンゾウ,ɡʲind͡zoɯ
アンヒロシ,aãçiɾoɕi
ハレヤスシ,haɾejasɯɕi
マチマサコ,mat͡ɕimasako
ツザキ,t͡sɯzakʲi
ルリア,ɖɯɾʲia
レイセイ,ɖeːseː
ナダオ,nadao
ナガミ,naɡamʲi
ヒダリミナモトフトシ,çidaɾʲimʲinamotoɸɯtoɕi
ナミジュ,namʲiʑɯ
タクミカイ,takɯmʲikai
コウミヤ,koɯmʲija
イツコ,it͡sɯko
アタエシタイラ,ataeɕitaiɾa
シュンハテ,ɕɯɯ̃hate
ハタタカシ,hatatakaɕi
アリスエ,aɾʲisɯe
カンロ,kanɖo
カヤ,kaja
ハレシ,haɾeɕi
アユカイ,ajɯkai
ボウノススム,boɯnosɯsɯmɯ
トヨミ,tojomʲi
アシツ,aɕit͡sɯ
トコロリン,tokoɾoɾʲiŋ
キヨトシ,kʲijotoɕi
チョクトラ,t͡ɕokɯtoɾa
ナカハタ,nakahata
チュウクニ,t͡ɕɯːkɯɲi
トキセイ,tokʲiseː
エスパー,esɯpaː
マツヒトシ,mat͡sɯçitoɕi
ホワ,hoɰa
ココロザシ,kokoɾozaɕi
アサコウ,asakoɯ
ブンイトグチ,bɯɯ̃itoɡɯt͡ɕi
デイジー,deːʑiː
ドウススム,doɯsɯsɯmɯ
スズヨヒメイノチ,sɯzɯjoçimeːnot͡ɕi
アキヅキ,akʲizɯkʲi
ソラフトシ,soɾaɸɯtoɕi
ヒロコウ,çiɾokoɯ
タチバナタカシ,tat͡ɕibanatakaɕi
ノソコ,nosoko
タメワガ,tameɰaɡa
イテッ,iteʔ
チドオリ,t͡ɕidoːɾʲi
ノベハク,nobehakɯ
チュウガク,t͡ɕɯːɡakɯ
オカザワ,okazaɰa
ニュウヒメイノチ,ɲɯːçimeːnot͡ɕi
オオス,oːsɯ
ガジュン,ɡaʑɯɴ
タケンスケ,takeẽsɯke
ヤナギノスケ,janaɡʲinosɯke
タタケキ,tatakekʲi
ミギムネ,mʲiɡʲimɯne
イソブ,isobɯ
イシヤマ,iɕijama
クラタイラ,kɯɾataiɾa
ススムオサム,sɯsɯmɯosamɯ
サダヤスシ,sadajasɯɕi
キクヒメ,kʲikɯçime
チョクツウ,t͡ɕokɯt͡sɯː
ネケンジ,nekend͡ʑi
ツジナイ,t͡sɯʑinai
タニハナ,taɲihana
ヤスマル,jasɯmaɾɯ
ジアオ,d͡ʑiao
ハタタイラ,hatataiɾa
ヤマクラ,jamakɯɾa
オオトリメグミ,oːtoɾʲimeɡɯmʲi
トリオ,toɾʲio
ケイワ,keːɰa
ホハルノ,hohaɾɯno
ヨル,joɾɯ
タスクテル,tasɯkɯteɾɯ
イッセイ,isseː
サイイリ,saiːɾʲi
リュウキ,ɖʲɯːkʲi
タイセイ,taiseː
テラアキラ,teɾaːkʲiɾa
テイ,teː
シュンジ,ɕɯnd͡ʑi
ミヤサカエジンシンノウ,mʲijasakaeʑiĩɕinnoɯ
オカシンジ,okaɕind͡ʑi
ミヤサダナルシンノウ,mʲijasadanaɾɯɕinnoɯ
ケンイワ,keẽiɰa
リュウイノチ,ɖʲɯːinot͡ɕi
イシモエオン,iɕimoeoɴ
ナギラ,naɡʲiɾa
イズミリク,izɯmʲiɾʲikɯ
グジョウ,ɡɯʑoɯ
ヒロシタカシ,çiɾoɕitakaɕi
タカシタ,takaɕita
ミネオ,mʲineo
タツジ,tat͡sɯʑi
モトヒサシ,motoçisaɕi
アメラン,ameɾaɴ
サキキゴ,sakʲikʲiɡo
ナマカタチ,namakatat͡ɕi
ウイ,ɯi
ナツヒ,nat͡sɯçi
ウエダカ,ɯedaka
チオノレ,t͡ɕionoɾe
フヅキ,ɸɯzɯkʲi
ホラン,hoɾaɴ
イジリー,iʑiɾʲiː
ワヨウ,ɰajoɯ
ホウデン,hoɯdeŋ
ハコダ,hakoda
ヤマモリ,jamamoɾʲi
ハシヅメ,haɕizɯme
テンメイ,temmeː
ノベモト,nobemoto
タテヒサシ,tateçisaɕi
ブンレキ,bɯnɖekʲi
タテタケシ,tatetakeɕi
ウケタマワヤス,ɯketamaɰajasɯ
ブンチュウ,bɯnt͡ɕɯː
サダヒサシ,sadaçisaɕi
ナガワ,naɡaɰa
クマモトハン,kɯmamotohaɴ
タテタモツ,tatetamot͡sɯ
カンハジメ,kaãhaʑime
モトコヨミ,motokojomʲi
ケンレキ,kenɖekʲi
ジンチ,d͡ʑint͡ɕi
ウケタマワモト,ɯketamaɰamoto
トウホクマチ,toɯhokɯmat͡ɕi
タカラレキ,takaɾaɾekʲi
ツルミセン,t͡sɯɾɯmʲiseŋ
チウケタマワ,t͡ɕiɯketamaɰa
ヨシミロク,joɕimʲiɾokɯ
ゲンヒトシ,ɡeẽçitoɕi
ニッポンレコードキョウカイ,ɲipponɖekoːdokʲoɯkai
テンプク,tempɯkɯ
ホアン,hoaɴ
タテヒトシ,tateçitoɕi
ウケタマワヒサ,ɯketamaɰaçisa
マシュウコ,maɕɯːko
ネギシセン,neɡʲiɕiseŋ
フドキ,ɸɯdokʲi
カワゴエセン,kaɰaɡoeseŋ
クゲ,kɯɡe
フジワラミヤコ,ɸɯʑiɰaɾamʲijako
シコツコ,ɕikot͡sɯko
トウカイドウ,toɯkaidoɯ
キンタイキョウ,kʲintaikʲoɯ
カンモンキョウ,kammoŋkʲoɯ
ナガタチョウ,naɡatat͡ɕoɯ
エイティング,eːtiŋɡɯ
ニッポンマンガカキョウカイ,ɲippommaŋɡakakʲoɯkai
ホンインボウ,hoõimboɯ
ホクチョウ,hokɯt͡ɕoɯ
タカトリマチ,takatoɾʲimat͡ɕi
シラハママチ,ɕiɾahamamat͡ɕi
サカエマチ,sakaemat͡ɕi
アイコウグン,aikoɯɡɯɴ
ニンナジ,ɲinnaʑi
シモツガグン,ɕimot͡sɯɡaɡɯɴ
テラコヤ,teɾakoja
タコマチ,takomat͡ɕi
マナヅルマチ,manazɯɾɯmat͡ɕi
コウザグン,koɯzaɡɯɴ
マツダマチ,mat͡sɯdamat͡ɕi
ヨシダマチ,joɕidamat͡ɕi
カンリョウ,kanɖʲoɯ
カイセイマチ,kaiseːmat͡ɕi
アシガラカミグン,aɕiɡaɾakamʲiɡɯɴ
トウワマチ,toɯɰamat͡ɕi
カンパク,kampakɯ
テンピョウ,tempʲoɯ
スルガワン,sɯɾɯɡaɰaɴ
オキナワプレート,okʲinaɰapɯɾeːto
マーベラス,maːbeɾasɯ
スパイク,sɯpaikɯ
ショウネンガホウシャ,ɕoɯneŋɡahoɯɕa
ノーマッド,noːmaddo
ニホンコウクウキョウカイ,ɲihoŋkoɯkɯːkʲoɯkai
キョウイクママ,kʲoɯikɯmama
ミナミカントウ,mʲinamʲikantoɯ
サガハン,saɡahaɴ
ノガミマチ,noɡamʲimat͡ɕi
ブレインズ,bɯɾeːnd͡zɯ
ベース,beːsɯ
ロクロクビ,ɖokɯɾokɯbʲi
カイシャク,kaiɕakɯ
キーエンス,kʲiːeẽsɯ
ニッポンミンシュセイネンドウメイ,ɲippommʲiĩɕɯseːnendoɯmeː
ミレニアム,mʲiɾeɲiamɯ
ナカジマヒコウキ,nakaʑimaçikoɯkʲi
アオキシワタルテラ,aokʲiɕiɰataɾɯteɾa
スキップ,sɯkʲippɯ
ナカトミマチ,nakatomʲimat͡ɕi
トコロマチ,tokoɾomat͡ɕi
ショウエン,ɕoɯeŋ
ナンチョウ,nant͡ɕoɯ
コウシツテンパン,koɯɕit͡sɯtempaɴ
アキラヤスシ,akʲiɾajasɯɕi
サダモト,sadamoto
ヨドバシマチ,jodobaɕimat͡ɕi
ヤマカワマチ,jamakaɰamat͡ɕi
ミソギ,mʲisoɡʲi
ファンタジア,ɸantaʑia
ミカサ,mʲikasa
デンエンチョウフ,deẽent͡ɕoɯɸɯ
ミスミグループホンシャ,mʲisɯmʲiɡɯɾɯːpɯhoõɕa
ナガハママチ,naɡahamamat͡ɕi
ニッポンユウセン,ɲippoõjɯːseŋ
サントリーフーズ,santoɾʲiːɸɯːzɯ
カブシキガイシャ,kabɯɕikʲiɡaiɕa
チヂミケイエン,t͡ɕiʑimʲikeːeŋ
フタバシャ,ɸɯtabaɕa
アイコクコウトウ,aikokɯkoɯtoɯ
スティング,sɯtiŋɡɯ
セイサクケンキュウダイガクインダイガク,seːsakɯkeŋkʲɯːdaiɡakɯindaiɡakɯ
ソウゴウケンキュウダイガクインダイガク,soɯɡoɯkeŋkʲɯːdaiɡakɯindaiɡakɯ
アスカキヨシゴハラレイ,asɯkakʲijoɕiɡohaɾaɾeː
ダイマル,daimaɾɯ
コクドチリイン,kokɯdot͡ɕiɾʲiːŋ
ダマアキラゼン,damaːkʲiɾazeŋ
ドウガコウボウ,doɯɡakoɯboɯ
フチュウヤド,ɸɯt͡ɕɯːjado
サイホウジ,saihoɯʑi
ハカイカツドウボウシホウ,hakaikat͡sɯdoɯboɯɕihoɯ
コクサイコウリュウキキン,kokɯsaikoɯɾʲɯːkʲikʲiŋ
ナカツハン,nakat͡sɯhaɴ
ユークス,jɯːkɯsɯ
カイロソフト,kaiɾosoɸɯto
カクレキリシタン,kakɯɾekʲiɾʲiɕitaɴ
キッコーマン,kʲikkoːmaɴ
キリンカップサッカー,kʲiɾʲiŋkappɯsakkaː
ゴコクジ,ɡokokɯʑi
ケイオウセン,keːoɯseŋ
サンインドウ,saãindoɯ
ハママツハン,hamamat͡sɯhaɴ
フナイハン,ɸɯnaihaɴ
ウトハン,ɯtohaɴ
ダイショウジハン,daiɕoɯʑihaɴ
オオタキハン,oːtakʲihaɴ
フクエハン,ɸɯkɯehaɴ
ヒラドハン,çiɾadohaɴ
ビッチュウマツヤマハン,bʲitt͡ɕɯːmat͡sɯjamahaɴ
カノウハン,kanoɯhaɴ
カケガワハン,kakeɡaɰahaɴ
カサマハン,kasamahaɴ
カワゴエハン,kaɰaɡoehaɴ
コロモハン,koɾomohaɴ
キツキハン,kʲit͡sɯkʲihaɴ
キシワダハン,kʲiɕiɰadahaɴ
モリハン,moɾʲihaɴ
ヒトヨシハン,çitojoɕihaɴ
スンプハン,sɯmpɯhaɴ
タハラハン,tahaɾahaɴ
タカナベハン,takanabehaɴ
セッショウセキ,seɕɕoɯsekʲi
ムレマチ,mɯɾemat͡ɕi
ハダカマツリ,hadakamat͡sɯɾʲi
ニッコウセン,ɲikkoɯseŋ
ヨシミレキ,joɕimʲiɾekʲi
カンタモツ,kantamot͡sɯ
ブンセイ,bɯɯ̃seː
テンゲン,teŋɡeŋ
ノベケイ,nobekeː
エイカン,eːkaɴ
ウケタマワタイラ,ɯketamaɰataiɾa
ゲンロク,ɡenɖokɯ
エイノベ,eːnobe
ブンカメ,bɯŋkame
ナガホ,naɡaho
セイコヨミ,seːkojomʲi
テンケイ,teŋkeː
テンノベ,tennobe
エイヒトシ,eːçitoɕi
テンロク,tenɖokɯ
ヒロチョウ,çiɾot͡ɕoɯ
エンチョウ,ent͡ɕoɯ
タミヤ,tamʲija
トウヤコ,toɯjako
パンクラス,paŋkɯɾasɯ
ナカミチ,nakamʲit͡ɕi
トドウフケンドウ,todoɯɸɯkendoɯ
オカベマチ,okabemat͡ɕi
マンネンジナカネ,mannend͡ʑinakane
モトトク,mototokɯ
ヨシミモト,joɕimʲimoto
タカラオサム,takaɾaosamɯ
イヌイハジメ,inɯihaʑime
トクシマハン,tokɯɕimahaɴ
フクトクオカノジョウ,ɸɯkɯtokɯokanoʑoɯ
タテバヤシハン,tatebajaɕihaɴ
ヤナカワハン,janakaɰahaɴ
シンシントウ,ɕiĩɕintoɯ
オウザ,oɯza
ハクホウドウ,hakɯhoɯdoɯ
ローソン,ɖoːsoɴ
アルファドリーム,aɾɯɸadoɾʲiːmɯ
オダワラヤド,odaɰaɾajado
ニッポンガ,ɲippoŋɡa
セイヨシミ,seːjoɕimʲi
テントク,tentokɯ
バファローズ,baɸaɾoːzɯ
チュウソンジ,t͡ɕɯːsond͡ʑi
キングレコード,kʲiŋɡɯɾekoːdo
ケイチョウ,keːt͡ɕoɯ
サロマコ,saɾomako
クッシャロコ,kɯɕɕaɾoko
ジトウ,d͡ʑitoɯ
クニガミグン,kɯɲiɡamʲiɡɯɴ
ゴウキカイ,ɡoɯkʲikai
コウフクジツゲントウ,koɯɸɯkɯʑit͡sɯɡentoɯ
セイサクカガクケンキュウジョ,seːsakɯkaɡakɯkeŋkʲɯːʑo
オガツマチ,oɡat͡sɯmat͡ɕi
オオツヤド,oːt͡sɯjado
オオイソヤド,oːisojado
モルテン,moɾɯteŋ
フジサワヤド,ɸɯʑisaɰajado
トウキュウ,toɯkʲɯː
キカンカヘンデンシャ,kʲikaŋkahendeẽɕa
コクスイシュギ,kokɯsɯiɕɯɡʲi
ヨコスカセン,jokosɯkaseŋ
オオテマチ,oːtemat͡ɕi
ニシウミミチ,ɲiɕiɯmʲimʲit͡ɕi
ラブデリック,ɖabɯdeɾʲikkɯ
ジャパンディスプレイ,d͡ʑapandisɯpɯɾeː
シナツルセン,ɕinat͡sɯɾɯseŋ
シモツマチ,ɕimot͡sɯmat͡ɕi
ビクセン,bʲikɯseŋ
プラチナゲームズ,pɯɾat͡ɕinaɡeːmɯzɯ
ハナマチ,hanamat͡ɕi
コウリュウジ,koɯɾʲɯːʑi
ハートビート,haːtobʲiːto
エンベツマチ,embet͡sɯmat͡ɕi
タカラトミー,takaɾatomʲiː
ツバメ,t͡sɯbame
ホンダギケンコウギョウフットボールクラブ,hondaɡʲikeŋkoɯɡʲoɯɸɯttoboːɾɯkɯɾabɯ
レンゴウセキグン,ɖeŋɡoɯsekʲiɡɯɴ
イセキノウキ,isekʲinoɯkʲi
ハッスル,hassɯɾɯ
チンジュフショウグン,t͡ɕind͡ʑɯɸɯɕoɯɡɯɴ
ヒガシヤマミチ,çiɡaɕijamamʲit͡ɕi
ヒットメーカー,çittomeːkaː
イトウエン,itoɯeŋ
タキノマチ,takʲinomat͡ɕi
コッカイギジドウ,kokkaiɡʲiʑidoɯ
トウノショウマチ,toɯnoɕoɯmat͡ɕi
クシモトマチ,kɯɕimotomat͡ɕi
ハヤママチ,hajamamat͡ɕi
サムカワマチ,samɯkaɰamat͡ɕi
カミザトマチ,kamʲizatomat͡ɕi
ナガトロマチ,naɡatoɾomat͡ɕi
サントリー,santoɾʲiː
ヨコゼマチ,jokozemat͡ɕi
ナカイマチ,nakaimat͡ɕi
ラジョウモン,ɖaʑoɯmoɴ
ジャレコ,d͡ʑaɾeko
オウジマチ,oɯʑimat͡ɕi
テンピョウタカラジ,tempʲoɯtakaɾaʑi
タカサキセン,takasakʲiseŋ
ナチカツウラマチ,nat͡ɕikat͡sɯːɾamat͡ɕi
タガマチ,taɡamat͡ɕi
シタラマチ,ɕitaɾamat͡ɕi
ミストウォーカー,mʲisɯtoɰoːkaː
スギトマチ,sɯɡʲitomat͡ɕi
ミナノマチ,mʲinanomat͡ɕi
マクウチ,makɯːt͡ɕi
オガノマチ,oɡanomat͡ɕi
ヒダカカワマチ,çidakakaɰamat͡ɕi
カンコウ,kaŋkoɯ
クエスト,kɯesɯto
カラスマチ,kaɾasɯmat͡ɕi
カステラホンケフクスナヤ,kasɯteɾahoŋkeɸɯkɯsɯnaja
ダイアタリロ,daiataɾʲiɾo
タカオカマチ,takaokamat͡ɕi
ニホンキイン,ɲihoŋkʲiːŋ
ホクトセイ,hokɯtoseː
クボタマチ,kɯbotamat͡ɕi
フジシママチ,ɸɯʑiɕimamat͡ɕi
コウダマチ,koɯdamat͡ɕi
ユアサマチ,jɯasamat͡ɕi
ミナベマチ,mʲinabemat͡ɕi
アリタカワマチ,aɾʲitakaɰamat͡ɕi
カワゴエマチ,kaɰaɡoemat͡ɕi
タルイマチ,taɾɯimat͡ɕi
トヨヤママチ,tojojamamat͡ɕi
ミナカミマチ,mʲinakamʲimat͡ɕi
シオヤグン,ɕiojaɡɯɴ
オオタキマチ,oːtakʲimat͡ɕi
テンレキ,tenɖekʲi
カミツガグン,kamʲit͡sɯɡaɡɯɴ
イネマチ,inemat͡ɕi
カツラギマチ,kat͡sɯɾaɡʲimat͡ɕi
コクフ,kokɯɸɯ
カンペイ,kampeː
ヒガシアジアハンニチブソウセンセン,çiɡaɕiaʑiahaɲɲit͡ɕibɯsoɯseẽseŋ
カクノダテマチ,kakɯnodatemat͡ɕi
アドバンテスト,adobantesɯto
ミヤジママチ,mʲijaʑimamat͡ɕi
コウムコシュウライエコトバ,koɯmɯkoɕɯːɾaiekotoba
フトコロトクドウ,ɸɯtokoɾotokɯdoɯ
カブキザ,kabɯkʲiza
オサワマチ,osaɰamat͡ɕi
ダイゴマチ,daiɡomat͡ɕi
アイショウマチ,aiɕoɯmat͡ɕi
